,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,249.20M,,249.20M,900.78M,32.84M,1.677B,,666.71M,263.91M,,,158.61M,3.016B,27.71B,1.832B,29.55B,-11.86B,17.69B,,1.232B,325.69M,,2.696B,21.94B,24.96B,,1.120B,108.84M,220.54M,1.450B,168.63M,1.618B,,1.014B,,1.014B,413.89M,3.046B,,7.732B,,7.732B,2.898B,,2.898B,,1.031B,340.80M,,,,12.00B,17.89B,,1.239B,1.188B,4.695B,104.98M,,,-53.67M,7.069B,,,Restated
2008-09,383.98M,,383.98M,823.39M,,1.318B,,727.33M,,,,601.38M,3.031B,27.42B,1.925B,29.34B,-11.79B,17.55B,,,,,3.915B,21.47B,24.50B,,863.89M,107.61M,,971.50M,793.22M,1.765B,,1.259B,,1.259B,,3.023B,,7.486B,,7.486B,2.854B,,107.09M,,,,,,,7.593B,17.55B,,1.227B,1.133B,4.623B,104.98M,,,-28.92M,6.953B,,,Restated
2008-06,70.87M,,70.87M,865.32M,,1.452B,,691.82M,,,,474.07M,2.688B,27.05B,1.867B,28.92B,-11.64B,17.28B,,,,,3.752B,21.03B,23.72B,,1.029B,103.40M,,1.132B,664.55M,1.797B,,1.414B,,1.414B,,3.211B,,7.140B,,7.140B,2.732B,,109.02M,,,,,,,7.249B,17.24B,,1.182B,1.017B,4.306B,104.98M,,,-26.55M,6.479B,,,
2008-03,175.84M,,175.84M,963.50M,,1.557B,,425.13M,,,,529.73M,2.688B,25.15B,2.006B,27.16B,-10.20B,16.96B,,,,,3.716B,20.67B,23.36B,,1.064B,100.08M,,1.164B,647.41M,1.812B,,1.119B,,1.119B,,2.931B,,7.140B,,7.140B,2.672B,,110.97M,,,,,,,7.251B,16.90B,,1.181B,1.015B,4.293B,104.98M,,,-27.60M,6.462B,,,
2007-12,51.12M,,51.12M,951.58M,,1.684B,,531.61M,,,,540.92M,2.807B,24.91B,1.811B,26.73B,-10.05B,16.68B,,,,,3.702B,20.38B,23.18B,,1.079B,99.68M,,1.179B,736.00M,1.915B,,1.726B,,1.726B,,3.641B,,6.342B,,6.342B,2.666B,,112.91M,,,,,,,6.455B,16.78B,,1.177B,963.92M,4.287B,104.98M,,,-21.79M,6.406B,,,
2007-09,360.87M,,360.87M,750.13M,,1.245B,,531.37M,,,,517.94M,2.655B,24.72B,1.715B,26.44B,-10.09B,16.35B,,,,,3.823B,20.17B,22.82B,,873.20M,97.64M,,970.84M,782.60M,1.753B,,727.22M,,727.22M,,2.481B,,7.253B,,7.253B,2.572B,,114.31M,,,,0.307M,,,7.367B,16.56B,,1.155B,933.68M,4.189B,104.98M,,,-11.08M,6.266B,,,
2007-06,38.83M,,38.83M,808.04M,,1.359B,,409.11M,,,,523.82M,2.330B,24.21B,1.881B,26.09B,-9.984B,16.11B,,,,,3.848B,19.96B,22.29B,,932.96M,97.55M,,1.031B,726.46M,1.757B,,915.74M,,915.74M,,2.673B,,6.615B,,6.615B,2.503B,,116.74M,,,,0.736M,,,6.732B,16.19B,,1.154B,779.60M,4.176B,104.98M,,,-9.294M,6.100B,,,
2007-03,65.00M,,65.00M,920.92M,,1.442B,,387.72M,,,,484.24M,2.379B,25.23B,1.680B,26.91B,-11.07B,15.84B,,,,,3.765B,19.60B,21.98B,,949.49M,92.02M,,1.042B,743.30M,1.785B,,970.79M,,970.79M,,2.756B,,6.452B,,6.452B,2.415B,,119.17M,,,,1.214M,,,6.571B,16.01B,,1.127B,801.15M,4.062B,104.98M,,,-16.64M,5.973B,,,
2006-12,37.46M,,37.46M,833.29M,,1.348B,,506.19M,,,,742.94M,2.634B,23.79B,1.425B,25.22B,-9.670B,15.55B,,,,,3.776B,19.32B,21.96B,,1.101B,91.68M,,1.193B,709.62M,1.903B,,962.71M,,962.71M,,2.865B,,6.450B,,6.450B,2.378B,,121.59M,,,,,,,6.571B,16.04B,,1.123B,771.25M,4.044B,104.98M,,,-16.33M,5.922B,,,
2006-09,32.96M,,32.96M,743.42M,,1.149B,,541.78M,,,,818.49M,2.542B,23.68B,1.333B,25.01B,-9.704B,15.31B,,,,,3.372B,18.68B,21.22B,,878.68M,91.51M,,970.20M,797.55M,1.768B,,510.96M,,510.96M,,2.279B,,6.688B,,6.688B,2.246B,,124.05M,,,,2.288M,,,6.813B,15.43B,,1.121B,765.21M,4.025B,104.98M,,,-119.68M,5.792B,,,
2006-06,161.21M,,161.21M,768.61M,,1.167B,,395.52M,,,,759.54M,2.484B,24.79B,1.101B,25.89B,-10.80B,15.09B,,,,,3.689B,18.78B,21.26B,,922.88M,91.30M,,1.014B,606.44M,1.621B,,948.92M,,948.92M,,2.570B,,6.237B,,6.237B,2.395B,,126.50M,,,,2.973M,,,6.364B,15.60B,,1.119B,632.26M,4.013B,104.98M,,,-103.71M,5.660B,,,
2006-03,81.91M,,81.91M,941.92M,,1.338B,,382.43M,,,,736.00M,2.538B,23.36B,978.64M,24.34B,-9.454B,14.88B,,,,,3.720B,18.60B,21.14B,,901.88M,88.16M,,990.04M,680.42M,1.670B,,1.585B,,1.585B,,3.256B,,5.545B,,5.545B,2.366B,,128.95M,,,,3.362M,,,5.674B,15.51B,,1.118B,625.28M,3.995B,104.98M,,,-114.04M,5.624B,,,
2005-12,72.20M,,72.20M,1.012B,,1.626B,,535.16M,,,,908.92M,3.142B,24.46B,783.49M,25.24B,-10.55B,14.70B,,,,,3.667B,18.36B,21.50B,,1.187B,87.79M,,1.275B,815.93M,2.091B,,1.582B,,1.582B,,3.673B,,5.898B,,5.898B,2.323B,,131.40M,,,,3.547M,,,6.029B,16.00B,,1.113B,562.14M,3.957B,104.98M,,,-132.06M,5.500B,,,
2005-09,185.68M,,185.68M,864.54M,,1.356B,,221.68M,,,,1.431B,3.194B,23.15B,657.37M,23.80B,-9.375B,14.43B,,,,,3.916B,18.34B,21.54B,,1.023B,87.68M,,1.111B,851.22M,1.962B,,848.72M,,848.72M,,2.811B,,6.159B,,6.159B,2.279B,,134.31M,,,,4.43M,,,6.293B,16.05B,,1.112B,537.86M,3.949B,104.98M,,,-116.00M,5.483B,,,
2005-06,54.47M,,54.47M,774.34M,,1.229B,,217.68M,,,,976.28M,2.478B,23.07B,602.09M,23.67B,-9.327B,14.34B,,,,,3.652B,18.00B,20.47B,,768.71M,87.57M,,856.28M,696.33M,1.553B,,635.53M,,635.53M,,2.188B,,6.377B,,6.377B,2.228B,,137.21M,,,,4.662M,,,6.514B,15.12B,,1.111B,429.52M,3.940B,104.98M,,,-128.23M,5.352B,,,
2005-03,68.99M,,68.99M,780.56M,,1.200B,,223.37M,,,,941.06M,2.433B,22.68B,708.33M,23.39B,-9.188B,14.20B,,,,,3.663B,17.87B,20.30B,,730.47M,83.69M,,814.16M,764.29M,1.578B,,424.57M,,424.57M,,2.003B,,6.477B,,6.477B,2.239B,,140.12M,,,,3.334M,,,6.617B,14.93B,,1.110B,433.68M,3.933B,104.98M,,,-103.91M,5.372B,,,
2004-12,23.36M,,23.36M,761.26M,,1.197B,,225.59M,,,,1.126B,2.571B,22.41B,721.34M,23.13B,-9.051B,14.08B,,,,,3.658B,17.73B,20.30B,,903.61M,83.40M,,987.01M,813.02M,1.800B,,535.96M,,535.96M,,2.336B,,6.493B,,6.493B,2.209B,,143.03M,,,,3.22M,,,6.636B,14.99B,,1.106B,396.64M,3.911B,104.98M,,,-105.93M,5.308B,,,
2004-09,90.78M,,90.78M,631.98M,,994.28M,,447.09M,,,,638.65M,2.171B,23.19B,836.95M,24.03B,-10.16B,13.87B,,,,,4.022B,17.89B,20.06B,,744.79M,84.04M,,828.83M,880.36M,1.709B,,92.63M,,92.63M,,1.802B,,6.698B,,6.698B,2.175B,,146.15M,,,,3.63M,,,6.844B,14.74B,,1.105B,407.78M,3.903B,104.98M,,,-97.03M,5.318B,,,
2004-06,118.81M,,118.81M,623.54M,,989.68M,,344.15M,,,,567.36M,2.020B,23.25B,739.59M,23.99B,-10.10B,13.89B,,,,,3.823B,17.72B,19.74B,,745.53M,83.79M,,829.32M,729.95M,1.559B,,134.61M,,134.61M,,1.694B,,6.563B,,6.563B,2.186B,,149.31M,,,,4.192M,,,6.713B,14.37B,,1.103B,445.10M,3.895B,104.98M,,,-81.20M,5.363B,,,
2004-03,526.69M,,526.69M,665.50M,,966.20M,,326.66M,,,,566.68M,2.386B,22.96B,778.59M,23.74B,-9.953B,13.79B,,,,,3.656B,17.44B,19.83B,,629.58M,76.06M,,705.64M,1.130B,1.835B,,101.32M,,101.32M,,1.936B,,6.577B,,6.577B,2.202B,,152.47M,,,,0.689M,,,6.730B,14.49B,,1.102B,442.51M,3.888B,104.98M,,,-90.12M,5.342B,,,
2003-12,568.28M,,568.28M,646.64M,,1.014B,,362.48M,,,,1.187B,3.131B,112.09B,917.53M,113.00B,-99.71B,13.30B,,,,,3.778B,17.07B,20.21B,,774.34M,75.87M,,850.20M,1.602B,2.453B,,218.52M,,218.52M,,2.671B,,6.494B,,6.494B,2.147B,,155.63M,,,,0.281M,,,6.649B,14.93B,,1.102B,368.66M,3.891B,104.98M,,,-90.14M,5.271B,,,
2003-09,695.70M,,695.70M,710.52M,,1.027B,,391.31M,,,,1.004B,3.118B,21.36B,943.89M,22.31B,-9.538B,12.77B,65.94M,,,,2.310B,15.15B,18.26B,,684.36M,,,684.36M,1.719B,2.404B,,389.97M,,389.97M,,2.794B,,6.412B,,6.412B,1.820B,,159.92M,,,,5.433M,100.00M,,6.672B,13.44B,,1.101B,42.94M,3.889B,104.26M,,,-214.86M,4.819B,,,
2003-06,429.50M,,429.50M,664.89M,,960.78M,,332.55M,,,,368.34M,2.091B,21.07B,921.05M,21.99B,-9.361B,12.63B,66.16M,,,,2.310B,15.01B,17.10B,,647.56M,75.82M,,723.38M,1.565B,2.289B,,985.70M,,985.70M,,3.274B,,5.472B,,5.472B,1.382B,,163.18M,,,,6.457M,300.00M,,5.935B,12.60B,,1.101B,-244.55M,3.889B,104.26M,,,-257.06M,4.488B,,,
2003-03,1.035B,,1.035B,1.250B,,1.572B,,551.52M,,,,906.47M,4.065B,27.71B,1.388B,29.09B,-9.901B,19.19B,101.22M,,,,4.412B,23.71B,27.77B,,1.430B,1.06M,,1.431B,1.391B,2.822B,,9.028B,,9.028B,,11.85B,,6.607B,,6.607B,1.532B,,166.44M,,,,35.62M,494.00M,,7.267B,22.87B,,1.102B,38.01M,4.038B,105.32M,,,-308.47M,4.870B,,,
2002-12,484.70M,,484.70M,536.48M,,927.46M,,373.90M,,,,1.951B,3.737B,21.57B,889.90M,22.46B,-9.144B,13.31B,,,,,12.38B,25.70B,29.44B,,698.17M,75.81M,,773.98M,10.51B,11.29B,,1.062B,,1.062B,,12.35B,,5.319B,,5.319B,2.064B,,169.59M,,,,0.296M,494.00M,,5.983B,24.67B,,1.102B,-100.94M,4.038B,105.32M,,,-269.01M,4.770B,,,
2002-09,1.265B,,1.265B,1.049B,,1.409B,,670.15M,,,,849.87M,4.194B,27.75B,1.534B,29.28B,-10.15B,19.14B,102.18M,,,,4.974B,24.21B,28.41B,,1.409B,75.98M,,1.485B,1.440B,2.925B,,9.526B,,9.526B,,12.45B,,6.889B,,6.889B,1.581B,,172.82M,,,,38.84M,494.00M,,7.556B,23.01B,,1.102B,309.63M,4.035B,105.32M,,,-93.75M,5.353B,,,
2002-06,495.61M,,495.61M,1.135B,,1.584B,,687.90M,,,,804.04M,3.571B,28.45B,3.607B,32.05B,-10.04B,22.01B,181.70M,,,,4.641B,26.83B,30.40B,,1.257B,150.04M,,1.407B,973.05M,2.380B,,7.797B,,7.797B,,10.18B,,8.336B,,8.336B,2.461B,,176.92M,,,,77.63M,494.00M,,9.007B,22.85B,,1.098B,2.459B,4.020B,105.32M,,,-99.01M,7.478B,,,
2002-03,429.44M,,429.44M,1.306B,,1.723B,,636.97M,,,,737.73M,3.528B,27.70B,3.588B,31.29B,-9.823B,21.47B,,,,,4.336B,25.81B,29.33B,,1.333B,139.92M,,1.473B,1.117B,2.590B,,2.855B,,2.855B,,5.445B,,12.21B,,12.21B,2.448B,,180.60M,,,,652.23M,494.00M,,12.88B,21.88B,,1.031B,2.522B,3.443B,105.32M,,,-195.59M,6.800B,,,
2001-12,277.36M,,277.36M,1.076B,,1.572B,,700.11M,,,,745.35M,3.294B,26.47B,3.683B,30.16B,-9.537B,20.62B,117.29M,,,,4.688B,25.42B,28.72B,,1.320B,130.84M,,1.451B,1.338B,2.789B,,2.644B,,2.644B,,5.433B,,11.89B,,11.89B,2.455B,,184.15M,,,,636.85M,494.00M,,12.57B,21.78B,,969.82M,2.558B,2.970B,105.32M,,,-198.02M,6.300B,,,
2001-09,302.49M,,302.49M,1.071B,,1.559B,,647.04M,,,,644.14M,3.152B,29.03B,588.70M,29.62B,-9.342B,20.28B,,,,,4.314B,24.59B,27.75B,,1.326B,130.51M,,1.456B,1.199B,2.655B,,3.062B,,3.062B,,5.717B,,10.96B,,10.96B,2.277B,,187.90M,,,,651.12M,494.00M,,11.64B,20.78B,,967.61M,2.544B,2.947B,105.32M,,,-148.70M,6.310B,,,
2001-06,346.62M,,346.62M,1.299B,,1.815B,,586.60M,,,,675.90M,3.424B,27.22B,772.51M,27.99B,-9.127B,18.87B,,,,,4.096B,22.96B,26.39B,,1.258B,130.21M,,1.388B,1.062B,2.450B,,2.980B,,2.980B,,5.430B,,10.09B,,10.09B,2.311B,,191.26M,,,,573.69M,494.00M,,10.77B,19.68B,,965.53M,2.402B,2.924B,105.32M,,,-162.50M,6.129B,,,
2001-03,343.88M,,343.88M,1.336B,,1.865B,,488.27M,,,,883.44M,3.581B,24.81B,681.78M,25.49B,-8.932B,16.56B,,,,,3.470B,20.03B,23.61B,,1.268B,129.62M,,1.397B,1.173B,2.570B,,2.674B,,2.674B,,5.244B,,8.169B,,8.169B,2.072B,,194.68M,,,,534.93M,494.00M,,8.857B,17.11B,,961.38M,2.364B,2.885B,105.32M,,,-247.63M,5.963B,,,
2000-12,216.49M,,216.49M,1.290B,,1.973B,,480.83M,,,,457.76M,3.128B,23.12B,915.49M,24.03B,-8.759B,15.27B,,,,,3.368B,18.64B,21.77B,,1.609B,128.98M,,1.738B,855.15M,2.593B,,2.079B,,2.079B,,4.672B,,7.583B,,7.583B,1.992B,,198.11M,,,,277.34M,494.00M,,8.276B,15.82B,,957.40M,2.284B,2.607B,105.32M,,,-181.55M,5.667B,,,
2000-09,263.22M,,263.22M,1.031B,,1.501B,,575.81M,,,,323.90M,2.663B,23.21B,524.36M,23.73B,-8.670B,15.06B,,,,615.58M,2.737B,18.42B,21.08B,,1.153B,75.20M,,1.229B,774.79M,2.003B,,2.433B,,2.433B,,4.436B,,7.132B,,7.132B,1.996B,,202.98M,,,,267.81M,494.00M,,7.829B,15.21B,,3.546B,2.275B,,105.34M,,,-215.42M,5.606B,,,
2000-06,120.47M,,120.47M,523.25M,,632.44M,,363.23M,,,,169.73M,1.286B,,,9.967B,-5.499B,4.468B,118.46M,,,,6.054B,10.64B,11.93B,,379.08M,58.86M,,437.95M,402.45M,840.39M,,1.113B,,1.113B,,1.953B,,4.839B,,4.839B,1.009B,,113.61M,,,,257.48M,200.00M,,5.153B,8.803B,,1.562B,1.428B,,105.34M,-115.80M,-8.248M,-124.05M,2.866B,,,
2000-03,187.98M,,187.98M,418.96M,,546.04M,,320.75M,,,,101.70M,1.156B,,,8.926B,-4.478B,4.449B,118.53M,,,,5.873B,10.44B,11.60B,,315.58M,57.83M,,373.41M,383.68M,757.09M,,1.302B,,1.302B,,2.059B,,4.984B,,4.984B,935.75M,,116.09M,,,,,200.00M,,5.300B,8.954B,,1.333B,1.425B,,105.34M,-115.62M,,-115.62M,2.642B,,,
1999-12,139.73M,,139.73M,800.07M,,1.211B,,459.40M,,,,250.95M,2.061B,20.42B,533.05M,20.95B,-8.153B,12.80B,,,,,3.210B,16.01B,18.07B,,793.14M,127.57M,,920.71M,698.78M,1.619B,,1.864B,,1.864B,,3.483B,,5.827B,,5.827B,1.993B,,214.01M,,,,14.70M,494.00M,,6.535B,12.66B,,943.53M,2.254B,2.288B,105.34M,-78.42M,-11.61M,-90.03M,5.396B,,,
1999-09,86.70M,,86.70M,399.20M,,509.50M,,233.00M,,,,63.00M,892.20M,,,9.700B,-5.301B,4.400B,124.90M,,,,3.268B,7.793B,8.685B,,284.30M,57.00M,,341.30M,371.70M,713.00M,,1.206B,,1.206B,-0.10M,1.919B,,2.393B,,2.393B,903.20M,,121.10M,,,,,200.00M,,2.714B,6.032B,,1.302B,1.438B,,105.30M,,,-86.90M,2.653B,,,
1999-06,98.20M,,98.20M,346.30M,,459.30M,,204.40M,,,,124.50M,886.40M,,,9.586B,-5.208B,4.378B,121.20M,,,,3.153B,7.652B,8.539B,,262.90M,56.80M,,319.70M,305.70M,625.40M,,1.434B,,1.434B,0.10M,2.060B,,2.153B,,2.153B,914.20M,,123.50M,,,,,200.00M,,2.476B,5.946B,,1.289B,1.383B,,105.30M,-64.40M,-15.10M,-79.50M,2.593B,,,
1999-03,58.20M,,58.20M,326.20M,,428.80M,,157.80M,,,,49.20M,694.00M,,,8.707B,-4.325B,4.382B,96.10M,,,,2.207B,6.685B,7.379B,,256.80M,56.10M,,312.90M,336.70M,649.60M,,538.40M,,538.40M,0.10M,1.188B,,1.844B,,1.844B,940.40M,,126.00M,,,,,200.00M,,2.170B,4.778B,,1.274B,1.429B,,105.30M,-85.50M,-16.70M,-102.20M,2.602B,,,
1998-12,42.40M,,42.40M,358.70M,,497.80M,,169.10M,,,,44.80M,754.10M,,,9.424B,-5.029B,4.395B,95.90M,,,,2.151B,6.642B,7.396B,,271.80M,55.70M,,327.50M,295.80M,623.30M,,609.00M,,609.00M,,1.232B,,1.851B,,1.851B,943.40M,,128.40M,,,,,200.00M,,2.180B,4.810B,,487.00M,1.433B,774.30M,105.30M,-89.00M,-18.50M,-107.50M,2.586B,,,
1998-09,88.90M,,88.90M,337.20M,,437.00M,,173.90M,,,,49.60M,749.40M,,,9.335B,-4.962B,4.373B,96.10M,,,,2.048B,6.517B,7.266B,,215.00M,55.50M,,270.50M,350.20M,620.70M,,595.30M,,595.30M,,1.216B,,1.848B,,1.848B,906.60M,,131.20M,,,,,200.00M,,2.179B,4.731B,,1.248B,1.400B,,105.30M,-92.70M,-20.20M,-112.90M,2.535B,,,
1998-06,40.10M,,40.10M,320.10M,,418.40M,,158.40M,,,,56.50M,673.40M,,,9.214B,-4.872B,4.342B,97.40M,,,,2.018B,6.457B,7.130B,,201.00M,55.10M,,256.10M,263.40M,519.50M,,422.00M,,422.00M,,941.50M,,2.049B,,2.049B,914.80M,,133.60M,,,,,200.00M,,2.383B,4.660B,,1.232B,1.347B,,105.30M,-86.00M,-21.90M,-107.90M,2.471B,,,
1998-03,134.80M,,134.80M,341.20M,,440.70M,,154.70M,,,,47.10M,777.30M,,,9.028B,-4.685B,4.343B,90.30M,,,,1.980B,6.414B,7.191B,,187.20M,53.80M,,241.00M,376.40M,617.40M,,289.00M,,289.00M,,906.40M,,2.123B,,2.123B,918.30M,,136.00M,,,,,200.00M,,2.459B,4.697B,,1.202B,1.367B,,105.30M,-66.00M,-8.80M,-74.80M,2.494B,,,
1997-12,54.80M,,54.80M,406.00M,,527.60M,,163.70M,,,,55.70M,801.80M,,,9.062B,-4.701B,4.361B,92.80M,,,,1.888B,6.342B,7.144B,,249.80M,54.80M,,304.60M,304.70M,609.30M,,424.80M,,424.80M,-0.10M,1.034B,,1.879B,,1.879B,931.10M,,138.50M,,,,,200.00M,,2.217B,4.572B,,573.40M,1.365B,707.20M,200.30M,-62.90M,-10.50M,-73.40M,2.572B,,,
1997-09,112.50M,,112.50M,362.60M,,451.60M,,176.70M,,,,44.70M,785.50M,,,8.996B,-4.653B,4.343B,62.40M,,,,1.868B,6.273B,7.059B,,170.90M,54.70M,,225.60M,328.50M,554.10M,,365.20M,,365.20M,,919.30M,,1.856B,,1.856B,949.80M,,141.50M,,,,,200.00M,,2.198B,4.486B,,1.262B,1.356B,,200.30M,-30.80M,-13.90M,-44.70M,2.573B,,,
1997-06,53.10M,,53.10M,340.90M,,435.40M,,146.20M,,,,54.90M,689.60M,,,8.891B,-4.568B,4.323B,46.70M,,,,1.810B,6.179B,6.869B,,185.70M,51.10M,,236.80M,241.80M,478.60M,,563.00M,,563.00M,-0.10M,1.042B,,1.840B,,1.840B,947.50M,,144.20M,,,,,200.00M,,2.184B,4.564B,,1.012B,1.322B,,200.30M,-13.80M,-15.60M,-29.40M,2.305B,,,
1997-03,47.50M,,47.50M,368.60M,,473.50M,,145.00M,,,,58.60M,724.60M,,,8.802B,-4.483B,4.319B,121.60M,,,,1.434B,5.875B,6.599B,,186.00M,50.00M,,236.00M,376.70M,612.70M,,415.10M,,415.10M,,1.028B,,1.589B,,1.589B,949.70M,,146.90M,,,,,200.00M,,1.936B,4.251B,,1.011B,1.355B,,200.30M,-0.70M,-17.30M,-18.00M,2.348B,,,
1996-12,51.10M,,51.10M,371.70M,,519.10M,,154.40M,,,,72.60M,797.20M,,,8.741B,-4.403B,4.338B,103.40M,,,,1.398B,5.840B,6.637B,,236.30M,50.40M,,286.70M,320.10M,606.80M,,629.60M,,629.60M,,1.236B,,1.593B,,1.593B,953.90M,,149.60M,,,,,,,1.742B,4.260B,,413.20M,1.341B,638.70M,240.50M,2.80M,-19.10M,-16.30M,2.376B,,,
1996-09,79.40M,,79.40M,326.30M,,407.10M,,165.40M,,,,65.00M,716.90M,,,8.685B,-4.341B,4.344B,93.60M,,,,1.240B,5.678B,6.395B,,187.70M,50.40M,,238.10M,325.50M,563.60M,,382.40M,,382.40M,,946.00M,,1.673B,,1.673B,987.40M,,152.80M,,,,,,,1.826B,4.049B,,1.052B,1.311B,,240.50M,3.40M,-20.70M,-17.30M,2.346B,,,
1996-06,39.10M,,39.10M,461.10M,,558.10M,,142.40M,,,,61.70M,801.30M,,,8.580B,-4.256B,4.324B,96.40M,,,,1.180B,5.60B,6.401B,,186.30M,50.30M,,236.60M,245.10M,481.70M,,532.50M,,532.50M,0.10M,1.014B,,1.666B,,1.666B,970.80M,,155.70M,,,,,,,1.822B,4.087B,,1.041B,1.277B,,240.50M,3.30M,-7.40M,-4.10M,2.314B,,,
1996-03,94.70M,,94.70M,351.20M,,474.50M,,129.60M,,,,138.90M,837.70M,,,8.498B,-4.176B,4.321B,98.00M,,,,1.124B,5.544B,6.381B,,230.40M,48.70M,,279.10M,393.60M,672.70M,,325.80M,,325.80M,,998.50M,,1.668B,,1.668B,977.40M,,159.20M,,,,,,,1.827B,4.074B,,1.027B,1.284B,,240.50M,4.70M,-9.00M,-4.30M,2.307B,,,
1995-12,28.80M,,28.80M,360.60M,,473.30M,,144.50M,,,,57.90M,704.50M,,,8.407B,-4.097B,4.310B,85.80M,,,,1.128B,5.524B,6.229B,,246.10M,48.90M,,295.00M,312.90M,607.90M,,383.60M,,383.60M,-0.10M,991.40M,,1.542B,,1.542B,1.003B,,161.50M,,,,,,,1.704B,3.961B,,410.90M,1.266B,599.10M,240.50M,2.50M,-10.70M,-8.20M,2.268B,,,
1995-09,45.90M,,45.90M,300.00M,,300.00M,,153.20M,,,,125.90M,625.00M,,,8.342B,-4.060B,4.282B,84.70M,,,,1.082B,5.448B,6.073B,,187.90M,48.70M,,236.60M,314.70M,551.30M,,307.40M,,307.40M,,858.70M,,1.545B,,1.545B,1.026B,,166.10M,,,,,,,1.711B,3.830B,,997.40M,1.256B,,240.50M,2.70M,-12.30M,-9.60M,2.244B,,,
1995-06,58.40M,,58.40M,289.60M,,289.60M,,147.20M,,,,143.60M,638.80M,,,8.250B,-3.990B,4.260B,74.40M,,,,1.031B,5.365B,6.004B,,181.60M,48.50M,,230.10M,233.70M,463.80M,,478.20M,,478.20M,0.10M,942.10M,,1.466B,,1.466B,1.025B,,168.60M,,,,,,,1.634B,3.820B,,980.00M,1.216B,,240.50M,2.50M,-13.80M,-11.30M,2.184B,,,
1995-03,36.50M,,36.50M,290.30M,,290.30M,,150.90M,,,,132.80M,610.50M,,,8.170B,-3.910B,4.260B,79.10M,,,,964.60M,5.304B,5.914B,,179.30M,47.60M,,226.90M,348.30M,575.20M,,318.30M,,318.30M,-0.10M,893.40M,,1.456B,,1.456B,1.022B,,171.50M,,,,,,,1.628B,3.754B,,969.10M,1.204B,,240.50M,3.50M,-16.00M,-12.50M,2.161B,,,
1994-12,41.10M,,41.10M,309.70M,,309.70M,,158.90M,,,,155.50M,665.20M,,,8.109B,-3.836B,4.274B,68.60M,,,,942.20M,5.284B,5.950B,,234.90M,47.30M,,282.20M,285.30M,567.50M,,396.10M,,396.10M,,963.60M,,1.463B,,1.463B,1.019B,,173.80M,,,,,,,1.637B,3.812B,,407.80M,1.183B,545.90M,240.50M,3.60M,-3.00M,0.60M,2.138B,,,
1994-09,39.80M,,39.80M,283.10M,,283.10M,,159.10M,,,,116.10M,598.10M,,,8.009B,-3.784B,4.225B,72.10M,,,,886.90M,5.184B,5.782B,,181.70M,47.30M,,229.00M,309.80M,538.80M,,408.30M,,408.30M,-0.10M,947.00M,,1.312B,,1.312B,993.30M,,177.30M,,,,,,,1.489B,3.65B,,953.10M,1.182B,,240.50M,1.90M,-5.00M,-3.10M,2.132B,,,
1994-06,31.80M,,31.80M,289.30M,,289.30M,,150.80M,,,,134.60M,606.50M,,,7.908B,-3.710B,4.198B,70.30M,,,,858.10M,5.126B,5.733B,,190.70M,47.10M,,237.80M,234.20M,472.00M,,458.70M,,458.70M,-0.10M,930.60M,,1.314B,,1.314B,996.80M,,181.50M,,,,,,,1.496B,3.634B,,952.70M,1.153B,,240.50M,0.70M,-6.90M,-6.20M,2.099B,,,
1994-03,55.40M,,55.40M,317.50M,,317.50M,,151.50M,,,,126.90M,651.30M,,,4.196B,-3.60M,4.193B,68.30M,,,,757.50M,5.019B,5.670B,,184.40M,46.10M,,230.50M,355.40M,585.90M,,320.30M,,320.30M,-0.10M,906.10M,,1.308B,,1.308B,971.20M,,184.00M,,,,,,,1.492B,3.579B,,952.60M,1.147B,,240.50M,,,-8.80M,2.091B,,,
