,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-09,1.975B,1.975B,888.84M,1.086B,,,1.942M,73.65M,,,,498.13M,748.26M,337.83M,,,,1.942M,,239.67M,73.97M,165.70M,-118.98M,,-0.196M,1.06M,46.72M,164.35M,533.84M,196.00M,337.83M,,0.41,-0.30,,,0.4066,0.11,,0.40,-0.30,,,0.3968,0.11,,399.75M,423.08M,0.2075,,,
2004-06,1.763B,1.763B,723.02M,1.040B,,,13.38M,71.94M,,,,595.73M,841.30M,198.78M,,,,13.38M,,101.46M,15.94M,85.51M,0.792M,,,1.06M,86.31M,74.24M,385.07M,186.29M,198.78M,,0.21,0.00,,,0.1818,0.21,,0.21,0.00,,,0.1833,0.21,,399.22M,422.54M,0.2075,,,
2004-03,2.262B,2.262B,678.69M,1.583B,,,14.56M,84.80M,,,,1.007B,1.262B,321.24M,,,,14.56M,,221.54M,72.41M,149.13M,0.779M,,,1.06M,149.91M,139.33M,508.40M,187.16M,321.24M,,0.37,0.00,,,0.3454,0.37,,0.36,0.00,,,0.3368,0.36,,398.58M,421.92M,0.1875,,,
2003-12,1.958B,1.958B,659.90M,1.299B,,,-17.25M,31.73M,,,,834.77M,1.021B,277.88M,,,,-17.25M,,157.74M,7.829M,149.91M,327.53M,,,1.061M,477.45M,166.31M,477.47M,199.59M,277.88M,,0.37,0.82,,,0.4111,1.19,,0.35,0.81,,,0.3888,1.14,,398.88M,422.25M,0.375,,,
2003-09,2.002B,2.002B,814.45M,1.187B,,,17.44M,84.25M,,,,550.04M,821.27M,365.89M,,,,17.44M,,279.57M,94.92M,184.65M,102.85M,,-2.621M,1.06M,287.50M,173.13M,585.16M,219.27M,365.89M,,0.46,0.26,,,0.4311,0.72,,0.44,0.25,,,0.4125,0.69,,398.75M,418.13M,0.1875,,,
2003-06,1.712B,1.712B,639.34M,1.073B,,,2.135M,81.36M,,,,623.03M,910.59M,162.53M,,,,2.135M,,53.49M,-1.172M,54.66M,-337.22M,,-9.566M,1.06M,-282.56M,53.38M,368.73M,191.66M,162.53M,,0.14,-0.85,,,0.1368,-0.71,,0.13,-0.85,,,0.1268,-0.71,,398.72M,399.41M,0.1875,,,
2003-03,2.076B,2.076B,592.15M,1.483B,,,-3.918M,80.70M,,,,919.23M,1.191B,292.32M,,,,-3.918M,,186.44M,60.48M,125.97M,14.05M,,,1.06M,140.01M,128.61M,499.23M,206.91M,292.32M,,0.31,0.04,,,0.3166,0.35,,0.31,0.03,,,0.3163,0.34,,398.71M,417.37M,0.00,,,
2002-12,-93.28M,-93.28M,546.84M,-640.12M,,,,62.10M,,,,-3.379B,-3.343B,2.703B,,,,,,2.854B,854.86M,1.999B,-2.204B,,,1.061M,-204.76M,1.999B,2.731B,27.71M,2.703B,,5.28,-5.75,,,5.28,-0.47,,5.28,-5.75,,,5.28,-0.47,,397.61M,410.85M,0.1875,,,
2002-09,2.473B,2.473B,618.44M,1.855B,,,,87.54M,,,,3.644B,3.995B,-2.141B,,,,,,-2.307B,-679.84M,-1.627B,-577.00M,,,1.06M,-2.204B,-1.627B,-1.877B,254.26M,-2.141B,,-4.10,-1.45,,,-4.10,-5.55,,-4.10,-1.45,,,-4.10,-5.55,,397.40M,397.40M,0.1875,,,
2002-06,2.226B,2.226B,544.40M,1.681B,,,,84.71M,,,,1.022B,1.367B,314.39M,,,,,,122.90M,37.28M,85.62M,1.685M,,6.788M,1.06M,87.30M,85.62M,595.63M,281.25M,314.39M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,377.98M,378.13M,0.375,,,
2002-03,3.318B,3.318B,488.11M,2.829B,,,,82.90M,,,,2.158B,2.502B,327.92M,,,,,,136.78M,33.28M,103.50M,,,3.872M,1.06M,103.50M,103.50M,593.06M,265.14M,327.92M,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,353.83M,354.17M,0.375,,,
2001-12,-255.31M,-255.31M,598.95M,-854.26M,,,,76.44M,,,,-649.88M,-518.46M,-335.80M,,,,,,-76.12M,-20.23M,-55.89M,188.96M,,,1.061M,144.90M,-55.89M,-98.84M,236.96M,-335.80M,,-0.12,0.54,,,-0.12,0.42,,-0.12,-0.04,,,-0.12,0.41,,344.67M,345.40M,0.375,,,
2001-09,2.982B,2.982B,947.91M,2.034B,,,,53.89M,,,,1.098B,1.396B,637.59M,,,,,,406.95M,148.13M,258.82M,14.08M,,-37.21M,1.06M,272.90M,258.82M,899.15M,261.57M,637.59M,,0.75,0.04,,,0.75,0.79,,0.75,0.04,,,0.75,0.79,,343.77M,344.38M,0.375,,,
2001-06,3.697B,3.697B,836.98M,2.860B,,,,87.75M,,,,2.118B,2.427B,433.25M,,,,,,237.66M,70.16M,167.50M,0.353M,,-9.794M,1.06M,167.86M,167.50M,677.03M,243.78M,433.25M,,0.49,0.00,,,0.49,0.49,,0.49,0.00,,,0.49,0.49,,342.55M,343.69M,0.375,,,
2001-03,4.207B,4.207B,779.66M,3.427B,,,40.00M,94.75M,,,,2.650B,2.958B,469.79M,,,,40.00M,,315.59M,106.28M,209.31M,,,-8.652M,1.06M,209.31M,182.78M,702.10M,232.31M,469.79M,,0.61,0.00,,,0.5322,0.61,,0.6099,0.00,,,0.5322,0.6099,,340.78M,341.47M,0.375,,,
2000-12,4.636B,4.636B,3.510B,1.126B,,,193.81M,79.42M,,,,658.68M,946.92M,179.13M,,,,193.81M,,199.95M,62.15M,137.80M,,,-11.74M,1.06M,137.80M,4.231M,416.15M,237.02M,179.13M,,-0.29,0.69,,,-0.6835,0.40,,-0.29,0.06,,,-0.6835,0.40,,339.47M,339.47M,0.375,,,
2000-09,2.563B,2.563B,1.173B,1.390B,,,-5.027M,90.06M,,,,693.65M,984.79M,405.28M,,,,-5.027M,,195.65M,97.73M,97.92M,,-5.302M,-19.02M,1.06M,92.61M,100.93M,620.56M,215.28M,405.28M,,0.29,-0.02,0.00,,0.2989,0.27,,0.2858,-0.02,-0.0157,,0.2947,0.27,,338.50M,338.88M,0.5853,,,
2000-06,2.416B,2.416B,518.04M,1.898B,,,55.55M,89.28M,,,,1.241B,1.528B,370.46M,,,,55.55M,,236.98M,80.24M,156.74M,,,-7.929M,1.06M,143.08M,120.00M,658.86M,288.40M,370.46M,,0.46,-0.04,,-0.0405,0.3511,0.42,,0.46,-0.04,,-0.0405,0.3512,0.42,,337.47M,337.63M,0.3625,,,
2000-03,793.00M,793.00M,323.95M,469.05M,,38.10M,49.61M,57.86M,,,,128.69M,357.32M,111.73M,,,,49.61M,,70.27M,22.27M,48.00M,,,,1.06M,48.00M,14.11M,244.40M,132.67M,111.73M,,0.30,0.00,,,0.0826,0.30,,0.30,0.00,,,0.0826,0.30,,155.89M,155.91M,0.00,,,
1999-12,5.509B,5.509B,3.109B,2.400B,,,77.22M,76.32M,,,,1.237B,1.548B,852.00M,,,,77.22M,,631.21M,235.37M,395.83M,,,,1.092M,395.83M,347.41M,1.260B,408.38M,852.00M,,2.557,,,,2.244,2.557,,2.557,,,,2.244,2.557,,154.36M,154.36M,0.3625,,,
1999-09,813.40M,813.40M,294.40M,519.00M,,34.30M,51.50M,115.70M,,,,125.40M,396.50M,122.50M,,,,51.50M,,107.60M,-3.70M,111.30M,,,,1.10M,111.30M,80.40M,243.64M,121.14M,122.50M,,0.72,0.00,,,0.5181,0.72,,0.72,0.00,,,0.5181,0.72,,153.06M,153.06M,0.3625,,,
1999-06,627.16M,627.16M,223.68M,403.48M,,35.23M,17.38M,55.15M,,,,171.53M,350.00M,53.47M,,,,17.38M,,17.02M,5.53M,11.49M,,,,2.11M,11.49M,-0.2424M,165.89M,112.42M,53.47M,,0.06,0.00,,,-0.0167,0.06,,0.06,0.00,,,-0.0166,0.06,,153.01M,153.12M,0.3625,,,
1999-03,743.18M,743.18M,280.21M,462.98M,,30.56M,-12.36M,57.63M,,,,139.20M,339.04M,123.94M,,,,-12.36M,,72.47M,20.15M,52.32M,,,,1.06M,52.32M,61.25M,235.58M,111.64M,123.94M,,0.34,0.00,,,0.3986,0.34,,0.34,0.00,,,0.3985,0.34,,152.39M,152.55M,0.3575,,,
1998-12,4.506B,4.506B,2.264B,2.242B,,,116.98M,69.44M,,,,1.143B,1.411B,830.53M,,,,116.98M,,714.82M,284.29M,430.53M,,,,1.048M,430.53M,360.07M,1.141B,,830.53M,,2.813,,,,2.351,2.813,,2.813,,,,2.351,2.813,,152.70M,152.70M,0.3575,,,
1998-09,766.40M,766.40M,234.60M,531.80M,,36.90M,-7.30M,123.30M,,,,128.10M,396.90M,134.90M,,,,-7.30M,,83.70M,-18.00M,101.70M,,,,1.10M,101.70M,106.08M,243.50M,,134.90M,,0.67,0.00,,,0.6992,0.67,,0.67,0.00,,,0.6992,0.67,,150.15M,150.15M,0.3575,,,
1998-06,638.70M,638.70M,209.50M,429.20M,,36.50M,1.20M,76.80M,,,,145.80M,364.00M,65.20M,,,,1.20M,,23.20M,-11.80M,35.00M,,,,1.10M,35.00M,34.28M,170.10M,,65.20M,,0.23,0.00,,,0.2251,0.23,,0.23,0.00,,,0.2251,0.23,,147.39M,147.39M,0.3575,,,
1998-03,701.40M,701.40M,261.70M,439.70M,,37.80M,5.10M,86.50M,,,,132.50M,360.60M,79.10M,,,,5.10M,,43.10M,-14.00M,57.10M,,,,2.40M,57.10M,54.04M,182.90M,,79.10M,,0.37,0.00,,,0.3493,0.37,,0.37,0.00,,,0.3493,0.37,,147.84M,147.84M,0.3525,,,
1997-12,699.50M,699.50M,,,,,,,,,,,,-1.557B,,,,,,,,65.40M,,,,,65.40M,65.40M,-1.557B,,-1.557B,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,147.07M,147.07M,0.3525,,,
1997-09,697.40M,697.40M,,,,,,,,,,,,697.40M,,,,,,,,87.90M,,,,,87.90M,87.90M,697.40M,,697.40M,,0.62,0.00,,,0.62,0.62,,0.62,0.00,,,0.62,0.62,,137.90M,137.90M,0.3525,,,
1997-06,594.30M,594.30M,182.60M,411.70M,,36.30M,-1.60M,78.80M,,,,161.30M,375.20M,36.50M,,,,-1.60M,,1.50M,-16.80M,18.30M,,,4.80M,2.40M,18.30M,19.26M,135.30M,,36.50M,,0.12,0.00,,,0.1272,0.12,,0.12,0.00,,,0.1272,0.12,,132.50M,132.50M,0.3525,,,
1997-03,742.50M,742.50M,291.60M,450.90M,,34.60M,-3.70M,98.40M,,,,132.60M,362.40M,88.50M,,,,-3.70M,,59.40M,-6.40M,65.80M,,,7.20M,4.00M,65.80M,68.02M,185.30M,,88.50M,,0.45,0.00,,,0.4662,0.45,,0.45,0.00,,,0.4662,0.45,,137.33M,137.33M,0.345,,,
1996-12,710.00M,710.00M,258.70M,451.30M,,32.10M,-5.30M,-69.60M,,,,127.70M,189.30M,262.00M,,,,-5.30M,,237.80M,158.10M,79.70M,,,12.60M,3.00M,79.70M,82.88M,361.10M,,262.00M,,0.55,0.00,,,0.5727,0.55,,0.55,0.00,,,0.5727,0.55,,140.02M,140.02M,0.345,,,
1996-09,633.30M,633.30M,165.70M,467.60M,,41.20M,-0.30M,114.00M,,,,109.80M,362.10M,105.50M,,,,-0.30M,,80.20M,-4.00M,84.20M,,,6.30M,3.10M,84.20M,84.38M,202.60M,,105.50M,,0.59,0.00,,,0.5913,0.59,,0.59,0.00,,,0.5913,0.59,,137.46M,137.46M,0.69,,,
1996-06,592.30M,592.30M,180.50M,411.80M,,40.40M,-5.00M,87.60M,,,,118.90M,340.90M,70.90M,,,,-5.00M,,40.20M,-3.20M,43.40M,,,6.10M,3.10M,43.40M,46.40M,164.90M,,70.90M,,0.30,0.00,,,0.3223,0.30,,0.30,0.00,,,0.3223,0.30,,134.33M,134.33M,0.3375,,,
1996-03,718.70M,718.70M,271.80M,446.90M,,34.90M,-3.40M,100.80M,,,,130.70M,357.60M,89.30M,,,,-3.40M,,63.20M,-4.00M,67.20M,,,6.00M,3.10M,67.20M,69.24M,180.50M,,89.30M,,0.47,0.00,,,0.4850,0.47,,0.47,0.00,,,0.4850,0.47,,136.38M,136.38M,0.00,,,
1995-12,652.80M,652.80M,215.60M,437.20M,,57.30M,-18.40M,-60.30M,,,,120.30M,211.50M,225.70M,,,,-18.40M,,,,59.00M,,,31.00M,3.00M,59.00M,70.04M,319.90M,,225.70M,,0.41,0.00,,,0.4911,0.41,,0.41,0.00,,,0.4911,0.41,,136.13M,136.13M,0.3375,,,
1995-09,664.90M,664.90M,187.60M,477.30M,,45.30M,-2.20M,114.80M,,,,110.50M,365.60M,111.70M,,,,-2.20M,,,,88.80M,,,9.60M,3.10M,88.80M,90.12M,206.70M,,111.70M,,0.64,0.00,,,0.6499,0.64,,0.64,0.00,,,0.6499,0.64,,133.91M,133.91M,0.3375,,,
1995-06,589.70M,589.70M,189.40M,400.30M,,39.70M,-6.10M,85.80M,,,,116.00M,332.10M,68.20M,,,,-6.10M,,68.60M,8.80M,59.80M,,,35.90M,3.10M,59.80M,65.12M,158.80M,,68.20M,,0.42,0.00,,,0.4594,0.42,,0.42,0.00,,,0.4594,0.42,,135.00M,135.00M,0.3375,,,
1995-03,661.20M,661.20M,234.50M,426.70M,,43.70M,2.00M,98.90M,,,,104.00M,338.90M,87.80M,,,,2.00M,,69.10M,0.90M,68.20M,,,8.80M,3.20M,68.20M,66.23M,180.10M,,87.80M,,0.49,0.00,,,0.4751,0.49,,0.49,0.00,,,0.4751,0.49,,132.65M,132.65M,0.33,,,
1994-12,608.70M,608.70M,203.20M,405.50M,,45.50M,-10.20M,-52.10M,,,,126.40M,208.30M,197.20M,,,,-10.20M,,,,48.80M,,,20.80M,3.20M,48.80M,54.92M,285.70M,,197.20M,,0.34,0.00,,,0.3857,0.34,,0.34,0.00,,,0.3857,0.34,,133.98M,133.98M,0.33,,,
1994-09,612.30M,612.30M,183.20M,429.10M,,48.30M,5.30M,97.70M,,,,104.90M,340.10M,89.00M,,,,5.30M,,,,76.10M,,,8.10M,3.10M,76.10M,72.92M,178.20M,,89.00M,,0.55,0.00,,,0.5260,0.55,,0.55,0.00,,,0.5260,0.55,,132.73M,132.73M,0.33,,,
1994-06,582.00M,582.00M,194.10M,387.90M,,45.10M,-2.00M,86.90M,,,,104.20M,322.20M,65.70M,,,,-2.00M,,,,52.80M,,,12.90M,3.10M,52.80M,54.00M,151.70M,,65.70M,,0.37,0.00,,,0.3789,0.37,,0.37,0.00,,,0.3789,0.37,,134.32M,134.32M,0.33,,,
1994-03,683.40M,683.40M,254.30M,429.10M,,49.20M,3.20M,102.10M,,,,105.80M,343.40M,85.70M,,,,3.20M,,,,65.80M,,,-0.10M,3.10M,65.80M,63.88M,172.00M,,85.70M,,0.47,0.00,,,0.4556,0.47,,0.47,0.00,,,0.4556,0.47,,133.40M,133.40M,0.3225,,,
1993-12,630.00M,630.00M,,,,,,,,,,,,630.00M,,,,,,,,61.50M,,,,,61.50M,61.50M,630.00M,,630.00M,,0.44,0.00,,,0.44,0.44,,0.43,0.00,,,0.43,0.43,,132.85M,136.29M,0.3225,,,
1993-09,588.00M,588.00M,,,,,,,,,,,,588.00M,,,,,,,,59.90M,,,,,59.90M,59.90M,588.00M,,588.00M,,0.42,0.00,,,0.42,0.42,,0.42,0.00,,,0.42,0.42,,133.81M,133.81M,0.3225,,,
1993-06,545.30M,545.30M,,,,,,,,,,,,545.30M,,,,,,,,35.90M,,,,,35.90M,35.90M,545.30M,,545.30M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,128.80M,128.80M,0.3225,,,
1993-03,640.80M,640.80M,,,,,,,,,,,,640.80M,,,,,,,,54.50M,,,,,54.50M,54.50M,640.80M,,640.80M,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,123.66M,123.66M,0.315,,,
1992-12,572.00M,572.00M,,,,,,,,,,,,572.00M,,,,,,,,29.80M,,0.00,,,29.80M,29.80M,572.00M,,572.00M,,0.21,0.00,0.00,,0.21,0.21,,0.21,0.00,0.0002,,0.21,0.21,,124.07M,124.07M,0.315,,,
1992-09,523.40M,523.40M,,,,,,,,,,,,523.40M,,,,,,,,55.70M,,,,,55.70M,55.70M,523.40M,,523.40M,,0.42,0.00,,,0.42,0.42,,0.42,0.00,,,0.42,0.42,,123.33M,123.33M,0.315,,,
1992-06,500.30M,500.30M,,,,,,,,,,,,500.30M,,,,,,,,31.10M,,,,,31.10M,31.10M,500.30M,,500.30M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,122.73M,122.73M,0.315,,,
1992-03,563.80M,563.80M,,,,,,,,,,,,563.80M,,,,,,,,44.30M,,45.50M,,,89.80M,44.30M,563.80M,,563.80M,,0.32,0.37,0.00,,0.32,0.69,,0.32,0.37,0.3676,,0.32,0.69,,123.77M,123.77M,0.3025,,,
1991-12,533.50M,533.50M,,,,,,,,,,,,533.50M,,,,,,,,37.00M,0.00,,,,37.00M,37.00M,533.50M,,533.50M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,124.93M,124.93M,0.3025,,,
1991-09,589.20M,589.20M,,,,,,,,,,,,589.20M,,,,,,,,89.40M,,,,,89.40M,89.40M,589.20M,,589.20M,,0.68,0.00,,,0.68,0.68,,0.68,0.00,,,0.68,0.68,,124.85M,124.85M,0.3025,,,
1991-06,501.50M,501.50M,,,,,,,,,,,,501.50M,,,,,,,,24.60M,,,,,24.60M,24.60M,501.50M,,501.50M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,125.62M,125.62M,0.3025,,,
1991-03,577.00M,577.00M,,,,,,,,,,,,577.00M,,,,,,,,55.90M,17.00M,,,,72.90M,55.90M,577.00M,,577.00M,,0.41,0.14,,,0.41,0.55,,0.41,0.14,,,0.41,0.55,,124.36M,124.36M,0.29,,,
1990-12,431.20M,431.20M,,,,,,,,,,,,431.20M,,,,,,,,-6.30M,,,,,-3.80M,-6.30M,431.20M,,431.20M,,-0.09,0.02,,,-0.09,-0.07,,-0.09,0.02,,,-0.09,-0.07,,125.54M,125.54M,0.29,,,
1990-09,554.90M,554.90M,,,,,,,,,,,,554.90M,,,,,,,,84.80M,,,,,84.80M,84.80M,554.90M,,554.90M,,0.64,0.00,,,0.64,0.64,,0.64,0.00,,,0.64,0.64,,125.47M,125.47M,0.29,,,
1990-06,494.80M,494.80M,,,,,,,,,,,,494.80M,,,,,,,,48.50M,,,,,48.50M,48.50M,494.80M,,494.80M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,125.43M,125.43M,0.29,,,
1990-03,583.60M,583.60M,,,,,,,,,,,,583.60M,,,,,,,,65.90M,,,,,65.90M,65.90M,583.60M,,583.60M,,0.49,0.00,,,0.49,0.49,,0.49,0.00,,,0.49,0.49,,125.51M,125.51M,0.2775,,,
1989-12,499.60M,499.60M,,,,,,,,,,,,499.60M,,,,,,,,40.80M,,,,,40.80M,,499.60M,,499.60M,,,,,,,,,,,,,,,,125.08M,125.08M,0.2775,,,
1989-09,483.00M,483.00M,,,,,,,,,,,,483.00M,,,,,,,,73.30M,,,,,73.30M,,483.00M,,483.00M,,0.55,0.00,,,0.55,0.55,,0.55,0.00,,,0.55,0.55,,125.08M,125.08M,0.2775,,,
1989-06,446.50M,446.50M,,,,,,,,,,,,446.50M,,,,,,,,36.90M,,,,,36.90M,,446.50M,,446.50M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,125.08M,125.08M,0.2775,,,
1989-03,560.60M,560.60M,,,,,,,,,,,,560.60M,,,,,,,,71.00M,,,,,71.00M,,560.60M,,560.60M,,0.53,0.00,,,0.53,0.53,,0.53,0.00,,,0.53,0.53,,125.08M,125.08M,0.265,,,
1988-12,484.00M,484.00M,,,,,,,,,,,,484.00M,,,,,,,,22.30M,,,,,22.30M,,484.00M,,484.00M,,,,,,,,,,,,,,,,125.08M,125.08M,0.265,,,
1988-09,530.30M,530.30M,,,,,,,,,,,,530.30M,,,,,,,,84.60M,,,,,84.60M,,530.30M,,530.30M,,0.64,0.00,,,0.64,0.64,,0.64,0.00,,,0.64,0.64,,125.08M,125.08M,0.265,,,
1988-06,442.80M,442.80M,,,,,,,,,,,,442.80M,,,,,,,,44.00M,,,,,44.00M,,442.80M,,442.80M,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,125.08M,125.08M,0.265,,,
1988-03,549.40M,549.40M,,,,,,,,,,,,549.40M,,,,,,,,63.90M,,,,,63.90M,,549.40M,,549.40M,,0.48,0.00,,,0.48,0.48,,0.48,0.00,,,0.48,0.48,,125.08M,125.08M,0.2525,,,
1987-12,428.80M,428.80M,,,,,,,,,,,,428.80M,,,,,,,,28.80M,,,,,28.80M,,428.80M,,428.80M,,,,,,,,,,,,,,,,125.08M,125.08M,0.2525,,,
1987-09,470.30M,470.30M,,,,,,,,,,,,470.30M,,,,,,,,78.00M,,,,,78.00M,,470.30M,,470.30M,,0.59,0.00,,,0.59,0.59,,0.59,0.00,,,0.59,0.59,,125.08M,125.08M,0.2525,,,
1987-06,398.70M,398.70M,,,,,,,,,,,,398.70M,,,,,,,,35.10M,,,,,35.10M,,398.70M,,398.70M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,125.08M,125.08M,0.2525,,,
1987-03,472.50M,472.50M,,,,,,,,,,,,472.50M,,,,,,,,63.00M,,,,,63.00M,,472.50M,,472.50M,,0.48,0.00,,,0.48,0.48,,0.48,0.00,,,0.48,0.48,,125.08M,125.08M,0.2375,,,
1986-12,421.10M,421.10M,,,,,,,,,,,,421.10M,,,,,,,,40.20M,,,,,40.20M,,421.10M,,421.10M,,,,,,,,,,,,,,,,124.64M,124.64M,0.2375,,,
1986-09,432.70M,432.70M,,,,,,,,,,,,432.70M,,,,,,,,63.10M,,,,,63.10M,,432.70M,,432.70M,,0.48,0.00,,,0.48,0.48,,0.48,0.00,,,0.48,0.48,,125.08M,125.08M,0.2375,,,
1986-06,387.20M,387.20M,,,,,,,,,,,,387.20M,,,,,,,,30.20M,,,,,30.20M,,387.20M,,387.20M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,125.08M,125.08M,0.2375,,,
1986-03,540.60M,540.60M,,,,,,,,,,,,540.60M,,,,,,,,73.40M,,,,,73.40M,,540.60M,,540.60M,,0.56,0.00,,,0.56,0.56,,0.56,0.00,,,0.56,0.56,,125.08M,125.08M,0.22,,,
1985-12,465.80M,465.80M,,,,,,,,,,,,465.80M,,,,,,,,43.40M,,,,,43.40M,,465.80M,,465.80M,,,,,,,,,,,,,,,,125.08M,125.08M,0.22,,,
1985-09,389.90M,389.90M,,,,,,,,,,,,389.90M,,,,,,,,49.10M,,,,,49.10M,,389.90M,,389.90M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,124.78M,124.78M,,,,
1985-06,386.90M,386.90M,,,,,,,,,,,,386.90M,,,,,,,,39.60M,,,,,39.60M,,386.90M,,386.90M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,124.20M,124.20M,,,,
1985-03,546.20M,546.20M,,,,,,,,,,,,546.20M,,,,,,,,65.80M,,,,,65.80M,,546.20M,,546.20M,,0.51,0.00,,,0.51,0.51,,0.51,0.00,,,0.51,0.51,,123.90M,123.90M,,,,
1984-12,444.10M,444.10M,,,,,,,,,,,,444.10M,,,,,,,,31.10M,,,,,31.10M,,444.10M,,444.10M,,,,,,,,,,,,,,,,123.90M,123.90M,,,,
1984-09,413.30M,413.30M,,,,,,,,,,,,413.30M,,,,,,,,51.70M,,,,,51.70M,,413.30M,,413.30M,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,123.62M,123.62M,,,,
1984-06,393.30M,393.30M,,,,,,,,,,,,393.30M,,,,,,,,43.10M,,,,,43.10M,,393.30M,,393.30M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,123.62M,123.62M,,,,
1984-03,524.90M,524.90M,,,,,,,,,,,,524.90M,,,,,,,,66.20M,,,,,66.20M,,524.90M,,524.90M,,0.52,0.00,,,0.52,0.52,,0.52,0.00,,,0.52,0.52,,123.62M,123.62M,,,,
