,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-09,629.29M,638.32M,253.94M,384.39M,26.87M,26.87M,,,-3.723M,,,74.04M,0.33M,-73.71M,,215.41M,168.98M,0.33M,74.04M,-73.71M,11.38M,-73.71M,106.66M,-8.886M,115.54M,0.061M,,111.88M,118.03M,377.32M,,2012-09,0.39,-0.01,,0.38,,2012-09,,,0.3981,0.38,,2012-09,294.93M,297.41M,0.62,,2012-09,AOR,Restated
2012-06,603.75M,611.90M,240.49M,371.41M,26.42M,26.42M,,,-46.66M,,,72.77M,0.065M,-72.70M,,213.79M,157.62M,0.065M,72.77M,-72.70M,-47.65M,-72.70M,37.26M,-5.179M,42.44M,0.289M,,74.02M,73.06M,311.80M,,2012-06,0.15,0.11,,0.26,,2012-06,,,0.2436,0.25,,2012-06,290.17M,292.59M,0.62,,2012-06,AOR,Restated
2012-03,558.34M,566.38M,218.82M,347.55M,22.20M,22.20M,,,-37.52M,,,68.13M,0.047M,-68.08M,,182.62M,164.93M,0.047M,68.13M,-68.08M,-38.78M,-68.08M,58.07M,11.34M,46.73M,0.534M,,90.63M,77.46M,290.83M,,2012-03,0.16,0.15,,0.31,,2012-03,,,0.2638,0.31,,2012-03,288.38M,290.81M,0.62,,2012-03,AOR,Restated
2011-12,514.71M,549.12M,213.94M,335.18M,,23.53M,,,177.55M,,,61.46M,,-60.24M,,260.56M,74.63M,,61.46M,-60.24M,170.23M,-60.24M,184.61M,-7.621M,192.31M,0.451M,,192.95M,77.35M,417.66M,,2011-12,0.78,0.00,,0.78,,2011-12,,,0.3729,0.77,,2011-12,288.40M,290.61M,0.575,,2011-12,AOR,Restated
2011-09,555.38M,555.38M,213.77M,341.60M,,20.62M,,,-78.04M,,,69.52M,,-69.52M,-71.44M,105.77M,235.83M,,69.52M,-69.52M,-78.04M,-69.52M,88.28M,-13.73M,102.19M,0.901M,,102.88M,153.82M,314.39M,,2011-09,0.36,0.00,,0.36,,2011-09,,,0.5244,0.35,,2011-09,287.36M,290.79M,0.4486,,2011-09,AOR,Restated
2011-06,359.51M,359.51M,152.13M,207.38M,,15.55M,,,-47.76M,,,52.04M,,-52.04M,,95.06M,112.32M,,52.04M,-52.04M,-47.76M,-52.04M,12.52M,-6.11M,18.54M,-0.058M,,19.68M,49.53M,144.07M,,2011-06,0.10,0.01,,0.11,,2011-06,,,0.2744,0.11,,2011-06,176.26M,177.94M,0.7014,,2011-06,AOR,Restated
2011-03,268.43M,268.43M,92.32M,176.11M,,14.83M,,,-22.97M,,,41.74M,,-41.74M,,66.15M,109.96M,,41.74M,-41.74M,-22.97M,-41.74M,45.25M,-3.197M,48.28M,-0.062M,,48.98M,63.15M,141.26M,,2011-03,0.30,0.01,,0.31,,2011-03,,,0.3922,0.30,,2011-03,160.42M,162.02M,0.575,,2011-03,AOR,Restated
2010-12,234.86M,251.28M,84.77M,166.51M,,14.01M,,,-11.22M,,,39.02M,,-38.54M,,60.24M,106.27M,,39.02M,-38.54M,-12.16M,-38.54M,55.58M,2.849M,53.12M,-1.119M,,77.58M,62.64M,145.74M,,2010-12,0.33,0.16,,0.49,,2010-12,,,0.3973,0.49,,2010-12,156.73M,158.27M,0.535,,2010-12,AOR,Restated
2010-09,264.66M,264.66M,86.64M,178.02M,,15.28M,,,-4.723M,,,45.52M,,-45.52M,,67.38M,110.64M,,45.52M,-45.52M,-4.723M,-45.52M,60.40M,1.657M,58.35M,-0.996M,,57.90M,61.95M,158.12M,,2010-09,0.37,0.00,,0.37,,2010-09,,,0.3991,0.37,,2010-09,156.63M,157.94M,0.535,,2010-09,AOR,Restated
2010-06,243.32M,243.32M,75.18M,168.14M,,9.858M,,,-10.88M,,,43.84M,,-43.84M,,59.90M,108.24M,,43.84M,-43.84M,-10.88M,-43.84M,53.52M,0.409M,53.11M,-0.898M,,58.07M,63.01M,147.55M,,2010-06,0.33,0.04,,0.37,,2010-06,,,0.3986,0.37,,2010-06,156.61M,157.44M,0.535,,2010-06,AOR,Restated
