,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-12,746.00M,,,-181.00M,-734.00M,252.00M,90.00M,,,-76.00M,251.00M,-80.00M,364.00M,,-278.00M,-23.00M,234.00M,,1.166B,-283.00M,9.00M,-274.00M,-29.00M,18.00M,,-277.00M,,,-893.00M,78.00M,-568.00M,-490.00M,,-318.00M,-54.00M,-1.755B,1.848B,-866.00M,90.00M,1.072B,78.00M,,,-568.00M
2005-09,840.00M,,,-170.00M,255.00M,255.00M,112.00M,,,90.00M,-22.00M,-21.00M,-64.00M,,-142.00M,35.00M,-214.00M,,913.00M,-208.00M,4.00M,-204.00M,-1.264B,-13.00M,,-1.481B,,,1.399B,180.00M,-624.00M,-444.00M,,-321.00M,22.00M,656.00M,1.765B,88.00M,-5.00M,1.848B,180.00M,,,-624.00M
2005-06,754.00M,,,-29.00M,237.00M,237.00M,-70.00M,,,184.00M,-123.00M,-79.00M,28.00M,,280.00M,-28.00M,78.00M,,1.154B,-217.00M,8.00M,-209.00M,,28.00M,,-181.00M,,,-1.098B,92.00M,-514.00M,-422.00M,,-323.00M,35.00M,-1.808B,2.669B,-835.00M,-69.00M,1.765B,92.00M,,,-514.00M
2005-03,771.00M,,,29.00M,242.00M,242.00M,,,,,-168.00M,-114.00M,55.00M,,140.00M,16.00M,-71.00M,,971.00M,-235.00M,20.00M,-215.00M,,-87.00M,,-302.00M,,,107.00M,195.00M,-671.00M,-476.00M,,-324.00M,-25.00M,-718.00M,2.757B,-49.00M,-39.00M,2.669B,195.00M,,,-671.00M
2004-12,571.00M,,,224.00M,-740.00M,259.00M,22.00M,,,77.00M,222.00M,139.00M,85.00M,-46.00M,-482.00M,,-82.00M,,1.269B,-324.00M,34.00M,-290.00M,0.00,-1.00M,,-291.00M,,,160.00M,85.00M,-556.00M,-471.00M,,-280.00M,70.00M,-521.00M,2.20B,457.00M,100.00M,2.757B,85.00M,,,-556.00M
2004-09,775.00M,,,-478.00M,243.00M,243.00M,214.00M,,,5.00M,69.00M,-3.00M,15.00M,171.00M,-22.00M,-267.00M,-37.00M,,722.00M,-235.00M,15.00M,-220.00M,13.00M,-5.00M,,-212.00M,,,15.00M,71.00M,-443.00M,-372.00M,,-281.00M,-8.00M,-646.00M,2.314B,-136.00M,22.00M,2.20B,71.00M,,,-443.00M
2004-06,773.00M,,,-23.00M,245.00M,245.00M,4.00M,,,-13.00M,-38.00M,-72.00M,44.00M,-11.00M,242.00M,144.00M,309.00M,,1.295B,-220.00M,10.00M,-210.00M,-6.00M,0.00,,-216.00M,,,-153.00M,218.00M,-354.00M,-136.00M,,-282.00M,-11.00M,-582.00M,1.818B,497.00M,-1.00M,2.314B,218.00M,,,-354.00M
2004-03,722.00M,,,-47.00M,252.00M,252.00M,3.00M,,,9.00M,-185.00M,-57.00M,-26.00M,-114.00M,262.00M,123.00M,3.00M,,942.00M,-158.00M,10.00M,-148.00M,-80.00M,9.00M,,-219.00M,,,-133.00M,134.00M,-438.00M,-304.00M,,-282.00M,-12.00M,-731.00M,1.836B,-8.00M,-10.00M,1.818B,134.00M,,,-438.00M
2003-12,619.00M,,,-12.00M,-717.00M,247.00M,-146.00M,,,165.00M,145.00M,131.00M,374.00M,200.00M,-572.00M,,278.00M,,1.266B,-261.00M,41.00M,-220.00M,-11.00M,-2.00M,,-233.00M,,,-68.00M,130.00M,-291.00M,-161.00M,,-259.00M,-4.00M,-492.00M,1.279B,541.00M,16.00M,1.836B,130.00M,,,-291.00M
2003-09,663.00M,,,-622.00M,242.00M,242.00M,164.00M,,,26.00M,13.00M,120.00M,-106.00M,-43.00M,160.00M,,144.00M,,617.00M,-152.00M,8.00M,-144.00M,-4.00M,26.00M,,-122.00M,,,-23.00M,155.00M,-114.00M,41.00M,,-260.00M,4.00M,-238.00M,974.00M,257.00M,48.00M,1.279B,155.00M,,,-114.00M
2003-06,619.00M,,,-21.00M,241.00M,241.00M,5.00M,,,12.00M,-58.00M,23.00M,68.00M,78.00M,159.00M,,270.00M,,1.126B,-144.00M,11.00M,-133.00M,-8.00M,-8.00M,,-149.00M,,,-311.00M,110.00M,-107.00M,3.00M,,-258.00M,-9.00M,-575.00M,561.00M,402.00M,11.00M,974.00M,110.00M,,,-107.00M
2003-03,502.00M,,,-32.00M,234.00M,234.00M,-23.00M,,,5.00M,-97.00M,7.00M,150.00M,-235.00M,253.00M,,78.00M,,764.00M,-120.00M,69.00M,-51.00M,-416.00M,2.00M,,-465.00M,,,-38.00M,160.00M,-173.00M,-13.00M,,-257.00M,-14.00M,-322.00M,618.00M,-23.00M,-34.00M,561.00M,160.00M,,,-173.00M
2002-12,511.00M,,,,-728.00M,226.00M,-247.00M,,,-31.00M,163.00M,84.00M,64.00M,938.00M,-261.00M,,1.047B,,999.00M,-233.00M,38.00M,-195.00M,-1.17B,4.00M,,-1.361B,,,427.00M,96.00M,-129.00M,-33.00M,,-243.00M,0.00,151.00M,821.00M,-211.00M,8.00M,618.00M,96.00M,,,-129.00M
2002-09,545.00M,,,,232.00M,232.00M,247.00M,,,42.00M,186.00M,35.00M,-22.00M,-818.00M,-50.00M,,-669.00M,,397.00M,-167.00M,20.00M,-147.00M,-88.00M,-3.00M,,-238.00M,,,303.00M,67.00M,-108.00M,-41.00M,,-242.00M,-20.00M,0.00,665.00M,159.00M,-3.00M,821.00M,67.00M,,,-108.00M
2002-06,466.00M,,,,246.00M,246.00M,-10.00M,,,33.00M,-64.00M,78.00M,172.00M,-84.00M,88.00M,,190.00M,,925.00M,-202.00M,9.00M,-193.00M,,8.00M,,-185.00M,,,-296.00M,235.00M,-285.00M,-50.00M,,-241.00M,-18.00M,-605.00M,590.00M,135.00M,-60.00M,665.00M,235.00M,,,-285.00M
2002-03,452.00M,,,,250.00M,250.00M,10.00M,,,30.00M,-140.00M,82.00M,-87.00M,22.00M,52.00M,,-71.00M,,671.00M,-161.00M,16.00M,-145.00M,,2.00M,,-143.00M,,,11.00M,124.00M,-420.00M,-296.00M,,-242.00M,-40.00M,-567.00M,616.00M,-39.00M,13.00M,590.00M,124.00M,,,-420.00M
2001-12,381.00M,,,-157.00M,-798.00M,291.00M,-31.00M,,,17.00M,306.00M,109.00M,-72.00M,49.00M,-193.00M,,316.00M,,818.00M,-214.00M,56.00M,-158.00M,-10.00M,24.00M,,-144.00M,,,-174.00M,89.00M,-210.00M,-121.00M,,-235.00M,40.00M,-490.00M,439.00M,184.00M,-7.00M,616.00M,89.00M,,,-210.00M
2001-09,394.00M,,,-10.00M,295.00M,295.00M,8.00M,,,-73.00M,153.00M,90.00M,-88.00M,-103.00M,154.00M,,206.00M,,820.00M,-219.00M,26.00M,-193.00M,0.00,-1.00M,,-194.00M,,,-240.00M,47.00M,-260.00M,-213.00M,,-236.00M,-40.00M,-729.00M,566.00M,-103.00M,-24.00M,439.00M,47.00M,,,-260.00M
2001-06,202.00M,,,13.00M,256.00M,256.00M,2.00M,,,56.00M,-37.00M,16.00M,333.00M,-39.00M,-77.00M,,196.00M,,725.00M,-266.00M,14.00M,-252.00M,-17.00M,-3.00M,,-272.00M,,,79.00M,203.00M,-510.00M,-307.00M,,-238.00M,-17.00M,-483.00M,575.00M,-30.00M,21.00M,566.00M,203.00M,,,-510.00M
2001-03,453.00M,,,-3.00M,247.00M,247.00M,21.00M,,,7.00M,-77.00M,-21.00M,-24.00M,-4.00M,116.00M,,-10.00M,,715.00M,-281.00M,17.00M,-264.00M,-191.00M,15.00M,,-440.00M,,,444.00M,123.00M,-342.00M,-219.00M,,-239.00M,,-14.00M,302.00M,261.00M,12.00M,575.00M,123.00M,,,-342.00M
2000-12,326.00M,,,-2.00M,288.00M,288.00M,89.00M,,,28.00M,158.00M,-56.00M,119.00M,-317.00M,-65.00M,-10.00M,-171.00M,,558.00M,-442.00M,104.00M,-338.00M,-165.00M,-6.00M,20.00M,-489.00M,,,31.00M,223.00M,-139.00M,84.00M,,-229.00M,10.00M,-104.00M,323.00M,-35.00M,14.00M,302.00M,223.00M,,,-139.00M
2000-09,499.00M,,,68.00M,280.00M,280.00M,,,,,-123.00M,-50.00M,,,,-59.00M,-232.00M,,615.00M,-207.00M,0.00,-207.00M,-10.00M,115.00M,1.00M,-101.00M,,,-237.00M,73.00M,-177.00M,-104.00M,,-229.00M,-44.00M,-614.00M,420.00M,-100.00M,3.00M,323.00M,73.00M,,,-177.00M
2000-06,470.00M,,,10.00M,229.00M,229.00M,-31.00M,,,1.00M,-127.00M,-46.00M,-94.00M,195.00M,-104.00M,69.00M,-107.00M,,572.00M,-195.00M,-32.00M,-227.00M,-297.00M,-5.00M,-21.00M,-550.00M,,,490.00M,69.00M,-157.00M,-88.00M,,-229.00M,-26.00M,147.00M,214.00M,169.00M,37.00M,420.00M,69.00M,,,-157.00M
2000-03,487.00M,,,21.00M,228.00M,228.00M,31.00M,,,-1.00M,-79.00M,-109.00M,94.00M,-195.00M,104.00M,,-185.00M,,581.00M,-271.00M,33.00M,-238.00M,,5.00M,,-233.00M,,,-48.00M,60.00M,-341.00M,-281.00M,,-231.00M,,-560.00M,387.00M,-212.00M,39.00M,214.00M,60.00M,,,-341.00M
1999-12,444.00M,,,49.00M,231.00M,231.00M,,,,,69.00M,21.00M,,,,-619.00M,-208.00M,,641.00M,-323.00M,109.00M,-214.00M,-369.00M,-54.00M,45.00M,-592.00M,,,556.00M,82.00M,-347.00M,-265.00M,,-224.00M,-2.00M,65.00M,302.00M,114.00M,-29.00M,387.00M,82.00M,,,-347.00M
1999-09,459.00M,,,-44.00M,220.00M,220.00M,,,,,-79.00M,-16.00M,,,,187.00M,92.00M,,727.00M,-214.00M,45.00M,-169.00M,-3.00M,7.00M,-4.00M,-169.00M,,,-99.00M,65.00M,-255.00M,-190.00M,,-225.00M,-40.00M,-554.00M,258.00M,4.00M,40.00M,302.00M,65.00M,,,-255.00M
1999-06,476.00M,,,87.00M,226.00M,226.00M,,,,,-176.00M,91.00M,,,,181.00M,96.00M,,885.00M,-224.00M,203.00M,-21.00M,-2.00M,,-1.00M,-24.00M,,,-558.00M,133.00M,-191.00M,-58.00M,,-227.00M,-9.00M,-852.00M,253.00M,9.00M,-4.00M,258.00M,133.00M,,,-191.00M
1999-03,384.00M,,,-30.00M,223.00M,223.00M,,,,,,,,,,251.00M,251.00M,,828.00M,-289.00M,,-289.00M,,,-40.00M,-329.00M,,,-240.00M,67.00M,-32.00M,35.00M,,-225.00M,,-430.00M,211.00M,69.00M,-27.00M,253.00M,67.00M,,,-32.00M
1998-12,249.00M,,,-92.00M,222.00M,222.00M,,,,,,,,,,91.00M,401.00M,,919.00M,-397.00M,73.00M,-324.00M,,,77.00M,-448.00M,,,-78.00M,4.00M,-12.00M,-8.00M,,-221.00M,-77.00M,-384.00M,204.00M,87.00M,-80.00M,211.00M,4.00M,,,-12.00M
1998-09,178.00M,,,166.00M,217.00M,217.00M,,,,,,,,,,170.00M,170.00M,,731.00M,-344.00M,9.00M,-335.00M,,,-21.00M,-356.00M,,,66.00M,32.00M,-229.00M,-197.00M,,-221.00M,0.00,-352.00M,219.00M,23.00M,-38.00M,204.00M,32.00M,,,-229.00M
1998-06,386.00M,,,-94.00M,214.00M,214.00M,,,,,,,,,,-114.00M,-114.00M,,392.00M,-374.00M,,-374.00M,,,7.00M,-367.00M,,,325.00M,86.00M,-190.00M,-104.00M,,-223.00M,-19.00M,-21.00M,180.00M,4.00M,35.00M,219.00M,86.00M,,,-190.00M
