,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-06,441.00M,,-3.00M,363.00M,19.00M,382.00M,382.00M,85.00M,,-2.00M,-254.00M,-137.00M,56.00M,40.00M,-97.00M,-5.00M,-397.00M,,506.00M,-356.00M,,-356.00M,,-37.00M,,-393.00M,,,-28.00M,69.00M,-113.00M,-44.00M,,-37.00M,,-109.00M,1.615B,4.00M,4.00M,1.623B,69.00M,,,-113.00M
2004-03,367.00M,,-2.00M,348.00M,19.00M,367.00M,367.00M,-17.00M,,2.00M,-227.00M,-164.00M,-97.00M,58.00M,170.00M,-64.00M,-324.00M,,393.00M,-401.00M,,-401.00M,,-26.00M,,-427.00M,,,-1.00M,42.00M,-172.00M,-130.00M,,-37.00M,,-168.00M,1.818B,-202.00M,-1.00M,1.615B,42.00M,,,-172.00M
2003-12,513.00M,,-91.00M,371.00M,20.00M,391.00M,391.00M,174.00M,,-104.00M,85.00M,11.00M,-93.00M,48.00M,133.00M,,184.00M,,1.067B,-273.00M,,-273.00M,0.00,180.00M,,-115.00M,,,-3.00M,77.00M,-115.00M,-38.00M,,-36.00M,0.00,-77.00M,943.00M,875.00M,0.00,1.818B,77.00M,,,-115.00M
2003-09,447.00M,,-80.00M,356.00M,26.00M,382.00M,382.00M,-79.00M,,-54.00M,-72.00M,5.00M,-70.00M,139.00M,-108.00M,,-106.00M,,510.00M,-233.00M,,-233.00M,-128.00M,-105.00M,,-466.00M,,,-33.00M,17.00M,-60.00M,-43.00M,,-37.00M,0.00,-113.00M,1.019B,-69.00M,-7.00M,943.00M,17.00M,,,-60.00M
2003-06,121.00M,,11.00M,356.00M,25.00M,381.00M,381.00M,-7.00M,,-61.00M,-50.00M,-118.00M,50.00M,112.00M,-61.00M,,-67.00M,,378.00M,-162.00M,,-162.00M,,-102.00M,,-264.00M,,,-129.00M,47.00M,-61.00M,-14.00M,,-37.00M,0.00,-180.00M,1.089B,-66.00M,-4.00M,1.019B,47.00M,,,-61.00M
2003-03,117.00M,,12.00M,346.00M,28.00M,374.00M,374.00M,-13.00M,,30.00M,-160.00M,-92.00M,-70.00M,-35.00M,33.00M,,-324.00M,,196.00M,-132.00M,,-132.00M,,135.00M,,3.00M,,,-261.00M,16.00M,-48.00M,-32.00M,,-37.00M,261.00M,-69.00M,949.00M,130.00M,10.00M,1.089B,16.00M,,,-48.00M
2002-12,-589.00M,,677.00M,397.00M,28.00M,425.00M,425.00M,105.00M,,-73.00M,164.00M,33.00M,31.00M,-136.00M,57.00M,50.00M,199.00M,,744.00M,-236.00M,,-236.00M,0.00,-475.00M,,-711.00M,,,-3.00M,52.00M,-72.00M,-20.00M,,-36.00M,,-59.00M,964.00M,-26.00M,11.00M,949.00M,52.00M,,,-72.00M
2002-09,188.00M,,127.00M,390.00M,30.00M,420.00M,420.00M,-100.00M,,-37.00M,30.00M,-3.00M,31.00M,105.00M,-146.00M,-50.00M,-33.00M,,565.00M,-269.00M,,-269.00M,0.00,299.00M,,30.00M,,,-15.00M,23.00M,-14.00M,9.00M,,-111.00M,,-117.00M,487.00M,478.00M,-1.00M,964.00M,23.00M,,,-14.00M
2002-06,95.00M,,-6.00M,390.00M,29.00M,419.00M,419.00M,-9.00M,,47.00M,-256.00M,-52.00M,59.00M,51.00M,39.00M,,-159.00M,,387.00M,-177.00M,,-177.00M,-69.00M,142.00M,,-104.00M,,,-19.00M,68.00M,-200.00M,-132.00M,,37.00M,,-114.00M,313.00M,169.00M,5.00M,487.00M,68.00M,,,-200.00M
2002-03,-38.00M,,2.00M,397.00M,28.00M,425.00M,425.00M,17.00M,,17.00M,-52.00M,-17.00M,70.00M,-101.00M,-27.00M,,-127.00M,,296.00M,-120.00M,,-120.00M,,-204.00M,,-324.00M,,,8.00M,24.00M,-84.00M,-60.00M,,-37.00M,,-89.00M,431.00M,-117.00M,-1.00M,313.00M,24.00M,,,-84.00M
2001-12,-116.00M,,-1.00M,454.00M,56.00M,510.00M,510.00M,16.00M,,532.00M,236.00M,149.00M,-556.00M,-84.00M,164.00M,-70.00M,-161.00M,,780.00M,-236.00M,,-236.00M,,-383.00M,,-619.00M,,,-4.00M,72.00M,-85.00M,-13.00M,,-36.00M,,-53.00M,387.00M,108.00M,-64.00M,431.00M,72.00M,,,-85.00M
2001-09,-118.00M,,0.00,414.00M,56.00M,470.00M,470.00M,-11.00M,,-741.00M,228.00M,182.00M,345.00M,-95.00M,4.00M,70.00M,734.00M,,334.00M,-312.00M,,-312.00M,,-83.00M,,-395.00M,,,-3.00M,24.00M,-152.00M,-128.00M,,-37.00M,,-168.00M,542.00M,-229.00M,74.00M,387.00M,24.00M,,,-152.00M
2001-06,-197.00M,,4.00M,387.00M,58.00M,445.00M,445.00M,-7.00M,,96.00M,279.00M,97.00M,18.00M,-322.00M,173.00M,,245.00M,,586.00M,-342.00M,,-342.00M,,170.00M,,-172.00M,,,-20.00M,45.00M,-151.00M,-106.00M,,-37.00M,,-163.00M,304.00M,251.00M,-13.00M,542.00M,45.00M,,,-151.00M
2001-03,230.00M,,1.00M,344.00M,59.00M,403.00M,403.00M,21.00M,,41.00M,234.00M,54.00M,-61.00M,-186.00M,-618.00M,,-577.00M,,119.00M,-900.00M,,-900.00M,,460.00M,,-440.00M,,,-105.00M,42.00M,-7.00M,35.00M,,-37.00M,,-107.00M,745.00M,-428.00M,-13.00M,304.00M,42.00M,,,-7.00M
2000-12,665.00M,,3.00M,347.00M,68.00M,415.00M,415.00M,-55.00M,,1.825B,232.00M,-196.00M,19.00M,56.00M,-726.00M,,-2.251B,,602.00M,-973.00M,,-866.00M,0.00,362.00M,,-504.00M,,,-35.00M,51.00M,-22.00M,29.00M,,-37.00M,,-304.00M,938.00M,-206.00M,13.00M,745.00M,51.00M,,,-22.00M
2000-09,676.00M,,113.00M,319.00M,41.00M,360.00M,360.00M,25.00M,,-507.00M,-212.00M,-41.00M,28.00M,121.00M,-218.00M,,-322.00M,,345.00M,-585.00M,,-585.00M,-3.00M,-139.00M,,-727.00M,,,-212.00M,19.00M,-34.00M,-15.00M,,-35.00M,,-262.00M,1.593B,-644.00M,-11.00M,938.00M,19.00M,,,-34.00M
2000-06,1.296B,,6.00M,288.00M,26.00M,314.00M,314.00M,2.00M,,-1.261B,-358.00M,-2.00M,-5.00M,-124.00M,869.00M,,380.00M,,737.00M,-557.00M,,-557.00M,,359.00M,,-198.00M,,,-18.00M,78.00M,-33.00M,45.00M,,-34.00M,,-7.00M,1.074B,532.00M,-13.00M,1.593B,78.00M,,,-33.00M
2000-03,450.00M,,1.00M,262.00M,25.00M,287.00M,287.00M,29.00M,,-3.00M,-10.00M,-133.00M,-15.00M,193.00M,-298.00M,,-263.00M,,501.00M,-647.00M,,-647.00M,,252.00M,,-395.00M,,,212.00M,94.00M,-66.00M,28.00M,,-35.00M,,205.00M,781.00M,311.00M,-18.00M,1.074B,94.00M,,,-66.00M
1999-12,445.00M,,,,,,,,,-278.00M,,,,,,,-256.00M,,1.053B,-511.00M,,-511.00M,0.00,-112.00M,,-623.00M,,,-8.00M,43.00M,-56.00M,-13.00M,,-34.00M,,-55.00M,411.00M,375.00M,-5.00M,781.00M,43.00M,,,-56.00M
1999-09,420.00M,,,,,,,,,298.00M,,,,,,26.00M,26.00M,,744.00M,-370.00M,,-370.00M,-87.00M,-352.00M,,-809.00M,,,195.00M,12.00M,-96.00M,-84.00M,,-33.00M,,78.00M,343.00M,13.00M,-18.00M,411.00M,12.00M,,,-96.00M
1999-06,331.00M,,,,,,,,,21.00M,,,,,,-26.00M,-26.00M,,326.00M,-311.00M,,-311.00M,-332.00M,-116.00M,,-759.00M,,,-17.00M,94.00M,-146.00M,-52.00M,,-34.00M,,-103.00M,909.00M,-536.00M,-30.00M,343.00M,94.00M,,,-146.00M
1999-03,255.00M,,,,,,,,,-21.00M,,,,,,,,,234.00M,-206.00M,,-206.00M,-50.00M,473.00M,,217.00M,,,-34.00M,76.00M,-175.00M,-99.00M,,-33.00M,,-166.00M,632.00M,285.00M,-8.00M,909.00M,76.00M,,,-175.00M
1998-12,234.00M,,,,,,,,,-220.00M,,,,,,-609.00M,-679.00M,,559.00M,-169.00M,-20.00M,-189.00M,0.00,-653.00M,-130.00M,-972.00M,,,-8.00M,55.00M,-89.00M,-34.00M,,-33.00M,,-75.00M,1.08B,-488.00M,-9.00M,705.00M,55.00M,,,-89.00M
1998-09,155.00M,,,,,,,,,-201.00M,,,,,,609.00M,609.00M,,563.00M,-200.00M,0.00,-200.00M,0.00,67.00M,-550.00M,-683.00M,,,-17.00M,36.00M,-70.00M,-34.00M,,-34.00M,,-85.00M,1.273B,-205.00M,12.00M,1.08B,36.00M,,,-70.00M
1998-06,52.00M,,,,,,,,,257.00M,,,,,,,,,309.00M,-162.00M,120.00M,-42.00M,-152.00M,402.00M,,208.00M,,,-7.00M,45.00M,-88.00M,-43.00M,,-33.00M,3.00M,-80.00M,830.00M,437.00M,6.00M,1.273B,45.00M,,,-88.00M
