,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-06,2.037B,2.037B,1.523B,514.00M,400.00M,412.00M,57.00M,,,812.00M,-298.00M,,,57.00M,,-256.00M,-59.00M,-197.00M,,,,-197.00M,-240.86M,147.00M,445.00M,-298.00M,-0.11,0.0,,,-0.1345,-0.11,-0.11,0.0,,,-0.1345,-0.11,1.791B,1.791B,0.0213
2001-03,2.528B,2.528B,1.505B,1.023B,348.00M,446.00M,107.00M,,,794.00M,229.00M,,,107.00M,,320.00M,90.00M,230.00M,,,,230.00M,153.09M,632.00M,403.00M,229.00M,0.13,0.0,,,0.0865,0.13,0.13,0.0,,,0.0865,0.13,1.769B,1.769B,0.0213
2000-12,3.032B,3.032B,1.576B,1.456B,401.00M,441.00M,275.00M,,,842.00M,614.00M,,,275.00M,,872.00M,207.00M,665.00M,,0.00,,665.00M,455.28M,1.029B,415.00M,614.00M,0.39,-0.01,0.0,,0.269,0.38,0.37,-0.01,0.0001,,0.2659,0.37,1.733B,2.015B,0.0213
2000-09,3.149B,3.149B,1.637B,1.512B,453.00M,533.00M,565.00M,,,986.00M,526.00M,,,565.00M,,1.074B,398.00M,676.00M,,,,676.00M,320.38M,886.00M,360.00M,526.00M,0.39,0.0,,,0.1833,0.39,0.38,0.0,,,0.1733,0.38,1.721B,1.721B,0.0213
2000-06,2.932B,2.932B,1.486B,1.446B,414.00M,387.00M,1.346B,,,801.00M,645.00M,,,1.346B,,1.971B,675.00M,1.296B,,,,1.296B,410.96M,959.00M,314.00M,645.00M,0.76,0.0,,,0.2433,0.76,0.72,0.0,,,0.2266,0.72,1.713B,1.794B,0.0213
2000-03,2.761B,2.761B,1.42B,1.341B,401.00M,386.00M,128.00M,,,787.00M,554.00M,,,128.00M,,661.00M,211.00M,450.00M,,-29.00M,,421.00M,362.86M,841.00M,287.00M,554.00M,0.26,-0.01,0.0,,0.2066,0.25,0.25,-0.04,-0.0178,,0.1988,0.21,1.632B,1.703B,0.0213
1999-12,2.638B,2.638B,1.343B,1.295B,460.00M,333.00M,90.00M,,,793.00M,502.00M,,,90.00M,,571.00M,126.00M,445.00M,,,,445.00M,374.86M,502.00M,,502.00M,0.26,0.0,,,0.2193,0.26,0.25,0.0,,,0.2105,0.25,1.723B,1.775B,0.0213
1999-09,2.515B,2.515B,1.307B,1.208B,398.00M,350.00M,156.00M,,,748.00M,460.00M,,,156.00M,,598.00M,196.00M,402.00M,,,,402.00M,297.13M,460.00M,,460.00M,0.24,0.0,,,0.1776,0.24,0.23,0.0,,,0.1701,0.23,1.681B,1.751B,0.0213
1999-06,2.395B,2.395B,1.222B,1.173B,345.00M,365.00M,67.00M,,,710.00M,463.00M,,,67.00M,,511.00M,181.00M,330.00M,,,,330.00M,286.73M,463.00M,,463.00M,0.21,0.0,,,0.183,0.21,0.2,0.0,,,0.1739,0.2,1.603B,1.659B,0.0213
1999-03,2.081B,2.081B,1.133B,948.00M,331.00M,311.00M,88.00M,,,642.00M,306.00M,,,88.00M,,376.00M,121.00M,255.00M,,,,255.00M,195.32M,306.00M,,306.00M,0.16,0.0,,,0.1227,0.16,0.16,0.0,,,0.1238,0.16,1.599B,1.649B,0.0213
1998-12,2.408B,2.408B,1.324B,1.084B,416.00M,340.00M,43.00M,,,756.00M,328.00M,,,43.00M,,350.00M,116.00M,234.00M,,,,234.00M,205.25M,328.00M,,328.00M,0.12,0.0,,,0.1073,0.12,0.115,0.0,,,0.1024,0.115,2.269B,2.287B,0.0213
1998-09,2.113B,2.113B,1.322B,791.00M,311.00M,291.00M,65.00M,,,602.00M,189.00M,,,65.00M,,235.00M,80.00M,155.00M,,,,155.00M,112.13M,189.00M,,189.00M,0.1,0.0,,,0.0725,0.1,0.1,0.0,,,0.0732,0.1,1.561B,1.600B,0.0213
1998-06,2.167B,2.167B,1.442B,725.00M,457.00M,306.00M,135.00M,,,763.00M,-38.00M,,,135.00M,,79.00M,27.00M,52.00M,,,,52.00M,-36.86M,-38.00M,,-38.00M,0.03,0.0,,,-0.0268,0.03,0.03,0.0,,,-0.0253,0.03,1.564B,1.608B,0.0213
