,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-09,40.87M,40.87M,64.54M,147.05M,211.59M,,283.93M,7.785M,,4.024M,,548.20M,,,,,,,,59.96M,-27.75M,32.20M,156.12M,19.96M,176.09M,,,46.24M,254.53M,802.74M,111.35M,,111.35M,118.89M,230.24M,,,114.70M,,114.70M,,,,344.95M,144.75M,,144.75M,12.76M,12.76M,,1.625M,159.14M,504.08M,0.051M,164.74M,142.24M,14.18M,,,5.794M,298.65M
2006-06,32.51M,32.51M,76.41M,219.32M,295.72M,,367.10M,8.493M,,4.004M,,707.82M,,,,,,,,58.04M,-27.75M,30.29M,142.18M,17.93M,160.11M,,,42.44M,232.84M,940.66M,207.73M,,207.73M,101.30M,309.03M,,,150.00M,,150.00M,,,2.85M,461.88M,151.50M,,151.50M,14.05M,14.05M,,2.268M,167.82M,629.69M,0.051M,169.59M,137.65M,,,,3.677M,310.97M
2006-03,5.964M,5.964M,42.99M,168.59M,211.58M,,406.31M,5.193M,,3.97M,,633.02M,,,,,,,,55.64M,-27.75M,27.88M,142.18M,18.96M,161.13M,,,43.60M,232.61M,865.63M,267.30M,,267.30M,51.83M,319.12M,,,82.38M,,82.38M,,,,401.50M,155.16M,,155.16M,12.79M,12.79M,,2.174M,170.12M,571.62M,0.052M,157.37M,133.86M,,,,2.723M,294.00M
2005-12,26.87M,26.87M,141.78M,,141.78M,,330.58M,5.19M,,3.727M,,508.14M,0.0,1.257M,11.94M,40.16M,,,,53.35M,-27.75M,25.60M,139.55M,22.84M,162.38M,,9.756M,34.97M,232.71M,740.85M,174.17M,,174.17M,24.02M,198.19M,,,67.01M,,67.01M,4.546M,4.546M,44.87M,314.62M,129.10M,,129.10M,13.27M,13.27M,,2.134M,144.51M,459.13M,0.052M,160.68M,119.77M,0.921M,2.24M,-0.101M,2.139M,281.72M
2005-09,44.64M,44.64M,152.04M,,152.04M,,197.14M,3.248M,,4.171M,,401.24M,,,,,,,,45.22M,-23.81M,21.41M,,111.32M,111.32M,,,31.86M,164.60M,565.83M,99.92M,,99.92M,69.15M,169.07M,,,84.52M,,84.52M,,,,253.59M,,,,13.12M,13.12M,,2.402M,15.52M,269.11M,0.052M,205.79M,89.30M,,,,1.582M,296.72M
2005-06,36.65M,36.65M,231.74M,,231.74M,,247.35M,4.466M,,4.395M,,524.60M,,,,,,,,45.57M,-23.81M,21.76M,,115.43M,115.43M,,,22.98M,160.17M,684.77M,165.87M,,165.87M,58.00M,223.87M,,,101.35M,,101.35M,,,,325.22M,70.19M,,70.19M,13.12M,13.12M,,3.202M,86.52M,411.74M,0.052M,186.79M,84.79M,0.093M,,,1.499M,273.04M
2005-03,14.56M,14.56M,164.51M,,164.51M,,281.27M,3.841M,,2.57M,,466.75M,,,,,,,,43.90M,-23.81M,20.09M,,116.41M,116.41M,,,20.12M,156.61M,623.36M,219.29M,,219.29M,23.04M,242.33M,,,59.02M,,59.02M,,,,301.34M,82.91M,,82.91M,11.62M,11.62M,,3.116M,97.65M,399.00M,0.052M,139.88M,82.65M,0.045M,,,1.834M,224.37M
2004-12,21.76M,21.76M,97.59M,,97.59M,,195.79M,6.057M,,2.34M,,323.54M,0.0,1.026M,8.524M,32.86M,,,,42.41M,-23.81M,18.60M,,117.30M,117.30M,,,21.43M,157.33M,480.87M,113.11M,,113.11M,38.29M,151.40M,,,43.94M,,43.94M,,,,195.35M,50.42M,,50.42M,11.62M,11.62M,,3.14M,65.18M,260.53M,0.052M,141.77M,76.73M,,,,1.782M,220.34M
2004-09,30.43M,30.43M,39.25M,91.11M,130.36M,,167.02M,6.167M,,1.512M,,335.49M,,,,,,,,50.52M,-25.32M,25.21M,,124.10M,124.10M,,,1.657M,150.96M,486.46M,76.45M,,76.45M,45.23M,121.68M,,,95.62M,,95.62M,,,,217.30M,3.043M,,3.043M,20.89M,20.89M,,3.534M,27.47M,244.77M,0.053M,168.91M,75.34M,3.147M,,,0.522M,241.68M
2004-06,21.12M,21.12M,146.68M,51.01M,197.68M,,219.71M,9.494M,,1.818M,,449.83M,,,,,,,,50.81M,-25.32M,25.50M,,125.08M,125.08M,,,1.626M,152.20M,602.03M,144.03M,,144.03M,50.28M,194.30M,,,153.98M,,153.98M,,,,348.28M,3.344M,,3.344M,20.89M,20.89M,,4.442M,28.68M,376.96M,0.035M,152.29M,72.60M,,,,0.146M,225.07M
2004-03,2.859M,2.859M,147.10M,,147.10M,,241.90M,7.111M,,1.60M,,400.57M,,,,,,,,50.85M,-25.32M,25.54M,,126.06M,126.06M,,,1.798M,153.39M,553.96M,166.30M,,166.30M,14.90M,181.20M,,,144.24M,,144.24M,,,,325.44M,3.472M,,3.472M,20.90M,20.90M,,4.466M,28.84M,354.28M,0.035M,128.57M,70.70M,,,,0.373M,199.68M
2003-12,12.81M,12.81M,58.10M,25.73M,83.82M,,193.90M,3.991M,,1.864M,,296.40M,,,,,,,,49.96M,-25.32M,24.64M,,126.77M,126.77M,,,2.462M,153.88M,450.27M,118.31M,,118.31M,25.00M,143.31M,,,82.67M,,82.67M,,,,225.98M,3.607M,,3.607M,20.96M,20.96M,,4.489M,29.05M,255.03M,0.035M,126.36M,67.86M,,,,0.985M,195.24M
2003-09,29.71M,29.71M,117.94M,,117.94M,,141.69M,4.797M,,1.376M,,295.52M,,,,,,,,44.25M,-20.11M,24.14M,,115.56M,115.56M,,,2.729M,142.42M,437.94M,73.62M,,73.62M,46.65M,120.27M,,,63.16M,,63.16M,,,,183.43M,43.03M,,43.03M,12.60M,12.60M,,2.656M,58.29M,241.71M,0.035M,129.36M,66.58M,,,,0.25M,196.23M
2003-06,32.18M,32.18M,174.97M,,174.97M,,197.56M,5.797M,,1.359M,,411.87M,,,,,,,,43.98M,-20.11M,23.87M,,115.72M,115.72M,,,2.456M,142.04M,553.92M,156.70M,,156.70M,48.61M,205.30M,,,90.88M,,90.88M,,,,296.19M,65.53M,,65.53M,12.57M,12.57M,,3.542M,81.64M,377.82M,0.023M,110.96M,64.90M,,,,0.206M,176.09M
2003-03,3.086M,3.086M,122.63M,,122.63M,,236.48M,6.539M,,1.613M,,370.35M,,,,,,,,41.83M,-20.11M,21.72M,,116.04M,116.04M,,,2.141M,139.90M,510.25M,176.41M,,176.41M,14.57M,190.98M,,,46.48M,,46.48M,,,,237.46M,115.65M,,115.65M,12.54M,12.54M,,3.542M,131.73M,369.20M,0.023M,80.34M,64.29M,3.336M,,,-0.264M,141.05M
2002-12,5.132M,5.132M,70.14M,,70.14M,,183.72M,2.372M,,1.708M,,263.07M,0.0,1.105M,8.616M,30.88M,0.429M,,,41.03M,-20.11M,20.92M,,115.71M,115.71M,,,2.392M,139.02M,402.09M,93.31M,,93.31M,24.71M,118.02M,,,0.885M,,0.885M,,,,118.90M,125.18M,,125.18M,12.54M,12.54M,,3.542M,141.25M,260.15M,0.035M,78.85M,63.54M,,,,-0.484M,141.94M
2002-09,11.57M,11.57M,113.63M,,113.63M,,138.54M,3.917M,,2.568M,,270.22M,,,,,,,,29.13M,-10.01M,19.12M,102.61M,9.306M,111.91M,,,1.023M,132.06M,402.27M,69.36M,,69.36M,31.86M,101.22M,,,0.977M,,0.977M,,,,102.20M,147.09M,,147.09M,5.734M,5.734M,,,152.82M,255.02M,0.027M,157.32M,62.96M,72.44M,,,-0.612M,147.25M
2002-06,11.96M,11.96M,144.59M,,144.59M,172.74M,168.88M,4.126M,,2.788M,,332.34M,,,,,,,,26.40M,-10.01M,16.40M,,79.18M,79.18M,,,0.997M,96.57M,428.91M,120.91M,,120.91M,37.81M,158.72M,,,0.091M,,0.091M,,,,158.81M,97.52M,,97.52M,5.541M,5.541M,,,103.07M,261.88M,0.027M,143.12M,62.96M,38.02M,,,-1.05M,167.04M
2002-03,7.255M,7.255M,99.78M,,99.78M,219.40M,215.08M,5.829M,,2.897M,,330.84M,,,,,,,,26.15M,-10.01M,16.14M,,79.73M,79.73M,,,1.105M,96.98M,427.82M,153.28M,,153.28M,11.88M,165.16M,1.00M,0.091M,1.091M,,1.091M,,,,166.25M,108.00M,,108.00M,5.541M,5.541M,,,113.54M,279.80M,0.027M,114.51M,62.36M,27.57M,,,-1.317M,148.02M
2001-12,3.524M,3.524M,60.23M,,60.23M,185.38M,181.46M,2.517M,,2.599M,,250.33M,0.0,5.11M,1.079M,19.11M,0.556M,,,25.85M,-10.01M,15.84M,73.58M,,73.58M,,,8.831M,98.26M,348.59M,95.59M,,95.59M,17.80M,113.39M,,,0.091M,,0.091M,,,,113.48M,85.00M,,85.00M,5.541M,5.541M,,,90.54M,204.02M,0.027M,112.61M,61.35M,27.57M,,,-1.852M,144.57M
2001-09,14.19M,14.19M,87.31M,,87.31M,,133.03M,2.794M,,2.856M,,240.18M,,,,,,,,18.10M,-4.393M,13.71M,,76.22M,76.22M,,,5.777M,95.71M,335.89M,74.20M,,74.20M,36.66M,110.86M,3.00M,4.50M,7.50M,,7.50M,,,,118.36M,62.59M,,62.59M,4.777M,4.777M,,,67.37M,185.73M,0.027M,116.43M,60.77M,24.93M,,,-2.145M,150.16M
2001-06,2.962M,2.962M,134.42M,,134.42M,,137.77M,3.42M,,2.884M,,281.45M,,,,,,,,16.32M,-4.393M,11.92M,,77.99M,77.99M,,,5.24M,95.15M,376.60M,101.91M,,101.91M,31.78M,133.69M,23.00M,5.75M,28.75M,,28.75M,,,,162.44M,58.03M,,58.03M,4.458M,4.458M,,,62.48M,224.92M,0.018M,103.68M,60.19M,10.61M,,,-1.602M,151.68M
2001-03,3.056M,3.056M,104.65M,,104.65M,,177.48M,,,,5.971M,291.16M,,,,,,,,16.51M,-4.393M,12.12M,,77.23M,77.23M,,,5.595M,94.94M,386.10M,154.40M,,154.40M,,154.40M,,,31.25M,,31.25M,,,11.32M,196.96M,58.99M,,58.99M,4.166M,4.166M,,,63.15M,260.11M,0.018M,78.21M,59.81M,10.61M,,,-1.442M,125.99M
2000-12,3.431M,3.431M,53.26M,,53.26M,,116.85M,,,,4.645M,178.18M,,,,,,,,13.62M,-4.393M,9.229M,,59.74M,59.74M,,,4.752M,73.72M,251.90M,68.14M,,68.14M,,68.14M,,,6.25M,,6.25M,,,14.88M,89.27M,34.74M,,34.74M,4.697M,4.697M,,,39.44M,128.71M,0.017M,77.17M,57.79M,10.61M,,,-1.168M,123.20M
2000-09,4.265M,4.265M,,,66.95M,,88.22M,,,,4.00M,163.44M,,,,,,,,15.77M,-6.923M,8.847M,,61.34M,61.34M,,,2.507M,72.70M,236.14M,40.55M,,40.55M,,40.55M,,,6.25M,,6.25M,,,19.51M,66.32M,40.09M,,40.09M,4.116M,4.116M,,,44.21M,110.52M,0.018M,79.88M,57.57M,10.61M,,,-1.25M,125.61M
2000-06,3.161M,3.161M,,,101.00M,,108.81M,,,,3.267M,216.24M,,,,,,,,12.12M,-4.40M,7.722M,,49.65M,49.65M,,,4.006M,61.38M,277.62M,82.77M,,82.77M,,82.77M,,,5.00M,,5.00M,,,26.73M,114.50M,43.89M,,43.89M,3.827M,3.827M,,,47.72M,162.22M,0.017M,70.13M,57.09M,10.61M,,,-1.229M,115.40M
2000-03,2.136M,2.136M,,,75.00M,,130.52M,,,,3.207M,210.86M,,,,,,,,11.74M,-4.40M,7.335M,,50.09M,50.09M,,,3.351M,60.78M,271.64M,115.90M,,115.90M,,115.90M,,,5.00M,,5.00M,,,8.875M,129.77M,42.14M,,42.14M,3.827M,3.827M,,,45.97M,175.74M,0.011M,50.34M,56.12M,10.02M,,,-0.548M,95.90M
1999-12,3.958M,3.958M,,,40.93M,,84.25M,,,,3.301M,132.44M,,,,,,,,11.23M,-4.40M,6.831M,,49.69M,49.69M,,,5.175M,61.70M,194.14M,51.13M,,51.13M,,51.13M,,,5.00M,,5.00M,,,12.54M,68.67M,22.77M,,22.77M,5.094M,5.094M,,,27.86M,96.53M,0.017M,49.09M,55.27M,6.231M,,,-0.531M,97.61M
1999-09,0.60M,0.60M,,,60.10M,,69.70M,,,,2.80M,133.20M,,,,,,,,10.00M,-3.60M,6.40M,,48.40M,48.40M,,,4.90M,59.70M,192.90M,27.80M,,27.80M,,27.80M,,,5.00M,,5.00M,,,21.30M,54.10M,34.00M,,34.00M,3.80M,3.80M,,,37.80M,91.90M,0.00,52.10M,55.10M,6.20M,,,,101.00M
1999-06,7.80M,7.80M,,,91.60M,,89.30M,,,,2.80M,191.50M,,,,,,,,10.10M,-3.60M,6.50M,,48.40M,48.40M,,,4.50M,59.40M,250.90M,67.30M,,67.30M,,67.30M,,,5.30M,,5.30M,,,23.40M,96.00M,55.40M,,55.40M,3.80M,3.80M,,,59.20M,155.20M,,44.00M,,,,,,95.70M
1999-03,3.60M,3.60M,,,64.30M,,105.90M,,,,2.80M,176.60M,,,,,,,,10.40M,-3.70M,6.70M,,48.10M,48.10M,,,5.40M,60.20M,236.80M,84.40M,,84.40M,,84.40M,,,5.30M,,5.30M,,,10.00M,99.70M,54.50M,,54.50M,3.80M,3.80M,,0.10M,58.40M,158.10M,,28.10M,,,,,,78.70M
1998-12,4.90M,4.90M,,,34.60M,,69.40M,,,,3.30M,112.20M,,,,,,,,8.70M,-3.30M,5.40M,,43.90M,43.90M,,,2.30M,51.60M,163.80M,34.60M,,34.60M,,34.60M,,,5.00M,,5.00M,,,10.90M,50.50M,28.70M,,28.70M,4.00M,4.00M,,,32.70M,83.20M,,28.00M,,,,,,80.60M
1998-09,5.50M,5.50M,,,53.10M,,63.60M,,,,3.00M,125.20M,,,,,,,,8.80M,-3.20M,5.60M,,44.20M,44.20M,,,2.40M,52.20M,177.40M,25.70M,,25.70M,,25.70M,,,4.80M,,4.80M,,,16.70M,47.20M,42.70M,,42.70M,3.80M,3.80M,,,46.50M,93.70M,,31.10M,,,,,,83.70M
1998-06,1.70M,1.70M,,,73.00M,,80.80M,,,,2.70M,158.20M,,,,,,,,8.40M,-2.80M,5.60M,,38.20M,38.20M,,,2.80M,46.60M,204.80M,46.80M,,46.80M,,46.80M,,,6.40M,,6.40M,,,15.70M,68.90M,54.30M,,54.30M,3.80M,3.80M,,,58.10M,127.00M,,25.30M,,,,,,77.80M
