,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-09,26.52M,,-1.864M,1.249M,1.133M,2.382M,2.382M,,,,-1.519M,79.61M,49.88M,,-67.78M,,16.04M,77.76M,103.28M,-0.981M,,-0.981M,0.00,1.121M,-3.589M,-3.449M,,,-30.53M,1.261M,-3.281M,-2.02M,,-4.751M,,-54.53M,-91.83M,36.65M,8.002M,-0.01M,44.64M,1.261M,,,-3.281M
2005-06,50.71M,,0.81M,1.228M,0.931M,2.159M,2.159M,,,,-2.547M,-67.31M,33.22M,,-53.42M,,36.34M,-51.17M,-0.041M,-2.803M,,-2.803M,-0.001M,-1.121M,,-3.925M,,,-27.82M,0.39M,-0.048M,0.342M,,-4.729M,,58.70M,26.49M,14.56M,22.53M,-0.441M,36.65M,0.39M,,,-0.048M
2005-03,4.102M,,-2.135M,1.216M,0.937M,2.153M,2.153M,,,,,-66.71M,-85.75M,,106.18M,,-8.807M,-55.09M,-50.97M,-2.772M,,-2.772M,-0.002M,,,-2.774M,,,47.54M,1.495M,-3.024M,-1.529M,,-3.672M,,4.25M,46.59M,21.76M,-7.151M,-0.046M,14.56M,1.495M,,,-3.024M
2004-12,-6.279M,,0.526M,1.433M,0.989M,2.422M,2.422M,,,,,33.39M,-28.99M,,38.12M,,-18.84M,29.34M,27.02M,-1.003M,,-1.003M,-0.295M,,,-9.00M,,,-1.759M,-3.699M,-20.74M,-24.44M,,-3.653M,,3.138M,-26.71M,30.43M,-8.694M,0.029M,21.76M,-3.699M,,,-20.74M
2004-09,22.01M,,-5.306M,4.462M,3.345M,7.807M,7.807M,,,,,67.40M,52.61M,,-70.72M,,-1.756M,47.54M,72.05M,-1.141M,,-1.141M,-0.001M,,,-1.142M,,,-1.987M,2.56M,-1.86M,0.70M,,-3.525M,,-57.58M,-62.39M,21.12M,8.512M,0.791M,30.43M,2.56M,,,-1.86M
2004-06,43.60M,,5.845M,-1.578M,-1.125M,-2.703M,-2.703M,,,,,-50.56M,21.62M,,-22.28M,,33.17M,-18.05M,28.69M,-1.426M,,-1.426M,-0.041M,,,-1.467M,,,-48.00M,1.907M,-16.35M,-14.44M,,-3.528M,,57.58M,-8.387M,2.859M,18.84M,-0.572M,21.12M,1.907M,,,-16.35M
2004-03,4.08M,,-1.022M,1.578M,1.125M,2.703M,2.703M,,,,,-63.12M,-47.92M,,47.99M,,-12.57M,-75.62M,-69.86M,-2.493M,,-2.493M,-0.307M,,,-2.80M,,,61.42M,1.806M,-1.874M,-0.068M,,,,,61.35M,12.81M,-11.31M,1.356M,2.859M,1.806M,,,-1.874M
2003-12,-2.994M,,-7.693M,,,,,,,,,37.72M,-43.55M,,42.01M,,-19.90M,12.64M,19.24M,-2.271M,,-2.271M,-16.51M,,,-18.78M,,,-20.48M,2.633M,0.00,2.633M,,,,-0.626M,-18.47M,29.71M,-18.01M,1.106M,12.81M,2.633M,,,0.00
2003-09,18.40M,,3.252M,,,,,,,,,59.05M,57.20M,,-86.04M,,-1.194M,29.01M,50.66M,-1.123M,-0.002M,-1.125M,-1.907M,,,-3.032M,,,38.89M,1.059M,0.00,1.059M,,,,-90.00M,-50.05M,32.18M,-2.428M,-0.043M,29.71M,1.059M,,,0.00
2003-06,33.96M,,3.553M,,,,,,,,,-49.52M,41.20M,,-22.75M,,36.12M,5.053M,42.57M,-2.983M,0.002M,-2.981M,-3.275M,,,-6.256M,,,-52.22M,-0.112M,0.00,-0.112M,,,,44.40M,-7.928M,3.086M,28.38M,0.714M,32.18M,-0.112M,,,0.00
2003-03,1.484M,,1.777M,,,,,,,,,-52.23M,-52.82M,,83.10M,,-15.03M,-36.97M,-33.71M,-1.974M,,-1.974M,-0.08M,,,-2.054M,,,-9.525M,0.742M,-3.336M,-2.594M,,,,45.60M,33.48M,5.132M,-2.289M,0.243M,3.086M,0.742M,,,-3.336M
2002-12,-3.405M,,-6.729M,,,,,,,,,44.34M,-45.76M,0.766M,24.08M,-8.961M,,14.47M,17.12M,-2.985M,0.001M,-2.984M,-1.136M,,,-4.12M,,,-18.38M,1.527M,-2.635M,-1.108M,,,,,-19.48M,11.57M,-6.486M,0.052M,5.132M,1.527M,,,-2.635M
2002-09,14.20M,,2.864M,,,,,,,,,46.65M,49.74M,0.546M,-67.71M,7.543M,-21.18M,15.60M,32.67M,-0.906M,0.003M,-0.903M,-44.19M,,,-45.09M,,,46.02M,-0.026M,-34.42M,-34.45M,,,,,11.58M,11.96M,-0.843M,0.449M,11.57M,-0.026M,,,-34.42M
2002-06,28.60M,,1.572M,,,,,,,,,-45.26M,46.67M,,-32.38M,,28.43M,-2.543M,27.63M,-1.268M,0.01M,-1.258M,0.00,,,-1.258M,,,-11.48M,0.221M,-10.45M,-10.23M,,,,,-21.70M,7.255M,4.669M,0.036M,11.96M,0.221M,,,-10.45M
2002-03,1.902M,,2.064M,,,,,,,,,-39.65M,-34.02M,,57.70M,,-7.247M,-23.22M,-19.25M,-1.271M,,-1.271M,-0.028M,,,-1.299M,,,24.00M,0.386M,,0.386M,,,,,24.39M,3.524M,3.834M,-0.103M,7.255M,0.386M,,,
2001-12,-3.816M,,-8.363M,,,8.107M,8.107M,,,,,28.08M,-46.28M,,21.39M,0.492M,-15.42M,-15.33M,-18.02M,-3.188M,0.004M,-3.184M,-5.403M,,,-8.587M,,,18.00M,0.579M,-2.639M,-2.06M,,,,,15.94M,14.19M,-10.67M,0.00,3.524M,0.579M,,,-2.639M
2001-09,12.75M,,2.043M,,,,,,,,,47.29M,5.13M,,-28.10M,,3.653M,27.97M,42.77M,-1.117M,0.015M,-1.102M,-20.22M,,,-21.32M,,,3.315M,0.591M,-14.32M,-13.73M,,,,,-10.41M,2.962M,11.03M,0.201M,14.19M,0.591M,,,-14.32M
2001-06,25.47M,,3.548M,,,-0.899M,-0.899M,,,,,-28.65M,38.24M,,-54.18M,9.174M,11.76M,-23.66M,4.46M,-1.196M,0.031M,-1.165M,-2.049M,,,-3.214M,,,-1.46M,0.382M,,0.382M,,,,,-1.078M,3.056M,0.168M,-0.262M,2.962M,0.382M,,,
2001-03,1.042M,,1.734M,,,0.899M,0.899M,,,,,-41.04M,-32.00M,,76.10M,-9.174M,,-6.127M,-2.452M,-0.824M,0.002M,-0.822M,-23.01M,,,-23.83M,,,24.24M,1.573M,,1.573M,,,,,25.82M,3.431M,-0.466M,0.091M,3.056M,1.573M,,,
2000-12,-2.711M,,1.334M,,,3.133M,3.133M,,,,19.44M,-6.036M,-23.20M,,11.82M,,,-15.25M,4.963M,-1.035M,0.01M,-1.025M,0.408M,,,-0.617M,,,-5.35M,0.215M,0.00,0.215M,,,,,-5.135M,4.265M,-0.789M,-0.045M,3.431M,0.215M,,,0.00
2000-09,9.75M,,-3.528M,,,1.998M,1.998M,,,,-19.44M,60.70M,25.94M,,-31.64M,,-13.76M,41.24M,30.01M,-1.398M,0.008M,-1.39M,-25.16M,,,-26.55M,,,-2.55M,0.317M,-0.001M,0.316M,,,,,-2.234M,3.161M,1.23M,-0.126M,4.265M,0.317M,,,-0.001M
2000-06,19.80M,,3.528M,,,-0.662M,-0.662M,,,,19.02M,-60.70M,-25.94M,,31.64M,,13.76M,-41.24M,0.449M,-0.86M,0.00,-0.86M,0.00,,,-0.86M,,,1.75M,0.422M,-0.588M,-0.166M,,,,,1.584M,2.136M,1.173M,-0.148M,3.161M,0.422M,,,-0.588M
2000-03,1.242M,,,,,0.662M,0.662M,,,,-19.02M,,,,,,,,-17.12M,-0.996M,0.009M,-0.987M,-0.13M,,,-1.117M,,,19.38M,0.845M,-3.788M,-2.943M,,,,,16.43M,3.958M,-1.805M,-0.017M,2.136M,0.845M,,,-3.788M
1999-12,-3.00M,,,,,2.20M,2.20M,,,,8.40M,,,,,,,,18.70M,-27.20M,0.00,-27.20M,22.90M,,,-4.30M,,,-11.20M,0.20M,0.00,0.20M,,,,-0.10M,-11.10M,0.60M,3.30M,,4.00M,0.20M,,,0.00
1999-09,8.045M,,,,,0.675M,0.675M,,,,9.184M,,,,,,,,17.90M,-0.32M,-0.002M,-0.322M,-0.323M,,,-0.645M,,,-21.73M,0.757M,-3.522M,-2.765M,,,,,-24.50M,7.794M,-7.236M,0.053M,0.60M,0.757M,,,-3.522M
1999-06,15.86M,,,,,1.125M,1.125M,,,,-13.58M,,,,,,,,3.396M,20.72M,0.702M,21.42M,-22.58M,,,-1.155M,,,0.93M,1.143M,0.022M,1.165M,,,,-0.10M,1.995M,3.60M,4.236M,0.047M,7.794M,1.143M,,,0.022M
1999-03,0.70M,,,,,0.60M,0.60M,,,,-4.00M,,,,,,,,-2.70M,-22.80M,,-22.80M,,,,-22.80M,,,26.10M,0.70M,-2.70M,-2.00M,,,,0.10M,24.20M,4.90M,-1.30M,-0.10M,3.60M,0.70M,,,-2.70M
1998-12,-3.20M,,,,,2.50M,2.50M,,,,11.90M,,,,,,,,13.70M,-0.60M,0.00,-0.60M,,,,-0.60M,,,-13.80M,0.10M,,0.10M,,,,0.00,-13.70M,0.00,-0.60M,,0.00,0.10M,,,
1998-09,5.80M,,,,,-0.10M,-0.10M,,,,18.20M,,,,,,,,23.90M,-7.00M,0.00,-7.00M,,,0.10M,-6.90M,,,-13.10M,0.00,,0.00,,,,-0.10M,-13.20M,0.00,3.80M,,0.00,0.00,,,
1998-06,12.30M,,,,,0.40M,0.40M,,,,-32.10M,,,,,,,,-19.40M,-1.90M,0.10M,-1.80M,,,-0.10M,-1.90M,,,16.40M,0.10M,,0.10M,,,,,16.50M,0.00,-4.80M,,0.00,0.10M,,,
