,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2000-06,239.95M,,239.95M,,31.56M,,31.56M,,,271.51M,,,,,,4.081B,-597.88M,3.483B,,189.67M,189.67M,459.01M,,,4.132B,4.476B,87.11M,87.11M,,,161.39M,161.39M,248.50M,161.39M,161.39M,480.26M,,,161.39M,248.50M,1.168B,1.237B,2.488B,1.155B,,,3.747B
2000-03,274.68M,,274.68M,,,,,,,274.68M,,,,,,4.007B,-565.71M,3.441B,,192.00M,192.00M,475.64M,,,4.109B,4.492B,84.14M,84.14M,,,,,84.14M,166.74M,166.74M,484.34M,,,166.74M,250.88M,1.168B,1.163B,2.515B,1.155B,,,3.757B
1999-12,,,,,,,,,,,,,,,,,,3.430B,,194.30M,194.30M,,,,3.624B,4.214B,,,,,,,,167.30M,167.30M,186.60M,,,167.30M,338.68M,13.40M,57.40M,2.463B,,,,3.689B
1999-09,,,,,,,,,,,,,,,,,,3.384B,,196.70M,196.70M,,,,3.581B,4.206B,,,,,,,,172.00M,172.00M,136.40M,,,172.00M,271.60M,,,,,,,3.798B
1999-06,,,,,,,,,,,,,,,,,,3.352B,,199.00M,199.00M,,,,3.551B,4.148B,,,,,,,,172.60M,172.60M,151.20M,,,172.60M,267.80M,,-844.50M,,,,,3.729B
1999-03,,,,,,,,,,,,,,,,,,3.244B,,201.30M,201.30M,,,,3.445B,4.110B,,,,,,,,180.80M,180.80M,156.90M,,,180.80M,269.80M,,-792.30M,,,,,3.684B
1998-12,,,,,,,,,,,,,,,,,,2.634B,,203.60M,203.60M,,,,2.838B,3.404B,,,,,,,,81.40M,81.40M,139.30M,,,81.40M,145.26M,12.30M,59.70M,2.178B,,,,3.119B
1998-09,,,,,,,,,,,,,,,,,,2.624B,,206.00M,206.00M,,,,2.830B,3.412B,,,,,,,,85.60M,85.60M,150.50M,,,85.60M,163.00M,,11.80M,,,,,3.098B
1998-06,,,,,,,,,,,,,,,,,,2.461B,,208.30M,208.30M,,,,2.670B,3.434B,,,,,,,,86.30M,86.30M,154.10M,,,86.30M,148.50M,,11.80M,,,,,3.131B
1998-03,,,,,,,,,,,,,,,,,,2.858B,,210.60M,210.60M,,,,3.069B,3.614B,,,,,,,,108.00M,108.00M,365.20M,,,108.00M,176.50M,,11.80M,,,,,3.072B
