,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-12,,8.44B,6.656B,15.10B,,,,3.521B,,,7.162B,2.709B,1.483B,29.97B,,,,,,,,,31.27B,,,,6.801B,149.69B,4.802B,20.74B,213.31B,243.28B,,11.26B,316.00M,7.452B,19.03B,13.39B,32.42B,,,,,1.832B,,1.832B,,,,34.25B,,146.79B,,146.79B,5.017B,6.116B,11.13B,,,,682.00M,25.68B,184.48B,218.74B,,1.16B,17.69B,5.105B,,,594.00M,24.55B,,AOR,Restated
1995-09,,8.564B,,8.564B,,,,3.169B,,,6.845B,,10.52B,29.10B,,,,,,,52.71B,-22.74B,29.97B,,,,,,,179.51B,209.48B,238.58B,,12.63B,,,12.63B,,12.63B,,,,,793.00M,,793.00M,,,13.60B,27.02B,,141.95B,,141.95B,4.901B,,4.901B,,,1.976B,,37.77B,184.62B,211.64B,,,17.53B,,,,,24.96B,,,
1995-06,,10.63B,,10.63B,,,,3.10B,,,6.841B,,17.85B,38.42B,,,,,,,51.94B,-22.74B,29.20B,,,,,,,172.19B,201.39B,239.81B,,16.03B,,,16.03B,,16.03B,,,,,796.00M,,796.00M,,,13.92B,30.75B,,142.57B,,142.57B,4.728B,,4.728B,,,,,34.55B,181.84B,212.59B,,1.976B,17.57B,,,1.976B,,27.22B,,,
1995-03,,11.73B,,11.73B,,,,3.105B,,,7.331B,,8.622B,30.79B,,,,,,,51.17B,-22.74B,28.43B,,,,,,,172.81B,201.24B,232.02B,,14.74B,,,14.74B,,14.74B,,,,,341.00M,,341.00M,,,15.78B,30.86B,,137.47B,,137.47B,4.473B,,4.473B,,,,,33.79B,175.74B,206.60B,,1.875B,16.39B,,,1.875B,,25.43B,,,
1994-12,,6.22B,7.602B,13.82B,,,,3.225B,,,6.487B,3.062B,2.006B,28.60B,,,,,,,,,27.05B,,,,9.659B,130.36B,4.414B,19.54B,191.02B,219.62B,,10.78B,316.00M,4.641B,15.73B,11.94B,27.68B,,,,,155.00M,,155.00M,,,,27.83B,,130.82B,,130.82B,4.174B,7.669B,11.84B,,,,0.00,26.80B,170.13B,197.96B,,2.898B,15.17B,5.273B,,1.875B,189.00M,21.66B,,AOR,Restated
1994-09,,9.235B,,9.235B,,,,2.552B,,,6.394B,,12.15B,30.33B,,,,,,,48.73B,-22.74B,25.99B,,,,,,,158.50B,184.49B,214.82B,,10.95B,,,10.95B,,10.95B,,,,,96.00M,,96.00M,,,15.52B,26.57B,,126.19B,,126.19B,3.90B,,3.90B,,,,,36.51B,166.60B,193.18B,,1.659B,13.94B,,,1.659B,,21.64B,,,
1994-06,,10.86B,,10.86B,,,,2.373B,,,5.704B,,10.98B,29.92B,,,,,,,47.42B,-22.74B,24.68B,,,,,,,155.49B,180.16B,210.08B,,10.37B,,,10.37B,,10.37B,,,,,156.00M,,156.00M,,,14.95B,25.48B,,124.74B,,124.74B,3.761B,,3.761B,,,,,36.20B,164.71B,190.19B,,1.466B,13.12B,,,1.466B,,19.89B,,,
1994-03,,7.263B,,7.263B,,,,3.425B,,,5.976B,,10.08B,26.75B,,,,,,,46.43B,-22.74B,23.69B,,,,,,,147.99B,171.68B,198.43B,,9.953B,,,9.953B,,9.953B,,,,,835.00M,,835.00M,,,13.40B,24.19B,,116.38B,,116.38B,3.573B,,3.573B,,,,,36.09B,156.05B,180.24B,,1.562B,11.70B,,,1.562B,,18.20B,,,
1993-12,,8.222B,4.085B,12.31B,,,,3.136B,,,5.538B,2.83B,1.226B,25.04B,,,,,,,,,23.06B,,,,11.22B,119.61B,5.427B,14.58B,173.90B,198.94B,,8.769B,160.00M,3.857B,12.79B,10.82B,23.60B,,,,,932.00M,,932.00M,,,,24.53B,,111.04B,,111.04B,3.376B,5.583B,8.959B,,,,,37.92B,158.83B,183.36B,,1.957B,11.07B,5.082B,,1.458B,-1.078B,15.57B,,,Restated
1993-09,,6.81B,,6.81B,,,,5.575B,,,5.565B,,17.82B,35.77B,,,,,,,43.43B,-20.69B,22.74B,,,,,,,136.78B,159.52B,195.30B,,8.606B,,,8.606B,,8.606B,,,,,749.00M,,749.00M,,,14.23B,23.58B,,119.82B,,119.82B,3.39B,,3.39B,,,,,31.22B,154.43B,178.01B,,1.457B,10.62B,,,1.457B,,17.28B,,,
1993-06,,9.149B,,9.149B,,,,3.853B,,,5.298B,,3.348B,21.65B,,,,,,,43.20B,-20.69B,22.51B,,,,,,,147.71B,170.22B,191.87B,,8.924B,,,8.924B,,8.924B,,,,,763.00M,,763.00M,,,26.31B,36.00B,,104.52B,,104.52B,3.025B,,3.025B,,,,,31.38B,138.93B,174.93B,,1.257B,10.43B,,,1.257B,,16.94B,,,
1993-03,,8.936B,,8.936B,,,,3.025B,,,5.872B,,3.254B,21.09B,,,,,,,42.97B,-20.69B,22.28B,,,,,,,143.17B,165.45B,186.53B,,8.702B,,,8.702B,,8.702B,,,,,1.05B,,1.05B,,,27.70B,37.45B,,99.82B,,99.82B,3.049B,,3.049B,,,,,26.42B,129.29B,166.73B,,1.256B,9.924B,,,1.256B,,19.80B,,,
1992-12,,6.686B,,6.686B,,,,110.40B,,,5.451B,,8.629B,131.16B,,,,,,,42.15B,-19.99B,22.16B,,,,,,,27.22B,49.38B,180.55B,,9.575B,,,9.575B,,9.575B,,,,,49.07B,,49.07B,,,10.30B,68.94B,,50.95B,,50.95B,2.949B,,2.949B,,,,,41.87B,95.77B,164.71B,,1.083B,9.628B,,,1.083B,,15.84B,,,Restated
1992-09,,6.460B,,6.460B,,,,4.879B,,,6.462B,,8.250B,26.05B,,,,,,,42.82B,-19.99B,22.83B,,,,,,,127.92B,150.75B,176.80B,,8.427B,,,8.427B,,8.427B,,,,,1.316B,,1.316B,,,13.17B,22.92B,,94.89B,,94.89B,3.889B,,3.889B,,,,,31.01B,129.79B,152.70B,,1.082B,17.94B,,,1.082B,,24.10B,,,
1992-06,,7.516B,,7.516B,,,,3.140B,,,5.940B,,24.35B,40.94B,,,,,,,42.64B,-19.99B,22.64B,,,,,,,115.51B,138.16B,179.10B,,8.400B,,,8.400B,,8.400B,,,,,1.282B,,1.282B,,,28.69B,38.37B,,94.51B,,94.51B,3.632B,,3.632B,,,,,18.22B,116.37B,154.74B,,1.081B,18.34B,,,1.081B,,24.36B,,,
1992-03,,9.064B,,9.064B,,,,3.280B,,,6.152B,,2.814B,21.31B,,,,,,,41.92B,-19.99B,21.93B,,,,,,,131.04B,152.97B,174.28B,,8.093B,,,8.093B,,8.093B,,,,,1.661B,,1.661B,,,34.05B,43.80B,,94.18B,,94.18B,2.888B,,2.888B,,,,,10.26B,107.33B,151.14B,,800.00M,18.08B,,,800.00M,,23.15B,,,
1991-12,,8.133B,,8.133B,,,,3.243B,,,6.215B,,8.659B,26.25B,,,,,,,41.94B,-19.42B,22.52B,,,,,,,125.66B,148.18B,174.43B,,10.30B,,,10.30B,,10.30B,,,,,47.19B,,47.19B,,,27.19B,84.68B,,50.22B,,50.22B,2.830B,,2.830B,,,,,13.21B,66.26B,150.94B,,800.00M,17.99B,,,800.00M,,23.49B,,,
1991-09,,6.282B,,6.282B,,,,4.857B,,,6.277B,,6.405B,23.82B,,,,,,,40.83B,-19.42B,21.41B,,,,,,,125.83B,147.24B,171.06B,,7.415B,,,7.415B,,7.415B,,,,,1.745B,,1.745B,,,12.37B,21.53B,,92.96B,,92.96B,2.732B,,2.732B,,,,,32.60B,128.29B,149.82B,,800.00M,18.66B,,,800.00M,,21.24B,,,
1991-06,,6.894B,,6.894B,,,,4.991B,,,5.606B,,12.45B,29.94B,,,,,,,40.48B,-19.42B,21.06B,,,,,,,115.63B,136.69B,166.63B,,6.627B,,,6.627B,,6.627B,,,,,2.621B,,2.621B,,,13.82B,23.07B,,88.47B,,88.47B,2.708B,,2.708B,,,,,31.01B,122.18B,145.25B,,800.00M,19.43B,,,800.00M,,21.38B,,,
1991-03,,7.480B,,7.480B,,,,3.156B,,,6.646B,,12.37B,29.66B,,,,,,,40.95B,-19.42B,21.52B,,,,,,,116.46B,137.99B,167.65B,,6.541B,,,6.541B,,6.541B,,,,,3.277B,,3.277B,,,12.79B,22.61B,,89.26B,,89.26B,2.770B,,2.770B,,,,,30.82B,122.85B,145.45B,,800.00M,19.94B,,,800.00M,,22.19B,,,
1990-12,,6.768B,,6.768B,,,,3.537B,,,7.115B,,11.56B,28.98B,,,,,,,40.69B,-18.49B,22.21B,,,,,,,122.47B,144.68B,173.66B,,10.90B,,,10.90B,,10.90B,,,,,50.19B,,50.19B,,,26.42B,87.50B,,45.33B,,45.33B,3.103B,,3.103B,,,,,13.69B,62.12B,149.62B,,800.00M,21.18B,,,800.00M,,24.04B,,,
1990-09,,5.571B,,5.571B,,,,4.839B,,,7.75B,,8.810B,26.97B,,,,,,,39.96B,-18.49B,21.47B,,,,,,,122.31B,143.78B,170.75B,,7.340B,,,7.340B,,7.340B,,,,,2.737B,,2.737B,,,12.66B,22.74B,,89.51B,,89.51B,3.623B,,3.623B,,,147.10M,,30.11B,123.25B,145.99B,,800.00M,22.04B,,,800.00M,,24.61B,,,
1990-06,,6.648B,,6.648B,,,,5.600B,,,7.237B,,8.693B,28.18B,,,,,,,38.71B,-18.49B,20.22B,,,,,,,120.53B,140.75B,168.93B,,7.624B,,,7.624B,,7.624B,,,,,2.406B,,2.406B,,,12.39B,22.42B,,88.31B,,88.31B,3.565B,,3.565B,,,141.50M,,30.11B,121.98B,144.40B,,800.00M,22.29B,,,800.00M,,24.39B,,,
1990-03,,4.534B,,4.534B,,,,4.880B,,,7.436B,,7.841B,24.69B,,,,,,,37.80B,-18.49B,19.31B,,,,,,,117.21B,136.52B,161.21B,,7.542B,,,7.542B,,7.542B,,,,,2.724B,,2.724B,,,11.69B,21.95B,,82.33B,,82.33B,3.594B,,3.594B,,,183.60M,,29.46B,115.38B,137.33B,,800.00M,21.86B,,,800.00M,,23.70B,,,
1989-12,,5.421B,,5.421B,,,,106.78B,,,6.817B,,8.430B,127.45B,,,,,,,34.97B,-16.36B,18.61B,,,,,,,14.84B,33.44B,160.89B,,11.38B,,,11.38B,,11.38B,,,,,46.49B,,46.49B,,,7.598B,65.47B,,38.92B,,38.92B,3.393B,,3.393B,,,166.80M,,29.42B,71.73B,137.20B,,800.00M,21.70B,,,800.00M,,23.53B,,,
1988-12,,6.725B,,6.725B,,,,95.69B,,,6.638B,,9.839B,118.89B,,,,,,,31.67B,-15.68B,15.99B,,,,,,,8.486B,24.48B,143.37B,,8.705B,,,8.705B,,8.705B,,,,,37.84B,,37.84B,,,10.14B,56.68B,,32.11B,,32.11B,3.933B,,3.933B,,,164.10M,,28.95B,65.00B,121.67B,,,20.13B,,,,,21.53B,,,
1987-12,,10.10B,,10.10B,,,,4.402B,,,6.321B,,1.162B,21.98B,,,,,,,28.60B,-14.57B,14.03B,,,,,,,8.941B,22.97B,44.96B,,,,,,,,,,,,1.883B,,1.883B,,,15.91B,17.79B,,1.752B,,1.752B,2.355B,,2.355B,,,,,4.563B,8.670B,26.46B,,,16.72B,,,,,18.49B,,,
1986-12,,8.553B,,8.553B,,,,3.488B,,,5.793B,,624.50M,18.46B,,,,,,,26.39B,-13.19B,13.20B,,,,,,,6.274B,19.48B,37.93B,,,,,,,,,,,,1.304B,,1.304B,,,14.32B,15.63B,,2.137B,,2.137B,1.328B,,1.328B,,,,,3.983B,7.448B,23.07B,,,14.17B,,,,,14.86B,,,
1985-12,,5.904B,,5.904B,,,,2.852B,,,4.602B,,656.60M,14.01B,,,,,,,24.31B,-11.88B,12.42B,,,,,,,5.168B,17.59B,31.60B,,,,,,,,,,,,1.275B,,1.275B,,,11.50B,12.78B,,2.157B,,2.157B,1.214B,,1.214B,,,,,3.186B,6.558B,19.34B,,,12.11B,,,,,12.27B,,,
1984-12,,5.943B,,5.943B,,,,2.526B,,,4.115B,,746.20M,13.33B,,,,,,,21.13B,-10.58B,10.55B,,,,,,,3.606B,14.15B,27.49B,,,,,,,,,,,,1.348B,,1.348B,,,10.62B,11.97B,,2.111B,,2.111B,1.001B,,1.001B,,,,,2.568B,5.680B,17.65B,,,10.25B,,,,,9.838B,,,
