,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2001-12,-4.962B,,,,,,,,,,,,-21.86B,,,,,,,-954.00M,,-666.00M,,-666.00M,-57.00M,1.555B,-5.682B,-4.85B,,,,2.651B,,-38.00M,-38.00M,,-275.00M,231.00M,2.569B,,10.64B,-3.235B,-144.00M,7.184B,,,,,,-38.00M,,,
2001-09,-692.00M,,,,,,,,,,,,9.761B,,,,,,,9.069B,,-3.47B,,-3.47B,-68.00M,-1.474B,11.67B,6.659B,,,,-13.23B,,2.42B,2.42B,,-547.00M,-422.00M,-11.78B,,6.586B,3.947B,105.00M,10.64B,,,,,,2.42B,,,
2001-06,-4.718B,,,,,,,,,,,,13.24B,,,,,,,8.527B,,-1.328B,,-1.328B,23.14B,-14.00M,-34.32B,-12.52B,,,,9.284B,,-2.966B,-2.966B,,-550.00M,-534.00M,5.234B,,5.382B,1.243B,-39.00M,6.586B,,,,,,-2.966B,,,
2001-03,5.025B,,,,,,,,,,,,113.00M,,,,,,,5.138B,,-1.488B,,-1.488B,-25.76B,1.335B,20.10B,-5.808B,,,,1.931B,,-801.00M,-801.00M,,-557.00M,802.00M,1.375B,,4.851B,705.00M,-174.00M,5.382B,,,,,,-801.00M,,,
2000-12,1.077B,,,,,,,15.95B,15.95B,,,,-25.33B,,,,,,,5.592B,,-2.899B,,-2.899B,-200.00M,-116.00M,-5.48B,-8.695B,,,,5.868B,,-1.636B,-1.044B,,-566.00M,-804.00M,2.889B,,5.662B,-214.00M,-597.00M,4.851B,,,,,,-1.636B,,AOR,
2000-09,888.00M,,,,,,,-4.606B,-4.606B,,,,12.76B,,,,,,,9.046B,,-2.033B,,-2.033B,-2.574B,-314.00M,356.00M,-4.565B,,,,-269.00M,,7.00M,7.00M,,-607.00M,-7.008B,-7.312B,,8.664B,-2.831B,-171.00M,5.662B,,,,,,7.00M,,,
2000-06,-577.00M,,,,,,,2.398B,2.398B,,,,8.425B,,,,,,,10.25B,,-1.61B,,-1.61B,1.29B,18.00M,-13.27B,-13.57B,,,,5.805B,,-114.00M,-114.00M,,-971.00M,1.627B,6.347B,,5.758B,3.02B,-114.00M,8.664B,,,,,,-114.00M,,,
2000-03,2.079B,,,,,,,2.208B,2.208B,,,,4.593B,,,,,,,8.88B,,-1.806B,,-1.806B,-1.29B,-52.00M,-6.17B,-9.318B,,,,3.078B,,-78.00M,-78.00M,,-607.00M,-546.00M,1.847B,,4.381B,1.409B,-32.00M,5.758B,,,,,,-78.00M,,,
1999-12,1.071B,,,,,,,7.661B,7.661B,,,,-3.748B,,,,,,,8.31B,,-2.417B,,5.242B,-99.00M,-990.00M,-8.568B,-12.07B,,,,8.08B,,-442.00M,-168.00M,,-605.00M,-2.365B,4.942B,,3.297B,1.178B,-94.00M,4.381B,,,,,,-442.00M,,AOR,Restated
1999-09,1.114B,,,,,,,2.333B,2.333B,,,,2.312B,,,,,,,5.759B,,-3.988B,,-3.988B,26.00M,66.00M,-2.895B,-6.791B,,,,706.00M,,-19.00M,-19.00M,,-561.00M,152.00M,278.00M,,4.063B,-754.00M,-12.00M,3.297B,,,,,,-19.00M,,,
1999-06,2.338B,,,,,,,2.391B,2.391B,,,,3.262B,,,,,,,7.991B,,-1.707B,,-1.707B,-2.10B,-120.00M,-7.922B,-11.85B,,,,2.626B,,-110.00M,-110.00M,,-562.00M,631.00M,2.585B,,5.373B,-1.273B,-37.00M,4.063B,,,,,,-110.00M,,,
1999-03,1.979B,,,,,,,2.157B,2.157B,,,,1.195B,,,,,,,5.331B,,-1.286B,,-1.286B,-3.734B,-13.00M,-3.082B,-8.115B,,,,4.54B,,-136.00M,-136.00M,,-562.00M,214.00M,4.056B,,4.294B,1.272B,-193.00M,5.373B,,,,,,-136.00M,,,
1998-12,16.30B,,,,,,,7.488B,7.488B,,,,-11.66B,,,,,,,2.684B,,-3.37B,,4.386B,,10.12B,-18.95B,-12.55B,,,,8.978B,-53.00M,197.00M,144.00M,,-557.00M,-101.00M,8.044B,,0.00,-1.819B,75.00M,4.294B,,,-53.00M,,,-223.00M,,AOR,Restated
1998-09,1.001B,,,,,,,2.22B,2.22B,,,,664.00M,,,,,,,3.885B,,-2.055B,,-2.055B,,-9.759B,9.359B,-2.455B,,,,-1.558B,-3.00M,-57.00M,-60.00M,,-517.00M,417.00M,-1.718B,,0.00,-288.00M,-17.00M,0.00,,,-3.00M,,,-57.00M,,,
1998-06,2.381B,,,,,,,2.158B,2.158B,,,,3.023B,,,,,,,7.562B,,-1.201B,,-1.201B,,-220.00M,-5.77B,-7.191B,,,,2.69B,117.00M,-389.00M,-272.00M,,-3.754B,-554.00M,-1.89B,,0.00,-1.519B,-22.00M,0.00,,,117.00M,,,-389.00M,,,
1998-03,1.691B,,,,,,,2.037B,2.037B,,,,3.868B,,,,,,,7.596B,,-2.92B,,-2.92B,,-139.00M,-6.104B,-9.163B,,,,3.829B,93.00M,-420.00M,-327.00M,,-520.00M,-1.181B,1.801B,,7.934B,234.00M,60.00M,0.00,,,93.00M,,,-420.00M,,,
1997-12,1.796B,,,,,,,8.234B,8.234B,,,,-10.45B,,,,,,,8.289B,,-2.219B,,6.498B,,-83.00M,-7.329B,-10.63B,,,,3.969B,81.00M,,66.00M,,-492.00M,-458.00M,3.085B,,0.00,745.00M,45.00M,7.934B,,,81.00M,,,,,AOR,Restated
1997-09,1.125B,,,,,,,2.011B,2.011B,,,,6.426B,,,,,,,9.562B,,-2.747B,,-2.747B,,122.00M,-4.582B,-7.207B,,,,110.00M,152.00M,,152.00M,,-541.00M,27.00M,-252.00M,,0.00,2.103B,-24.00M,0.00,,,152.00M,,,,,,
1997-06,2.53B,,,,,,,1.774B,1.774B,,,,771.00M,,,,,,,5.075B,,-2.012B,,-2.012B,,-162.00M,-9.649B,-11.82B,,,,5.76B,507.00M,,507.00M,,-508.00M,241.00M,6.00B,,0.00,-748.00M,15.00M,0.00,,,507.00M,,,,,,
1997-03,1.469B,,,,,,,1.765B,1.765B,,,,1.474B,,,,,,,4.708B,,-1.739B,,-1.739B,,546.00M,-5.224B,-6.417B,,,,1.081B,23.00M,,23.00M,,-479.00M,-258.00M,367.00M,,7.267B,-1.342B,-127.00M,0.00,,,23.00M,,,,,,
1996-12,1.204B,,,,,,,7.657B,7.657B,,,,-11.32B,,,,,,,4.03B,,-4.135B,-1.157B,3.359B,,-61.00M,-1.286B,-6.805B,,,,2.464B,68.00M,,68.00M,,-472.00M,-852.00M,1.208B,,0.00,-1.567B,78.00M,7.267B,,,68.00M,,,,,AOR,Restated
1996-09,686.00M,,,,,,,1.768B,1.768B,,,,367.00M,,,,,,,2.821B,,-561.00M,1.157B,596.00M,,-860.00M,-3.511B,-3.775B,,,,1.138B,8.00M,,8.00M,,-471.00M,-71.00M,604.00M,,0.00,-350.00M,-47.00M,0.00,,,8.00M,,,,,,
1996-06,1.903B,,,,,,,1.675B,1.675B,,,,2.814B,,,,,,,6.392B,,-3.812B,,-3.812B,,1.216B,-10.18B,-12.78B,,,,6.043B,1.973B,,1.973B,,-429.00M,-31.00M,7.556B,,0.00,1.169B,-156.00M,0.00,,,1.973B,,,,,,
1996-03,653.00M,,,,,,,1.691B,1.691B,,,,3.67B,,,,,,,6.014B,,-1.902B,,-1.902B,,1.549B,-8.095B,-8.448B,,,,2.551B,40.00M,,40.00M,,-428.00M,47.00M,2.21B,,8.44B,-224.00M,-76.00M,0.00,,,40.00M,,,,,,
1995-12,660.00M,,,,,,,6.883B,6.883B,,,,-8.773B,,,,,,,2.966B,,-4.029B,,4.968B,,-51.16B,47.06B,-8.127B,,,,8.96B,275.00M,,275.00M,,-439.00M,-1.848B,5.073B,,0.00,-88.00M,-36.00M,8.44B,,,275.00M,,,,,AOR,Restated
1995-09,357.00M,,,,,,,1.715B,1.715B,,,,1.437B,,,,,,,3.509B,,-436.00M,,-436.00M,,67.12B,-71.24B,-4.55B,,,,-1.641B,108.00M,,108.00M,,-391.00M,1.163B,-761.00M,,0.00,-1.802B,-260.00M,0.00,,,108.00M,,,,,,
1995-06,1.572B,,,,,,,1.60B,1.60B,,,,-23.00M,,,,,,,3.149B,,-3.793B,,-3.793B,,-8.315B,1.639B,-10.47B,,,,5.517B,218.00M,,218.00M,,-391.00M,840.00M,6.184B,,0.00,-1.136B,34.00M,0.00,,,218.00M,,,,,,
1995-03,1.55B,,,,,,,1.521B,1.521B,,,,8.476B,,,,,,,11.55B,,-2.198B,,-2.198B,,-8.594B,-1.569B,-12.36B,,,,5.949B,,,,,-338.00M,370.00M,5.981B,,6.22B,5.167B,341.00M,0.00,,,,,,,,,
1994-12,1.569B,,,,-8.114B,,,5.846B,5.846B,,,,-3.867B,,,,,,,1.843B,,-3.392B,,5.154B,,-531.00M,-5.663B,-10.07B,,,,5.05B,138.00M,145.00M,283.00M,,-336.00M,-154.00M,5.26B,,0.00,-2.968B,-47.00M,6.22B,,,138.00M,,,145.00M,,AOR,Restated
1994-09,1.124B,,,,7.557B,,,1.39B,1.39B,,,,-6.852B,,,,,,,3.219B,,-2.477B,,-2.477B,,-383.00M,-4.29B,-7.15B,,,,1.909B,282.00M,0.00,282.00M,,-300.00M,304.00M,2.195B,,0.00,-1.736B,115.00M,0.00,,,282.00M,,,0.00,,,
1994-06,1.711B,,,,,,,1.197B,1.197B,,,,4.502B,,,,,,,7.41B,,-1.901B,,-1.901B,,7.265B,-15.62B,-10.26B,,,,6.316B,211.00M,-145.00M,66.00M,,-297.00M,-145.00M,5.94B,,0.00,3.09B,503.00M,0.00,,,211.00M,,,-145.00M,,,
1994-03,904.00M,,,,,,,903.00M,903.00M,,,,2.35B,,,,,,,4.157B,,-1.70B,,-1.70B,,-7.291B,-294.00M,-9.285B,,,,4.124B,84.00M,,84.00M,,-272.00M,241.00M,4.177B,,8.222B,-951.00M,-8.00M,0.00,,,84.00M,,,,,,
1993-12,719.00M,,,,,,,5.261B,5.261B,,,,-8.314B,,,,,,,2.396B,,-2.036B,155.00M,4.933B,,12.65B,-16.18B,-5.577B,,,,7.996B,19.00M,,19.00M,,-272.00M,-3.322B,4.796B,,0.00,1.615B,-203.00M,8.222B,,,19.00M,,,,,,Restated
1993-09,463.00M,,,,,,,827.00M,827.00M,,,,1.314B,,,,,,,2.604B,,-1.746B,729.00M,-1.017B,,-84.59B,80.28B,-5.323B,,,,-857.00M,201.00M,,201.00M,,-269.00M,1.335B,410.00M,,0.00,-2.309B,-30.00M,0.00,,,201.00M,,,,,,
1993-06,775.00M,,,,,,,706.00M,706.00M,,,,2.862B,,,,,,,4.343B,,-1.743B,,-1.743B,,37.25B,-43.84B,-8.328B,,,,4.69B,1.00M,,1.00M,,-269.00M,-479.00M,3.943B,,0.00,-42.00M,255.00M,0.00,,,1.00M,,,,,,
1993-03,572.00M,,,,,,,674.00M,674.00M,,,,3.418B,,,,,,,4.664B,,-1.289B,,-1.289B,,34.80B,-37.74B,-4.229B,,,,2.555B,173.00M,,173.00M,,-276.00M,-657.00M,1.795B,,6.686B,2.23B,20.00M,0.00,,,173.00M,,,,,,
1992-12,-8.066B,,,,,,,5.275B,5.275B,,,,867.30M,,,,,,,2.857B,,-1.788B,-47.70M,3.954B,,96.75B,-100.80B,-6.293B,,,,3.722B,-61.00M,,-61.00M,,-243.10M,-706.60M,4.099B,,0.00,662.50M,-436.00M,6.686B,,,1.326B,,,,,,Restated
1992-09,-158.90M,,,,,,,534.30M,534.30M,,,,-796.00M,,,,,,,-420.60M,,-1.500B,258.70M,-1.241B,,-97.60B,99.33B,486.40M,,,,-233.40M,98.00M,,98.00M,,-243.50M,-1.035B,-1.414B,,0.00,-1.348B,291.50M,0.00,,,98.00M,,,,,,
1992-06,502.40M,,,,,,,480.90M,480.90M,,,,3.194B,,,,,,,4.177B,,-1.248B,0.00,-1.248B,,1.493B,-5.595B,-5.350B,,,,-4.371B,184.00M,,184.00M,,-242.40M,3.700B,-729.20M,,0.00,-1.902B,354.40M,0.00,,,184.00M,,,,,,
1992-03,337.90M,,,,,,,464.40M,464.40M,,,,4.099B,,,,,,,4.902B,,-1.254B,52.00M,-1.202B,,-2.156B,1.704B,-1.654B,,,,3.722B,,,,,-248.00M,-5.314B,-1.840B,,8.133B,1.407B,-476.90M,0.00,,,,,,,,,
1991-12,-475.70M,,,,,,,4.680B,4.680B,,,,-3.557B,,,,,,,2.516B,,-1.669B,,-1.395B,,13.20B,-15.69B,-3.881B,,,,535.50M,,,,,257.50M,-475.40M,3.002B,,0.00,1.637B,213.40M,0.00,,,,,,,,,
1991-09,-574.40M,,,,,,,369.90M,369.90M,,,,1.660B,,,,,,,1.455B,,-1.541B,,-1.541B,,-132.60M,-2.195B,-3.869B,,,,7.799B,,,,,-291.80M,-5.792B,1.715B,,0.00,-698.50M,86.60M,0.00,,,,,,,,,
1991-06,-323.50M,,,,,,,361.90M,361.90M,,,,2.649B,,,,,,,2.687B,,-1.237B,,-1.237B,,190.80M,-883.10M,-1.929B,,,,-768.50M,,,,,-189.20M,-338.70M,-1.296B,,0.00,-538.20M,-47.40M,0.00,,,,,,,,,
1991-03,-884.40M,,,,,,,366.70M,366.70M,,,,1.980B,,,,,,,1.462B,,-1.401B,,-1.401B,,-58.20M,2.955B,1.496B,,,,-1.211B,,,,,-703.20M,-36.60M,-1.951B,,6.768B,1.007B,-294.60M,0.00,,,,,,,,,
1990-12,-518.50M,,,,,,,2.520B,2.520B,,,,-3.084B,,,,,,,2.00B,,-26.01B,,-25.34B,,12.93B,7.789B,-4.618B,,,,3.30B,,,,,-460.10M,529.10M,3.619B,,0.00,1.001B,196.30M,0.00,,,,,,,,,
1990-09,101.70M,,,,,,,255.40M,255.40M,,,,1.139B,,,,,,,1.496B,,-1.862B,,-1.862B,,458.10M,-1.036B,-2.439B,,,,479.90M,,,,,-338.10M,-325.80M,-184.00M,,0.00,-1.127B,49.40M,0.00,,,,,,,,,
1990-06,770.70M,,,,,,,258.20M,258.20M,,,,1.417B,,,,,,,2.446B,,-1.738B,,-1.738B,,-921.30M,-3.188B,-5.848B,,,,5.491B,,,,,-345.20M,135.70M,5.282B,,0.00,1.880B,235.10M,0.00,,,,,,,,,
1990-03,506.20M,,,,,,,151.00M,151.00M,,,,814.30M,,,,,,,1.472B,,-1.616B,,-1.616B,,734.10M,-8.50M,-890.60M,,,,8.60M,,,,,-345.20M,-605.00M,-941.60M,,5.421B,-360.70M,-527.10M,0.00,,,,,,,,,
