,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-12,331.05M,331.05M,83.32M,247.74M,72.67M,21.20M,,,,95.43M,209.65M,38.08M,,,21.20M,,-1.543M,-29.62M,28.08M,-127.40M,,,0.415M,-99.32M,15.36M,38.08M,,2002-12,0.39,-1.74,0.2144,-1.35,,2002-12,0.3869,,0.2114,-1.395,72.47M,72.47M,0.30,,2002-12,,
2002-09,442.14M,442.14M,114.63M,327.52M,37.32M,-22.19M,,,,93.10M,171.42M,156.10M,,,-22.19M,,72.03M,25.31M,46.72M,-3.155M,,,0.265M,43.57M,61.12M,156.10M,,2002-09,0.65,-0.04,0.8515,0.61,,2002-09,0.64,,0.8397,0.60,71.44M,72.06M,0.30,,2002-09,,
2002-06,505.13M,505.13M,205.23M,299.89M,78.19M,10.68M,,,,97.63M,243.03M,56.86M,,,10.68M,,-1.746M,-6.779M,5.033M,-1.343M,,-0.266M,0.231M,9.275M,-1.377M,56.86M,,2002-06,0.09,-0.02,0.0005,0.18,,2002-06,0.09,0.0780,0.0005,0.18,71.65M,71.65M,0.30,,2002-06,,
2002-03,317.24M,317.24M,88.49M,228.75M,64.99M,28.81M,,,,93.39M,206.48M,22.27M,,,28.81M,,-0.628M,-6.387M,5.759M,-752.28M,,,,-746.53M,-11.53M,22.27M,,2002-03,0.08,-10.54,-0.1622,-10.46,,2002-03,0.08,,-0.1622,-10.46,71.37M,71.37M,0.30,,2002-03,,
2001-12,-38.27M,-38.27M,-22.69M,-15.58M,-69.44M,1.559M,,,,75.35M,-115.50M,99.92M,,,1.559M,,74.45M,7.066M,67.38M,-98.50M,0.00,,0.123M,-31.12M,65.97M,99.92M,,2001-12,0.96,-1.13,0.9402,-0.44,,2001-12,0.96,,0.9402,-0.44,71.09M,71.09M,0.30,,2001-12,,
2001-09,513.49M,513.49M,157.69M,355.80M,82.41M,22.94M,,,,79.96M,265.34M,90.46M,,,22.94M,,50.01M,13.86M,36.14M,-0.168M,,3.225M,0.207M,35.98M,19.56M,90.46M,,2001-09,0.51,0.00,0.2756,0.51,,2001-09,0.50,,0.2656,0.50,70.74M,70.74M,0.30,,2001-09,,
2001-06,520.83M,520.83M,236.66M,284.16M,83.11M,-2.49M,,,,106.48M,291.82M,-7.653M,,,-2.49M,,-70.31M,-34.35M,-35.96M,-0.054M,,4.451M,0.282M,-30.19M,-34.47M,-7.653M,,2001-06,-0.51,0.08,-0.4888,-0.43,,2001-06,-0.51,0.0827,-0.4888,-0.43,70.41M,70.41M,0.30,,2001-06,,
2001-03,560.74M,560.74M,269.60M,291.14M,78.87M,10.11M,,,,92.68M,274.04M,17.09M,,,10.11M,,-38.23M,-19.04M,-19.19M,,18.69M,1.271M,0.282M,4.45M,-25.25M,17.09M,,2001-03,-0.28,0.34,-0.3662,0.06,,2001-03,-0.28,0.0703,-0.3662,0.06,70.36M,70.36M,0.30,,2001-03,,
2000-12,580.61M,580.61M,282.15M,298.46M,96.57M,23.32M,,,,84.25M,285.91M,12.55M,,,23.32M,,-32.18M,-5.874M,-26.31M,,0.00,4.288M,0.283M,-19.62M,-45.37M,12.55M,,2000-12,-0.40,0.10,-0.6723,-0.30,,2000-12,-0.40,0.0939,-0.6723,-0.30,69.99M,69.99M,0.30,,2000-12,,
2000-09,759.56M,759.56M,364.03M,395.53M,84.20M,16.77M,,,,84.94M,274.53M,121.00M,,,16.77M,,66.54M,12.55M,53.99M,,,3.661M,0.282M,60.71M,40.38M,121.00M,,2000-09,0.78,0.18,0.5839,0.96,,2000-09,0.77,0.0968,0.5739,0.95,69.38M,69.38M,0.30,,2000-09,,
2000-06,546.61M,546.61M,214.72M,331.89M,76.92M,33.75M,,,,82.65M,267.67M,64.22M,,,33.75M,,26.72M,3.158M,23.56M,,,1.059M,0.282M,40.91M,-6.199M,64.22M,,2000-06,0.34,0.25,-0.0931,0.59,,2000-06,0.34,0.2524,-0.0931,0.59,68.73M,68.73M,0.30,,2000-06,,
2000-03,481.70M,481.70M,174.94M,306.76M,84.92M,118.58M,,,,86.21M,278.90M,27.86M,,,118.58M,,76.03M,36.23M,39.80M,,-3.81M,-0.383M,,54.48M,-31.35M,27.86M,,2000-03,0.61,0.27,-0.4404,0.88,,2000-03,0.61,0.2730,-0.4404,0.88,67.73M,67.73M,0.535,,2000-03,,
1999-12,444.39M,444.39M,126.35M,318.04M,93.11M,1.813M,,,,194.12M,390.29M,-72.25M,,,1.813M,,-140.24M,-54.60M,-85.65M,,,4.20M,,-73.90M,-86.75M,-72.25M,,1999-12,-1.29,0.18,-1.307,-1.11,,1999-12,-1.29,,-1.306,-1.11,66.34M,67.33M,0.535,,1999-12,,
1999-09,649.00M,649.00M,232.80M,416.20M,100.60M,10.30M,,,,67.50M,298.20M,118.00M,,,10.30M,,59.00M,10.00M,49.00M,,,6.50M,,49.00M,40.45M,118.00M,,1999-09,0.72,0.00,0.5943,0.72,,1999-09,0.72,,0.5943,0.72,68.06M,68.06M,0.535,,1999-09,,
1999-06,476.10M,476.10M,151.70M,324.40M,75.00M,15.50M,,,,84.50M,246.30M,78.10M,,,15.50M,,21.30M,2.80M,18.50M,,,1.10M,,18.50M,5.038M,78.10M,,1999-06,0.27,0.00,0.0735,0.27,,1999-06,0.27,,0.0735,0.27,68.52M,68.52M,0.535,,1999-06,,
1999-03,460.60M,460.60M,147.90M,312.70M,71.90M,22.50M,,,,79.10M,234.80M,77.90M,,,22.50M,,30.30M,9.60M,20.70M,,,0.70M,,20.70M,5.329M,77.90M,,1999-03,0.31,0.00,0.0798,0.31,,1999-03,0.31,,0.0798,0.31,66.77M,66.77M,0.535,,1999-03,,
1998-12,487.05M,487.05M,176.06M,311.00M,91.51M,-26.57M,,,,194.52M,381.36M,-70.36M,,,-26.57M,,-155.49M,-58.84M,-96.64M,,,3.262M,,-96.65M,-80.13M,-70.36M,,1998-12,-1.38,0.00,-1.140,-1.38,,1998-12,-1.38,-0.0006,-1.162,-1.38,68.93M,75.85M,0.535,,1998-12,,
1998-09,701.40M,701.40M,336.00M,365.40M,54.50M,15.50M,,,,82.40M,209.10M,156.30M,,,15.50M,,112.20M,40.80M,71.40M,,,-0.20M,,71.40M,61.54M,156.30M,,1998-09,1.10,0.00,0.9480,1.10,,1998-09,1.10,,0.9480,1.10,64.91M,64.91M,0.535,,1998-09,,
1998-06,463.30M,463.30M,172.00M,291.30M,68.60M,29.00M,,,,81.80M,219.00M,72.30M,,,29.00M,,46.10M,16.70M,29.40M,,,-0.20M,,31.00M,10.91M,72.30M,,1998-06,0.48,0.02,0.1817,0.50,,1998-06,0.48,0.0258,0.1817,0.50,62.00M,62.00M,0.535,,1998-06,,
