,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-12,108.24M,,,74.95M,40.40M,40.40M,17.26M,,,13.77M,-22.87M,60.56M,-36.16M,6.118M,7.652M,262.29M,-52.95M,0.009M,-52.94M,,-0.072M,11.45M,-13.84M,-55.41M,,,-18.91M,13.11M,-133.47M,-120.35M,,,,-3.725M,-142.99M,91.07M,63.89M,154.96M,13.11M,,,-133.47M,,
2003-09,120.02M,,,69.49M,38.53M,38.53M,10.70M,,,-13.77M,-74.00M,-3.538M,23.22M,2.177M,-52.14M,172.84M,-45.88M,5.632M,-40.25M,,-0.127M,-0.336M,,-40.72M,,,-18.27M,7.566M,-114.02M,-106.45M,,,,-4.404M,-129.12M,88.07M,2.999M,91.07M,7.566M,,,-114.02M,,
2003-06,120.41M,,,71.04M,38.27M,38.27M,-4.155M,,,,-73.68M,32.42M,-14.65M,-0.274M,-56.19M,169.38M,-38.32M,3.393M,-34.93M,,-1.015M,-11.11M,2.628M,-44.43M,,,-85.55M,6.408M,-10.06M,-3.657M,,,,-3.263M,-92.47M,55.60M,32.47M,88.07M,6.408M,,,-10.06M,,
2003-03,88.04M,,,64.58M,36.70M,36.70M,10.05M,,,,-84.32M,-96.24M,35.14M,4.352M,-141.06M,58.30M,-37.48M,0.009M,-37.47M,,-236.40M,,-2.628M,-276.50M,,,181.01M,2.799M,,2.799M,,,,-6.797M,177.02M,96.78M,-41.18M,55.60M,2.799M,,,,,
2002-12,81.70M,,,66.45M,34.69M,34.69M,72.36M,,,26.47M,1.862M,28.15M,,-65.23M,-35.22M,246.44M,-36.79M,4.645M,-32.15M,,0.00,4.45M,-9.728M,-37.43M,,,-225.44M,2.783M,,2.783M,,,,-3.442M,-226.10M,113.85M,-17.08M,96.78M,2.783M,,,,,
2002-09,86.62M,,,59.12M,32.88M,32.88M,0.483M,,,-26.47M,-33.21M,-2.768M,1.778M,13.54M,-20.66M,131.98M,-35.01M,4.876M,-30.14M,,0.00,-12.19M,10.66M,-31.67M,,,-75.58M,2.148M,,2.148M,,,,-2.868M,-76.30M,89.84M,24.01M,113.85M,2.148M,,,,,
2002-06,87.15M,,,97.34M,33.50M,33.50M,12.67M,,,,-41.46M,6.598M,2.848M,-33.55M,-65.57M,165.09M,-42.12M,0.916M,-41.21M,,-332.24M,-2.917M,0.549M,-375.81M,,,142.26M,12.22M,,12.22M,,,,-3.345M,151.13M,149.43M,-59.59M,89.84M,12.22M,,,,,
2002-03,66.69M,,,62.05M,30.31M,30.31M,4.894M,,,,-95.38M,-44.64M,-4.626M,33.55M,-111.09M,52.85M,-41.27M,0.127M,-41.14M,,-1.275M,10.66M,-0.549M,-32.30M,,,-0.283M,9.879M,,9.879M,,,,-3.052M,6.544M,122.33M,27.10M,149.43M,9.879M,,,,,
2001-12,50.94M,,,38.27M,39.73M,39.73M,-5.784M,,,,-36.40M,15.04M,96.14M,-55.02M,19.76M,164.52M,-38.80M,1.111M,-37.69M,,-97.12M,-9.222M,0.00,-144.03M,,,-137.86M,8.119M,,7.119M,,-8.778M,,2.484M,-137.04M,238.88M,-116.55M,122.33M,8.119M,,,,,
2001-09,50.12M,,,60.45M,37.10M,37.10M,3.977M,,,,-47.58M,18.00M,33.44M,-5.86M,-2.002M,149.64M,-31.75M,0.07M,-31.68M,,0.00,-1.305M,0.989M,-32.00M,,,-56.00M,7.38M,,7.38M,,-0.029M,,-4.29M,-52.93M,174.16M,64.71M,238.88M,7.38M,,,,,
2001-06,25.50M,,,91.50M,36.64M,36.64M,3.99M,,,,-67.17M,8.369M,-19.22M,31.31M,-46.72M,110.90M,-34.82M,20.73M,-14.09M,,-8.53M,-9.901M,2.20M,-30.32M,,,-9.091M,7.031M,,7.031M,,-0.029M,,-25.06M,-27.15M,120.73M,53.44M,174.16M,7.031M,,,,,
2001-03,35.75M,,,65.70M,34.26M,34.26M,-2.743M,,,,-78.98M,-28.62M,-14.22M,29.58M,-92.24M,40.73M,-43.62M,0.763M,-42.85M,,-47.22M,,-0.20M,-90.27M,,,-2.601M,3.101M,,3.101M,,-0.118M,,-1.592M,-1.21M,171.48M,-50.75M,120.73M,3.101M,,,,,
2000-12,28.26M,,,78.90M,15.92M,15.92M,27.95M,,,,-25.43M,29.05M,19.89M,-51.55M,-28.04M,123.00M,-48.49M,0.911M,-47.58M,,93.15M,-3.16M,,42.41M,,,-162.47M,6.02M,,6.02M,,-6.871M,,7.599M,-155.72M,161.79M,9.691M,171.48M,6.02M,,,,,
2000-09,28.71M,,,56.80M,42.00M,42.00M,4.177M,,,,-65.87M,17.95M,-13.52M,36.23M,-25.21M,106.48M,-27.26M,1.967M,-25.29M,,0.00,-17.17M,,-42.46M,,,-5.846M,8.326M,,8.326M,,0.00,,-4.137M,-1.657M,99.43M,62.36M,161.79M,8.326M,,,,,
2000-06,30.17M,,,62.21M,43.19M,43.19M,5.867M,,,,-82.30M,71.91M,-26.63M,2.409M,-34.61M,106.82M,-23.09M,0.081M,-23.01M,,0.00,-4.481M,,-27.49M,,,-11.20M,6.47M,,6.47M,,0.00,,-3.663M,-8.391M,28.49M,70.94M,99.43M,6.47M,,,,,
2000-03,17.81M,,,68.76M,33.18M,33.18M,-4.161M,,,,-76.66M,-18.69M,,12.91M,-82.43M,33.16M,-17.61M,0.666M,-16.95M,,-0.925M,-2.605M,,-20.48M,,,-11.25M,1.331M,,1.331M,,-0.029M,,-1.531M,-11.48M,27.28M,1.203M,28.49M,1.331M,,,,,
1999-12,-14.50M,,,102.20M,33.60M,33.60M,-17.90M,,,-0.10M,-46.10M,20.20M,-14.40M,,-40.30M,63.00M,-28.50M,0.10M,-28.40M,,,-2.30M,8.20M,-22.50M,,,-50.70M,2.40M,0.00,2.40M,,0.00,,-1.90M,-50.20M,36.80M,-9.70M,27.30M,2.40M,,,0.00,,
1999-09,-7.30M,,,75.90M,24.10M,24.10M,-17.90M,,,-0.10M,-28.10M,87.10M,0.20M,,59.20M,133.90M,-1.047B,4.10M,-1.042B,,,,-7.00M,-1.050B,,,836.50M,1.00M,0.00,1.00M,,0.00,,-33.40M,804.10M,148.50M,-111.50M,36.80M,1.00M,,,0.00,,
1999-06,13.07M,,,22.42M,16.62M,16.62M,-4.982M,,,0.20M,-15.06M,-4.485M,-15.80M,17.02M,-18.32M,29.00M,-13.19M,0.07M,-13.12M,,,4.937M,-9.786M,-17.97M,,,-16.78M,0.769M,0.003M,0.772M,,-0.071M,,-0.735M,-16.82M,154.20M,-5.789M,148.50M,0.769M,,,0.003M,,
1999-03,7.433M,,,22.38M,16.48M,16.48M,11.28M,,,,-29.44M,12.48M,,-17.02M,-33.98M,23.60M,-12.71M,0.73M,-11.98M,,,-4.937M,-1.114M,-18.03M,,,-48.22M,0.231M,-1.103M,-0.872M,,-0.029M,,-5.165M,-54.28M,202.91M,-48.71M,154.20M,0.231M,,,-1.103M,,
1998-12,5.40M,,,28.10M,17.10M,17.10M,-2.10M,,,-10.80M,-6.60M,-1.10M,6.90M,,-0.80M,36.90M,-12.50M,2.50M,-10.00M,,,-2.20M,1.20M,-11.00M,,,-5.80M,0.00,-0.60M,-0.60M,,0.00,,2.40M,-4.00M,0.00,21.90M,0.00,0.00,,,-0.60M,,
1998-09,6.00M,,,23.70M,17.20M,17.20M,1.30M,,,13.70M,-15.40M,38.40M,-21.60M,,1.40M,63.30M,-8.50M,0.00,-8.50M,,,0.50M,-1.20M,-9.20M,,,-18.40M,0.00,-7.40M,-7.40M,,0.00,,0.10M,-25.70M,0.00,28.40M,0.00,0.00,,,-7.40M,,
1998-06,8.90M,,,23.00M,17.20M,17.20M,3.80M,,,-5.70M,-21.80M,-6.60M,-6.20M,,-34.60M,12.60M,-9.50M,0.30M,-9.20M,,,-0.50M,,-9.70M,,,-17.90M,0.10M,-5.00M,-4.90M,,-0.10M,,0.10M,-22.80M,0.00,-19.90M,0.00,0.10M,,,-5.00M,,
