,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2004-03,1.082B,1.082B,292.00M,790.00M,348.00M,134.00M,22.00M,-20.00M,,,,22.00M,526.00M,264.00M,,,,-20.00M,,255.00M,61.00M,194.00M,,194.00M,209.22M,286.00M,22.00M,264.00M,,0.23,0.00,,0.2480,0.23,,0.23,0.00,,0.2480,0.23,,843.48M,843.48M,,,
2003-12,939.00M,939.00M,257.00M,682.00M,313.00M,128.00M,27.00M,-19.00M,,,,14.00M,482.00M,200.00M,,,,-19.00M,,184.00M,47.00M,137.00M,,137.00M,151.15M,227.00M,27.00M,200.00M,,0.16,0.00,,0.1764,0.16,,0.16,0.00,,0.1764,0.16,,861.06M,861.06M,,,
2003-09,876.00M,876.00M,243.00M,633.00M,295.00M,113.00M,21.00M,-34.00M,,,,23.00M,452.00M,181.00M,,,,-34.00M,,158.00M,34.00M,124.00M,,124.00M,150.68M,202.00M,21.00M,181.00M,,0.15,0.00,,0.1823,0.15,,0.15,0.00,,0.1823,0.15,,826.67M,826.67M,,,
2003-06,854.00M,854.00M,235.00M,619.00M,292.00M,108.00M,21.00M,-25.00M,,,,13.00M,434.00M,185.00M,,,,-25.00M,,161.00M,47.00M,114.00M,,114.00M,131.70M,206.00M,21.00M,185.00M,,0.14,0.00,,0.1617,0.14,,0.135,0.00,,0.1560,0.135,,814.29M,844.44M,,,
2003-03,807.00M,807.00M,226.00M,581.00M,271.00M,103.00M,20.00M,-36.00M,,,,19.00M,413.00M,168.00M,,,,-36.00M,,140.00M,43.00M,97.00M,,97.00M,121.94M,188.00M,20.00M,168.00M,,0.12,0.00,,0.1509,0.12,,0.115,0.00,,0.1446,0.115,,808.33M,843.48M,,,
2002-12,814.00M,814.00M,227.00M,587.00M,266.00M,95.00M,19.00M,-53.00M,,,,10.00M,390.00M,197.00M,,,,-53.00M,,143.00M,38.00M,105.00M,,105.00M,143.92M,216.00M,19.00M,197.00M,,0.13,0.00,,0.1782,0.13,,0.125,0.00,,0.1712,0.125,,807.11M,841.71M,,,
2002-09,722.00M,722.00M,211.00M,511.00M,249.00M,87.00M,19.00M,89.00M,,,,-90.00M,265.00M,246.00M,,,,89.00M,,235.00M,74.00M,161.00M,,161.00M,100.03M,265.00M,19.00M,246.00M,,0.20,0.00,,0.1243,0.20,,0.195,0.00,,0.1211,0.195,,805.00M,825.64M,,,
2002-06,708.00M,708.00M,225.00M,483.00M,246.00M,85.00M,17.00M,-71.00M,,,,8.00M,356.00M,127.00M,,,,-71.00M,,54.00M,29.00M,25.00M,,25.00M,67.60M,144.00M,17.00M,127.00M,,0.03,0.00,,0.0811,0.03,,0.03,0.00,,0.0811,0.03,,833.33M,833.33M,,,
2002-03,675.00M,675.00M,207.00M,468.00M,241.00M,76.00M,17.00M,-5.00M,,,,9.00M,343.00M,125.00M,,,,-5.00M,,117.00M,35.00M,82.00M,,82.00M,85.50M,142.00M,17.00M,125.00M,,0.10,0.00,,0.1043,0.10,,0.10,0.00,,0.1043,0.10,,820.00M,820.00M,,,
2001-12,677.00M,677.00M,215.00M,462.00M,274.00M,-201.00M,31.00M,-249.00M,,,,,76.00M,386.00M,,,,-249.00M,,96.00M,31.00M,65.00M,,65.00M,233.59M,417.00M,31.00M,386.00M,,0.085,0.00,,0.2638,0.085,,0.085,0.00,,0.2638,0.085,,943.08M,943.08M,,,
2001-09,670.00M,670.00M,214.00M,456.00M,232.00M,82.00M,30.00M,-9.00M,,,,10.00M,354.00M,102.00M,,,,-9.00M,,87.00M,29.00M,58.00M,,58.00M,64.00M,132.00M,30.00M,102.00M,,0.07,0.00,,0.0772,0.07,,0.07,0.00,,0.0772,0.07,,828.57M,828.57M,,,
2001-06,672.00M,672.00M,268.00M,404.00M,230.00M,71.00M,52.00M,-201.00M,,,,9.00M,362.00M,42.00M,,,,-201.00M,,-166.00M,6.00M,-172.00M,,-172.00M,-51.40M,94.00M,52.00M,42.00M,,-0.215,0.00,,-0.0642,-0.215,,-0.215,0.00,,-0.0642,-0.215,,800.00M,800.00M,,,
2001-03,654.00M,654.00M,222.00M,432.00M,225.00M,56.00M,23.00M,-87.00M,,,,9.00M,313.00M,119.00M,,,,-87.00M,,27.00M,32.00M,-5.00M,,-5.00M,47.20M,142.00M,23.00M,119.00M,,-0.005,0.00,,0.0472,-0.005,,-0.005,0.00,,0.0472,-0.005,,1.00B,1.00B,,,
2000-12,638.00M,638.00M,112.00M,526.00M,223.00M,53.00M,,-42.00M,,,,,388.00M,138.00M,,,,-42.00M,,82.00M,22.00M,60.00M,,60.00M,90.73M,250.00M,112.00M,138.00M,,0.075,0.00,,0.1132,0.075,,0.075,0.00,,0.1130,0.075,,804.52M,808.07M,,,
2000-09,652.00M,652.00M,200.00M,452.00M,216.00M,48.00M,,-30.00M,,,,,287.00M,165.00M,,,,-30.00M,,119.00M,34.00M,85.00M,,85.00M,106.43M,188.00M,23.00M,165.00M,,0.105,0.00,,0.1315,0.105,,0.105,0.00,,0.1315,0.105,,809.52M,809.52M,,,
2000-06,695.00M,695.00M,217.00M,478.00M,214.00M,49.00M,,-3.00M,,,,,286.00M,192.00M,,,,-3.00M,,170.00M,48.00M,122.00M,,122.00M,124.15M,215.00M,23.00M,192.00M,,0.15,0.00,,0.1526,0.15,,0.15,0.00,,0.1526,0.15,,813.33M,813.33M,,,
2000-03,679.00M,679.00M,213.00M,466.00M,214.00M,49.00M,,-3.00M,,,,,286.00M,180.00M,,,,-3.00M,,156.00M,50.00M,106.00M,,106.00M,108.04M,203.00M,23.00M,180.00M,,0.13,0.00,,0.1325,0.13,,0.13,0.00,,0.1325,0.13,,815.38M,815.38M,,,
1999-12,717.00M,717.00M,83.00M,634.00M,211.00M,51.00M,,-10.00M,,,,,440.00M,194.00M,,,,-10.00M,,162.00M,55.00M,107.00M,,107.00M,113.60M,194.00M,,194.00M,,0.14,0.00,,0.1488,0.14,,0.13,0.00,,0.1380,0.13,,751.09M,822.78M,,,
1999-09,691.00M,691.00M,306.00M,385.00M,220.00M,48.00M,,-7.00M,,,,,268.00M,117.00M,,,,-7.00M,,84.00M,29.00M,55.00M,,55.00M,59.58M,117.00M,,117.00M,,0.065,0.00,,0.0704,0.065,,0.065,0.00,,0.0704,0.065,,846.15M,846.15M,,,
1999-06,726.00M,726.00M,235.00M,491.00M,204.00M,49.00M,,-16.00M,,,,,276.00M,215.00M,,,,-16.00M,,165.00M,56.00M,109.00M,,109.00M,119.57M,238.00M,23.00M,215.00M,,0.135,0.00,,0.1483,0.135,,0.135,0.00,,0.1480,0.135,,795.37M,813.49M,,,
1999-03,708.00M,708.00M,230.00M,478.00M,207.00M,49.00M,,-13.00M,,,,,279.00M,199.00M,,,,-13.00M,,151.00M,51.00M,100.00M,,100.00M,108.61M,222.00M,23.00M,199.00M,,0.125,0.00,,0.1358,0.125,,0.125,0.00,,0.1358,0.125,,800.00M,800.00M,,,
1998-12,717.00M,717.00M,166.00M,551.00M,231.00M,57.00M,,-14.00M,,,,,390.00M,161.00M,,,,-14.00M,,105.00M,34.00M,71.00M,,71.00M,80.47M,263.00M,102.00M,161.00M,,0.09,0.00,,0.1023,0.09,,0.09,0.00,,0.1023,0.09,,768.67M,768.67M,,,
1998-09,576.00M,576.00M,206.00M,370.00M,191.00M,49.00M,,-680.00M,,,,,251.00M,119.00M,,,,-680.00M,,-575.00M,-113.00M,-462.00M,,-462.00M,84.37M,130.00M,11.00M,119.00M,,-0.59,0.00,,0.1077,-0.59,,-0.59,0.00,,0.1077,-0.59,,783.05M,783.05M,,,
1998-06,488.00M,488.00M,149.00M,339.00M,174.00M,49.00M,,6.00M,,,,,231.00M,108.00M,,,,6.00M,,107.00M,40.00M,67.00M,,67.00M,63.24M,116.00M,8.00M,108.00M,,0.10,0.00,,0.0944,0.10,,0.10,0.00,,0.0944,0.10,,670.00M,670.00M,,,
1998-03,453.00M,453.00M,138.00M,315.00M,159.00M,45.00M,,-10.00M,,,,,212.00M,103.00M,,,,-10.00M,,88.00M,28.00M,60.00M,,60.00M,66.82M,111.00M,8.00M,103.00M,,0.075,0.00,,0.0835,0.075,,0.075,0.00,,0.0835,0.075,,800.00M,800.00M,,,
1997-12,451.90M,451.90M,103.60M,348.30M,171.60M,43.90M,,-46.20M,,,,,302.50M,45.80M,,,,-46.20M,,-0.70M,5.20M,-5.90M,,-26.90M,21.82M,45.80M,,45.80M,,0.00,-0.03,,0.0398,-0.03,,-0.005,-0.03,,0.0304,-0.03,,697.29M,782.33M,,,
1997-09,474.80M,474.80M,135.90M,338.90M,171.10M,43.30M,,4.80M,,,,,214.40M,124.50M,,,,4.80M,,126.20M,37.80M,88.40M,,88.40M,85.04M,124.50M,,124.50M,,0.11,0.00,,0.1058,0.11,,0.11,0.00,,0.1058,0.11,,803.64M,803.64M,,,
1997-06,473.70M,473.70M,131.50M,342.20M,162.40M,41.00M,,-158.50M,,,,,203.40M,138.80M,,,,-158.50M,,-23.10M,3.80M,-26.90M,,-26.90M,68.20M,138.80M,,138.80M,,-0.035,0.00,,0.0887,-0.035,,-0.035,0.00,,0.0887,-0.035,,768.57M,768.57M,,,
1997-03,430.50M,430.50M,121.10M,309.40M,157.90M,38.70M,,3.00M,,,,,196.60M,112.80M,,,,3.00M,,112.60M,37.20M,75.40M,,75.40M,73.39M,112.80M,,112.80M,,0.10,0.00,,0.0973,0.10,,0.095,0.00,,0.0925,0.095,,754.00M,793.68M,,,
1996-12,432.60M,432.60M,56.90M,375.70M,149.60M,146.40M,,109.20M,,,,,362.30M,13.40M,,,,109.20M,,119.30M,38.70M,80.60M,,80.60M,6.824M,13.40M,,13.40M,,0.105,0.00,,0.0066,0.105,,0.10,0.00,,0.0104,0.10,,749.75M,823.77M,,,
1996-09,395.80M,395.80M,111.20M,284.60M,140.40M,35.10M,,1.90M,,,,,175.50M,109.10M,,,,1.90M,,107.40M,36.20M,71.20M,,71.20M,69.94M,109.10M,,109.10M,,0.09,0.00,,0.0884,0.09,,0.09,0.00,,0.0884,0.09,,791.11M,791.11M,,,
1996-06,379.20M,379.20M,101.40M,277.80M,128.40M,33.80M,,-73.30M,,,,,162.20M,115.60M,,,,-73.30M,,39.10M,26.00M,13.10M,,13.10M,57.08M,115.60M,,115.60M,,0.035,0.00,,0.0970,0.035,,0.035,0.00,,0.0970,0.035,,708.79M,708.79M,,,
1996-03,322.40M,322.40M,85.60M,236.80M,107.90M,64.50M,,-30.20M,,,,,172.40M,64.40M,,,,-30.20M,,32.80M,33.80M,-1.00M,,-1.00M,17.12M,64.40M,,64.40M,,-0.005,0.00,,0.0205,-0.005,,-0.005,0.00,,0.0205,-0.005,,710.60M,710.60M,,,
1995-12,515.00M,515.00M,103.20M,411.80M,216.00M,123.90M,,-55.20M,,,,,383.30M,28.50M,,,,-55.20M,,-30.10M,12.60M,-42.70M,,-42.70M,-9.58M,28.50M,,28.50M,,-0.0616,,,-0.0138,-0.0616,,-0.0616,,,-0.0138,-0.0616,,693.04M,693.04M,,,
1995-09,232.80M,232.80M,65.60M,167.20M,71.00M,17.50M,,-4.20M,,,,,88.50M,78.70M,,,,-4.20M,,73.20M,26.20M,47.00M,,47.00M,49.70M,78.70M,,78.70M,,0.08,0.00,,0.0846,0.08,,0.08,0.00,,0.0846,0.08,,587.50M,587.50M,,,
1995-06,227.30M,227.30M,66.20M,161.10M,69.50M,16.40M,,-0.40M,,,,,85.90M,75.20M,,,,-0.40M,,72.00M,26.10M,45.90M,,45.90M,46.16M,75.20M,,75.20M,,0.075,0.00,,0.0754,0.075,,0.075,0.00,,0.0754,0.075,,612.00M,612.00M,,,
1995-03,215.70M,215.70M,64.40M,151.30M,61.30M,15.80M,,-124.40M,,,,,77.10M,74.20M,,,,-124.40M,,-52.40M,16.20M,-68.60M,,-68.60M,6.04M,74.20M,,74.20M,,-0.115,0.00,,0.0101,-0.115,,-0.115,0.00,,0.0101,-0.115,,596.52M,596.52M,,,
1994-12,121.70M,121.70M,34.40M,87.30M,32.70M,7.80M,,0.90M,,,,,49.50M,37.80M,,,,0.90M,,38.00M,14.60M,23.40M,,23.40M,22.85M,37.80M,,37.80M,,0.045,0.00,,0.0439,0.045,,0.045,0.00,,0.0439,0.045,,513.18M,513.18M,,,
1994-09,112.20M,112.20M,41.20M,71.00M,32.00M,7.20M,,0.40M,,,,,39.20M,31.80M,,,,0.40M,,31.70M,11.90M,19.80M,,19.80M,19.55M,31.80M,,31.80M,,0.05,0.00,,0.0494,0.05,,0.05,0.00,,0.0494,0.05,,396.00M,396.00M,,,
1994-06,109.90M,109.90M,40.00M,69.90M,31.60M,7.60M,,-0.20M,,,,,39.20M,30.70M,,,,-0.20M,,30.10M,11.30M,18.80M,,18.80M,18.92M,30.70M,,30.70M,,0.05,0.00,,0.0503,0.05,,0.05,0.00,,0.0503,0.05,,376.00M,376.00M,,,
1994-03,105.30M,105.30M,37.40M,67.90M,30.70M,7.50M,,-0.10M,,,,,38.20M,29.70M,,,,-0.10M,,29.20M,11.20M,18.00M,,18.00M,18.06M,29.70M,,29.70M,,0.045,0.00,,0.0452,0.045,,0.045,0.00,,0.0452,0.045,,400.00M,400.00M,,,
1993-12,101.10M,101.10M,35.20M,65.90M,32.00M,,,0.30M,,,,,34.20M,31.70M,,,,0.30M,,31.60M,11.30M,20.30M,,20.30M,20.11M,33.90M,2.20M,31.70M,,-0.025,0.00,,-0.0255,-0.025,,-0.025,0.00,,-0.0255,-0.025,,395.20M,395.20M,,,
1993-09,95.60M,95.60M,33.60M,62.00M,33.60M,,,0.70M,,,,,35.00M,27.00M,,,,0.70M,,27.30M,10.00M,17.30M,,17.30M,16.86M,28.40M,1.40M,27.00M,,0.045,0.00,,0.0438,0.045,,0.045,0.00,,0.0438,0.045,,384.44M,384.44M,,,
1993-06,94.40M,94.40M,32.90M,61.50M,33.90M,,,0.90M,,,,,35.30M,26.20M,,,,0.90M,,26.60M,9.80M,16.80M,,16.80M,16.23M,27.60M,1.40M,26.20M,,0.045,0.00,,0.0435,0.045,,0.045,0.00,,0.0435,0.045,,373.33M,373.33M,,,
1993-03,88.90M,88.90M,32.20M,56.70M,31.70M,,,0.40M,,,,,33.10M,23.60M,,,,0.40M,,24.00M,8.70M,15.30M,,15.30M,15.04M,25.00M,1.40M,23.60M,,0.04,0.00,,0.0393,0.04,,0.04,0.00,,0.0393,0.04,,382.50M,382.50M,,,
1992-12,84.40M,84.40M,30.60M,53.80M,27.10M,,,0.10M,,,,,28.30M,25.50M,,,,0.10M,,24.90M,9.30M,15.60M,,15.60M,15.54M,26.70M,1.20M,25.50M,,0.04,0.00,,0.0398,0.04,,0.04,0.00,,0.0398,0.04,,389.95M,389.95M,,,
1992-09,81.90M,81.90M,28.50M,53.40M,27.80M,,,1.10M,,,,,29.00M,24.40M,,,,1.10M,,24.70M,9.50M,15.20M,,15.20M,14.52M,25.60M,1.20M,24.40M,,0.04,0.00,,0.0382,0.04,,0.04,0.00,,0.0382,0.04,,380.00M,380.00M,,,
1992-06,76.30M,76.30M,27.00M,49.30M,26.10M,,,0.20M,,,,,27.30M,22.00M,,,,0.20M,,21.40M,8.10M,13.30M,,13.30M,13.18M,23.20M,1.20M,22.00M,,0.035,0.00,,0.0347,0.035,,0.035,0.00,,0.0347,0.035,,380.00M,380.00M,,,
1992-03,72.60M,72.60M,25.70M,46.90M,24.90M,,,0.20M,,,,,25.90M,21.00M,,,,0.20M,,20.60M,8.10M,12.50M,,12.50M,12.38M,22.00M,1.00M,21.00M,,0.035,0.00,,0.0347,0.035,,0.035,0.00,,0.0347,0.035,,357.14M,357.14M,,,
1991-12,63.80M,63.80M,,,,,,,,,,,,-95.70M,,,,,,,,10.50M,,10.60M,10.50M,-95.70M,,-95.70M,,0.025,0.00,0.0002,0.025,0.025,,0.025,0.00,0.0002,0.025,0.025,,418.82M,418.82M,,,
1991-09,59.90M,59.90M,,,,,,,,,,,,59.90M,,,,,,,,10.80M,,10.90M,10.80M,59.90M,,59.90M,,0.03,0.00,0.0003,0.03,0.03,,0.03,0.00,0.0003,0.03,0.03,,363.33M,363.33M,,,
1991-06,55.90M,55.90M,,,,,,,,,,,,55.90M,,,,,,,,10.70M,,10.80M,10.70M,55.90M,,55.90M,,0.03,0.00,0.0003,0.03,0.03,,0.03,0.00,0.0003,0.03,0.03,,360.00M,360.00M,,,
1991-03,50.50M,50.50M,,,,,,,,,,,,50.50M,,,,,,,,9.40M,,9.50M,9.40M,50.50M,,50.50M,,0.025,0.00,0.0003,0.025,0.025,,0.025,0.00,0.0003,0.025,0.025,,380.00M,380.00M,,,
