,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-09,230.73M,,,,11.77M,-1.798M,9.972M,9.972M,,,,,,,,59.75M,160.51M,-32.87M,61.39M,,248.77M,489.47M,-17.42M,-17.42M,,,,-17.42M,,,-149.09M,3.916M,-29.34M,-25.42M,,-10.87M,,,-185.38M,296.24M,286.66M,582.90M,3.916M,,,-29.34M
2003-06,155.56M,,,,11.26M,2.289M,13.55M,13.55M,,,,,,,,-187.52M,113.96M,-80.62M,-61.39M,,-215.56M,-46.45M,-9.046M,-9.046M,,,,-9.046M,,,170.45M,3.985M,0.00,3.985M,,-10.17M,,,164.26M,187.48M,108.76M,296.24M,3.985M,,,0.00
2003-03,127.84M,,,,9.78M,1.815M,11.60M,11.60M,,,,,,,,-126.47M,-2.372M,10.21M,,,-118.64M,20.79M,-8.97M,-8.97M,,,,-8.97M,,,17.62M,3.13M,-29.52M,-26.39M,,-10.27M,,,-19.04M,194.70M,-7.217M,187.48M,3.13M,,,-29.52M
2002-12,111.83M,,,,9.004M,1.744M,10.75M,10.75M,,,,,,,,-231.76M,-22.67M,91.37M,,,-163.06M,-40.48M,-13.23M,-13.23M,,,,-13.23M,,,152.32M,0.53M,,0.53M,,-8.79M,,,144.06M,104.34M,90.35M,194.70M,0.53M,,,
2002-09,136.39M,,,,14.18M,1.848M,16.03M,16.03M,,,,,,,,67.56M,152.44M,-295.30M,65.66M,,-9.637M,142.79M,-11.66M,-11.66M,-1.099M,,0.236M,-12.53M,,,-73.04M,-0.012M,,-0.012M,,-8.789M,,,-81.85M,55.93M,48.42M,104.34M,-0.012M,,,
2002-06,105.94M,,,,7.597M,1.515M,9.112M,9.112M,,,,,,,,-195.73M,-13.00M,7.318M,-86.16M,,-287.57M,-172.52M,-12.43M,-12.43M,-0.089M,,-0.25M,-12.77M,,,58.51M,1.816M,,1.816M,,-8.842M,,,51.49M,189.73M,-133.80M,55.93M,1.816M,,,
2002-03,88.93M,,,,11.02M,4.476M,7.911M,7.911M,,,,,,,,55.90M,-41.12M,-27.22M,20.50M,,8.051M,104.89M,-8.689M,-8.689M,-152.57M,-0.50M,0.50M,-161.26M,,,211.69M,7.058M,,7.058M,,-4.631M,,,214.12M,31.98M,157.75M,189.73M,7.058M,,,
2001-12,73.43M,,,,,,7.589M,7.589M,,,,,,,,-171.95M,-56.46M,-18.37M,,,-246.78M,-165.76M,-7.036M,-7.036M,,0.50M,,-6.536M,,,-34.66M,3.506M,,3.506M,,-3.845M,,,-35.00M,239.28M,-207.30M,31.98M,3.506M,,,
2001-09,86.76M,,,,12.72M,2.233M,14.95M,14.95M,,,,,,,,83.50M,76.03M,-84.20M,50.62M,,125.94M,227.66M,-11.56M,-11.56M,-12.89M,1.97M,-1.988M,-24.47M,,,-44.08M,2.605M,,2.605M,,-3.843M,,,-45.32M,81.40M,157.88M,239.28M,2.605M,,,
2001-06,68.80M,,,,6.491M,1.48M,7.971M,7.971M,,,,,,,,-127.59M,44.19M,-8.744M,-41.09M,,-133.23M,-56.45M,-11.45M,-11.45M,-47.69M,-1.97M,2.022M,-59.09M,,,72.10M,2.474M,,2.474M,,-3.779M,,,70.80M,126.15M,-44.74M,81.40M,2.474M,,,
2001-03,53.72M,,,-2.136M,11.97M,1.165M,6.547M,6.547M,,,,,,,,-134.26M,-16.56M,-41.94M,-9.527M,,-202.29M,-144.16M,-7.177M,-7.177M,0.046M,,0.00,-7.131M,,,197.84M,3.874M,,3.874M,,-3.404M,,,198.31M,79.13M,47.02M,126.15M,3.874M,,,
2000-12,47.72M,,,2.136M,,,6.59M,6.59M,,,,,,,,-154.79M,-1.028M,17.04M,,,-138.78M,-82.33M,-3.179M,-3.179M,-1.364M,,-2.022M,-6.565M,,,94.75M,3.45M,,3.45M,,-2.702M,,,95.50M,72.52M,6.603M,79.13M,3.45M,,,
2000-09,61.69M,,,,,,6.763M,6.763M,,,,,,,,5.998M,5.656M,-7.558M,,,4.096M,72.54M,-1.858M,-1.858M,-6.543M,,-10.72M,-19.12M,,,-60.03M,2.467M,0.00,2.467M,,-2.475M,,,-60.04M,79.14M,-6.619M,72.52M,2.467M,,,0.00
2000-06,48.07M,,,,-10.18M,-1.106M,6.447M,6.447M,,,,,,,,-25.33M,21.52M,6.165M,-22.35M,,-20.00M,34.52M,-4.578M,-4.578M,-0.216M,,-3.24M,-8.034M,,,-30.48M,0.214M,0.00,0.214M,,-2.473M,,,-32.74M,85.40M,-6.253M,79.14M,0.214M,,,0.00
2000-03,39.47M,,,,10.18M,1.106M,6.182M,6.182M,,,,,,,,-156.60M,0.218M,-11.73M,22.35M,,-145.76M,-100.11M,-5.353M,-5.353M,-4.80M,,-15.07M,-25.22M,,,172.56M,0.585M,-9.143M,-8.558M,,-2.44M,,-0.10M,161.46M,49.30M,36.13M,85.40M,0.585M,,,-9.143M
1999-12,42.50M,,,,,,5.10M,5.10M,,,,,,,,-124.00M,-24.30M,-13.80M,,,-162.10M,-114.50M,-4.00M,-4.00M,,,,-4.00M,,,45.60M,0.80M,-5.40M,-4.60M,,-1.90M,,0.10M,39.20M,128.60M,-79.30M,49.30M,0.80M,,,-5.40M
1999-09,49.40M,,,,,,6.30M,6.30M,,,,,,,,-40.20M,39.90M,7.10M,,,6.80M,62.70M,-0.10M,-0.10M,,,,-5.60M,,,16.30M,0.50M,-18.40M,-17.90M,,-1.90M,,0.10M,-3.40M,0.00,53.70M,128.60M,0.50M,,,-18.40M
1999-06,44.30M,,,,,,5.50M,5.50M,,,,,,,,-107.00M,24.40M,-33.40M,6.60M,,-109.40M,-59.60M,-2.60M,-2.60M,,,,-2.60M,,,87.30M,0.50M,-3.50M,-3.00M,,-2.00M,,0.10M,82.40M,54.70M,20.20M,0.00,0.50M,,,-3.50M
1999-03,33.40M,,,,,,5.20M,5.20M,,,,,,,,-129.20M,25.20M,-27.80M,-14.30M,,-146.10M,-107.50M,-1.20M,-1.20M,,,,-1.20M,,,70.60M,1.60M,-0.50M,1.10M,,-1.90M,,-0.10M,69.70M,0.00,-39.00M,54.70M,1.60M,,,-0.50M
1998-12,32.70M,,,,,,3.80M,3.80M,,,,,,,,-109.20M,-0.60M,-0.90M,7.70M,,-103.00M,-66.50M,-13.40M,-13.40M,,,,-13.40M,,,97.30M,0.90M,,0.90M,,-1.30M,,,96.90M,76.80M,17.00M,0.00,0.90M,,,
1998-09,32.50M,,,1.00M,,,2.80M,2.80M,,,,,,0.10M,,-66.20M,39.30M,-14.90M,,,-41.80M,-5.40M,30.20M,30.20M,,,,-3.80M,,,-28.40M,2.50M,,2.50M,,-1.20M,,,-27.10M,0.00,-36.30M,76.80M,2.50M,,,
1998-06,23.10M,,,,,,2.10M,2.10M,,,,,,0.00,,-48.30M,24.80M,-27.50M,4.80M,,-46.20M,-21.00M,-8.10M,-8.10M,,,,-8.10M,,,51.20M,0.80M,,0.80M,,-1.20M,,,50.80M,0.00,21.70M,0.00,0.80M,,,
