,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,466.49M,425.76M,892.25M,482.80M,146.96M,813.97M,47.30M,171.73M,36.00M,,255.03M,,,199.77M,2.161B,,,,,,,,,,1.629B,1.140B,2.348B,3.487B,895.24M,,8.173B,,2008-06,116.76M,138.87M,146.96M,402.58M,471.32M,873.90M,11.54M,,11.54M,11.54M,,,,885.44M,1.038B,,1.038B,501.45M,501.45M,,224.92M,1.764B,2.650B,,-103.14M,5.979B,474.40M,121.12M,5.523B,,2008-06,AOR,Restated
2008-03,688.50M,297.90M,986.40M,451.48M,124.69M,735.73M,50.30M,150.17M,36.70M,,237.17M,,,181.17M,2.140B,,,,,,,,,,1.582B,1.140B,2.421B,3.561B,887.07M,,8.171B,,2008-03,114.84M,54.27M,124.69M,293.80M,400.53M,694.33M,12.84M,,12.84M,12.84M,,,,707.17M,1.060B,,1.060B,523.39M,523.39M,,346.93M,1.931B,2.638B,,-199.20M,5.849B,240.22M,123.44M,5.533B,,2008-03,AOR,Restated
2007-12,659.66M,523.84M,1.184B,392.65M,,559.33M,46.40M,155.40M,32.19M,,233.99M,,,391.58M,2.368B,0.00,104.80M,610.10M,739.00M,,388.18M,75.60M,1.918B,-420.30M,1.497B,1.137B,2.492B,3.630B,1.133B,,8.629B,,2007-12,90.67M,11.27M,208.21M,310.16M,367.88M,678.04M,1.511B,,1.511B,1.511B,,,,2.189B,51.84M,,51.84M,521.52M,521.52M,,331.98M,905.34M,3.095B,,-352.17M,5.807B,0.00,79.25M,5.534B,,2007-12,AOR,Restated
2007-09,437.33M,234.02M,671.35M,378.81M,,540.08M,48.90M,142.86M,31.10M,,222.86M,,,186.19M,1.620B,,,,,,,,,,1.393B,1.137B,2.563B,3.699B,1.104B,,7.816B,,2007-09,92.34M,0.00,,92.34M,386.30M,478.63M,1.510B,,1.510B,1.510B,,,,1.989B,50.11M,,50.11M,558.74M,558.74M,,226.08M,834.93M,2.824B,,-553.08M,5.498B,0.00,48.13M,4.993B,,2007-09,AOR,Restated
2007-06,1.612B,191.14M,1.803B,359.52M,,521.99M,54.70M,125.10M,28.10M,,207.90M,,,161.41M,2.694B,,,,,,,,,,1.331B,1.136B,2.627B,3.763B,1.148B,,8.936B,,2007-06,99.44M,17.11M,,116.55M,346.46M,463.00M,11.90M,,11.90M,11.90M,,,2.990B,3.465B,51.35M,,51.35M,588.78M,588.78M,,193.96M,834.09M,4.299B,,-666.96M,8.287B,25.35M,32.17M,4.637B,,2007-06,AOR,Restated
2007-03,780.94M,346.64M,1.128B,324.57M,,476.32M,50.06M,111.38M,24.78M,,186.22M,,,151.22M,1.941B,,,,,,,,,,1.291B,1.136B,2.688B,3.824B,1.653B,,8.710B,,2007-03,102.18M,76.92M,,179.10M,312.20M,491.30M,9.148M,,9.148M,9.148M,,,,500.45M,52.04M,,52.04M,614.59M,614.59M,,195.34M,861.97M,1.362B,,-821.22M,8.287B,150.19M,31.66M,7.347B,,2007-03,AOR,Restated
2006-12,661.38M,241.31M,902.69M,317.35M,,486.06M,45.70M,105.30M,18.10M,,169.10M,,,154.71M,1.713B,0.00,79.90M,495.60M,628.00M,,314.00M,71.50M,1.589B,-308.62M,1.280B,1.155B,2.747B,3.902B,1.658B,,8.553B,,2006-12,100.46M,145.53M,,245.99M,336.87M,582.86M,0.00,,0.00,0.00,,,,582.86M,96.69M,,96.69M,643.64M,643.64M,,79.84M,820.18M,1.403B,,-860.83M,8.308B,319.66M,21.86M,7.150B,,2006-12,AOR,Restated
2006-09,414.59M,246.42M,661.02M,282.52M,,439.84M,43.33M,92.95M,18.84M,,155.12M,,44.97M,74.61M,1.385B,,,,,,,,,,1.246B,1.154B,2.796B,3.950B,1.606B,,8.187B,,2006-09,62.82M,139.73M,,202.55M,292.46M,495.01M,,,,,,,,495.01M,45.07M,,45.07M,653.43M,653.43M,,98.17M,796.67M,1.292B,,-954.99M,8.261B,393.32M,-17.88M,6.895B,,2006-09,AOR,Restated
2006-06,345.10M,368.67M,713.77M,284.91M,,449.77M,42.70M,87.20M,17.13M,,147.02M,,55.73M,74.03M,1.450B,,,,,,,,,,1.227B,1.156B,2.856B,4.013B,1.650B,,8.340B,,2006-06,62.28M,165.59M,,227.87M,272.11M,499.98M,,,,,,,,499.98M,44.53M,,44.53M,691.40M,691.40M,,95.67M,831.59M,1.332B,,-1.105B,8.249B,113.14M,-22.53M,7.009B,,2006-06,AOR,Restated
2006-03,535.86M,313.49M,849.36M,276.44M,,417.42M,46.97M,112.85M,31.20M,,191.02M,,33.73M,79.62M,1.596B,,,,,,,,,,1.192B,1.130B,2.905B,4.035B,1.701B,,8.524B,,2006-03,58.12M,208.22M,,266.33M,235.24M,501.57M,,,,,19.23M,19.23M,,520.80M,43.98M,,43.98M,736.26M,736.26M,,80.35M,860.59M,1.381B,,-928.18M,8.204B,137.27M,4.594M,7.143B,,2006-03,AOR,Restated
2005-12,568.17M,282.58M,850.75M,280.51M,,421.57M,44.42M,107.99M,30.41M,,182.82M,,,177.71M,1.633B,0.00,88.42M,445.30M,563.48M,,229.75M,62.20M,1.389B,-214.76M,1.174B,1.130B,2.976B,4.106B,1.468B,,8.382B,,2005-12,99.78M,200.19M,,299.97M,108.78M,408.76M,,,,,,,129.24M,597.81M,43.44M,,43.44M,762.28M,762.28M,,72.31M,878.04M,1.476B,,-1.022B,8.207B,222.76M,-13.91M,6.906B,,2005-12,AOR,Restated
2005-09,296.49M,314.91M,611.40M,261.54M,,403.08M,51.88M,123.12M,52.47M,,227.47M,,149.19M,78.89M,1.535B,,,,,,,,,,1.094B,1.151B,3.057B,4.208B,1.477B,,8.315B,,2005-09,48.21M,250.35M,,298.56M,241.78M,540.34M,0.00,,0.00,0.00,18.60M,18.60M,,558.94M,42.92M,,42.92M,856.30M,856.30M,,58.62M,957.84M,1.517B,,-802.31M,8.247B,586.76M,-6.189M,6.798B,,2005-09,AOR,Restated
2005-06,638.40M,289.05M,927.45M,254.01M,,394.96M,58.48M,131.73M,53.33M,,243.54M,,145.01M,85.35M,1.796B,,,,,,,,,,1.150B,1.151B,3.139B,4.290B,1.031B,,8.268B,,2005-06,66.00M,222.80M,,288.81M,235.46M,524.26M,0.00,,0.00,0.00,16.39M,16.39M,,540.65M,42.40M,,42.40M,882.02M,882.02M,,57.26M,981.68M,1.522B,,-793.38M,8.261B,646.68M,-8.382M,6.746B,,2005-06,AOR,Restated
2005-03,276.44M,875.44M,1.152B,275.01M,,412.96M,46.99M,138.01M,51.62M,,236.62M,,90.57M,91.69M,1.984B,,,,,,,,,,1.562B,1.151B,3.217B,4.368B,1.149B,,9.063B,,2005-03,75.02M,161.91M,,236.93M,219.14M,456.07M,751.68M,,751.68M,751.68M,20.78M,20.78M,,1.229B,94.76M,,94.76M,895.85M,895.85M,,62.60M,1.053B,2.282B,,-808.42M,8.207B,526.74M,-9.377M,6.781B,,2005-03,AOR,Restated
2004-12,209.45M,,209.45M,278.64M,,416.09M,48.46M,157.95M,44.60M,,251.02M,,86.88M,119.12M,1.931B,0.00,127.41M,476.62M,582.45M,,436.75M,58.94M,1.682B,-156.94M,1.525B,1.151B,3.293B,4.444B,155.93M,,9.166B,,2004-12,121.47M,129.35M,,250.82M,73.42M,324.24M,748.43M,,748.43M,748.43M,13.70M,13.70M,106.38M,1.261B,101.88M,,101.88M,921.77M,921.77M,,54.96M,1.079B,2.339B,,-801.09M,8.185B,514.61M,-6.767M,6.826B,,2004-12,AOR,Restated
2004-09,179.02M,266.86M,445.88M,237.57M,,362.18M,43.55M,161.76M,41.06M,,246.37M,,131.98M,77.83M,1.264B,,,,,,,,,,1.416B,1.151B,3.371B,4.522B,1.819B,,9.021B,,2004-09,77.49M,138.38M,,215.87M,197.78M,413.65M,,,,,14.96M,14.96M,,428.60M,845.70M,,845.70M,985.67M,985.67M,,50.36M,1.882B,2.310B,,-744.50M,8.128B,628.58M,-3.208M,6.710B,,2004-09,AOR,Restated
2004-06,483.31M,258.06M,741.38M,209.28M,,331.25M,38.46M,106.37M,87.94M,,232.76M,,133.72M,68.50M,1.508B,,,,,,,,,,1.354B,1.151B,3.478B,4.629B,1.737B,,9.227B,,2004-06,85.82M,122.83M,,208.64M,181.51M,390.16M,,,,,6.479M,6.479M,,396.64M,866.23M,,866.23M,978.10M,978.10M,,52.21M,1.897B,2.293B,,-725.52M,8.089B,367.06M,-16.14M,6.934B,,2004-06,AOR,Restated
2004-03,302.78M,458.76M,761.55M,201.37M,,308.52M,40.32M,152.17M,118.91M,,311.40M,,118.93M,67.77M,1.568B,,,,,,,,,,1.298B,1.151B,3.558B,4.709B,1.937B,,9.512B,,2004-03,78.38M,94.94M,,173.32M,183.48M,356.80M,,,,,6.038M,6.038M,,362.83M,861.29M,,861.29M,1.038B,1.038B,,51.94M,1.951B,2.314B,,-653.12M,8.029B,135.00M,9.327M,7.197B,,2004-03,AOR,Restated
2003-12,314.85M,,314.85M,198.52M,,315.87M,36.25M,443.67M,16.44M,,496.35M,,123.94M,66.54M,1.839B,0.00,90.28M,305.33M,417.45M,,450.12M,57.91M,1.321B,-68.30M,1.253B,1.151B,3.639B,4.790B,120.29M,,9.504B,,2003-12,63.36M,94.18M,,157.54M,103.26M,260.80M,0.00,,0.00,0.00,7.155M,7.155M,81.59M,404.82M,887.27M,,887.27M,1.108B,1.108B,,50.20M,2.046B,2.451B,,-611.92M,7.801B,135.00M,1.054M,7.053B,,2003-12,AOR,Restated
2003-09,114.36M,811.18M,925.54M,211.75M,,211.75M,,,,,93.98M,,28.32M,37.17M,1.297B,,,,,,,,1.039B,-259.98M,779.38M,,17.24M,17.24M,,,2.150B,,2003-09,34.34M,89.21M,,123.55M,155.19M,278.74M,,,4.888M,4.888M,,,,283.63M,34.16M,,34.16M,33.70M,33.70M,,21.84M,89.69M,373.32M,,957.48M,842.43M,58.70M,34.19M,1.777B,,2003-09,AOR,Restated
2003-06,62.15M,795.74M,857.90M,197.15M,,197.15M,,,,,83.50M,,31.56M,46.27M,1.216B,,,,,,,,1.009B,-244.12M,764.60M,,16.76M,16.76M,,,2.038B,,2003-06,31.92M,70.92M,,102.84M,132.76M,235.60M,,,4.888M,4.888M,,,,240.48M,34.97M,,34.97M,33.70M,33.70M,,19.05M,87.72M,328.21M,,913.30M,840.24M,73.39M,28.48M,1.710B,,2003-06,AOR,Restated
2003-03,36.26M,776.12M,812.38M,177.97M,,177.97M,,,,,93.71M,,38.18M,58.24M,1.180B,,,,,,,,979.31M,-230.13M,749.18M,,16.36M,16.36M,,,1.976B,,2003-03,42.32M,88.77M,,131.09M,135.04M,266.12M,,,4.888M,4.888M,,,,271.01M,52.53M,,52.53M,33.67M,33.67M,,,86.20M,357.21M,,892.46M,831.48M,123.48M,16.71M,1.619B,,2003-03,AOR,Restated
2002-12,350.13M,437.64M,787.77M,4.92M,,105.21M,2.911M,30.58M,0.172M,,33.66M,,27.68M,23.29M,977.61M,0.00,58.88M,0.00,57.63M,,159.14M,30.47M,306.12M,-41.58M,264.54M,0.00,9.28M,9.28M,700.56M,85.20M,2.060B,,2002-12,3.886M,0.00,,3.886M,51.61M,55.49M,,,,,0.732M,0.732M,,56.22M,866.20M,,866.20M,0.00,0.00,,27.57M,893.77M,950.00M,,263.18M,977.67M,135.00M,3.764M,1.110B,,2002-12,AOR,Restated
2002-09,50.51M,777.89M,828.40M,158.18M,,158.18M,,,,,,,43.32M,117.02M,1.147B,,,,,,,,892.86M,-202.04M,690.83M,,15.57M,15.57M,,,1.885B,,2002-09,43.44M,,,43.44M,225.67M,269.11M,,,4.888M,4.888M,,,,274.00M,67.85M,,67.85M,,,,,67.85M,341.85M,,812.13M,825.91M,111.15M,14.70M,1.543B,,2002-09,AOR,
2002-06,30.24M,763.23M,793.46M,181.90M,,181.90M,,,,,,,50.43M,105.33M,1.131B,,,,,,,,844.52M,-191.69M,652.83M,,17.18M,17.18M,,,1.846B,,2002-06,59.68M,,,59.68M,226.64M,286.33M,,,4.888M,4.888M,,,,291.22M,72.03M,,72.03M,,,,,72.03M,363.25M,,780.60M,823.39M,125.29M,2.658M,1.483B,,2002-06,AOR,
2002-03,94.52M,713.04M,807.56M,172.94M,,172.94M,,,,,,,48.08M,87.50M,1.116B,,,,,,,,775.83M,-181.79M,594.04M,,17.06M,17.06M,6.955M,,1.776B,,2002-03,42.19M,,,42.19M,229.94M,272.13M,,,4.888M,4.888M,,,,277.02M,73.37M,,73.37M,,,,,73.37M,350.38M,,754.83M,816.64M,150.77M,3.103M,1.425B,,2002-03,AOR,
2001-12,54.04M,744.06M,798.11M,177.58M,,177.58M,14.75M,17.00M,20.16M,,51.92M,,44.11M,26.01M,1.098B,0.00,23.53M,170.50M,249.89M,,218.52M,65.38M,727.82M,-171.83M,556.00M,,16.56M,16.56M,12.18M,,1.721B,,2001-12,50.94M,90.13M,,141.08M,54.36M,195.44M,,,4.888M,4.888M,,,94.62M,294.94M,42.30M,,42.30M,16.79M,16.79M,,18.19M,77.27M,372.21M,,705.89M,808.08M,176.12M,9.469M,1.349B,,2001-12,AOR,Restated
2001-09,59.61M,730.12M,789.73M,159.00M,,159.00M,,,,,,,49.54M,61.28M,1.060B,,,,,,,,668.75M,-163.47M,505.28M,,15.71M,15.71M,31.73M,,1.645B,,2001-09,46.48M,,,46.48M,203.58M,250.06M,,,4.888M,4.888M,,,,254.95M,97.17M,,97.17M,,,,,97.17M,352.12M,,667.96M,800.50M,182.12M,4.603M,1.292B,,2001-09,AOR,
2001-06,75.97M,684.02M,760.00M,166.46M,,166.46M,,,,,,,44.00M,56.68M,1.027B,,,,,,,,627.97M,-153.86M,474.10M,,15.09M,15.09M,57.24M,,1.594B,,2001-06,49.24M,,,49.24M,180.86M,230.09M,,,4.888M,4.888M,,,,234.98M,98.17M,,98.17M,,,,,98.17M,333.15M,,610.90M,795.44M,160.84M,13.72M,1.261B,,2001-06,AOR,
2001-03,28.46M,719.57M,748.03M,146.80M,,146.80M,,,,,,,48.48M,61.56M,1.005B,,,,,,,,573.62M,-145.00M,428.62M,,13.94M,13.94M,39.39M,,1.506B,,2001-03,41.71M,,,41.71M,179.59M,221.30M,,,4.888M,4.888M,,,,226.19M,99.04M,,99.04M,,,,,99.04M,325.23M,,571.19M,784.57M,183.40M,6.477M,1.180B,,2001-03,AOR,
2000-12,48.74M,633.68M,682.41M,143.18M,,143.18M,,,,,,,40.05M,62.63M,928.27M,,,,,,,,400.43M,,400.43M,,13.51M,13.51M,71.98M,,1.432B,,2000-12,37.87M,,,37.87M,178.26M,216.13M,,,4.888M,4.888M,,,,221.02M,104.43M,,104.43M,,,,,104.43M,325.45M,,543.91M,772.17M,233.58M,22.38M,1.106B,,2000-12,AOR,Restated
2000-09,35.85M,623.18M,659.03M,145.69M,,145.69M,,,,,,,56.28M,68.24M,929.24M,,,,,,,,479.70M,-129.00M,350.70M,,13.42M,13.42M,86.78M,,1.403B,,2000-09,20.38M,,,20.38M,210.54M,230.92M,,,4.888M,4.888M,,,,235.81M,48.82M,,48.82M,,,,57.21M,106.04M,341.85M,,472.33M,767.23M,214.27M,34.40M,1.061B,,2000-09,AOR,
2000-06,67.46M,584.72M,652.19M,154.30M,,154.30M,,,,,,,59.73M,75.61M,941.83M,,,,,,,,427.51M,-124.72M,302.80M,,13.56M,13.56M,46.42M,,1.321B,,2000-06,23.47M,,,23.47M,183.80M,207.27M,,,4.888M,4.888M,,,,212.16M,49.63M,,49.63M,,,,56.28M,105.91M,318.07M,,435.48M,752.75M,216.15M,29.60M,1.003B,,2000-06,AOR,
2000-03,102.04M,566.79M,668.83M,135.49M,,135.49M,,,,,,,58.08M,92.25M,954.65M,,,,,,,,381.70M,-117.88M,263.82M,,13.88M,13.88M,44.23M,,1.290B,,2000-03,24.23M,,,24.23M,133.57M,157.79M,,,4.888M,4.888M,,,,162.68M,51.27M,,51.27M,,,,57.87M,109.14M,271.82M,,382.33M,744.83M,135.41M,24.52M,1.018B,,2000-03,AOR,
1999-12,56.92M,597.62M,654.54M,137.36M,,137.36M,,,,,,,50.56M,67.76M,910.23M,,,,,,,,239.78M,,239.78M,,13.87M,13.87M,98.02M,,1.278B,,1999-12,30.12M,,,30.12M,155.26M,185.38M,,,4.888M,4.888M,,,,190.27M,108.17M,,108.17M,,,,,108.17M,298.44M,,352.02M,676.67M,96.28M,45.62M,979.53M,,1999-12,AOR,Restated
1999-09,73.50M,599.10M,672.60M,,,129.90M,,,,,,,,77.00M,879.50M,,,,,,,,312.80M,-104.40M,208.40M,,14.20M,14.20M,,,1.14B,,1999-09,20.00M,,,20.00M,,20.00M,,,4.90M,4.90M,,,103.40M,128.30M,53.70M,,53.70M,,,,,53.70M,197.50M,,304.80M,663.30M,32.60M,,942.50M,,1999-09,,
1999-06,52.70M,,52.70M,,,120.40M,,,,,,,,643.50M,816.60M,,,,,,,,295.10M,-98.60M,196.50M,,14.00M,14.00M,,,1.055B,,1999-06,23.60M,,,23.60M,,23.60M,,,4.90M,4.90M,,,90.50M,119.00M,54.50M,,54.50M,,,,,54.50M,188.50M,,285.00M,,,,866.90M,,1999-06,,
1999-03,91.40M,,91.40M,,,107.70M,,,,,,,,599.60M,798.70M,,,,,,,,281.70M,-92.40M,189.30M,,16.20M,16.20M,,,1.03B,,1999-03,17.40M,,,17.40M,,17.40M,,,4.90M,4.90M,,,88.20M,110.50M,56.20M,,56.20M,,,,,56.20M,181.40M,,257.40M,,,,848.60M,,1999-03,,
1998-12,25.44M,491.47M,516.91M,101.28M,,101.28M,,,,,,,26.58M,49.36M,694.14M,,,,,,,,182.55M,,182.55M,,15.87M,15.87M,12.67M,,924.72M,,1998-12,24.90M,,,24.90M,100.88M,125.78M,,,4.888M,4.888M,,,,130.66M,75.44M,,75.44M,,,,,75.44M,206.10M,,213.51M,538.10M,21.32M,-13.16M,718.61M,,1998-12,AOR,Restated
1998-09,94.20M,,94.20M,,,90.20M,,,,,,,,487.00M,671.40M,,,,,,,,260.00M,-81.30M,178.70M,,16.10M,16.10M,,,888.60M,,1998-09,17.50M,,,17.50M,,17.50M,,,23.70M,23.70M,,,90.40M,131.60M,58.60M,,58.60M,,,,,58.60M,219.80M,,185.40M,,,,668.80M,,1998-09,,
1998-06,71.80M,,71.80M,,,85.60M,,,,,,,,454.90M,612.30M,,,,,,,,254.10M,-76.30M,177.80M,,16.10M,16.10M,,,833.60M,,1998-06,17.80M,,,17.80M,,17.80M,,,19.50M,19.50M,,,68.30M,105.60M,59.40M,,59.40M,,,,,59.40M,214.10M,,127.90M,,,,619.50M,,1998-06,,
