,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2009-06,,,,938.00M,,155.00M,1.568B,357.00M,175.00M,,,634.00M,2.997B,26.83B,3.00M,26.83B,-5.222B,21.61B,413.00M,4.00M,417.00M,368.00M,463.00M,7.858B,30.71B,33.71B,939.00M,29.00M,968.00M,236.00M,1.204B,100.00M,,588.00M,688.00M,,688.00M,10.00M,25.00M,15.00M,818.00M,2.735B,175.00M,9.664B,14.00M,9.678B,5.206B,5.241B,123.00M,4.322B,150.00M,,1.325B,21.01B,23.75B,29.00M,6.691B,4.153B,1.001B,,-64.00M,9.961B
2009-03,,,,967.00M,,323.00M,1.72B,334.00M,482.00M,,,902.00M,3.748B,25.25B,1.158B,26.41B,-5.206B,21.21B,413.00M,4.00M,417.00M,349.00M,456.00M,8.048B,30.48B,34.22B,911.00M,38.00M,949.00M,264.00M,1.213B,222.00M,,482.00M,704.00M,,704.00M,19.00M,35.00M,16.00M,879.00M,2.831B,171.00M,9.98B,15.00M,9.995B,5.166B,5.195B,121.00M,4.41B,173.00M,,1.378B,21.44B,24.27B,29.00M,6.703B,4.132B,1.001B,,-66.00M,9.95B
2008-12,74.00M,0.00,74.00M,1.098B,,220.00M,1.445B,516.00M,697.00M,,,187.00M,3.369B,60.00M,1.11B,25.99B,-5.119B,20.87B,411.00M,5.00M,416.00M,356.00M,428.00M,,30.13B,33.50B,1.161B,57.00M,1.218B,139.00M,1.357B,363.00M,,482.00M,845.00M,,845.00M,265.00M,358.00M,70.00M,557.00M,3.205B,284.00M,9.232B,17.00M,9.249B,4.999B,5.034B,,4.511B,120.00M,,329.00M,20.38B,23.59B,29.00M,6.685B,4.112B,1.001B,,-67.00M,9.911B
2008-09,69.00M,,69.00M,1.01B,,,1.132B,578.00M,,,,1.573B,3.352B,24.25B,1.087B,25.33B,-5.047B,20.29B,,,416.00M,,416.00M,4.852B,25.97B,29.32B,1.032B,,1.032B,1.098B,2.13B,,,,884.00M,,884.00M,,,,,3.014B,,8.849B,18.00M,8.867B,4.972B,4.972B,,,,,,13.84B,19.39B,242.00M,6.685B,4.103B,1.001B,213.00M,-93.00M,9.936B
2008-06,1.758B,,1.758B,901.00M,,,1.062B,440.00M,,,,1.271B,4.531B,23.92B,969.00M,24.89B,-4.961B,19.93B,,,380.00M,,616.00M,4.798B,25.72B,30.25B,1.387B,,1.387B,1.903B,3.29B,,,,659.00M,,659.00M,,,,,3.949B,,8.802B,19.00M,8.821B,4.66B,4.66B,,,,,,13.48B,20.36B,242.00M,6.663B,4.082B,1.001B,213.00M,-93.00M,9.893B
2008-03,145.00M,,145.00M,980.00M,,,1.107B,318.00M,,,,1.099B,2.669B,24.04B,1.138B,25.18B,-4.895B,20.28B,,,410.00M,,438.00M,4.863B,26.00B,28.66B,1.111B,,1.111B,1.176B,2.287B,,,,1.457B,,1.457B,,,,,3.744B,,7.886B,20.00M,7.906B,4.707B,4.707B,,,,44.00M,,12.61B,19.14B,242.00M,6.273B,4.059B,1.001B,213.00M,-96.00M,9.477B
2007-12,211.00M,,211.00M,970.00M,,,1.119B,405.00M,,,,815.00M,2.55B,23.70B,1.033B,24.73B,-4.82B,19.91B,,,410.00M,,411.00M,4.977B,25.71B,28.26B,1.187B,,1.187B,1.015B,2.202B,,,,1.649B,,1.649B,,,,,3.851B,,7.611B,22.00M,7.633B,4.465B,4.465B,,,,43.00M,,12.10B,18.93B,242.00M,6.113B,4.038B,1.001B,213.00M,-103.00M,9.289B
2007-09,209.00M,,209.00M,939.00M,,,1.066B,464.00M,,,,1.24B,2.979B,23.26B,920.00M,24.18B,-4.73B,19.46B,,,480.00M,,424.00M,4.57B,24.93B,27.91B,1.102B,,1.102B,1.047B,2.149B,,,,1.186B,,1.186B,,,,,3.335B,,8.004B,23.00M,8.027B,4.379B,4.379B,,,,42.00M,,12.41B,18.66B,242.00M,6.062B,4.004B,1.001B,213.00M,-104.00M,9.203B
2007-06,203.00M,,203.00M,867.00M,,,1.005B,381.00M,,,,1.062B,2.651B,22.92B,861.00M,23.78B,-4.684B,19.10B,,,483.00M,,428.00M,4.491B,24.50B,27.15B,1.119B,,1.119B,1.044B,2.163B,,,,851.00M,,851.00M,,,,,3.014B,,7.778B,24.00M,7.802B,4.104B,4.104B,,,,42.00M,,11.91B,18.09B,242.00M,5.908B,3.986B,1.001B,213.00M,-116.00M,9.019B
2007-03,157.00M,,157.00M,961.00M,,,1.079B,301.00M,,,,1.193B,2.73B,22.61B,980.00M,23.59B,-4.821B,18.77B,,,483.00M,,249.00M,4.471B,23.97B,26.70B,1.014B,,1.014B,992.00M,2.006B,,,,1.125B,,1.125B,,,,,3.131B,,7.793B,25.00M,7.818B,4.152B,4.152B,,,,41.00M,,11.97B,18.24B,241.00M,5.91B,3.375B,1.001B,213.00M,-105.00M,8.42B
2006-12,94.00M,,94.00M,825.00M,,,947.00M,466.00M,,,,1.43B,2.937B,22.32B,875.00M,23.19B,-4.746B,18.44B,,,486.00M,,286.00M,4.545B,23.76B,26.70B,1.126B,,1.126B,1.255B,2.381B,,,,491.00M,,491.00M,,,,,2.872B,,8.298B,26.00M,8.324B,4.095B,4.095B,,,,41.00M,,12.42B,18.44B,241.00M,5.804B,3.314B,1.001B,213.00M,-141.00M,8.217B
2006-09,253.00M,,253.00M,809.00M,,,921.00M,458.00M,,,,1.776B,3.408B,21.69B,1.048B,22.74B,-4.716B,18.02B,,,488.00M,,277.00M,3.947B,22.73B,26.14B,934.00M,,934.00M,1.305B,2.239B,,,,875.00M,,875.00M,,,,,3.114B,,8.066B,27.00M,8.093B,4.016B,4.016B,,,,41.00M,,12.11B,17.96B,241.00M,5.75B,3.277B,1.001B,213.00M,-126.00M,8.141B
2006-06,81.00M,,81.00M,678.00M,,,789.00M,403.00M,,,,1.137B,2.41B,21.45B,916.00M,22.36B,-4.662B,17.70B,,,491.00M,,278.00M,3.772B,22.24B,24.65B,963.00M,,963.00M,1.079B,2.042B,,,,396.00M,,396.00M,,,,,2.438B,,8.063B,28.00M,8.091B,3.726B,3.726B,,,,42.00M,,11.82B,17.02B,240.00M,5.662B,2.797B,1.001B,213.00M,-110.00M,7.588B
2006-03,200.00M,,200.00M,907.00M,,,1.001B,334.00M,,,,1.072B,2.607B,21.02B,878.00M,21.90B,-4.579B,17.32B,,,494.00M,,302.00M,3.752B,21.87B,24.48B,987.00M,,987.00M,1.113B,2.10B,,,,358.00M,,358.00M,,,,,2.458B,,7.775B,29.00M,7.804B,3.723B,3.723B,,,,42.00M,,11.53B,16.86B,240.00M,5.68B,2.769B,1.001B,213.00M,-113.00M,7.575B
2005-12,81.00M,,81.00M,1.025B,,,1.141B,425.00M,,,,1.515B,3.162B,20.83B,772.00M,21.60B,-4.488B,17.11B,,,496.00M,,324.00M,3.756B,21.69B,24.85B,1.234B,,1.234B,1.31B,2.544B,,,,777.00M,,777.00M,,,,,3.321B,,7.398B,30.00M,7.428B,3.644B,3.644B,,,,42.00M,,11.07B,17.28B,240.00M,5.605B,2.768B,1.001B,213.00M,-89.00M,7.523B
2005-09,119.00M,,119.00M,910.00M,,,1.039B,394.00M,,,,1.899B,3.451B,20.46B,629.00M,21.09B,-4.428B,16.66B,,,499.00M,,370.00M,3.785B,21.32B,24.77B,1.189B,,1.189B,1.764B,2.953B,,,,595.00M,,595.00M,,,,,3.548B,,7.061B,31.00M,7.092B,3.81B,3.81B,,,,41.00M,,10.90B,17.18B,240.00M,5.607B,2.746B,1.001B,213.00M,-43.00M,7.549B
2005-06,818.00M,,818.00M,735.00M,,,837.00M,268.00M,,,,1.533B,3.456B,20.16B,657.00M,20.82B,-4.378B,16.44B,,,502.00M,,301.00M,3.671B,20.92B,24.37B,1.685B,,1.685B,867.00M,2.552B,,,,647.00M,,647.00M,,,,,3.199B,,7.19B,31.00M,7.221B,3.703B,3.703B,,,,42.00M,,10.92B,16.97B,240.00M,5.466B,2.705B,1.001B,213.00M,-51.00M,7.359B
2005-03,477.00M,,477.00M,825.00M,,,898.00M,190.00M,,,,819.00M,2.384B,19.38B,1.405B,20.78B,-4.449B,16.34B,,,504.00M,,305.00M,3.901B,21.05B,23.43B,874.00M,,874.00M,817.00M,1.691B,,,,519.00M,,519.00M,,,,,2.21B,,6.947B,32.00M,6.979B,3.757B,3.757B,,,,42.00M,,10.74B,16.04B,239.00M,5.494B,2.662B,1.001B,213.00M,-42.00M,7.352B
2004-12,26.00M,,26.00M,760.00M,,,833.00M,307.00M,,,,547.00M,1.713B,19.24B,1.355B,20.60B,-4.494B,16.11B,,,506.00M,,273.00M,3.962B,20.85B,22.56B,920.00M,,920.00M,700.00M,1.62B,,,,625.00M,,625.00M,,,,,2.245B,,6.561B,33.00M,6.594B,3.726B,3.726B,,,,39.00M,,10.32B,15.25B,239.00M,5.451B,2.642B,1.001B,213.00M,-64.00M,7.267B
2004-09,70.00M,,70.00M,740.00M,,,800.00M,337.00M,,,,873.00M,2.08B,18.80B,1.385B,20.19B,-4.349B,15.84B,,,509.00M,,263.00M,3.694B,20.30B,22.38B,867.00M,,867.00M,669.00M,1.536B,,,,292.00M,,292.00M,,,,,1.828B,,6.919B,34.00M,6.953B,3.634B,3.634B,,,,39.00M,,10.59B,15.02B,239.00M,5.539B,2.613B,1.001B,213.00M,-63.00M,7.327B
2004-06,487.00M,,487.00M,694.00M,,,758.00M,224.00M,,,,622.00M,2.091B,18.61B,1.323B,19.93B,-4.278B,15.65B,,,765.00M,,293.00M,3.421B,20.13B,22.22B,944.00M,,944.00M,653.00M,1.597B,,,,331.00M,,331.00M,,,,,1.928B,,6.971B,34.00M,7.005B,3.412B,3.412B,,,,40.00M,,10.42B,14.98B,239.00M,5.43B,2.593B,1.001B,213.00M,-54.00M,7.207B
2004-03,55.00M,,55.00M,1.063B,,,1.105B,204.00M,,,,440.00M,1.804B,18.27B,1.38B,19.65B,-4.212B,15.44B,,,514.00M,,304.00M,3.452B,19.71B,21.51B,964.00M,,964.00M,342.00M,1.306B,,,,637.00M,,637.00M,,,,,1.943B,,6.987B,35.00M,7.022B,3.317B,3.317B,,,,41.00M,,10.34B,14.77B,238.00M,5.473B,2.045B,1.001B,213.00M,-50.00M,6.705B
2003-12,49.00M,,49.00M,798.00M,,,859.00M,283.00M,,,,401.00M,1.592B,18.07B,1.288B,19.36B,-4.136B,15.22B,,,517.00M,,266.00M,3.366B,19.37B,20.97B,905.00M,,905.00M,681.00M,1.586B,,,,325.00M,,325.00M,,,,,1.911B,,6.733B,36.00M,6.769B,3.172B,105.00M,,,,42.00M,,6.874B,14.29B,238.00M,5.451B,2.003B,1.001B,213.00M,-55.00M,6.636B
2003-09,49.00M,,49.00M,1.226B,,,1.279B,295.00M,,,,370.00M,1.993B,17.64B,1.23B,18.87B,-4.881B,13.99B,,,487.00M,,251.00M,3.353B,18.08B,20.08B,870.00M,,870.00M,753.00M,1.623B,,,,525.00M,,525.00M,,,,,2.148B,,6.406B,37.00M,6.443B,3.16B,107.00M,,,,8.00M,,6.55B,13.38B,2.219B,5.527B,,1.001B,213.00M,-60.00M,6.685B
2003-06,60.00M,,60.00M,907.00M,,,962.00M,239.00M,,,,221.00M,1.482B,17.43B,1.139B,18.57B,-4.787B,13.78B,,,489.00M,,231.00M,3.296B,17.80B,19.28B,887.00M,,887.00M,731.00M,1.618B,,,,433.00M,,433.00M,,,,,2.051B,,6.211B,38.00M,6.249B,2.792B,109.00M,,,,9.00M,,6.358B,12.74B,2.198B,5.396B,,1.001B,213.00M,-56.00M,6.537B
2003-03,62.00M,,62.00M,872.00M,,,918.00M,178.00M,,,,593.00M,1.751B,16.82B,1.406B,18.23B,-4.707B,13.52B,,,724.00M,,222.00M,3.05B,17.52B,19.27B,1.02B,,1.02B,673.00M,1.693B,,,,945.00M,,945.00M,,,,,2.638B,,6.017B,38.00M,6.055B,2.844B,110.00M,,,,8.00M,,6.165B,13.07B,1.784B,5.453B,,1.001B,213.00M,-46.00M,6.19B
2002-12,118.00M,,118.00M,683.00M,,,737.00M,115.00M,,,,736.00M,1.706B,16.71B,1.336B,18.05B,-3.896B,14.15B,,,488.00M,,196.00M,3.126B,17.96B,19.67B,919.00M,,919.00M,720.00M,1.639B,,,,635.00M,,635.00M,,,,,2.274B,,6.166B,38.00M,6.204B,2.788B,112.00M,,,,9.00M,,6.316B,13.52B,1.764B,5.42B,,1.001B,213.00M,-49.00M,6.134B
2002-09,102.16M,,102.16M,733.20M,,,1.022B,205.64M,,,,323.01M,1.652B,16.35B,1.199B,17.55B,-4.629B,12.92B,,,488.76M,,229.85M,2.913B,16.55B,18.20B,1.185B,,1.185B,770.94M,1.956B,,,,196.63M,,196.63M,,,,,2.152B,,5.946B,39.15M,5.985B,2.593B,113.41M,,,,8.562M,,6.098B,12.08B,1.745B,5.421B,,1.001B,212.56M,-53.61M,6.111B
2002-06,73.03M,,73.03M,640.18M,,,876.96M,175.62M,,,,157.55M,1.283B,16.60B,770.74M,17.37B,-4.616B,12.75B,,,523.85M,,233.04M,2.754B,16.26B,17.55B,769.34M,,769.34M,853.68M,1.623B,,,,362.29M,,362.29M,,,,,1.985B,,5.935B,39.80M,5.975B,2.483B,115.05M,,,,8.639M,,6.090B,11.59B,1.727B,5.276B,,1.001B,212.56M,-50.50M,5.952B
2002-03,122.93M,,122.93M,663.30M,,,837.46M,154.08M,,,,239.00M,1.353B,16.32B,712.35M,17.03B,-4.535B,12.50B,,,997.68M,,207.43M,2.129B,15.83B,17.19B,667.57M,,667.57M,858.99M,1.527B,,,,685.48M,,685.48M,,,,,2.212B,,5.502B,40.45M,5.542B,2.409B,116.68M,,,,8.227M,,5.659B,11.22B,1.707B,5.298B,,1.001B,212.56M,-49.00M,5.955B
2001-12,359.00M,,359.00M,686.00M,,,734.00M,221.00M,,,,184.00M,1.498B,15.85B,919.00M,16.77B,-4.473B,12.30B,,,526.00M,,184.00M,2.531B,15.54B,17.03B,679.00M,,679.00M,811.00M,1.49B,,,,655.00M,,655.00M,,,,-1.00M,2.144B,,5.501B,41.00M,5.542B,2.354B,118.00M,,,,10.00M,,5.66B,11.14B,1.695B,5.251B,,1.002B,213.00M,-65.00M,5.879B
2001-09,432.14M,,432.14M,863.64M,,,995.89M,109.58M,,,,974.48M,2.512B,15.76B,544.38M,16.31B,-4.337B,11.97B,,,529.62M,,232.72M,1.794B,14.53B,17.04B,736.50M,,736.50M,861.68M,1.598B,,,,662.38M,,662.38M,,,,,2.261B,,5.508B,41.71M,5.550B,2.375B,119.80M,,,,,,5.670B,11.13B,1.732B,5.243B,,1.000B,249.61M,-62.53M,5.912B
2001-06,41.63M,,41.63M,749.54M,,,880.78M,231.97M,,,,905.79M,2.060B,16.73B,527.42M,17.25B,-5.212B,12.04B,,,565.91M,,1.288B,1.096B,14.99B,17.05B,812.66M,,812.66M,745.20M,1.558B,,,,910.69M,,910.69M,,,,,2.469B,,5.508B,29.94M,5.538B,2.386B,125.58M,,,,,,5.663B,11.30B,1.732B,5.085B,,1.006B,249.61M,-59.86M,5.751B
2001-03,59.57M,,59.57M,926.50M,,,1.045B,190.34M,,,,751.99M,2.047B,16.60B,538.02M,17.14B,-5.210B,11.93B,,,485.39M,,181.88M,2.043B,14.64B,16.68B,756.89M,,756.89M,774.55M,1.531B,,,,897.65M,,897.65M,,,,,2.429B,,5.135B,30.73M,5.166B,2.452B,127.79M,,,,,,5.294B,10.91B,1.732B,5.103B,,1.011B,249.61M,-53.30M,5.770B
2000-12,94.83M,,94.83M,910.34M,,,1.079B,242.93M,,,,599.47M,2.016B,16.77B,504.47M,17.28B,-5.342B,11.94B,,,488.70M,,193.53M,2.134B,14.75B,16.77B,1.020B,,1.020B,752.15M,1.773B,,,,564.63M,,564.63M,,,,,2.337B,,5.415B,31.50M,5.447B,2.434B,131.43M,,,,,,5.578B,11.05B,1.732B,5.041B,,1.013B,249.61M,-37.96M,5.722B
2000-09,72.81M,,72.81M,800.02M,,,908.16M,258.97M,,,,577.58M,1.818B,16.55B,497.75M,17.05B,-5.135B,11.91B,,,419.33M,,187.01M,2.170B,14.69B,16.51B,832.26M,,832.26M,785.31M,1.618B,,,,401.91M,,401.91M,,,,,2.019B,,5.222B,32.28M,5.255B,2.544B,133.71M,,,,,,5.388B,10.72B,1.732B,5.111B,,1.015B,249.61M,-35.88M,5.792B
2000-06,37.66M,,37.66M,685.79M,,,828.92M,219.41M,,,,343.38M,1.429B,16.42B,415.14M,16.84B,-5.046B,11.79B,,,422.03M,,176.44M,2.204B,14.59B,16.02B,875.90M,,875.90M,680.87M,1.557B,,,,532.51M,,532.51M,,,,,2.089B,,4.934B,33.04M,4.967B,2.425B,135.75M,,,,,,5.102B,10.39B,1.732B,4.947B,,1.016B,249.61M,-35.95M,5.627B
2000-03,73.60M,,73.60M,706.05M,,,779.61M,210.34M,,,,411.60M,1.475B,15.94B,416.57M,16.35B,-4.912B,11.44B,,,424.69M,,164.41M,1.947B,13.98B,15.45B,610.99M,,610.99M,638.30M,1.249B,,,,830.13M,,830.13M,,,,,2.079B,,4.375B,33.80M,4.409B,2.465B,137.80M,,,,,,4.547B,9.780B,1.732B,4.994B,,1.016B,249.61M,-36.04M,5.674B
1999-12,485.05M,,485.05M,647.54M,,,746.00M,222.56M,,,,259.07M,1.713B,15.79B,381.80M,16.17B,-4.818B,11.35B,,,427.50M,,165.39M,1.872B,13.82B,15.53B,615.98M,,615.98M,595.00M,1.211B,,,,890.37M,,890.37M,,,,-0.015M,2.101B,,4.525B,34.54M,4.559B,2.407B,139.84M,,,,,,4.699B,9.870B,1.732B,4.921B,,955.31M,249.61M,-36.11M,5.662B
1999-09,188.90M,,188.90M,718.30M,,,835.30M,234.30M,,,,361.10M,1.620B,15.55B,378.10M,15.93B,-4.699B,11.23B,,,,,1.168B,1.264B,13.66B,15.28B,623.80M,,623.80M,738.00M,1.362B,,,,395.00M,,395.00M,,,,,1.757B,,4.325B,35.30M,4.360B,2.424B,141.90M,,,,,,4.502B,9.474B,1.732B,4.916B,,839.90M,249.60M,,5.808B
1999-06,291.10M,,291.10M,522.60M,,,579.10M,200.70M,,,,1.295B,2.366B,14.95B,317.20M,15.26B,-4.508B,10.75B,,,,,555.50M,1.269B,12.58B,14.94B,385.00M,,385.00M,925.10M,1.310B,,,,608.50M,,608.50M,,,,-0.10M,1.918B,,4.200B,36.00M,4.236B,2.300B,138.70M,,,,,,4.375B,9.131B,1.732B,4.697B,,615.70M,249.60M,,5.814B
1999-03,57.50M,,57.50M,574.40M,,,613.20M,235.40M,,,,277.00M,1.183B,15.88B,334.80M,16.21B,-4.812B,11.40B,,,,,524.10M,1.338B,13.26B,14.45B,351.70M,,351.70M,588.00M,939.70M,,,,471.90M,,471.90M,,,,,1.412B,,3.926B,36.60M,3.962B,2.586B,152.80M,,,,,,4.115B,8.328B,1.732B,4.753B,,367.10M,249.60M,,6.118B
1998-12,102.30M,,102.30M,521.60M,,,571.00M,267.80M,,,,152.40M,1.094B,15.79B,347.30M,16.13B,-4.726B,11.41B,,,,,143.70M,1.738B,13.29B,14.38B,371.30M,,371.30M,545.10M,916.40M,,,,225.00M,,225.00M,,,,,1.141B,,4.050B,37.30M,4.087B,2.548B,155.00M,,,,,,4.242B,8.106B,1.732B,4.700B,,120.80M,249.60M,-36.40M,6.275B
1998-09,153.80M,,153.80M,617.40M,,,663.10M,270.30M,,,,333.00M,1.420B,15.66B,315.90M,15.97B,-4.631B,11.34B,,,,,554.90M,1.207B,13.10B,14.52B,364.10M,,364.10M,659.80M,1.024B,,,,325.00M,,325.00M,,,,,1.349B,,4.048B,37.80M,4.086B,2.463B,157.10M,,,,,,4.243B,8.170B,1.800B,4.692B,,139.00M,318.00M,,6.354B
1998-06,105.00M,,105.00M,520.70M,,,577.30M,266.90M,,,,190.60M,1.140B,15.56B,298.30M,15.86B,-4.563B,11.30B,,,,,559.30M,1.241B,13.10B,14.24B,366.30M,,366.30M,588.70M,955.00M,,,,244.00M,,244.00M,,,,,1.199B,,4.198B,38.50M,4.236B,2.387B,159.30M,,,,,,4.395B,8.063B,1.800B,4.410B,,36.80M,318.00M,,6.173B
