,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-04,1.97B,1.97B,1.294B,676.00M,217.00M,134.00M,351.00M,30.00M,,-1.00M,31.00M,1.00M,-30.00M,,381.00M,295.00M,1.00M,31.00M,-30.00M,-3.00M,-30.00M,262.00M,79.00M,183.00M,0.00,,1.00M,184.00M,184.70M,367.00M,74.00M,293.00M,0.59,0.0,,0.5922,0.59,0.58,0.0,,0.5822,0.58,314.00M,316.00M,0.312
2014-01,2.281B,2.281B,1.467B,814.00M,268.00M,142.00M,410.00M,27.00M,,-13.00M,29.00M,0.00,-29.00M,,437.00M,377.00M,0.00,29.00M,-29.00M,-16.00M,-29.00M,332.00M,104.00M,228.00M,90.00M,,7.00M,325.00M,243.93M,435.00M,74.00M,361.00M,0.75,0.29,,0.7784,1.04,0.74,0.28,,0.7683,1.03,314.00M,316.00M,0.312
2013-10,2.165B,2.165B,1.388B,777.00M,261.00M,148.00M,409.00M,31.00M,,-21.00M,31.00M,1.00M,-30.00M,,440.00M,337.00M,1.00M,31.00M,-30.00M,-32.00M,-30.00M,275.00M,95.00M,180.00M,-9.00M,,1.00M,172.00M,194.76M,380.00M,74.00M,306.00M,0.58,-0.03,,0.6238,0.55,0.57,-0.03,,0.6134,0.54,314.00M,317.00M,0.312
2013-07,1.723B,1.723B,1.10B,623.00M,191.00M,195.00M,386.00M,34.00M,,-30.00M,33.00M,3.00M,-30.00M,,434.00M,189.00M,3.00M,33.00M,-30.00M,-11.00M,-30.00M,148.00M,33.00M,115.00M,-275.00M,,2.00M,-158.00M,140.31M,270.00M,89.00M,181.00M,0.37,-0.88,,0.4442,-0.5,0.37,-0.88,,0.4435,-0.5,314.00M,317.00M,0.29
2013-04,1.962B,1.962B,1.256B,706.00M,245.00M,164.00M,409.00M,35.00M,,-1.00M,33.00M,2.00M,-31.00M,,444.00M,262.00M,2.00M,33.00M,-31.00M,-5.00M,-31.00M,226.00M,59.00M,167.00M,12.00M,,2.00M,181.00M,169.74M,358.00M,99.00M,259.00M,0.54,0.04,,0.5424,0.58,0.53,0.04,,0.5323,0.57,314.00M,317.00M,0.0
2013-01,2.162B,2.162B,1.40B,762.00M,275.00M,163.00M,438.00M,32.00M,,-8.00M,33.00M,2.00M,-31.00M,,470.00M,292.00M,2.00M,33.00M,-31.00M,-15.00M,-31.00M,246.00M,78.00M,168.00M,19.00M,,3.00M,190.00M,176.46M,400.00M,121.00M,279.00M,0.54,0.06,,0.5574,0.61,0.54,0.06,,0.5573,0.6,314.00M,316.00M,0.0
2012-10,2.205B,2.205B,1.384B,821.00M,236.00M,155.00M,391.00M,27.00M,,-22.00M,36.00M,3.00M,-33.00M,,418.00M,403.00M,3.00M,36.00M,-33.00M,-35.00M,-33.00M,335.00M,105.00M,230.00M,13.00M,,2.00M,245.00M,247.11M,469.00M,98.00M,371.00M,0.74,0.04,,0.7881,0.78,0.73,0.04,,0.7778,0.78,314.00M,316.00M,0.29
2012-07,1.081B,1.081B,642.00M,439.00M,127.00M,139.00M,266.00M,25.00M,,-3.00M,27.00M,2.00M,-25.00M,,292.00M,147.00M,2.00M,27.00M,-25.00M,-1.00M,-25.00M,121.00M,36.00M,85.00M,,,2.00M,127.00M,89.11M,221.00M,73.00M,148.00M,0.4,0.0,,0.4067,0.4,0.4,0.0,,0.4067,0.4,314.00M,316.00M,0.29
2012-04,1.821B,1.821B,1.115B,706.00M,256.00M,144.00M,400.00M,32.00M,,-4.00M,29.00M,2.00M,-27.00M,,432.00M,274.00M,2.00M,29.00M,-27.00M,-10.00M,-27.00M,237.00M,62.00M,175.00M,,,2.00M,177.00M,179.95M,331.00M,65.00M,266.00M,0.56,,,0.5693,0.56,0.55,,,0.5593,0.55,316.00M,318.00M,0.29
2012-01,2.112B,2.112B,1.301B,811.00M,297.00M,152.00M,449.00M,29.00M,,-3.00M,28.00M,2.00M,-26.00M,,478.00M,333.00M,2.00M,28.00M,-26.00M,-4.00M,-26.00M,303.00M,102.00M,201.00M,,,4.00M,205.00M,206.99M,392.00M,61.00M,331.00M,0.64,,,0.6463,0.64,0.64,,,0.6462,0.64,318.00M,320.00M,0.29
2011-10,2.161B,2.161B,1.307B,854.00M,261.00M,145.00M,406.00M,30.00M,,-2.00M,30.00M,2.00M,-28.00M,,436.00M,418.00M,2.00M,30.00M,-28.00M,-2.00M,-28.00M,388.00M,125.00M,263.00M,,,2.00M,265.00M,266.36M,481.00M,63.00M,418.00M,0.82,0.0,,0.8242,0.82,0.82,0.0,,0.8242,0.82,320.00M,322.00M,0.29
2011-07,1.031B,1.031B,607.00M,424.00M,98.00M,135.00M,233.00M,25.00M,,-60.00M,29.00M,2.00M,-27.00M,,253.00M,171.00M,2.00M,29.00M,-27.00M,,-27.00M,75.00M,30.00M,45.00M,,,2.00M,100.00M,83.00M,178.00M,74.00M,104.00M,0.15,0.16,,0.2625,0.31,0.15,0.16,,0.2615,0.31,320.00M,323.00M,0.29
2011-04,1.813B,1.813B,1.081B,732.00M,243.00M,148.00M,391.00M,33.00M,,0.00,27.00M,3.00M,-24.00M,1.00M,425.00M,307.00M,3.00M,27.00M,-24.00M,,-24.00M,283.00M,97.00M,186.00M,,,1.00M,187.00M,187.00M,375.00M,65.00M,310.00M,0.58,0.0,,0.58,0.58,0.57,0.0,,0.57,0.57,321.00M,323.00M,0.29
2011-01,2.127B,2.127B,1.289B,838.00M,291.00M,154.00M,445.00M,31.00M,,0.00,34.00M,3.00M,-31.00M,3.00M,479.00M,359.00M,3.00M,34.00M,-31.00M,,-31.00M,328.00M,89.00M,239.00M,,,0.00,239.00M,239.00M,426.00M,64.00M,362.00M,0.72,0.0,,0.72,0.72,0.71,0.0,,0.71,0.71,330.00M,332.00M,0.29
2010-10,2.172B,2.172B,1.278B,894.00M,277.00M,140.00M,417.00M,31.00M,,0.00,32.00M,2.00M,-30.00M,2.00M,450.00M,444.00M,2.00M,32.00M,-30.00M,,-30.00M,414.00M,135.00M,279.00M,,,0.00,279.00M,279.00M,511.00M,65.00M,446.00M,0.82,0.0,,0.82,0.82,0.82,0.0,,0.82,0.82,335.00M,338.00M,0.275
2010-07,1.518B,1.518B,905.00M,613.00M,221.00M,167.00M,388.00M,35.00M,,0.00,28.00M,2.00M,-26.00M,,422.00M,191.00M,2.00M,28.00M,-26.00M,-3.00M,-26.00M,161.00M,48.00M,113.00M,,,0.00,113.00M,113.00M,255.00M,66.00M,189.00M,0.33,,,0.33,0.33,0.33,,,0.33,0.33,337.00M,340.00M,0.275
2010-04,1.802B,1.802B,1.059B,743.00M,252.00M,156.00M,408.00M,31.00M,,-12.00M,29.00M,2.00M,-27.00M,,439.00M,304.00M,2.00M,29.00M,-27.00M,-12.00M,-27.00M,265.00M,97.00M,168.00M,,,0.00,168.00M,175.61M,357.00M,63.00M,294.00M,0.49,0.0,,0.5124,0.49,0.49,0.0,,0.5122,0.49,339.00M,342.00M,0.275
2010-01,2.153B,2.153B,1.282B,871.00M,301.00M,149.00M,450.00M,28.00M,,,27.00M,1.00M,-26.00M,2.00M,480.00M,391.00M,1.00M,27.00M,-26.00M,,-26.00M,365.00M,106.00M,259.00M,,,,259.00M,259.00M,454.00M,62.00M,392.00M,0.74,0.0,,0.74,0.74,0.74,0.0,,0.74,0.74,341.00M,344.00M,0.275
