,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-03,1.661B,51.23B,52.89B,1.175B,1.175B,54.07B,472.60M,1.197B,1.590B,2.788B,12.44B,52.59B,69.33B,200.76B,,9.80M,9.80M,9.80M,,,46.50M,46.50M,46.50M,,,56.30M,2.790B,2.790B,791.40M,791.40M,,103.00M,58.90M,3.641B,190.94B,,4.70M,4.972B,9.772B,5.645B,0.10M,,,621.00M,9.724B,,AOR,Restated
2012-12,4.177B,51.08B,55.25B,1.084B,1.084B,56.34B,464.20M,543.40M,914.70M,1.458B,12.38B,51.96B,67.27B,161.83B,,15.30M,15.30M,15.30M,0.00,,40.80M,40.80M,40.80M,,,56.10M,2.671B,2.671B,600.00M,600.00M,,20.00M,60.40M,3.332B,152.13B,,4.60M,4.862B,9.731B,5.554B,0.10M,,,640.30M,9.683B,,AOR,Restated
2012-09,2.279B,,2.279B,1.192B,1.192B,3.471B,468.40M,548.90M,927.40M,1.476B,12.16B,52.72B,68.01B,159.19B,,6.60M,6.60M,6.60M,,,28.50M,28.50M,28.50M,,,35.10M,2.18B,2.18B,951.50M,951.50M,,79.40M,,3.132B,149.29B,,4.60M,4.784B,9.712B,5.554B,0.10M,,,880.80M,9.828B,,AOR,Restated
2012-06,1.647B,,1.647B,1.097B,1.097B,2.744B,469.70M,542.00M,934.90M,1.477B,12.03B,50.93B,64.66B,152.05B,,2.40M,2.40M,2.40M,,,262.90M,262.90M,262.90M,,,265.30M,1.577B,1.577B,568.70M,568.70M,,72.70M,,2.146B,142.56B,,4.60M,4.667B,9.685B,5.485B,0.10M,,,550.50M,9.423B,,AOR,Restated
2012-03,1.652B,,1.652B,1.119B,1.119B,2.771B,476.70M,490.70M,893.90M,1.385B,12.18B,51.04B,64.94B,153.74B,,2.90M,2.90M,2.90M,,,101.20M,101.20M,101.20M,,,104.10M,1.571B,1.571B,492.80M,492.80M,,387.00M,,2.064B,143.99B,,4.60M,4.548B,9.670B,5.346B,0.10M,,,488.10M,9.365B,,AOR,Restated
2011-12,2.834B,49.08B,51.92B,1.196B,1.196B,53.11B,457.20M,482.30M,890.60M,1.373B,11.61B,50.46B,64.84B,147.36B,,3.10M,3.10M,3.10M,50.00M,,55.20M,105.20M,105.20M,,,108.30M,1.565B,1.565B,208.70M,208.70M,,353.80M,22.20M,1.796B,137.99B,,4.60M,4.402B,9.635B,5.282B,0.10M,,,258.00M,9.018B,,AOR,Restated
2011-09,1.434B,,1.434B,1.237B,1.237B,2.672B,448.20M,413.90M,872.80M,1.287B,11.74B,50.83B,64.35B,143.30B,,2.80M,2.80M,2.80M,,,73.80M,73.80M,73.80M,,,76.60M,1.570B,1.570B,707.90M,707.90M,,309.10M,,2.278B,133.01B,,4.60M,5.130B,9.618B,5.182B,0.10M,,,409.20M,9.980B,,AOR,Restated
2011-06,2.170B,,2.170B,1.362B,1.362B,3.531B,448.50M,345.60M,827.40M,1.173B,11.70B,50.49B,64.94B,149.28B,,2.50M,2.50M,2.50M,,,107.90M,107.90M,107.90M,,,110.40M,1.582B,1.582B,779.80M,779.80M,,265.40M,,2.362B,138.61B,,4.60M,5.067B,9.594B,4.962B,0.10M,,,698.80M,10.40B,,AOR,Restated
2011-03,1.984B,,1.984B,1.310B,1.310B,3.294B,448.70M,344.50M,829.30M,1.174B,11.79B,49.88B,63.61B,147.55B,,3.60M,3.60M,3.60M,,,106.80M,106.80M,106.80M,,,110.40M,1.580B,1.580B,542.70M,542.70M,,185.20M,,2.122B,137.18B,,4.60M,4.809B,9.580B,4.731B,0.10M,,,525.50M,10.19B,,AOR,Restated
2010-12,1.877B,,1.877B,1.063B,1.063B,2.940B,458.70M,345.40M,834.60M,1.18B,12.03B,50.24B,65.23B,145.63B,,6.20M,6.20M,6.20M,,,107.90M,107.90M,107.90M,,,114.10M,1.584B,1.584B,409.90M,409.90M,,157.20M,,1.994B,135.75B,,4.60M,4.612B,9.564B,4.725B,0.10M,,,272.40M,9.728B,,AOR,Restated
