,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-06,218.90M,,,,25.10M,64.80M,89.90M,89.90M,-34.90M,,,-1.398B,289.10M,-124.50M,784.30M,296.10M,784.30M,,1.833B,,709.00M,,-16.20M,10.50M,-5.70M,,0.00,1.042B,-2.116B,-1.080B,,2.80M,29.20M,32.00M,26.60M,-587.70M,-561.10M,,,,,-8.30M,-8.30M,516.70M,-20.70M,,1.608B,-391.30M,1.217B,,26.60M,8.50M,23.50M,-587.70M,,AOR,Restated
2006-03,293.70M,,,,22.30M,71.80M,94.10M,94.10M,,,,327.30M,-15.80M,-120.50M,,,,,-185.00M,,530.10M,,-25.10M,0.90M,-24.20M,,-5.50M,-957.40M,,-987.10M,,-0.40M,-78.80M,-79.20M,11.70M,-163.50M,-151.80M,,,,,-8.20M,-8.20M,662.90M,423.70M,,1.641B,-33.10M,1.608B,,11.70M,0.20M,-79.40M,-163.50M,,AOR,Restated
2005-12,244.10M,,,,-218.90M,67.40M,-151.50M,-151.50M,-32.80M,,,1.416B,-5.50M,-120.10M,-1.320B,40.20M,823.40M,,-455.80M,,1.02B,,-66.60M,32.20M,-34.40M,,0.00,-5.453B,4.890B,-597.20M,,94.60M,140.60M,235.20M,103.30M,-84.00M,19.30M,0.00,,0.00,,-8.30M,-8.30M,-144.30M,101.90M,,1.117B,524.70M,1.641B,,103.30M,124.80M,-30.20M,-84.00M,,AOR,
2005-09,219.30M,,,,26.50M,52.50M,79.00M,79.00M,-4.60M,,,-280.70M,18.00M,-112.60M,382.80M,-13.60M,382.80M,,544.80M,,557.80M,,-15.20M,20.40M,5.20M,,-3.70M,737.60M,-987.10M,-248.00M,,-30.40M,-72.00M,-102.40M,14.80M,0.00,14.80M,0.00,,0.00,,-9.40M,-9.40M,-266.10M,-363.10M,,1.172B,-55.00M,1.117B,,14.80M,0.50M,-30.90M,0.00,,AOR,Restated
2005-06,223.60M,,,,22.10M,64.50M,86.60M,86.60M,1.60M,,,-166.80M,-53.40M,-121.70M,542.60M,13.40M,542.60M,,739.60M,,884.60M,,-147.70M,203.40M,55.70M,,-1.50M,-517.60M,,-463.40M,,-6.20M,-300.30M,-306.50M,12.10M,-703.80M,-691.70M,542.00M,,542.00M,,0.00,0.00,660.00M,203.80M,,548.50M,623.10M,1.172B,,554.10M,4.50M,-10.70M,-703.80M,,AOR,Restated
2005-03,204.90M,,,,25.30M,62.20M,87.50M,87.50M,-417.60M,,,-554.30M,12.60M,-127.70M,389.70M,2.50M,389.70M,,601.30M,,-78.20M,,-31.40M,63.80M,32.40M,,-52.90M,-278.90M,,-299.40M,,6.90M,472.70M,479.60M,13.70M,-164.60M,-150.90M,,,,,0.00,0.00,143.20M,471.90M,,452.20M,96.00M,548.50M,,13.70M,7.70M,-0.80M,-164.60M,,AOR,Restated
2004-12,216.60M,,,,,,242.80M,242.80M,-459.20M,,,-839.40M,-60.50M,-138.80M,733.50M,-28.00M,733.50M,,1.101B,,261.70M,,-148.60M,112.20M,-36.40M,,-18.80M,2.622B,,-1.386B,,-1.40M,157.40M,156.00M,18.80M,-266.50M,-247.70M,,,,,,-166.50M,-66.80M,-325.00M,,1.899B,-1.449B,452.50M,,18.80M,3.50M,-4.90M,-266.50M,,AOR,
2004-09,194.20M,,,,,,25.90M,25.90M,501.60M,,,-496.30M,-53.80M,-123.90M,567.30M,6.20M,567.30M,,839.20M,,1.065B,,-110.70M,101.70M,-9.00M,,804.80M,-1.410B,,-613.70M,,-220.40M,-489.50M,-709.90M,8.30M,-283.80M,-275.50M,0.00,,0.00,,0.00,0.00,959.00M,-26.40M,,1.475B,424.50M,1.899B,,8.30M,-48.80M,-207.30M,-283.80M,,AOR,Restated
2004-06,128.30M,,,,,,25.90M,25.90M,-4.90M,,,-779.90M,20.20M,-117.70M,680.40M,,680.40M,,1.048B,,417.70M,,-110.60M,90.90M,-19.70M,,14.90M,-700.40M,,-705.20M,,1.80M,153.40M,155.20M,10.60M,-221.90M,-211.30M,0.00,,0.00,,,,1.107B,1.051B,,713.70M,763.40M,1.475B,,10.60M,52.20M,-14.70M,-221.90M,,AOR,Restated
2004-03,157.70M,,,,,,27.00M,27.00M,,,,377.10M,47.40M,-97.30M,,,,,-49.90M,,511.90M,,-19.50M,40.80M,21.30M,,-106.20M,-389.10M,,-474.00M,,-215.10M,-117.70M,-332.80M,3.50M,-0.40M,3.10M,,,,,,,-187.00M,-516.70M,,1.192B,-478.80M,713.70M,,3.50M,5.20M,-220.30M,-0.40M,,AOR,Restated
2003-12,330.30M,,,,,,177.20M,177.20M,36.90M,,,-809.70M,-8.90M,253.00M,540.00M,-22.60M,540.00M,,1.205B,,939.50M,,185.00M,-57.00M,128.00M,,-74.40M,-222.80M,-651.30M,-820.50M,,29.40M,-37.00M,43.00M,3.40M,-75.00M,-71.60M,,,,,,,630.70M,456.80M,,616.60M,575.80M,1.192B,,3.40M,-167.00M,8.10M,-75.00M,,AOR,Restated
2003-09,165.30M,,,,,,27.40M,27.40M,-8.00M,,,-392.50M,23.40M,-86.50M,301.30M,20.30M,301.30M,,473.30M,,265.50M,,-52.70M,25.50M,-27.20M,,-7.30M,-2.112B,1.638B,-509.00M,,-73.50M,29.60M,-43.90M,3.20M,-78.00M,-74.80M,,,,,,,-212.70M,-331.40M,,1.192B,-574.90M,616.60M,,3.20M,41.10M,-85.00M,-78.00M,,AOR,Restated
2003-06,94.30M,,,,-24.60M,-111.20M,-84.60M,-84.60M,254.70M,,,-990.40M,-46.30M,-80.70M,1.065B,1.40M,1.065B,,1.838B,,1.112B,,245.40M,7.90M,-57.30M,310.10M,3.70M,649.20M,-1.638B,-731.90M,,-9.60M,-78.80M,-88.40M,11.70M,-112.90M,-101.20M,,,,,,,345.20M,155.60M,,966.90M,535.40M,1.192B,,11.70M,153.10M,-4.00M,-112.90M,,AOR,Restated
2003-03,156.40M,,,,24.60M,111.20M,135.80M,135.80M,,,,509.80M,30.90M,-85.80M,,,,,-54.90M,,747.10M,,-406.30M,23.60M,-72.10M,-310.10M,-58.20M,-1.057B,,-1.498B,,3.10M,237.50M,240.60M,,-187.10M,-187.10M,,,,,,,625.40M,678.90M,,1.039B,-71.70M,966.90M,,,7.50M,-4.40M,-187.10M,,AOR,Restated
2002-12,20.50M,,,,-74.50M,-223.90M,-49.10M,-49.10M,30.80M,,,-971.30M,-11.50M,233.50M,534.90M,-20.60M,534.90M,,1.072B,,103.00M,,821.70M,-198.20M,-72.10M,684.30M,-7.90M,-12.87B,12.83B,565.40M,,28.80M,90.50M,165.20M,4.20M,-243.60M,-239.40M,,,,,,,-408.30M,-566.30M,,631.50M,102.10M,727.90M,,4.20M,-6.297B,6.363B,-243.60M,,AOR,Restated
2002-09,36.50M,,,,74.50M,223.90M,-24.10M,-24.10M,-16.30M,,,-937.50M,-121.00M,-233.50M,1.546B,-36.00M,1.546B,,2.737B,,1.795B,,-846.00M,198.20M,47.80M,-684.30M,-46.60M,10.56B,-12.05B,-2.178B,,-38.50M,74.10M,-0.60M,3.00M,-233.00M,-230.00M,,,,,,,46.40M,-184.20M,,1.261B,-567.00M,631.50M,,3.00M,6.350B,-6.426B,-233.00M,,AOR,
2002-06,120.20M,,,,,,212.00M,212.00M,230.20M,,,1.036B,17.80M,,,,,,-83.30M,,1.515B,,-18.80M,,-18.80M,,,-453.70M,-31.10M,-503.60M,,-1.30M,-293.00M,-293.00M,3.80M,-242.50M,-238.70M,,,,,,,223.50M,-308.20M,,557.50M,703.60M,1.261B,,3.80M,2.80M,-4.10M,-242.50M,,AOR,
2002-03,-34.90M,,,,,,110.50M,110.50M,96.50M,,,313.70M,58.10M,,,,,,-0.80M,,485.00M,,-15.90M,,-15.90M,,,-1.074B,200.80M,-888.80M,,-34.90M,181.60M,181.60M,11.00M,-23.30M,-12.30M,,,,,,,168.20M,337.50M,,623.80M,-66.30M,557.50M,,11.00M,7.90M,-42.80M,-23.30M,,AOR,
