,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2011-03,182.26M,182.26M,120.04M,62.21M,32.03M,29.17M,61.20M,17.25M,,,,-4.853M,,82.17M,-19.96M,,,-4.853M,,-4.853M,-23.08M,-0.668M,-22.42M,0.362M,,-22.42M,5.365M,25.32M,-19.96M,,0.01,,,-0.27,-0.26,-0.27,0.01,,-0.26,,2011-03,82.17M,86.12M,,2011-03,AOR,Restated
2010-12,334.26M,334.26M,188.65M,145.61M,47.86M,27.49M,75.35M,18.07M,,4.013M,,-4.013M,,96.93M,48.68M,,4.013M,-4.013M,,-4.013M,44.67M,3.849M,40.82M,0.039M,,40.82M,52.18M,3.501M,48.68M,,0.00,,,0.47,0.47,0.45,0.00,,0.45,,2010-12,80.74M,93.68M,,2010-12,AOR,Restated
2010-07,354.08M,354.08M,240.26M,113.82M,46.71M,24.79M,71.49M,17.58M,,4.458M,,-4.458M,,93.13M,20.68M,,4.458M,-4.458M,,-4.458M,16.23M,3.848M,12.38M,-6.459M,,12.38M,76.13M,55.45M,20.68M,,-0.07,,,0.14,0.07,0.14,-0.07,,0.07,,2010-07,79.36M,79.36M,,2010-07,AOR,
2010-04,268.00M,268.00M,156.78M,111.22M,43.48M,24.57M,68.04M,12.91M,-3.864M,3.90M,,-3.90M,,84.58M,26.64M,,3.90M,-3.90M,-3.864M,-3.90M,18.87M,1.958M,16.92M,-0.158M,,20.38M,60.78M,38.00M,22.77M,,0.00,,,0.2439,0.20,0.20,0.00,,0.20,,2010-04,78.80M,78.80M,,2010-04,AOR,
2010-01,163.24M,163.24M,100.36M,62.88M,41.09M,28.70M,69.79M,15.46M,-0.913M,3.90M,,-3.90M,,89.40M,-26.52M,,3.90M,-3.90M,-0.913M,-3.90M,-31.34M,2.486M,-33.82M,-0.052M,,-33.23M,-2.381M,25.06M,-27.44M,,0.00,,,-0.4224,-0.43,-0.43,0.00,,-0.43,,2010-01,78.14M,78.14M,,2010-01,AOR,
2009-10,549.96M,549.96M,428.29M,121.66M,56.70M,37.98M,94.68M,14.16M,,4.45M,,-3.802M,,113.96M,7.704M,,4.45M,-3.802M,,-3.802M,-6.96M,8.395M,-15.36M,,,-15.36M,47.00M,49.51M,-2.51M,,-0.07,,,-0.20,-0.27,-0.20,-0.07,,-0.27,,2009-10,77.58M,77.58M,,2009-10,AOR,
2009-07,94.93M,94.93M,76.94M,17.99M,23.69M,28.79M,52.48M,13.89M,,4.16M,,-4.16M,,70.58M,-52.59M,,4.16M,-4.16M,,-4.16M,-56.75M,1.563M,-58.32M,1.852M,,-58.32M,-33.98M,18.61M,-52.59M,,0.03,,,-0.76,-0.73,-0.76,0.03,,-0.73,,2009-07,76.99M,76.99M,,2009-07,AOR,Restated
2009-04,174.25M,174.25M,109.88M,64.37M,29.57M,29.90M,59.47M,14.76M,0.087M,1.60M,,-1.60M,,78.72M,-14.35M,,1.60M,-1.60M,0.087M,-1.60M,-15.86M,-5.454M,-10.41M,0.331M,,-10.47M,16.97M,31.23M,-14.26M,,0.00,,,-0.1307,-0.13,-0.13,0.00,,-0.13,,2009-04,76.59M,76.59M,,2009-04,AOR,Restated
2009-01,149.35M,149.35M,102.72M,46.63M,38.67M,38.46M,77.13M,20.94M,3.888M,1.50M,,-1.50M,,102.85M,-56.22M,,1.50M,-1.50M,3.888M,-1.50M,-53.83M,0.019M,-53.85M,3.46M,,-56.38M,-27.06M,25.26M,-52.33M,,0.05,,,-0.7432,-0.66,-0.71,0.05,,-0.66,,2009-01,76.10M,76.10M,,2009-01,AOR,Restated
2008-10,323.44M,323.44M,224.77M,98.67M,,,88.61M,16.05M,-6.006M,,,,,110.29M,-11.62M,,,,-6.006M,,-16.83M,-1.873M,-14.95M,,,-9.617M,31.49M,47.88M,-16.40M,,0.00,,,-0.1398,-0.21,-0.21,0.00,,-0.21,,2008-10,76.05M,76.85M,,2008-10,,Restated
