,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2004-07,-14.44M,,,30.29M,4.327M,12.06M,16.39M,16.39M,,,,,,-39.50M,3.463M,-11.81M,-12.90M,-27.05M,-3.158M,,-90.96M,-58.71M,,2004-07,-8.036M,-0.864M,-8.90M,,0.00,0.842M,-8.458M,,2004-07,,,,4.278M,,4.278M,,,-0.03M,,2004-07,261.33M,-62.92M,197.95M,,2004-07,4.278M,,,,2004-07,,
2004-04,-14.58M,,,52.03M,3.91M,17.23M,21.14M,21.14M,,,,,,27.02M,10.12M,-5.843M,-31.40M,-29.81M,-16.52M,,-46.43M,12.16M,,2004-04,-5.385M,0.864M,-4.521M,,-3.593M,,-8.114M,,2004-04,,,0.026M,4.807M,,4.807M,,,-0.053M,,2004-04,254.15M,8.831M,261.33M,,2004-04,4.807M,,,,2004-04,,
2004-01,31.76M,,,16.82M,3.745M,11.63M,15.37M,15.37M,,,,,,13.50M,-8.268M,6.208M,6.16M,0.303M,6.039M,,23.94M,87.90M,,2004-01,-2.947M,,-2.947M,,-16.03M,,-22.08M,,2004-01,,,-0.026M,2.433M,,2.433M,,,,,2004-01,183.48M,68.22M,254.15M,,2004-01,2.433M,,,,2004-01,,
2003-10,24.77M,,,124.49M,3.235M,44.90M,48.14M,48.14M,,,,,,-231.48M,-26.94M,11.75M,50.45M,-42.81M,-15.28M,,-254.31M,-43.88M,,2003-10,-4.105M,,-4.105M,,-2.082M,-0.114M,-6.18M,,2003-10,,,0.13M,14.52M,,14.52M,,,-0.153M,,2003-10,225.86M,-35.56M,183.48M,,2003-10,14.52M,,,,2003-10,,
2003-07,7.192M,,,-50.31M,2.929M,1.885M,4.814M,4.814M,,,,,,100.46M,-2.58M,-20.00M,-9.791M,-2.043M,-7.978M,,58.06M,19.76M,,2003-07,-3.796M,,-3.796M,,-0.741M,0.00,-4.957M,,2003-07,,,-0.059M,21.13M,,21.13M,,,-0.15M,,2003-07,188.35M,35.72M,225.86M,,2003-07,21.13M,,,,2003-07,,
2003-04,15.70M,,,47.63M,3.197M,2.673M,5.87M,5.87M,,,,,,-26.94M,6.015M,3.779M,5.606M,-0.954M,-33.52M,,-46.02M,23.18M,,2003-04,-3.872M,,-3.872M,,0.00,0.114M,-3.758M,,2003-04,,,-0.046M,4.436M,,4.436M,,,,,2003-04,164.08M,23.81M,188.35M,,2003-04,4.436M,,,,2003-04,,
2003-01,50.46M,,,36.68M,3.155M,1.183M,4.338M,4.338M,,,,,,-27.82M,-1.637M,-2.953M,-26.12M,-0.116M,48.73M,,-9.909M,81.57M,,2003-01,-3.691M,,-3.691M,,-27.22M,,-30.99M,,2003-01,,,-0.025M,4.777M,,4.777M,,,,,2003-01,108.37M,55.33M,164.08M,,2003-01,4.777M,,,,2003-01,,
2002-10,22.33M,,,95.71M,3.142M,2.809M,5.951M,5.951M,10.64M,,,,,-120.28M,-24.69M,-9.888M,33.93M,-1.219M,13.43M,,-108.46M,26.18M,,2002-10,-1.613M,,-1.613M,,-3.682M,-5.888M,-5.013M,,2002-10,,,-0.097M,11.96M,,11.96M,,,-0.549M,,2002-10,73.90M,32.48M,108.37M,,2002-10,11.96M,,,,2002-10,,
2002-07,4.766M,,,0.698M,2.899M,1.639M,4.538M,4.538M,-3.917M,,,,,1.83M,-3.612M,7.18M,10.96M,-2.529M,-9.49M,,4.336M,10.42M,,2002-07,-2.019M,,-2.019M,,-10.11M,0.00,-12.12M,,2002-07,,,-0.07M,3.95M,,3.95M,,,0.00,,2002-07,69.62M,2.176M,73.90M,,2002-07,3.95M,,,,2002-07,,
2002-04,9.637M,,,-3.286M,2.517M,1.065M,3.582M,3.582M,,,,,,68.77M,5.317M,-10.71M,-34.87M,-1.387M,-4.687M,,22.43M,32.36M,,2002-04,-3.555M,,-3.555M,,,0.071M,-3.484M,,2002-04,,,-0.021M,5.407M,,5.407M,,,-0.463M,,2002-04,30.97M,33.80M,69.62M,,2002-04,5.407M,,,,2002-04,,
2002-01,34.83M,,,9.852M,2.271M,0.749M,3.02M,3.02M,,,,,,-37.42M,10.13M,2.228M,13.00M,4.24M,36.16M,,28.33M,76.03M,,2002-01,-3.279M,,-3.279M,,,5.817M,2.538M,,2002-01,,,-54.10M,1.989M,,1.989M,,,,,2002-01,6.056M,26.46M,30.97M,,2002-01,1.989M,,,,2002-01,,
2001-10,-3.018M,,,65.61M,3.411M,0.185M,3.596M,3.596M,-1.743M,,,,,-90.60M,-5.495M,5.334M,24.95M,2.529M,2.367M,,-61.37M,3.071M,,2001-10,-3.492M,,-3.277M,,-0.805M,,-4.334M,,2001-10,,,-11.65M,3.039M,,3.039M,,,,,2001-10,15.35M,-9.94M,6.056M,,2001-10,3.039M,,,,2001-10,,
2001-07,0.274M,,,3.604M,2.008M,0.461M,2.469M,2.469M,0.00,,,,,6.921M,2.503M,1.096M,-6.878M,-5.099M,-3.964M,,-5.421M,0.926M,,2001-07,-2.299M,,-2.299M,,0.231M,,-2.068M,,2001-07,,,-26.09M,36.77M,,36.77M,,,,,2001-07,6.886M,9.545M,15.35M,,2001-07,36.77M,,,,2001-07,,
2001-04,-12.41M,,,32.08M,4.80M,0.259M,5.059M,5.059M,-7.679M,,,,,26.95M,-4.996M,-13.10M,-19.02M,-0.204M,-4.694M,,-15.06M,1.99M,,2001-04,-1.444M,,-1.444M,,0.00,,-1.444M,,2001-04,,,-8.649M,2.816M,,2.816M,,,,,2001-04,13.66M,-5.287M,6.886M,,2001-04,2.816M,,,,2001-04,,
2001-01,8.232M,,,0.631M,2.422M,0.263M,2.685M,2.685M,,,,,,5.223M,5.167M,-6.014M,2.463M,-0.325M,3.27M,,9.784M,21.33M,,2001-01,-1.333M,,-1.333M,,-4.30M,,-5.633M,,2001-01,,,-9.162M,1.195M,,1.195M,,,,,2001-01,5.245M,7.732M,13.66M,,2001-01,1.195M,,,,2001-01,,
2000-10,-5.173M,,,24.47M,,,1.437M,1.437M,,,,,,-36.48M,-12.60M,,11.09M,-22.58M,20.11M,,-44.47M,-25.03M,,2000-10,-0.475M,,-0.475M,,-0.11M,1.433M,-3.275M,,2000-10,,,38.07M,-0.499M,,-0.499M,,,-1.374M,,2000-10,2.631M,7.894M,5.245M,,2000-10,-0.499M,,,,2000-10,,
2000-07,3.449M,,,-0.5734M,,,3.879M,3.879M,,,,,,7.316M,-2.048M,,-0.8480M,16.50M,-35.44M,,-14.52M,-7.768M,,2000-07,-1.181M,,-1.181M,,-0.2415M,-1.433M,3.120M,,2000-07,,,-6.706M,-6.493M,,-6.493M,,,18.19M,,2000-07,3.186M,0.3422M,2.631M,,2000-07,-6.493M,,,,2000-07,,
2000-04,3.341M,,,-3.506M,,,2.303M,2.303M,,,,,-0.10M,9.393M,6.836M,,-24.52M,-6.243M,-3.436M,,-17.97M,-15.93M,,2000-04,0.1751M,,0.1751M,,-5.552M,,-7.451M,,2000-04,,,-6.409M,12.01M,,12.01M,,,3.041M,,2000-04,19.30M,-14.74M,3.186M,,2000-04,12.01M,,,,2000-04,,
2000-01,4.80M,,,0.20M,,,1.50M,1.50M,,,,,0.10M,13.30M,-4.70M,,-14.40M,-13.40M,7.10M,,-12.10M,-5.50M,,2000-01,-1.40M,,-1.40M,,,,-5.30M,,2000-01,,,18.40M,1.90M,,1.90M,,,0.40M,,2000-01,10.40M,9.90M,19.30M,,2000-01,1.90M,,,,2000-01,,
1999-10,9.132M,,,2.116M,,,1.207M,1.207M,,,,,,-43.17M,-5.435M,,34.38M,-6.448M,8.085M,,-18.95M,-6.423M,,1999-10,-0.28M,,-0.28M,,,,-15.64M,,1999-10,,,30.02M,0.161M,0.40M,0.561M,,,-0.625M,,1999-10,2.90M,7.892M,10.37M,,1999-10,0.161M,,,0.40M,1999-10,,
1999-07,2.70M,,,2.40M,,,1.00M,1.00M,,,,,-0.20M,-16.10M,-9.80M,,11.50M,5.60M,-4.00M,,-12.80M,-6.90M,,1999-07,-0.90M,,-0.90M,,,,-3.60M,,1999-07,,,-9.80M,22.10M,-0.40M,21.70M,,,-0.10M,,1999-07,0.00,1.30M,2.90M,,1999-07,22.10M,,,-0.40M,1999-07,,
1999-04,1.60M,,,0.30M,,,0.60M,0.60M,,,,,0.20M,5.80M,1.40M,,-6.40M,-5.10M,-1.30M,,-5.60M,-2.90M,,1999-04,-0.80M,,-0.80M,,,,-2.10M,,1999-04,,,1.10M,1.00M,,1.00M,,,,,1999-04,0.00,-2.90M,0.00,,1999-04,1.00M,,,,1999-04,,
1999-01,2.90M,,,0.20M,,,0.50M,0.50M,,,,,,1.50M,3.00M,,-9.30M,-1.20M,2.60M,,-3.40M,0.20M,,1999-01,-0.20M,,-0.20M,,,,-0.20M,,1999-01,,,1.00M,1.20M,,1.20M,,,,,1999-01,2.80M,2.20M,0.00,,1999-01,1.20M,,,,1999-01,,
1998-10,4.00M,,,-1.60M,,,0.60M,0.60M,,,,,0.10M,-24.10M,-4.80M,,17.40M,-3.00M,7.80M,,-6.70M,-3.60M,,1998-10,-0.30M,,-0.30M,,,,1.10M,,1998-10,,,2.20M,-6.00M,2.70M,-3.30M,,,6.40M,,1998-10,0.30M,2.80M,2.80M,,1998-10,-6.00M,,,2.70M,1998-10,,
1998-07,0.80M,,,1.90M,,,-0.50M,-0.50M,,,,,,-0.90M,-1.70M,,0.40M,-2.20M,-7.00M,,-11.40M,-9.20M,,1998-07,0.00,,0.00,,,,-0.10M,,1998-07,,,6.80M,6.10M,-3.90M,2.20M,0.50M,,-0.50M,,1998-07,0.00,-0.30M,0.30M,,1998-07,6.10M,,,-3.90M,1998-07,,
1998-04,0.70M,,,0.40M,,,1.70M,1.70M,,,,,-0.10M,-4.70M,-1.50M,,-2.10M,0.50M,5.20M,,-2.60M,0.10M,,1998-04,-0.20M,,-0.20M,,,,-0.40M,,1998-04,,,-0.90M,,,,-0.50M,,,,1998-04,0.00,-1.70M,0.00,,1998-04,,,,,1998-04,,
1998-01,1.80M,,,-0.50M,,,1.20M,1.20M,,,,,0.10M,3.80M,2.40M,,-7.20M,3.30M,-0.20M,,2.10M,4.70M,,1998-01,-1.30M,,-1.30M,,,,-1.30M,,1998-01,,,-3.90M,,,,,,,,1998-01,2.40M,-0.50M,0.00,,1998-01,,,,,1998-01,,
