,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2013-06,203.70M,0.20M,,42.50M,42.70M,30.00M,7.70M,37.70M,37.70M,0.10M,,10.10M,-1.60M,-9.80M,-34.40M,10.10M,34.80M,,,0.50M,11.00M,,293.90M,,-31.90M,0.10M,0.10M,0.00,-8.50M,-2.20M,-42.50M,,,-16.00M,-16.00M,,-108.20M,-108.20M,-72.30M,-72.30M,11.40M,-0.20M,-185.30M,,967.10M,66.10M,-8.50M,1.025B,,0.00,,,,-108.20M,,AOR,Restated
2013-03,175.90M,0.10M,,42.50M,42.60M,28.10M,8.10M,36.20M,36.20M,1.40M,,10.00M,-10.40M,-10.80M,-29.60M,2.60M,-13.00M,,,-2.30M,-42.30M,,202.60M,,-33.40M,0.00,0.00,-0.40M,-13.60M,-1.90M,-49.30M,,,-17.00M,-17.00M,,-118.20M,-118.20M,-66.10M,-66.10M,66.30M,10.40M,-124.60M,,954.30M,28.70M,-15.90M,967.10M,,0.00,,,,-118.20M,,AOR,Restated
2012-12,161.40M,,,42.80M,42.80M,27.00M,8.20M,35.20M,35.20M,0.50M,,11.20M,-10.60M,-9.30M,69.30M,-22.40M,-60.70M,,,-50.10M,-63.90M,,167.30M,,-21.60M,0.20M,0.20M,-84.40M,0.00,,-105.80M,,,96.00M,96.00M,,-92.90M,-92.90M,-65.50M,-65.50M,38.10M,10.60M,-13.70M,,903.90M,40.80M,9.60M,954.30M,,-7.00M,,,,-92.90M,,AOR,Restated
2012-09,195.20M,0.50M,,27.30M,27.80M,27.20M,8.50M,35.70M,35.70M,82.20M,,10.70M,-1.20M,-12.60M,-21.60M,30.70M,45.50M,,,-2.30M,52.30M,,390.10M,,-44.70M,0.20M,0.20M,0.00,0.00,,-44.50M,,,-113.00M,-113.00M,,-91.10M,-91.10M,-65.90M,-65.90M,4.60M,1.10M,-264.30M,,805.60M,81.00M,17.30M,903.90M,,-0.30M,,,,-91.10M,,AOR,Restated
2012-06,190.70M,0.40M,,26.10M,26.50M,26.40M,8.70M,35.10M,35.10M,0.20M,,10.50M,-0.50M,-10.10M,-28.10M,5.80M,48.70M,,,-14.70M,11.70M,,264.10M,,-32.40M,0.10M,0.10M,-0.30M,-37.50M,,-70.10M,,,11.00M,11.00M,,-122.80M,-122.80M,-60.50M,-60.50M,2.40M,0.40M,-169.50M,,811.80M,24.30M,-30.50M,805.60M,,-0.20M,,,,-122.80M,,AOR,Restated
2012-03,167.80M,0.00,,26.30M,26.30M,26.40M,8.80M,35.20M,35.20M,0.50M,,10.90M,-7.00M,-9.20M,-87.50M,30.00M,-7.10M,,,93.60M,29.00M,,253.50M,,-30.90M,0.50M,0.50M,-5.00M,-162.50M,,-197.90M,,,-91.00M,-91.00M,,-35.80M,-35.80M,-60.70M,-60.70M,36.80M,6.90M,-143.80M,,884.00M,-88.50M,16.30M,811.80M,,-0.30M,,,,-35.80M,,AOR,Restated
2011-12,183.30M,0.10M,,26.20M,26.30M,23.90M,8.70M,32.60M,32.60M,0.00,,11.40M,-9.80M,-309.20M,1.50M,-45.10M,3.10M,,,-83.10M,-123.60M,,-189.00M,,-31.60M,1.80M,1.80M,-10.90M,-150.00M,,-190.70M,,,350.00M,350.00M,,-9.70M,-9.70M,-60.30M,-60.30M,5.20M,9.70M,294.90M,,988.90M,-85.00M,-19.90M,884.00M,,-0.20M,,,,-9.70M,,AOR,Restated
2011-09,201.80M,1.10M,,48.60M,49.70M,26.10M,8.60M,34.70M,34.70M,46.50M,,10.20M,-0.30M,-176.20M,-53.90M,26.60M,-89.50M,,63.20M,76.90M,23.30M,,181.20M,,-44.10M,0.80M,0.80M,0.00,0.00,,-43.30M,,,0.00,0.00,,-76.00M,-76.00M,,-60.70M,3.20M,0.30M,-133.20M,,1.022B,4.50M,-37.40M,988.90M,,-0.20M,,,,-76.00M,,AOR,Restated
2011-06,178.80M,0.20M,,17.30M,17.50M,24.00M,8.90M,32.90M,32.90M,0.10M,,10.10M,-2.10M,8.00M,-29.60M,-62.00M,36.30M,,29.00M,13.70M,-12.60M,0.40M,225.10M,,-33.10M,0.20M,0.20M,-45.90M,0.00,,-78.80M,,,0.00,0.00,,-118.50M,-118.50M,,-50.30M,11.70M,2.00M,-155.10M,,1.020B,-12.20M,13.70M,1.022B,,-3.40M,,0.00,,-118.50M,,AOR,Restated
2011-03,316.50M,-2.20M,,17.60M,18.90M,23.60M,8.20M,31.80M,31.80M,2.40M,,10.10M,-23.60M,-166.60M,-30.80M,0.20M,176.30M,,-92.20M,-34.30M,19.20M,-0.40M,224.80M,,-22.60M,0.00,0.00,0.00,0.00,,-22.60M,,,0.00,0.00,,-60.60M,-60.60M,,-50.30M,115.50M,23.50M,28.10M,,769.30M,230.50M,20.50M,1.020B,,0.20M,,0.00,,-60.60M,,AOR,Restated
2010-12,,,,17.40M,13.90M,22.80M,9.10M,31.90M,31.90M,0.60M,,9.10M,-12.10M,150.10M,-92.90M,-6.70M,-108.10M,,,26.80M,-180.90M,,12.60M,,-20.30M,4.10M,4.10M,0.00,0.00,,-16.20M,,,0.00,0.00,,-43.60M,-43.60M,,-49.70M,43.60M,12.00M,-37.70M,,813.40M,-41.50M,-2.60M,769.30M,,-0.20M,,0.00,,-43.60M,,AOR,Restated
2010-09,131.30M,3.80M,,44.40M,48.20M,24.70M,8.40M,33.10M,33.10M,57.60M,,9.20M,-3.80M,-196.00M,3.00M,-14.80M,6.50M,,-115.00M,86.50M,-33.80M,0.20M,60.80M,,-45.20M,5.90M,5.90M,0.00,,,-39.30M,,,,,,-28.40M,-28.40M,,-49.60M,6.50M,3.80M,-67.70M,,826.00M,-46.80M,34.40M,813.40M,,-0.60M,,,,-28.40M,,AOR,Restated
2010-06,119.40M,0.70M,,16.90M,17.60M,22.20M,8.40M,30.60M,30.60M,0.30M,,9.20M,-4.90M,4.30M,-56.70M,-57.50M,25.80M,,65.50M,-13.80M,-36.70M,-0.20M,135.30M,,-23.70M,0.00,0.00,0.00,,,-23.70M,,,,,,-67.80M,-67.80M,,-41.30M,12.50M,4.90M,-91.70M,,817.20M,19.90M,-11.30M,826.00M,,0.00,,,,-67.80M,,AOR,Restated
