,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-09,628.30M,,628.30M,,2.267B,,,,1.533B,,499.50M,4.928B,,,,,,,6.160B,-3.777B,2.383B,,777.00M,777.00M,,,1.773B,4.933B,9.861B,,976.90M,,,,976.90M,,976.90M,,160.20M,,160.20M,,,1.883B,3.020B,831.00M,,831.00M,,,,,2.654B,3.485B,6.505B,,1.40M,3.762B,,,1.40M,,,,3.356B,,,
1994-06,585.80M,,585.80M,,2.235B,,,,1.560B,,572.50M,4.954B,,,,,,,6.058B,-3.692B,2.366B,,,,,,2.650B,5.015B,9.969B,,822.90M,,,,822.90M,,822.90M,,217.50M,,217.50M,,,2.013B,3.054B,846.00M,,846.00M,,,,,2.874B,3.720B,6.774B,,1.40M,3.685B,,,1.40M,,,,3.195B,,,
1994-03,546.10M,,546.10M,,2.190B,,,,1.504B,,584.20M,4.825B,,,,,,,6.006B,-3.692B,2.314B,,,,,,2.645B,4.958B,9.783B,,748.10M,,,,748.10M,,748.10M,,306.50M,,306.50M,,,1.892B,2.946B,842.20M,,842.20M,,,,,2.886B,3.728B,6.675B,,1.40M,3.621B,,,1.40M,,,,3.108B,,,
1993-12,731.90M,,731.90M,,2.112B,,,,1.430B,,567.70M,4.841B,,,,,,,5.986B,-3.692B,2.294B,,,,,,2.623B,4.917B,9.758B,,689.20M,,,,689.20M,,689.20M,,214.70M,,214.70M,,,1.901B,2.804B,1.022B,,1.022B,,,,,2.888B,3.910B,6.715B,,1.50M,3.543B,,,1.50M,,,,3.043B,,,
1993-09,772.80M,,772.80M,,2.209B,,,,1.431B,,533.70M,4.946B,,,,,,,6.018B,-3.692B,2.326B,,809.20M,809.20M,,,1.804B,4.939B,9.885B,,859.80M,,,,859.80M,,859.80M,,166.40M,,166.40M,,,1.965B,2.991B,1.028B,,1.028B,,,,,2.91B,3.938B,6.929B,,1.50M,3.472B,,,1.50M,,,,2.956B,,,
1993-06,578.10M,,578.10M,,2.231B,,,,1.532B,,559.70M,4.901B,,,,,,,5.889B,-3.614B,2.275B,,,,,,2.551B,4.826B,9.726B,,693.60M,,,,693.60M,,693.60M,,171.50M,,171.50M,,,2.102B,2.968B,1.023B,,1.023B,,,,,2.808B,3.831B,6.799B,,1.50M,3.408B,,,1.50M,,,,2.927B,,,
1993-03,576.90M,,576.90M,,2.171B,,,,1.517B,,563.90M,4.828B,,,,,,,5.928B,-3.614B,2.314B,,,,,,2.507B,4.821B,9.650B,,694.50M,,,,694.50M,,694.50M,,280.90M,,280.90M,,,2.007B,2.982B,1.026B,,1.026B,,,,,2.806B,3.832B,6.814B,,1.50M,3.355B,,,1.50M,,,,2.835B,,,
1992-12,504.60M,,504.60M,,2.092B,,,,1.433B,,517.60M,4.547B,,,,,,,5.905B,-3.614B,2.291B,,,,,,2.474B,4.765B,9.312B,,625.60M,,,,625.60M,,625.60M,,166.60M,,166.60M,,,1.954B,2.746B,1.025B,,1.025B,,,,,2.793B,3.818B,6.564B,,1.60M,3.306B,,,1.60M,,,,2.748B,,,
1992-09,602.60M,,602.60M,,2.317B,,,,1.446B,,523.60M,4.889B,,,,,,,5.989B,-3.614B,2.375B,,831.90M,831.90M,,,1.635B,4.842B,9.731B,,896.00M,,,,896.00M,,896.00M,,161.10M,,161.10M,,,2.055B,3.112B,1.035B,,1.035B,,,,,2.805B,3.841B,6.953B,,1.70M,3.261B,,,1.70M,,,,2.778B,,,
1992-06,463.00M,,463.00M,,2.333B,,,,1.471B,,486.70M,4.753B,,,,,,,5.776B,-3.426B,2.35B,,,,,,2.537B,4.887B,9.64B,,742.40M,,,,742.40M,,742.40M,,478.90M,,478.90M,,,2.147B,3.368B,742.70M,,742.70M,,,,,2.782B,3.525B,6.893B,,1.70M,3.204B,,,1.70M,,,,2.747B,,,
1992-03,521.70M,,521.70M,,2.225B,,,,1.428B,,477.60M,4.652B,,,,,,,5.767B,-3.426B,2.341B,,,,,,2.412B,4.752B,9.404B,,706.60M,,,,706.60M,,706.60M,,460.50M,,460.50M,,,2.068B,3.235B,740.70M,,740.70M,,,,,2.748B,3.489B,6.723B,,1.70M,3.206B,,,1.70M,,,,2.681B,,,
1991-12,476.80M,,476.80M,,2.223B,,,,1.455B,,469.50M,4.625B,,,,,,,5.832B,-3.426B,2.406B,,,,,,2.206B,4.612B,9.236B,,702.60M,,,,702.60M,,702.60M,,400.00M,,400.00M,,,1.952B,3.055B,735.80M,,735.80M,,,,,1.215B,1.951B,5.006B,,1.70M,4.712B,,,1.70M,,,,4.231B,,,
1991-09,503.80M,,503.80M,,2.486B,,,,1.387B,,445.80M,4.823B,,,,,,,5.888B,-3.426B,2.461B,,1.026B,1.026B,,,1.169B,4.656B,9.479B,,916.60M,,,,916.60M,,916.60M,,274.80M,,274.80M,,,2.131B,3.322B,740.30M,,740.30M,,,,,1.193B,1.933B,5.255B,,1.70M,4.692B,,,1.70M,,,,4.224B,,,
1991-06,390.40M,,390.40M,,2.354B,,,,1.578B,,354.80M,4.677B,,,,,,,5.848B,-3.338B,2.510B,,,,,,2.309B,4.820B,9.497B,,804.40M,,,,804.40M,,804.40M,,839.50M,,839.50M,,,1.767B,3.410B,737.60M,,737.60M,,,,,1.159B,1.897B,5.307B,,1.80M,4.920B,,,1.80M,,,,4.190B,,,
1991-03,300.30M,,300.30M,,2.333B,,,,1.641B,,365.60M,4.640B,,,,,,,5.920B,-3.338B,2.582B,,,,,,2.308B,4.890B,9.530B,,862.70M,,,,862.70M,,862.70M,,737.20M,,737.20M,,,1.829B,3.429B,744.20M,,744.20M,,,,,1.154B,1.898B,5.327B,,1.80M,4.560B,,,1.80M,,,,4.203B,,,
1990-12,360.00M,,360.00M,,2.262B,,,,1.652B,,344.30M,4.618B,,,,,,,5.982B,-3.338B,2.644B,,,,,,2.300B,4.944B,9.562B,,864.90M,,,,864.90M,,864.90M,,912.50M,,912.50M,,,1.846B,3.624B,550.10M,,550.10M,,,,,1.172B,1.722B,5.346B,,1.80M,4.551B,,,1.80M,,,,4.216B,,,
1990-09,411.20M,,411.20M,,2.426B,,,,1.620B,,318.80M,4.775B,,,,,,,6.006B,-3.338B,2.668B,,1.172B,1.172B,,,1.123B,4.963B,9.738B,,1.146B,,,,1.146B,,1.146B,,802.70M,,802.70M,,,1.894B,3.843B,552.90M,,552.90M,,,,,1.156B,1.709B,5.552B,,1.90M,4.460B,,,1.90M,,,,4.186B,,,
1990-06,354.70M,,354.70M,,2.265B,,,,1.664B,,329.10M,4.614B,,,,,,,5.552B,-2.981B,2.571B,,,,,,2.236B,4.807B,9.420B,,933.00M,,,,933.00M,,933.00M,,824.60M,,824.60M,,,1.822B,3.58B,548.80M,,548.80M,,,,,1.152B,1.701B,5.281B,,2.00M,4.436B,,,2.00M,,,,4.140B,,,
1990-03,234.20M,,234.20M,,2.228B,,,,1.656B,,343.20M,4.460B,,,,,,,5.564B,-2.981B,2.584B,,,,,,2.173B,4.757B,9.218B,,877.30M,,,,877.30M,,877.30M,,810.40M,,810.40M,,,1.770B,3.457B,551.40M,,551.40M,,,,,1.137B,1.688B,5.146B,,2.00M,4.389B,,,2.00M,,,,4.072B,,,
1989-12,145.40M,,145.40M,,2.152B,,,,1.627B,,350.40M,4.275B,,,,,,,5.544B,-2.981B,2.563B,,,,,,2.195B,4.757B,9.033B,,843.70M,,,,843.70M,,843.70M,,847.20M,,847.20M,,,1.665B,3.356B,549.50M,,549.50M,,,,,1.112B,1.661B,5.018B,,2.00M,4.304B,,,2.00M,,,,4.015B,,,
1989-09,332.40M,,332.40M,,2.137B,,,,1.574B,,323.10M,4.367B,,,,,,,5.575B,-2.981B,2.594B,,1.095B,1.095B,,,883.20M,4.572B,8.939B,,1.069B,,,,1.069B,,1.069B,,769.50M,,769.50M,,,1.643B,3.482B,552.10M,,552.10M,,,,,926.90M,1.479B,4.961B,,2.10M,4.237B,,,2.10M,,,,3.978B,,,
1989-06,289.30M,,289.30M,,2.123B,,,,1.634B,,329.50M,4.375B,,,,,,,5.391B,-2.887B,2.504B,,1.105B,1.105B,,,813.80M,4.423B,8.799B,,923.60M,,,,923.60M,,923.60M,,485.80M,,485.80M,,,1.728B,3.137B,746.80M,,746.80M,,,,,959.70M,1.706B,4.844B,,2.10M,4.176B,,,2.10M,,,,3.955B,,,
1988-09,899.70M,,899.70M,,2.209B,,,,1.527B,,289.40M,4.925B,,,,,,,5.527B,-2.887B,2.640B,,1.054B,1.054B,,,589.70M,4.284B,9.208B,,,,,,,,,,203.70M,,203.70M,,,3.592B,3.796B,745.30M,,745.30M,974.30M,974.30M,,,2.30M,1.722B,5.518B,,,3.716B,,,,,,,3.691B,,,
1987-09,1.103B,,1.103B,,1.990B,,,,1.452B,,76.90M,4.622B,,,,,,,5.230B,-2.561B,2.669B,,1.098B,1.098B,,,350.10M,4.117B,8.739B,,,,,,,,,,151.60M,,151.60M,,,3.841B,3.992B,762.60M,,762.60M,670.00M,670.00M,,,2.50M,1.435B,5.428B,,,3.100B,,,,,,,3.312B,,,
1986-09,756.90M,,756.90M,,1.703B,,,,1.300B,,77.10M,3.838B,,,,,,,4.799B,-2.179B,2.620B,,1.046B,1.046B,,,199.10M,3.866B,7.703B,,,,,,,,,,95.70M,,95.70M,,,3.316B,3.411B,627.40M,,627.40M,502.50M,502.50M,,,1.40M,1.131B,4.543B,,,3.270B,,,,,,,3.161B,,,
1985-09,451.50M,,451.50M,,1.725B,,,,1.240B,,75.80M,3.493B,,,,,,,4.339B,-1.815B,2.524B,,1.132B,1.132B,,,184.00M,3.840B,7.333B,,,,,,,,,,122.20M,,122.20M,,,3.195B,3.318B,647.50M,,647.50M,419.50M,419.50M,,,1.60M,1.069B,4.386B,,,2.843B,,,,,,,2.947B,,,
1984-09,1.148B,,1.148B,,1.520B,,,,896.10M,,48.40M,3.613B,,,,,,,3.508B,-1.518B,1.990B,,92.10M,92.10M,,,174.30M,2.257B,5.870B,,,,,,,,,,53.00M,,53.00M,,,2.786B,2.840B,218.60M,,218.60M,97.50M,97.50M,,,195.10M,511.20M,3.351B,,,2.441B,,,,,,,2.519B,,,
