,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,810.00M,810.00M,382.80M,427.20M,16.60M,26.20M,,,,246.30M,355.10M,72.10M,,,,16.60M,,51.00M,14.70M,36.30M,-2.20M,,,,34.10M,24.48M,171.30M,99.20M,72.10M,,0.165,-0.01,,0.1119,0.155,,0.1627,-0.01,,0.1097,0.1528,,222.31M,223.16M,0.125,,,
2003-12,579.58M,579.58M,286.90M,292.68M,-9.151M,20.89M,,,,118.86M,195.68M,97.00M,,,,-9.151M,,63.83M,21.13M,42.70M,5.906M,-0.017M,,,48.59M,48.82M,188.57M,91.57M,97.00M,,0.195,0.025,0.00,0.2226,0.22,,0.195,0.025,0.0009,0.2226,0.22,,221.77M,221.77M,0.125,,,
2003-09,743.64M,743.64M,235.41M,508.24M,4.899M,21.17M,,,,244.73M,343.97M,164.27M,,,,4.899M,,126.19M,41.61M,84.58M,18.66M,,-4.087M,,103.23M,81.29M,261.45M,97.18M,164.27M,,0.39,0.085,,0.3750,0.475,,0.385,0.085,,0.3700,0.47,,218.44M,218.87M,0.125,,,
2003-06,659.50M,659.50M,219.83M,439.67M,9.237M,20.78M,,,,284.46M,381.43M,58.24M,,,,9.237M,,17.95M,6.217M,11.73M,20.42M,,-3.968M,,32.15M,5.692M,147.11M,88.87M,58.24M,,0.065,0.11,,0.0325,0.175,,0.0630,0.1098,,0.0306,0.1728,,185.82M,186.04M,0.125,,,
2003-03,908.23M,908.23M,196.24M,711.99M,-4.254M,26.08M,,,,531.09M,635.05M,76.94M,,,,-4.254M,,22.82M,8.176M,14.64M,-9.134M,-5.983M,-4.158M,,-0.478M,17.37M,175.42M,98.48M,76.94M,,0.08,-0.05,0.00,0.0948,-0.005,,0.0791,-0.05,-0.0323,0.0938,-0.005,,185.02M,185.08M,0.125,,,
2002-12,681.78M,681.78M,381.56M,300.22M,24.65M,24.02M,,,,121.06M,205.39M,94.83M,,,,24.65M,,72.97M,12.23M,60.74M,-14.63M,,,,46.11M,40.22M,176.78M,81.94M,94.83M,,0.285,-0.03,,0.1719,0.255,,0.285,-0.03,,0.1719,0.255,,181.51M,181.51M,0.25,,,
2002-09,659.43M,659.43M,217.65M,441.77M,-16.95M,26.49M,,,,211.28M,309.35M,132.42M,,,,-16.95M,,74.42M,27.77M,46.66M,-1.926M,,,,44.73M,57.28M,204.00M,59.97M,132.42M,,0.255,-0.01,,0.3133,0.245,,0.255,-0.01,,0.3132,0.245,,182.36M,182.52M,0.25,,,
2002-06,615.22M,615.22M,165.83M,449.39M,-6.617M,27.62M,,,,272.40M,385.60M,63.79M,,,,-6.617M,,8.044M,1.729M,6.315M,,,,,6.315M,11.51M,168.94M,105.15M,63.79M,,0.035,0.00,,0.0637,0.035,,0.035,0.00,,0.0637,0.035,,181.11M,181.11M,0.25,,,
2002-03,571.44M,571.44M,134.95M,436.49M,-8.073M,27.79M,,,,290.33M,393.80M,42.69M,,,,-8.073M,,-4.85M,2.941M,-7.791M,17.53M,,,,9.743M,-2.947M,129.30M,86.60M,42.69M,,-0.045,0.10,,-0.0181,0.055,,-0.045,0.10,,-0.0181,0.055,,179.93M,180.11M,0.25,,,
2001-12,503.41M,503.41M,129.10M,374.31M,-23.19M,18.51M,,,,272.65M,329.22M,45.08M,,,,-23.19M,,-14.31M,-13.35M,-0.96M,,0.00,,,56.11M,12.95M,144.17M,99.09M,45.08M,,-0.05,0.465,0.00,0.0324,0.335,,-0.05,0.465,0.0013,0.0322,0.335,,168.90M,169.22M,0.25,,,
2001-09,666.26M,666.26M,203.07M,463.19M,12.33M,25.64M,,,,218.32M,329.47M,133.73M,,,,12.33M,,103.26M,33.93M,69.33M,,,,,69.33M,61.05M,219.23M,63.62M,133.73M,,0.435,0.00,,0.3828,0.435,,0.435,0.00,,0.3828,0.435,,158.70M,158.70M,0.25,,,
2001-06,611.84M,611.84M,189.08M,422.76M,12.70M,29.54M,,,,239.05M,354.75M,68.02M,,,,12.70M,,34.62M,11.32M,23.30M,,,,,23.30M,14.76M,162.68M,94.66M,68.02M,,0.145,0.00,,0.0918,0.145,,0.145,0.00,,0.0918,0.145,,160.69M,160.69M,0.25,,,
2001-03,852.71M,852.71M,173.92M,678.80M,11.49M,28.44M,,,,476.45M,589.52M,89.28M,,,,11.49M,,51.64M,18.26M,33.38M,,,,,33.38M,25.96M,187.27M,98.00M,89.28M,,0.21,0.00,,0.1633,0.21,,0.21,0.00,,0.1633,0.21,,158.98M,158.98M,0.25,,,
2000-12,427.84M,427.84M,146.76M,281.08M,1.217M,18.65M,,,,184.78M,233.69M,47.39M,,,,1.217M,,22.08M,12.30M,9.777M,,0.00,,,60.82M,9.047M,147.79M,100.40M,47.39M,,0.06,0.22,0.00,0.0554,0.385,,0.055,0.215,-0.0001,0.0504,0.375,,157.54M,158.84M,0.25,,,
2000-09,658.42M,658.42M,166.16M,492.26M,339.46M,26.21M,,,,213.44M,352.24M,140.02M,,,,339.46M,,434.94M,175.40M,259.54M,,16.71M,,,276.25M,55.87M,252.62M,90.79M,140.02M,,1.645,0.105,0.00,0.3560,1.75,,1.64,0.105,0.1055,0.3535,1.745,,158.01M,158.32M,0.25,,,
2000-06,523.88M,523.88M,138.90M,384.98M,7.565M,26.61M,,,,220.23M,324.81M,60.17M,,,,7.565M,,68.32M,26.04M,42.28M,,,,,42.28M,37.60M,147.83M,87.66M,60.17M,,0.225,0.00,,0.1954,0.225,,0.225,0.00,,0.1954,0.225,,158.02M,158.02M,0.25,,,
2000-03,574.06M,574.06M,131.62M,442.44M,21.72M,26.35M,,,,251.79M,354.06M,88.39M,,,,21.72M,,31.76M,12.44M,19.32M,,,,,19.32M,6.104M,176.42M,88.03M,88.39M,,0.12,0.00,,0.0363,0.12,,0.12,0.00,,0.0363,0.12,,157.99M,157.99M,0.25,,,
1999-12,496.67M,496.67M,,,,,,,,,,-1.255B,,,,,,,,44.78M,,,,,44.78M,44.78M,-1.185B,69.82M,-1.255B,,0.02,0.265,,0.02,0.285,,0.02,0.265,,0.02,0.285,,157.43M,157.43M,0.25,,,
1999-09,598.30M,598.30M,,,,,,,,,,598.30M,,,,,,,,71.50M,,,,,71.50M,71.50M,684.00M,85.70M,598.30M,,0.455,0.00,,0.455,0.455,,0.455,0.00,,0.455,0.455,,157.14M,157.14M,0.25,,,
1999-06,486.11M,486.11M,148.50M,337.61M,37.10M,26.70M,,,,170.70M,277.40M,60.21M,,,,37.10M,,62.70M,24.20M,38.50M,,,,,38.50M,15.72M,140.21M,80.00M,60.21M,,0.245,0.00,,0.0994,0.245,,0.245,0.00,,0.0994,0.245,,156.43M,156.43M,0.25,,,
1999-03,546.86M,546.86M,198.80M,348.06M,6.80M,27.20M,,,,141.30M,255.00M,93.06M,,,,6.80M,,66.60M,24.90M,41.70M,,,,,41.70M,37.44M,179.56M,86.50M,93.06M,,0.27,0.00,,0.2426,0.27,,0.27,0.00,,0.2426,0.27,,155.56M,155.56M,0.25,,,
1998-12,528.27M,528.27M,,,,,,,,,,-1.319B,,,,,,,,25.20M,,,,,25.20M,25.20M,-1.319B,,-1.319B,,0.165,0.00,,0.165,0.165,,0.165,0.00,,0.165,0.165,,154.01M,154.01M,0.25,,,
1998-09,555.30M,555.30M,,,,,,,,,,555.30M,,,,,,,,51.70M,,,,,51.70M,51.70M,555.30M,,555.30M,,0.335,0.00,,0.335,0.335,,0.335,0.00,,0.335,0.335,,154.33M,154.33M,0.25,,,
1998-06,491.00M,491.00M,166.80M,324.20M,-11.00M,26.60M,,,,191.60M,291.80M,32.40M,,,,-11.00M,,-11.00M,-1.40M,-9.60M,,,,,-9.60M,0.00,106.00M,,32.40M,,-0.06,0.00,,0.00,-0.06,,-0.06,0.00,,0.00,-0.06,,160.00M,160.00M,0.25,,,
1998-03,556.30M,556.30M,203.00M,353.30M,3.90M,27.00M,,,,169.10M,279.50M,73.80M,,,,3.90M,,46.70M,17.80M,28.90M,,,,,28.90M,26.49M,157.20M,,73.80M,,0.255,0.00,,0.2158,0.255,,0.25,0.00,,0.2108,0.25,,61.58M,61.58M,0.25,,,
1997-12,586.23M,586.23M,211.50M,374.73M,6.20M,25.30M,,,,202.30M,308.20M,66.53M,,,,6.20M,,38.70M,9.60M,29.10M,,,,,29.10M,24.44M,147.13M,,66.53M,,0.27,0.00,,0.1953,0.27,,0.27,0.00,,0.1953,0.27,,62.37M,62.37M,0.25,,,
1997-09,556.90M,556.90M,159.80M,397.10M,2.40M,25.40M,,,,186.80M,276.70M,120.40M,,,,2.40M,,91.00M,36.00M,55.00M,,,,,55.00M,53.55M,184.90M,,120.40M,,0.225,0.00,,0.2015,0.225,,0.225,0.00,,0.2015,0.225,,61.60M,61.60M,0.25,,,
1997-06,493.80M,493.80M,164.50M,329.30M,1.70M,26.30M,,,,181.10M,270.90M,58.40M,,,,1.70M,,31.10M,10.20M,20.90M,,,,,20.90M,19.76M,121.90M,,58.40M,,0.145,0.00,,0.1264,0.145,,0.145,0.00,,0.1264,0.145,,61.41M,61.41M,0.25,,,
1997-03,261.70M,261.70M,,,,,,,,,,261.70M,,,,,,,,21.80M,,,,,21.80M,21.80M,261.70M,,261.70M,,0.355,0.00,,0.355,0.355,,0.355,0.00,,0.355,0.355,,61.41M,61.41M,0.25,,,
1996-12,1.551B,1.551B,,,,,,,,,,2.119B,,,,,,,,95.00M,-0.10M,,,,94.90M,95.00M,2.119B,,2.119B,,0.03,0.01,,0.03,0.04,,0.03,0.01,,0.03,0.04,,61.52M,61.52M,0.2462,,,
1996-09,212.20M,212.20M,59.00M,153.20M,1.30M,8.30M,,,,92.10M,124.30M,28.90M,,,,1.30M,,21.20M,7.30M,13.90M,-1.20M,,,,12.70M,13.05M,52.80M,,28.90M,,0.225,-0.02,,0.2112,0.205,,0.225,-0.02,,0.2112,0.205,,61.95M,61.95M,0.2465,,,
1996-06,208.30M,208.30M,59.40M,148.90M,6.10M,8.90M,,,,85.60M,117.70M,31.20M,,,,6.10M,,26.90M,10.40M,16.50M,,,,,16.50M,12.76M,54.40M,,31.20M,,0.27,0.00,,0.2088,0.27,,0.27,0.00,,0.2088,0.27,,61.11M,61.11M,0.2465,,,
1996-03,260.80M,260.80M,89.30M,171.50M,4.00M,9.20M,,,,83.00M,117.50M,54.00M,,,,4.00M,,49.20M,17.50M,31.70M,,,,,31.70M,29.12M,79.30M,,54.00M,,0.515,0.00,,0.4731,0.515,,0.515,0.00,,0.4731,0.515,,61.55M,61.55M,0.2462,,,
1995-12,197.80M,197.80M,63.20M,134.60M,1.70M,7.30M,,,,60.20M,90.20M,44.40M,,,,1.70M,,32.40M,8.10M,24.30M,,,,,11.10M,23.02M,67.10M,,44.40M,,0.395,-0.215,,0.3744,0.18,,0.395,-0.215,,0.3744,0.18,,61.91M,61.91M,0.2425,,,
1995-09,201.40M,201.40M,58.20M,143.20M,1.50M,8.20M,,,,69.60M,102.30M,40.90M,,,,1.50M,,32.60M,11.90M,20.70M,,,,,20.70M,19.75M,65.40M,,40.90M,,0.34,0.00,,0.3244,0.34,,0.34,0.00,,0.3244,0.34,,60.88M,60.88M,0.2425,,,
1995-06,183.20M,183.20M,51.50M,131.70M,-0.10M,9.30M,,,,79.30M,111.70M,20.00M,,,,-0.10M,,9.30M,2.40M,6.90M,,,,,6.90M,6.974M,43.10M,,20.00M,,0.11,0.00,,0.1112,0.11,,0.11,0.00,,0.1112,0.11,,62.73M,62.73M,0.2425,,,
1995-03,215.90M,215.90M,70.70M,145.20M,0.40M,9.30M,,,,67.60M,100.70M,44.50M,,,,0.40M,,34.10M,14.00M,20.10M,-0.40M,,,,19.70M,19.86M,68.30M,,44.50M,,0.32,0.00,,0.3161,0.32,,0.32,0.00,,0.3161,0.32,,61.56M,61.56M,0.2425,,,
1994-12,176.90M,176.90M,63.10M,113.80M,-0.60M,7.90M,,,,51.00M,83.60M,30.20M,,,,-0.60M,,23.30M,8.90M,14.40M,,,,,13.20M,14.77M,54.90M,,30.20M,,0.215,0.00,,0.2210,0.215,,0.215,0.00,,0.2210,0.215,,61.35M,61.35M,0.24,,,
1994-09,198.80M,198.80M,57.30M,141.50M,2.00M,8.20M,,,,79.20M,108.00M,33.50M,,,,2.00M,,24.60M,9.30M,15.30M,,,,,15.30M,14.06M,54.10M,,33.50M,,0.25,0.00,,0.2297,0.25,,0.25,0.00,,0.2297,0.25,,61.20M,61.20M,0.24,,,
1994-06,183.80M,183.80M,56.40M,127.40M,4.20M,8.70M,,,,77.30M,106.50M,20.90M,,,,4.20M,,16.00M,5.70M,10.30M,,,,,10.30M,7.596M,41.40M,,20.90M,,0.165,0.00,,0.1217,0.165,,0.165,0.00,,0.1217,0.165,,62.42M,62.42M,0.24,,,
1994-03,236.10M,236.10M,85.50M,150.60M,5.30M,9.00M,,,,71.20M,103.50M,47.10M,,,,5.30M,,42.40M,16.00M,26.40M,,,,,26.40M,23.10M,70.40M,,47.10M,,0.435,0.00,,0.3806,0.435,,0.435,0.00,,0.3806,0.435,,60.69M,60.69M,0.24,,,
1993-12,226.90M,226.90M,,,,,,,,,,226.90M,,,,,,,,22.50M,,,,,22.50M,22.50M,226.90M,,226.90M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,64.30M,64.30M,0.2375,,,
1993-09,173.90M,173.90M,,,,,,,,,,173.90M,,,,,,,,13.30M,,,,,13.30M,13.30M,173.90M,,173.90M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,60.45M,60.45M,0.2375,,,
1993-06,168.50M,168.50M,,,,,,,,,,168.50M,,,,,,,,7.00M,,,,,7.00M,7.00M,168.50M,,168.50M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,58.33M,58.33M,0.2375,,,
1993-03,203.80M,203.80M,,,,,,,,,,203.80M,,,,,,,,19.70M,,,,,19.70M,19.70M,203.80M,,203.80M,,0.355,0.00,,0.355,0.355,,0.355,0.00,,0.355,0.355,,55.49M,55.49M,0.2375,,,
1992-12,182.10M,182.10M,,,,,,,,,,182.10M,,,,,,,,19.40M,,,,,19.40M,19.40M,182.10M,,182.10M,,0.355,0.00,,0.355,0.355,,0.355,0.00,,0.355,0.355,,54.97M,54.97M,0.2325,,,
1992-09,151.40M,151.40M,,,,,,,,,,151.40M,,,,,,,,12.10M,,,,,12.10M,12.10M,151.40M,,151.40M,,0.225,0.00,,0.225,0.225,,0.225,0.00,,0.225,0.225,,53.78M,53.78M,0.2325,,,
1992-06,140.20M,140.20M,,,,,,,,,,140.20M,,,,,,,,7.10M,,,,,7.10M,7.10M,140.20M,,140.20M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,54.62M,54.62M,0.2325,,,
1992-03,178.00M,178.00M,,,,,,,,,,178.00M,,,,,,,,18.40M,,,,,18.40M,18.40M,178.00M,,178.00M,,0.345,0.00,,0.345,0.345,,0.345,0.00,,0.345,0.345,,53.33M,53.33M,0.2325,,,
1991-12,171.60M,171.60M,,,,,,,,,,171.60M,,,,,,,,17.90M,,,,,17.90M,17.90M,171.60M,,171.60M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,54.34M,54.34M,0.225,,,
1991-09,152.20M,152.20M,,,,,,,,,,152.20M,,,,,,,,17.90M,,,,,17.90M,17.90M,152.20M,,152.20M,,0.335,0.00,,0.335,0.335,,0.335,0.00,,0.335,0.335,,53.43M,53.43M,0.225,,,
1991-06,147.90M,147.90M,,,,,,,,,,147.90M,,,,,,,,10.30M,,,,,10.30M,10.30M,147.90M,,147.90M,,0.195,0.00,,0.195,0.195,,0.195,0.00,,0.195,0.195,,52.82M,52.82M,0.225,,,
1991-03,177.10M,177.10M,,,,,,,,,,177.10M,,,,,,,,18.80M,,,,,18.80M,18.80M,177.10M,,177.10M,,0.355,0.00,,0.355,0.355,,0.355,0.00,,0.355,0.355,,52.96M,52.96M,0.225,,,
1990-12,163.30M,163.30M,,,,,,,,,,163.30M,,,,,,,,12.70M,,,,,12.70M,12.70M,163.30M,,163.30M,,0.235,0.00,,0.235,0.235,,0.235,0.00,,0.235,0.235,,53.91M,53.91M,0.2175,,,
1990-09,144.40M,144.40M,,,,,,,,,,144.40M,,,,,,,,17.90M,,,,,17.90M,17.90M,144.40M,,144.40M,,0.335,0.00,,0.335,0.335,,0.335,0.00,,0.335,0.335,,53.43M,53.43M,0.2175,,,
1990-06,137.70M,137.70M,,,,,,,,,,137.70M,,,,,,,,9.10M,,,,,9.10M,9.10M,137.70M,,137.70M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,53.53M,53.53M,0.2175,,,
1990-03,173.10M,173.10M,,,,,,,,,,173.10M,,,,,,,,19.80M,,,,,19.80M,19.80M,173.10M,,173.10M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,53.51M,53.51M,0.2175,,,
1989-12,156.20M,156.20M,,,,,,,,,,156.20M,,,,,,,,19.20M,,,,,19.20M,19.20M,156.20M,,156.20M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,53.31M,53.31M,0.21,,,
1989-09,138.50M,138.50M,,,,,,,,,,138.50M,,,,,,,,6.90M,,,,,6.90M,6.90M,138.50M,,138.50M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,53.08M,53.08M,0.21,,,
1989-06,131.90M,131.90M,,,,,,,,,,131.90M,,,,,,,,8.40M,,,,,8.40M,8.40M,131.90M,,131.90M,,0.155,0.00,,0.155,0.155,,0.155,0.00,,0.155,0.155,,54.19M,54.19M,0.21,,,
1989-03,178.20M,178.20M,,,,,,,,,,178.20M,,,,,,,,17.00M,,,,,17.00M,17.00M,178.20M,,178.20M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,53.12M,53.12M,0.21,,,
1988-12,155.70M,155.70M,,,,,,,,,,155.70M,,,,,,,,12.60M,,,,,12.60M,12.60M,155.70M,,155.70M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,54.45M,54.45M,0.2025,,,
1988-09,140.70M,140.70M,,,,,,,,,,140.70M,,,,,,,,17.00M,,,,,17.00M,17.00M,140.70M,,140.70M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,53.12M,53.12M,0.2025,,,
1988-06,132.60M,132.60M,,,,,,,,,,132.60M,,,,,,,,10.70M,,,,,10.70M,10.70M,132.60M,,132.60M,,0.205,0.00,,0.205,0.205,,0.205,0.00,,0.205,0.205,,52.20M,52.20M,0.2025,,,
1988-03,171.90M,171.90M,,,,,,,,,,171.90M,,,,,,,,17.60M,,,,,17.60M,17.60M,171.90M,,171.90M,,0.335,0.00,,0.335,0.335,,0.335,0.00,,0.335,0.335,,52.54M,52.54M,,,,
1987-12,141.40M,141.40M,,,,,,,,,,141.40M,,,,,,,,17.20M,,,,,17.20M,,141.40M,,141.40M,,,,,,,,,,,,,,52.95M,52.95M,,,,
1987-09,127.30M,127.30M,,,,,,,,,,127.30M,,,,,,,,14.50M,,,,,14.50M,,127.30M,,127.30M,,0.255,0.00,,0.255,0.255,,0.255,0.00,,0.255,0.255,,52.95M,52.95M,,,,
1987-06,123.30M,123.30M,,,,,,,,,,123.30M,,,,,,,,11.00M,,,,,11.00M,,123.30M,,123.30M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,52.95M,52.95M,,,,
1987-03,157.40M,157.40M,,,,,,,,,,157.40M,,,,,,,,16.00M,,,,,16.00M,,157.40M,,157.40M,,0.285,0.00,,0.285,0.285,,0.285,0.00,,0.285,0.285,,52.95M,52.95M,,,,
1986-12,149.00M,149.00M,,,,,,,,,,149.00M,,,,,,,,19.30M,,,,,19.30M,,149.00M,,149.00M,,,,,,,,,,,,,,52.95M,52.95M,,,,
1986-09,126.20M,126.20M,,,,,,,,,,126.20M,,,,,,,,14.10M,,,,,14.10M,,126.20M,,126.20M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,52.95M,52.95M,,,,
1986-06,123.80M,123.80M,,,,,,,,,,123.80M,,,,,,,,9.50M,,,,,9.50M,,123.80M,,123.80M,,0.165,0.00,,0.165,0.165,,0.165,0.00,,0.165,0.165,,52.95M,52.95M,,,,
1986-03,170.20M,170.20M,,,,,,,,,,170.20M,,,,,,,,17.60M,,,,,17.60M,,170.20M,,170.20M,,0.315,0.00,,0.315,0.315,,0.315,0.00,,0.315,0.315,,52.95M,52.95M,,,,
1985-12,165.90M,165.90M,,,,,,,,,,165.90M,,,,,,,,16.10M,,,,,16.10M,,165.90M,,165.90M,,,,,,,,,,,,,,52.95M,52.95M,,,,
1985-09,127.40M,127.40M,,,,,,,,,,127.40M,,,,,,,,17.00M,,,,,17.00M,,127.40M,,127.40M,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,52.95M,52.95M,,,,
1985-06,125.60M,125.60M,,,,,,,,,,125.60M,,,,,,,,8.00M,,,,,8.00M,,125.60M,,125.60M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,52.95M,52.95M,,,,
1985-03,170.00M,170.00M,,,,,,,,,,170.00M,,,,,,,,19.60M,,,,,19.60M,,170.00M,,170.00M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,52.95M,52.95M,,,,
1984-12,145.60M,145.60M,,,,,,,,,,145.60M,,,,,,,,16.40M,,,,,16.40M,,145.60M,,145.60M,,,,,,,,,,,,,,52.95M,52.95M,,,,
1984-09,124.90M,124.90M,,,,,,,,,,124.90M,,,,,,,,13.90M,,,,,13.90M,,124.90M,,124.90M,,0.245,0.00,,0.245,0.245,,0.245,0.00,,0.245,0.245,,52.04M,52.04M,,,,
1984-06,131.70M,131.70M,,,,,,,,,,131.70M,,,,,,,,9.60M,,,,,9.60M,,131.70M,,131.70M,,0.165,0.00,,0.165,0.165,,0.165,0.00,,0.165,0.165,,51.58M,51.58M,,,,
1984-03,173.30M,173.30M,,,,,,,,,,173.30M,,,,,,,,18.40M,,,,,18.40M,,173.30M,,173.30M,,0.335,0.00,,0.335,0.335,,0.335,0.00,,0.335,0.335,,51.03M,51.03M,,,,
