,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,62.90M,,,,-11.30M,,95.70M,-14.50M,,29.60M,204.30M,-64.50M,,-19.40M,-44.60M,5.90M,,81.70M,-3.20M,240.90M,,-206.40M,41.40M,-165.00M,,,-22.30M,-187.30M,,,,-46.10M,1.90M,-2.90M,-1.00M,,-26.90M,,1.40M,-72.60M,,37.10M,-19.00M,18.10M,,1.90M,,,-2.90M,38.50M,109.30M,,,
2006-03,105.70M,,,,3.30M,,85.00M,-11.00M,,14.00M,15.30M,173.20M,,-137.30M,22.20M,70.60M,,144.00M,-1.30M,339.70M,,-214.50M,0.10M,-214.40M,,,0.20M,-214.20M,,,,-130.20M,5.70M,-10.20M,-4.50M,,-26.90M,,,-161.60M,,73.20M,-36.10M,37.10M,,5.70M,,,-10.20M,7.80M,1.50M,,,
2005-12,85.50M,,,,22.10M,,72.00M,-7.10M,,-18.90M,-283.50M,52.60M,,65.30M,-18.90M,-30.30M,75.30M,-139.50M,-1.20M,12.90M,,-228.50M,72.20M,-156.30M,,,-59.00M,-225.80M,,,,287.00M,2.90M,-4.80M,-1.90M,,-25.70M,,,256.30M,,29.80M,43.40M,73.20M,,2.90M,,,-4.80M,-50.20M,83.90M,,,
2005-09,66.20M,,,,-1.70M,,94.50M,53.10M,,31.60M,76.70M,-187.60M,,36.20M,18.70M,4.20M,-69.20M,-121.00M,6.30M,129.00M,,-194.80M,6.90M,-187.90M,,0.00,1.80M,-186.10M,,,,96.00M,6.40M,-10.40M,-4.00M,,-25.70M,,,66.30M,,20.60M,9.20M,29.80M,,6.40M,,,-10.40M,-2.60M,10.20M,,,
2005-06,62.00M,,,,-8.00M,,95.40M,32.50M,,-35.50M,142.60M,-109.70M,,28.60M,-14.10M,-130.30M,,-82.90M,-5.20M,58.30M,,-153.20M,48.00M,-105.20M,,,-17.00M,-122.20M,,,,103.10M,18.80M,-30.10M,-11.30M,,-25.80M,,,66.00M,,18.50M,2.10M,20.60M,,18.80M,,,-30.10M,84.90M,89.50M,,,
2005-03,89.90M,,,,4.00M,,88.10M,-15.10M,,47.80M,-60.40M,196.20M,,-36.70M,20.80M,42.00M,,161.90M,0.10M,376.70M,,-168.60M,6.70M,-161.90M,,,-1.10M,-163.00M,,,,-194.20M,18.90M,-29.80M,-10.90M,,-25.70M,,,-230.80M,,35.60M,-17.10M,18.50M,,18.90M,,,-29.80M,15.40M,11.80M,,,
2004-12,5.80M,,,,151.50M,,88.30M,128.60M,,63.30M,-204.60M,19.40M,,65.30M,-62.80M,-101.30M,-140.10M,-424.10M,,13.40M,,-220.80M,-2.70M,-223.50M,,,25.20M,-224.70M,,,,229.10M,7.30M,-12.10M,-4.80M,,-24.60M,,,199.20M,,47.70M,-12.10M,35.60M,,7.30M,,,-12.10M,-21.40M,93.30M,,,
2004-09,108.90M,,,,-25.90M,,77.20M,-155.70M,,-31.60M,50.00M,-112.70M,,-6.90M,21.00M,35.70M,131.60M,118.70M,,91.60M,,-160.80M,886.40M,725.60M,,,-43.00M,682.60M,,,,-697.10M,15.80M,-41.90M,-26.10M,,-24.70M,,,-747.90M,,21.40M,26.30M,47.70M,,15.80M,,,-41.90M,44.40M,22.70M,,,
2004-06,21.50M,,,,-95.00M,,92.40M,11.60M,,18.20M,150.90M,-85.60M,,13.50M,9.70M,-34.90M,,53.60M,,102.30M,,-120.50M,12.70M,-107.80M,,,26.90M,-80.90M,,,,39.20M,28.20M,-60.40M,-32.20M,,-24.80M,,,-17.80M,,17.80M,3.60M,21.40M,,28.20M,,,-60.40M,41.30M,94.90M,,,
2004-03,83.40M,,,,8.60M,,94.70M,22.00M,,13.40M,-45.20M,158.50M,,-34.30M,12.10M,78.50M,,169.60M,,391.70M,,-134.40M,3.20M,-131.20M,,,-3.00M,-134.20M,,,,-225.40M,19.60M,-38.30M,-18.70M,,-23.70M,,,-267.80M,,28.10M,-10.30M,17.80M,,19.60M,,,-38.30M,16.20M,21.30M,,,
2003-12,28.20M,,,,79.00M,,95.60M,44.80M,,-45.30M,-125.90M,18.60M,,-1.80M,-42.40M,-5.80M,11.50M,-145.80M,,56.50M,,-154.30M,41.60M,-112.70M,-3.50M,,-0.50M,-116.70M,,,,73.00M,20.10M,0.00,20.10M,,-23.70M,,-1.20M,68.20M,,20.10M,8.00M,28.10M,,20.10M,,,0.00,-9.10M,94.40M,,,
2003-09,30.90M,,,,6.90M,,98.40M,30.90M,,-6.20M,48.60M,-95.70M,,-3.90M,13.70M,-1.50M,-11.50M,-50.30M,,110.60M,,-187.90M,1.10M,-186.80M,-0.10M,,27.70M,-159.20M,,,,56.10M,13.50M,0.00,13.50M,,-23.40M,,-1.50M,44.70M,,24.00M,-3.90M,20.10M,,13.50M,,,0.00,0.20M,17.10M,,,
2003-06,49.30M,,,,-71.40M,,98.20M,3.40M,,15.90M,178.40M,-82.60M,,-49.60M,-11.40M,-39.30M,,-4.50M,,90.90M,,-169.90M,10.40M,-159.50M,0.00,,12.40M,-147.10M,,,,83.70M,18.10M,0.00,18.10M,,-23.40M,,-17.00M,61.40M,,18.90M,5.20M,24.00M,,18.10M,,,0.00,63.00M,82.70M,,,
2003-03,92.00M,,,,11.70M,,93.40M,-14.60M,,-9.70M,-92.00M,87.40M,,27.40M,17.00M,59.30M,,99.10M,,271.90M,,-136.90M,2.20M,-134.70M,-4.00M,,-34.50M,-173.20M,,,,-92.10M,11.20M,-6.80M,4.40M,,-23.20M,,-4.00M,-114.90M,,35.10M,-16.20M,18.90M,,11.20M,,,-6.80M,38.10M,26.70M,,,
2002-12,73.70M,,,,35.90M,,91.30M,70.30M,,13.70M,-144.80M,12.60M,,41.50M,-10.90M,-113.70M,,-215.30M,,69.60M,,-163.30M,246.80M,83.50M,-24.10M,,-11.70M,47.70M,,,,-97.30M,10.30M,0.00,10.30M,,-23.20M,,,-110.20M,,36.50M,7.10M,43.60M,,10.30M,,,0.00,6.00M,86.80M,,,
2002-09,52.10M,,,,19.70M,,76.70M,5.60M,,-15.30M,60.00M,-34.00M,,-5.20M,20.60M,16.40M,,57.80M,,196.60M,,-128.00M,11.70M,-116.30M,-0.70M,,-46.50M,-163.50M,,,,-26.90M,16.00M,-11.20M,4.80M,,-23.00M,,,-45.10M,,48.50M,-12.00M,36.50M,,16.00M,,,-11.20M,7.60M,30.80M,,,
2002-06,45.40M,,,,-20.30M,,104.70M,6.60M,,-20.30M,97.60M,-43.80M,,22.50M,-17.40M,-76.20M,,-17.30M,,98.80M,,-141.10M,29.00M,-112.10M,-14.90M,,-9.90M,-136.90M,,,,79.80M,14.40M,-17.00M,-2.60M,,-23.10M,,,54.10M,,32.50M,16.00M,48.50M,,14.40M,,,-17.00M,67.90M,88.50M,,,
2002-03,-4.20M,,,,144.90M,,89.10M,-107.50M,,-20.30M,36.80M,75.40M,,-54.80M,15.30M,171.60M,,244.30M,,346.30M,,-124.40M,22.50M,-101.90M,,,-11.20M,-113.10M,,,,-212.40M,11.90M,-24.10M,-12.20M,,-23.10M,,,-247.70M,,47.00M,-14.50M,32.50M,,11.90M,,,-24.10M,9.40M,29.50M,,,
2001-12,37.20M,,,,-28.00M,,97.60M,3.80M,,120.60M,-103.10M,-7.70M,,75.30M,3.30M,-69.80M,,-102.00M,,129.20M,,-243.80M,26.40M,-217.40M,-1.30M,,-34.30M,-253.00M,,,,148.20M,10.10M,-36.50M,-26.40M,,-23.20M,,,98.60M,,72.20M,-25.20M,47.00M,,10.10M,,,-36.50M,32.70M,94.00M,,,
2001-09,47.90M,,,,-1.70M,,102.40M,-7.20M,,-22.30M,80.20M,-74.30M,,-38.90M,59.10M,15.80M,,41.90M,,161.00M,,-172.60M,40.10M,-132.50M,-34.40M,,14.10M,-152.80M,,,,36.70M,14.20M,-33.40M,-19.20M,,-23.50M,,,-6.00M,,70.00M,2.20M,72.20M,,14.20M,,,-33.40M,2.70M,19.80M,,,
2001-06,46.10M,,,,-26.70M,,103.70M,3.70M,,-66.20M,227.70M,-55.00M,,-50.20M,-8.20M,-57.00M,33.50M,90.80M,,151.40M,,-131.20M,94.50M,-36.70M,,,98.40M,61.70M,,,,-167.30M,12.50M,-23.90M,-11.40M,,-23.50M,,,-202.20M,,59.10M,10.90M,70.00M,,12.50M,,,-23.90M,88.10M,66.20M,,,
2001-03,87.80M,,,,-4.00M,,106.10M,-8.10M,,,-17.30M,98.30M,,-105.40M,8.20M,-17.90M,-33.50M,-67.60M,,114.20M,,-124.90M,13.60M,-111.30M,,,-8.90M,-120.20M,,,,73.20M,14.80M,-39.80M,-25.00M,,-23.60M,,,24.60M,,40.50M,18.60M,59.10M,,14.80M,,,-39.80M,43.30M,53.10M,,,
2000-12,28.90M,,,,-100.20M,,116.70M,17.40M,,-2.10M,-137.00M,-0.50M,,134.20M,-62.90M,43.30M,,-22.90M,,37.80M,,-149.00M,408.40M,259.40M,-1.40M,,-28.70M,229.30M,,,,-187.20M,18.20M,-79.70M,-61.50M,,-24.20M,,,-272.90M,,46.30M,-5.80M,40.50M,,18.20M,,,-79.70M,36.70M,73.90M,,,
2000-09,44.60M,,,,3.90M,,102.40M,-1.10M,,20.10M,-26.70M,-60.70M,,-12.70M,25.50M,27.40M,,-47.20M,,122.70M,,-159.00M,-25.80M,-184.80M,-32.10M,,-23.60M,-240.50M,,,,184.70M,20.70M,-21.10M,-0.40M,,-47.60M,,,136.70M,,27.40M,18.90M,46.30M,,20.70M,,,-21.10M,10.50M,37.90M,,,
2000-06,30.11M,,,,-7.595M,,67.68M,-3.499M,,-1.409M,4.881M,-43.26M,,24.85M,-4.808M,-59.45M,,-77.80M,,7.486M,,-168.04M,25.80M,-142.24M,-1.201B,,15.26M,-1.328B,,,,1.343B,27.27M,,27.27M,,-46.97M,,,1.323B,,24.75M,2.631M,27.40M,,27.27M,,,,9.345M,80.59M,,,
2000-03,50.59M,,,,-2.005M,,113.42M,-2.501M,,-6.791M,-29.18M,35.56M,,17.15M,64.31M,52.45M,,140.30M,,293.01M,,-134.96M,,-134.96M,,,-46.16M,-181.12M,,,,-137.22M,23.13M,,23.13M,,-46.53M,,,-160.62M,,73.48M,-48.73M,24.75M,,23.13M,,,,25.86M,31.21M,,,
1999-12,37.70M,,,,-7.70M,,66.30M,42.30M,,-79.80M,-34.40M,3.00M,,18.50M,-104.80M,-28.00M,,-145.70M,,-86.90M,,-156.90M,,-145.40M,0.00,,29.40M,-116.00M,,,,255.70M,25.10M,,25.10M,,-46.00M,,1.40M,236.20M,,40.10M,33.30M,73.50M,,25.10M,,,,9.00M,50.00M,,,
1999-09,68.90M,,,,-1.80M,,86.70M,-4.00M,,6.30M,1.80M,-24.70M,,-6.60M,19.10M,19.40M,,9.00M,,165.10M,,-123.90M,,-123.90M,0.00,,-76.20M,-200.10M,,,,69.80M,17.20M,,17.20M,,-45.70M,,-1.40M,39.90M,,35.40M,4.90M,40.10M,,17.20M,,,,39.10M,33.70M,,,
1999-06,48.89M,,,,-2.568M,,78.14M,-1.914M,,-5.817M,-5.339M,-11.75M,,22.26M,1.588M,-47.48M,,-40.72M,,76.00M,,-131.33M,,-131.33M,-276.80M,,-40.87M,-449.00M,,,,323.06M,11.79M,,11.79M,,-45.43M,,,289.42M,,118.88M,-83.58M,35.40M,,11.79M,,,,52.15M,46.98M,,,
1999-03,53.51M,,,,-2.132M,,78.06M,-2.786M,,-21.68M,-18.36M,26.65M,,-47.56M,28.71M,58.28M,,47.72M,,152.70M,,-105.97M,,-105.97M,,,-17.73M,-123.70M,,,,-100.26M,218.71M,,218.71M,,-45.17M,,,73.28M,,16.60M,102.28M,118.88M,,218.71M,,,,14.65M,25.42M,,,
1998-12,52.00M,,,,0.00,,,-2.30M,,-236.30M,-6.10M,-4.20M,,53.20M,-59.10M,-27.00M,,-43.20M,,59.10M,,-118.70M,,-118.70M,,,-48.30M,-167.00M,,,,135.60M,10.20M,,10.20M,,-45.00M,,1.40M,102.20M,,22.40M,-5.70M,16.60M,,10.20M,,,,35.30M,42.40M,,,
1998-09,58.20M,,,,-1.80M,,,-2.70M,,78.00M,-25.40M,-7.20M,,-10.00M,43.10M,14.00M,,14.50M,,146.20M,,-109.60M,,-109.60M,,,-26.40M,-136.00M,,,,44.30M,0.00,,0.00,,-44.90M,,-1.30M,-1.90M,,14.10M,8.30M,22.40M,,0.00,,,,19.40M,26.00M,,,
1998-06,28.90M,,,,-2.00M,,,1.20M,,81.40M,12.80M,-14.90M,,-20.60M,35.60M,-26.80M,,-13.90M,,95.60M,,-92.90M,,-92.90M,,,3.90M,-89.00M,,,,31.00M,0.10M,,0.10M,,-44.00M,,-0.10M,-13.00M,,20.50M,-6.40M,14.10M,,0.10M,,,,38.10M,37.50M,,,
1998-03,49.00M,,,,-1.90M,,,3.10M,,71.30M,-20.90M,25.70M,,13.40M,-8.80M,28.20M,,37.60M,,159.10M,,-77.80M,,-77.80M,,,-8.10M,-85.90M,,,,-28.80M,,,,,-43.50M,,,-72.30M,,19.60M,0.90M,20.50M,,,,,,11.10M,27.30M,,,
1997-12,2.30M,,,,32.20M,,,-4.70M,,72.00M,-23.40M,-14.90M,,32.00M,-70.10M,39.00M,,-37.40M,,64.40M,,-104.20M,,-104.20M,,,-1.00M,-105.20M,,,,68.20M,0.00,,0.00,,-43.40M,,-0.10M,24.70M,,11.10M,-16.10M,19.60M,,0.00,,,,-6.90M,38.90M,,,
1997-09,24.00M,,,,-1.80M,,,3.20M,,57.40M,13.40M,-22.60M,,-12.80M,45.40M,-7.70M,,15.70M,,98.50M,,-99.30M,,-99.30M,,,-23.50M,-122.80M,,,,35.60M,0.00,,0.00,,-43.50M,,,-7.90M,,68.00M,-32.20M,11.10M,,0.00,,,,0.00,21.30M,,,
1997-06,-10.70M,,,,28.40M,,,4.90M,,60.00M,28.60M,-12.70M,,13.70M,-5.60M,-37.80M,,-13.80M,,68.80M,,-76.00M,,-76.00M,,,0.30M,-75.70M,,,,40.10M,13.30M,,13.30M,,-43.30M,,-0.10M,10.00M,,64.80M,3.10M,68.00M,,13.30M,,,,30.00M,30.50M,,,
1997-03,45.10M,,,,-2.30M,,,4.50M,,45.00M,-12.90M,37.40M,,-32.70M,38.80M,38.40M,,69.00M,,161.30M,,-66.40M,,-66.40M,,,9.20M,-57.20M,,,,-23.90M,16.30M,,16.30M,,-42.50M,,0.10M,-50.00M,,10.70M,54.10M,64.80M,,16.30M,,,,19.80M,20.70M,,,
1996-12,56.30M,,,,0.50M,,,-7.90M,,48.80M,-24.20M,-0.30M,,40.40M,-72.40M,12.50M,,-44.00M,,53.70M,,-136.90M,,-136.90M,,,-4.10M,-141.00M,,,,118.30M,14.70M,,14.70M,,-42.30M,,,90.70M,,7.30M,3.40M,10.70M,,14.70M,,,,19.10M,24.80M,,,
1996-09,53.40M,,,,-2.00M,,,2.60M,,69.50M,19.60M,-32.70M,,24.10M,28.20M,-11.40M,,27.80M,,151.30M,,-123.20M,,-123.20M,,,-18.90M,-142.10M,,,,17.70M,8.50M,,8.50M,,-42.10M,,,-15.90M,,14.10M,-6.70M,7.30M,,8.50M,,,,9.30M,21.90M,,,
1996-06,45.60M,,,,-2.70M,,,1.80M,,72.70M,11.40M,-22.20M,,-6.70M,15.40M,-23.20M,,-25.30M,,92.10M,,-65.20M,,-65.20M,,,-9.70M,-74.90M,,,,14.90M,,,,,-42.10M,,,-27.20M,,24.00M,-10.00M,14.10M,,,,,,59.20M,21.30M,,,
1996-03,62.80M,,,,-2.10M,,,1.90M,,70.60M,-8.10M,24.50M,,-17.90M,13.60M,22.40M,,34.50M,,167.70M,,-63.90M,,-63.90M,,,-9.50M,-73.40M,,,,-53.20M,,,,,-40.70M,,,-93.90M,,23.60M,0.40M,24.00M,,,,,,16.30M,27.00M,,,
1995-12,61.40M,,,,-3.10M,,,-2.10M,,25.90M,-14.60M,12.90M,,28.00M,-52.00M,7.50M,,-18.20M,,63.90M,,-86.90M,,-86.90M,,,-4.60M,-91.50M,,,,63.50M,12.90M,,12.90M,,-40.60M,,-0.20M,35.60M,,15.60M,8.00M,23.60M,,12.90M,,,,35.40M,21.60M,,,
1995-09,58.50M,,,,-1.20M,,,-2.60M,,60.80M,-11.00M,-11.30M,,10.50M,36.40M,-1.90M,,22.70M,,138.20M,,-65.90M,,-65.90M,,,-9.50M,-75.40M,,,,-36.70M,15.30M,,15.30M,,-40.40M,,0.10M,-61.70M,,14.40M,1.10M,15.60M,,15.30M,,,,28.60M,27.90M,,,
1995-06,51.60M,,,,-4.50M,,,1.50M,,57.00M,4.30M,-19.20M,,-9.80M,-12.50M,-21.90M,,-59.10M,,46.50M,,-74.90M,,-74.90M,,,-11.70M,-86.60M,,,,65.70M,12.30M,,12.30M,,-40.30M,,,37.70M,,16.80M,-2.40M,14.40M,,12.30M,,,,67.90M,23.00M,,,
1995-03,62.50M,,,,-4.80M,,,0.40M,,66.10M,-14.20M,22.80M,,-12.00M,20.40M,37.10M,,54.10M,,178.30M,,-44.00M,,-44.00M,,,-12.20M,-56.20M,,,,-87.70M,11.90M,,11.90M,,-38.40M,,,-114.20M,,8.90M,7.90M,16.80M,,11.90M,,,,15.10M,27.40M,,,
1994-12,63.20M,,,,-13.00M,,,-10.30M,,48.00M,-15.80M,5.80M,,7.20M,-43.30M,4.20M,,-32.40M,,55.50M,,-88.70M,,-88.70M,,,-3.80M,-92.50M,,,,40.90M,10.30M,0.00,10.30M,,-38.30M,,-0.20M,12.70M,,33.20M,-24.30M,9.00M,,10.30M,,,0.00,32.70M,14.70M,,,
1994-09,51.50M,,,,-5.50M,,,2.30M,,66.00M,24.70M,-20.30M,,4.80M,22.00M,-25.30M,,5.90M,,120.20M,,-89.70M,,-89.70M,,,-14.10M,-103.80M,,,,20.80M,11.40M,0.00,11.40M,,-38.10M,,0.10M,-5.80M,,22.60M,10.60M,33.20M,,11.40M,,,0.00,34.20M,25.50M,,,
1994-06,43.40M,,,,-4.20M,,,-1.00M,,48.90M,25.10M,-20.60M,,-4.50M,-19.90M,-3.00M,,-22.90M,,64.20M,,-62.10M,,-62.10M,,,-25.50M,-87.60M,,,,37.40M,14.20M,-5.30M,8.90M,,-38.00M,,0.10M,8.40M,,37.70M,-15.00M,22.60M,,14.20M,,,-5.30M,69.80M,21.10M,,,
1994-03,22.80M,,,,57.00M,,,-16.10M,,61.60M,-22.10M,46.60M,,-28.80M,31.30M,24.10M,,51.10M,,176.40M,,-55.30M,,-55.30M,,,-25.50M,-80.80M,,,,-57.20M,14.60M,,14.60M,,-36.30M,,-0.10M,-79.00M,,21.00M,16.60M,37.70M,,14.60M,,,,9.20M,25.30M,,,
