,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2005-06,303.71M,,,-11.28M,-13.73M,14.96M,14.96M,-16.72M,,,29.69M,,-599.00M,248.11M,,-21.58M,-26.57M,-399.04M,,-78.67M,,-16.98M,9.017M,-7.961M,,-8.366M,65.66M,49.34M,,2005-06,134.51M,7.931M,-9.555M,-1.624M,,-6.545M,,,126.34M,,2005-06,346.65M,0.143M,443.80M,,2005-06,,,-9.555M,,,,2005-06,
2005-03,218.24M,,,9.169M,13.73M,13.73M,13.73M,47.56M,,,,,-709.69M,-46.94M,,,205.67M,-550.96M,,-262.26M,,-20.69M,5.60M,-15.09M,,8.366M,-65.70M,-72.42M,,2005-03,375.89M,15.24M,-11.56M,3.676M,,-6.418M,,,373.15M,,2005-03,308.12M,0.067M,346.65M,,2005-03,,,-11.56M,,,,2005-03,
2004-12,397.37M,,,50.10M,46.30M,12.26M,12.26M,-28.57M,,,,,320.24M,4.712M,-345.65M,85.22M,,64.52M,,495.67M,,-20.44M,2.148M,-18.29M,,,-24.98M,-43.27M,,2004-12,-232.14M,6.947M,,-7.74M,,-6.369M,,,-246.24M,,2004-12,114.50M,0.088M,308.12M,,2004-12,,,,,,,2004-12,
2004-09,269.94M,,,-6.584M,,12.02M,12.02M,-12.80M,,,,,-1.069B,159.93M,-71.20M,18.02M,,-962.10M,,-699.54M,,-16.20M,-0.213M,-16.41M,,,6.491M,-9.92M,,2004-09,730.92M,11.07M,,11.07M,,-6.379M,,,735.61M,,2004-09,89.45M,-1.102M,114.50M,,2004-09,,,,,,,2004-09,
2004-06,187.60M,,,-5.294M,-10.16M,11.87M,11.87M,-13.88M,,,,,-821.40M,245.27M,-52.78M,78.06M,,-550.85M,,-370.56M,,-25.15M,0.356M,-24.80M,,,-86.74M,-111.54M,,2004-06,110.79M,3.032M,,3.032M,,-6.405M,,,107.41M,,2004-06,463.42M,0.719M,89.45M,,2004-06,,,,,,,2004-06,
2004-03,131.63M,,,-0.067M,10.16M,10.16M,10.16M,32.29M,,,,,-486.55M,-127.65M,343.63M,-21.18M,,-291.75M,,-117.75M,,-13.43M,4.803M,-8.629M,,,-25.20M,-33.82M,,2004-03,196.22M,22.91M,,22.91M,,-6.274M,,,212.86M,,2004-03,401.88M,0.249M,463.42M,,2004-03,,,,,,,2004-03,
2003-12,247.89M,,,0.905M,39.42M,10.05M,10.05M,37.19M,,,,,-38.92M,-61.33M,-40.14M,-31.67M,,-172.05M,,123.99M,,-8.755M,5.023M,-3.732M,,,3.467M,-0.265M,,2003-12,-50.82M,21.52M,0.00,21.52M,,-6.254M,,,-35.55M,,2003-12,312.15M,-1.011M,389.25M,,2003-12,,,0.00,,,,2003-12,
2003-09,168.89M,,,-14.96M,,10.71M,10.71M,-31.22M,,,3.701M,,-548.26M,252.25M,-57.45M,74.99M,,-278.48M,,-141.36M,,-30.36M,,-30.36M,,,42.98M,12.62M,,2003-09,52.38M,1.642M,0.00,1.642M,,-2.473M,,,51.55M,,2003-09,391.09M,-1.747M,312.15M,,2003-09,,,0.00,,,,2003-09,
2003-06,121.72M,,,10.68M,-8.331M,10.33M,10.33M,-8.289M,,,-3.701M,,-443.76M,215.56M,-89.13M,22.52M,,-294.80M,,-164.07M,,7.819M,-0.535M,7.284M,,,-23.48M,-16.20M,,2003-06,80.05M,13.33M,-0.10M,13.23M,,-2.444M,,,90.84M,,2003-06,479.58M,0.935M,391.09M,,2003-06,,,-0.10M,,,,2003-06,
2003-03,86.14M,,,-1.521M,8.331M,8.331M,8.331M,21.31M,,,,,-340.23M,-112.74M,231.47M,-47.72M,,-269.22M,,-154.97M,,-7.819M,0.535M,-7.284M,,,6.808M,-0.476M,,2003-03,39.66M,3.004M,-18.20M,-15.20M,,-2.441M,,,22.02M,,2003-03,613.17M,-0.171M,479.58M,,2003-03,,,-18.20M,,,,2003-03,
2002-12,171.88M,,,-1.13M,15.70M,15.70M,15.70M,23.57M,,,,,110.74M,20.01M,-285.42M,9.051M,,-145.61M,,64.41M,,,,,,,-13.78M,7.717M,,2002-12,337.49M,-2.505M,,-6.849M,,-2.459M,,4.585M,332.77M,,2002-12,212.08M,-3.233M,610.63M,,2002-12,,,,,,,2002-12,
2002-09,123.45M,,,-2.498M,23.22M,6.472M,6.472M,5.178M,,,2.954M,,-200.40M,92.89M,-24.51M,-5.856M,,-137.87M,,-2.322M,,,,,,,13.79M,13.79M,,2002-09,-13.49M,5.639M,,5.639M,,-2.448M,,-4.628M,-14.92M,,2002-09,212.77M,2.763M,212.08M,,2002-09,,,,,,,2002-09,
2002-06,90.20M,,,2.498M,,5.764M,5.764M,-16.04M,,,-2.954M,,-338.34M,211.08M,-18.44M,68.42M,,-77.28M,,2.184M,,,,,,,-12.20M,-12.20M,,2002-06,152.90M,7.098M,,7.098M,,-2.444M,,8.217M,165.78M,,2002-06,59.77M,-2.763M,212.77M,,2002-06,,,,,,,2002-06,
2002-03,68.11M,,,,,10.99M,10.99M,26.53M,,,,,-88.17M,-132.85M,206.23M,3.635M,,-11.15M,,94.48M,,,,,,,2.801M,2.801M,,2002-03,-123.42M,24.36M,,24.36M,,-2.422M,,-8.174M,-109.66M,,2002-03,72.14M,,59.77M,,2002-03,,,,,,,2002-03,
2001-12,119.44M,,,,,11.76M,11.76M,-23.95M,,,,,117.39M,-110.03M,-97.21M,-5.474M,,-95.32M,,12.23M,,,,,-10.31M,,16.32M,-6.067M,,2001-12,8.735M,3.717M,,3.717M,,-2.372M,,-1.221M,8.859M,,2001-12,59.75M,,72.14M,,2001-12,,,,,,,2001-12,
2001-09,82.79M,,,,,10.69M,10.69M,3.942M,,,,,-264.12M,88.98M,-100.92M,20.81M,,-255.26M,,-157.84M,,,,,10.31M,,-2.158M,8.152M,,2001-09,110.03M,0.157M,,0.157M,,-2.356M,,-0.192M,107.64M,,2001-09,101.80M,,59.75M,,2001-09,,,,,,,2001-09,
2001-06,59.79M,,,,,4.892M,4.892M,-1.974M,,,,,-301.17M,82.21M,22.11M,36.00M,,-160.85M,,-98.14M,,,,,,,0.649M,0.649M,,2001-06,-2.37M,1.988M,,1.988M,,-1.687M,,2.022M,-0.047M,,2001-06,199.34M,,101.80M,,2001-06,,,,,,,2001-06,
2001-03,39.37M,,,,,5.045M,5.045M,13.81M,,,,,-198.69M,-59.78M,43.98M,-6.659M,,-221.16M,,-162.93M,,,,,,,-1.886M,-1.886M,,2001-03,174.80M,7.675M,,7.675M,,-1.695M,,-0.609M,180.18M,,2001-03,183.98M,,199.34M,,2001-03,,,,,,,2001-03,
2000-12,85.59M,,,,,4.528M,4.528M,9.529M,,,,,156.11M,4.003M,-123.40M,-2.579M,,34.14M,-30.04M,103.74M,,,,,,,-4.17M,-4.17M,,2000-12,36.74M,16.13M,0.00,16.13M,,-1.65M,,0.81M,52.02M,,2000-12,32.38M,,183.98M,,2000-12,,,0.00,,,,2000-12,
2000-09,30.89M,,,0.099M,,2.171M,2.171M,-2.398M,,,,,-64.84M,53.54M,16.68M,8.279M,,13.66M,29.84M,74.26M,,,,,,,-0.15M,-0.15M,,2000-09,-72.61M,12.66M,-4.929M,7.728M,,-1.597M,,-6.251M,-72.73M,,2000-09,31.00M,,32.38M,,2000-09,,,-4.929M,,,,2000-09,
2000-06,47.69M,,,-0.099M,,3.905M,3.905M,-13.50M,,,,,-101.42M,52.13M,-31.75M,16.69M,,-64.36M,0.209M,-26.15M,,,,,,,0.712M,0.712M,,2000-06,54.60M,,-38.78M,-38.78M,,-1.647M,,3.338M,17.51M,,2000-06,38.93M,,31.00M,,2000-06,,,-38.78M,,,,2000-06,
2000-03,24.34M,,,,,3.626M,3.626M,7.016M,,,,,-199.87M,-32.64M,83.15M,-14.15M,,-163.51M,,-128.54M,,,,,,,-1.577M,-1.577M,,2000-03,139.07M,,-22.67M,-22.67M,,-1.689M,,2.536M,117.24M,,2000-03,51.80M,,38.93M,,2000-03,,,-22.67M,,,,2000-03,
1999-12,69.70M,,,0.00,,4.90M,4.90M,25.10M,,,,,86.30M,-24.40M,-38.80M,-17.80M,,5.30M,,105.00M,,0.00,,0.00,,0.00,-4.10M,-4.10M,,1999-12,-79.10M,,,,,0.00,,-2.30M,-79.80M,,1999-12,30.70M,,51.80M,,1999-12,,,,,,,1999-12,
1999-09,47.10M,,,0.40M,,2.50M,2.50M,-0.50M,,,-0.10M,,-75.90M,63.10M,-14.10M,14.70M,,-12.20M,-0.10M,37.10M,,-24.70M,,-24.70M,,0.00,-1.00M,-25.70M,,1999-09,-2.90M,,,,,-3.40M,,0.20M,-6.10M,,1999-09,25.40M,,30.70M,,1999-09,,,,,,,1999-09,
1999-06,37.00M,,,0.00,,3.00M,3.00M,-0.70M,,,0.20M,,-140.90M,59.60M,-59.20M,2.70M,,-137.80M,-0.30M,-98.60M,,,,,,0.00,-1.10M,-1.10M,,1999-06,82.20M,,,,,-1.80M,,0.20M,80.60M,,1999-06,44.50M,,25.40M,,1999-06,,,,,,,1999-06,
1999-03,24.40M,,,-2.10M,,3.10M,3.10M,-0.70M,,,-0.10M,,-127.70M,2.90M,68.40M,3.00M,,-53.40M,0.40M,-28.40M,,,,,,29.40M,0.50M,29.90M,,1999-03,-82.00M,,,,,-1.70M,,1.40M,-82.30M,,1999-03,125.30M,,44.50M,,1999-03,,,,,,,1999-03,
1998-12,38.40M,,,0.70M,,0.80M,0.80M,29.30M,,,,,-115.20M,13.60M,-140.20M,-19.86M,,-261.66M,-15.70M,-208.20M,,0.00,,90.60M,,14.80M,48.30M,153.70M,,1998-12,53.00M,,,,,-1.80M,,-50.50M,7.70M,,1998-12,0.00,,125.30M,,1998-12,,,,,,,1998-12,
1998-09,28.60M,,,-0.10M,,2.40M,2.40M,1.10M,,,,,-113.70M,45.60M,28.00M,11.10M,,-29.00M,-6.70M,-3.70M,,-114.80M,,-114.80M,,2.70M,-0.20M,-112.30M,,1998-09,-17.30M,,,,,-1.70M,,2.70M,-16.30M,,1998-09,0.00,,0.00,,1998-09,,,,,,,1998-09,
1998-06,23.80M,,,-0.20M,,0.10M,0.10M,-1.90M,,,,,-37.80M,59.30M,-75.30M,5.70M,,-48.10M,-1.70M,-28.00M,,-44.00M,,-44.00M,,2.50M,-0.10M,-41.60M,,1998-06,42.30M,,,,,-1.70M,,4.20M,44.80M,,1998-06,0.00,,0.00,,1998-06,,,,,,,1998-06,
