,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2001-03,150.97M,150.97M,86.27M,64.70M,,56.34M,,,,,61.49M,3.212M,,,,,3.26M,1.239M,2.021M,,,2.021M,2.021M,8.361M,5.149M,2001-03,0.0041,0.00,,0.0041,2001-03,0.0041,0.00,,0.0041,2001-03,513.67M,516.39M,2001-03,,
2000-12,147.11M,147.11M,88.43M,58.68M,,56.78M,,,,,61.65M,-2.968M,,,,,-2.756M,-1.047M,-1.709M,,,-1.709M,-1.709M,1.905M,4.873M,2000-12,-0.0038,0.00,,-0.0038,2000-12,-0.0038,0.00,,-0.0038,2000-12,515.02M,515.02M,2000-12,,
2000-09,172.37M,172.37M,99.95M,72.42M,,63.95M,,,,,68.63M,3.797M,,,,,3.811M,1.448M,2.363M,,,2.363M,2.363M,8.474M,4.677M,2000-09,0.0047,0.00,,0.0047,2000-09,0.0046,0.00,,0.0046,2000-09,513.20M,513.26M,2000-09,,
2000-06,180.53M,180.53M,99.13M,81.40M,,63.73M,,,,,68.33M,13.07M,,,,,13.07M,4.965M,8.102M,,,8.102M,8.102M,17.67M,4.604M,2000-06,0.0158,0.00,,0.0158,2000-06,0.0158,0.00,,0.0158,2000-06,512.31M,512.33M,2000-06,,
2000-03,149.55M,149.55M,87.00M,62.55M,,57.03M,,,,,61.30M,1.252M,,,,,1.281M,0.487M,0.794M,,,0.794M,0.794M,5.519M,4.267M,2000-03,0.0018,0.00,,0.0018,2000-03,0.0016,0.00,,0.0016,2000-03,511.45M,511.51M,2000-03,,
1999-12,140.30M,140.30M,85.80M,54.50M,,54.40M,,,,,58.20M,-3.70M,,,,,-3.70M,-1.40M,-2.30M,,,-2.30M,-2.30M,0.10M,3.80M,1999-12,-0.0041,0.00,,-0.0041,1999-12,-0.0041,0.00,,-0.0041,1999-12,481.87M,481.87M,1999-12,,
1999-09,154.10M,154.10M,89.20M,64.90M,,60.10M,,,,,63.50M,1.40M,,,,,2.30M,0.90M,1.40M,,,1.40M,1.40M,4.80M,3.40M,1999-09,0.0029,0.00,,0.0029,1999-09,0.0029,0.00,,0.0029,1999-09,477.69M,477.69M,1999-09,,
1999-06,162.34M,162.34M,89.10M,73.24M,,58.20M,,,,,62.00M,11.24M,,,,,12.30M,4.70M,7.60M,,,7.60M,7.60M,15.04M,3.80M,1999-06,0.0147,0.00,,0.0147,1999-06,0.0147,0.00,,0.0147,1999-06,518.64M,518.64M,1999-06,,
1999-03,129.89M,129.89M,76.90M,52.99M,,51.00M,1.10M,,,,53.40M,-0.414M,,,1.10M,,0.80M,0.30M,0.50M,,,0.50M,-0.1875M,1.986M,2.40M,1999-03,0.0012,0.00,,-0.0029,1999-03,0.0012,0.00,,-0.0029,1999-03,168.43M,168.50M,1999-03,,
1998-12,126.60M,126.60M,78.50M,48.10M,,52.10M,1.70M,,,,54.50M,-6.40M,,,1.70M,,-4.60M,-1.80M,-2.80M,,,0.60M,-3.835M,-4.00M,2.40M,1998-12,-0.0024,0.0097,,-0.0043,1998-12,-0.0024,0.0097,,-0.0043,1998-12,538.75M,538.75M,1998-12,,
1998-09,144.50M,144.50M,85.60M,58.90M,,57.50M,2.20M,,,,59.70M,-0.80M,,,2.20M,,1.40M,0.50M,0.90M,,,0.90M,-0.5143M,1.40M,2.20M,1998-09,0.0018,0.00,,-0.0010,1998-09,0.0018,0.00,,-0.0010,1998-09,511.82M,511.82M,1998-09,,
1998-06,155.10M,155.10M,86.70M,68.40M,,57.40M,2.40M,,,,59.60M,8.80M,,,2.40M,,11.10M,4.20M,6.90M,,,6.90M,5.408M,11.00M,2.20M,1998-06,0.0123,0.00,,0.0096,1998-06,0.0123,0.00,,0.0096,1998-06,560.55M,560.55M,1998-06,,
