,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2004-06,28.87M,-20.21M,5.764M,5.764M,7.467M,,,,-10.26M,-0.345M,6.411M,-2.135M,-2.487M,1.363M,-7.456M,,14.43M,,2004-06,-2.012M,15.47M,,-103.00M,0.00,,-89.54M,,2004-06,,,,,,,-2.733M,,1.765M,-0.968M,,2004-06,97.89M,-76.08M,21.86M,,2004-06,,,,,,,2004-06,
2004-03,3.662M,6.268M,4.657M,4.657M,1.273M,,,,2.873M,-0.31M,3.761M,-2.678M,3.195M,-1.363M,5.478M,,21.34M,,2004-03,-1.739M,,,-0.158M,21.87M,,19.97M,,2004-03,,,,,,,-2.718M,,-0.188M,-2.906M,,2004-03,59.54M,38.40M,97.89M,,2004-03,,,,,,,2004-03,
2003-12,4.825M,-1.324M,4.921M,4.921M,2.657M,,,,5.149M,0.809M,-1.951M,5.482M,-18.98M,,-9.494M,,1.585M,,2003-12,-1.853M,,,0.00,5.134M,,4.981M,,2003-12,,,,,,,-2.256M,,-0.354M,-2.61M,,2003-12,55.07M,3.956M,59.54M,,2003-12,,,,,,,2003-12,
2003-09,9.80M,0.115M,5.065M,5.065M,5.384M,,,,1.707M,0.427M,-0.147M,-1.999M,5.507M,,5.495M,,25.86M,,2003-09,-6.412M,,,-0.035M,-27.00M,,-33.45M,,2003-09,,,,,,,-2.254M,,0.043M,-2.211M,,2003-09,64.86M,-9.799M,55.07M,,2003-09,,,,,,,2003-09,
2003-06,13.86M,0.163M,5.037M,5.037M,1.355M,,,-0.035M,-6.081M,0.168M,8.156M,0.393M,-8.297M,,-5.661M,,14.72M,,2003-06,-1.371M,,,-1.123M,,,-2.494M,,2003-06,,,,,,,-2.253M,,0.54M,-1.713M,,2003-06,54.35M,10.51M,64.86M,,2003-06,,,,,,,2003-06,
2003-03,7.274M,,5.156M,5.156M,1.009M,,,0.035M,-0.436M,-0.526M,3.718M,-2.019M,3.943M,,4.68M,,18.15M,,2003-03,-0.961M,,,-0.385M,,,-1.346M,,2003-03,,,,,,,-2.247M,,1.475M,-0.772M,,2003-03,38.32M,16.04M,54.35M,,2003-03,,,,,,,2003-03,
2002-12,3.725M,0.179M,5.337M,5.337M,1.558M,,,,5.71M,0.413M,-11.30M,1.382M,-6.65M,,-10.44M,,0.358M,,2002-12,-4.467M,,,-0.02M,,,-4.487M,,2002-12,,,,-0.878M,-0.878M,,-1.493M,,0.321M,-2.05M,,2002-12,44.49M,-6.179M,38.32M,,2002-12,,,-0.878M,,,,2002-12,
2002-09,6.754M,0.603M,5.425M,5.425M,-0.378M,,,,0.434M,0.522M,-2.556M,-2.859M,-2.21M,,-6.669M,,5.735M,,2002-09,-1.289M,,,-0.41M,,,-1.699M,,2002-09,,,,-3.996M,-3.996M,,-1.495M,,-0.061M,-5.552M,,2002-09,46.01M,-1.516M,44.49M,,2002-09,,,-3.996M,,,,2002-09,
2002-06,11.69M,0.173M,5.446M,5.446M,1.207M,,,-0.167M,-6.939M,0.025M,6.984M,2.168M,8.734M,,10.97M,,29.32M,,2002-06,-1.886M,,,-0.813M,,,-2.699M,,2002-06,,,,-1.292M,-1.292M,,-1.509M,,0.288M,-2.513M,,2002-06,21.90M,24.11M,46.01M,,2002-06,,,-1.292M,,,,2002-06,
2002-03,4.94M,,5.427M,5.427M,1.256M,,,0.167M,1.611M,0.284M,-0.708M,0.21M,5.092M,,6.489M,,18.28M,,2002-03,-2.725M,,,-0.545M,,,-3.27M,,2002-03,,,,,,,-1.507M,,0.004M,-1.759M,,2002-03,8.65M,13.25M,21.90M,,2002-03,,,,,,,2002-03,
2001-12,1.615M,0.114M,5.259M,5.259M,-0.534M,,,,5.23M,-0.347M,2.879M,1.132M,-11.81M,,-2.913M,,3.541M,,2001-12,-2.29M,,,0.00,,,-2.29M,,2001-12,,,,,,,-1.501M,,0.43M,-3.063M,,2001-12,10.46M,-1.812M,8.65M,,2001-12,,,,,,,2001-12,
2001-09,4.268M,0.066M,5.14M,5.14M,1.245M,,,,1.041M,1.585M,-5.541M,-3.488M,-3.971M,,-10.37M,,0.345M,,2001-09,-2.312M,,,-0.359M,,,-2.671M,,2001-09,,,,,,,-1.509M,,-0.725M,-2.611M,,2001-09,15.40M,-4.937M,10.46M,,2001-09,,,,,,,2001-09,
2001-06,9.038M,0.07M,4.744M,4.744M,1.575M,,,0.222M,-8.001M,-0.365M,9.168M,-3.94M,1.825M,,-1.313M,,14.34M,,2001-06,-2.405M,,,-0.07M,,,-2.475M,,2001-06,,,,,,,-1.509M,,-0.971M,-2.85M,,2001-06,6.388M,9.011M,15.40M,,2001-06,,,,,,,2001-06,
2001-03,2.021M,,5.149M,5.149M,1.074M,,,-0.222M,3.35M,0.212M,-1.093M,0.424M,0.421M,,3.314M,,11.34M,,2001-03,-1.467M,,,-0.275M,,,-1.742M,,2001-03,,,,,,,-1.509M,,0.004M,-3.605M,,2001-03,0.399M,5.989M,6.388M,,2001-03,,,,,,,2001-03,
2000-12,-1.709M,1.089M,4.873M,4.873M,1.02M,,,,6.553M,0.056M,0.77M,3.594M,-7.695M,,3.278M,,8.551M,,2000-12,-2.63M,,,-0.357M,0.00,,-2.987M,,2000-12,,,,0.00,0.00,,-1.503M,,0.005M,-5.428M,,2000-12,0.263M,0.136M,0.399M,,2000-12,,,0.00,,,,2000-12,
2000-09,2.363M,-0.508M,4.677M,4.677M,0.551M,,,,-0.11M,1.795M,-13.12M,2.013M,-3.721M,,-13.14M,,-6.055M,,2000-09,-3.181M,,,-3.706M,1.161M,,-5.726M,,2000-09,,,,0.00,0.00,,-1.504M,,0.003M,2.738M,,2000-09,9.306M,-9.043M,0.263M,,2000-09,,,0.00,,,,2000-09,
2000-06,8.102M,-0.083M,4.604M,4.604M,0.55M,,,,-8.378M,-1.073M,6.939M,-3.303M,0.159M,,-5.656M,,7.517M,,2000-06,-3.61M,,,-0.95M,1.029M,,-3.531M,,2000-06,,,,-0.154M,-0.154M,,-1.532M,,0.226M,-2.288M,,2000-06,7.608M,1.698M,9.306M,,2000-06,,,-0.154M,,,,2000-06,
2000-03,0.794M,0.604M,4.267M,4.267M,0.55M,,,,-1.275M,-0.164M,-1.723M,-1.588M,-0.031M,,-4.781M,,1.434M,,2000-03,-4.99M,,,-2.424M,10.89M,,3.48M,,2000-03,,,,,,,-1.492M,,-0.025M,-2.995M,,2000-03,5.689M,1.919M,7.608M,,2000-03,,,,,,,2000-03,
1999-12,-2.30M,0.20M,3.80M,3.80M,2.10M,,,0.20M,2.30M,0.10M,-3.00M,-5.30M,-4.10M,,-10.00M,,-6.00M,,1999-12,-38.80M,,,,53.60M,0.10M,14.90M,,1999-12,,,,-4.20M,-4.20M,,-1.50M,,-0.20M,-7.10M,,1999-12,4.00M,1.80M,5.70M,,1999-12,,,-4.20M,,,,1999-12,
1999-09,1.40M,1.40M,3.40M,3.40M,1.60M,,,0.00,0.40M,1.40M,-7.60M,2.40M,-7.30M,,-10.70M,,-2.90M,,1999-09,-35.80M,,,,17.20M,26.30M,7.70M,,1999-09,,,,-4.20M,-4.20M,,-1.50M,,0.80M,-5.40M,,1999-09,4.60M,-0.60M,4.00M,,1999-09,,,-4.20M,,,,1999-09,
1999-06,7.60M,0.00,3.80M,3.80M,1.70M,,,-0.10M,-4.30M,0.70M,7.30M,-2.40M,-1.80M,,-0.50M,,12.50M,,1999-06,-1.80M,,,,25.60M,-26.30M,-2.50M,,1999-06,,,,-3.30M,-3.30M,,-1.60M,,-0.30M,-6.10M,,1999-06,0.60M,3.90M,4.60M,,1999-06,,,-3.30M,,,,1999-06,
1999-03,0.50M,-0.10M,2.40M,2.40M,1.70M,,,,3.80M,-0.90M,2.10M,-2.10M,-2.80M,,0.10M,,4.60M,,1999-03,-3.40M,,,,0.70M,,-2.70M,,1999-03,,,,-0.10M,-0.10M,,-1.50M,,-0.10M,-2.50M,,1999-03,1.20M,-0.60M,0.60M,,1999-03,,,-0.10M,,,,1999-03,
1998-12,0.60M,0.90M,2.40M,2.40M,4.20M,,,,3.10M,0.70M,-7.00M,1.70M,-3.20M,,-4.70M,,3.60M,,1998-12,-1.40M,,,,-0.90M,-3.50M,-5.80M,,1998-12,,,,0.00,0.00,,-1.60M,,0.10M,-2.00M,,1998-12,0.00,-4.20M,0.00,,1998-12,,,0.00,,,,1998-12,
1998-09,0.90M,0.20M,2.20M,2.20M,0.30M,,,,2.70M,2.20M,-8.90M,5.20M,-5.00M,,-3.80M,,-0.20M,,1998-09,-3.20M,,,,15.10M,0.80M,12.70M,,1998-09,,,,-42.70M,-42.70M,,-4.50M,,0.10M,-48.00M,,1998-09,0.00,-35.50M,0.00,,1998-09,,,-42.70M,,,,1998-09,
1998-06,6.90M,0.50M,2.20M,2.20M,2.30M,,,,-3.70M,0.20M,0.90M,0.30M,-9.90M,,-12.20M,,-0.30M,,1998-06,-2.30M,,,,-49.40M,-0.60M,-52.30M,,1998-06,,,,-11.80M,-11.80M,,-5.00M,,-0.10M,-17.60M,,1998-06,0.00,-70.20M,0.00,,1998-06,,,-11.80M,,,,1998-06,
