,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2006-03,53.23M,,53.23M,45.32M,,45.32M,,8.899M,,23.90M,9.276M,140.62M,,,,,,137.12M,-68.80M,68.31M,133.70M,73.50M,207.20M,,18.15M,13.04M,306.70M,447.32M,,2006-03,58.63M,76.78M,,,0.797M,,0.797M,84.02M,84.02M,31.51M,193.11M,,0.44M,0.44M,,,,,69.62M,70.06M,263.17M,,130.02M,9.033M,2.103M,,,,2006-03,,
2005-12,43.06M,,43.06M,47.70M,,47.70M,,9.082M,3.036M,27.51M,6.069M,136.47M,0.00,21.11M,25.79M,87.84M,,134.73M,-68.80M,65.93M,133.74M,71.84M,205.58M,,15.95M,14.49M,301.95M,438.42M,,2005-12,69.90M,87.11M,,,0.825M,,0.825M,79.99M,79.99M,21.75M,189.67M,,0.56M,0.56M,,,,,71.24M,71.80M,261.47M,,123.62M,14.46M,2.068M,,,,2005-12,,
2005-09,79.49M,,79.49M,48.95M,,48.95M,,7.358M,,30.39M,9.359M,175.55M,,,,,,118.70M,-60.77M,57.93M,,189.89M,189.89M,,17.44M,14.09M,279.35M,454.90M,,2005-09,55.33M,70.23M,,,,,,91.34M,91.34M,39.83M,201.40M,,,,,,,,,74.81M,276.22M,,128.16M,14.51M,1.62M,,,,2005-09,,
2005-06,65.18M,0.629M,65.81M,48.56M,,48.56M,,8.12M,,29.50M,10.98M,162.96M,,,,,,118.64M,-60.77M,57.87M,,190.08M,190.08M,,18.54M,14.75M,281.25M,444.21M,,2005-06,53.06M,65.46M,,,,,,86.34M,86.34M,41.94M,193.74M,,,,,,,,,75.27M,269.00M,,131.29M,8.711M,1.084M,,,,2005-06,,
2005-03,55.89M,,55.89M,44.31M,,44.31M,,8.60M,,28.09M,10.40M,147.29M,,,,,,113.70M,-60.77M,52.93M,,193.21M,193.21M,,11.27M,14.10M,271.51M,418.80M,,2005-03,57.04M,69.90M,,,,,,84.97M,84.97M,33.36M,188.23M,,,,,,,,,61.93M,250.16M,,114.74M,7.819M,1.057M,,,,2005-03,,
2004-12,56.74M,,56.74M,45.47M,,45.47M,,8.876M,,28.36M,7.368M,146.80M,0.00,15.46M,17.48M,77.00M,,109.93M,-60.77M,49.16M,,195.47M,195.47M,,13.33M,14.01M,271.98M,418.78M,,2004-12,65.41M,80.85M,,,,,,81.20M,81.20M,25.94M,187.98M,,,,,,,,,63.25M,251.23M,,107.93M,10.66M,0.556M,,,,2004-12,,
2004-09,40.89M,,40.89M,63.36M,,63.36M,,11.00M,,21.84M,11.28M,148.38M,,,,,,102.93M,-57.75M,45.19M,,193.78M,193.78M,,9.701M,30.80M,279.47M,427.85M,,2004-09,73.43M,87.81M,,,,,,66.57M,66.57M,28.11M,182.49M,,,,,,,,,66.12M,248.60M,,129.72M,7.767M,,,,,2004-09,,
2004-06,21.86M,,21.86M,62.76M,,62.76M,,12.16M,,21.63M,10.44M,128.86M,,,,,,103.06M,-57.75M,45.31M,,196.02M,196.02M,,8.86M,30.91M,281.10M,409.96M,,2004-06,46.36M,61.12M,,,,,,58.51M,58.51M,52.01M,171.64M,,,,,,,,,68.74M,240.38M,,120.65M,7.491M,,,,,2004-06,,
2004-03,97.89M,,97.89M,45.55M,,45.55M,,10.15M,20.58M,,10.09M,184.26M,,,,,,92.36M,-57.75M,34.62M,,101.44M,101.44M,,17.29M,25.35M,178.70M,362.96M,,2004-03,61.46M,76.79M,,,,,,50.70M,50.70M,23.98M,151.47M,,,,,,,,,63.64M,215.11M,,95.72M,7.025M,,,,,2004-03,,
2003-12,59.54M,21.87M,81.41M,48.47M,,48.47M,,9.837M,,23.24M,7.414M,170.37M,0.00,4.854M,13.19M,75.54M,,93.58M,-57.75M,35.84M,,102.83M,102.83M,,15.90M,24.96M,179.53M,349.90M,,2003-12,65.57M,77.86M,,,,,,46.01M,46.01M,21.16M,145.02M,,,,,,,,,66.11M,211.13M,,89.52M,4.408M,,,,,2003-12,,
2003-09,55.07M,27.00M,82.07M,52.69M,,52.69M,,10.65M,,21.93M,13.04M,180.37M,,,,,,89.86M,-52.38M,37.48M,,104.47M,104.47M,,34.76M,,176.71M,357.08M,,2003-09,46.27M,59.75M,,,,,,49.53M,49.53M,37.79M,147.07M,,,,,,,,,90.17M,237.24M,,87.16M,4.176M,,,,,2003-09,,
2003-06,64.86M,,64.86M,54.39M,,54.39M,,11.07M,,19.80M,11.04M,161.17M,,,,,,86.77M,-52.38M,34.39M,,106.20M,106.20M,,42.28M,,182.87M,344.03M,,2003-06,62.02M,77.93M,,,,,,44.85M,44.85M,19.36M,142.14M,,,,,,,,,89.73M,231.88M,,79.49M,4.178M,,,,,2003-06,,
2003-03,54.35M,,54.35M,48.20M,,48.20M,,11.19M,,20.09M,11.53M,145.36M,,,,,,88.72M,-52.38M,36.34M,,106.68M,106.68M,,43.34M,,186.36M,331.73M,,2003-03,35.03M,48.99M,,,,,,46.04M,46.04M,38.86M,133.89M,,,,,,,,,98.47M,232.36M,,71.24M,,,,,,2003-03,,
2002-12,38.32M,,38.32M,48.67M,,48.67M,,10.66M,,20.04M,9.47M,127.15M,0.00,4.476M,13.12M,73.67M,,91.26M,-52.38M,38.88M,72.39M,35.51M,107.90M,,44.41M,,191.18M,318.34M,,2002-12,60.29M,72.43M,,,,,,43.05M,43.05M,15.31M,130.79M,,,,,,,,,96.86M,227.65M,,62.84M,,,,,,2002-12,,
2002-09,44.49M,,44.49M,52.50M,,52.50M,,11.08M,,20.02M,10.99M,139.08M,,,,,,84.48M,-46.23M,38.25M,,109.44M,109.44M,,38.25M,,185.94M,325.02M,,2002-09,,11.73M,,,,,,43.07M,43.07M,75.87M,130.68M,,,,,,,,,93.22M,223.90M,,76.04M,,,,,,2002-09,,
2002-06,46.01M,,46.01M,53.86M,,53.86M,,11.60M,,20.14M,8.131M,139.74M,,,,,,87.55M,-46.23M,41.32M,,110.52M,110.52M,,37.75M,,189.58M,329.32M,,2002-06,43.50M,58.92M,,,,,,39.70M,39.70M,29.52M,128.14M,,,,,,,,,101.29M,229.43M,,74.47M,,,,,,2002-06,,
2002-03,21.90M,,21.90M,46.88M,,46.88M,,11.62M,,20.58M,10.29M,111.27M,,,,,,89.42M,-46.23M,43.19M,,111.22M,111.22M,,38.51M,,192.93M,304.20M,,2002-03,48.49M,61.29M,,,,,,29.86M,29.86M,15.53M,106.68M,,,,,,,,,106.84M,213.51M,,65.35M,,,,,,2002-03,,
2001-12,8.65M,,8.65M,48.48M,,48.48M,,11.90M,,21.04M,10.42M,100.48M,0.00,3.875M,10.41M,76.22M,,90.50M,-46.23M,44.27M,,112.45M,112.45M,,39.31M,0.044M,196.08M,296.56M,,2001-12,55.83M,68.75M,,,,,,27.47M,27.47M,12.31M,108.54M,,,,,,,,,102.52M,211.06M,,60.25M,,,,,,2001-12,,
2001-09,10.46M,,10.46M,53.71M,,53.71M,,11.55M,,16.00M,13.89M,105.60M,,,,,,87.60M,-42.05M,45.56M,,112.67M,112.67M,,40.49M,0.009M,198.73M,304.33M,,2001-09,34.80M,49.46M,,,0.638M,,0.638M,33.14M,33.14M,31.65M,114.89M,,,,,,,,,99.25M,214.14M,,60.02M,,,,,,2001-09,,
2001-06,15.40M,,15.40M,54.75M,,54.75M,,13.13M,,16.79M,9.877M,109.95M,,,,,,90.46M,-42.05M,48.42M,,113.92M,113.92M,,41.05M,0.124M,203.52M,313.47M,,2001-06,32.78M,50.75M,,,1.015M,,1.015M,,,69.72M,121.49M,,,,,,,,,104.26M,225.75M,,57.54M,,,,,,2001-06,,
2001-03,6.388M,,6.388M,46.75M,,46.75M,,12.77M,,17.67M,6.451M,90.03M,,,,,,89.74M,-42.05M,47.69M,,114.58M,114.58M,,42.37M,1.671M,206.31M,296.34M,,2001-03,27.34M,41.51M,,,1.385M,,1.385M,,,66.07M,108.97M,,,,,,,,,106.15M,215.12M,,51.03M,,,,,,2001-03,,
2000-12,0.399M,,0.399M,50.10M,,50.10M,,12.98M,,,25.49M,88.97M,,,,,,91.40M,-42.05M,49.35M,,115.97M,115.97M,,,44.54M,209.85M,298.82M,,2000-12,,15.30M,,,1.829M,,1.829M,,,93.68M,110.81M,0.256M,,0.256M,,,,,109.16M,109.41M,220.22M,,48.56M,,,,,,2000-12,,
2000-09,0.263M,,0.263M,,,56.65M,,13.04M,,,31.46M,101.41M,,,,,,89.47M,-39.24M,50.23M,,117.38M,117.38M,,,46.70M,214.30M,315.71M,,2000-09,,2.302M,,,,,,,,116.85M,119.16M,0.638M,,0.638M,,,,,114.63M,115.27M,234.42M,,51.25M,,,,,,2000-09,,
2000-06,9.306M,1.161M,10.47M,,,54.66M,,14.67M,,,33.82M,113.61M,,,,,,93.78M,-44.24M,49.54M,,114.05M,114.05M,,,46.96M,210.55M,324.16M,,2000-06,,20.50M,,,2.767M,,2.767M,,,97.72M,120.99M,1.015M,,1.015M,,,,,121.77M,122.79M,243.78M,,50.34M,,,,,,2000-06,,
2000-03,7.608M,2.19M,9.798M,,,46.28M,,13.59M,,,32.12M,101.79M,,,,,,93.46M,-44.61M,48.84M,,114.81M,114.81M,,,48.03M,211.68M,313.47M,,2000-03,,18.38M,,,3.225M,,3.225M,,,93.10M,114.70M,1.385M,,1.385M,,,,,123.38M,124.77M,239.47M,,43.97M,,,,,,2000-03,,
1999-12,5.689M,12.97M,18.66M,,,44.88M,,13.43M,,,27.79M,104.76M,,,,,,88.14M,-41.90M,46.24M,,112.02M,112.02M,,,46.92M,205.19M,309.95M,,1999-12,,15.28M,,,3.638M,,3.638M,,,89.54M,108.45M,2.45M,,2.45M,,,,,127.26M,129.71M,238.16M,,41.91M,,,,,,1999-12,,
1999-09,4.00M,66.00M,70.00M,,,45.60M,,12.50M,,,35.50M,163.60M,,,,,,81.30M,-39.90M,41.40M,,55.80M,55.80M,,,60.40M,157.60M,321.20M,,1999-09,,15.80M,,,3.70M,,3.70M,,,100.40M,119.90M,3.60M,,3.60M,,,,,118.10M,121.70M,241.60M,,49.40M,,,,,,1999-09,,
1999-06,4.60M,83.20M,87.80M,,,45.60M,,13.80M,,,34.90M,182.10M,,,,,,81.00M,-44.20M,36.80M,,56.10M,56.10M,,,59.90M,152.80M,334.90M,,1999-06,,17.50M,,,3.50M,,3.50M,,,104.70M,125.70M,4.30M,,4.30M,,,,,121.90M,126.20M,251.90M,,52.60M,,,,,,1999-06,,
1999-03,0.60M,,0.60M,,,38.50M,,14.20M,,,142.80M,196.10M,,,,,,78.50M,-42.10M,36.40M,,40.60M,40.60M,,,51.30M,128.30M,324.40M,,1999-03,,16.20M,,,3.50M,,3.50M,,,98.80M,118.50M,5.20M,,5.20M,,,,,121.80M,127.00M,245.50M,,48.40M,,,,,,1999-03,,
1998-12,1.20M,,1.20M,,,42.40M,,13.30M,,,142.20M,199.10M,,,,,,75.20M,-39.70M,35.50M,,40.60M,40.60M,,,52.10M,128.20M,327.30M,,1998-12,,10.90M,,,3.40M,,3.40M,,,100.80M,115.10M,6.10M,,6.10M,,,,,125.90M,132.00M,247.10M,,49.70M,,,,,,1998-12,,
1998-09,5.30M,,5.30M,,,45.10M,,14.00M,,,143.70M,208.10M,,,,,,73.90M,-37.90M,36.00M,,39.50M,39.50M,,,52.50M,128.00M,336.10M,,1998-09,,14.80M,,,3.30M,,3.30M,,,102.20M,120.30M,6.70M,,6.70M,,,,,127.40M,134.10M,254.40M,,51.20M,,,,,,1998-09,,
1998-06,40.80M,,40.80M,,,47.90M,,16.30M,,,164.00M,269.00M,,,,,,76.00M,-40.00M,36.00M,,39.50M,39.50M,,,52.10M,127.60M,396.60M,,1998-06,,17.90M,,,3.20M,,3.20M,,,113.30M,134.40M,7.60M,,7.60M,,,,,127.20M,134.80M,269.20M,,94.70M,,,,,,1998-06,,
