,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-12,178.00M,-33.00M,,-428.00M,192.00M,192.00M,-17.00M,829.00M,0.00,351.00M,25.00M,,,,,,-628.00M,0.00,477.00M,,,,,,354.00M,-857.00M,-552.00M,,107.00M,,107.00M,35.00M,-6.00M,29.00M,,,,-161.00M,,-3.00M,-28.00M,,442.00M,-103.00M,-2.00M,337.00M,,0.00,35.00M,400.00M,-293.00M,-6.00M,826.00M,337.00M,,AOR,Restated
2005-09,75.00M,-39.00M,,-39.00M,113.00M,113.00M,-218.00M,830.00M,0.00,-174.00M,147.00M,,,,,,794.00M,0.00,1.381B,,,,,,-2.273B,-285.00M,-2.506B,,-41.00M,,-41.00M,510.00M,-13.00M,497.00M,,,,-160.00M,,,296.00M,,738.00M,-297.00M,1.00M,442.00M,,532.00M,510.00M,0.00,-41.00M,-13.00M,-371.00M,-179.00M,,AOR,Restated
2005-06,931.00M,55.00M,,55.00M,236.00M,236.00M,625.00M,783.00M,0.00,-822.00M,-187.00M,,,,,,-1.105B,0.00,703.00M,,,,,,-1.957B,220.00M,-1.745B,,-479.00M,,-479.00M,29.00M,-6.00M,23.00M,,,,-157.00M,,-13.00M,-626.00M,,541.00M,199.00M,-2.00M,738.00M,,1.867B,29.00M,0.00,-479.00M,-6.00M,371.00M,179.00M,,AOR,Restated
2005-03,877.00M,,,,150.00M,150.00M,110.00M,810.00M,0.00,150.00M,92.00M,,,,,,-1.069B,24.00M,1.052B,,,,,,-832.00M,195.00M,-652.00M,,-2.00M,,-2.00M,32.00M,-8.00M,24.00M,,,,-150.00M,,13.00M,-111.00M,,262.00M,281.00M,-2.00M,541.00M,,-8.00M,32.00M,,-2.00M,-8.00M,,,,AOR,Restated
2004-12,271.00M,3.00M,,3.00M,174.00M,174.00M,-102.00M,827.00M,,-2.618B,102.00M,,,,,448.00M,307.00M,,1.188B,,,,,-3.00M,-453.00M,-558.00M,-1.227B,,94.00M,,94.00M,111.00M,-3.00M,108.00M,,,,-149.00M,,17.00M,46.00M,,258.00M,-5.00M,9.00M,262.00M,,,111.00M,94.00M,0.00,-3.00M,,,,AOR,Restated
2004-09,311.00M,49.00M,,49.00M,252.00M,252.00M,-63.00M,820.00M,,820.00M,320.00M,,,,,86.00M,471.00M,,1.84B,,,,,0.00,-2.574B,752.00M,-1.784B,,137.00M,,137.00M,0.00,0.00,0.00,,,,-149.00M,,24.00M,12.00M,,192.00M,68.00M,-2.00M,258.00M,,,0.00,140.00M,-3.00M,0.00,,,,AOR,Restated
2004-06,-302.00M,-55.00M,,-55.00M,71.00M,71.00M,-98.00M,805.00M,,805.00M,-90.00M,,,,,-205.00M,1.011B,,1.432B,,,,,151.00M,-447.00M,-552.00M,-843.00M,,-185.00M,,-185.00M,,-11.00M,-11.00M,,,,-263.00M,,-78.00M,-537.00M,,140.00M,52.00M,0.00,192.00M,,,,39.00M,-224.00M,-11.00M,,,,AOR,Restated
2004-03,587.00M,42.00M,,42.00M,25.00M,25.00M,-17.00M,526.00M,,526.00M,-12.00M,,,,,-309.00M,-382.00M,,781.00M,,,,,,-282.00M,-681.00M,-932.00M,,29.00M,,29.00M,,-9.00M,-9.00M,,,,-81.00M,,,-61.00M,,352.00M,-212.00M,0.00,140.00M,,,,29.00M,0.00,-9.00M,,,,AOR,Restated
2003-12,489.00M,-38.00M,,-38.00M,30.00M,30.00M,28.00M,526.00M,,526.00M,-50.00M,,,,,-23.00M,-86.00M,,949.00M,,,,,0.00,-818.00M,76.00M,-731.00M,,12.00M,,12.00M,0.00,-5.00M,-5.00M,900.00M,900.00M,,-82.00M,,-900.00M,-75.00M,,209.00M,143.00M,0.00,352.00M,,,0.00,12.00M,0.00,895.00M,,,,AOR,Restated
2003-09,426.00M,23.00M,,23.00M,36.00M,36.00M,70.00M,512.00M,,512.00M,56.00M,,,,,-89.00M,-13.00M,,1.054B,,,,,0.00,2.151B,-2.652B,-482.00M,,-444.00M,,-444.00M,,-47.00M,-47.00M,0.00,0.00,,-81.00M,,0.00,-572.00M,,209.00M,0.00,0.00,209.00M,,,,10.00M,-454.00M,-47.00M,,,,AOR,Restated
2003-06,441.00M,-23.00M,,-23.00M,8.70M,8.70M,-13.30M,946.00M,,418.70M,190.40M,480.40M,-280.60M,-23.80M,-280.60M,332.00M,106.20M,,938.30M,,,,,0.00,-192.50M,276.10M,100.60M,,469.10M,-549.50M,-80.40M,-10.50M,-3.70M,-14.20M,-900.00M,-900.00M,,-63.50M,,78.30M,-979.80M,,150.10M,59.10M,0.00,209.00M,,,-10.50M,18.60M,-99.00M,-903.70M,,,,AOR,Restated
2003-03,340.00M,,,,10.30M,10.30M,454.30M,,,527.30M,-63.40M,-480.40M,280.60M,23.80M,280.60M,,-439.20M,,892.70M,,,,,,-716.50M,-646.10M,-1.363B,,131.90M,549.50M,681.40M,10.50M,-2.30M,8.20M,,,,-60.50M,,-101.30M,527.80M,,92.20M,57.90M,,150.10M,,,10.50M,1.931B,-1.25B,-2.30M,,,,AOR,Restated
2002-12,-20.00M,-295.00M,,-295.00M,-25.00M,-25.00M,,,,456.00M,-387.00M,,72.00M,,,-610.00M,1.154B,,2.491B,,47.00M,-10.00M,37.00M,195.00M,-4.15B,2.445B,-1.532B,,-5.033B,,-5.033B,3.677B,129.00M,3.806B,,,,26.00M,-70.00M,,-1.372B,,429.00M,-413.00M,-10.00M,92.00M,,,3.677B,785.00M,-5.818B,129.00M,,,,AOR,Restated
2002-09,69.00M,78.00M,,78.00M,24.00M,24.00M,,,,-14.00M,287.00M,,18.00M,,,82.00M,196.00M,,353.00M,,-10.00M,0.00,-10.00M,-136.00M,-1.189B,413.00M,-841.00M,,435.00M,,435.00M,413.00M,-28.00M,385.00M,,,,-62.00M,-14.00M,,744.00M,,166.00M,256.00M,7.00M,429.00M,,,413.00M,443.00M,-8.00M,-28.00M,,,,AOR,Restated
2002-06,-218.00M,32.00M,,32.00M,22.00M,22.00M,,,,-225.00M,177.00M,,-40.00M,,,104.00M,375.00M,,-14.00M,,-21.00M,9.00M,-12.00M,0.00,553.00M,-301.00M,239.00M,,-158.00M,,-158.00M,,-48.00M,-48.00M,,,,-63.00M,20.00M,,-249.00M,,185.00M,-24.00M,5.00M,166.00M,,,,0.00,-158.00M,-48.00M,,,,AOR,Restated
2002-03,142.00M,38.00M,,38.00M,21.00M,21.00M,,,,26.00M,-122.00M,,-50.00M,,,,-131.00M,,96.00M,,-16.00M,1.00M,-15.00M,-59.00M,-125.00M,66.00M,-137.00M,,130.00M,,130.00M,,-57.00M,-57.00M,,,,-60.00M,64.00M,,77.00M,,151.00M,36.00M,-2.00M,185.00M,,,,498.00M,-368.00M,-57.00M,,,,AOR,Restated
2001-12,-719.00M,96.00M,,96.00M,105.00M,105.00M,,,,3.00M,102.00M,,-112.00M,,,,1.067B,-114.00M,438.00M,,-18.00M,5.00M,-13.00M,-1.00M,-1.041B,106.00M,-895.00M,,13.00M,,13.00M,0.00,-45.00M,-45.00M,,,,-60.00M,0.00,,443.00M,,168.00M,-14.00M,-3.00M,151.00M,,,575.00M,13.00M,0.00,-85.00M,,,,AOR,Restated
2001-09,-595.00M,81.00M,,81.00M,26.00M,26.00M,,,,-116.00M,-229.00M,,-75.00M,,,,981.00M,116.00M,493.00M,,-18.00M,1.00M,-17.00M,155.00M,-464.00M,15.00M,-531.00M,,310.00M,,310.00M,0.00,-267.00M,-267.00M,,,,-61.00M,25.00M,,112.00M,,94.00M,74.00M,0.00,168.00M,,,0.00,345.00M,-35.00M,-267.00M,,,,AOR,Restated
2001-06,96.00M,-6.00M,,-6.00M,23.00M,23.00M,,,,18.00M,-85.00M,,-51.00M,,,,18.00M,62.00M,211.00M,,-17.00M,3.00M,-14.00M,0.00,214.00M,9.00M,108.00M,,-22.00M,,-22.00M,,-219.00M,-219.00M,,,,-63.00M,33.00M,,-277.00M,,53.00M,42.00M,-1.00M,94.00M,,,,128.00M,-150.00M,-219.00M,,,,AOR,Restated
2001-03,209.00M,-77.00M,,-77.00M,26.00M,26.00M,,,,-26.00M,14.00M,,-61.00M,,,,-326.00M,39.00M,-155.00M,,-17.00M,0.00,-17.00M,0.00,283.00M,22.00M,24.00M,,153.00M,,153.00M,,-230.00M,-230.00M,,,,-61.00M,26.00M,,132.00M,,52.00M,1.00M,0.00,53.00M,,,,164.00M,-11.00M,-230.00M,,,,AOR,Restated
2000-12,159.00M,,,,26.00M,26.00M,-166.00M,,,-141.00M,423.00M,,122.00M,873.00M,96.00M,,628.00M,,-101.00M,,-4.00M,,6.00M,191.00M,618.00M,-144.00M,96.00M,,9.00M,,9.00M,-51.00M,-75.00M,-126.00M,,,,-61.00M,,-314.00M,29.00M,,81.00M,24.00M,,52.00M,,,-51.00M,0.00,9.00M,-75.00M,,,,AOR,Restated
2000-09,242.00M,,,,30.00M,30.00M,49.00M,,,885.00M,-745.00M,,100.00M,-745.00M,100.00M,,-1.244B,,-38.00M,,-32.00M,,-32.00M,4.00M,-6.00M,100.00M,66.00M,,43.00M,,43.00M,17.00M,-179.00M,-162.00M,,,,-60.00M,,127.00M,-52.00M,,52.00M,-24.00M,,81.00M,,,17.00M,0.00,43.00M,-179.00M,,,,AOR,
2000-06,207.00M,,,,27.00M,27.00M,84.00M,,,-352.00M,101.00M,,-179.00M,101.00M,-179.00M,,-202.00M,,-236.00M,,-37.00M,,-37.00M,-169.00M,297.00M,126.00M,217.00M,,33.00M,,33.00M,-5.00M,-2.00M,-7.00M,,,,-59.00M,,70.00M,37.00M,,34.00M,18.00M,,52.00M,,,-5.00M,402.00M,-369.00M,-2.00M,,,,AOR,
2000-03,362.00M,,,,22.00M,22.00M,33.00M,,,-113.00M,-229.00M,,-17.00M,-229.00M,-17.00M,,-492.00M,,-188.00M,,-15.00M,,-15.00M,-37.00M,426.00M,-71.00M,303.00M,,50.00M,,50.00M,39.00M,-331.00M,-292.00M,,,,-61.00M,,117.00M,-186.00M,,105.00M,-71.00M,,34.00M,,,39.00M,96.00M,-46.00M,-331.00M,,,,AOR,
1999-12,152.00M,,,,24.00M,24.00M,-107.00M,,,207.00M,168.00M,,1.00M,458.00M,-170.00M,,-4.00M,,-211.00M,,-53.00M,,17.00M,,1.009B,-385.00M,61.00M,,169.00M,,169.00M,-15.00M,-127.00M,-142.00M,,,,-62.00M,,-631.00M,135.00M,,171.00M,-15.00M,0.00,105.00M,,,-15.00M,140.00M,29.00M,-206.00M,,,,AOR,Restated
1999-09,137.00M,,,,29.00M,29.00M,2.00M,,,430.00M,-474.00M,,273.00M,-474.00M,273.00M,,-402.00M,,196.00M,,24.00M,,24.00M,,-292.00M,323.00M,55.00M,,-216.00M,,-216.00M,-7.00M,0.00,-7.00M,,,,-61.00M,,85.00M,-199.00M,,121.00M,52.00M,-2.00M,171.00M,,,-7.00M,-176.00M,-40.00M,0.00,,,,,
1999-06,219.00M,,,,28.00M,28.00M,105.00M,,,-452.00M,140.00M,,-146.00M,140.00M,-146.00M,,-12.00M,,-112.00M,,-28.00M,,-28.00M,,-128.00M,1.00M,-155.00M,,-9.00M,,-9.00M,16.00M,-36.00M,-20.00M,,,,-62.00M,,308.00M,217.00M,,169.00M,-50.00M,2.00M,121.00M,,,16.00M,11.00M,-20.00M,-36.00M,,,,,
1999-03,197.00M,,,,37.00M,37.00M,,,,5.00M,-124.00M,,43.00M,-124.00M,43.00M,,-162.00M,,77.00M,,-96.00M,,-96.00M,,-161.00M,-5.00M,-262.00M,,254.00M,,254.00M,6.00M,-229.00M,-223.00M,,,,-61.00M,,238.00M,208.00M,,146.00M,23.00M,,169.00M,,,6.00M,275.00M,-21.00M,-229.00M,,,,,
1998-12,-24.70M,,,,132.90M,132.90M,,,,-338.37M,78.64M,,-0.828M,,,,77.81M,,-152.36M,,-23.32M,,-23.32M,,36.45M,62.08M,-22.36M,,158.10M,,158.10M,13.24M,,-121.84M,,,,-61.36M,,178.48M,153.38M,,164.00M,-21.33M,,119.84M,,,13.24M,178.04M,-19.94M,,,,,AOR,
1998-09,103.00M,,,,-64.00M,-64.00M,,,,669.00M,-33.00M,,-219.00M,3.00M,-219.00M,,-468.00M,,240.00M,,89.00M,,89.00M,,-223.00M,-134.00M,-268.00M,,14.00M,,14.00M,-15.00M,,-15.00M,,,,-62.00M,,103.00M,40.00M,,129.00M,12.00M,,164.00M,,,-15.00M,25.00M,-11.00M,,,,,,
1998-06,-184.00M,,,,31.00M,31.00M,,,,-16.00M,-63.00M,,103.00M,-3.00M,103.00M,,140.00M,,-29.00M,,-35.00M,,-35.00M,,148.00M,49.00M,162.00M,,-67.00M,,-67.00M,-34.00M,,-34.00M,,,,-53.00M,,19.00M,-135.00M,,131.00M,-2.00M,,129.00M,,,-34.00M,36.00M,-103.00M,,,,,,
1998-03,195.00M,,,,33.00M,33.00M,,,,-510.00M,60.00M,,116.00M,,116.00M,,292.00M,,10.00M,,-115.00M,,-115.00M,,114.00M,58.00M,57.00M,,-91.00M,,-91.00M,61.00M,,61.00M,,,,-50.00M,,31.00M,-49.00M,,113.00M,18.00M,,131.00M,,,61.00M,,-91.00M,,,,,,
1997-12,320.70M,,,,,,39.00M,,,-286.90M,54.20M,,,-15.00M,,,39.20M,,220.00M,,-35.30M,,-35.30M,,105.70M,-182.50M,-112.10M,,-59.70M,,-59.70M,3.60M,-71.00M,-67.40M,,,,-50.40M,,105.10M,-72.40M,,104.30M,35.60M,,136.00M,,,3.60M,1.30M,-61.00M,-71.00M,,,,AOR,
1997-09,215.20M,,,,,,,,,184.30M,-69.60M,,60.50M,-63.10M,60.50M,,-11.70M,,387.80M,,-36.00M,,-36.00M,,-404.90M,-76.70M,-517.60M,,17.70M,,17.70M,1.90M,174.00M,175.90M,,,,-45.90M,,-42.00M,105.70M,,,-24.20M,,104.30M,,,1.90M,14.50M,3.20M,174.00M,,,,,
1997-06,333.80M,,,,,,4.30M,,,-63.60M,-119.30M,,38.20M,-56.60M,38.20M,,-99.50M,,175.00M,,-54.90M,,-54.90M,,-67.70M,8.40M,-114.20M,,57.70M,,57.70M,18.50M,-301.90M,-283.40M,,,,-63.20M,,245.70M,-43.20M,,,17.40M,-0.10M,,,,18.50M,152.20M,-94.50M,-301.90M,,,,,
1997-03,192.30M,,,,,,-4.30M,,,-165.80M,119.70M,,-98.70M,119.70M,-98.70M,,42.00M,,64.20M,,-15.80M,,-15.80M,,-17.10M,-21.20M,-54.10M,,21.30M,,21.30M,,-0.10M,-0.10M,,,,-39.50M,,9.20M,-9.10M,,37.20M,1.20M,0.10M,,,,,30.00M,-8.70M,-0.10M,,,,,
1996-12,452.70M,1.50M,,1.50M,98.00M,98.00M,293.80M,,,-229.00M,16.80M,,,,,,16.80M,,633.80M,,-292.40M,,-292.40M,,-175.30M,188.40M,-279.30M,,-140.50M,,-140.50M,,-166.20M,-167.40M,,,,-84.10M,,5.30M,-387.90M,,,-33.60M,-0.10M,109.90M,,,,2.00M,,-166.20M,,,,AOR,
1996-09,108.10M,-1.50M,,-1.50M,,,-275.30M,,,838.00M,-139.30M,,-98.40M,-22.30M,-98.40M,,-358.40M,,310.90M,,-19.20M,,-19.20M,,-33.30M,-211.90M,-264.40M,,21.60M,,21.60M,,-18.70M,-18.70M,,,,-39.60M,,-7.00M,-43.70M,,,2.80M,0.00,,,,,21.60M,,-18.70M,,,,,
1996-06,150.90M,24.10M,,24.10M,-7.90M,-7.90M,-11.30M,,,-182.50M,-41.10M,,122.70M,22.30M,122.70M,,226.60M,,199.90M,,-7.20M,,-7.20M,,-170.50M,5.80M,-171.90M,,22.60M,,22.60M,,-21.40M,-21.40M,,,,-39.70M,,8.00M,-30.50M,,,-2.40M,0.10M,,,,,22.60M,,-21.40M,,,,,
1996-03,128.80M,-24.10M,,-24.10M,7.90M,7.90M,-7.20M,,,40.10M,58.20M,,-24.30M,,-24.30M,,9.60M,,155.10M,,-6.50M,,-6.50M,,-106.70M,15.90M,-97.30M,,,,,,-20.20M,-20.20M,,,,-36.50M,,-2.30M,-59.00M,,34.40M,-1.20M,,,,,,,,-20.20M,,,,,
1995-12,155.20M,,,,7.00M,7.00M,-8.192M,,,390.33M,-258.78M,,28.28M,-40.90M,28.30M,,-243.09M,,301.24M,,-17.57M,,-17.57M,,-254.55M,49.97M,-273.85M,,60.46M,,85.46M,-207.00M,-41.21M,-248.21M,,,,-36.76M,,-29.04M,-21.56M,,,5.636M,0.04M,34.44M,,,0.00,0.102M,60.35M,-41.21M,,,,AOR,
1995-09,142.40M,,,,8.20M,8.20M,-15.40M,,,-239.70M,215.20M,,-26.50M,215.20M,-26.50M,,377.40M,,272.90M,,-14.80M,,-14.80M,,-167.30M,-95.60M,-277.70M,,36.90M,,36.90M,0.00,0.00,0.00,,,,-36.70M,,-4.10M,-3.90M,,,-8.60M,0.00,,,,0.00,127.40M,-90.50M,0.00,,,,,
1995-06,113.00M,,,,6.20M,6.20M,-17.00M,,,360.40M,-220.50M,,24.40M,-174.30M,24.40M,,-346.00M,,116.60M,,-11.70M,,-11.70M,,-262.50M,23.90M,-250.30M,,-38.90M,,-38.90M,207.00M,0.00,207.00M,,,,-36.70M,,3.40M,134.80M,,,1.20M,0.00,,,,207.00M,56.40M,-95.30M,0.00,,,,,
1995-03,110.60M,,,,6.00M,6.00M,-14.60M,,,122.80M,46.20M,,-22.00M,,-22.00M,,2.20M,,227.00M,,-10.80M,,-10.80M,,-192.90M,-7.80M,-211.50M,,9.10M,,9.10M,,-0.50M,-0.50M,,,,-34.50M,,-0.20M,-26.10M,,46.70M,-10.60M,0.10M,,,,,9.10M,,-0.50M,,,,,
1994-12,120.80M,,,,8.50M,8.50M,-14.88M,,,33.18M,76.75M,,6.466M,,6.50M,,89.72M,,237.32M,,-28.66M,,-28.66M,,-258.63M,81.08M,-206.21M,,20.54M,,-59.84M,,0.05M,0.05M,,,,-34.46M,,70.33M,-23.92M,,,6.884M,0.56M,46.66M,,,,20.49M,0.05M,0.05M,,,,AOR,
1994-09,129.80M,,,,6.00M,6.00M,-2.20M,,,344.20M,-327.10M,,-7.10M,,-7.10M,,-341.30M,,136.50M,,-19.80M,,-19.80M,,-107.10M,25.00M,-101.90M,,16.50M,,16.50M,,-0.50M,-0.50M,,,,-34.50M,,-16.10M,-34.60M,,,0.60M,0.60M,,,,,16.50M,0.00,-0.50M,,,,,
1994-06,127.80M,,,,4.90M,4.90M,-12.70M,,,89.70M,99.80M,,0.10M,,0.10M,,100.00M,,309.70M,,-8.30M,,-8.30M,,-237.00M,-21.80M,-267.10M,,8.30M,,8.30M,,-4.50M,-4.50M,,,,-34.50M,,5.60M,-25.10M,,,18.10M,0.60M,,,,,28.70M,-20.40M,-4.50M,,,,,
1994-03,64.40M,,,,4.50M,4.50M,-6.30M,,,129.30M,61.40M,,-18.80M,,-18.80M,,23.80M,,215.70M,,-9.80M,,-9.80M,,-154.60M,-16.00M,-180.40M,,28.50M,,28.50M,,-29.20M,-29.20M,,,,-32.60M,,-6.30M,-39.60M,,25.40M,-5.20M,-0.90M,,,,,28.50M,,-29.20M,,,,,
1993-12,89.70M,,,,5.10M,5.10M,-13.50M,,,14.70M,-15.30M,,34.80M,,34.80M,,54.30M,,150.30M,,-13.20M,,-13.20M,,-26.00M,-75.10M,-114.30M,,-28.10M,,-28.10M,,0.00,0.00,,,,-32.60M,,27.10M,-33.60M,,,1.80M,-0.70M,,,,,0.50M,-28.60M,0.00,,,,,
1993-09,141.40M,,,,5.50M,5.50M,-19.20M,,,135.80M,10.10M,,-8.30M,,-8.30M,,-6.50M,,257.00M,,-9.70M,,-9.70M,,-24.40M,-209.40M,-243.50M,,14.00M,,14.00M,,0.00,0.00,,,,-32.50M,,10.00M,-8.50M,,,4.90M,0.00,,,,,14.00M,0.00,0.00,,,,,
1993-06,108.50M,,,,3.70M,3.70M,-7.80M,,,22.70M,11.10M,,10.00M,,10.00M,,31.10M,,158.20M,,-11.30M,,-11.30M,,-173.10M,5.70M,-178.70M,,21.40M,,21.40M,,0.00,0.00,,,,-32.50M,,22.50M,11.40M,,,-9.00M,0.00,,,,,21.70M,-0.30M,0.00,,,,,
1993-03,88.00M,,,,5.90M,5.90M,-8.50M,,,110.80M,62.80M,,-45.50M,,-45.50M,,-28.20M,,168.00M,,-13.00M,,-13.00M,,-116.30M,-24.70M,-154.00M,,18.20M,,18.20M,,-0.20M,-0.20M,,,,-31.60M,,1.70M,-11.90M,,26.60M,1.10M,-0.90M,,,,,41.00M,-22.80M,-0.20M,,,,,
1992-12,-417.50M,,,,10.50M,10.50M,-54.00M,,,357.90M,19.20M,,13.80M,,13.80M,,46.80M,,-56.30M,,-23.70M,,-23.70M,,-116.60M,210.20M,69.90M,,7.90M,,7.90M,,0.00,0.00,,,,-31.60M,,23.70M,0.00,,,13.50M,0.00,,,,,7.90M,0.00,0.00,,,,,
1992-09,-63.90M,,,,8.40M,8.40M,-30.80M,,,363.10M,22.80M,,36.50M,,36.50M,,95.80M,,372.60M,,-30.40M,,-30.40M,,-101.50M,-236.00M,-367.90M,,45.10M,,45.10M,,-31.20M,-31.20M,,,,-31.80M,,10.80M,-7.10M,,,-2.40M,-0.10M,,,,,48.70M,-3.60M,-31.20M,,,,,
1992-06,143.20M,,,,7.00M,7.00M,-11.80M,,,138.80M,-25.10M,,-38.00M,,-38.00M,,-101.10M,,176.10M,,-14.10M,,-14.10M,,-160.70M,11.70M,-163.10M,,23.50M,,23.50M,,-26.00M,-26.00M,,,,-32.00M,,8.40M,-26.10M,,,-13.70M,-0.70M,,,,,23.50M,0.00,-26.00M,,,,,
1992-03,105.70M,,,,7.80M,7.80M,-16.80M,,,128.10M,47.40M,,-2.60M,,-2.60M,,42.20M,,267.00M,,-32.50M,,-32.50M,,-269.30M,46.00M,-255.80M,,17.60M,,17.60M,,-0.50M,-0.50M,,,,-30.70M,,6.90M,-6.70M,,24.20M,5.10M,0.70M,,,,,22.50M,-4.90M,-0.50M,,,,,
1991-12,109.50M,,,,-7.10M,-7.10M,-39.50M,,,135.10M,-46.10M,,-1.20M,36.70M,-1.20M,,-5.00M,,193.00M,,-37.10M,,-37.10M,,99.10M,-228.60M,-166.60M,,12.10M,,12.10M,,-0.10M,-0.10M,,,,-30.70M,,3.50M,-15.20M,,,11.20M,0.00,,,,,34.50M,-22.40M,-0.10M,,,,,
1991-09,107.70M,,,,12.90M,12.90M,-40.10M,,,31.80M,14.00M,,52.50M,14.00M,52.50M,,121.60M,,233.90M,,-21.70M,,-21.70M,,-442.40M,248.60M,-215.50M,,7.40M,,7.40M,,0.00,0.00,,,,-30.60M,,0.80M,-22.40M,,,-3.30M,0.70M,,,,,9.90M,-2.50M,0.00,,,,,
1991-06,103.70M,,,,13.10M,13.10M,-17.20M,,,35.30M,-18.20M,,0.70M,-18.20M,0.70M,,-35.80M,,99.10M,,-12.00M,,-12.00M,,105.20M,-171.60M,-78.40M,,8.80M,,8.80M,,-0.10M,-0.10M,,,,-30.50M,,6.90M,-14.90M,,,5.10M,-0.80M,,,,,20.40M,-11.60M,-0.10M,,,,,
1991-03,84.20M,,,,14.20M,14.20M,-13.50M,,,318.00M,-32.50M,,-67.40M,-32.50M,-67.40M,,-194.40M,,208.50M,,-23.60M,,-23.60M,,-259.10M,97.10M,-185.60M,,-8.50M,,-8.50M,,,,,,,-28.40M,,8.30M,-28.60M,,16.90M,-5.80M,,,,,,,-8.50M,,,,,,
1990-12,93.40M,,,,27.60M,27.60M,-37.00M,,,88.10M,75.90M,,51.40M,75.90M,51.40M,,256.90M,,429.00M,,-27.50M,,-27.50M,,-390.40M,-21.50M,-439.40M,,-10.40M,-2.60M,196.60M,,-4.00M,-4.00M,,,,-28.40M,,-212.40M,-48.20M,,,-59.00M,-0.50M,,,,,-2.30M,-8.10M,-4.00M,,,,,
1990-09,107.20M,,,,14.90M,14.90M,-31.70M,,,-66.30M,4.20M,,75.50M,4.20M,75.50M,,148.00M,,172.10M,,-37.60M,,-37.60M,,-68.00M,11.20M,-94.40M,,-7.70M,2.60M,-214.70M,,-7.20M,-7.20M,,,,-28.50M,,215.70M,-34.70M,,,46.30M,3.40M,,,,,-7.70M,,-7.20M,,,,,
1990-06,113.80M,,,,24.10M,24.10M,-30.50M,,,12.30M,-6.60M,,3.10M,-6.60M,3.10M,,-16.10M,,103.60M,,-25.10M,,-25.10M,,-44.30M,99.80M,30.40M,,222.20M,,222.20M,-23.20M,-299.90M,-323.10M,,,,-31.40M,,-3.50M,-135.80M,,,-1.40M,0.40M,,,,-23.20M,217.30M,4.90M,-299.90M,,,,,
1990-03,76.90M,,,,,,-16.10M,,,259.30M,-8.50M,,-31.90M,-8.50M,-31.90M,,-82.40M,,237.70M,,-19.10M,,-19.10M,,-50.10M,-60.30M,-129.50M,,-4.90M,,-4.90M,23.20M,-115.00M,-91.80M,,,,-27.10M,,5.20M,-118.60M,,41.30M,-10.20M,0.20M,,,,23.20M,,-4.90M,-115.00M,,,,,
