,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2003-06,24.73B,,24.73B,,,7.325B,,32.06B,,,,,,,,,1.011B,,,604.00M,5.067B,,5.067B,2.317B,,9.779B,41.84B,,29.09B,,29.09B,1.314B,1.314B,1.314B,30.40B,811.00M,,811.00M,5.229B,6.04B,37.66B,14.00M,2.905B,1.737B,387.00M,,,,-90.00M,4.179B
2003-03,2.388B,,2.388B,,,6.513B,,8.901B,,,,,,,,,1.048B,,,604.00M,4.651B,,4.651B,2.238B,,9.284B,40.44B,,28.30B,,28.30B,769.00M,769.00M,769.00M,29.07B,856.00M,,856.00M,5.207B,6.063B,36.38B,14.00M,-11.00M,1.743B,416.00M,,,,-11.00M,4.056B
2002-12,3.114B,,3.114B,,,7.067B,,10.18B,,,,,,,,,868.00M,,,609.00M,4.555B,,4.555B,22.72B,,29.52B,39.70B,,28.01B,,28.01B,508.00M,508.00M,508.00M,28.52B,642.00M,,642.00M,5.231B,5.873B,35.69B,14.00M,2.769B,1.744B,465.00M,,,,-51.00M,4.011B
2002-09,2.502B,,2.502B,,,7.248B,,9.75B,,,,,,,,,917.00M,,,627.00M,4.334B,,4.334B,1.883B,,27.82B,37.57B,,26.10B,,26.10B,760.00M,760.00M,760.00M,26.86B,652.00M,,652.00M,4.70B,5.352B,33.42B,14.00M,2.882B,1.737B,431.00M,,,,-59.00M,4.143B
2002-06,2.498B,,2.498B,,,8.65B,,11.15B,,,,,,,,,961.00M,,,626.00M,4.247B,,4.247B,2.193B,,26.50B,37.64B,,25.75B,,25.75B,1.274B,1.274B,1.274B,27.02B,751.00M,,751.00M,4.357B,5.108B,33.30B,14.00M,2.914B,1.736B,262.00M,,,,-57.00M,4.345B
2002-03,1.85B,,1.85B,,,9.991B,,11.84B,,,,,,,,,1.002B,,,624.00M,4.184B,,4.184B,1.996B,,26.98B,38.82B,,27.20B,,27.20B,1.213B,1.213B,1.213B,28.41B,730.00M,,730.00M,4.117B,4.847B,34.55B,14.00M,2.845B,1.731B,252.00M,,,,-70.00M,4.268B
2001-12,4.407B,,4.407B,,,10.07B,,14.47B,,,,,,,,,1.058B,,,628.00M,4.046B,,4.046B,1.70B,,25.99B,40.46B,,28.22B,,28.22B,578.00M,578.00M,578.00M,28.80B,730.00M,,730.00M,5.448B,6.178B,36.30B,14.00M,2.794B,1.726B,295.00M,,,,-76.00M,4.163B
2001-09,3.761B,,3.761B,,,9.67B,,13.43B,,,,,,,,,1.124B,,,505.00M,3.868B,,3.868B,1.65B,,23.70B,37.13B,,25.48B,,25.48B,1.006B,1.006B,1.006B,26.49B,735.00M,,735.00M,4.373B,5.108B,32.95B,14.00M,2.849B,1.679B,278.00M,,,,-86.00M,4.178B
2001-06,15.94B,,15.94B,,,12.11B,,28.04B,,,,,,,,,1.152B,,,515.00M,3.529B,,3.529B,1.818B,,7.866B,35.91B,,25.06B,,25.06B,330.00M,330.00M,330.00M,25.39B,746.00M,,746.00M,4.139B,4.885B,31.59B,14.00M,2.867B,1.661B,128.00M,,,,-91.00M,4.323B
2001-03,2.704B,,2.704B,,,12.39B,,29.80B,,,,,,,,,1.176B,,,500.00M,3.123B,,3.123B,1.764B,,7.434B,37.23B,,26.75B,,26.75B,285.00M,285.00M,285.00M,27.03B,768.00M,,768.00M,4.066B,4.834B,32.92B,14.00M,2.795B,1.62B,21.00M,,,,-103.00M,4.305B
2000-12,4.876B,,4.876B,,,16.68B,,21.56B,,,,,,,,,1.133B,,,605.00M,3.147B,,3.147B,1.618B,,16.60B,38.15B,,27.33B,,27.33B,339.00M,339.00M,339.00M,27.67B,770.00M,,770.00M,4.209B,4.979B,33.92B,14.00M,2.713B,1.588B,,,,,-86.00M,4.23B
2000-09,2.792B,,2.792B,,,21.20B,,28.67B,,,,,,,,,962.37M,,,501.94M,3.005B,,3.005B,1.496B,,6.833B,35.51B,,25.28B,,25.28B,320.41M,320.41M,320.41M,25.60B,793.29M,,793.29M,3.790B,4.583B,31.47B,13.84M,2.590B,1.530B,,,,,-91.83M,4.042B
2000-06,2.660B,,2.660B,,,20.74B,,28.16B,,,,,,,,,839.15M,,,515.93M,2.952B,,2.952B,1.552B,,6.763B,34.93B,,24.71B,,24.71B,269.09M,269.09M,269.09M,24.98B,829.12M,,829.12M,3.962B,4.791B,31.13B,13.79M,2.462B,1.423B,,,,,-99.98M,3.799B
2000-03,2.227B,,2.227B,,,22.70B,,31.84B,,,,,,,,,667.43M,,,520.56M,,,,413.07M,,1.900B,33.74B,,28.83B,,28.83B,,,,28.83B,655.13M,,655.13M,,655.13M,30.60B,8.394M,2.067B,1.151B,,,0.059M,-83.74M,-83.68M,3.143B
1999-12,2.612B,,2.612B,,,17.54B,,28.98B,,,,,,,,,678.00M,,,54.00M,2.689B,,2.689B,1.333B,,5.341B,34.32B,,25.64B,,25.64B,141.00M,141.00M,141.00M,25.78B,518.00M,,518.00M,4.205B,4.723B,31.75B,13.00M,2.145B,595.00M,97.00M,,,,-81.00M,2.576B
1999-09,1.633B,,1.633B,,,13.98B,,24.02B,,,,,,,,,532.10M,,,46.10M,,,,304.00M,,1.068B,25.09B,,21.84B,,21.84B,,,,21.84B,465.00M,,465.00M,,465.00M,23.03B,,1.635B,,,,,,1.10M,2.056B
1999-06,1.468B,,1.468B,,,13.66B,,22.53B,,,,,,,,,454.90M,,,46.30M,,,,320.30M,,1.019B,23.55B,,20.51B,,20.51B,,,,20.51B,411.00M,,411.00M,,411.00M,21.64B,,1.522B,,,,,,-1.00M,1.915B
1999-03,1.04B,,1.04B,,,12.31B,,22.42B,,,,,,,,,418.90M,,,48.90M,,,,316.70M,,1.014B,23.44B,,20.76B,,20.76B,261.70M,261.70M,261.70M,21.02B,89.40M,,89.40M,,89.40M,21.72B,,1.386B,,,,,,0.10M,1.719B
1998-12,1.156B,,1.156B,,,9.980B,,21.38B,,,,,,,,,396.20M,,,46.30M,,,,242.10M,,885.20M,22.26B,,19.87B,,19.87B,,,,19.87B,351.00M,,351.00M,,351.00M,20.84B,,1.255B,,,,,,1.30M,1.429B
1998-09,1.021B,,1.021B,,,9.272B,,18.06B,,,,,,,,,389.80M,,,49.30M,,,,212.50M,,787.40M,18.85B,,16.70B,,16.70B,,,,16.70B,351.00M,,351.00M,,351.00M,17.54B,,1.166B,,,,2.40M,,2.40M,1.306B
1998-06,915.50M,,915.50M,,,9.427B,,17.45B,,,,,,,,,364.50M,,,50.80M,,,,232.40M,,813.30M,18.27B,,16.19B,,16.19B,,,,16.19B,391.00M,,391.00M,,391.00M,17.05B,,1.079B,,,,1.50M,,1.50M,1.215B
