,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-06,-1.70M,14.50M,34.00M,16.40M,50.40M,50.40M,9.70M,,,,29.10M,21.90M,5.50M,9.70M,5.50M,22.60M,,65.20M,167.20M,,-34.70M,0.30M,-34.40M,1.90M,2.30M,-30.20M,,-97.70M,-97.70M,0.90M,,0.90M,,,,,-96.80M,,164.90M,40.20M,171.00M,,0.90M,32.00M,-129.70M,,8.70M,15.70M,,AOR,Restated
2004-03,-42.70M,2.40M,36.10M,18.70M,54.80M,54.80M,-22.90M,,,,129.60M,-22.30M,-29.60M,-22.90M,-29.60M,4.80M,,-99.60M,21.60M,,-72.40M,4.10M,-68.30M,-45.60M,16.10M,-97.80M,,47.50M,47.50M,0.70M,,0.70M,,,,,48.20M,,192.90M,-28.00M,164.90M,,0.70M,62.60M,-15.10M,,34.20M,9.00M,,AOR,Restated
2003-12,-16.10M,-1.90M,34.80M,21.40M,56.20M,56.20M,-23.60M,,,,6.10M,21.10M,1.60M,,1.70M,33.20M,,62.00M,82.70M,,-45.40M,-3.10M,-48.50M,-94.00M,13.00M,-129.50M,,16.40M,16.40M,1.60M,,1.60M,,,,,18.00M,,221.70M,-28.80M,192.90M,,1.60M,27.40M,-11.00M,,-0.10M,-31.10M,,AOR,Restated
2003-09,40.70M,1.90M,32.70M,15.00M,47.70M,47.70M,27.60M,,,,-44.90M,-0.40M,0.90M,,-1.60M,13.60M,,12.50M,85.50M,,-75.60M,3.10M,-72.50M,79.00M,-4.40M,2.10M,,18.60M,18.60M,0.90M,,0.90M,,,,,19.50M,,114.60M,107.10M,221.70M,,0.90M,36.70M,-18.10M,,0.10M,31.10M,,AOR,Restated
2003-06,45.20M,0.40M,33.10M,17.60M,50.70M,50.70M,27.70M,,,,59.50M,-6.40M,8.50M,,11.00M,-4.80M,,8.30M,191.80M,,-140.70M,-0.80M,-141.50M,-198.70M,-2.40M,-342.60M,,22.60M,22.60M,0.60M,,0.60M,,,,36.40M,59.60M,,205.80M,-91.20M,114.60M,,0.60M,23.90M,-1.30M,,,-7.80M,,AOR,Restated
2003-03,-56.30M,-0.40M,32.40M,15.20M,47.60M,47.60M,-31.70M,,,,54.30M,-9.50M,-11.00M,,-11.00M,13.20M,,-18.30M,-4.80M,,-107.50M,0.80M,-106.70M,-40.20M,-21.20M,-168.10M,,145.50M,145.50M,0.60M,,0.60M,,,,-36.40M,109.70M,,269.00M,-63.20M,205.80M,,0.60M,186.40M,-40.90M,,,7.80M,,AOR,Restated
2002-12,-43.10M,-44.60M,233.20M,,295.40M,295.40M,40.00M,,,,-152.30M,-40.20M,,,-9.10M,-38.70M,,-88.00M,7.40M,,-52.60M,0.10M,-52.50M,-15.50M,4.80M,-63.20M,,59.30M,59.30M,0.60M,,0.60M,,,,,16.10M,,308.20M,-39.70M,269.00M,,0.60M,32.50M,26.80M,,-20.80M,-32.10M,,AOR,Restated
2002-09,-36.90M,53.80M,-33.90M,,-33.90M,-33.90M,9.10M,,,,83.20M,10.10M,,,-2.10M,-47.80M,,-39.80M,35.50M,,-109.10M,1.40M,-107.70M,84.10M,34.60M,11.00M,,-8.00M,-8.00M,-0.20M,,-0.20M,,,,,-8.20M,,269.90M,38.30M,308.20M,,-0.20M,0.00,-8.00M,,0.00,9.10M,,AOR,
2002-06,46.50M,-57.50M,-34.50M,,-34.50M,-34.50M,-8.40M,,,,84.60M,6.70M,,,19.20M,52.80M,,78.70M,109.40M,,-11.80M,0.20M,-11.60M,-170.00M,-26.30M,-207.90M,,14.30M,14.30M,0.20M,,0.20M,,,,,14.50M,,353.90M,-84.00M,269.90M,,0.20M,25.50M,-11.20M,,20.80M,13.10M,,AOR,
2002-03,-85.10M,48.30M,-32.30M,,-32.30M,-32.30M,-10.00M,,,,80.10M,-21.00M,,,-34.00M,26.20M,,-28.80M,-27.80M,,-27.40M,1.90M,-25.50M,-95.50M,19.70M,-101.30M,,-7.60M,-7.60M,0.30M,,0.30M,,,,,-7.30M,,490.30M,-136.40M,353.90M,,0.30M,,-7.60M,,,9.90M,,AOR,
2001-12,-37.40M,17.30M,231.00M,73.70M,304.70M,304.70M,-6.90M,,,,-210.20M,4.80M,,,-18.70M,-41.70M,,-55.60M,11.90M,,-44.20M,1.30M,-42.90M,468.40M,4.30M,429.80M,,87.10M,87.10M,0.10M,,0.10M,,,,-69.20M,18.00M,,31.10M,459.70M,490.80M,,0.10M,98.50M,-11.40M,,1.70M,15.10M,,AOR,Restated
2001-09,26.20M,0.90M,-34.30M,,-34.30M,-34.30M,30.40M,,,,87.00M,31.90M,,,0.80M,5.50M,,38.20M,148.40M,,-75.30M,1.00M,-74.30M,-301.70M,9.00M,-367.00M,,212.90M,212.90M,0.80M,,0.80M,,,,,213.70M,,36.00M,-4.90M,31.10M,,0.80M,223.00M,-10.10M,,16.60M,12.10M,,AOR,
2001-06,0.90M,3.30M,-92.50M,-20.60M,-113.10M,-113.10M,15.80M,,,,110.80M,-14.10M,,,-6.20M,26.20M,48.30M,54.20M,71.90M,,-194.90M,-45.30M,-240.20M,-32.60M,32.00M,-240.80M,,59.30M,59.30M,0.20M,,0.20M,,,,60.20M,119.70M,,84.90M,-49.20M,36.00M,,0.20M,46.80M,12.50M,,0.00,6.70M,,AOR,
2001-03,-33.10M,0.80M,29.90M,20.60M,50.50M,50.50M,-18.20M,,,,51.30M,-19.50M,,,7.70M,63.10M,-48.30M,3.00M,54.30M,,-139.40M,45.50M,-93.90M,53.80M,-0.10M,-40.20M,,29.50M,29.50M,0.40M,,0.40M,,,,-60.20M,-30.30M,,101.10M,-16.20M,84.90M,,0.40M,89.70M,-60.20M,,0.10M,16.00M,,AOR,
2000-12,-82.70M,23.40M,-182.80M,-47.70M,-230.50M,-230.50M,64.30M,,,,172.30M,18.90M,,,-43.80M,-1.20M,101.00M,74.90M,21.70M,,39.40M,36.50M,75.90M,-110.30M,-97.20M,-131.60M,,73.60M,73.60M,0.20M,,0.20M,,,,,73.80M,,137.50M,-36.10M,101.40M,,0.20M,119.50M,-45.90M,,-10.10M,18.30M,,AOR,Restated
2000-09,15.90M,-0.10M,27.90M,19.30M,47.20M,47.20M,11.60M,,,,108.50M,5.30M,,,5.10M,6.50M,-101.00M,-84.10M,99.00M,,-109.70M,-37.70M,-147.40M,-86.20M,38.60M,-195.00M,,113.40M,113.40M,0.20M,,0.20M,,,,,113.60M,,119.90M,17.60M,137.50M,,0.20M,118.70M,-5.30M,,11.90M,0.20M,,AOR,
2000-06,7.10M,23.60M,70.40M,28.40M,98.80M,98.80M,-30.90M,,,,-103.40M,-5.40M,,,3.20M,48.90M,60.30M,107.00M,102.20M,,-124.80M,37.70M,-87.10M,-12.30M,-0.30M,-99.70M,,-8.20M,-8.20M,0.00,,0.00,,,,,-8.20M,,125.60M,-5.70M,119.90M,,0.00,,-8.20M,,0.10M,10.00M,,AOR,
2000-03,-7.50M,-0.10M,-23.00M,,-23.00M,-23.00M,-7.20M,,,,103.40M,-24.80M,,,-8.10M,77.80M,-60.30M,-15.40M,50.20M,,-101.80M,,-101.80M,49.10M,1.20M,-51.50M,,-6.40M,-6.40M,0.80M,,0.80M,,,,,-5.60M,,132.50M,-6.90M,125.60M,,0.80M,,-6.40M,,1.70M,,,AOR,
1999-12,17.00M,0.00,184.20M,,234.30M,234.30M,-9.50M,,,,-224.50M,15.90M,,,-20.30M,-26.40M,19.70M,-11.10M,6.20M,,-275.80M,8.40M,-267.40M,-26.50M,120.70M,-173.20M,,249.60M,249.60M,0.20M,,0.20M,,,,-27.10M,222.70M,,76.80M,55.70M,132.50M,,0.20M,,-9.60M,,13.10M,2.00M,,AOR,Restated
1999-09,54.90M,0.70M,-35.10M,,-35.10M,-35.10M,20.70M,,,,118.70M,9.20M,,,-3.40M,-25.50M,-49.00M,-68.70M,91.20M,,-140.20M,2.10M,-138.10M,83.40M,-51.60M,-106.30M,,-6.20M,-6.20M,0.60M,,0.60M,,,,29.70M,24.10M,,67.80M,9.00M,76.80M,,0.60M,,-6.20M,,22.00M,4.60M,,,
1999-06,42.10M,0.10M,-33.50M,,-33.50M,-33.50M,21.30M,,,,55.70M,-8.90M,,,7.10M,58.70M,13.80M,70.70M,156.40M,,-77.80M,,-77.80M,-25.10M,-42.20M,-145.10M,,-5.10M,-5.10M,0.50M,,0.50M,,,,,-4.60M,,61.10M,6.70M,67.80M,,0.50M,,-5.10M,,-4.40M,-2.30M,,,
1999-03,20.20M,0.10M,-30.80M,,-30.80M,-30.80M,12.30M,,,,72.90M,-20.20M,,,-10.10M,41.60M,-9.70M,1.60M,76.30M,,-71.20M,,-71.20M,48.90M,-21.00M,-43.30M,,-6.30M,-6.30M,5.00M,,5.00M,,,,,-1.30M,,29.40M,31.70M,61.10M,,5.00M,,-6.30M,,4.40M,2.30M,,,
1998-12,27.00M,0.50M,160.20M,,201.30M,201.30M,-8.20M,,,,-212.70M,20.10M,,,-14.60M,-60.20M,54.10M,-0.60M,7.30M,,-285.70M,33.20M,-252.50M,-62.30M,96.70M,-218.10M,,-10.10M,-10.10M,0.40M,,0.40M,,,,57.50M,47.80M,,192.40M,-163.00M,29.40M,,0.40M,,-10.10M,,20.40M,1.50M,,AOR,Restated
1998-09,45.40M,0.30M,-29.90M,,-29.90M,-29.90M,11.10M,,,,147.70M,3.50M,,,2.30M,19.80M,-87.80M,-62.20M,112.40M,,-22.80M,-0.40M,-23.20M,-17.50M,-108.90M,-149.60M,,-6.10M,-6.10M,0.10M,,0.10M,,,,82.90M,76.90M,,152.70M,39.70M,192.40M,,0.10M,,-6.10M,,28.10M,14.30M,,,
1998-06,38.90M,0.20M,-27.70M,,-27.70M,-27.70M,17.70M,,,,26.30M,-8.10M,,,4.60M,36.70M,28.20M,61.40M,116.80M,,-195.50M,0.40M,-195.10M,-24.00M,20.70M,-198.40M,,-22.60M,-22.60M,0.50M,,0.50M,,,,178.70M,156.60M,,77.70M,75.00M,152.70M,,0.50M,,-22.60M,,,-4.40M,,,
1998-03,13.10M,,-27.50M,,-27.50M,-27.50M,6.30M,,,,82.50M,-13.50M,,,-4.60M,45.60M,-28.20M,-0.70M,73.70M,,-109.40M,,-109.40M,-63.30M,-7.70M,-180.40M,,-6.70M,-6.70M,5.60M,,5.60M,,,,82.90M,81.80M,,102.60M,-24.90M,77.70M,,5.60M,,-6.70M,,,4.40M,,,
1997-12,15.10M,-1.00M,-26.40M,,-26.40M,-26.40M,-11.80M,,,,3.20M,15.50M,,,-30.60M,-34.50M,48.50M,-1.10M,-22.00M,,-100.80M,,-100.80M,-16.70M,-17.50M,-135.00M,,-10.00M,-10.00M,123.60M,,123.60M,,,,47.30M,160.90M,,98.70M,3.90M,102.60M,,123.60M,0.00,-10.00M,,20.60M,9.00M,,AOR,
1997-09,42.20M,-0.40M,-26.40M,,-26.40M,-26.40M,23.60M,,,,78.10M,5.50M,,,9.90M,9.90M,-27.50M,-2.20M,114.90M,,-104.70M,,-104.70M,-47.10M,-15.90M,-167.70M,,-34.80M,-34.80M,3.70M,,3.70M,,,,100.30M,69.20M,,82.30M,16.40M,98.70M,,3.70M,0.00,-34.80M,,-3.00M,4.90M,,,
1997-06,20.80M,0.20M,-25.50M,,-25.50M,-25.50M,15.80M,,,,63.80M,-10.90M,,,-0.90M,24.60M,-12.30M,0.50M,75.60M,,-133.00M,,-133.00M,13.70M,-17.00M,-136.30M,,25.30M,25.30M,0.30M,,0.30M,,,,99.10M,124.70M,,18.30M,64.00M,82.30M,,0.30M,56.40M,-31.10M,,0.00,10.10M,,,
1997-03,-5.70M,-0.70M,-25.10M,,-25.10M,-25.10M,-4.80M,,,,78.10M,-13.00M,,,11.00M,29.90M,-33.00M,-5.10M,36.70M,,-32.10M,,-32.10M,-7.60M,-4.40M,-44.10M,,-25.40M,-25.40M,1.70M,,1.70M,,,,,-23.70M,,49.40M,-31.10M,18.30M,,1.70M,28.00M,-53.40M,,4.50M,4.70M,,,
1996-12,-5.60M,-6.30M,143.40M,,178.00M,178.00M,-14.90M,,,,-152.20M,8.10M,,,-12.90M,4.40M,2.40M,2.00M,1.00M,,-109.00M,,-49.80M,27.10M,25.50M,2.80M,,146.40M,127.50M,0.10M,,0.10M,,,,-133.90M,-6.30M,,51.90M,-2.50M,49.40M,,0.10M,,-119.30M,,14.00M,10.40M,,AOR,
1996-09,32.80M,-3.60M,-25.70M,,-25.70M,-25.70M,16.30M,,,,132.20M,11.40M,,,13.60M,-14.50M,-79.80M,-69.30M,82.70M,,-21.40M,,-21.40M,-27.40M,-30.80M,-79.60M,,-32.50M,-32.50M,0.10M,,0.10M,,,,28.20M,-4.20M,,53.00M,-1.10M,51.90M,,0.10M,,-32.50M,,5.80M,6.30M,,,
1996-06,18.00M,0.10M,-25.50M,,-25.50M,-25.50M,13.80M,,,,22.90M,25.90M,,,-28.70M,45.00M,23.60M,65.80M,95.10M,,-118.90M,,-118.90M,22.20M,2.30M,-94.40M,,-28.30M,-28.30M,16.00M,,16.00M,,,,0.00,-12.30M,,64.60M,-11.60M,53.00M,,16.00M,,-28.30M,,0.00,17.80M,,,
1996-03,-7.20M,0.70M,-24.70M,,-24.70M,-24.70M,-6.70M,,,,77.50M,-26.60M,,,14.10M,40.60M,-23.60M,4.50M,44.10M,,-20.50M,,-20.50M,35.00M,3.50M,18.00M,,-85.60M,-85.60M,4.90M,,4.90M,,,,57.40M,-23.30M,,25.80M,38.80M,64.60M,,4.90M,,-85.60M,,0.80M,9.00M,,,
1995-12,-0.70M,-1.30M,137.90M,,162.20M,162.20M,-4.80M,,,,-139.30M,17.00M,,,-10.40M,-31.40M,,-24.80M,-8.70M,,-56.30M,,-41.70M,-23.80M,-11.80M,-77.30M,,192.10M,233.00M,0.20M,,0.20M,,,,-179.60M,53.60M,,58.10M,-32.40M,25.80M,,0.20M,330.60M,-97.60M,,3.10M,17.90M,,AOR,
1995-09,27.30M,2.60M,-23.40M,,-23.40M,-23.40M,23.00M,,,,46.80M,-15.80M,,,-6.70M,5.90M,,-16.60M,59.70M,,-12.10M,,-12.10M,16.60M,7.10M,11.60M,,-141.90M,-141.90M,1.90M,,1.90M,,,,-1.80M,-141.80M,,128.60M,-70.50M,58.10M,,1.90M,0.00,-141.90M,,0.00,6.60M,,,
1995-06,7.00M,0.60M,-23.70M,,-23.70M,-23.70M,5.80M,,,,47.50M,-12.40M,,,-2.50M,35.80M,,20.90M,58.10M,,-13.50M,,-13.50M,-40.80M,9.30M,-45.00M,,110.70M,110.70M,0.70M,,0.70M,,,,,111.40M,,4.20M,124.50M,128.60M,,0.70M,128.80M,-18.10M,,-0.10M,17.40M,,,
1995-03,-16.30M,,-22.50M,,-22.50M,-22.50M,-11.60M,,,,45.00M,-7.30M,,,2.40M,26.70M,,21.80M,16.40M,,-21.40M,,-21.40M,32.10M,-0.70M,10.00M,,-33.80M,-33.80M,,,,,,,,-33.80M,,11.60M,-7.40M,4.20M,,,4.00M,-37.80M,,2.00M,10.70M,,,
1994-12,-5.10M,-0.40M,113.69M,,134.64M,134.64M,-7.313M,,,,-114.02M,9.819M,,,-2.70M,-16.90M,,-9.781M,-1.967M,,-47.03M,,-35.06M,28.03M,-7.742M,-14.77M,,62.50M,67.50M,0.498M,,0.498M,,,,-70.43M,-2.434M,,30.80M,-19.17M,11.60M,,0.498M,115.90M,-48.40M,,-3.20M,16.00M,,AOR,
1994-09,24.20M,0.30M,-19.60M,,-19.60M,-19.60M,12.20M,,,,39.30M,3.40M,,,-1.90M,-11.90M,,-10.40M,46.00M,,-12.80M,,-12.80M,-43.30M,2.60M,-53.50M,,-10.50M,-10.50M,0.00,,0.00,,,,0.10M,-10.40M,,48.70M,-17.90M,30.80M,,0.00,0.00,-10.50M,,-1.30M,7.90M,,,
1994-06,9.70M,-1.00M,-19.60M,,-19.60M,-19.60M,7.90M,,,,38.90M,-5.90M,,,-11.60M,45.70M,,28.20M,64.10M,,-39.90M,,-39.90M,-8.50M,1.50M,-46.90M,,2.20M,2.20M,0.20M,,0.20M,,,,1.50M,3.90M,,27.60M,21.10M,48.70M,,0.20M,26.00M,-23.80M,,6.70M,13.80M,,,
1994-03,-6.30M,,-17.90M,,-17.90M,-17.90M,-5.20M,,,,36.00M,-2.10M,,,16.30M,15.20M,,29.40M,36.00M,,-88.90M,,-88.90M,4.40M,-1.00M,-85.50M,,49.80M,49.80M,0.10M,,0.10M,,,,,49.90M,,27.20M,0.40M,27.60M,,0.10M,78.00M,-28.20M,,,7.10M,,,
1993-12,-20.30M,15.80M,-15.00M,,-15.00M,-15.00M,-1.60M,,,,36.30M,2.90M,,,-16.30M,-31.80M,,-45.20M,-30.00M,,-4.20M,3.70M,-0.50M,13.30M,3.20M,16.00M,,-16.50M,-16.50M,0.00,27.00M,27.00M,,-0.10M,,19.10M,29.50M,,,,,,0.00,40.20M,-56.70M,27.00M,,,,,
1993-09,8.00M,-0.50M,-14.50M,,-14.50M,-14.50M,5.90M,,,,41.40M,-1.00M,,,1.30M,-25.50M,,-25.20M,15.10M,,-7.10M,2.70M,-4.40M,-4.80M,1.60M,-7.60M,,-10.60M,-10.60M,0.00,0.00,0.00,,0.00,,0.50M,-10.10M,,,,,,0.00,0.00,-10.60M,0.00,,,,,
1993-06,-3.60M,-0.10M,-14.50M,,-14.50M,-14.50M,-1.20M,,,,32.30M,12.20M,,,-8.10M,41.70M,,45.80M,58.70M,,-9.40M,0.60M,-8.80M,-25.00M,1.20M,-32.60M,,23.00M,23.00M,0.10M,-60.40M,-60.30M,,-0.80M,,17.70M,-20.40M,,,,,,0.10M,27.00M,-4.00M,-60.40M,,,,,
1993-03,-15.00M,-0.50M,-14.40M,,-14.40M,-14.40M,-11.20M,,,,36.20M,-5.00M,,,8.00M,6.60M,,9.60M,4.70M,,-8.90M,0.20M,-8.70M,19.10M,-4.00M,6.40M,,-8.10M,-8.10M,0.10M,,0.10M,,-1.60M,,0.30M,-9.30M,,6.90M,,,,0.10M,,-8.10M,,,,,,
1992-12,-44.60M,27.30M,-14.70M,,-14.70M,-14.70M,-6.20M,,,,37.80M,1.10M,,,0.80M,-19.80M,,-17.90M,-18.30M,,-30.30M,3.80M,-26.50M,4.20M,20.20M,-2.10M,,-8.10M,-8.10M,0.10M,,0.10M,,-1.60M,,17.00M,7.40M,,,,,,0.10M,37.50M,-45.60M,,,,,,
1992-09,-2.20M,0.70M,-14.10M,,-14.10M,-14.10M,-1.20M,,,,36.10M,-5.70M,,,0.10M,1.70M,,-3.90M,15.40M,,-48.70M,0.10M,-48.60M,-42.20M,-3.70M,-94.50M,,17.70M,17.70M,0.00,,0.00,,-2.30M,,72.50M,87.90M,,,,,,0.00,47.20M,-29.50M,,,,,,
1992-06,-17.80M,0.30M,-14.00M,,-14.00M,-14.00M,-10.70M,,,,35.90M,1.80M,,,-7.00M,40.90M,,35.70M,29.40M,,-130.00M,0.10M,-129.90M,5.60M,-3.90M,-128.20M,,-25.30M,-25.30M,0.20M,,0.20M,,-2.20M,,125.10M,97.80M,,,,,,0.20M,50.00M,-75.30M,,,,,,
1992-03,-15.70M,,-14.00M,,-14.00M,-14.00M,-7.70M,,,,38.10M,-20.30M,,,-1.30M,14.60M,,-7.00M,-6.30M,,-68.90M,0.10M,-68.80M,36.60M,-7.90M,-40.10M,,40.50M,40.50M,1.20M,,1.20M,,-2.30M,,,39.40M,,19.10M,,,,1.20M,46.30M,-5.80M,,,,,,
1991-12,-0.90M,-1.60M,7.80M,,7.80M,7.80M,-6.80M,,,,18.20M,18.00M,,,2.50M,-22.20M,,-1.70M,15.00M,,-12.60M,0.30M,-12.30M,-11.30M,-12.50M,-36.10M,,-14.30M,-14.30M,0.30M,,0.10M,,-2.20M,,1.60M,-14.80M,,,,,,0.30M,0.00,-14.30M,,,,,,
1991-09,16.70M,-0.10M,-20.60M,,-20.60M,-20.60M,12.10M,,,,41.20M,13.00M,,,-7.90M,-30.90M,,-25.80M,23.50M,,-54.20M,0.40M,-53.80M,26.50M,-30.40M,-57.70M,,39.90M,39.90M,0.30M,,0.30M,,-2.30M,,9.00M,46.90M,,,,,,0.30M,46.80M,-6.90M,,,,,,
1991-06,4.50M,0.80M,-20.00M,,-20.00M,-20.00M,2.70M,,,,39.90M,-11.40M,,,-5.00M,39.90M,,23.50M,51.40M,,-15.10M,0.10M,-15.00M,-76.00M,-8.80M,-99.80M,,109.70M,109.70M,0.10M,,0.10M,,-2.30M,,-19.60M,87.90M,,,,,,0.10M,114.70M,-5.00M,,,,,,
1991-03,-10.00M,0.40M,-19.00M,,-19.00M,-19.00M,-7.30M,,,,38.10M,-15.50M,,,-1.10M,7.00M,,-9.60M,-7.40M,,-62.20M,0.50M,-61.70M,-18.60M,-14.10M,-94.40M,,96.90M,96.90M,0.10M,,0.10M,,-2.20M,,-19.10M,75.70M,,28.90M,,,,0.10M,98.50M,-1.60M,,,,,,
1990-12,-10.10M,-2.20M,-46.30M,,-46.30M,-46.30M,-11.30M,,,,100.30M,-22.60M,,,-20.90M,49.60M,,6.10M,36.50M,,-156.40M,0.60M,-155.80M,78.30M,-85.40M,-162.90M,,128.90M,128.90M,61.20M,-69.80M,-8.60M,,-6.10M,,28.20M,142.40M,,,,,,61.20M,148.10M,-19.20M,-69.80M,,,,,
1990-09,19.80M,0.00,13.00M,,13.00M,13.00M,9.20M,,,,-33.60M,54.00M,,,41.60M,-82.90M,,12.70M,21.10M,,43.10M,0.00,43.10M,-71.40M,21.50M,-6.80M,,0.80M,0.80M,-81.20M,65.80M,-15.40M,,1.60M,,0.10M,-12.90M,,,,,,-81.20M,-0.30M,1.10M,65.80M,,,,,
1990-06,9.60M,0.10M,-14.10M,,-14.10M,-14.10M,3.00M,,,,28.20M,-19.50M,,,-21.10M,56.50M,,15.90M,42.70M,,-62.50M,0.20M,-62.30M,-10.30M,26.20M,-46.40M,,11.10M,11.10M,0.00,-0.30M,-0.30M,,-2.30M,,0.10M,8.60M,,,,,,0.00,12.00M,-0.90M,-0.30M,,,,,
1990-03,-2.10M,,-13.20M,,-13.20M,-13.20M,,,,,26.40M,-18.10M,,,0.60M,9.30M,,-8.20M,2.90M,,-20.50M,0.10M,-20.40M,60.00M,-55.40M,-15.80M,,-3.90M,-3.90M,81.20M,-69.50M,11.70M,,-1.60M,,-0.10M,6.10M,,13.40M,,,,81.20M,5.30M,-9.20M,-69.50M,,,,,
