,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-09,,80.30M,807.70M,888.00M,,156.80M,51.80M,109.70M,91.50M,170.50M,1.468B,,,3.819B,-985.10M,2.834B,,,,,,,154.90M,2.989B,4.457B,,88.80M,88.80M,597.70M,686.50M,,207.10M,,207.10M,,,,406.00M,1.300B,1.152B,,1.152B,125.60M,391.30M,516.90M,,461.20M,2.130B,3.430B,,42.70M,328.50M,892.60M,54.80M,-181.60M,1.027B,,AOR,Restated
2007-06,,158.20M,829.50M,987.70M,,189.10M,55.10M,93.90M,144.30M,159.50M,1.630B,,,3.641B,-947.60M,2.694B,,,,,,,156.00M,2.850B,4.479B,,93.30M,93.30M,609.90M,703.20M,,212.20M,,212.20M,,122.80M,122.80M,370.30M,1.408B,1.177B,,1.177B,122.80M,373.30M,373.30M,,584.90M,2.135B,3.544B,,42.70M,242.70M,888.40M,49.70M,-188.40M,935.70M,,AOR,Restated
2007-03,,161.00M,809.10M,970.10M,,158.30M,47.80M,110.60M,139.70M,167.60M,1.594B,,,3.503B,-932.50M,2.570B,,,,,,,178.50M,2.749B,4.343B,,75.80M,75.80M,625.60M,701.40M,,227.60M,,227.60M,,,,451.30M,1.380B,1.171B,,1.171B,91.60M,335.60M,427.20M,,478.00M,2.076B,3.457B,,42.60M,196.60M,884.70M,49.70M,-187.90M,886.30M,,AOR,Restated
2006-12,,230.70M,783.20M,1.014B,,134.20M,44.70M,88.10M,134.20M,157.20M,1.572B,530.70M,437.80M,3.265B,-906.10M,2.359B,,,,0.00,22.70M,,123.10M,2.505B,4.077B,,90.00M,90.00M,605.10M,695.10M,,430.30M,,430.30M,,,,111.30M,1.237B,1.032B,,1.032B,114.60M,333.00M,447.60M,,475.60M,1.955B,3.192B,,42.50M,206.90M,877.90M,50.40M,-191.40M,885.50M,,AOR,Restated
2006-09,,152.30M,955.40M,1.108B,,145.80M,52.40M,102.00M,122.90M,166.50M,1.697B,,,3.095B,-843.90M,2.251B,,33.60M,33.60M,,,,157.80M,2.442B,4.140B,,89.90M,89.90M,617.40M,707.30M,,315.00M,,315.00M,,,,358.20M,1.380B,945.50M,,945.50M,155.20M,317.70M,472.90M,,375.80M,1.794B,3.175B,,42.30M,237.10M,868.60M,52.80M,-130.20M,965.00M,,AOR,Restated
2006-06,,140.50M,962.90M,1.103B,,157.10M,43.40M,119.30M,103.10M,206.00M,1.732B,,,2.94B,-809.50M,2.130B,,33.60M,33.60M,,,,195.40M,2.360B,4.092B,,83.20M,83.20M,595.60M,678.80M,,313.40M,,313.40M,,,,431.00M,1.423B,889.20M,,889.20M,146.80M,305.30M,452.10M,,353.10M,1.694B,3.118B,,42.20M,254.50M,862.80M,53.40M,-131.90M,974.20M,,AOR,Restated
2006-03,,140.50M,871.10M,1.012B,,139.50M,44.40M,99.70M,98.50M,207.60M,1.601B,,,2.814B,-774.80M,2.039B,,33.60M,33.60M,,,,214.00M,2.287B,3.888B,,130.20M,130.20M,527.80M,658.00M,,277.00M,,277.00M,,,,395.70M,1.331B,1.027B,,1.027B,116.00M,293.70M,409.70M,,368.90M,1.806B,3.137B,,36.00M,199.00M,705.10M,56.30M,-132.30M,751.50M,,AOR,Restated
2005-12,,73.60M,909.00M,982.60M,,,,84.30M,91.80M,381.60M,1.540B,,,3.069B,-1.037B,2.032B,,,,,,,219.50M,2.252B,3.792B,,86.90M,86.90M,561.40M,648.30M,,113.50M,,113.50M,,,,403.80M,1.166B,969.10M,,969.10M,156.40M,291.10M,447.50M,,382.20M,1.799B,2.964B,,35.90M,278.10M,710.30M,56.60M,-132.00M,827.60M,,AOR,Restated
2005-09,,26.70M,719.00M,745.70M,,130.10M,48.10M,105.20M,61.80M,217.20M,1.308B,,,2.947B,-988.00M,1.959B,,38.60M,38.60M,,,,204.40M,2.202B,3.510B,,138.40M,138.40M,508.60M,647.00M,,134.10M,,134.10M,,,,320.50M,1.102B,970.00M,,970.00M,176.30M,276.50M,452.80M,,285.70M,1.708B,2.810B,,30.10M,311.10M,513.00M,57.70M,-87.70M,699.60M,,AOR,Restated
2005-06,,31.20M,694.90M,726.10M,,125.80M,46.10M,102.00M,75.50M,123.60M,1.199B,,,2.912B,-979.90M,1.932B,,38.60M,38.60M,,,,200.80M,2.171B,3.370B,,132.60M,132.60M,520.70M,653.30M,,57.00M,,57.00M,,,,375.60M,1.086B,979.50M,,979.50M,137.00M,313.80M,450.80M,,253.20M,1.684B,2.769B,,29.90M,220.90M,498.50M,60.40M,-85.00M,601.10M,,AOR,Restated
2005-03,,272.40M,491.10M,763.50M,,119.60M,43.70M,102.70M,80.20M,124.40M,1.234B,,,2.775B,-951.80M,1.824B,,38.60M,38.60M,,,,204.40M,2.066B,3.301B,,142.30M,142.30M,519.50M,661.80M,,54.00M,,54.00M,,,,340.30M,1.056B,980.40M,,980.40M,131.10M,307.40M,438.50M,,241.10M,1.66B,2.716B,,29.80M,203.50M,497.50M,60.50M,-82.70M,584.50M,,AOR,Restated
2004-12,,54.30M,819.60M,873.90M,,99.40M,42.00M,152.30M,74.70M,,1.242B,,,2.833B,-924.90M,1.908B,,38.60M,38.60M,,,,145.80M,2.093B,3.335B,,143.80M,143.80M,509.90M,653.70M,,53.40M,,53.40M,,,,250.20M,957.30M,989.60M,,989.60M,173.60M,304.70M,478.30M,,245.00M,1.713B,2.670B,,29.80M,284.00M,496.50M,60.50M,-81.60M,664.80M,,AOR,
2004-09,,222.90M,655.60M,878.50M,,120.50M,47.40M,169.50M,75.30M,,1.291B,,,2.816B,-898.60M,1.917B,,44.60M,44.60M,,,,156.20M,2.118B,3.409B,,139.30M,139.30M,362.20M,501.50M,,52.10M,,52.10M,,,,401.40M,955.00M,1.008B,,1.008B,208.30M,291.20M,499.50M,,233.40M,1.740B,2.696B,,29.60M,334.10M,488.40M,61.80M,-76.70M,713.60M,,AOR,Restated
2004-06,,206.10M,659.10M,865.20M,,121.10M,46.50M,126.10M,94.20M,,1.253B,,,2.770B,-850.30M,1.919B,,45.60M,45.60M,,,,143.90M,2.109B,3.362B,,139.40M,139.40M,461.00M,600.40M,,91.10M,,91.10M,,,,341.60M,1.033B,1.003B,,1.003B,182.40M,281.10M,463.50M,,227.00M,1.693B,2.726B,,29.60M,254.90M,487.70M,61.80M,-74.90M,635.50M,,AOR,Restated
2004-03,,164.90M,665.00M,829.90M,,143.00M,47.20M,117.10M,95.10M,,1.232B,,,2.891B,-914.60M,1.977B,,45.60M,45.60M,,,,144.80M,2.167B,3.399B,,125.40M,125.40M,359.20M,484.60M,,201.80M,,201.80M,,,,402.80M,1.089B,993.80M,,993.80M,178.30M,276.30M,454.60M,,220.50M,1.669B,2.758B,,29.50M,256.60M,487.00M,61.90M,-70.00M,641.20M,,AOR,Restated
2003-12,,192.90M,619.40M,812.30M,,120.70M,45.80M,78.90M,90.60M,,1.148B,,,2.870B,-920.70M,1.949B,,,45.60M,,,,116.10M,2.111B,3.259B,,132.90M,132.90M,440.10M,573.00M,,206.70M,,206.70M,,,,237.70M,1.017B,906.90M,,906.90M,192.00M,252.40M,444.40M,,216.30M,1.568B,2.585B,,29.50M,299.30M,486.30M,61.90M,-79.00M,674.20M,,AOR,Restated
2003-09,,221.70M,526.90M,748.60M,,142.10M,68.00M,80.50M,83.40M,,1.123B,,,2.843B,-891.50M,1.951B,,50.90M,50.90M,,,,114.70M,2.117B,3.239B,,125.60M,125.60M,326.60M,452.20M,,55.70M,,55.70M,,,,353.00M,860.90M,1.041B,,1.041B,200.30M,238.70M,439.00M,,215.50M,1.696B,2.556B,,29.40M,315.40M,485.10M,62.30M,-84.60M,683.00M,,AOR,Restated
2003-06,,114.60M,606.90M,721.50M,,141.30M,70.10M,86.10M,74.70M,,1.094B,,,2.802B,-870.10M,1.932B,,50.90M,50.90M,,,,108.10M,2.091B,3.184B,,124.30M,124.30M,325.40M,449.70M,,62.00M,,62.00M,,,,381.90M,893.60M,1.016B,,1.016B,165.00M,235.50M,400.50M,,230.80M,1.648B,2.541B,,29.40M,274.70M,484.40M,62.50M,-82.70M,643.30M,,AOR,Restated
2003-03,,205.80M,409.80M,615.60M,,134.80M,67.80M,98.10M,74.00M,,990.30M,,,2.678B,-838.50M,1.839B,,50.90M,50.90M,,,,111.60M,2.002B,2.992B,,139.50M,139.50M,304.50M,444.00M,,39.90M,,39.90M,,,,347.90M,831.80M,979.00M,,979.00M,138.20M,233.10M,371.30M,,210.00M,1.560B,2.392B,,29.30M,229.50M,483.90M,62.50M,-80.20M,600.00M,,AOR,Restated
2002-12,,269.00M,366.80M,635.80M,,125.40M,49.90M,82.00M,61.20M,,954.30M,,,2.613B,-811.40M,1.801B,,,50.90M,,,,74.10M,1.926B,2.881B,,132.10M,132.10M,298.20M,430.30M,,48.60M,,48.60M,,,,299.00M,777.90M,856.70M,,856.70M,157.20M,232.00M,389.20M,,201.20M,1.447B,2.225B,,29.30M,285.80M,483.30M,62.50M,-80.20M,655.70M,,AOR,Restated
2002-09,,308.20M,354.40M,662.60M,,85.40M,71.40M,136.70M,,,956.10M,,,2.559B,-786.50M,1.773B,51.40M,,51.40M,,,,164.80M,1.989B,2.945B,,132.20M,132.20M,257.20M,389.40M,,46.20M,,46.20M,,,,320.90M,756.50M,843.70M,,843.70M,171.60M,177.90M,349.50M,,159.10M,1.352B,2.109B,,29.30M,375.90M,482.90M,62.50M,10.80M,836.40M,,AOR,
2002-06,,269.90M,437.00M,706.90M,,97.80M,71.50M,136.80M,,,1.013B,,,2.514B,-760.20M,1.754B,,,51.40M,,,,169.50M,1.975B,2.988B,,127.40M,127.40M,272.10M,399.50M,,45.70M,,45.70M,,,,371.90M,817.10M,852.10M,,852.10M,162.70M,179.50M,342.20M,,156.30M,1.351B,2.168B,,29.30M,365.30M,482.90M,62.50M,5.50M,820.50M,,AOR,
2002-03,,353.90M,265.80M,619.70M,,104.30M,69.90M,126.50M,,,920.40M,,,2.516B,-723.90M,1.792B,,51.40M,51.40M,,,,160.00M,2.004B,2.924B,,132.20M,132.20M,234.90M,367.10M,,43.70M,,43.70M,,,,348.50M,759.30M,862.50M,,862.50M,130.80M,176.40M,307.20M,,197.60M,1.367B,2.127B,,29.30M,340.60M,482.90M,62.50M,7.00M,797.30M,,AOR,
2001-12,,490.80M,169.80M,660.60M,,83.80M,70.20M,53.20M,51.20M,,919.00M,,,2.520B,-698.30M,1.822B,,51.40M,51.40M,,,,158.60M,2.032B,2.950B,,124.60M,124.60M,289.30M,413.90M,,43.20M,,43.20M,,,,294.90M,752.00M,852.20M,,852.20M,173.40M,204.30M,377.70M,,117.30M,1.347B,2.099B,,29.30M,404.40M,482.60M,62.50M,-2.50M,851.30M,,AOR,Restated
2001-09,,30.70M,636.60M,667.30M,,88.20M,76.70M,174.30M,,,1.006B,,,2.536B,-669.30M,1.866B,,51.90M,51.90M,,,,58.10M,1.976B,2.983B,,129.80M,129.80M,342.20M,472.00M,,37.80M,,37.80M,,,,239.00M,748.80M,869.40M,,869.40M,170.70M,157.40M,328.10M,,175.90M,1.373B,2.122B,,29.30M,411.40M,482.40M,62.60M,,860.50M,,AOR,
2001-06,,35.70M,334.90M,370.60M,,120.10M,71.70M,187.00M,,,749.40M,,,2.508B,-639.80M,1.868B,,52.40M,52.40M,,,,36.70M,1.957B,2.707B,,131.60M,131.60M,230.70M,362.30M,,38.60M,,38.60M,,,,366.60M,767.50M,656.00M,,656.00M,141.00M,142.20M,283.20M,,165.50M,1.105B,1.872B,,29.20M,386.10M,481.80M,62.60M,,834.50M,,AOR,
2001-03,,84.90M,306.70M,391.60M,,101.60M,67.90M,186.30M,,,747.40M,,,2.395B,-620.70M,1.774B,,52.90M,52.90M,,,,36.50M,1.864B,2.611B,,142.50M,142.50M,222.90M,365.40M,,33.90M,,33.90M,,,,341.80M,741.10M,611.30M,,611.30M,137.40M,135.10M,272.50M,,156.70M,1.040B,1.782B,,29.20M,381.40M,481.60M,62.60M,,829.60M,,AOR,
2000-12,,101.40M,357.80M,459.20M,,86.80M,63.10M,,,108.10M,717.20M,,,2.242B,-598.80M,1.643B,,53.40M,53.40M,,,,114.40M,1.811B,2.528B,,147.60M,147.60M,,147.60M,,66.70M,,66.70M,,,,495.00M,709.30M,509.20M,,509.20M,153.40M,,153.40M,,261.10M,923.70M,1.633B,,29.20M,447.80M,481.20M,62.60M,,895.10M,,AOR,Restated
2000-09,,137.50M,245.90M,383.40M,,99.50M,61.30M,155.10M,,,699.30M,,,2.245B,-574.10M,1.671B,,53.90M,53.90M,,,,37.90M,1.762B,2.462B,,133.00M,133.00M,315.40M,448.40M,,95.80M,,95.80M,,,,237.00M,781.20M,406.50M,,406.50M,117.50M,120.10M,237.60M,,145.60M,789.70M,1.571B,,29.20M,443.40M,481.00M,62.70M,,890.90M,,AOR,
2000-06,,119.90M,159.70M,279.60M,,104.80M,59.70M,161.80M,,,605.90M,,,2.151B,-549.90M,1.601B,,54.50M,54.50M,,,,36.60M,1.692B,2.298B,,115.00M,115.00M,220.30M,335.30M,,94.90M,,94.90M,,,,330.50M,760.70M,294.00M,,294.00M,105.90M,121.40M,227.30M,,140.90M,662.20M,1.423B,,29.20M,427.50M,480.80M,62.70M,0.00,874.80M,,AOR,
2000-03,,125.60M,147.40M,273.00M,,99.40M,57.70M,166.90M,,,597.00M,,,2.076B,-540.10M,1.536B,,55.00M,55.00M,,,,35.60M,1.627B,2.224B,,112.40M,112.40M,264.90M,377.30M,,97.00M,,97.00M,,,,252.70M,727.00M,300.10M,,300.10M,136.80M,36.40M,173.20M,,99.10M,572.40M,1.299B,,29.20M,477.30M,480.80M,62.70M,,924.20M,,AOR,
1999-12,,132.50M,196.50M,329.00M,,74.60M,54.30M,124.00M,,,581.90M,,,1.986B,-518.50M,1.467B,,55.50M,55.50M,,,,75.30M,1.598B,2.180B,,104.20M,104.20M,181.30M,285.50M,,66.50M,,66.50M,,,,266.70M,618.70M,337.00M,,337.00M,144.00M,37.40M,181.40M,,112.30M,630.70M,1.249B,,29.20M,484.80M,480.00M,62.70M,-0.60M,930.70M,,AOR,Restated
1999-09,,76.80M,170.10M,246.90M,,90.50M,54.70M,,,103.30M,495.40M,,,1.819B,-468.50M,1.351B,,56.00M,56.00M,,,,75.00M,1.482B,1.977B,,100.40M,100.40M,,100.40M,,27.10M,,27.10M,,,,473.10M,600.60M,153.90M,,153.90M,153.50M,,153.50M,,155.90M,463.30M,1.064B,,29.10M,467.80M,479.90M,62.70M,,913.30M,,,
1999-06,,67.80M,253.50M,321.30M,,99.80M,50.10M,,,104.40M,575.60M,,,1.668B,-450.00M,1.218B,,56.50M,56.50M,,,,78.20M,1.353B,1.929B,,96.00M,96.00M,,96.00M,,27.00M,,27.00M,,,,502.90M,625.90M,160.30M,,160.30M,132.90M,,132.90M,,152.00M,445.20M,1.071B,,29.10M,412.90M,479.20M,62.70M,,857.60M,,,
1999-03,,61.10M,228.30M,289.40M,,90.80M,45.60M,,,116.10M,541.90M,,,1.563B,-432.30M,1.130B,,57.00M,57.00M,,,,79.50M,1.267B,1.809B,,86.40M,86.40M,,86.40M,,27.40M,,27.40M,,,,453.80M,567.60M,165.00M,,165.00M,111.50M,,111.50M,,149.80M,426.30M,993.90M,,29.10M,370.80M,478.80M,62.70M,,814.80M,,,
1998-12,,29.40M,277.20M,306.60M,70.60M,70.60M,44.10M,107.50M,,,528.80M,,,1.508B,-446.60M,1.061B,,57.50M,57.50M,,,,84.20M,1.203B,1.732B,,84.30M,84.30M,235.80M,320.10M,,27.20M,,27.20M,,,,178.60M,525.90M,171.50M,,171.50M,99.20M,41.50M,140.70M,,104.20M,416.40M,942.30M,,29.00M,350.60M,473.90M,62.70M,,789.50M,,AOR,Restated
1998-09,,192.40M,214.90M,407.30M,,90.70M,48.20M,,,88.80M,635.00M,,,1.405B,-416.50M,988.80M,,58.00M,58.00M,,,,84.10M,1.131B,1.766B,,83.70M,83.70M,,83.70M,,27.60M,,27.60M,,,,463.00M,574.30M,181.10M,,181.10M,107.40M,,107.40M,,141.30M,429.80M,1.004B,,29.00M,323.60M,473.40M,62.70M,,761.80M,,,
1998-06,,152.70M,197.40M,350.10M,,94.20M,44.00M,,,95.30M,583.60M,,,1.362B,-402.50M,959.00M,,58.50M,58.50M,,,,85.80M,1.103B,1.687B,,82.30M,82.30M,,82.30M,,31.50M,,31.50M,,,,444.60M,558.40M,183.30M,,183.30M,96.30M,,96.30M,,132.80M,412.40M,970.80M,,29.00M,278.20M,473.30M,62.70M,,716.10M,,,
1998-03,,77.70M,173.40M,251.10M,,86.00M,46.40M,,,97.50M,481.00M,,,1.364B,-388.90M,974.70M,,59.00M,59.00M,,,,87.60M,1.121B,1.602B,,81.40M,81.40M,,81.40M,,29.20M,,29.20M,,,,408.80M,519.40M,334.70M,,334.70M,78.60M,,78.60M,,116.50M,529.80M,1.049B,,23.10M,239.30M,355.00M,62.60M,,553.10M,,,
1997-12,,102.60M,110.10M,212.70M,,72.60M,47.20M,,,92.10M,424.60M,,,1.334B,-373.80M,960.60M,,59.60M,59.60M,,,,88.30M,1.108B,1.533B,,73.90M,73.90M,,73.90M,,28.70M,,28.70M,,,,370.70M,473.30M,401.40M,,401.40M,72.30M,,72.30M,,110.80M,584.50M,1.058B,,21.00M,226.20M,292.50M,62.60M,,475.30M,,AOR,
1997-09,,98.70M,93.30M,192.00M,,88.10M,46.00M,,,62.80M,388.90M,,,1.275B,-360.40M,914.70M,,60.10M,60.10M,,,,87.00M,1.062B,1.451B,,83.00M,83.00M,,83.00M,,28.80M,,28.80M,,,,396.00M,507.80M,411.60M,,411.60M,84.10M,,84.10M,,111.10M,606.80M,1.115B,,17.50M,211.10M,172.20M,62.60M,,336.10M,,,
1997-06,,82.30M,46.30M,128.60M,,93.60M,47.30M,,,71.30M,340.80M,,,1.256B,-347.60M,908.70M,,60.60M,60.60M,,,,90.20M,1.060B,1.400B,,74.00M,74.00M,,74.00M,,56.60M,,56.60M,,,,395.20M,525.80M,418.50M,,418.50M,60.50M,,60.50M,,105.40M,584.40M,1.110B,,17.30M,168.80M,168.80M,62.70M,,290.10M,,,
1997-03,,18.30M,59.90M,78.20M,,82.70M,48.30M,,,69.40M,278.60M,,,1.218B,-339.20M,878.90M,,61.10M,61.10M,,,,90.10M,1.030B,1.309B,,72.20M,72.20M,,72.20M,,52.60M,,52.60M,,,,372.30M,497.10M,397.30M,,397.30M,44.70M,,44.70M,,100.70M,542.70M,1.040B,,17.30M,148.10M,168.40M,62.60M,,268.90M,,,
1996-12,,49.40M,52.40M,101.80M,,69.70M,47.80M,80.90M,,,300.20M,,,1.215B,-351.80M,863.40M,,61.60M,61.60M,,,,86.20M,1.011B,1.311B,,65.40M,65.40M,134.80M,200.20M,,71.10M,,71.10M,,,,214.50M,485.80M,404.10M,,404.10M,49.50M,18.10M,67.60M,,81.40M,553.10M,1.039B,,17.20M,153.80M,166.80M,62.60M,-2.70M,272.50M,,AOR,
1996-09,,51.90M,79.40M,131.30M,,77.80M,46.30M,,,69.60M,325.00M,,,1.190B,-333.10M,856.80M,,62.10M,62.10M,,,,88.00M,1.007B,1.332B,,68.30M,68.30M,,68.30M,,28.80M,,28.80M,,,,341.90M,439.00M,452.90M,,452.90M,64.40M,,64.40M,,97.90M,615.20M,1.054B,,17.20M,159.40M,166.70M,62.60M,,277.70M,,,
1996-06,,53.00M,52.10M,105.10M,,89.20M,46.00M,,,83.40M,323.70M,,,1.184B,-334.50M,849.90M,,62.60M,62.60M,,,,88.60M,1.001B,1.325B,,66.50M,66.50M,,66.50M,,30.40M,,30.40M,,,,356.60M,453.50M,483.70M,,483.70M,48.10M,,48.10M,,94.80M,626.60M,1.080B,,17.20M,126.60M,166.70M,62.60M,,244.70M,,,
1996-03,,64.60M,74.30M,138.90M,,115.10M,45.70M,,,55.10M,354.80M,,,1.081B,-325.30M,756.00M,,63.10M,63.10M,,,,89.10M,908.20M,1.263B,,58.50M,58.50M,,58.50M,,37.30M,,37.30M,,,,321.30M,417.10M,505.20M,,505.20M,34.30M,,34.30M,,96.00M,635.50M,1.053B,,17.00M,108.60M,160.20M,71.90M,,210.40M,,,
1995-12,,25.80M,109.30M,135.10M,,88.50M,44.80M,70.00M,,,338.40M,,,1.150B,-336.10M,814.00M,,63.60M,63.60M,,,,97.40M,975.00M,1.313B,,69.20M,69.20M,99.80M,169.00M,,105.60M,,105.60M,,,,170.20M,444.80M,522.40M,,522.40M,41.00M,20.00M,61.00M,,72.70M,656.10M,1.101B,,16.70M,115.80M,155.40M,71.80M,-3.60M,212.50M,,AOR,
1995-09,,58.10M,85.40M,143.50M,,105.50M,44.30M,,,60.20M,353.50M,,,1.136B,-300.10M,835.60M,,64.10M,64.10M,,,,99.20M,998.90M,1.352B,,64.40M,64.40M,,64.40M,,70.10M,,70.10M,,,,308.20M,442.70M,560.60M,,560.60M,45.70M,,45.70M,,90.60M,696.90M,1.140B,,16.70M,116.50M,155.20M,71.80M,,212.80M,,,
1995-06,,128.60M,102.10M,230.70M,,89.80M,42.90M,,,54.90M,418.30M,,,1.131B,-285.90M,844.80M,,64.70M,64.70M,,,,128.50M,1.038B,1.456B,,55.40M,55.40M,,55.40M,,72.10M,,72.10M,,,,331.20M,458.70M,699.60M,,699.60M,22.80M,,22.80M,,92.00M,814.40M,1.273B,,16.60M,89.20M,153.40M,71.80M,,183.20M,,,
1995-03,,4.20M,61.30M,65.50M,,77.40M,41.10M,,,54.10M,238.10M,,,1.136B,-273.50M,862.90M,,65.20M,65.20M,,,,121.60M,1.050B,1.288B,,55.90M,55.90M,,55.90M,,76.10M,,76.10M,,,,294.30M,426.30M,579.20M,,579.20M,17.00M,,17.00M,,90.00M,686.20M,1.112B,,16.60M,82.10M,152.80M,71.80M,,175.30M,,,
1994-12,,11.60M,93.34M,104.94M,,70.06M,40.25M,57.40M,,,272.64M,,,1.141B,-281.68M,859.34M,,65.67M,65.67M,,,,118.12M,1.043B,1.316B,,48.59M,48.59M,103.35M,151.94M,,97.00M,,97.00M,,,,170.80M,419.75M,589.90M,,589.90M,28.58M,23.02M,51.60M,,63.24M,704.75M,1.124B,,16.55M,98.47M,152.76M,71.81M,-4.697M,191.28M,,AOR,
1994-09,,30.80M,121.40M,152.20M,,79.90M,41.90M,,,53.10M,327.10M,,,1.030B,-256.50M,773.10M,,66.20M,66.20M,,,,115.80M,955.10M,1.282B,,53.00M,53.00M,,53.00M,,42.40M,,42.40M,,,,284.00M,379.40M,587.70M,,587.70M,35.90M,,35.90M,,83.50M,707.10M,1.086B,,16.50M,103.60M,152.30M,71.80M,,195.70M,,,
1994-06,,48.70M,78.10M,126.80M,,83.30M,41.30M,,,51.70M,303.10M,,,1.034B,-256.60M,777.90M,,66.70M,66.70M,,,,113.60M,958.20M,1.261B,,49.30M,49.30M,,49.30M,,41.50M,,41.50M,,,,298.60M,389.40M,596.60M,,596.60M,23.70M,,23.70M,,80.50M,700.80M,1.090B,,16.50M,79.30M,152.30M,71.80M,,171.10M,,,
1994-03,,27.60M,69.60M,97.20M,,77.30M,42.20M,,,39.30M,256.00M,,,1.011B,-249.10M,761.90M,,67.20M,67.20M,,,,106.50M,935.60M,1.192B,,47.30M,47.30M,,47.30M,,39.90M,,39.90M,,,,253.20M,340.40M,593.40M,,593.40M,15.80M,,15.80M,,81.10M,690.30M,1.031B,,16.50M,69.60M,152.10M,71.80M,,160.90M,,,
1993-12,,27.20M,,27.20M,,75.30M,41.30M,,,130.40M,274.20M,,,956.80M,-266.20M,690.60M,,67.70M,67.70M,,,,102.50M,860.80M,1.135B,,45.60M,45.60M,,45.60M,,55.60M,,55.60M,,,,234.30M,335.50M,525.40M,,525.40M,21.00M,,21.00M,,86.30M,632.70M,968.20M,,,75.90M,,,,166.80M,,,
1993-09,,11.70M,,11.70M,,78.20M,42.80M,,,126.00M,258.70M,,,1.008B,-267.30M,740.20M,,68.20M,68.20M,,,,100.50M,908.90M,1.168B,,42.30M,42.30M,,42.30M,,30.70M,,30.70M,,,,250.60M,323.60M,537.20M,,537.20M,22.70M,,22.70M,,97.30M,657.20M,980.80M,,,96.30M,,,,186.80M,,,
1993-06,,14.40M,,14.40M,,77.20M,43.10M,,,122.10M,256.80M,,,1.014B,-259.10M,755.40M,,68.70M,68.70M,,,,101.00M,925.10M,1.182B,,43.10M,43.10M,,43.10M,,77.60M,,77.60M,,,,267.60M,388.30M,498.40M,,498.40M,16.70M,,16.70M,,101.20M,616.30M,1.005B,,,88.20M,,,,177.30M,,,
1993-03,,8.70M,,8.70M,,89.40M,42.60M,,,89.50M,230.20M,,,1.038B,-255.40M,782.70M,,69.20M,69.20M,,,,101.90M,953.80M,1.184B,,47.60M,47.60M,,47.60M,,68.40M,,68.40M,,,,226.90M,342.90M,482.10M,,482.10M,17.90M,,17.90M,,98.50M,598.50M,941.40M,,,93.70M,,,,242.60M,,,
1992-12,,6.90M,,6.90M,,84.40M,42.10M,,,117.10M,250.50M,,,1.046B,-255.10M,790.90M,,69.80M,69.80M,,,,97.20M,957.90M,1.208B,,47.50M,47.50M,,47.50M,,68.40M,,68.40M,,,,219.80M,335.70M,487.80M,,487.80M,29.10M,,29.10M,,97.90M,614.80M,950.50M,,,110.40M,,,,257.90M,,,
1992-09,,19.90M,,19.90M,,85.50M,43.00M,,,110.40M,258.80M,,,1.061B,-236.50M,824.70M,,70.30M,70.30M,,,,97.20M,992.20M,1.251B,,137.20M,137.20M,,137.20M,,22.20M,,22.20M,,,,151.60M,311.00M,539.80M,,539.80M,24.10M,,24.10M,,68.80M,632.70M,943.70M,,,161.20M,,,,307.30M,,,
1992-06,,11.10M,,11.10M,,79.80M,42.00M,,,141.40M,274.30M,,,1.018B,-225.60M,792.80M,,70.80M,70.80M,,,,93.90M,957.50M,1.232B,,123.70M,123.70M,,123.70M,,45.80M,,45.80M,,,,159.70M,329.20M,496.10M,,496.10M,25.30M,,25.30M,,70.50M,591.90M,921.10M,,,165.80M,,,,310.70M,,,
1992-03,,12.10M,,12.10M,,81.60M,39.90M,,,132.30M,265.90M,,,1.033B,-215.00M,817.60M,,71.30M,71.30M,,,,93.40M,982.30M,1.248B,,113.20M,113.20M,,113.20M,,68.90M,,68.90M,,,,129.30M,311.40M,496.10M,,496.10M,36.00M,,36.00M,,75.20M,607.30M,918.70M,,,185.90M,,,,329.50M,,,
