,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2007-03,877.00M,,319.00M,319.00M,40.00M,359.00M,359.00M,,,,,,-16.00M,-231.00M,-298.00M,,-232.00M,,,-43.00M,-804.00M,728.00M,,2007-03,-451.00M,,-451.00M,,-75.00M,-99.00M,-681.00M,,2007-03,,-817.00M,91.00M,-360.00M,-269.00M,,-276.00M,,31.00M,,2007-03,6.118B,-1.284B,4.836B,,2007-03,91.00M,,,-360.00M,2007-03,,
2006-12,-1.226B,,53.00M,388.00M,22.00M,410.00M,410.00M,,,,,,1.79B,-410.00M,-76.00M,,-604.00M,,1.739B,285.00M,934.00M,2.441B,,2006-12,-588.00M,139.00M,-449.00M,,-109.00M,-149.00M,-618.00M,,2006-12,,-583.00M,-227.00M,-444.00M,-671.00M,,-237.00M,,277.00M,,2006-12,5.198B,903.00M,6.118B,,2006-12,-227.00M,,,-444.00M,2006-12,AOR,Restated
2006-09,694.00M,,516.00M,343.00M,28.00M,371.00M,371.00M,,,,,,184.00M,-455.00M,-158.00M,,-913.00M,,,321.00M,-1.205B,560.00M,,2006-09,-348.00M,-45.00M,-393.00M,,-1.634B,105.00M,-1.922B,,2006-09,,-471.00M,24.00M,-325.00M,-301.00M,,-238.00M,,0.00,,2006-09,7.567B,-2.372B,5.198B,,2006-09,24.00M,,,-325.00M,2006-09,,
2006-06,-160.00M,,-4.00M,364.00M,28.00M,392.00M,392.00M,,,,,,379.00M,543.00M,291.00M,503.00M,616.00M,,-88.00M,-29.00M,1.836B,2.443B,,2006-06,-333.00M,14.00M,-319.00M,,-111.00M,-20.00M,-450.00M,,2006-06,,-597.00M,64.00M,-525.00M,-461.00M,,-241.00M,,77.00M,,2006-06,6.781B,771.00M,7.567B,,2006-06,64.00M,,,-525.00M,2006-06,,
2006-03,692.00M,,393.00M,350.00M,22.00M,372.00M,372.00M,,,,,,-24.00M,78.00M,387.00M,-503.00M,271.00M,,88.00M,301.00M,622.00M,2.055B,,2006-03,-412.00M,117.00M,-295.00M,,,99.00M,-196.00M,,2006-03,,-29.00M,139.00M,-404.00M,-265.00M,,-240.00M,,41.00M,,2006-03,5.412B,1.366B,6.781B,,2006-03,139.00M,,,-404.00M,2006-03,,
2005-12,-2.112B,,-538.00M,351.00M,3.00M,354.00M,354.00M,,,,,,2.774B,-246.00M,-915.00M,-30.00M,-1.904B,,3.562B,370.00M,837.00M,2.387B,,2005-12,-473.00M,-1.659B,-2.132B,,-8.00M,-12.00M,-443.00M,,2005-12,,-108.00M,-274.00M,-832.00M,-1.106B,,-200.00M,,24.00M,,2005-12,4.547B,902.00M,5.412B,,2005-12,-274.00M,,,-832.00M,2005-12,AOR,Restated
2005-09,1.011B,,203.00M,350.00M,28.00M,378.00M,378.00M,,,,,,,-134.00M,-1.504B,-1.372B,2.115B,-9.00M,-626.00M,501.00M,-1.029B,563.00M,,2005-09,-287.00M,663.00M,376.00M,,-164.00M,-76.00M,138.00M,,2005-09,,-110.00M,105.00M,-905.00M,-800.00M,,-205.00M,,0.00,,2005-09,4.961B,-414.00M,4.547B,,2005-09,105.00M,,,-905.00M,2005-09,,
2005-06,566.00M,,533.00M,379.00M,30.00M,409.00M,409.00M,,,,,,-66.00M,483.00M,71.00M,-5.00M,286.00M,9.00M,525.00M,-166.00M,1.203B,2.645B,,2005-06,-480.00M,942.00M,462.00M,,,33.00M,494.00M,,2005-06,,-788.00M,108.00M,-645.00M,-537.00M,,-207.00M,,24.00M,,2005-06,3.33B,1.631B,4.961B,,2005-06,108.00M,,,-645.00M,2005-06,,
2005-03,535.00M,,519.00M,332.00M,30.00M,362.00M,362.00M,,,,,,66.00M,-695.00M,383.00M,-455.00M,496.00M,,101.00M,93.00M,-77.00M,1.405B,,2005-03,-307.00M,105.00M,-202.00M,,,-86.00M,-287.00M,,2005-03,,-372.00M,61.00M,-495.00M,-434.00M,,-208.00M,,22.00M,,2005-03,3.204B,126.00M,3.33B,,2005-03,61.00M,,,-495.00M,2005-03,,
2004-12,-1.686B,,-507.00M,478.00M,13.00M,491.00M,491.00M,,,,,,2.445B,497.00M,-379.00M,-742.00M,175.00M,,-285.00M,665.00M,-69.00M,1.367B,,2004-12,-547.00M,-1.854B,-2.401B,,2.00M,-1.617B,-1.758B,,2004-12,,-142.00M,-72.00M,-433.00M,-505.00M,,-168.00M,,0.00,,2004-12,4.312B,-1.108B,3.204B,,2004-12,-72.00M,,,-433.00M,2004-12,AOR,Restated
2004-09,456.00M,,249.00M,300.00M,30.00M,330.00M,330.00M,,,,,,26.00M,-1.102B,-151.00M,-1.60B,1.009B,3.00M,1.18B,547.00M,-114.00M,947.00M,,2004-09,-357.00M,403.00M,46.00M,,0.00,-1.283B,-1.216B,,2004-09,,-1.338B,20.00M,-115.00M,-95.00M,,-168.00M,,-2.00M,,2004-09,6.184B,-1.872B,4.312B,,2004-09,20.00M,,,-115.00M,2004-09,,
2004-06,607.00M,,247.00M,321.00M,27.00M,348.00M,348.00M,,,,,,68.00M,362.00M,1.184B,-1.011B,250.00M,-3.00M,-1.208B,410.00M,-16.00M,1.254B,,2004-06,-147.00M,1.716B,1.569B,,-36.00M,20.00M,1.559B,,2004-06,,-257.00M,26.00M,-204.00M,-178.00M,,-169.00M,,25.00M,,2004-06,3.95B,2.234B,6.184B,,2004-06,26.00M,,,-204.00M,2004-06,,
2004-03,623.00M,,257.00M,313.00M,27.00M,340.00M,340.00M,,,,,,-68.00M,2.00M,-119.00M,-1.002B,101.00M,,313.00M,-511.00M,-1.216B,-64.00M,,2004-03,-195.00M,3.00M,-192.00M,,,61.00M,-31.00M,,2004-03,,-471.00M,26.00M,,26.00M,,-143.00M,,,,2004-03,4.633B,-683.00M,3.95B,,2004-03,26.00M,,,,2004-03,,
2003-12,414.00M,,-1.582B,294.00M,15.00M,309.00M,309.00M,,,,,,1.043B,243.00M,1.211B,-35.00M,121.00M,,-543.00M,-261.00M,736.00M,2.46B,,2003-12,-263.00M,-158.00M,-421.00M,,0.00,,974.00M,,2003-12,,-400.00M,-24.00M,,-24.00M,,-143.00M,,,,2003-12,1.733B,2.90B,4.633B,,2003-12,-24.00M,,,,2003-12,AOR,Restated
2003-09,256.00M,,114.00M,274.00M,25.00M,299.00M,299.00M,,,,,,17.00M,32.00M,-387.00M,-1.214B,-427.00M,,1.092B,50.00M,-854.00M,-168.00M,,2003-09,-175.00M,58.00M,-117.00M,,360.00M,,-105.00M,,2003-09,,266.00M,4.00M,,4.00M,,-143.00M,,,,2003-09,1.879B,-146.00M,1.733B,,2003-09,4.00M,,,,2003-09,,
2003-06,-192.00M,,96.00M,395.00M,27.00M,422.00M,422.00M,,,,,,,57.00M,-56.00M,-479.00M,981.00M,,88.00M,-72.00M,519.00M,845.00M,,2003-06,-173.00M,38.00M,-135.00M,,0.00,,-350.00M,,2003-06,,-470.00M,4.00M,,4.00M,,-143.00M,,,,2003-06,1.993B,-114.00M,1.879B,,2003-06,4.00M,,,,2003-06,,
2003-03,-478.00M,,1.227B,343.00M,27.00M,370.00M,370.00M,,,,,,,25.00M,-275.00M,,-589.00M,,-637.00M,-71.00M,-1.547B,-428.00M,,2003-03,-130.00M,62.00M,-68.00M,,-71.00M,,-407.00M,,2003-03,,622.00M,16.00M,,16.00M,,-143.00M,,,,2003-03,2.333B,-340.00M,1.993B,,2003-03,16.00M,,,,2003-03,,
2002-12,98.00M,,-3.12B,470.00M,23.00M,493.00M,493.00M,,,,,,708.00M,-119.00M,632.00M,427.00M,-422.00M,,61.00M,-411.00M,168.00M,1.573B,,2002-12,-415.00M,-121.00M,-536.00M,,,,-1.014B,,2002-12,,202.00M,-54.00M,,-54.00M,,-143.00M,,,,2002-12,1.702B,631.00M,2.333B,,2002-12,-54.00M,,,,2002-12,AOR,Restated
2002-09,372.00M,,528.00M,341.00M,13.00M,354.00M,354.00M,,,,,,-14.00M,509.00M,-448.00M,-128.00M,-121.00M,,361.00M,-140.00M,33.00M,1.273B,,2002-09,-123.00M,69.00M,-54.00M,,,,-568.00M,,2002-09,,317.00M,7.00M,,7.00M,,-143.00M,,,,2002-09,816.00M,886.00M,1.702B,,2002-09,7.00M,,,,2002-09,,
2002-06,779.00M,,83.00M,304.00M,24.00M,328.00M,328.00M,,,,,,,-20.00M,636.00M,-481.00M,-172.00M,,-126.00M,-136.00M,-299.00M,891.00M,,2002-06,-240.00M,52.00M,-188.00M,,,,-823.00M,,2002-06,,235.00M,13.00M,,13.00M,,-143.00M,,,,2002-06,643.00M,173.00M,816.00M,,2002-06,13.00M,,,,2002-06,,
2002-03,-1.249B,,1.939B,294.00M,28.00M,322.00M,322.00M,,,,,,,-525.00M,551.00M,-158.00M,-41.00M,,-296.00M,-44.00M,-513.00M,499.00M,,2002-03,-223.00M,,-223.00M,,,,-877.00M,,2002-03,,496.00M,34.00M,,34.00M,,-142.00M,,,,2002-03,633.00M,10.00M,643.00M,,2002-03,34.00M,,,,2002-03,,
2001-12,-2.727B,,-1.137B,564.00M,87.00M,651.00M,651.00M,,,,,,,239.00M,934.00M,,-937.00M,1.465B,-1.46B,-476.00M,-254.00M,226.00M,,2001-12,-477.00M,-135.00M,-612.00M,,0.00,,-1.701B,,2001-12,,676.00M,-76.00M,0.00,-76.00M,,-143.00M,,,,2001-12,1.572B,-939.00M,633.00M,,2001-12,-76.00M,,,0.00,2001-12,AOR,Restated
2001-09,650.00M,,132.00M,277.00M,74.00M,351.00M,351.00M,,,,,,,-115.00M,-343.00M,,692.00M,-1.465B,1.013B,527.00M,309.00M,1.442B,,2001-09,-242.00M,67.00M,-175.00M,,-22.00M,,-1.341B,,2001-09,,979.00M,9.00M,-877.00M,-868.00M,,-142.00M,,,,2001-09,1.502B,70.00M,1.572B,,2001-09,9.00M,,,-877.00M,2001-09,,
2001-06,840.00M,,96.00M,285.00M,72.00M,357.00M,357.00M,,,,,,,-186.00M,609.00M,,-333.00M,,96.00M,-343.00M,-157.00M,1.136B,,2001-06,-230.00M,0.00,-230.00M,,,,-1.369B,,2001-06,,1.703B,38.00M,-1.409B,-1.371B,,-149.00M,,,,2001-06,1.552B,-50.00M,1.502B,,2001-06,38.00M,,,-1.409B,2001-06,,
2001-03,1.237B,,86.00M,315.00M,69.00M,384.00M,384.00M,,,,,,,404.00M,-1.227B,,343.00M,,351.00M,-488.00M,-617.00M,1.09B,,2001-03,-240.00M,68.00M,-172.00M,,,,-378.00M,,2001-03,,80.00M,29.00M,-131.00M,-102.00M,,-148.00M,,,,2001-03,1.01B,542.00M,1.552B,,2001-03,29.00M,,,-131.00M,2001-03,,
2000-12,-1.647B,,-116.00M,347.00M,73.00M,420.00M,420.00M,,,,,,,-1.166B,562.00M,,774.00M,,-993.00M,1.624B,427.00M,2.098B,,2000-12,-315.00M,-120.00M,-435.00M,,-5.411B,,-6.72B,,2000-12,,1.026B,-104.00M,-1.463B,-1.567B,,-125.00M,,,,2000-12,6.162B,-5.152B,1.01B,,2000-12,-104.00M,,,-1.463B,2000-12,,Restated
2000-09,609.00M,,59.00M,329.00M,32.00M,361.00M,361.00M,,,,,,,-91.00M,127.00M,,203.00M,,596.00M,-159.00M,676.00M,1.705B,,2000-09,-165.00M,45.00M,-120.00M,,-316.00M,,-902.00M,,2000-09,,1.183B,75.00M,-546.00M,-471.00M,,-125.00M,,,,2000-09,4.772B,1.39B,6.162B,,2000-09,75.00M,,,-546.00M,2000-09,,
2000-06,620.00M,,62.00M,318.00M,28.00M,346.00M,346.00M,,,,,,,-133.00M,1.785B,,262.00M,-1.00M,301.00M,-142.00M,2.072B,3.10B,,2000-06,-247.00M,58.00M,-189.00M,,,,-432.00M,,2000-06,,-163.00M,10.00M,-244.00M,-234.00M,,-127.00M,,,,2000-06,2.628B,2.144B,4.772B,,2000-06,10.00M,,,-244.00M,2000-06,,
2000-03,418.00M,,61.00M,323.00M,29.00M,352.00M,352.00M,,,,,,,31.00M,-1.435B,,-211.00M,1.00M,96.00M,-274.00M,-1.792B,-961.00M,,2000-03,-205.00M,17.00M,-188.00M,,,,426.00M,,2000-03,,21.00M,19.00M,-104.00M,-85.00M,,-127.00M,,,,2000-03,3.354B,-726.00M,2.628B,,2000-03,19.00M,,,-104.00M,2000-03,,
1999-12,662.00M,,113.00M,1.538B,107.00M,442.00M,442.00M,,,,,,,-250.00M,2.416B,,-752.00M,0.00,286.00M,-219.00M,1.481B,2.698B,,1999-12,-194.00M,35.00M,-159.00M,,,,-746.00M,,1999-12,,80.00M,35.00M,-1.256B,-1.221B,,-130.00M,,,,1999-12,2.673B,681.00M,3.354B,,1999-12,35.00M,,,-1.256B,1999-12,,
1999-09,477.00M,,-28.00M,-749.00M,-53.00M,401.00M,401.00M,,,,,,,435.00M,-104.00M,,19.00M,125.00M,312.00M,-378.00M,409.00M,1.259B,,1999-09,-368.00M,276.00M,-92.00M,,,,13.00M,,1999-09,,-254.00M,17.00M,-1.005B,-988.00M,,-134.00M,,,,1999-09,2.777B,-104.00M,2.673B,,1999-09,17.00M,,,-1.005B,1999-09,,
1999-06,701.00M,,63.00M,749.00M,53.00M,400.00M,400.00M,,,,,,,-207.00M,366.00M,,399.00M,51.00M,-307.00M,20.00M,322.00M,1.486B,,1999-06,-354.00M,48.00M,-306.00M,,,,-344.00M,,1999-06,,-76.00M,22.00M,-573.00M,-551.00M,,-136.00M,,,,1999-06,2.398B,379.00M,2.777B,,1999-06,22.00M,,,-573.00M,1999-06,,
1999-03,469.00M,,46.00M,,,402.00M,402.00M,,,,,,,-203.00M,-648.00M,,551.00M,3.00M,181.00M,-20.00M,-136.00M,781.00M,,1999-03,-320.00M,,-320.00M,,,,-356.00M,,1999-03,,11.00M,19.00M,-103.00M,-84.00M,,-137.00M,,,,1999-03,2.183B,215.00M,2.398B,,1999-03,19.00M,,,-103.00M,1999-03,,
1998-12,465.00M,,104.00M,,,397.00M,397.00M,,,,,,,-33.00M,2.216B,,-348.00M,0.00,-548.00M,,1.287B,2.253B,,1998-12,-437.00M,13.00M,-424.00M,,,,-1.675B,,1998-12,,177.00M,50.00M,-918.00M,-868.00M,,-139.00M,,,,1998-12,2.435B,-252.00M,2.183B,,1998-12,50.00M,,,-918.00M,1998-12,,
1998-09,347.00M,,34.00M,,,421.00M,421.00M,,,,,,,-20.00M,-339.00M,,-407.00M,23.00M,-50.00M,77.00M,-716.00M,86.00M,,1998-09,-392.00M,24.00M,-368.00M,,,,-280.00M,,1998-09,,-8.00M,-11.00M,-364.00M,-375.00M,,-142.00M,,,,1998-09,3.154B,-719.00M,2.435B,,1998-09,-11.00M,,,-364.00M,1998-09,,
1998-06,258.00M,,41.00M,,,396.00M,396.00M,,,,,,1.00M,64.00M,-1.037B,,-125.00M,152.00M,-27.00M,-35.00M,-1.008B,-312.00M,,1998-06,-346.00M,,-346.00M,,,,-353.00M,,1998-06,,-46.00M,-4.00M,-82.00M,-86.00M,,-141.00M,,,,1998-06,4.092B,-938.00M,3.154B,,1998-06,-4.00M,,,-82.00M,1998-06,,
