,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,13.82B,13.82B,11.57B,2.25B,,776.00M,459.00M,-34.00M,,,23.00M,1.258B,992.00M,,,-23.00M,,832.00M,254.00M,578.00M,,-1.827B,,-1.249B,601.62M,992.00M,,2002-03,0.72,-2.28,-1.56,,2002-03,0.72,-2.28,-1.56,,2002-03,0.17,,2002-03,,
2001-12,15.70B,15.70B,13.33B,2.371B,,775.00M,538.00M,377.00M,,,792.00M,2.105B,266.00M,,,305.00M,,110.00M,10.00M,100.00M,,0.00,,100.00M,-242.73M,563.00M,,2001-12,0.14,0.00,0.14,,2001-12,0.14,0.00,0.14,,2001-12,0.17,,2001-12,AOR,Restated
2001-09,13.69B,13.69B,11.41B,2.277B,,644.00M,515.00M,-80.00M,,,52.00M,1.211B,1.066B,,,-52.00M,,937.00M,287.00M,650.00M,,,,650.00M,705.50M,1.066B,,2001-09,0.81,0.00,0.81,,2001-09,0.80,0.00,0.80,,2001-09,0.17,,2001-09,,
2001-06,15.52B,15.52B,12.97B,2.549B,,743.00M,461.00M,,,,-22.00M,1.182B,1.367B,,,22.00M,,1.212B,372.00M,840.00M,,,,840.00M,840.00M,1.367B,,2001-06,1.02,0.00,1.02,,2001-06,0.99,0.00,0.99,,2001-06,0.17,,2001-06,,
2001-03,13.29B,13.29B,11.07B,2.223B,,605.00M,422.00M,,,,-22.00M,1.005B,1.218B,,,22.00M,,1.305B,69.00M,1.236B,,1.00M,,1.237B,1.236B,1.218B,,2001-03,1.48,0.00,1.48,,2001-03,1.45,0.00,1.45,,2001-03,0.17,,2001-03,,
2000-12,14.69B,14.69B,12.23B,2.465B,,819.00M,417.00M,-225.00M,,,-74.00M,1.162B,1.303B,,,-263.00M,,630.00M,149.00M,481.00M,,,,481.00M,652.79M,1.098B,,2000-12,0.57,0.00,0.57,,2000-12,0.55,0.00,0.55,,2000-12,0.14,,2000-12,,Restated
2000-09,11.88B,11.88B,9.993B,1.884B,,673.00M,361.00M,7.00M,,,-15.00M,1.019B,865.00M,,,15.00M,,876.00M,267.00M,609.00M,,,,609.00M,604.13M,865.00M,,2000-09,0.71,0.00,0.71,,2000-09,0.70,0.00,0.70,,2000-09,0.14,,2000-09,,
2000-06,14.84B,14.84B,12.94B,1.897B,,609.00M,375.00M,13.00M,,,-12.00M,972.00M,925.00M,,,12.00M,,891.00M,271.00M,620.00M,,,,620.00M,610.95M,925.00M,,2000-06,0.71,0.00,0.71,,2000-06,0.71,0.00,0.71,,2000-06,0.14,,2000-06,,
2000-03,9.91B,9.91B,8.547B,1.363B,,550.00M,288.00M,,,,-31.00M,807.00M,556.00M,,,31.00M,,602.00M,184.00M,418.00M,,,,418.00M,418.00M,556.00M,,2000-03,0.48,0.00,0.48,,2000-03,0.48,0.00,0.48,,2000-03,0.14,,2000-03,,
1999-12,15.20B,15.20B,13.34B,1.86B,,593.00M,315.00M,17.00M,,,-18.00M,890.00M,970.00M,,,18.00M,,953.00M,291.00M,662.00M,,,,662.00M,650.19M,970.00M,,1999-12,0.74,0.00,0.74,,1999-12,0.73,0.00,0.73,,1999-12,0.14,,1999-12,,
1999-09,13.28B,13.28B,11.80B,1.477B,,548.00M,315.00M,63.00M,,,-54.00M,809.00M,668.00M,,,54.00M,,683.00M,206.00M,477.00M,,,,477.00M,433.00M,668.00M,,1999-09,0.52,0.00,0.52,,1999-09,0.52,0.00,0.52,,1999-09,0.14,,1999-09,,
1999-06,15.12B,15.12B,13.42B,1.702B,,575.00M,350.00M,12.00M,,,-16.00M,909.00M,793.00M,,,16.00M,,1.018B,317.00M,701.00M,,,,701.00M,692.74M,793.00M,,1999-06,0.75,0.00,0.75,,1999-06,0.75,0.00,0.75,,1999-06,0.14,,1999-06,,
1999-03,14.39B,14.39B,12.76B,1.629B,,537.00M,361.00M,,,,-8.00M,890.00M,739.00M,,,8.00M,,670.00M,201.00M,469.00M,,,,469.00M,469.00M,739.00M,,1999-03,0.50,0.00,0.50,,1999-03,0.50,0.00,0.50,,1999-03,0.14,,1999-03,,
1998-12,17.10B,17.10B,15.49B,1.611B,,552.00M,464.00M,4.00M,,,-7.00M,1.009B,602.00M,,,7.00M,,554.00M,89.00M,465.00M,,,,465.00M,461.64M,602.00M,,1998-12,0.49,0.00,0.49,,1998-12,0.48,0.00,0.48,,1998-12,0.14,,1998-12,,
1998-09,12.72B,12.72B,11.25B,1.473B,,571.00M,455.00M,10.00M,,,17.00M,1.043B,430.00M,,,-17.00M,,404.00M,57.00M,347.00M,,,,347.00M,338.41M,430.00M,,1998-09,0.36,0.00,0.36,,1998-09,0.36,0.00,0.36,,1998-09,0.14,,1998-09,,
1998-06,13.39B,13.39B,11.98B,1.409B,,508.00M,489.00M,,,,-4.00M,993.00M,416.00M,,,4.00M,,366.00M,108.00M,258.00M,,,,258.00M,258.00M,416.00M,,1998-06,0.26,0.00,0.26,,1998-06,0.26,0.00,0.26,,1998-06,0.14,,1998-06,,
