,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2006-12,113.93M,63.10M,177.03M,163.26M,163.26M,9.10M,45.38M,16.90M,71.38M,,6.302M,,8.11M,426.08M,0.0,13.11M,56.77M,312.34M,,23.45M,,405.67M,-258.52M,147.15M,492.04M,15.05M,507.10M,,0.894M,11.18M,666.33M,1.092B,56.07M,56.07M,31.93M,88.00M,,,229.34M,229.34M,21.55M,338.88M,,,,,,,6.599M,345.48M,40.76M,-649.70M,1.357B,0.676M,-0.599M,746.93M
2006-09,136.75M,28.15M,164.90M,158.80M,158.80M,9.476M,52.10M,19.96M,81.53M,,6.302M,,9.315M,420.84M,0.0,13.41M,55.98M,308.62M,,22.56M,,400.58M,-250.20M,150.38M,493.39M,15.59M,508.98M,,0.251M,10.04M,669.65M,1.090B,73.07M,73.07M,25.30M,98.37M,,,50.00M,50.00M,27.25M,175.62M,179.34M,,179.34M,,,6.448M,185.78M,361.40M,40.41M,-661.74M,1.351B,0.173M,-0.599M,729.09M
2006-06,92.24M,56.00M,148.25M,204.26M,204.26M,10.80M,68.25M,22.90M,101.96M,,6.263M,,9.964M,470.69M,0.0,9.423M,69.13M,317.14M,6.975M,19.04M,,421.70M,-262.47M,159.23M,491.97M,16.12M,508.09M,,13.33M,15.41M,696.07M,1.167B,75.80M,75.80M,26.95M,102.75M,,,50.00M,50.00M,8.931M,161.68M,179.34M,,179.34M,,,7.214M,186.55M,348.23M,40.13M,-565.37M,1.345B,,-1.137M,818.53M
2006-03,116.75M,60.26M,177.01M,172.79M,172.79M,10.02M,55.07M,27.75M,92.84M,,6.013M,,12.47M,461.12M,0.0,13.82M,64.02M,319.88M,,20.92M,,418.64M,-266.80M,151.84M,491.97M,16.66M,508.63M,,14.26M,22.54M,697.27M,1.158B,74.73M,74.73M,36.68M,111.42M,,,50.00M,50.00M,,161.42M,179.34M,,179.34M,,,7.279M,186.61M,348.03M,40.06M,-568.37M,1.340B,,-1.137M,810.37M
2005-12,123.49M,114.97M,238.46M,171.06M,171.06M,8.314M,51.72M,19.00M,79.03M,,6.013M,,10.48M,505.05M,0.0,9.423M,64.35M,313.56M,,22.59M,,409.92M,-261.23M,148.70M,,509.17M,509.17M,,15.22M,21.80M,694.89M,1.200B,72.30M,72.30M,27.36M,99.65M,,,50.00M,50.00M,12.06M,161.71M,230.00M,,230.00M,,,7.115M,237.12M,398.83M,39.82M,-569.30M,1.332B,,-1.137M,801.11M
2005-09,116.52M,113.32M,229.85M,171.45M,171.45M,8.08M,49.33M,19.99M,77.40M,,6.013M,,11.27M,495.98M,0.0,9.423M,63.87M,317.33M,,14.31M,,404.94M,-260.73M,144.21M,,511.12M,511.12M,,16.05M,20.48M,691.86M,1.188B,72.28M,72.28M,19.68M,91.96M,,,50.00M,50.00M,16.28M,158.24M,230.00M,,230.00M,,,7.044M,237.04M,395.28M,39.66M,-573.59M,1.328B,,-1.137M,792.56M
2005-06,116.94M,112.53M,229.47M,162.01M,162.01M,11.30M,54.04M,15.85M,81.19M,,6.013M,,8.804M,487.48M,,,,,,,,455.59M,-305.82M,149.76M,,513.26M,513.26M,,17.12M,13.41M,693.57M,1.181B,62.12M,62.12M,29.32M,91.44M,,,50.00M,50.00M,15.19M,156.63M,230.00M,,230.00M,,,6.679M,236.68M,393.31M,39.57M,-576.65M,1.326B,,-0.786M,787.73M
2005-03,105.58M,107.76M,213.34M,166.36M,166.36M,12.55M,47.88M,20.16M,80.60M,,6.013M,,11.34M,477.65M,,,,,,,,420.88M,-279.23M,141.64M,,516.08M,516.08M,,16.84M,18.78M,693.35M,1.171B,66.54M,66.54M,24.05M,90.59M,,,49.22M,49.22M,18.78M,158.58M,230.00M,,230.00M,,,6.542M,236.54M,395.13M,39.35M,-584.04M,1.321B,,-0.786M,775.87M
2004-12,202.20M,7.479M,209.68M,170.86M,170.86M,,,,79.27M,,6.013M,,10.88M,476.70M,,,,,,,,405.39M,-261.26M,144.13M,,519.66M,519.66M,,17.42M,17.44M,698.65M,1.175B,74.51M,74.51M,27.34M,101.85M,,,50.00M,50.00M,16.18M,168.02M,230.00M,,230.00M,,,6.461M,236.46M,404.49M,39.20M,-585.28M,1.318B,,-0.786M,770.86M
2004-09,123.50M,85.03M,208.54M,157.77M,157.77M,12.18M,50.72M,16.68M,79.57M,,6.013M,,11.97M,463.86M,0.0,13.53M,50.30M,335.57M,,5.391M,,404.79M,-261.26M,143.53M,,524.39M,524.39M,,19.37M,17.65M,704.94M,1.169B,73.40M,73.40M,36.63M,110.04M,,,50.00M,50.00M,21.22M,181.25M,230.00M,,230.00M,,,5.932M,235.93M,417.18M,39.00M,-599.20M,1.313B,,-0.786M,751.62M
