,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2004-07,84.51M,97.30M,181.82M,,,,,648.68M,,,12.98M,19.15M,862.63M,,,,,,,,956.20M,-314.59M,641.61M,,123.26M,123.26M,,,21.76M,786.64M,1.649B,158.06M,,158.06M,,158.06M,,19.00M,,19.00M,,,95.76M,272.82M,250.00M,9.074M,259.07M,39.77M,39.77M,,19.08M,317.92M,590.74M,1.134M,870.28M,187.72M,,-0.611M,1.059B
2004-04,146.69M,97.50M,244.19M,,,,,565.22M,15.85M,,13.24M,,838.50M,,,,,,,,951.48M,-314.59M,636.89M,,123.60M,123.60M,,,21.65M,782.13M,1.621B,139.06M,,139.06M,,139.06M,,25.02M,,25.02M,,,109.47M,273.55M,250.00M,10.61M,260.61M,34.02M,34.02M,,17.67M,312.29M,585.84M,1.136M,840.69M,193.77M,,-0.807M,1.035B
2004-01,84.19M,84.50M,168.68M,,,,,525.64M,16.52M,,11.72M,,722.57M,0.0,16.81M,393.75M,444.75M,,107.70M,,963.01M,-328.58M,634.43M,,123.74M,123.74M,,,20.78M,778.95M,1.502B,114.97M,,114.97M,,114.97M,,30.32M,,30.32M,,,126.99M,272.29M,142.57M,12.26M,154.83M,29.72M,29.72M,,30.16M,214.71M,487.00M,1.141M,805.54M,208.87M,,-1.032M,1.015B
2003-10,67.14M,,67.14M,,,,,663.69M,14.61M,,11.65M,,757.08M,,,,,,,,816.18M,-223.57M,592.61M,,123.17M,123.17M,,,20.47M,736.24M,1.493B,167.45M,,167.45M,,167.45M,,64.70M,,64.70M,,,92.23M,324.38M,142.42M,14.53M,156.96M,26.49M,26.49M,,15.98M,199.42M,523.80M,1.152M,725.72M,243.76M,,-1.104M,969.52M
2003-07,100.35M,,100.35M,,,,,513.28M,14.75M,,14.70M,6.059M,649.13M,,,,,,,,763.70M,-223.57M,540.13M,,125.38M,125.38M,,,16.35M,681.86M,1.331B,108.32M,,108.32M,,108.32M,,31.24M,,31.24M,,,71.57M,211.13M,142.42M,16.22M,158.64M,22.47M,22.47M,,18.86M,199.98M,411.11M,1.148M,689.56M,230.33M,,-1.145M,919.89M
2003-04,89.87M,87.18M,177.06M,,,,,496.90M,12.99M,,14.27M,,701.22M,,,,,,,,743.77M,-223.57M,520.20M,,38.36M,38.36M,,,18.76M,577.32M,1.279B,89.64M,,89.64M,,89.64M,,30.73M,,30.73M,,,84.85M,205.22M,142.42M,16.92M,159.34M,15.64M,15.64M,,18.03M,193.01M,398.23M,1.143M,660.76M,219.85M,,-1.435M,880.31M
2002-12,292.19M,43.78M,335.97M,,,,,357.66M,12.09M,,10.41M,,716.14M,0.0,8.059M,31.28M,323.32M,185.30M,19.94M,,567.89M,-223.57M,344.32M,,38.36M,38.36M,,,17.56M,400.24M,1.116B,59.45M,,59.45M,,59.45M,,30.78M,,30.78M,,,116.28M,206.51M,6.00M,17.65M,23.65M,9.899M,9.899M,,20.92M,54.46M,260.97M,1.142M,638.48M,217.27M,,-1.49M,855.40M
2002-09,81.43M,,81.43M,,,,,533.87M,12.60M,,10.69M,5.50M,644.09M,,,,,,,,495.41M,-164.67M,330.74M,,38.36M,38.36M,,8.796M,17.58M,395.47M,1.040B,133.75M,,133.75M,,133.75M,,29.02M,,29.02M,,,57.23M,220.00M,6.00M,18.36M,24.36M,,,,28.07M,52.43M,272.44M,1.141M,551.50M,215.97M,,-1.484M,767.13M
2002-06,159.08M,16.50M,175.58M,,,,,381.34M,18.84M,,9.872M,5.113M,590.73M,,,,,,,,476.82M,-164.67M,312.14M,,38.36M,38.36M,,7.746M,17.51M,375.76M,966.49M,95.04M,,95.04M,,95.04M,,28.96M,,28.96M,,,47.64M,171.65M,6.00M,19.39M,25.39M,,,,22.87M,48.26M,219.91M,1.141M,531.63M,214.64M,,-0.821M,746.59M
2002-03,181.04M,,181.04M,,,,,371.84M,20.44M,,10.14M,,583.46M,,,,,,,,458.31M,-164.67M,293.64M,38.36M,,38.36M,,7.745M,17.48M,357.23M,940.69M,103.35M,,103.35M,,103.35M,,28.90M,,28.90M,,,65.18M,197.42M,12.00M,20.40M,32.40M,,,,20.69M,53.09M,250.52M,1.128M,506.39M,182.85M,,-0.197M,690.17M
2001-12,236.65M,,236.65M,,,,,296.47M,18.78M,,8.877M,,560.78M,0.0,8.059M,31.28M,229.67M,148.92M,25.75M,,443.68M,-164.67M,279.01M,,38.36M,38.36M,,7.436M,16.46M,341.27M,902.05M,68.65M,,68.65M,,68.65M,,28.86M,,28.86M,,,102.50M,200.02M,12.00M,21.51M,33.51M,,,,16.78M,50.29M,250.31M,1.125M,483.84M,167.15M,,-0.378M,651.74M
2001-09,44.84M,,44.84M,,,,,438.38M,21.23M,,11.30M,,515.75M,,,,,,,,395.65M,-124.05M,271.60M,,38.86M,38.86M,,2.062M,16.63M,329.16M,844.91M,135.72M,,135.72M,,135.72M,,28.76M,,28.76M,,,58.33M,222.82M,12.00M,22.39M,34.39M,,,,19.79M,54.18M,276.99M,1.122M,407.75M,160.19M,,-1.142M,567.92M
2001-06,90.67M,,90.67M,,,,,334.61M,29.35M,,9.763M,,464.40M,,,,,,,,374.05M,-124.05M,250.00M,,39.37M,39.37M,,2.061M,16.45M,307.88M,772.27M,94.69M,,94.69M,,94.69M,,28.68M,,28.68M,,,45.38M,168.74M,12.00M,23.30M,35.30M,,,,13.96M,49.26M,218.00M,1.122M,393.20M,159.74M,,0.211M,554.27M
2001-03,65.98M,,65.98M,,,,,354.91M,28.10M,,7.733M,,456.72M,,,,,,,,350.42M,-124.05M,226.37M,,39.87M,39.87M,,1.976M,16.12M,284.34M,741.06M,81.94M,,81.94M,,81.94M,,28.61M,,28.61M,,,44.30M,154.85M,18.00M,24.25M,42.25M,,,,12.69M,54.94M,209.79M,1.121M,371.54M,158.54M,,0.074M,531.27M
2000-12,181.55M,,181.55M,,,,,258.69M,,,,37.66M,477.90M,,,,,,,,335.68M,-124.05M,211.63M,,40.38M,40.38M,,,16.95M,268.96M,746.86M,75.40M,,75.40M,,75.40M,,28.55M,,28.55M,,,70.35M,174.30M,43.18M,,43.18M,,,,10.71M,53.90M,228.20M,1.121M,360.76M,156.78M,,,518.66M
2000-09,23.95M,,23.95M,,,350.06M,,,,,,33.68M,407.69M,,,,,,,,314.22M,-113.12M,201.10M,,40.88M,40.88M,,,16.51M,258.50M,666.19M,89.46M,,89.46M,,89.46M,,42.24M,,42.24M,,,30.32M,162.03M,43.86M,,43.86M,,,,8.397M,52.26M,214.28M,1.079M,296.08M,154.74M,,,451.90M
2000-06,55.42M,,55.42M,,,,,284.52M,,,,21.21M,361.14M,,,,,,,,289.13M,-104.75M,184.37M,,41.38M,41.38M,,,15.88M,241.64M,602.78M,79.46M,,79.46M,,79.46M,,28.36M,,28.36M,,,29.04M,136.86M,44.73M,,44.73M,,,,8.719M,53.45M,190.31M,1.03M,274.24M,137.20M,,,412.47M
2000-03,81.17M,,81.17M,,,,,255.24M,,,,16.29M,352.69M,,,,,,,,235.18M,-82.32M,152.87M,,41.89M,41.89M,,,14.98M,209.74M,562.44M,63.88M,,63.88M,,63.88M,,28.29M,,28.29M,,,29.12M,121.29M,51.59M,,51.59M,1.01M,1.01M,,6.234M,58.84M,180.13M,0.624M,302.63M,79.05M,,,382.31M
1999-12,181.59M,,181.59M,,,,,192.84M,,,,20.68M,395.11M,,,,,,,,233.47M,-76.10M,157.37M,,42.39M,42.39M,,,16.36M,216.13M,611.23M,71.75M,,71.75M,,71.75M,,31.26M,,31.26M,,,65.39M,168.40M,77.51M,,77.51M,,,,13.91M,91.42M,259.82M,35.83M,240.55M,75.03M,35.17M,,351.41M
1999-09,19.20M,,19.20M,,,,,252.50M,,,,12.20M,283.90M,,,,,,,,209.50M,-69.60M,139.90M,,41.10M,41.10M,,,17.50M,198.50M,482.40M,72.00M,,72.00M,,72.00M,,28.40M,,28.40M,,,20.80M,121.20M,54.30M,,54.30M,,,,5.70M,60.00M,181.20M,0.60M,231.20M,69.40M,,,301.20M
1999-06,36.50M,,36.50M,,,,,187.20M,,,,15.30M,239.00M,,,,,,,,200.60M,-66.40M,134.20M,,41.60M,41.60M,,,8.30M,184.10M,423.10M,60.30M,,60.30M,,60.30M,,25.00M,,25.00M,,,23.10M,108.40M,24.00M,,24.00M,,,,8.40M,32.40M,140.80M,,215.10M,,,,282.30M
1999-03,17.80M,,17.80M,,,,,174.10M,,,,13.50M,205.40M,,,,,,,,187.60M,-61.20M,126.40M,,42.10M,42.10M,,,8.40M,176.90M,382.30M,41.40M,,41.40M,,41.40M,,18.50M,,18.50M,,,22.50M,82.40M,30.00M,,30.00M,,,,8.60M,38.60M,121.00M,,201.30M,,,,261.30M
1998-12,74.60M,,74.60M,,,,,142.70M,,,,14.20M,231.50M,,,,,,,,157.30M,-34.80M,122.50M,,42.60M,42.60M,,,8.60M,173.70M,405.20M,53.00M,,53.00M,,53.00M,,16.50M,,16.50M,,,47.80M,117.30M,30.00M,,30.00M,,,,9.10M,39.10M,156.40M,,195.20M,,,,248.80M
1998-09,5.30M,,5.30M,,,1.00M,,184.50M,,,,12.80M,203.60M,,,,,,,,134.90M,-26.50M,108.40M,,43.00M,43.00M,,,3.50M,154.90M,358.50M,53.10M,,53.10M,,53.10M,,40.00M,,40.00M,,,16.90M,110.00M,52.20M,,52.20M,,,,4.10M,56.30M,166.30M,,147.50M,,,,192.20M
1998-06,5.50M,,5.50M,,,0.70M,,156.10M,,,,9.50M,171.80M,,,,,,,,119.40M,-26.50M,92.90M,,43.50M,43.50M,,,3.30M,139.70M,311.50M,43.40M,,43.40M,,43.40M,,9.30M,,9.30M,,,20.90M,73.60M,53.70M,,53.70M,,,,4.30M,58.00M,131.60M,,136.00M,,,,179.90M
