,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-12,1.666B,375.00M,-408.00M,,,1.231B,1.231B,-143.00M,,976.00M,,,,,,22.72B,26.05B,,,13.86B,5.19B,-30.20B,-11.14B,1.057B,-37.64B,-36.59B,,,-1.866B,,,,-1.236B,-26.00M,-10.81B,30.82B,4.092B,261.00M,35.17B,,5.516B,-4.459B,,,
2004-09,1.418B,-287.00M,-287.00M,,,1.171B,1.171B,-237.00M,,-2.578B,,,,,,-27.82B,-28.33B,,,364.00M,31.22B,21.73B,53.31B,2.455B,-91.00M,2.364B,,,554.00M,,,,-1.237B,7.00M,-17.68B,23.52B,7.291B,-1.00M,30.82B,,8.441B,-5.986B,,,
2004-06,-548.00M,-300.00M,-141.00M,,,671.00M,671.00M,-1.243B,,4.006B,,,,,,-7.245B,-4.50B,,,-340.00M,-17.94B,-11.66B,-29.94B,3.655B,3.442B,7.097B,,,209.00M,,,,-734.00M,-22.00M,38.70B,19.42B,4.261B,-155.00M,23.52B,,6.444B,-2.789B,,,
2004-03,1.93B,-126.00M,-285.00M,,,762.00M,762.00M,796.00M,,-105.00M,,,,,,-11.46B,-8.359B,,,-24.00M,-12.66B,-29.27B,-41.95B,2.138B,37.01B,39.15B,,,543.00M,,,,-720.00M,15.00M,49.38B,20.27B,-929.00M,80.00M,19.42B,,4.943B,-2.805B,,,
2003-12,1.864B,,,,,761.00M,761.00M,,,-377.00M,,,,,,-27.26B,-23.58B,,,-646.00M,16.63B,11.22B,27.20B,3.879B,-18.25B,-14.37B,,,211.00M,,,,-729.00M,69.00M,-1.952B,18.58B,1.667B,16.00M,20.27B,,6.153B,-2.274B,,,
2003-09,1.628B,,,,,190.00M,190.00M,,,205.00M,,,,,,17.88B,19.90B,,,0.00,-568.00M,2.017B,1.449B,880.00M,-22.08B,-21.20B,,,335.00M,,,,-714.00M,32.00M,-26.17B,23.40B,-4.824B,11.00M,18.58B,,2.044B,-1.164B,,,
2003-06,1.827B,,,,,1.09B,1.09B,,,-449.00M,,,,,,-2.79B,-322.00M,,,-13.00M,3.533B,-13.66B,-10.14B,1.357B,-7.22B,-5.863B,,,462.00M,,,,-726.00M,-149.00M,11.42B,22.23B,960.00M,209.00M,23.40B,,2.362B,-1.005B,,,
2003-03,1.40B,,,,,1.06B,1.06B,,,801.00M,,,,,,15.34B,18.61B,,,-10.00M,-6.219B,133.00M,-6.096B,2.763B,-7.912B,-5.149B,,,205.00M,,,,-696.00M,181.00M,-9.545B,19.22B,2.965B,46.00M,22.23B,,6.636B,-3.873B,,,
2002-12,-387.00M,,,,,1.438B,1.438B,,,1.259B,,,,,,-20.82B,-16.87B,,,0.00,-6.291B,-3.128B,-9.419B,378.00M,14.75B,15.13B,,,241.00M,,,,-698.00M,,27.26B,18.16B,964.00M,95.00M,19.22B,,1.413B,-1.035B,,,
2002-09,40.00M,,,,,529.00M,529.00M,,,1.474B,,,,,,23.05B,25.09B,,,0.00,-5.068B,-2.608B,-7.676B,-3.487B,-15.17B,-18.66B,,,-20.00M,,,,-712.00M,-418.00M,-21.46B,21.88B,-4.048B,329.00M,18.16B,,0.00,-3.487B,,,
2002-06,1.028B,,,,,828.00M,828.00M,,,766.00M,,,,,,-23.42B,-20.80B,,,-33.00M,4.445B,-1.037B,3.375B,4.082B,1.038B,5.12B,,,290.00M,,,,-690.00M,93.00M,16.60B,22.64B,-815.00M,56.00M,21.88B,,6.025B,-1.943B,,,
2002-03,982.00M,,,,,631.00M,631.00M,,,1.538B,,,,,,-15.71B,-12.56B,,,-39.00M,-15.19B,5.606B,-9.624B,-1.187B,35.74B,34.55B,,,-336.00M,,,,-684.00M,325.00M,22.25B,22.60B,64.00M,-27.00M,22.64B,,4.533B,-5.72B,,,
2001-12,-332.00M,,,,,797.00M,797.00M,,,2.537B,,,,,,30.61B,33.61B,,,0.00,20.28B,3.168B,23.45B,-2.736B,-65.22B,-67.96B,,,164.00M,,,,-677.00M,-459.00M,-56.89B,22.30B,176.00M,125.00M,22.60B,,25.00M,-2.761B,,,
2001-09,449.00M,,,,,713.00M,713.00M,,,1.706B,,,,,,-24.08B,-21.21B,,,0.00,-12.82B,-2.341B,-15.16B,1.023B,29.55B,30.57B,,,-548.00M,,,,-695.00M,375.00M,34.50B,24.22B,-1.863B,-57.00M,22.30B,,1.672B,-649.00M,,,
2001-06,378.00M,,,,,651.00M,651.00M,,,7.501B,,,,,,-13.62B,-5.092B,,,0.00,8.425B,-6.108B,2.317B,-1.571B,2.765B,1.194B,,,7.00M,,,,-694.00M,-121.00M,4.618B,22.37B,1.843B,5.00M,24.22B,,2.306B,-3.877B,,,
2001-03,1.199B,,,,,730.00M,730.00M,,,-4.672B,,,,,,-7.673B,-10.42B,,,-1.677B,1.46B,1.924B,1.707B,-304.00M,14.27B,13.97B,,,424.00M,,,,-631.00M,114.00M,7.081B,23.97B,-1.628B,27.00M,22.37B,,4.983B,-5.287B,,,
2000-12,708.00M,,,,,1.181B,1.181B,,,297.00M,,,,,,1.15B,3.336B,,,867.00M,-6.071B,1.398B,-3.806B,-5.331B,3.008B,-2.323B,,,-2.885B,,,,-588.00M,567.00M,4.432B,20.28B,3.962B,-274.00M,23.97B,,182.00M,-5.513B,,,
2000-09,1.398B,,,,,251.00M,251.00M,,,677.00M,,,,,,-20.94B,-18.62B,,,-3.062B,13.13B,-9.83B,235.00M,2.853B,13.55B,16.40B,,,3.59B,,,,-581.00M,-562.00M,17.71B,20.86B,-669.00M,94.00M,20.28B,,7.122B,-4.269B,,,
2000-06,1.633B,,,,,720.00M,720.00M,,,-282.00M,,,,,,11.42B,13.49B,,,,-316.00M,-5.591B,-5.907B,-1.237B,-14.46B,-15.69B,,,-179.00M,,,,-583.00M,-389.00M,-4.968B,18.16B,2.613B,87.00M,20.86B,,2.043B,-3.28B,,,
2000-03,1.988B,,,,,393.00M,393.00M,,,-524.00M,,,,,,-13.74B,-11.88B,,,,-12.27B,20.76B,8.492B,4.134B,28.72B,32.85B,,,-1.298B,,,,-530.00M,-52.00M,2.875B,18.69B,-516.00M,-17.00M,18.16B,,5.514B,-1.38B,,,
1999-12,3.748B,,,,,917.00M,917.00M,,,1.108B,,,,,,-6.272B,-499.00M,1.252B,1.252B,-3.142B,15.36B,-27.51B,-14.04B,-1.969B,6.84B,4.871B,,,-1.105B,,,,-1.085B,478.00M,15.49B,16.49B,956.00M,43.00M,18.69B,,6.956B,-8.925B,,,
1999-09,1.187B,,,,,336.00M,336.00M,,,411.00M,,,,,,-7.744B,-5.81B,-1.20B,-1.20B,,-2.209B,1.154B,-2.255B,-435.00M,213.00M,-222.00M,,,-880.00M,,,,-360.00M,-138.00M,8.521B,16.04B,456.00M,-3.00M,16.49B,,170.00M,-605.00M,,,
1999-06,1.393B,,,,,352.00M,352.00M,,,197.00M,,,,,,5.126B,7.068B,-52.00M,-52.00M,49.00M,448.00M,-4.717B,-4.272B,1.227B,-6.724B,-5.497B,,,-763.00M,,,,-365.00M,-301.00M,-5.065B,18.31B,-2.269B,0.00,16.04B,,2.185B,-958.00M,,,
1999-03,1.173B,,,,,340.00M,340.00M,,,509.00M,,,,,,-2.731B,-709.00M,,,-49.00M,-2.379B,2.492B,64.00M,-2.00M,8.125B,8.123B,,,-1.09B,,,,-323.00M,-39.00M,1.875B,17.07B,1.23B,8.00M,18.31B,,1.075B,-1.077B,,,
1998-12,1.146B,,,,,334.00M,334.00M,,,566.00M,,,,,,-838.00M,1.208B,-727.00M,-727.00M,,-52.00M,-11.63B,-12.41B,1.96B,-89.00M,1.871B,,,-22.00M,,,,-322.00M,32.00M,13.68B,14.58B,2.473B,10.00M,17.07B,,2.602B,-642.00M,,,
1998-09,837.00M,,,,,278.00M,278.00M,,,552.00M,,,,,,4.292B,5.959B,0.00,0.00,,-574.00M,3.678B,3.104B,10.00M,-2.668B,-2.658B,,,-491.00M,,,,-331.00M,77.00M,-10.18B,15.69B,-1.112B,6.00M,14.58B,,323.00M,-313.00M,,,
1998-06,1.074B,,,,,316.00M,316.00M,,,294.00M,,,,,,-912.00M,772.00M,-254.00M,-254.00M,,-1.374B,-3.476B,-5.104B,94.00M,-5.335B,-5.241B,,,-150.00M,,,,-330.00M,-135.00M,5.139B,14.91B,807.00M,-22.00M,15.69B,,426.00M,-332.00M,,,
