,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2002-09,,31.61B,,31.61B,14.55B,,14.55B,109.90B,6.752B,,,13.36B,213.41B,5.263B,-1.931B,206.22B,361.85B,631.86B,741.76B,,,38.23B,38.23B,,26.42B,26.42B,26.42B,219.40B,44.55B,44.55B,292.17B,,336.72B,698.32B,3.032B,26.94B,13.11B,1.113B,1.009B,,,1.465B,43.44B
2002-06,,32.40B,,32.40B,15.35B,,15.35B,119.49B,6.596B,,,15.52B,213.91B,5.006B,-1.821B,207.08B,350.79B,621.06B,740.55B,,,38.08B,38.08B,,31.91B,31.91B,31.91B,232.65B,47.80B,47.80B,293.83B,,341.63B,697.81B,3.029B,27.60B,13.11B,1.088B,1.009B,,,79.00M,42.74B
2002-03,,32.33B,,32.33B,14.05B,,14.05B,123.10B,6.304B,,,16.68B,214.55B,5.005B,,209.54B,318.87B,589.41B,712.51B,,,36.91B,36.91B,,40.69B,40.69B,40.69B,230.44B,42.76B,42.76B,282.04B,,324.80B,671.38B,3.025B,27.28B,12.78B,1.046B,1.009B,,,-909.00M,41.13B
2001-12,,35.34B,,35.34B,14.80B,,14.80B,113.87B,6.292B,,,15.35B,219.27B,4.524B,-1.825B,212.92B,294.94B,579.71B,693.58B,,,47.81B,47.81B,,29.34B,29.34B,29.34B,205.60B,43.62B,43.62B,293.65B,550.00M,337.27B,651.93B,3.006B,26.99B,12.50B,953.00M,1.009B,,,-442.00M,41.10B
2001-09,,31.64B,,31.64B,18.25B,,18.25B,128.89B,7.268B,,,14.68B,223.28B,3.874B,,219.41B,364.14B,670.41B,799.30B,,,75.23B,75.23B,,41.24B,41.24B,41.24B,298.25B,46.75B,46.75B,281.60B,550.00M,328.36B,756.02B,3.002B,28.02B,12.24B,799.00M,1.009B,,,267.00M,42.74B
2001-06,,36.12B,,36.12B,17.08B,,17.08B,114.51B,7.186B,,,16.22B,219.92B,3.673B,,216.24B,324.68B,598.19B,712.70B,,,38.16B,38.16B,,38.40B,38.40B,38.40B,231.62B,45.36B,45.36B,276.80B,550.00M,322.16B,669.73B,3.015B,28.26B,12.00B,20.00M,1.025B,,,-834.00M,42.43B
2001-03,,30.35B,,30.35B,15.35B,,15.35B,116.85B,7.085B,,,15.35B,216.79B,3.672B,,213.12B,335.05B,596.78B,713.62B,,,33.58B,33.58B,,45.00B,45.00B,45.00B,224.28B,47.05B,47.05B,272.57B,550.00M,319.62B,669.71B,3.346B,28.59B,11.66B,21.00M,1.362B,,,-214.00M,43.37B
2000-12,,32.30B,,32.30B,20.62B,,20.62B,122.40B,7.087B,,,15.83B,216.05B,3.665B,,212.38B,321.69B,592.95B,715.35B,,,40.75B,40.75B,,44.69B,44.69B,44.69B,217.18B,43.30B,43.30B,279.36B,3.939B,322.66B,668.52B,4.01B,28.10B,11.60B,575.00M,2.07B,,,-241.00M,42.89B
2000-09,,22.92B,,22.92B,2.806B,,2.806B,52.90B,4.777B,,,,191.26B,3.491B,,187.77B,133.82B,372.43B,425.82B,,,21.57B,21.57B,,14.59B,14.59B,14.59B,98.10B,26.95B,26.95B,229.60B,550.00M,256.55B,395.83B,2.151B,19.63B,9.30B,632.00M,828.00M,,,-1.005B,29.44B
2000-06,,22.01B,,22.01B,2.399B,,2.399B,52.14B,4.546B,,,,180.17B,3.459B,,176.71B,125.20B,343.22B,396.04B,,,16.50B,16.50B,,10.62B,10.62B,10.62B,84.75B,24.05B,24.05B,224.40B,550.00M,248.46B,370.61B,2.151B,19.17B,9.065B,4.182B,828.00M,,,-1.32B,24.88B
2000-03,,19.25B,,19.25B,2.369B,,2.369B,50.09B,4.455B,,,,175.46B,3.457B,,172.00B,126.89B,340.75B,391.48B,,,17.32B,17.32B,,12.43B,12.43B,12.43B,94.62B,23.18B,23.18B,211.66B,550.00M,234.84B,366.96B,1.81B,18.49B,9.323B,4.285B,928.00M,,,-1.369B,23.97B
1999-12,,44.30B,,44.30B,2.505B,,2.505B,70.63B,4.439B,,,,177.68B,3.457B,-1.518B,172.70B,124.78B,334.85B,406.10B,,,17.06B,17.06B,,13.65B,13.65B,13.65B,80.86B,20.14B,20.14B,241.74B,550.00M,261.88B,381.94B,1.81B,17.55B,9.714B,4.00B,928.00M,,,-1.454B,23.62B
1999-09,,22.35B,,22.35B,2.267B,,2.267B,52.98B,4.306B,,,,173.46B,3.555B,,169.90B,112.30B,317.34B,371.04B,,,14.62B,14.62B,,13.04B,13.04B,13.04B,71.54B,19.18B,19.18B,219.62B,550.00M,238.80B,348.15B,1.81B,16.21B,9.635B,4.276B,928.00M,,,-1.038B,22.34B
1999-06,,21.89B,,21.89B,2.103B,,2.103B,52.04B,4.185B,,,,175.04B,3.554B,,171.49B,100.54B,303.91B,356.87B,,,14.23B,14.23B,,11.66B,11.66B,11.66B,66.79B,19.57B,19.57B,209.50B,550.00M,229.07B,333.61B,1.91B,15.38B,9.628B,3.489B,1.028B,,,-722.00M,22.71B
1999-03,,21.74B,,21.74B,2.243B,,2.243B,48.85B,4.114B,,,,172.85B,3.552B,,169.30B,112.55B,311.42B,361.26B,,,12.71B,12.71B,,10.95B,10.95B,10.95B,74.77B,18.37B,18.37B,207.64B,550.00M,226.01B,337.44B,1.91B,14.35B,9.542B,2.436B,1.028B,,,-99.00M,23.27B
1998-12,,24.28B,,24.28B,2.316B,,2.316B,45.08B,4.055B,,,,174.42B,3.552B,-1.667B,169.20B,122.18B,319.57B,365.88B,,,14.29B,14.29B,,15.03B,15.03B,15.03B,70.95B,18.38B,18.38B,212.44B,550.00M,230.81B,341.49B,1.028B,13.54B,,,1.028B,,,392.00M,23.84B
1998-09,,18.46B,,18.46B,2.573B,,2.573B,44.63B,3.946B,,,,166.57B,3.554B,,163.02B,119.27B,310.48B,356.45B,,,14.97B,14.97B,,12.00B,12.00B,12.00B,70.13B,16.40B,16.40B,200.32B,550.00M,216.72B,332.68B,1.028B,12.72B,,,1.028B,,,701.00M,23.22B
1998-06,,21.66B,,21.66B,2.867B,,2.867B,49.66B,3.905B,,,,168.70B,3.629B,,165.08B,121.86B,316.08B,367.00B,,,13.90B,13.90B,,12.65B,12.65B,12.65B,72.23B,16.39B,16.39B,207.09B,550.00M,223.48B,343.84B,1.168B,12.21B,,,1.168B,,,113.00M,22.61B
1998-03,,18.37B,,18.37B,2.873B,,2.873B,44.98B,3.841B,,,,167.94B,3.622B,,164.32B,131.06B,319.33B,365.72B,,,13.58B,13.58B,,11.63B,11.63B,11.63B,80.92B,16.30B,16.30B,196.10B,550.00M,212.39B,343.12B,1.368B,11.47B,,,1.368B,,,,22.04B
