,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2006-03,3.996B,,,,,206.00M,1.788B,1.788B,344.00M,-232.00M,-330.00M,-108.00M,60.00M,-850.00M,,896.00M,,-332.00M,5.77B,,2006-03,54.00M,-2.513B,,33.00M,12.00M,-2.468B,,2006-03,,-726.00M,,-956.00M,-956.00M,,-996.00M,,-13.00M,-2.691B,,2006-03,10.04B,49.00M,10.70B,,2006-03,,,-956.00M,,,,2006-03,
2005-12,4.144B,,,,,-591.00M,1.725B,1.725B,660.00M,-669.00M,3.543B,402.00M,144.00M,-3.155B,,-924.00M,,678.00M,5.947B,,2005-12,191.00M,-2.982B,0.00,73.00M,-52.00M,-2.961B,,2005-12,,-971.00M,,-727.00M,-727.00M,,-1.098B,,66.00M,-2.73B,,2005-12,9.808B,-21.00M,10.04B,,2005-12,,,-727.00M,,,,2005-12,
2005-09,3.594B,,,,,22.00M,1.534B,1.534B,219.00M,,-1.257B,-32.00M,-92.00M,1.904B,,-113.00M,-234.00M,176.00M,5.545B,,2005-09,1.897B,-457.00M,-5.934B,-23.00M,19.00M,-6.395B,,2005-09,,-97.00M,,-495.00M,-495.00M,,-1.008B,,-38.00M,-1.638B,,2005-09,12.32B,-21.00M,9.808B,,2005-09,,,-495.00M,,,,2005-09,
2005-06,3.684B,,,,,-255.00M,1.32B,1.32B,339.00M,-176.00M,-1.183B,-257.00M,129.00M,631.00M,,407.00M,234.00M,-39.00M,4.873B,,2005-06,9.00M,-1.861B,,286.00M,53.00M,-1.522B,,2005-06,,97.00M,,-807.00M,-807.00M,,-908.00M,,-28.00M,-1.646B,,2005-06,10.69B,-75.00M,12.32B,,2005-06,,,-807.00M,,,,2005-06,
2005-03,2.677B,,,,,-284.00M,1.334B,1.334B,175.00M,176.00M,-1.294B,-113.00M,-181.00M,620.00M,,630.00M,,-338.00M,3.74B,,2005-03,584.00M,-720.00M,,,37.00M,-683.00M,,2005-03,,-84.00M,,-708.00M,-708.00M,,-862.00M,,,-1.654B,,2005-03,9.291B,-7.00M,10.69B,,2005-03,,,-708.00M,,,,2005-03,
2004-12,3.44B,,,,,-750.00M,1.283B,1.283B,-36.00M,2.00M,327.00M,8.00M,99.00M,-111.00M,,-721.00M,,-398.00M,3.541B,,2004-12,578.00M,-1.366B,,-446.00M,-569.00M,-2.381B,,2004-12,,-575.00M,,-608.00M,-608.00M,,-882.00M,,16.00M,-2.049B,,2004-12,10.04B,143.00M,9.291B,,2004-12,,,-608.00M,,,,2004-12,
2004-09,3.201B,,,,,-1.262B,1.199B,1.199B,-482.00M,-2.00M,-904.00M,257.00M,-211.00M,1.224B,,198.00M,,564.00M,3.218B,,2004-09,1.593B,201.00M,,-7.00M,84.00M,278.00M,,2004-09,,-323.00M,,-632.00M,-632.00M,,-842.00M,,-16.00M,-1.813B,,2004-09,8.339B,15.00M,10.04B,,2004-09,,,-632.00M,,,,2004-09,
2004-06,4.125B,,,,,-1.422B,1.263B,1.263B,52.00M,381.00M,-506.00M,-309.00M,58.00M,176.00M,,636.00M,,55.00M,4.454B,,2004-06,1.119B,-501.00M,,25.00M,61.00M,-415.00M,,2004-06,,-242.00M,-43.00M,-423.00M,-466.00M,,-776.00M,,,-1.484B,,2004-06,5.858B,-74.00M,8.339B,,2004-06,,,-423.00M,,,,2004-06,
2004-03,2.562B,,,,,-345.00M,1.19B,1.19B,242.00M,-381.00M,-1.432B,-254.00M,-22.00M,886.00M,,1.031B,,209.00M,3.477B,,2004-03,381.00M,-973.00M,,-22.00M,14.00M,-981.00M,,2004-03,,-144.00M,43.00M,,43.00M,,-777.00M,,,-878.00M,,2004-03,4.266B,-26.00M,5.858B,,2004-03,,,,,,,2004-03,
2003-12,1.735B,,,,,-137.00M,1.264B,1.264B,164.00M,-194.00M,-69.00M,66.00M,22.00M,862.00M,-49.00M,-1.112B,,-280.00M,2.552B,,2003-12,616.00M,-1.098B,,-386.00M,239.00M,-1.245B,,2003-12,,-705.00M,9.00M,1.00M,10.00M,,-782.00M,,,-1.477B,,2003-12,4.383B,53.00M,4.266B,,2003-12,,,1.00M,,,,2003-12,
2003-09,1.975B,,,,,-535.00M,1.409B,1.409B,-124.00M,-169.00M,4.00M,213.00M,198.00M,-356.00M,49.00M,-6.00M,,102.00M,2.658B,,2003-09,326.00M,-963.00M,,236.00M,54.00M,-673.00M,,2003-09,,165.00M,9.00M,-76.00M,-67.00M,,-778.00M,,,-680.00M,,2003-09,3.092B,-14.00M,4.383B,,2003-09,,,-76.00M,,,,2003-09,
2003-06,1.60B,,,,,-37.00M,1.411B,1.411B,142.00M,363.00M,500.00M,-96.00M,126.00M,38.00M,,-274.00M,,294.00M,3.773B,,2003-06,94.00M,-1.227B,,-83.00M,,-1.31B,,2003-06,,-2.47B,35.00M,,35.00M,,-764.00M,,,-3.199B,,2003-06,3.804B,24.00M,3.092B,,2003-06,,,,,,,2003-06,
2003-03,1.92B,,,,,142.00M,1.242B,1.242B,-18.00M,,-700.00M,-68.00M,-85.00M,-302.00M,,1.201B,,46.00M,3.332B,,2003-03,71.00M,-1.23B,,386.00M,,-844.00M,,2003-03,,-931.00M,4.00M,,4.00M,,-746.00M,,,-1.673B,,2003-03,2.957B,32.00M,3.804B,,2003-03,,,,,,,2003-03,
2002-12,904.00M,,,,,161.00M,1.209B,1.209B,173.00M,-118.00M,-203.00M,254.00M,141.00M,1.10B,110.00M,-532.00M,,870.00M,3.199B,,2002-12,38.00M,-2.001B,,-15.00M,,-2.016B,,2002-12,,-255.00M,3.00M,,3.00M,,-744.00M,,,-996.00M,,2002-12,2.767B,3.00M,2.957B,,2002-12,,,,,,,2002-12,
2002-09,-904.00M,,,,,1.66B,1.514B,1.514B,-53.00M,560.00M,-220.00M,-73.00M,81.00M,409.00M,-110.00M,200.00M,,287.00M,3.064B,,2002-09,105.00M,-1.872B,,-42.00M,,-1.914B,,2002-09,,-311.00M,0.00,,0.00,,-733.00M,,,-1.044B,,2002-09,2.652B,9.00M,2.767B,,2002-09,,,,,,,2002-09,
2002-06,407.00M,,,,,925.00M,1.241B,1.241B,3.00M,-166.00M,99.00M,85.00M,-123.00M,-231.00M,,367.00M,,197.00M,2.607B,,2002-06,21.00M,-1.715B,,44.00M,,-1.671B,,2002-06,,-1.07B,17.00M,,17.00M,,-765.00M,,,-1.818B,,2002-06,3.525B,9.00M,2.652B,,2002-06,,,,,,,2002-06,
2002-03,725.00M,,,,,-148.00M,1.205B,1.205B,-204.00M,-276.00M,-811.00M,-81.00M,-7.00M,567.00M,,103.00M,,-229.00M,1.073B,,2002-03,2.177B,332.00M,,222.00M,,554.00M,,2002-03,,515.00M,21.00M,,21.00M,,-749.00M,,,-213.00M,,2002-03,2.117B,-6.00M,3.525B,,2002-03,,,,,,,2002-03,
2001-12,-804.00M,37.00M,,205.00M,,1.348B,,4.974B,-815.00M,19.00M,1.762B,-313.00M,-170.00M,-797.00M,,,,-100.00M,4.622B,,2001-12,101.00M,-9.612B,,803.00M,-4.00M,-5.597B,,2001-12,699.00M,1.147B,67.00M,,-696.00M,,-1.603B,,418.00M,-734.00M,,2001-12,3.417B,-23.00M,2.117B,,2001-12,-972.00M,733.00M,,,,,2001-12,
2001-09,1.168B,-19.00M,,-89.00M,,-153.00M,,713.00M,-27.00M,-11.00M,433.00M,-11.00M,-13.00M,-119.00M,,,,290.00M,1.98B,,2001-09,130.00M,130.00M,,-151.00M,-5.00M,-908.00M,,2001-09,-135.00M,-122.00M,0.00,,0.00,,-421.00M,,0.00,-543.00M,,2001-09,2.895B,-7.00M,3.417B,,2001-09,18.00M,-140.00M,,,,,2001-09,
2001-06,1.324B,20.00M,,-102.00M,,38.00M,,690.00M,-1.00M,5.00M,-124.00M,91.00M,170.00M,159.00M,,,,296.00M,2.352B,,2001-06,22.00M,22.00M,,-52.00M,9.00M,-1.019B,,2001-06,-57.00M,23.00M,57.00M,,57.00M,,-417.00M,,-418.00M,-755.00M,,2001-06,2.315B,2.00M,2.895B,,2001-06,81.00M,-58.00M,,,,,2001-06,
2001-03,1.60B,-38.00M,,-14.00M,,2.00M,,682.00M,75.00M,-13.00M,401.00M,-61.00M,-198.00M,15.00M,,,,157.00M,2.503B,,2001-03,45.00M,45.00M,,-727.00M,,-2.018B,,2001-03,-507.00M,338.00M,16.00M,,16.00M,,-417.00M,,,-63.00M,,2001-03,1.896B,-3.00M,2.315B,,2001-03,873.00M,-535.00M,,,,,2001-03,
2000-12,4.036B,80.00M,,247.00M,,181.00M,,3.17B,236.00M,-47.00M,-1.589B,179.00M,171.00M,-155.00M,,,,-661.00M,6.915B,,2000-12,848.00M,-6.781B,,536.00M,-95.00M,-3.442B,,2000-12,102.00M,-1.378B,,-239.00M,-239.00M,,-1.517B,,,-3.134B,,2000-12,1.342B,-5.00M,2.328B,,2000-12,-25.00M,1.849B,-239.00M,,,,2000-12,
2000-09,1.531B,-39.00M,,-175.00M,,-305.00M,,801.00M,52.00M,65.00M,-89.00M,51.00M,-81.00M,689.00M,,,,570.00M,2.714B,,2000-09,100.00M,100.00M,,-612.00M,857.00M,-675.00M,,2000-09,-4.00M,-458.00M,,-921.00M,-921.00M,,-421.00M,,,-1.80B,,2000-09,1.102B,1.00M,1.342B,,2000-09,-14.00M,-444.00M,-921.00M,,,,2000-09,Restated
2000-06,1.116B,-14.00M,,57.00M,,98.00M,,699.00M,139.00M,-48.00M,-159.00M,-64.00M,70.00M,660.00M,,,,507.00M,2.511B,,2000-06,135.00M,135.00M,,-3.00M,5.00M,-829.00M,,2000-06,-37.00M,-1.373B,,32.00M,32.00M,,-424.00M,,,-1.765B,,2000-06,1.185B,0.00,1.102B,,2000-06,-48.00M,-1.325B,32.00M,,,,2000-06,Restated
2000-03,1.044B,-27.00M,,-129.00M,,-167.00M,,651.00M,94.00M,30.00M,-325.00M,-46.00M,-87.00M,133.00M,,,,-325.00M,1.327B,,2000-03,146.00M,146.00M,,75.00M,-5.00M,-696.00M,,2000-03,-61.00M,7.00M,,-370.00M,-370.00M,,-427.00M,,,-790.00M,,2000-03,1.345B,-1.00M,1.185B,,2000-03,87.00M,-80.00M,-370.00M,,,,2000-03,Restated
1999-12,1.988B,,,244.00M,,-192.00M,,2.968B,143.00M,662.00M,-1.582B,30.00M,82.00M,-596.00M,,,,-1.432B,4.137B,,1999-12,995.00M,-6.90B,,525.00M,70.00M,-2.816B,,1999-12,-259.00M,1.048B,3.00M,,3.00M,,-1.473B,,,-422.00M,,1999-12,703.00M,-32.00M,1.997B,,1999-12,-829.00M,443.00M,,,,,1999-12,
1999-09,582.00M,-28.00M,,-80.00M,,-121.00M,,767.00M,-62.00M,34.00M,-259.00M,-45.00M,-32.00M,780.00M,,,,444.00M,1.644B,,1999-09,222.00M,222.00M,,193.00M,-14.00M,-1.447B,,1999-09,644.00M,140.00M,10.00M,,10.00M,,-399.00M,,,-249.00M,,1999-09,752.00M,3.00M,703.00M,,1999-09,150.00M,-10.00M,,,,,1999-09,Restated
1999-06,350.00M,13.00M,,-62.00M,,-191.00M,,633.00M,-118.00M,-639.00M,-257.00M,13.00M,42.00M,1.366B,,,,1.164B,1.199B,,1999-06,216.00M,216.00M,,-19.00M,76.00M,-571.00M,,1999-06,-183.00M,-36.00M,25.00M,,25.00M,,-401.00M,,,-412.00M,,1999-06,538.00M,-2.00M,752.00M,,1999-06,183.00M,-219.00M,,,,,1999-06,Restated
1999-03,329.00M,15.00M,,-102.00M,,-195.00M,,566.00M,60.00M,-59.00M,41.00M,34.00M,-153.00M,168.00M,,,,90.00M,791.00M,,1999-03,145.00M,145.00M,,-102.00M,-22.00M,-776.00M,,1999-03,-202.00M,282.00M,70.00M,,70.00M,,-399.00M,,,-47.00M,,1999-03,569.00M,1.00M,538.00M,,1999-03,496.00M,-214.00M,,,,,1999-03,Restated
1998-12,-206.00M,23.00M,,120.00M,,143.00M,,646.00M,-111.00M,676.00M,-331.00M,-5.00M,100.00M,548.00M,,,,-497.00M,651.00M,,1998-12,-210.00M,-210.00M,,-230.00M,291.00M,-1.25B,,1998-12,13.00M,1.726B,,298.00M,37.00M,,-398.00M,,-1.339B,26.00M,,1998-12,1.152B,-10.00M,569.00M,,1998-12,48.00M,-35.00M,298.00M,,,,1998-12,Restated
1998-09,461.00M,0.00,,32.00M,,32.00M,,563.00M,146.00M,-98.00M,-69.00M,72.00M,88.00M,423.00M,,,,514.00M,1.618B,,1998-09,116.00M,116.00M,,-83.00M,39.00M,-1.002B,,1998-09,-11.00M,-11.00M,,-159.00M,-159.00M,,-400.00M,,-82.00M,-652.00M,,1998-09,1.185B,3.00M,1.152B,,1998-09,58.00M,-69.00M,-159.00M,,,,1998-09,Restated
1998-06,577.00M,-39.00M,,-152.00M,,-117.00M,,557.00M,99.00M,35.00M,133.00M,-6.00M,-19.00M,-174.00M,,,,-66.00M,1.085B,,1998-06,82.00M,82.00M,,-23.00M,-69.00M,-985.00M,,1998-06,-168.00M,-168.00M,,25.00M,25.00M,,-399.00M,,362.00M,-180.00M,,1998-06,1.265B,0.00,1.185B,,1998-06,109.00M,-277.00M,25.00M,,,,1998-06,Restated
