,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2001-12,,9.745B,,9.745B,,,,9.745B,,,,,,,,1.741B,,,7.412B,117.22B,2.457B,,114.77B,27.59B,161.47B,171.39B,,14.67B,14.67B,14.67B,17.50B,25.72B,,25.72B,105.22B,,130.94B,154.93B,20.00M,11.92B,4.906B,478.00M,,95.00M,16.46B
2001-09,,8.323B,,8.323B,,,,8.323B,,,,,,,,1.773B,,,7.448B,116.97B,2.458B,,114.52B,26.37B,159.36B,167.83B,,12.61B,12.61B,12.61B,12.61B,29.00B,,29.00B,103.80B,,132.80B,151.01B,20.00M,11.58B,4.918B,62.00M,,356.00M,16.82B
2001-06,,8.077B,,8.077B,,,,8.077B,,,,,,,,1.746B,,,5.202B,120.91B,1.716B,,119.20B,21.89B,156.93B,165.16B,,14.01B,14.01B,14.01B,14.01B,23.46B,,23.46B,106.94B,,130.41B,149.70B,19.00M,11.92B,3.534B,26.00M,,13.00M,15.46B
2001-03,,7.775B,,7.775B,,,,7.775B,,,,,,,,1.787B,,,5.211B,120.86B,1.729B,,119.13B,17.32B,152.35B,160.27B,,11.66B,11.66B,11.66B,11.66B,23.12B,,23.12B,104.84B,,127.97B,145.03B,19.00M,11.71B,3.50B,38.00M,,51.00M,15.24B
2000-12,,9.132B,,9.132B,,,,9.132B,,,,,,,,1.836B,,,5.309B,123.13B,1.787B,,121.34B,18.40B,155.61B,164.92B,,11.83B,11.83B,11.83B,11.83B,23.28B,,23.28B,109.54B,,132.81B,149.75B,19.00M,11.66B,4.276B,880.00M,,95.00M,15.17B
2000-09,,3.140B,,3.140B,,,,3.140B,,,,,,,,987.26M,,,,54.48B,717.62M,,53.77B,12.92B,71.35B,74.51B,,9.364B,9.364B,9.364B,9.364B,4.144B,,4.144B,53.28B,,57.43B,68.31B,9.844M,5.126B,1.866B,764.24M,,-45.66M,6.192B
2000-06,,3.502B,,3.502B,,,,3.502B,,,,,,,,1.008B,,,,53.65B,717.63M,,52.93B,13.26B,70.91B,74.43B,,9.667B,9.667B,9.667B,9.667B,4.482B,,4.482B,52.72B,,57.20B,68.22B,9.844M,4.972B,1.879B,531.85M,,-122.43M,6.206B
2000-03,,3.042B,,3.042B,,,,3.042B,,,,,,,,1.000B,,,,52.14B,714.97M,,51.42B,13.90B,70.00B,73.06B,,9.358B,9.358B,9.358B,9.358B,4.745B,,4.745B,51.42B,,56.17B,66.79B,9.846M,4.811B,1.895B,295.99M,,-150.70M,6.269B
1999-12,,4.036B,,4.036B,433.00M,,433.00M,5.506B,,,,,,,,862.00M,,,3.066B,62.88B,995.00M,,61.89B,5.488B,75.87B,81.53B,,724.00M,724.00M,724.00M,2.256B,17.51B,,17.51B,51.53B,,69.04B,73.89B,943.00M,5.389B,1.399B,31.00M,,-62.00M,7.638B
1999-09,,3.171B,,3.171B,,,,3.171B,,,,,,,,1.024B,,,,51.11B,714.50M,,50.39B,12.97B,68.15B,71.35B,,7.457B,7.457B,7.457B,7.457B,5.598B,,5.598B,50.71B,,56.31B,64.91B,,4.552B,,,,,6.436B
1999-06,,2.284B,,2.284B,,,,2.284B,,,,,,,,620.00M,,,,27.82B,405.20M,,27.41B,5.467B,35.83B,38.13B,,4.028B,4.028B,4.028B,4.028B,1.668B,,1.668B,28.15B,,29.82B,34.52B,,2.476B,,,,,3.614B
1999-03,,2.156B,,2.156B,,,,2.156B,,,,,,,,609.40M,,,,27.51B,401.90M,,27.11B,5.940B,35.77B,37.95B,,3.914B,3.914B,3.914B,3.914B,1.688B,,1.688B,27.87B,,29.56B,34.27B,,2.371B,,,,,3.678B
1998-12,,4.606B,,4.606B,,,,4.606B,,,,,,,,1.117B,,,,49.78B,704.80M,,49.07B,16.00B,69.63B,74.28B,,6.646B,6.646B,6.646B,6.646B,5.457B,,5.457B,54.31B,,59.77B,67.67B,,4.302B,,,,,6.604B
1998-09,,1.174B,,1.174B,,,,1.227B,,,,,,,,386.20M,,,,14.41B,231.50M,,14.18B,3.959B,19.45B,20.69B,,3.164B,3.164B,3.164B,3.164B,855.90M,,855.90M,14.56B,,15.42B,18.86B,,1.618B,,,,,1.828B
1998-06,,785.50M,,785.50M,,,,785.50M,,,,,,,,189.40M,,,,10.44B,153.20M,-244.10M,10.04B,2.758B,14.13B,14.93B,,1.142B,1.142B,1.142B,1.142B,520.50M,,520.50M,11.50B,,12.02B,13.46B,,620.60M,,,,15.20M,1.468B
