,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-03,618.40M,,,,,,191.80M,191.80M,,,,25.30M,,,,,,,,93.10M,,928.60M,-62.30M,,,-25.90M,6.00M,-48.50M,-130.70M,-4.40M,,-4.40M,28.80M,-426.60M,-397.80M,,,,,-104.40M,,-82.70M,-589.30M,850.70M,208.60M,,1.059B,28.80M,10.60M,-15.00M,-426.60M,,
2003-12,-234.50M,,,,,,450.90M,450.90M,,,,878.50M,,,,,,,,-155.70M,,949.20M,-274.80M,,,-41.90M,4.30M,93.50M,-218.90M,-353.60M,,-353.60M,126.50M,-495.50M,-369.00M,,,,,-104.60M,,188.70M,-638.50M,758.90M,91.80M,,850.70M,126.50M,0.00,-353.60M,-495.50M,,
2003-09,548.70M,,,,,,61.30M,61.30M,,,,259.50M,,,,,,,,-32.00M,,837.50M,-30.20M,,,-31.10M,7.50M,-92.50M,-146.30M,-485.50M,,-485.50M,49.60M,-183.60M,-134.00M,,,,,0.00,,-194.10M,-813.60M,881.30M,-122.40M,,758.90M,49.60M,-4.00M,-481.50M,-183.60M,,
2003-06,659.60M,,,,,,246.40M,246.40M,,,,32.60M,,,,,,,,72.70M,,1.011B,-121.50M,,,-1.230B,2.70M,-0.50M,-1.349B,576.10M,,576.10M,61.90M,-80.90M,-19.00M,,,,,0.00,,-2.00M,555.10M,664.10M,217.20M,,881.30M,61.90M,738.60M,-162.50M,-80.90M,,
2003-03,443.10M,,,,,,241.20M,241.20M,,,,46.70M,,,,,,,,-31.60M,,699.40M,-107.90M,,,-42.10M,-9.10M,-0.50M,-159.60M,-345.90M,,-345.90M,25.30M,-185.10M,-159.80M,,,,,0.00,,-1.40M,-507.10M,631.40M,32.70M,,664.10M,25.30M,1.90M,-347.80M,-185.10M,,
2002-12,652.40M,,,,,,239.60M,239.60M,,,,-7.10M,,,,,,,,275.70M,,1.171B,-207.50M,,,-104.70M,46.40M,-12.60M,-278.40M,627.60M,,-526.20M,60.20M,-312.30M,-252.10M,,,,,,,-3.70M,-782.00M,521.00M,110.40M,,631.40M,60.20M,6.90M,620.70M,-312.30M,,
2002-09,640.30M,,,,,,237.90M,237.90M,,,,28.20M,,,,,,,,-567.60M,,338.80M,-125.10M,,,-123.10M,-1.40M,-10.40M,-260.00M,59.90M,,59.90M,48.60M,-320.30M,-271.70M,,,,,,,-0.80M,-212.60M,654.80M,-133.80M,,521.00M,48.60M,594.70M,-534.80M,-320.30M,,
2002-06,546.50M,,,,,,238.70M,238.70M,,,,21.10M,,,,,,,,337.10M,,1.143B,-113.30M,,,-668.50M,-12.10M,16.60M,-777.30M,-201.10M,,-201.10M,140.10M,-194.90M,-54.80M,,,,,,,-0.70M,-256.60M,545.30M,109.50M,,654.80M,140.10M,551.50M,-752.60M,-194.90M,,
2002-03,-1.114B,,,,,,229.40M,229.40M,,,,1.522B,,,,,,,,-166.80M,,471.40M,-91.20M,,,-29.70M,-23.50M,6.40M,-138.00M,-312.10M,,-312.10M,108.70M,-311.50M,-202.80M,,,,,,,-0.60M,-515.50M,727.40M,-182.10M,,545.30M,108.70M,144.90M,-457.00M,-311.50M,,
2001-12,-38.60M,,,,,,782.70M,782.70M,,,,-40.30M,,,,,,,,847.10M,,1.564B,-185.90M,,,-115.60M,-10.00M,,-311.30M,3.174B,,-838.40M,26.10M,-236.90M,-210.80M,,,,,,,-1.00M,-1.050B,525.30M,202.10M,,727.40M,26.10M,45.60M,3.128B,-236.90M,,
2001-09,-190.40M,,,,,,783.20M,783.20M,,,,331.10M,,,,,,,,-381.00M,,542.90M,-121.70M,,,-31.50M,-10.20M,,-163.40M,-396.60M,,-396.60M,25.30M,-346.80M,-321.50M,,,,,,,0.00,-718.10M,863.90M,-338.60M,,525.30M,25.30M,90.70M,-487.30M,-346.80M,,
2001-06,16.70M,,,,,,775.90M,775.90M,,,,16.70M,,,,,,,,140.10M,,949.40M,-102.80M,,,-103.80M,-0.20M,,-206.80M,-707.20M,,-707.20M,88.10M,-207.40M,-119.30M,,,,,,,0.00,-826.50M,947.80M,-83.90M,,863.90M,88.10M,1.620B,-2.328B,-207.40M,,
2001-03,-7.30M,,,,,,745.20M,745.20M,,,,51.00M,,,,,,,,-335.70M,,453.20M,-105.00M,,,-635.20M,231.20M,,-509.00M,300.50M,,300.50M,45.10M,-275.00M,-229.90M,,,,,,,-1.50M,69.10M,934.50M,13.30M,,947.80M,45.10M,1.667B,-1.366B,-275.00M,,
2000-12,30.40M,,,,,,763.00M,763.00M,,,,3.50M,,,,,,,,363.60M,,1.178B,-236.90M,,,-528.70M,96.80M,6.50M,-662.30M,-128.50M,-1.526B,-1.655B,24.50M,-358.10M,-333.60M,,,,,,,1.414B,-574.30M,992.70M,-58.20M,,934.50M,24.50M,47.30M,-175.80M,-358.10M,,
2000-09,33.40M,,,,,,680.30M,680.30M,,,,358.90M,,,,,,,,-463.30M,,609.30M,-130.20M,,,-1.564B,123.80M,3.90M,-1.567B,1.387B,-56.70M,1.330B,51.60M,-340.60M,-289.00M,,,,,,,2.20M,1.043B,907.00M,85.70M,,992.70M,51.60M,1.498B,-111.60M,-340.60M,,
2000-06,-495.60M,,,,,,551.00M,551.00M,,,,464.40M,,,,,,,,-92.80M,,427.00M,-186.20M,,,-285.00M,27.30M,5.90M,-438.00M,-2.70M,1.583B,1.580B,96.60M,-585.00M,-488.40M,,,,,,,-871.20M,220.50M,697.50M,209.50M,,907.00M,96.60M,137.20M,-139.90M,-585.00M,,
2000-03,-384.30M,,,,,,229.20M,229.20M,,,,768.90M,,,,,,,,-505.20M,,108.60M,-105.70M,,,-1.90M,-79.00M,-7.10M,-193.70M,-35.20M,,-35.20M,14.30M,-745.80M,-731.50M,,,,,,,868.50M,101.80M,680.80M,16.70M,,697.50M,14.30M,0.00,-35.20M,-745.80M,,
1999-12,133.10M,,,,,,228.90M,228.90M,,,,100.20M,61.70M,,,-19.70M,,,-1.054B,104.80M,,582.40M,-202.60M,,,-2.90M,-12.30M,-33.70M,-251.50M,-2.529B,,-2.529B,19.30M,0.00,19.30M,-611.90M,-611.90M,,,,,2.806B,-324.30M,674.20M,6.60M,,680.80M,19.30M,-2.494B,-35.20M,-611.90M,,
1999-09,96.70M,,,,,,218.70M,218.70M,,,,12.60M,,,,,,,,-244.20M,,83.80M,-183.20M,,,-32.10M,32.30M,1.90M,-181.10M,-527.60M,,-527.60M,759.80M,-76.50M,683.30M,612.00M,612.00M,,,,,-612.20M,155.50M,616.00M,58.20M,,674.20M,759.80M,-282.40M,-245.20M,535.50M,,
1999-06,59.30M,,,,,,200.00M,200.00M,,,,26.50M,-314.80M,,132.30M,441.10M,,,396.90M,-266.60M,,19.20M,-175.20M,,,-176.50M,-30.40M,,-382.10M,2.752B,,2.752B,15.20M,-352.80M,-337.60M,0.00,0.00,,,,,-1.819B,596.20M,382.70M,233.30M,,616.00M,15.20M,2.777B,-24.10M,-352.80M,,
1999-03,44.90M,,,,,,197.10M,197.10M,,,,22.20M,314.80M,,-132.30M,-441.10M,,,-396.90M,-655.50M,,-391.30M,-145.20M,,,-100.90M,-46.80M,,-292.90M,-877.30M,,-877.30M,27.20M,-49.50M,-22.30M,-612.00M,-612.00M,,,,,1.811B,299.60M,767.30M,-384.60M,,382.70M,27.20M,,-877.30M,-661.50M,,
1998-12,18.50M,,,,-40.60M,688.00M,1.465B,1.465B,,,,-1.359B,210.50M,-476.00M,,454.00M,40.80M,492.70M,-59.60M,542.70M,,643.10M,-82.40M,-141.70M,379.40M,,4.794B,230.90M,4.674B,,,,,,,,,,,-19.80M,,-289.40M,-4.863B,312.90M,454.40M,,767.30M,,,,,,
1998-09,138.40M,,,,22.80M,-223.10M,-223.10M,-223.10M,,,,352.80M,-530.40M,231.30M,,103.60M,-64.70M,230.60M,27.10M,-2.50M,,288.40M,-184.30M,141.70M,-42.60M,,-18.10M,-16.00M,-76.70M,,,,,,,,,,,-15.00M,,-219.70M,-234.70M,335.90M,-23.00M,,312.90M,,,,,,
1998-06,-280.70M,,,,17.80M,-235.60M,-235.60M,-235.60M,514.10M,,,499.80M,-6.70M,264.30M,,79.90M,66.00M,-720.30M,,-316.80M,,198.60M,-158.70M,,-158.70M,,50.80M,-82.10M,-190.00M,,,,,,,,,,,-15.00M,,21.20M,6.20M,,43.60M,,335.90M,,,,,,
