,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-03,2.259B,2.259B,2.923B,2.923B,750.00M,772.20M,275.20M,12.50M,6.992B,0.00,336.30M,672.60M,1.637B,2.054B,,4.700B,-1.807B,2.893B,18.48B,9.961B,28.44B,,2.705B,34.04B,41.03B,328.10M,,,328.10M,1.854B,2.182B,,,14.60M,,14.60M,506.50M,506.50M,,2.034B,4.737B,7.112B,,7.112B,2.012B,2.012B,,,1.70M,,5.502B,14.63B,19.36B,0.80M,-18.68B,43.96B,3.693B,,82.20M,21.67B
2007-12,1.347B,1.347B,,2.678B,971.90M,177.60M,273.70M,582.80M,6.031B,0.00,334.60M,647.70M,1.676B,1.809B,215.70M,4.683B,-1.762B,2.922B,18.45B,10.08B,28.53B,,2.944B,34.40B,40.43B,352.30M,39.60M,612.50M,1.004B,1.157B,2.161B,,,19.10M,,19.10M,378.80M,378.80M,,1.846B,4.405B,7.069B,,7.069B,1.947B,1.947B,,1.696B,,,3.842B,14.55B,18.96B,0.80M,-18.92B,44.09B,3.703B,,,21.47B
2007-09,1.226B,1.226B,2.593B,2.593B,792.20M,664.30M,307.70M,160.20M,5.743B,0.00,338.70M,638.70M,1.650B,1.954B,,4.582B,-1.737B,2.844B,19.08B,10.24B,29.32B,,3.192B,35.36B,41.10B,375.60M,,,375.60M,2.255B,2.630B,,,19.80M,,19.80M,,,,1.613B,4.263B,7.036B,,7.036B,2.372B,2.372B,,,1.10M,,6.231B,15.64B,19.90B,0.80M,-19.21B,44.23B,3.703B,,-116.40M,21.20B
2007-06,2.797B,2.797B,2.542B,2.542B,729.60M,893.90M,307.70M,159.10M,7.429B,0.00,332.80M,642.60M,1.630B,1.912B,,4.518B,-1.708B,2.809B,19.02B,10.25B,29.28B,,3.176B,35.26B,42.69B,396.10M,,,396.10M,2.155B,2.551B,,,19.50M,,19.50M,,,,1.826B,4.397B,6.996B,,6.996B,2.398B,2.398B,,,0.60M,,6.267B,15.66B,20.06B,0.80M,-19.55B,44.33B,1.954B,,-184.10M,22.63B
2007-03,3.379B,3.379B,2.835B,2.835B,768.90M,770.10M,307.70M,196.80M,8.258B,0.00,342.60M,579.70M,1.500B,1.856B,,4.278B,-1.466B,2.812B,18.72B,10.31B,29.02B,,3.232B,35.07B,43.33B,399.60M,,,399.60M,2.002B,2.402B,,,677.60M,,677.60M,,,,2.246B,5.325B,7.048B,,7.048B,2.293B,2.293B,,,0.80M,,6.193B,15.53B,20.86B,0.80M,-19.96B,44.37B,1.720B,,-224.90M,22.47B
2006-12,3.075B,3.075B,2.824B,2.824B,982.90M,163.70M,307.70M,791.20M,8.144B,0.00,343.70M,582.30M,1.522B,1.826B,,4.275B,-1.461B,2.814B,18.82B,10.42B,29.25B,,3.304B,35.36B,43.51B,502.30M,,,502.30M,1.141B,1.643B,,,15.00M,,15.00M,268.40M,268.40M,,2.473B,4.400B,7.027B,,7.027B,2.311B,2.311B,,,1.00M,,6.248B,15.59B,19.99B,0.80M,-20.18B,44.26B,315.40M,,-246.30M,23.52B
2006-09,3.177B,3.177B,2.582B,2.582B,838.20M,806.60M,468.90M,,7.872B,0.00,343.90M,580.40M,1.442B,1.806B,,4.173B,-1.468B,2.705B,18.99B,10.47B,29.47B,,3.441B,35.61B,43.49B,426.00M,,,426.00M,2.200B,2.626B,,,14.80M,,14.80M,,,,1.609B,4.250B,7.033B,,7.033B,2.416B,2.416B,,,0.70M,,6.539B,15.99B,20.24B,0.80M,-20.51B,44.38B,315.40M,,-311.10M,23.25B
2006-06,3.062B,3.062B,2.452B,2.452B,743.80M,1.253B,,,7.510B,0.00,343.60M,594.90M,1.398B,1.789B,,4.126B,-1.421B,2.704B,18.98B,10.49B,29.47B,,3.382B,35.56B,43.07B,378.90M,,,378.90M,2.084B,2.463B,,,16.30M,,16.30M,,,,1.787B,4.266B,7.019B,,7.019B,2.168B,2.168B,,,1.80M,,6.503B,15.69B,19.96B,0.80M,-20.83B,44.59B,321.10M,,-332.80M,23.11B
2006-03,1.287B,1.287B,2.771B,2.771B,800.30M,1.338B,,,6.196B,0.00,501.10M,699.20M,2.218B,1.747B,,5.166B,-1.961B,3.205B,19.19B,10.51B,29.71B,,3.396B,36.31B,42.50B,479.90M,,,479.90M,1.968B,2.448B,,,17.40M,,17.40M,,,,1.978B,4.443B,7.085B,,7.085B,2.147B,2.147B,,,1.70M,,6.699B,15.93B,20.37B,0.80M,-21.61B,44.48B,321.10M,,-422.50M,22.13B
2005-12,1.655B,1.655B,2.726B,2.726B,970.00M,196.80M,468.90M,778.40M,6.796B,0.00,342.80M,580.70M,1.356B,1.737B,,4.017B,-1.280B,2.736B,18.63B,10.51B,29.14B,,4.354B,36.23B,43.03B,588.60M,,,588.60M,1.073B,1.662B,,,747.10M,,747.10M,265.10M,265.10M,,2.705B,5.379B,7.153B,,7.153B,2.022B,2.022B,,,1.70M,,6.737B,15.91B,21.29B,0.80M,-21.84B,44.30B,334.30M,,-397.50M,21.74B
2005-09,810.80M,810.80M,,3.908B,952.90M,1.288B,,33.10M,6.993B,,,,,,,7.350B,-3.041B,4.309B,38.44B,10.72B,49.16B,,6.856B,60.32B,67.31B,587.90M,52.20M,625.60M,1.266B,3.511B,4.777B,,,63.60M,,63.60M,,,,1.763B,6.604B,10.64B,,10.64B,1.489B,1.489B,,,4.50M,,8.228B,20.35B,26.96B,18.80M,-12.70B,65.92B,12.49B,,-398.20M,40.35B
2005-06,666.40M,666.40M,,3.785B,926.60M,1.322B,,25.20M,6.725B,,,,,,,7.246B,-2.912B,4.335B,38.48B,10.65B,49.13B,,7.005B,60.47B,67.20B,543.50M,210.40M,494.70M,1.249B,3.345B,4.593B,,,62.50M,,62.50M,,,,1.980B,6.636B,10.49B,,10.49B,1.359B,1.359B,,,4.90M,,7.825B,19.68B,26.31B,18.70M,-13.41B,65.98B,11.30B,,-409.20M,40.88B
2005-03,467.40M,467.40M,,3.836B,937.80M,1.314B,,60.30M,6.616B,,,,,,,7.859B,-3.235B,4.625B,38.34B,10.62B,48.96B,,6.664B,60.25B,66.87B,499.40M,379.10M,423.80M,1.302B,3.103B,4.405B,,,64.70M,,64.70M,,,,2.199B,6.668B,9.845B,,9.845B,1.289B,1.289B,,,8.20M,,7.921B,19.05B,25.72B,18.70M,-14.16B,66.00B,10.34B,,-377.10M,41.14B
2004-12,,,,,,,,,,,,,,,,,,,,,,,,,68.00B,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.98B,,,,,,,42.02B
2004-09,2.453B,2.453B,,3.936B,960.90M,1.079B,,1.018B,9.447B,,,,,,,8.415B,-3.345B,5.070B,54.55B,12.44B,66.99B,,9.060B,81.12B,90.57B,461.60M,213.70M,505.40M,1.181B,3.380B,4.561B,,,67.10M,,67.10M,,,,3.014B,7.643B,9.604B,,9.604B,343.60M,343.60M,,,252.60M,,9.242B,19.19B,26.83B,18.70M,3.808B,65.98B,5.992B,,-328.60M,63.48B
2004-06,1.713B,1.713B,,3.729B,1.249B,1.225B,,,7.916B,,,,,,,10.78B,-4.962B,5.820B,56.89B,12.49B,69.38B,,6.554B,81.76B,89.67B,929.80M,151.00M,82.90M,1.164B,3.560B,4.723B,,,124.20M,,124.20M,,,,2.077B,6.925B,9.659B,,9.659B,356.10M,356.10M,,,652.00M,,8.114B,18.13B,25.05B,18.70M,4.399B,65.92B,5.992B,,-379.10M,63.97B
2004-03,1.059B,1.059B,,3.895B,1.328B,1.189B,,,7.471B,,,,,,,10.73B,-4.835B,5.891B,57.03B,12.39B,69.42B,,6.948B,82.26B,89.73B,896.30M,349.60M,1.162B,2.408B,3.487B,5.896B,,,135.60M,,135.60M,,,,1.154B,7.185B,9.685B,,9.685B,418.30M,418.30M,,,645.60M,,8.304B,18.41B,25.59B,18.70M,3.749B,65.88B,5.793B,,-359.90M,63.49B
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,90.23B,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.02B,,,,,,,63.20B
2003-09,758.90M,758.90M,,3.822B,1.424B,1.507B,,,7.512B,,,,,,,10.45B,-4.440B,6.013B,58.29B,12.43B,70.73B,,6.685B,83.42B,90.94B,964.40M,218.40M,1.156B,2.338B,3.764B,6.102B,,,332.80M,,332.80M,,,,1.006B,7.441B,9.714B,,9.714B,1.187B,1.187B,,,868.20M,,7.604B,18.50B,25.94B,18.60M,3.632B,65.79B,4.899B,,-420.60M,64.12B
2003-06,881.30M,881.30M,,3.400B,1.272B,1.535B,,,7.088B,,,,,,,10.34B,-4.245B,6.099B,58.29B,12.46B,70.74B,,6.786B,83.63B,90.72B,893.00M,195.20M,27.50M,1.116B,3.535B,4.651B,,,362.00M,,362.00M,,,,2.127B,7.140B,10.36B,,10.36B,1.054B,1.054B,,,875.60M,,7.626B,19.04B,26.18B,18.60M,3.037B,65.73B,4.695B,,-426.10M,63.66B
2003-03,664.10M,664.10M,,3.251B,1.232B,1.472B,,,6.620B,,,,,,,10.03B,-3.970B,6.055B,57.12B,12.46B,69.58B,,6.908B,82.55B,89.17B,802.90M,,258.20M,1.061B,3.690B,4.751B,,,293.10M,,293.10M,,,,1.895B,6.940B,9.782B,,9.782B,,,,,861.40M,,8.690B,18.47B,25.41B,18.50M,2.377B,65.63B,4.605B,,-533.60M,62.89B
2002-12,,,,,,,,,,,,,,,,,,,,,,,,,90.50B,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.01B,,,,,,,62.49B
2002-09,521.00M,521.00M,,3.391B,1.827B,,,1.524B,7.262B,,,,,,,9.618B,-3.553B,6.065B,57.52B,12.42B,69.94B,,6.523B,82.53B,89.79B,984.80M,,259.60M,1.244B,3.733B,4.977B,,,357.30M,,357.30M,,,,1.813B,7.147B,10.46B,,10.46B,,,,,815.90M,,8.792B,19.26B,26.40B,18.50M,1.282B,65.53B,4.131B,,-129.40M,62.57B
2002-06,654.80M,654.80M,,3.077B,1.500B,,,1.561B,6.792B,,,,,,,9.544B,-3.373B,6.172B,57.42B,12.44B,69.87B,,6.164B,82.20B,88.99B,991.80M,,223.50M,1.215B,3.768B,4.984B,,,337.40M,,337.40M,,,,1.799B,7.120B,10.36B,,10.36B,,,,,796.50M,,8.507B,18.87B,25.99B,18.50M,641.30M,65.47B,3.811B,,-110.20M,62.21B
2002-03,545.30M,545.30M,,3.272B,1.507B,,,1.502B,6.827B,,,,,,,9.404B,-3.175B,6.229B,57.27B,11.87B,69.14B,,6.250B,81.61B,88.44B,846.50M,,380.10M,1.227B,3.560B,4.787B,,,313.40M,,313.40M,,,,1.993B,7.093B,10.52B,,10.52B,,,,,774.90M,,8.513B,19.04B,26.13B,18.40M,94.80M,65.21B,3.614B,,-170.00M,61.54B
2001-12,727.40M,727.40M,,3.582B,1.369B,,359.70M,1.168B,7.206B,,,,,,,9.365B,-3.030B,6.335B,,,70.99B,,6.278B,83.60B,90.81B,945.00M,94.00M,270.40M,1.309B,3.537B,4.846B,,,299.00M,,299.00M,,,,2.416B,7.562B,10.82B,,10.82B,1.131B,1.131B,1.644B,,1.212B,,5.721B,19.32B,26.88B,18.40M,1.208B,64.98B,3.338B,,-152.70M,62.72B
2001-09,525.30M,525.30M,,3.843B,1.500B,,,1.207B,7.076B,,,,,,,9.303B,-2.858B,6.446B,,,71.31B,,6.748B,84.51B,91.58B,980.60M,,,980.60M,5.418B,6.398B,,,266.40M,,266.40M,,,,978.00M,7.643B,11.72B,,11.72B,,,,,1.208B,,8.183B,19.91B,27.55B,18.40M,1.251B,64.82B,3.070B,,-193.00M,62.82B
2001-06,863.90M,863.90M,,3.652B,1.364B,,,1.159B,7.038B,,,,,,,9.137B,-2.589B,6.547B,,,71.88B,,6.651B,85.08B,92.12B,1.018B,,,1.018B,5.626B,6.644B,,,219.60M,,219.60M,,,,925.20M,7.788B,12.14B,,12.14B,,,,,1.248B,,7.605B,19.75B,27.54B,18.30M,1.441B,64.79B,2.717B,,-205.80M,63.33B
2001-03,947.80M,947.80M,,3.986B,1.454B,,,1.468B,7.856B,,,,,,,8.921B,-2.455B,6.466B,,,71.87B,,6.361B,84.69B,92.55B,923.10M,,,923.10M,5.511B,6.434B,,,150.00M,,150.00M,,,,1.188B,7.772B,12.89B,,12.89B,,,,,1.248B,,7.184B,20.07B,27.84B,18.30M,1.424B,64.73B,2.510B,,-201.10M,63.46B
2000-12,,,,,,,,,,,,,,,,,,,,,,,,,83.24B,,,,,,,,,,,,,,,,,11.53B,,11.53B,,,,,,,,11.53B,35.27B,,,,,,,47.97B
2000-09,992.70M,992.70M,,3.502B,1.308B,,,1.717B,7.520B,,,,,,,8.822B,-2.285B,6.537B,,,61.64B,,6.723B,74.90B,82.42B,1.163B,,,1.163B,4.875B,6.039B,,,238.00M,,238.00M,,,,782.60M,7.059B,12.64B,,12.64B,,,,,7.009B,,7.521B,20.16B,27.22B,15.90M,1.401B,49.97B,3.071B,,-125.70M,48.20B
2000-06,907.00M,907.00M,,3.284B,1.295B,,,1.718B,7.204B,,,,,,,8.705B,-2.136B,6.569B,,,61.22B,,8.736B,76.52B,83.73B,1.100B,,,1.100B,4.882B,5.983B,,,375.50M,,375.50M,,,,734.80M,7.093B,11.13B,,11.13B,1.895B,1.895B,,,6.950B,,7.437B,20.46B,27.56B,15.80M,1.368B,50.59B,2.680B,,-77.30M,49.22B
2000-03,697.50M,697.50M,,1.53B,1.806B,,,917.90M,4.952B,,,,,,,5.378B,-1.978B,3.400B,,,11.41B,,4.561B,19.37B,24.32B,559.00M,3.10M,482.50M,1.045B,2.100B,3.144B,,,281.30M,,281.30M,,,,562.10M,3.988B,6.547B,,6.547B,,,,,,,3.356B,9.903B,13.89B,7.50M,2.324B,10.35B,2.214B,,-37.00M,10.43B
1999-12,680.80M,680.80M,,1.697B,1.960B,,,860.70M,5.198B,,,,,,,5.256B,-1.831B,3.425B,,,11.48B,,4.384B,19.29B,24.49B,544.40M,1.00M,541.80M,1.087B,1.904B,2.992B,,,294.30M,,294.30M,,,,1.114B,4.400B,5.698B,,5.698B,,,245.00M,,1.246B,,1.766B,7.708B,12.11B,7.50M,2.248B,10.34B,1.432B,,-30.20M,11.13B
1999-09,674.20M,674.20M,,1.677B,1.798B,,,832.80M,4.982B,,,,,,,5.097B,-1.781B,3.316B,,11.42B,11.42B,,,19.29B,24.27B,487.40M,,,487.40M,,487.40M,,,131.20M,,131.20M,,,,3.567B,4.185B,6.142B,,6.142B,,,,,,,,6.142B,13.35B,7.50M,2.115B,10.26B,1.432B,,,10.92B
1999-06,616.00M,616.00M,,1.578B,1.738B,,,883.20M,4.815B,,,,,,,4.913B,-1.664B,3.249B,,11.49B,11.49B,,,18.99B,23.80B,420.70M,,,420.70M,,420.70M,,,328.20M,,328.20M,,,,3.539B,4.288B,6.424B,,6.424B,,,,,,,,6.424B,12.59B,,2.018B,,,,,11.21B
1999-03,382.70M,382.70M,,1.444B,1.696B,,,871.70M,4.395B,,,,,,,4.679B,-1.561B,3.118B,,11.43B,11.43B,,,18.66B,23.05B,464.90M,,,464.90M,,464.90M,,,132.20M,,132.20M,,,,3.269B,3.866B,5.613B,,5.613B,,,,,,,,5.613B,11.57B,,1.959B,,,,,11.48B
1998-12,767.30M,767.30M,,1.759B,1.806B,,,732.60M,5.064B,,,,,,,4.537B,-1.458B,3.080B,,,11.56B,,3.912B,18.55B,23.61B,499.20M,526.50M,201.80M,1.228B,2.536B,3.764B,,,377.20M,,377.20M,,,,1.492B,5.633B,3.813B,,3.813B,,,,,71.20M,,2.046B,5.860B,11.49B,607.30M,1.933B,10.57B,998.20M,600.00M,-67.10M,12.05B
1997-12,292.30M,292.30M,,2.398B,2.253B,,,770.80M,5.714B,,,,,,,4.320B,-1.122B,3.198B,,,14.70B,,4.678B,22.58B,28.29B,699.70M,556.30M,951.30M,2.207B,2.016B,4.224B,,,376.50M,,376.50M,,,,452.30M,5.052B,7.423B,,7.423B,,,,,,,2.430B,9.853B,14.91B,1.207B,2.089B,10.33B,229.50M,1.20B,-12.60M,13.38B
1997-09,218.50M,218.50M,,2.497B,2.441B,,,777.10M,5.934B,,,,,,,4.228B,-1.050B,3.178B,,14.63B,14.63B,,,23.12B,29.05B,576.10M,,,576.10M,,576.10M,,,67.80M,,67.80M,,,,3.412B,4.056B,9.925B,,9.925B,,,,,,,,9.925B,16.27B,,1.537B,,,,,12.78B
1997-06,201.60M,201.60M,,2.064B,2.358B,,,1.372B,5.996B,,,,,,,4.151B,-951.20M,3.200B,,14.73B,14.73B,,,23.20B,29.20B,600.30M,,,600.30M,,600.30M,,,62.90M,,62.90M,,,,3.226B,3.889B,10.82B,,10.82B,,,,,,,,10.82B,16.85B,,1.117B,,,,,12.35B
