,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2013-03,528.33M,1.050B,1.579B,229.96M,229.96M,9.02M,181.75M,51.56M,,242.33M,37.44M,80.69M,67.36M,2.236B,0.00,47.10M,396.61M,1.378B,,76.16M,1.898B,-1.383B,514.54M,271.35M,530.14M,801.48M,257.45M,,41.56M,1.615B,2013-03,75.55M,,75.55M,127.11M,202.66M,,,,,,138.95M,138.95M,,341.61M,983.38M,,983.38M,388.25M,388.25M,,21.97M,,2013-03,0.196M,1.353B,1.256B,6.935M,1.933B,,2013-03,AOR,Restated
2012-12,465.29M,1.157B,1.622B,177.50M,177.50M,8.73M,188.97M,63.89M,,261.59M,30.01M,129.70M,75.47M,2.297B,0.00,47.10M,395.72M,1.366B,,76.85M,1.885B,-1.363B,522.74M,263.31M,570.80M,834.12M,149.66M,,40.43M,1.547B,2012-12,54.05M,,54.05M,119.62M,173.67M,,,,,,122.61M,122.61M,,296.28M,971.41M,,971.41M,445.49M,445.49M,,21.84M,,2012-12,0.195M,1.362B,1.273B,6.774M,1.927B,,2012-12,AOR,Restated
2012-09,436.74M,1.117B,1.553B,230.46M,230.46M,7.934M,187.73M,93.86M,,289.53M,33.93M,116.87M,65.09M,2.289B,0.00,47.10M,394.55M,1.361B,,75.08M,1.878B,-1.341B,536.73M,260.06M,607.13M,867.19M,154.00M,,41.18M,1.599B,2012-09,82.26M,,82.26M,120.09M,202.35M,,,,,,123.12M,123.12M,,325.47M,959.66M,,959.66M,434.60M,434.60M,,24.74M,,2012-09,0.194M,1.421B,1.277B,6.689M,1.964B,,2012-09,AOR,Restated
2012-06,779.85M,881.91M,1.662B,174.68M,174.68M,8.439M,151.94M,61.11M,,221.48M,25.59M,94.97M,50.82M,2.229B,0.00,46.53M,374.37M,1.331B,,74.98M,1.827B,-1.320B,506.23M,102.19M,110.26M,212.45M,159.48M,,37.39M,915.54M,2012-06,52.65M,,52.65M,86.55M,139.20M,,,,,,110.79M,110.79M,,249.99M,357.36M,,357.36M,416.98M,416.98M,,29.26M,,2012-06,0.194M,1.510B,1.270B,2.963M,2.018B,,2012-06,AOR,Restated
2012-03,635.76M,823.25M,1.459B,170.20M,170.20M,8.065M,139.04M,70.17M,,217.28M,25.66M,91.19M,52.52M,2.016B,0.00,46.53M,374.04M,1.314B,,83.68M,1.819B,-1.302B,516.61M,93.51M,90.44M,183.95M,328.59M,,38.77M,1.068B,2012-03,50.29M,,50.29M,88.88M,139.16M,,,,,,108.71M,108.71M,,247.87M,355.05M,,355.05M,411.37M,411.37M,,8.322M,,2012-03,0.193M,1.499B,1.269B,3.101M,1.991B,,2012-03,AOR,Restated
2011-12,605.72M,696.55M,1.302B,149.28M,149.28M,9.801M,138.68M,69.38M,,217.85M,23.71M,87.34M,49.63M,1.830B,0.00,46.53M,372.91M,1.309B,,86.90M,1.816B,-1.282B,533.65M,76.10M,75.05M,151.15M,468.09M,,38.18M,1.191B,2011-12,40.04M,,40.04M,92.74M,132.78M,,,,,,115.79M,115.79M,,248.57M,353.34M,,353.34M,397.71M,397.71M,,8.844M,,2011-12,0.192M,1.486B,1.270B,-1.755M,1.941B,,2011-12,AOR,Restated
2011-09,675.13M,740.31M,1.415B,142.41M,142.41M,8.807M,158.35M,44.05M,,211.21M,22.37M,96.49M,45.47M,1.933B,0.00,46.53M,381.26M,1.362B,,87.55M,1.878B,-1.329B,548.98M,76.06M,76.50M,152.56M,359.98M,,38.85M,1.100B,2011-09,57.79M,,57.79M,92.18M,149.97M,,,,,,144.18M,144.18M,,294.15M,351.37M,,351.37M,409.37M,409.37M,,9.874M,,2011-09,0.191M,1.475B,1.270B,-0.596M,1.904B,,2011-09,AOR,Restated
2011-06,651.38M,866.37M,1.518B,196.25M,196.25M,9.568M,160.43M,32.46M,,202.46M,22.49M,87.47M,69.27M,2.096B,0.00,46.53M,379.42M,1.335B,,92.20M,1.854B,-1.308B,545.70M,76.03M,75.58M,151.61M,199.55M,,36.75M,933.61M,2011-06,67.53M,,67.53M,114.96M,182.48M,,,,,,145.60M,145.60M,,328.08M,349.11M,,349.11M,401.13M,401.13M,,10.02M,,2011-06,0.191M,1.462B,1.269B,5.284M,1.879B,,2011-06,AOR,Restated
2011-03,703.92M,539.57M,1.243B,181.20M,181.20M,8.174M,141.46M,31.16M,,180.80M,22.23M,88.82M,58.43M,1.775B,0.00,46.50M,375.61M,1.306B,,101.20M,1.830B,-1.289B,540.51M,76.02M,77.93M,153.95M,464.84M,,33.78M,1.193B,2011-03,68.43M,,68.43M,131.84M,200.27M,,,,,,140.04M,140.04M,,340.32M,347.33M,,347.33M,399.53M,399.53M,,10.32M,,2011-03,0.19M,1.429B,1.268B,3.357M,1.812B,,2011-03,AOR,Restated
2010-06,523.47M,792.34M,1.316B,193.50M,193.50M,5.326M,107.90M,14.90M,,128.13M,16.82M,95.53M,98.08M,1.848B,0.00,39.67M,366.60M,1.248B,,79.47M,1.734B,-1.226B,507.67M,49.47M,77.64M,127.11M,160.13M,,50.48M,845.39M,2010-06,84.52M,,84.52M,91.50M,176.01M,,,,,,108.07M,108.07M,,284.08M,438.44M,,438.44M,395.36M,395.36M,,7.92M,,2010-06,0.186M,1.293B,1.275B,-4.253M,1.567B,,2010-06,AOR,Restated
