,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,126.79M,126.79M,89.37M,37.42M,,,22.82M,11.08M,,,,,,35.41M,2.015M,,,,,,1.383M,0.508M,0.875M,,,0.875M,0.875M,9.309M,7.294M,2.015M,0.0017,0.0,,0.0017,0.0017,0.0,0.0,,0.0,0.0,314.85M,314.85M,
2000-12,264.47M,264.47M,178.79M,85.68M,,,39.15M,11.78M,,,,,,50.92M,34.75M,,,,,,32.53M,12.02M,20.50M,,,20.50M,20.50M,65.59M,30.83M,34.75M,0.07,0.0,,0.07,0.07,0.0583,0.0,,0.0583,0.0583,293.30M,364.45M,
2000-09,144.36M,144.36M,89.17M,55.19M,,,34.55M,11.11M,,,,,,45.66M,9.536M,,,,,,6.853M,2.547M,4.306M,,,4.306M,4.306M,32.58M,23.04M,9.536M,0.015,0.0,,0.015,0.015,0.0142,0.0,,0.0142,0.0142,286.01M,309.57M,
2000-06,84.56M,84.56M,57.28M,27.28M,,,25.97M,7.424M,0.378M,,,,,33.78M,-6.498M,,,,,,-8.221M,-3.042M,-5.179M,,,-5.179M,-5.179M,7.528M,14.03M,-6.498M,-0.0175,0.0,,-0.0175,-0.0175,-0.0175,0.0,,-0.0175,-0.0175,296.24M,296.24M,
2000-03,103.80M,103.80M,60.00M,43.81M,,,31.68M,9.675M,,,,,,110.03M,-66.22M,,,,,,-68.54M,-15.65M,-52.89M,,,-52.89M,-52.89M,2.455M,68.68M,-66.22M,-0.1732,,,-0.1732,-0.1732,-0.1732,,,-0.1732,-0.1732,305.40M,305.40M,
1999-12,268.90M,268.90M,146.30M,122.60M,,,43.90M,6.20M,,,,,,84.30M,38.30M,,,,,,35.40M,13.10M,22.30M,,,22.30M,22.30M,72.50M,34.20M,38.30M,0.0124,0.0,,0.0124,0.0124,0.0104,0.0,,0.0104,0.0104,1.803B,2.191B,
1999-09,115.40M,115.40M,67.40M,48.00M,,,26.60M,5.80M,,-0.20M,,,,44.30M,3.70M,,,,-0.20M,,1.70M,0.60M,1.10M,,,1.10M,1.229M,15.60M,11.90M,3.70M,0.0006,0.0,,0.0006,0.0006,0.0006,0.0,,0.0006,0.0006,1.761B,1.923B,
1999-06,84.14M,84.14M,54.10M,30.04M,,,21.80M,4.20M,,,,,,35.80M,-5.758M,,,,,,-7.00M,-2.60M,-4.40M,,,-4.40M,-4.40M,4.042M,9.80M,-5.758M,-0.0026,0.0,,-0.0026,-0.0026,-0.0026,0.0,,-0.0026,-0.0026,279.36M,279.36M,
1999-03,115.27M,115.27M,74.90M,40.37M,,,23.40M,8.128M,0.394M,,,,,31.92M,8.451M,,,,,,8.099M,3.068M,5.031M,,,5.031M,5.031M,19.25M,10.80M,8.451M,0.0186,,,0.0186,0.0186,0.0186,,,0.0186,0.0186,270.85M,270.85M,
1998-12,193.54M,193.54M,131.52M,62.02M,,,31.30M,4.44M,0.398M,,,,,36.14M,25.87M,,,,,,25.02M,9.283M,15.74M,,,15.74M,15.74M,41.28M,15.41M,25.87M,0.0096,0.0,,0.0096,0.0096,0.0085,0.0,,0.0085,0.0085,1.645B,1.924B,
1998-09,66.18M,66.18M,48.47M,17.71M,,,15.38M,4.246M,0.396M,-0.425M,,,,20.02M,-2.31M,,,,-0.425M,,-3.559M,-1.354M,-2.205M,,,-2.205M,-1.942M,1.994M,4.304M,-2.31M,-0.0014,0.0,,-0.0012,-0.0014,-0.0014,0.0,,-0.0012,-0.0014,1.630B,1.630B,
1998-06,61.53M,61.53M,42.62M,18.91M,,,18.29M,5.693M,0.396M,-0.175M,,,,24.38M,-5.462M,,,,-0.175M,,-6.038M,-2.294M,-3.744M,,,-3.744M,-3.635M,-2.43M,3.032M,-5.462M,-0.0024,0.0,,-0.0023,-0.0024,-0.0024,0.0,,-0.0023,-0.0024,1.575B,1.575B,
