,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-12,,267.07M,497.54M,764.61M,414.49M,414.49M,8.444M,76.38M,84.83M,,,8.861M,53.66M,1.326B,,,,,,,77.61M,-38.43M,39.18M,,180.54M,180.54M,,36.76M,13.03M,269.51M,1.596B,213.87M,,,213.87M,171.38M,385.26M,,,,,,385.26M,,,,,,1.216M,386.47M,0.0,397.73M,812.44M,,,,,-0.687M,1.209B
2005-09,,203.08M,547.17M,750.26M,116.88M,116.88M,11.43M,40.61M,52.04M,,,11.62M,151.47M,1.082B,,,,,,,74.10M,-38.43M,35.67M,,117.51M,117.51M,,48.18M,13.88M,215.24M,1.298B,90.84M,,,90.84M,85.76M,176.60M,,,,,,176.60M,,,,,,0.656M,177.25M,0.0,329.79M,787.45M,,,,,3.007M,1.120B
2005-06,,242.34M,543.56M,785.90M,94.80M,94.80M,3.717M,41.42M,45.14M,,,8.568M,135.40M,1.070B,,,,,,,70.34M,-38.43M,31.91M,,119.13M,119.13M,,35.54M,11.06M,197.64M,1.267B,65.45M,,,65.45M,88.56M,154.00M,,,,,,154.00M,,,,,,0.093M,154.10M,0.0,343.03M,764.56M,,,,,5.76M,1.113B
2005-03,,313.61M,527.26M,840.86M,109.14M,109.14M,2.092M,45.93M,48.02M,,,6.76M,117.68M,1.122B,0.0,0.592M,14.08M,54.26M,,,68.92M,-38.43M,30.49M,,105.82M,105.82M,,28.04M,20.15M,184.50M,1.307B,108.98M,,,108.98M,98.07M,207.05M,,,,,,207.05M,,,,,,,207.05M,0.0,346.61M,741.68M,,,,,11.62M,1.100B
2004-12,,402.53M,310.65M,713.18M,344.89M,344.89M,1.224M,40.43M,41.66M,,,13.69M,98.88M,1.212B,,,,,,,59.50M,-32.70M,26.80M,,89.62M,89.62M,,,15.91M,132.33M,1.345B,156.38M,,,156.38M,155.06M,311.43M,,,,,,311.43M,,,12.71M,12.71M,,12.71M,324.14M,0.0,343.04M,803.75M,144.13M,,,,17.82M,1.020B
2004-09,,389.79M,216.30M,606.09M,138.59M,138.59M,3.686M,60.00M,63.69M,,,21.20M,125.31M,954.87M,,,,,,,57.41M,-32.70M,24.71M,,97.49M,97.49M,,5.056M,22.04M,149.30M,1.104B,103.00M,,,103.00M,113.34M,216.34M,,,,,,216.34M,,,,,,,216.34M,0.0,245.78M,777.34M,144.13M,,,,8.839M,887.83M
2004-06,,339.74M,199.41M,539.15M,123.05M,123.05M,4.073M,35.56M,39.64M,,,23.50M,112.04M,837.36M,,,,,,,57.54M,-32.70M,24.84M,,94.07M,94.07M,,6.666M,22.90M,148.48M,985.84M,75.56M,,,75.56M,56.53M,132.09M,,,,,,132.09M,,,,,,,132.09M,0.0,220.24M,770.26M,144.13M,,,,7.384M,853.75M
2004-03,,466.55M,121.10M,587.65M,62.58M,62.58M,0.392M,26.04M,26.43M,,,26.13M,109.10M,811.88M,0.0,0.557M,9.919M,47.76M,,,58.24M,-32.70M,25.54M,,92.87M,92.87M,,9.064M,29.47M,156.94M,968.82M,72.87M,,,72.87M,63.20M,136.08M,,,,,,136.08M,,,,,,,136.08M,0.0,208.28M,758.63M,144.13M,,,,9.961M,832.74M
2003-12,,425.42M,126.25M,551.68M,241.93M,241.93M,0.825M,34.68M,35.51M,,,36.17M,84.30M,949.58M,,,,,,,55.68M,-29.30M,26.38M,,97.10M,97.10M,,,28.24M,151.71M,1.101B,170.94M,,,170.94M,128.69M,299.62M,,,,,,299.62M,,,5.381M,5.381M,,5.381M,305.00M,0.0,201.62M,731.34M,144.13M,,,,7.455M,796.29M
2003-09,,313.45M,97.99M,411.44M,29.50M,29.50M,1.033M,20.13M,21.16M,,,32.38M,103.45M,597.92M,,,,,,,55.87M,-29.30M,26.56M,,67.73M,67.73M,,20.30M,50.54M,165.13M,763.06M,49.02M,,,49.02M,49.95M,98.96M,,,,,,98.96M,,,,,,,98.96M,0.0,124.63M,681.23M,142.95M,,,,1.173M,664.09M
2003-06,,290.83M,98.94M,389.78M,33.33M,33.33M,1.105M,24.00M,25.11M,,,33.48M,67.32M,549.01M,,,,,,,55.66M,-29.30M,26.36M,,94.13M,94.13M,,13.70M,47.57M,181.75M,730.76M,51.34M,,,51.34M,48.06M,99.40M,,,,,,99.40M,,,,,,,99.40M,0.0,134.73M,639.31M,142.95M,,,,0.267M,631.36M
2003-03,,285.55M,121.40M,406.95M,15.82M,15.82M,1.129M,18.45M,19.58M,,,38.29M,46.26M,526.90M,0.0,0.27M,5.20M,41.21M,4.893M,,51.57M,-29.30M,22.26M,,104.96M,104.96M,,10.32M,40.36M,177.91M,704.82M,45.60M,,,45.60M,58.66M,104.26M,0.147M,0.147M,,,,104.40M,2.671M,2.671M,,,,2.671M,107.08M,0.0,130.56M,592.30M,121.68M,,,,-3.434M,597.74M
2002-12,,358.98M,169.87M,528.86M,158.39M,158.39M,1.763M,35.52M,37.28M,,,27.34M,65.82M,817.70M,,,,,,,44.60M,-24.86M,19.74M,68.10M,42.22M,110.32M,,11.81M,11.55M,153.42M,971.12M,106.66M,,,106.66M,93.82M,200.47M,0.145M,0.145M,,,,200.62M,2.676M,2.676M,,,,2.676M,203.29M,0.0,138.52M,675.78M,44.18M,,,,-2.295M,767.82M
2002-09,,339.37M,214.33M,553.70M,61.40M,61.40M,2.066M,23.05M,25.12M,,,21.76M,68.90M,730.88M,,,,,,,44.21M,-24.86M,19.35M,,93.53M,93.53M,,23.89M,15.46M,152.24M,883.11M,57.28M,,,57.28M,63.08M,120.36M,0.189M,0.189M,,,,120.55M,3.222M,3.222M,,,,3.222M,123.77M,0.0,94.17M,690.94M,20.32M,,,,-5.448M,759.34M
2002-06,,550.33M,,550.33M,64.80M,64.80M,1.74M,23.70M,25.44M,,,18.94M,52.87M,712.38M,,,,,,,43.50M,-24.86M,18.64M,,53.91M,53.91M,,34.02M,35.80M,142.37M,854.75M,45.89M,,,45.89M,62.71M,108.59M,1.13M,1.13M,,,,109.72M,3.344M,3.344M,,,,3.344M,113.07M,0.0,85.09M,683.04M,20.32M,,,,-6.118M,741.68M
2002-03,,279.01M,,279.01M,76.73M,76.73M,0.892M,19.84M,20.74M,,,22.61M,57.79M,456.87M,0.0,0.214M,7.976M,34.50M,,,42.69M,-24.86M,17.83M,35.99M,10.90M,46.89M,,28.80M,6.496M,100.01M,556.89M,64.41M,,,64.41M,59.10M,123.51M,0.168M,0.168M,,,,123.67M,3.122M,3.122M,,,,3.122M,126.80M,0.0,64.38M,397.53M,20.32M,,,,-11.50M,430.09M
2001-12,,194.69M,,194.69M,203.38M,203.38M,,,30.63M,35.70M,,19.94M,10.86M,495.21M,,,,,,,37.39M,-19.79M,17.60M,,25.50M,25.50M,,35.12M,20.78M,98.99M,594.20M,121.19M,,,121.19M,83.70M,204.90M,0.489M,0.489M,,,,205.38M,3.209M,3.209M,,,,3.209M,208.59M,0.0,53.50M,362.73M,20.32M,,,,-10.30M,385.61M
2001-09,,122.15M,,122.15M,86.39M,86.39M,,,33.89M,38.38M,,12.55M,14.76M,308.12M,,,,,,,37.00M,-19.79M,17.21M,,10.46M,10.46M,,39.70M,29.32M,96.69M,404.81M,60.42M,,,60.42M,43.61M,104.03M,2.337M,2.337M,,,,106.37M,3.425M,3.425M,,,,3.425M,109.79M,0.0,14.39M,310.74M,20.25M,,,,-9.865M,295.02M
2001-06,,105.99M,,105.99M,72.07M,72.07M,,,44.20M,39.80M,,13.06M,12.88M,287.98M,,,,,,,36.30M,-19.79M,16.51M,,10.28M,10.28M,,38.59M,23.05M,88.44M,376.42M,42.69M,,,42.69M,41.06M,83.75M,1.715M,1.715M,,,,85.47M,3.303M,3.303M,,,,3.303M,88.77M,0.0,12.18M,307.33M,20.25M,,,,-11.60M,287.65M
2001-03,,125.55M,,125.55M,73.80M,73.80M,1.885M,42.00M,43.89M,27.50M,,14.29M,13.20M,298.23M,0.0,3.927M,4.004M,27.10M,,,35.03M,-19.79M,15.24M,,10.32M,10.32M,,13.76M,22.41M,61.73M,359.96M,60.98M,,,60.98M,44.04M,105.02M,10.23M,10.23M,,,,115.25M,63.40M,63.40M,,,,63.40M,178.65M,0.0,12.15M,200.79M,20.25M,,,,-11.38M,181.31M
2000-12,,52.35M,,52.35M,166.87M,166.87M,,,49.77M,21.22M,,21.87M,16.31M,328.39M,,,,,,,34.93M,-19.88M,15.05M,,10.89M,10.89M,,3.748M,19.33M,49.02M,377.42M,80.56M,,,80.56M,73.93M,154.49M,11.39M,11.39M,,,,165.88M,65.72M,65.72M,,,0.002M,65.72M,231.60M,0.0,11.27M,163.02M,20.25M,,,,-8.227M,145.81M
2000-09,,25.20M,,25.20M,136.87M,136.87M,,,47.24M,35.23M,,14.62M,18.00M,277.16M,,,,,,,31.30M,-19.88M,11.42M,,11.17M,11.17M,,11.13M,18.64M,52.36M,329.53M,44.48M,,,44.48M,57.65M,102.13M,39.79M,39.79M,,,,141.92M,67.66M,67.66M,,,0.027M,67.68M,209.61M,0.0,-9.234M,159.14M,20.25M,,,,-9.739M,119.92M
2000-06,,11.59M,,11.59M,86.90M,86.90M,,,42.89M,37.80M,,14.88M,17.78M,211.84M,,,,,,,31.18M,-19.88M,11.30M,,11.70M,11.70M,,11.01M,18.49M,52.51M,264.35M,22.12M,,,22.12M,42.22M,64.33M,19.86M,19.86M,,,,84.19M,70.26M,70.26M,,,0.035M,70.29M,154.49M,0.0,-13.54M,152.28M,20.25M,,,,-8.63M,109.86M
2000-03,,49.98M,,49.98M,108.11M,108.11M,,,40.45M,,,,65.55M,264.10M,,,,,,,30.69M,-19.88M,10.82M,,12.35M,12.35M,,,22.48M,45.64M,309.74M,38.28M,,,38.28M,,38.28M,16.26M,16.26M,,,49.40M,103.95M,73.78M,73.78M,,,0.002M,73.78M,177.73M,0.0,-8.361M,151.71M,5.278M,,,,-6.066M,132.01M
1999-12,,51.83M,,51.83M,215.56M,215.56M,,,42.97M,42.88M,,0.521M,19.28M,373.04M,,,,,,,25.70M,-15.28M,10.43M,,52.25M,52.25M,,2.618M,16.62M,81.92M,454.97M,86.11M,,,86.11M,75.10M,161.21M,41.87M,41.87M,,,,203.08M,76.31M,76.31M,,,0.002M,76.31M,279.39M,0.0,44.52M,139.72M,5.278M,,,,-3.39M,175.58M
1999-09,,25.80M,,25.80M,127.64M,127.64M,,,40.80M,47.99M,,11.14M,14.83M,268.21M,,,,,,,26.72M,-15.28M,11.44M,,53.73M,53.73M,,2.618M,19.17M,86.96M,355.16M,39.73M,,,39.73M,61.19M,100.92M,25.34M,25.34M,,,,126.26M,79.29M,79.29M,,,0.002M,79.29M,205.56M,0.0,22.22M,134.41M,5.278M,,,,-1.745M,149.61M
1999-06,,17.77M,,17.77M,98.16M,98.16M,,,40.03M,42.28M,,9.461M,12.71M,220.40M,,,,,,,25.83M,-15.28M,10.56M,,54.58M,54.58M,,2.618M,16.32M,84.08M,304.48M,31.53M,,,31.53M,40.84M,72.36M,15.01M,15.01M,,,,87.37M,80.86M,80.86M,,,0.007M,80.86M,168.23M,0.0,21.65M,123.44M,5.278M,,,,-3.567M,136.25M
1999-03,,32.85M,,32.85M,117.52M,117.52M,,,30.93M,39.00M,,6.044M,9.96M,236.30M,,,,,,,26.12M,-15.28M,10.84M,,21.65M,21.65M,,2.618M,12.20M,47.31M,283.61M,43.85M,,,43.85M,45.14M,89.00M,5.992M,5.992M,,,,94.99M,61.14M,61.14M,,,0.007M,61.15M,156.14M,0.0,26.01M,109.25M,5.278M,,,,-2.51M,127.48M
1998-12,,51.49M,,51.49M,154.10M,154.10M,,,37.25M,46.53M,,2.944M,,292.31M,,,,,,,22.67M,-11.47M,11.21M,22.28M,,22.28M,,4.665M,11.51M,49.66M,341.97M,109.41M,,,109.41M,39.46M,148.87M,12.30M,12.30M,,,,161.17M,60.87M,60.87M,,,0.043M,60.92M,222.09M,0.0,20.80M,104.21M,5.278M,,,,0.144M,119.88M
1998-09,,41.57M,,41.57M,66.03M,66.03M,,,27.24M,33.52M,,8.313M,,176.68M,,,,,,,22.93M,-11.47M,11.47M,22.76M,,22.76M,,4.665M,12.57M,51.46M,228.13M,40.66M,,,40.66M,19.45M,60.10M,9.665M,9.665M,,,,69.77M,61.50M,61.50M,,,0.089M,61.58M,131.35M,0.0,4.78M,97.19M,5.278M,,,,0.083M,96.78M
1998-06,,60.44M,,60.44M,54.88M,54.88M,,,17.06M,19.64M,,6.437M,2.749M,161.21M,,,,,,,21.77M,-11.47M,10.30M,23.00M,,23.00M,,4.665M,2.546M,40.51M,201.72M,29.28M,,,29.28M,16.46M,45.74M,0.557M,0.557M,,,,46.30M,61.11M,61.11M,,,0.087M,61.19M,107.49M,0.0,8.296M,91.91M,5.278M,,,,-0.709M,94.22M
1998-03,,74.24M,,74.24M,73.93M,73.93M,,,19.42M,12.44M,,3.852M,1.988M,185.88M,,,,,,,23.41M,-11.47M,11.94M,23.47M,,23.47M,,4.665M,3.322M,43.40M,229.28M,50.47M,,,50.47M,15.34M,65.81M,4.292M,4.292M,,,,70.10M,61.69M,61.69M,,,0.088M,61.78M,131.88M,0.0,10.76M,91.82M,5.278M,,,,0.092M,97.40M
