,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-03,1.611B,1.611B,1.219B,391.78M,264.61M,,14.07M,-12.79M,,,,278.68M,113.10M,,,-12.79M,,60.99M,22.57M,38.42M,,,,38.42M,46.48M,113.10M,,2001-03,0.14,0.00,0.14,,2001-03,0.14,0.00,0.14,,2001-03,0.21,,2001-03,,
2000-12,1.762B,1.762B,1.301B,461.33M,223.72M,,12.83M,-36.37M,,,,236.55M,224.78M,,,-36.37M,,153.40M,59.06M,94.34M,,,,94.34M,116.71M,224.78M,,2000-12,0.07,0.28,0.35,,2000-12,0.07,0.28,0.35,,2000-12,0.21,,2000-12,,
2000-09,1.756B,1.756B,1.288B,468.75M,214.51M,,13.38M,-7.683M,,,,227.89M,240.87M,,,-7.683M,,200.00M,77.00M,123.00M,,,,123.00M,127.72M,240.87M,,2000-09,0.46,0.00,0.46,,2000-09,0.46,0.00,0.46,,2000-09,0.21,,2000-09,,
2000-06,1.787B,1.787B,1.300B,487.48M,221.59M,,12.50M,-11.25M,,,,234.08M,253.39M,,,-11.25M,,208.15M,80.14M,128.02M,,,,128.02M,134.93M,253.39M,,2000-06,0.48,0.00,0.48,,2000-06,0.48,0.00,0.48,,2000-06,0.21,,2000-06,,
2000-03,1.629B,1.629B,1.143B,485.57M,239.61M,77.08M,13.22M,-3.87M,,,,329.91M,155.65M,,,-3.87M,,123.94M,47.72M,76.22M,,,,76.22M,78.60M,155.65M,,2000-03,0.28,0.00,0.28,,2000-03,0.28,0.00,0.28,,2000-03,0.21,,2000-03,,
1999-12,1.989B,1.989B,1.702B,286.90M,254.49M,,,-42.13M,,,,103.01M,183.89M,,,-42.13M,,117.44M,45.80M,71.64M,,,,71.64M,97.33M,183.89M,,1999-12,0.26,0.00,0.26,,1999-12,0.26,0.00,0.26,,1999-12,0.20,,1999-12,,
1999-09,1.610B,1.610B,1.121B,488.80M,267.50M,,,-19.10M,,,,324.40M,164.40M,,,-19.10M,,119.20M,46.50M,72.70M,,,,72.70M,84.35M,164.40M,,1999-09,0.26,0.00,0.26,,1999-09,0.26,0.00,0.26,,1999-09,0.20,,1999-09,,
1999-06,1.597B,1.597B,1.105B,492.10M,335.20M,,,-11.90M,,,,406.50M,85.60M,,,-11.90M,,49.30M,19.20M,30.10M,,,,30.10M,37.37M,85.60M,,1999-06,0.11,0.00,0.11,,1999-06,0.11,0.00,0.11,,1999-06,0.20,,1999-06,,
1999-03,1.516B,1.516B,1.035B,481.30M,260.00M,,,-181.00M,,,,330.00M,151.30M,,,-181.00M,,-55.00M,24.00M,-79.00M,,,,-79.00M,29.60M,151.30M,,1999-03,-0.28,0.00,-0.28,,1999-03,-0.28,0.00,-0.28,,1999-03,0.20,,1999-03,,
1998-12,1.972B,1.972B,1.458B,514.21M,277.42M,,,-47.31M,,,,335.62M,178.59M,,,-47.31M,,104.37M,40.44M,63.93M,,,,63.93M,92.91M,178.59M,,1998-12,0.3930,,0.3930,,1998-12,0.3930,,0.3930,,1998-12,0.18,,1998-12,,
1998-09,1.560B,1.560B,1.056B,503.70M,227.40M,,,13.00M,,,,264.40M,239.30M,,,13.00M,,222.20M,104.80M,117.40M,,,,117.40M,109.60M,239.30M,,1998-09,0.42,0.00,0.42,,1998-09,0.42,0.00,0.42,,1998-09,0.18,,1998-09,,
1998-06,1.560B,1.560B,1.042B,517.00M,239.60M,,,13.10M,,,,279.70M,237.30M,,,13.10M,,229.00M,87.00M,142.00M,,,,142.00M,133.88M,237.30M,,1998-06,0.51,0.00,0.51,,1998-06,0.50,0.00,0.50,,1998-06,0.18,,1998-06,,
