,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-03,34.07M,,3.545M,0.00,3.545M,61.40M,9.381M,70.78M,70.78M,7.272M,,,-3.462M,5.007M,1.545M,-24.26M,,1.297M,-22.60M,,,0.862M,-44.69M,,72.52M,,-96.57M,0.031M,0.031M,-2.781M,-3.779M,,,-100.32M,,8.167M,-0.12M,8.047M,,-0.071M,-0.071M,,,1.866M,0.97M,10.81M,,125.61M,-16.98M,-1.20M,107.42M,,,302.90M,-294.85M,-0.071M,8.043M,62.68M,,,Restated
2007-12,28.00M,,,,9.152M,60.78M,9.071M,69.86M,69.86M,16.12M,,,,,4.07M,13.87M,,-19.74M,20.35M,,13.97M,1.106M,29.57M,,156.76M,,-109.02M,3.102M,-105.92M,,-141.71M,,,-264.03M,,,,132.35M,6.752M,,6.752M,,,,1.863M,140.97M,,90.75M,33.70M,1.154M,125.61M,,6.752M,,,,,,,,
2007-09,51.33M,,,,4.266M,55.92M,8.454M,64.37M,64.37M,9.195M,,,,,3.945M,-27.74M,,3.944M,1.068M,,9.581M,1.15M,-11.99M,,121.12M,,-101.85M,6.527M,-95.32M,,-75.96M,,,-171.28M,,,,41.15M,2.782M,,2.782M,,,,0.807M,44.74M,,94.96M,-5.425M,1.212M,90.75M,,2.782M,,,,,,,,
2007-06,39.05M,,,,-3.401M,54.19M,7.56M,61.75M,61.75M,16.34M,,,,,7.352M,-14.89M,,4.177M,-1.074M,,-6.489M,1.989M,-16.29M,,104.80M,,-91.55M,0.332M,-91.22M,,-244.54M,,,-335.76M,,,,257.21M,8.667M,,8.667M,,,,-3.416M,262.46M,,61.48M,31.50M,1.988M,94.96M,,8.667M,,,,,,,,
2007-03,34.71M,,,,2.541M,51.77M,6.915M,58.68M,58.68M,2.162M,,,,,4.197M,-4.895M,,-0.354M,-6.135M,,8.866M,2.193M,-0.325M,,101.96M,,-84.02M,7.775M,-76.25M,,-19.31M,,,-95.56M,,,,3.817M,3.642M,,3.642M,,,,1.377M,8.836M,,45.37M,15.24M,0.87M,61.48M,,3.642M,,,,,,,,
2006-12,37.14M,,,,-7.721M,48.23M,7.395M,55.63M,55.63M,7.481M,,,,,0.757M,-14.16M,,-4.965M,2.146M,,19.19M,-0.419M,1.787M,,95.07M,,-126.01M,16.38M,-109.64M,,-6.608M,-2.814M,,-119.06M,,,,13.42M,8.162M,,8.162M,,,,1.91M,23.49M,,45.39M,-0.499M,0.479M,45.37M,,8.162M,,,,,,,,
2006-09,26.61M,,,,-3.758M,47.72M,6.90M,54.62M,54.62M,12.82M,,,,,5.807M,-15.88M,,3.765M,2.233M,,16.65M,2.612M,9.382M,,105.48M,,-107.96M,0.282M,-107.68M,,-5.743M,0.00,0.732M,-112.69M,,,,4.622M,3.881M,,3.881M,,,,2.492M,11.00M,,40.95M,3.783M,0.654M,45.39M,,3.881M,,,,,,,,
2006-06,37.84M,,,,-10.04M,46.54M,5.971M,52.51M,52.51M,18.49M,,,,,5.823M,-14.11M,,-4.895M,18.24M,,5.012M,2.869M,7.124M,,111.74M,,-85.59M,,-85.59M,,-45.49M,-3.129M,3.111M,-131.10M,,,,9.022M,8.034M,,8.034M,,,,0.00,17.06M,,42.55M,-2.305M,0.705M,40.95M,,8.034M,,,,,,,,
2006-03,27.27M,,,,-0.494M,45.26M,5.825M,51.08M,51.08M,14.36M,,,,,,-9.721M,,-6.222M,-13.62M,,-3.528M,2.869M,-30.22M,,62.00M,,-76.66M,,-76.66M,,-23.37M,,-3.843M,-103.86M,,,,29.04M,2.168M,,2.168M,,,,-0.015M,31.19M,,53.41M,-10.68M,-0.184M,42.55M,,2.168M,,,,,,,,
2005-12,26.36M,,,,1.322M,47.73M,5.395M,53.12M,53.12M,10.17M,,,,,,-3.518M,,-9.308M,12.82M,,8.612M,-7.456M,1.151M,,98.32M,,-95.85M,18.05M,-77.80M,,-132.14M,,9.954M,-199.99M,,,,102.59M,9.626M,,9.626M,,,,,112.22M,,43.99M,10.55M,-1.124M,53.41M,,9.626M,,,,,,,,
2005-09,36.38M,,,,-4.964M,41.68M,5.358M,47.04M,47.04M,19.94M,,,,,,-24.19M,,-2.387M,0.924M,,4.562M,10.20M,-10.89M,,87.51M,,-57.86M,8.655M,-49.21M,,-11.22M,,-3.259M,-63.69M,,,,-13.38M,16.02M,,16.02M,,,,-12.15M,-9.509M,,29.52M,14.31M,0.163M,43.99M,,16.02M,,,,,,,,
2005-06,25.41M,,,,7.676M,40.81M,5.149M,45.96M,45.96M,15.27M,,,,,,2.24M,,7.421M,10.00M,,13.04M,0.923M,33.63M,,127.94M,,-73.20M,0.648M,-72.56M,,-1.661M,,-3.812M,-78.03M,,,,-55.54M,,,,,,,6.822M,-48.72M,,28.78M,1.196M,-0.455M,29.52M,,,,,,,,,,
2005-03,22.95M,,,,3.388M,40.48M,5.273M,45.75M,45.75M,14.09M,,,,,,-20.10M,,-9.086M,-2.733M,,8.148M,1.006M,-22.77M,,63.41M,,-58.65M,0.271M,-58.38M,,-33.21M,,-2.883M,-94.47M,,,,22.13M,,,,,,,5.328M,27.45M,,31.94M,-3.603M,0.437M,28.78M,,,,,,,,,,
2004-12,29.89M,,,,2.045M,39.61M,5.284M,44.90M,44.90M,20.72M,,,,,,4.015M,,-8.147M,4.647M,,-2.846M,1.17M,-1.161M,,96.38M,,-72.88M,0.603M,-72.27M,,-130.81M,,-3.818M,-206.90M,,,,134.11M,,,,,,,-54.13M,98.02M,,44.43M,-12.49M,0.006M,31.94M,,,,,,,,,,
2004-09,18.45M,,,,6.897M,39.40M,4.047M,43.45M,43.45M,13.68M,,,,,,-15.58M,,5.288M,10.20M,,-3.147M,,-3.237M,,79.24M,,-57.53M,0.146M,-57.39M,,-71.67M,,-3.112M,-132.17M,,,,12.91M,,,,,,,43.20M,56.11M,,40.01M,3.18M,1.242M,44.43M,,,,,,,,,,
2004-06,22.86M,,,,5.072M,38.01M,2.882M,40.90M,40.90M,12.55M,,,,,,-16.43M,,-7.391M,2.596M,,29.32M,-1.344M,6.752M,,88.13M,,-58.38M,2.237M,-56.15M,,-14.22M,,-3.718M,-74.08M,,,,41.24M,,,,,,,-45.51M,-4.271M,,30.98M,9.778M,-0.75M,40.01M,,,,,,,,,,
2004-03,23.00M,,,,-0.187M,34.92M,3.115M,38.03M,38.03M,15.21M,,,,,,-20.03M,,2.788M,-5.075M,,-13.48M,1.344M,-34.45M,,41.61M,,-43.17M,0.125M,-43.05M,,-167.64M,,-2.682M,-213.37M,,,,123.63M,,,,,,,3.079M,126.71M,,74.68M,-45.06M,1.351M,30.98M,,,,,,,,,,
2003-12,28.43M,,,,-3.239M,35.05M,2.669M,37.72M,37.72M,20.75M,,,,,,-1.124M,,-5.092M,7.495M,,21.22M,-1.082M,21.42M,,105.07M,,-56.44M,5.046M,-51.39M,,-1.087M,,-3.939M,-56.42M,,,,18.57M,,,,,,,-16.56M,2.018M,,23.54M,50.67M,0.465M,74.68M,,,,,,,,,,
2003-09,14.79M,,,,13.92M,31.67M,2.304M,33.98M,33.98M,10.99M,,,,,-0.001M,-4.33M,,-4.428M,-3.387M,0.442M,-11.49M,2.489M,-20.71M,,52.96M,,-42.00M,0.245M,-41.76M,,-354.69M,1.357M,-5.282M,-400.38M,,,,176.57M,-3.234M,,-3.234M,,,,19.36M,192.70M,,177.86M,-154.72M,0.40M,23.54M,,-3.234M,,,,,,,,
2003-06,20.13M,,,,-1.151M,27.30M,4.496M,31.80M,31.80M,13.70M,,,,,0.001M,9.454M,,3.572M,0.874M,-0.488M,18.68M,-2.441M,29.65M,,94.13M,,-56.40M,0.174M,-56.23M,,-6.949M,-1.357M,-1.201M,-65.74M,,,,132.64M,1.434M,0.147M,1.581M,,,,1.483M,135.70M,,13.58M,164.10M,0.183M,177.86M,,1.434M,,,0.147M,,,,,
2003-03,21.28M,,,,-3.56M,29.95M,1.129M,31.08M,31.08M,16.05M,,,,,,-20.00M,,5.954M,-4.003M,0.046M,-10.27M,-0.048M,-28.33M,,36.52M,,-49.63M,6.202M,-43.43M,,-17.16M,,-3.512M,-64.10M,,,,-19.44M,1.80M,-0.147M,1.653M,,,,2.424M,-15.36M,,56.29M,-42.94M,0.23M,13.58M,,1.80M,,,-0.147M,,,,,
2002-12,25.22M,,,,-15.66M,29.21M,1.23M,30.44M,30.44M,12.11M,,,,,,16.83M,,-15.43M,15.65M,,10.62M,-0.011M,30.39M,,82.50M,,-54.98M,0.689M,-54.29M,,-26.39M,,-1.578M,-82.26M,,,,27.62M,1.66M,2.262M,3.922M,,,,-3.643M,27.90M,,27.60M,28.14M,0.559M,56.29M,,1.66M,,,2.262M,,,,,
2002-09,8.524M,,,,12.72M,29.09M,1.238M,30.33M,30.33M,10.66M,,,,,,1.827M,,4.593M,3.351M,,2.291M,,12.06M,,74.30M,,-36.46M,0.047M,-36.41M,,-8.281M,,-4.161M,-48.86M,,,,-29.85M,2.295M,-0.128M,2.167M,,,,3.853M,-23.83M,,26.06M,1.617M,-0.075M,27.60M,,2.295M,,,-0.128M,,,,,
2002-06,20.77M,,,,-3.207M,26.47M,1.229M,27.70M,27.70M,13.02M,,,,,,-7.067M,,3.037M,-12.37M,,5.201M,-0.199M,-11.39M,,46.88M,,-47.92M,6.057M,-41.86M,,-6.932M,,-1.058M,-49.85M,,,,17.57M,4.179M,-0.179M,4.00M,,,,-3.835M,17.74M,,11.42M,14.77M,-0.131M,26.06M,,4.179M,,,-0.179M,,,,,
2002-03,12.52M,,,,5.638M,25.07M,1.224M,26.30M,26.30M,10.30M,,,,,,-14.13M,,1.268M,5.17M,,4.011M,0.199M,-3.485M,,51.27M,,-57.64M,0.227M,-57.42M,,-7.756M,,-1.622M,-66.79M,,,,5.879M,1.388M,-1.955M,-0.567M,,,,-0.018M,5.294M,,21.36M,-10.23M,0.291M,11.42M,,1.388M,,,-1.955M,,,,,
2001-12,-14.70M,,,,0.792M,41.16M,1.342M,42.51M,42.51M,11.77M,,,,,,6.247M,,2.64M,4.107M,-7.859M,3.831M,,12.36M,,52.73M,,-60.27M,,-59.55M,,-16.75M,,-4.788M,-81.09M,,,,-29.99M,2.692M,0.166M,2.858M,,,,21.22M,-5.919M,,60.14M,-34.27M,-4.505M,21.36M,,2.692M,,,0.166M,,,,,
2001-09,-27.59M,,,,27.59M,38.92M,1.227M,40.15M,40.15M,-8.296M,,,,,,-11.23M,,-5.044M,10.58M,8.065M,11.15M,,13.52M,,45.37M,,-46.80M,,-46.80M,,-9.878M,,-0.432M,-57.11M,,,,55.47M,2.308M,-0.166M,2.142M,,,,-24.56M,33.05M,,36.84M,21.32M,1.984M,60.14M,,2.308M,,,-0.166M,,,,,
2001-06,-4.966M,,,,-4.469M,37.79M,1.866M,39.65M,39.65M,14.72M,,,,,,-9.634M,,4.696M,2.495M,0.41M,-4.001M,,-6.034M,,38.91M,,-41.78M,,-41.78M,,-9.996M,,-2.922M,-54.70M,,,,30.44M,3.606M,,3.606M,,,,6.825M,40.87M,,9.903M,25.09M,1.847M,36.84M,,3.606M,,,,,,,,
2001-03,3.199M,,,,11.80M,35.72M,0.495M,36.21M,36.21M,-6.428M,,,,,,-9.558M,,-7.375M,-4.63M,-0.616M,1.29M,,-20.89M,,23.90M,,-48.20M,,-48.20M,,-34.77M,,-2.278M,-85.25M,,,,46.62M,2.539M,,2.539M,,,,17.73M,66.89M,,6.20M,5.544M,-1.841M,9.903M,,2.539M,,,,,,,,
2000-12,4.096M,,,,1.526M,,,34.55M,34.55M,-1.347M,,,,,,0.328M,,,3.065M,8.137M,-2.43M,,9.10M,,47.92M,,-52.55M,0.207M,-52.34M,,-64.82M,,-2.632M,-119.79M,,,,-10.16M,2.72M,,-2.729M,,,,16.85M,3.959M,,74.59M,-67.91M,-0.474M,6.20M,,2.72M,,,,,,,,
2000-09,4.599M,,,,3.271M,,,35.43M,35.43M,-10.65M,,,,,,-9.392M,,,10.93M,4.678M,-2.256M,,3.959M,,36.61M,,-53.39M,1.113M,-52.28M,,-5.02M,6.50M,-11.03M,-61.83M,,,,92.19M,1.598M,,1.598M,,,,-2.351M,91.44M,,8.347M,66.22M,0.015M,74.59M,,1.598M,,,,,,,,
2000-06,-28.24M,,,,20.12M,,,32.47M,32.47M,9.901M,,,,,,-7.885M,,,-2.455M,4.668M,26.78M,,21.11M,,55.35M,,-35.12M,,-35.12M,,-65.46M,-6.50M,-1.853M,-108.94M,,,,48.89M,2.977M,,2.977M,,,,-0.299M,51.57M,,10.10M,-2.015M,0.258M,8.347M,,2.977M,,,,,,,,
2000-03,-5.383M,,,,2.417M,,,26.96M,26.96M,10.45M,,,,,,1.068M,,,-12.09M,2.323M,-8.021M,,-16.72M,,17.72M,,-27.65M,,-27.65M,,-5.636M,,-3.791M,-37.07M,,,,27.33M,0.885M,,0.885M,,,,-2.769M,25.44M,,3.83M,6.088M,0.186M,10.10M,,0.885M,,,,,,,,
1999-12,-0.10M,,,,0.80M,,,19.70M,19.70M,1.80M,,,,,,-4.30M,,,7.00M,1.00M,6.60M,,10.30M,-1.60M,30.90M,,-238.10M,,-238.10M,,187.50M,,6.30M,-44.30M,,,,0.30M,-151.70M,-1.50M,-153.20M,,,,166.70M,13.80M,,3.50M,0.40M,0.00,3.80M,,-151.70M,,,-1.50M,,,,,
1999-09,-22.20M,,,,23.80M,,,16.90M,16.90M,2.80M,,,,,,-6.50M,,,2.30M,-11.10M,-5.50M,,-20.80M,1.50M,2.00M,,-32.50M,,-32.50M,,-15.90M,,2.30M,-46.10M,,,,21.90M,0.60M,0.00,0.60M,,,,-1.60M,20.90M,,26.60M,-23.20M,0.00,3.50M,,0.60M,,,0.00,,,,,
1999-06,8.149M,,,,-8.752M,,,16.75M,16.75M,2.834M,,,,,0.198M,-9.996M,,,1.245M,-0.35M,3.084M,,-6.017M,-0.047M,13.12M,,-22.01M,,-22.01M,,-117.11M,,-7.096M,-146.21M,,,,44.77M,154.08M,-39.50M,114.58M,,,,-4.458M,154.89M,,4.899M,21.80M,-0.079M,26.60M,,154.08M,,,-39.50M,,,,,
1999-03,-0.149M,,,,0.552M,,,14.05M,14.05M,1.566M,,,,,-0.198M,-2.204M,,,-8.545M,1.45M,3.516M,,-5.783M,-0.653M,9.384M,,-18.29M,,-18.29M,,-54.49M,,-1.704M,-74.49M,,,,67.93M,0.62M,,0.62M,,,,-0.242M,68.31M,,1.715M,3.205M,-0.021M,4.899M,,0.62M,,,,,,,,
1998-12,7.10M,,,,-9.40M,,,23.90M,23.90M,6.50M,,,,,-0.20M,-2.80M,0.40M,,3.90M,1.50M,9.00M,,12.00M,,40.00M,,-215.10M,,-215.10M,,,,196.10M,-19.00M,,,,-184.40M,,,,,,,134.60M,-46.40M,,0.00,-25.40M,,1.70M,,,,,,,,,,
1998-09,-4.60M,,,,5.90M,,,9.80M,9.80M,1.60M,,,,,0.10M,-3.30M,0.00,,4.70M,-0.50M,-1.70M,,-0.80M,,12.00M,,128.30M,,128.30M,,,,-190.80M,-62.50M,,,,52.70M,,,,,,,-0.30M,52.40M,,0.00,1.90M,,0.00,,,,,,,,,,
1998-06,-4.50M,,,,4.60M,,,9.20M,9.20M,0.80M,,,,,0.00,-2.50M,-0.40M,,-1.20M,0.00,8.60M,,4.50M,,14.60M,,-146.20M,,-146.20M,,,,34.30M,-111.90M,,,,99.30M,,,,,,,-2.10M,97.20M,,0.00,-0.10M,,0.00,,,,,,,,,,
1998-03,-1.00M,,,,0.90M,,,7.20M,7.20M,0.20M,,,,,-0.10M,-4.30M,,,-2.10M,3.40M,-3.70M,,-6.70M,,0.50M,,-12.60M,,-12.60M,,,,-43.20M,-55.80M,,,,56.10M,,,,,,,,56.10M,,1.80M,0.80M,,0.00,,,,,,,,,,
