,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-06,104.00M,,75.00M,47.00M,47.00M,84.00M,,,,-17.00M,36.00M,,55.00M,11.00M,-127.00M,,-42.00M,49.00M,317.00M,-68.00M,8.00M,-60.00M,,,-1.00M,-53.00M,,,-85.00M,-2.00M,-138.00M,-140.00M,,-48.00M,,,-270.00M,179.00M,-6.00M,-1.00M,172.00M,-2.00M,,,-138.00M
2003-03,112.00M,,-63.00M,54.00M,54.00M,14.00M,,,,-120.00M,-30.00M,,77.00M,-10.00M,49.00M,,-34.00M,0.00,83.00M,-43.00M,7.00M,-36.00M,16.00M,,-14.00M,-34.00M,,,52.00M,15.00M,-41.00M,-26.00M,,-48.00M,,,-19.00M,149.00M,30.00M,0.00,179.00M,15.00M,,,-41.00M
2002-12,87.00M,,35.00M,45.00M,45.00M,,,,,52.00M,-16.00M,,-43.00M,-4.00M,37.00M,,26.00M,6.00M,199.00M,-52.00M,,-52.00M,-16.00M,,16.00M,-52.00M,,,49.00M,21.00M,-169.00M,-148.00M,,-48.00M,,,-146.00M,143.00M,1.00M,5.00M,149.00M,21.00M,,,-169.00M
2002-09,158.00M,,15.00M,43.00M,43.00M,,,,,104.00M,,,-133.00M,2.00M,27.00M,,0.00,-12.00M,204.00M,-40.00M,,-40.00M,,,-14.00M,-54.00M,,,-5.00M,7.00M,-138.00M,-131.00M,,-49.00M,,,-182.00M,177.00M,-32.00M,-2.00M,143.00M,7.00M,,,-138.00M
2002-06,154.00M,,-8.00M,54.00M,54.00M,-16.00M,,,,-21.00M,58.00M,,85.00M,-2.00M,28.00M,,148.00M,-4.00M,328.00M,-60.00M,24.00M,-36.00M,,,29.00M,-6.00M,,,71.00M,16.00M,-116.00M,-100.00M,,-49.00M,,,-334.00M,190.00M,-12.00M,-1.00M,177.00M,16.00M,,,-116.00M
2002-03,50.00M,,73.00M,50.00M,50.00M,-11.00M,,,,-99.00M,19.00M,,41.00M,4.00M,21.00M,,-14.00M,10.00M,158.00M,-46.00M,36.00M,-10.00M,4.00M,,-23.00M,-29.00M,,,46.00M,18.00M,-134.00M,-116.00M,,-48.00M,,,-118.00M,182.00M,11.00M,-3.00M,190.00M,18.00M,,,-134.00M
2001-12,42.00M,,82.00M,36.00M,36.00M,,,,,56.00M,-58.00M,,15.00M,-7.00M,8.00M,,14.00M,-1.00M,173.00M,-37.00M,,-37.00M,-4.00M,,11.00M,-30.00M,,,-95.00M,1.00M,-3.00M,-2.00M,,-49.00M,,,-146.00M,189.00M,-3.00M,-4.00M,182.00M,1.00M,,,-3.00M
2001-09,111.00M,,7.00M,49.00M,49.00M,,,,,64.00M,-16.00M,,-35.00M,2.00M,42.00M,,57.00M,-7.00M,217.00M,-33.00M,,-33.00M,,,-11.00M,-44.00M,,,-26.00M,,-159.00M,-159.00M,,-50.00M,,,-235.00M,251.00M,-62.00M,,189.00M,,,,-159.00M
2001-06,82.00M,,36.00M,58.00M,58.00M,-9.00M,,,,66.00M,70.00M,,56.00M,5.00M,17.00M,,214.00M,,381.00M,-106.00M,-2.00M,-108.00M,-9.00M,,22.00M,-95.00M,,,22.00M,-2.00M,-2.00M,-4.00M,,-51.00M,,-150.00M,-183.00M,152.00M,103.00M,-4.00M,251.00M,-2.00M,,,-2.00M
2001-03,79.00M,,13.00M,57.00M,57.00M,-29.00M,,,,-85.00M,28.00M,-3.00M,-7.00M,3.00M,25.00M,,-39.00M,,81.00M,-40.00M,3.00M,-37.00M,0.00,,-5.00M,-42.00M,,,-181.00M,-1.00M,-1.00M,-2.00M,,-49.00M,,150.00M,-82.00M,196.00M,-43.00M,-1.00M,152.00M,-1.00M,,,-1.00M
2000-12,64.00M,,16.00M,56.00M,56.00M,-5.00M,,,,35.00M,-3.00M,-2.00M,-27.00M,,-11.00M,,-8.00M,,123.00M,-28.00M,5.00M,-23.00M,-117.00M,,-10.00M,-150.00M,,,74.00M,13.00M,-3.00M,10.00M,,-50.00M,,,34.00M,189.00M,7.00M,0.00,196.00M,13.00M,,,-3.00M
2000-09,98.00M,,13.00M,54.00M,54.00M,2.00M,,,,107.00M,-5.00M,5.00M,-100.00M,,-12.00M,,-5.00M,,162.00M,-18.00M,,-18.00M,,,-31.00M,-49.00M,,,-125.00M,2.00M,-4.00M,-2.00M,,-49.00M,,,-176.00M,254.00M,-63.00M,-2.00M,189.00M,2.00M,,,-4.00M
2000-06,125.00M,,12.00M,50.00M,50.00M,-29.00M,,,,48.00M,28.00M,,115.00M,-10.00M,9.00M,,190.00M,,348.00M,-55.00M,-2.00M,-57.00M,-19.00M,,72.00M,-4.00M,,,-190.00M,91.00M,-10.00M,81.00M,,-47.00M,,-82.00M,-238.00M,149.00M,106.00M,-1.00M,254.00M,91.00M,,,-10.00M
2000-03,106.00M,,3.00M,53.00M,53.00M,4.00M,,,,-94.00M,-40.00M,,21.00M,1.00M,40.00M,,-72.00M,,94.00M,-36.00M,2.00M,-34.00M,-70.00M,,-30.00M,-134.00M,,,147.00M,4.00M,-74.00M,-70.00M,,-47.00M,,0.00,30.00M,159.00M,-10.00M,0.00,149.00M,4.00M,,,-74.00M
1999-12,76.00M,,7.00M,50.00M,50.00M,7.00M,,,,6.00M,-39.00M,,9.00M,-2.00M,-15.00M,,-41.00M,,99.00M,-43.00M,3.00M,-40.00M,-24.00M,,-13.00M,-77.00M,,,-20.00M,-2.00M,-2.00M,-4.00M,,-48.00M,,0.00,-72.00M,209.00M,-50.00M,0.00,159.00M,-2.00M,,,-2.00M
1999-09,87.00M,,-4.00M,48.00M,48.00M,2.00M,,,,30.00M,1.00M,,-1.00M,8.00M,-31.00M,,7.00M,,140.00M,-24.00M,,-24.00M,-7.00M,,-14.00M,-45.00M,,,-15.00M,10.00M,-49.00M,-39.00M,,-47.00M,,82.00M,-19.00M,132.00M,76.00M,1.00M,209.00M,10.00M,,,-49.00M
1999-06,50.10M,,36.80M,55.60M,55.60M,-34.40M,,,,-2.40M,84.10M,,47.80M,-3.40M,74.70M,,200.80M,,308.90M,50.10M,11.00M,61.10M,-116.00M,,-10.10M,-65.00M,,,-101.90M,2.10M,-0.50M,1.60M,,-42.20M,,-80.00M,-222.50M,0.00,21.40M,,132.00M,2.10M,,,-0.50M
1999-03,21.90M,,47.20M,49.40M,49.40M,1.40M,,,,-62.60M,-25.10M,,15.20M,-0.60M,53.30M,,-19.80M,,100.10M,-157.10M,1.00M,-156.10M,111.00M,,19.10M,-26.00M,,,-67.10M,20.90M,0.50M,21.40M,,-37.80M,,-5.00M,-88.50M,125.00M,-14.40M,,0.00,20.90M,,,0.50M
1998-12,74.00M,,-4.00M,49.00M,49.00M,1.00M,,,,-12.00M,-10.00M,,-8.00M,1.00M,-25.00M,,-54.00M,,66.00M,-38.00M,4.00M,-34.00M,-20.00M,,-12.00M,-66.00M,,,25.00M,34.00M,-5.00M,29.00M,,-41.00M,,-15.00M,-2.00M,128.00M,-2.00M,-1.00M,125.00M,34.00M,,,-5.00M
1998-09,100.00M,,-3.00M,48.00M,48.00M,3.00M,,,,101.00M,-1.00M,,-60.00M,5.00M,-51.00M,,-6.00M,,142.00M,-31.00M,,-31.00M,-91.00M,,-34.00M,-156.00M,,,101.00M,7.00M,-28.00M,-21.00M,,-41.00M,,,39.00M,102.00M,25.00M,1.00M,128.00M,7.00M,,,-28.00M
1998-06,108.70M,,7.70M,52.30M,52.30M,19.80M,,,0.10M,-20.30M,32.20M,,56.50M,-6.20M,45.50M,,107.70M,,296.30M,-102.90M,8.70M,-94.20M,,,-33.80M,-128.00M,,,-122.00M,37.80M,-42.10M,-4.30M,,-36.70M,,15.00M,-148.00M,0.00,20.30M,,102.00M,37.80M,,,-42.10M
