,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,1.047B,1.047B,544.00M,503.00M,111.00M,116.00M,227.00M,15.00M,-9.00M,,,,242.00M,261.00M,,,-9.00M,,244.00M,86.00M,158.00M,-13.00M,,,145.00M,163.83M,304.00M,43.00M,261.00M,0.71,-0.06,,0.7363,0.65,0.71,-0.06,,0.736,0.65,221.88M,224.05M,0.22
2002-06,1.128B,1.128B,626.00M,502.00M,113.00M,122.00M,235.00M,19.00M,-11.00M,,,,254.00M,248.00M,,,-11.00M,,230.00M,76.00M,154.00M,-9.00M,,,145.00M,161.37M,302.00M,54.00M,248.00M,0.44,0.19,,0.4723,0.63,0.43,0.19,,0.462,0.62,228.14M,229.88M,0.21
2002-03,1.023B,1.023B,589.00M,434.00M,103.00M,140.00M,243.00M,15.00M,-70.00M,,,,258.00M,176.00M,,,-70.00M,,99.00M,49.00M,50.00M,-4.00M,,,46.00M,92.00M,226.00M,50.00M,176.00M,0.22,-0.02,,0.4014,0.2,0.21,-0.02,,0.389,0.2,231.51M,234.62M,0.21
2001-12,887.00M,887.00M,505.00M,382.00M,76.00M,133.00M,209.00M,16.00M,-70.00M,,,,225.00M,157.00M,,,-70.00M,,75.00M,33.00M,42.00M,9.00M,,,51.00M,84.00M,193.00M,36.00M,157.00M,0.18,0.04,,0.3604,0.22,0.18,0.04,,0.3604,0.22,232.76M,232.76M,0.21
2001-09,984.00M,984.00M,560.00M,424.00M,99.00M,131.00M,230.00M,16.00M,-10.00M,,,,246.00M,178.00M,,,-10.00M,,156.00M,45.00M,111.00M,-32.00M,,,79.00M,118.12M,227.00M,49.00M,178.00M,0.47,-0.13,,0.5003,0.34,0.46,-0.13,,0.4899,0.33,234.98M,238.10M,0.21
2001-06,1.03B,1.03B,661.00M,369.00M,25.00M,131.00M,156.00M,20.00M,-12.00M,,,,236.00M,133.00M,,,4.00M,,130.00M,48.00M,82.00M,,0.00,,82.00M,89.57M,191.00M,58.00M,133.00M,0.35,0.0,0.0,0.382,0.35,0.34,0.0,0.0,0.3715,0.34,236.60M,240.40M,0.21
2001-03,989.00M,989.00M,584.00M,405.00M,118.00M,113.00M,231.00M,16.00M,-33.00M,,,,247.00M,158.00M,,,-33.00M,,103.00M,24.00M,79.00M,,,,79.00M,104.31M,215.00M,57.00M,158.00M,0.33,0.0,,0.4371,0.33,0.33,0.0,,0.4356,0.33,236.41M,239.76M,0.21
2000-12,876.00M,876.00M,524.00M,352.00M,78.00M,128.00M,206.00M,17.00M,-7.00M,,,,223.00M,129.00M,,,-7.00M,,99.00M,35.00M,64.00M,,,,64.00M,68.53M,185.00M,56.00M,129.00M,0.27,0.0,,0.2892,0.27,0.27,0.0,,0.2889,0.27,236.07M,239.09M,0.21
2000-09,985.00M,985.00M,549.00M,436.00M,110.00M,123.00M,233.00M,14.00M,-8.00M,,,,247.00M,189.00M,,,-8.00M,,155.00M,55.00M,100.00M,,-2.00M,,98.00M,105.16M,243.00M,54.00M,189.00M,0.43,-0.01,0.0,0.4519,0.42,0.42,-0.01,-0.0085,0.4416,0.41,235.52M,238.57M,0.2
2000-06,1.059B,1.059B,955.00M,104.00M,,,-13.00M,19.00M,6.00M,,,,-90.00M,194.00M,,,23.00M,,200.00M,75.00M,125.00M,,,,125.00M,121.25M,244.00M,50.00M,194.00M,0.56,-0.03,,0.544,0.53,0.55,-0.03,,0.5343,0.52,235.09M,238.77M,0.2
2000-03,1.034B,1.034B,453.00M,581.00M,,,309.00M,15.00M,-14.00M,,,,377.00M,204.00M,,,-14.00M,,165.00M,59.00M,106.00M,,,,106.00M,114.99M,257.00M,53.00M,204.00M,0.45,0.0,,0.4881,0.45,0.44,0.0,,0.4777,0.44,235.84M,238.85M,0.2
1999-12,954.00M,954.00M,428.00M,526.00M,,,302.00M,15.00M,-16.00M,,,,367.00M,159.00M,,,-16.00M,,120.00M,44.00M,76.00M,,,,76.00M,86.13M,209.00M,50.00M,159.00M,0.32,0.0,,0.3629,0.32,0.32,0.0,,0.3623,0.32,236.48M,239.74M,0.2
1999-09,942.00M,942.00M,414.00M,528.00M,,,298.00M,14.00M,-8.00M,,,,360.00M,168.00M,,,-8.00M,,137.00M,50.00M,87.00M,,,,87.00M,92.08M,216.00M,48.00M,168.00M,0.37,0.0,,0.3914,0.37,0.36,0.0,,0.3811,0.36,237.02M,240.58M,0.2
1999-06,982.40M,982.40M,937.30M,45.10M,,,-37.20M,18.90M,-55.90M,,,,-103.70M,148.80M,,,-31.90M,,101.90M,51.80M,50.10M,,,,50.10M,83.64M,204.40M,55.60M,148.80M,0.2112,,,0.3526,0.2112,0.2112,,,0.3526,0.2112,237.18M,237.18M,0.18
1999-03,992.00M,992.00M,397.80M,594.20M,,,318.80M,14.50M,-110.50M,,,,408.90M,185.30M,,,-110.50M,,52.40M,30.30M,22.10M,,,,22.10M,88.40M,260.90M,49.40M,185.30M,0.05,0.0,,0.3309,0.05,0.045,0.0,,0.3259,0.045,236.01M,236.01M,0.18
1998-12,947.00M,947.00M,410.00M,537.00M,,,323.00M,15.00M,-7.00M,,,,387.00M,150.00M,,,-7.00M,,118.00M,44.00M,74.00M,,,,74.00M,78.39M,199.00M,49.00M,150.00M,0.16,0.0,,0.1694,0.16,0.155,0.0,,0.1642,0.155,469.18M,479.20M,0.18
1998-09,965.00M,965.00M,410.00M,555.00M,,,306.00M,14.00M,-1.00M,,,,368.00M,187.00M,,,-1.00M,,158.00M,58.00M,100.00M,,,,100.00M,100.63M,235.00M,48.00M,187.00M,0.21,0.0,,0.2114,0.21,0.21,0.0,,0.2113,0.21,468.92M,477.94M,0.18
1998-06,1.129B,1.129B,552.80M,576.20M,,,369.50M,18.70M,47.80M,,,,440.50M,135.70M,,,47.80M,,160.80M,52.10M,108.70M,,-0.10M,,108.60M,76.39M,188.00M,52.30M,135.70M,0.5242,,0.0,0.3684,0.5237,0.5242,,-0.0005,0.3684,0.5237,207.37M,207.37M,0.16
