,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2011-09,700.00M,,,,,,247.00M,247.00M,,,37.00M,,187.00M,8.00M,427.00M,115.00M,,-1.17B,-620.00M,551.00M,,-241.00M,,,,250.00M,34.00M,43.00M,,2011-09,,1.98B,,-1.004B,-1.004B,,,,,-246.00M,21.00M,-49.00M,,2011-09,3.268B,1.296B,4.564B,,2011-09,,1.98B,,-1.004B,2011-09,AOR,Restated
2011-06,742.00M,,,,,,246.00M,246.00M,,,40.00M,,-127.00M,39.00M,55.00M,-153.00M,,52.00M,-7.00M,894.00M,,-198.00M,,,,260.00M,204.00M,266.00M,,2011-06,,,-43.00M,-999.00M,-1.042B,,,,,-258.00M,60.00M,-9.00M,,2011-06,3.357B,-89.00M,3.268B,,2011-06,-43.00M,,,-999.00M,2011-06,AOR,Restated
2011-03,530.00M,,,,,,246.00M,246.00M,,,39.00M,,49.00M,-900.00M,93.00M,745.00M,,917.00M,855.00M,1.719B,,-130.00M,,,,,32.00M,-98.00M,,2011-03,,,43.00M,-314.00M,-271.00M,,,,,-266.00M,,12.00M,,2011-03,2.261B,1.096B,3.357B,,2011-03,43.00M,,,-314.00M,2011-03,AOR,Restated
2010-12,704.00M,,,,-539.00M,-74.00M,439.00M,439.00M,184.00M,,68.00M,,-388.00M,486.00M,-267.00M,-718.00M,,-94.00M,-593.00M,414.00M,,-680.00M,,394.00M,,250.00M,74.00M,294.00M,,2010-12,,0.00,-57.00M,-854.00M,-911.00M,,,-269.00M,,-269.00M,,19.00M,,2010-12,2.656B,-394.00M,2.261B,,2010-12,-57.00M,0.00,,-854.00M,2010-12,AOR,Restated
2010-09,560.00M,,,,188.00M,25.00M,213.00M,213.00M,320.00M,,18.00M,,232.00M,53.00M,259.00M,112.00M,,-1.254B,-830.00M,513.00M,,-171.00M,,-171.00M,,110.00M,-2.00M,-63.00M,,2010-09,,0.00,12.00M,-319.00M,-307.00M,,,-229.00M,,-229.00M,,0.00,,2010-09,2.722B,-86.00M,2.656B,,2010-09,12.00M,0.00,,-319.00M,2010-09,AOR,Restated
2010-06,824.00M,,,,179.00M,22.00M,201.00M,201.00M,-87.00M,,41.00M,,214.00M,73.00M,103.00M,25.00M,,-169.00M,32.00M,1.225B,,-131.00M,,-131.00M,,-638.00M,-27.00M,-796.00M,,2010-06,,,21.00M,-731.00M,-710.00M,,,-233.00M,,-233.00M,,-47.00M,,2010-06,3.288B,-561.00M,2.722B,,2010-06,21.00M,,,-731.00M,2010-06,AOR,Restated
2010-03,533.00M,,,,172.00M,27.00M,199.00M,199.00M,121.00M,,41.00M,,183.00M,-609.00M,-302.00M,217.00M,,1.266B,572.00M,1.649B,,-92.00M,,-92.00M,,107.00M,-23.00M,-8.00M,,2010-03,,,24.00M,-516.00M,-492.00M,,,-238.00M,,-238.00M,,,,2010-03,2.391B,911.00M,3.288B,,2010-03,24.00M,,,-516.00M,2010-03,AOR,Restated
2009-12,776.00M,,,,-544.00M,-81.00M,389.00M,389.00M,,,58.00M,,-1.217B,35.00M,-130.00M,-482.00M,,-287.00M,-864.00M,-291.00M,,-685.00M,,-371.00M,-15.00M,110.00M,37.00M,-553.00M,,2009-12,,,-48.00M,-489.00M,-537.00M,,,-240.00M,,-240.00M,,105.00M,,2009-12,2.709B,-294.00M,2.391B,,2009-12,-48.00M,,,-489.00M,2009-12,AOR,Restated
2009-09,797.00M,,,,188.00M,27.00M,215.00M,215.00M,,,24.00M,13.00M,1.089B,92.00M,-208.00M,71.00M,-219.00M,-509.00M,-773.00M,1.424B,,-182.00M,,-182.00M,-233.00M,-389.00M,25.00M,-779.00M,,2009-09,,,25.00M,-393.00M,-368.00M,,,-219.00M,,-219.00M,,-13.00M,,2009-09,2.672B,45.00M,2.709B,,2009-09,25.00M,,,-393.00M,2009-09,AOR,Restated
2009-06,734.00M,,,,181.00M,27.00M,208.00M,208.00M,,,42.00M,-13.00M,-561.00M,-33.00M,68.00M,-2.00M,-107.00M,859.00M,785.00M,1.136B,,-167.00M,,-167.00M,-31.00M,0.00,-10.00M,-208.00M,,2009-06,,,7.00M,-470.00M,-463.00M,,,-222.00M,,-222.00M,,13.00M,,2009-06,2.384B,256.00M,2.672B,,2009-06,7.00M,,,-470.00M,2009-06,AOR,Restated
