,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2013-03,336.00M,-17.00M,4.00M,,-7.00M,,-20.00M,130.00M,130.00M,-6.00M,,9.00M,-11.00M,-1.00M,9.00M,26.00M,-8.00M,-63.00M,,,,,401.00M,,2013-03,-237.00M,,,81.00M,,-153.00M,,2013-03,-1.00M,9.00M,8.00M,,-98.00M,-98.00M,-151.00M,-151.00M,5.00M,-259.00M,,2013-03,776.00M,-3.00M,762.00M,,2013-03,,9.00M,-1.00M,,2013-03,AOR,Restated
2012-12,336.00M,-37.00M,28.00M,3.00M,-9.00M,,-15.00M,223.00M,223.00M,-58.00M,,15.00M,-46.00M,43.00M,-25.00M,-18.00M,0.00,21.00M,,,,,476.00M,,2012-12,-421.00M,,,176.00M,,-258.00M,,2012-12,-2.00M,-12.00M,-14.00M,,-277.00M,-277.00M,-151.00M,-151.00M,35.00M,-394.00M,,2012-12,942.00M,10.00M,776.00M,,2012-12,,-12.00M,-2.00M,,2012-12,AOR,Restated
2012-09,478.00M,-2.00M,4.00M,23.00M,-16.00M,,9.00M,157.00M,157.00M,96.00M,,12.00M,-6.00M,-13.00M,-9.00M,13.00M,-5.00M,162.00M,,,,,894.00M,,2012-09,-272.00M,,,55.00M,82.00M,-151.00M,,2012-09,-265.00M,12.00M,-253.00M,,-399.00M,-399.00M,-131.00M,-131.00M,5.00M,-783.00M,,2012-09,984.00M,-2.00M,942.00M,,2012-09,,12.00M,-265.00M,,2012-09,AOR,Restated
2012-06,333.00M,-13.00M,4.00M,15.00M,-9.00M,,-3.00M,158.00M,158.00M,-6.00M,,12.00M,-18.00M,-11.00M,-13.00M,-13.00M,6.00M,6.00M,,,,,451.00M,,2012-06,-233.00M,,,28.00M,-3.00M,-205.00M,,2012-06,-12.00M,0.00,-12.00M,,-211.00M,-211.00M,-131.00M,-131.00M,6.00M,-351.00M,,2012-06,1.099B,-10.00M,984.00M,,2012-06,,0.00,-12.00M,,2012-06,AOR,Restated
2012-03,461.00M,-26.00M,1.00M,,-13.00M,,-38.00M,127.00M,127.00M,-4.00M,,11.00M,-28.00M,-43.00M,29.00M,27.00M,-15.00M,-54.00M,,,,,473.00M,,2012-03,-173.00M,,,-438.00M,-79.00M,-391.00M,,2012-03,-3.00M,0.00,-3.00M,,-78.00M,-78.00M,-131.00M,-131.00M,16.00M,-188.00M,,2012-03,1.198B,7.00M,1.099B,,2012-03,,0.00,-3.00M,,2012-03,AOR,Restated
2011-12,357.00M,3.00M,22.00M,2.00M,-7.00M,0.00,20.00M,211.00M,211.00M,-65.00M,,19.00M,-33.00M,2.00M,-20.00M,-84.00M,4.00M,56.00M,,,,,467.00M,,2011-12,-387.00M,,,47.00M,,-266.00M,,2011-12,51.00M,0.00,51.00M,,-190.00M,-190.00M,-131.00M,-131.00M,29.00M,-218.00M,,2011-12,1.236B,-21.00M,1.198B,,2011-12,,55.00M,-4.00M,,2011-12,AOR,Restated
2011-09,389.00M,66.00M,25.00M,21.00M,-13.00M,,99.00M,157.00M,157.00M,-24.00M,,14.00M,-11.00M,5.00M,-28.00M,-11.00M,-6.00M,196.00M,,,,,780.00M,,2011-09,-223.00M,,,70.00M,,-161.00M,,2011-09,345.00M,-350.00M,-5.00M,,-243.00M,-243.00M,-116.00M,-116.00M,8.00M,-355.00M,,2011-09,955.00M,17.00M,1.236B,,2011-09,,-1.00M,-4.00M,,2011-09,AOR,Restated
2011-06,322.00M,3.00M,88.00M,16.00M,-11.00M,3.00M,101.00M,146.00M,146.00M,12.00M,-69.00M,13.00M,-14.00M,-12.00M,-2.00M,-14.00M,2.00M,-70.00M,,,,,415.00M,,2011-06,-157.00M,,,35.00M,0.00,-423.00M,,2011-06,-654.00M,350.00M,-304.00M,,-167.00M,-167.00M,-116.00M,-116.00M,13.00M,-579.00M,,2011-06,1.529B,13.00M,955.00M,,2011-06,,350.00M,-654.00M,,2011-06,AOR,Restated
2011-03,267.00M,0.00,,,-16.00M,-3.00M,-21.00M,123.00M,123.00M,-60.00M,69.00M,13.00M,-8.00M,34.00M,11.00M,34.00M,-25.00M,71.00M,,,,,508.00M,,2011-03,-173.00M,0.00,0.00,13.00M,0.00,-156.00M,,2011-03,-4.00M,,-4.00M,,-152.00M,-152.00M,-118.00M,-118.00M,9.00M,-261.00M,,2011-03,1.426B,12.00M,1.529B,,2011-03,,,-4.00M,,2011-03,AOR,Restated
2010-12,277.00M,12.00M,26.00M,0.00,-8.00M,0.00,30.00M,206.00M,206.00M,20.00M,,10.00M,-23.00M,-4.00M,-6.00M,-38.00M,46.00M,-47.00M,,,,,471.00M,,2010-12,-306.00M,-21.00M,-21.00M,159.00M,,-144.00M,,2010-12,-9.00M,-25.00M,-34.00M,,-88.00M,-88.00M,-117.00M,-117.00M,38.00M,-186.00M,,2010-12,1.274B,11.00M,1.426B,,2010-12,,-17.00M,-17.00M,,2010-12,AOR,Restated
