,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,723.66M,418.89M,1.143B,905.82M,905.82M,243.41M,256.37M,203.70M,703.49M,,122.61M,2.874B,,,,,1.182B,-756.79M,424.84M,1.952B,,1.952B,,152.74M,2.530B,5.404B,,447.16M,,81.95M,529.10M,202.86M,731.96M,83.60M,83.60M,,815.56M,1.699B,1.699B,,,,250.37M,12.12M,42.16M,1.991B,2.807B,,0.16M,2.303B,434.24M,,,,-151.80M,2.585B,,AOR,Restated
2013-03,734.99M,286.91M,1.022B,861.60M,861.60M,239.38M,264.79M,207.42M,711.58M,,130.59M,2.726B,,,,,1.147B,-731.33M,415.94M,1.920B,,1.920B,,152.42M,2.488B,5.214B,,445.52M,,82.91M,528.43M,194.40M,722.82M,92.19M,92.19M,,815.01M,1.596B,1.596B,,,,246.71M,11.66M,39.12M,1.882B,2.697B,,0.16M,2.261B,385.94M,,,,-141.76M,2.505B,,AOR,Restated
2012-12,690.85M,251.65M,942.50M,910.71M,910.71M,243.13M,271.67M,218.92M,733.72M,,119.98M,2.707B,0.00,21.87M,167.88M,943.57M,1.133B,-715.90M,417.44M,1.933B,140.60M,2.073B,,17.77M,2.509B,5.215B,,496.52M,,94.34M,590.87M,197.36M,788.22M,100.29M,100.29M,,888.51M,1.606B,1.606B,,,,244.57M,12.22M,33.99M,1.885B,2.773B,,0.16M,2.210B,336.68M,,,,-117.00M,2.430B,,AOR,Restated
2012-09,725.55M,167.34M,892.89M,903.34M,903.34M,239.11M,272.01M,201.07M,712.19M,,132.56M,2.641B,0.00,1.109B,,,1.109B,-701.03M,407.59M,1.877B,,1.877B,,145.86M,2.430B,5.071B,,478.10M,,78.96M,557.06M,127.42M,684.48M,94.09M,94.09M,,864.59M,1.511B,1.511B,,,,205.92M,11.38M,50.94M,1.768B,2.633B,,0.162M,2.237B,302.55M,,,,-112.98M,2.427B,,AOR,Restated
2012-06,646.01M,134.45M,780.46M,840.09M,840.09M,224.67M,262.00M,188.67M,675.34M,,130.26M,2.426B,0.00,1.076B,,,1.076B,-680.07M,396.18M,1.804B,,1.804B,,140.79M,2.341B,4.767B,,431.95M,,85.65M,517.61M,113.72M,631.33M,89.28M,89.28M,,801.66M,1.455B,1.455B,,,,204.93M,12.94M,42.19M,1.702B,2.503B,,0.161M,2.135B,248.97M,,,,-133.61M,2.251B,,AOR,Restated
2012-03,620.98M,122.25M,743.23M,771.40M,771.40M,212.61M,263.27M,183.23M,659.11M,,118.06M,2.292B,0.00,1.063B,,,1.063B,-673.26M,389.87M,1.755B,140.76M,1.896B,,,2.286B,4.577B,,402.92M,,80.66M,483.58M,102.18M,585.76M,78.30M,78.30M,,744.98M,1.317B,1.317B,,,,207.30M,13.72M,43.56M,1.568B,2.313B,,0.163M,2.130B,224.36M,,,,-103.65M,2.251B,,AOR,Restated
2011-12,515.09M,133.85M,648.93M,767.18M,767.18M,210.89M,255.58M,183.40M,649.86M,,115.26M,2.181B,0.00,21.93M,159.57M,854.87M,1.036B,-655.87M,380.50M,1.746B,124.00M,1.870B,,13.37M,2.264B,4.445B,,377.87M,,87.32M,465.18M,176.94M,642.12M,0.298M,0.298M,,642.42M,1.377B,1.377B,,,,207.05M,13.02M,34.14M,1.618B,2.260B,,0.163M,2.102B,189.17M,,,,-120.06M,2.172B,,AOR,Restated
2011-09,690.18M,90.73M,780.91M,803.48M,803.48M,211.83M,245.98M,177.00M,634.81M,,108.61M,2.328B,0.00,1.012B,,,1.012B,-652.70M,359.52M,1.560B,,1.560B,,114.51M,2.034B,4.362B,,418.20M,,77.68M,495.88M,89.07M,584.96M,0.304M,0.304M,,662.20M,1.265B,1.265B,,,,167.58M,12.98M,37.43M,1.470B,2.132B,,0.165M,2.129B,179.09M,,,,-91.96M,2.217B,,AOR,Restated
2011-06,611.21M,85.35M,696.56M,793.42M,793.42M,206.31M,259.34M,176.63M,642.27M,,114.43M,2.247B,0.00,1.048B,,,1.048B,-668.62M,379.73M,1.577B,,1.577B,,119.34M,2.076B,4.323B,,426.18M,,69.58M,495.76M,77.82M,573.59M,0.328M,0.328M,,648.38M,1.158B,1.158B,,,,171.61M,12.95M,35.75M,1.365B,2.013B,,0.17M,2.170B,168.66M,,,,-42.52M,2.296B,,AOR,Restated
2011-03,593.00M,98.42M,691.42M,744.20M,744.20M,189.92M,246.52M,166.55M,602.98M,,107.28M,2.146B,0.00,1.013B,,,1.013B,-641.60M,371.49M,1.537B,,1.537B,,117.34M,2.025B,4.171B,,414.30M,,76.75M,491.04M,114.86M,605.90M,0.329M,0.329M,,682.43M,949.38M,949.38M,,,,169.90M,22.33M,43.04M,1.162B,1.845B,,0.176M,2.386B,167.66M,188.50M,,,-61.08M,2.304B,,AOR,Restated
