,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-06,699.94M,699.94M,116.80M,583.15M,,,243.18M,92.34M,1.739M,-13.58M,,,,10.10M,347.36M,235.79M,,,,-13.58M,,255.08M,56.44M,198.63M,,,198.63M,209.20M,266.17M,30.38M,235.79M,,0.28,0.00,0.2949,0.28,,0.27,0.00,0.2843,0.27,,711.32M,737.21M,,,,
2005-03,712.68M,712.68M,121.13M,591.55M,,,263.72M,92.06M,0.08M,-3.878M,,,,,356.23M,235.32M,,,,-3.878M,,248.49M,128.81M,119.68M,,,119.68M,122.01M,274.29M,38.98M,235.32M,,0.16,0.00,0.1633,0.16,,0.16,0.00,0.1631,0.16,,709.24M,738.82M,,,,
2004-12,695.22M,695.22M,121.50M,573.73M,,,256.49M,85.29M,2.663M,-1.204M,,,,,344.44M,229.29M,,,,-1.204M,,239.68M,76.10M,163.58M,,,163.58M,164.40M,256.88M,27.59M,229.29M,,0.24,0.00,0.2412,0.24,,0.22,0.00,0.2211,0.22,,679.03M,742.45M,,,,
2004-09,618.31M,618.31M,109.22M,509.09M,,,229.46M,83.82M,1.781M,-2.051M,,,,,315.06M,194.03M,,,,-2.051M,,197.55M,61.93M,135.62M,,,135.62M,137.03M,227.05M,33.02M,194.03M,,0.22,0.00,0.2222,0.22,,0.19,0.00,0.1919,0.19,,629.73M,736.54M,,,,
2004-06,556.63M,556.63M,89.01M,467.62M,,,212.22M,72.88M,12.14M,-3.122M,,,,-11.25M,285.99M,181.63M,,,,-3.122M,,172.40M,55.13M,117.28M,,,117.28M,119.40M,209.48M,27.85M,181.63M,,0.19,0.00,0.1934,0.19,,0.16,0.00,0.1629,0.16,,624.52M,735.85M,,,,
2004-03,556.44M,556.44M,56.57M,499.87M,,,221.40M,70.20M,41.77M,-0.15M,,,,-40.99M,292.38M,207.49M,,,,-0.15M,,171.22M,54.30M,116.93M,,,116.93M,117.03M,249.26M,32.78M,207.49M,,0.19,0.00,0.1902,0.19,,0.17,0.00,0.1701,0.17,,622.24M,735.84M,,,,
2003-12,493.90M,493.90M,87.61M,406.30M,,,188.73M,61.88M,0.628M,4.359M,,,,,251.24M,155.06M,,,,4.359M,,163.31M,51.83M,111.48M,,,111.48M,108.50M,175.96M,20.90M,155.06M,,0.18,0.00,0.1752,0.18,,0.16,0.00,0.1559,0.16,,616.97M,724.36M,,,,
2003-09,428.66M,428.66M,74.81M,353.86M,,,176.88M,59.60M,0.756M,1.829M,,,,,237.23M,116.62M,,,,1.829M,,121.97M,38.54M,83.43M,,,83.43M,82.18M,151.54M,34.92M,116.62M,,0.1375,0.00,0.1354,0.1375,,0.1225,0.00,0.1207,0.1225,,609.70M,713.66M,,,,
2003-06,391.12M,391.12M,67.58M,323.55M,,,168.21M,60.60M,0.791M,-13.03M,,,,,229.60M,93.94M,,,,-13.03M,,85.72M,26.94M,58.78M,,,58.78M,67.71M,122.57M,28.63M,93.94M,,0.0975,0.00,0.1124,0.0975,,0.09,0.00,0.1028,0.09,,598.98M,699.95M,,,,
2003-03,390.04M,390.04M,68.22M,321.81M,,,167.97M,54.42M,0.793M,-4.075M,,,,,223.18M,98.63M,,,,-4.075M,,98.56M,30.42M,68.14M,,,68.14M,70.96M,123.59M,24.96M,98.63M,,0.115,0.00,0.1198,0.115,,0.1025,0.00,0.1065,0.1025,,591.92M,698.05M,,,,
2002-12,375.64M,375.64M,65.28M,310.36M,,,158.82M,50.02M,0.793M,-0.114M,,,,,209.64M,100.72M,,,,-0.114M,,104.35M,32.62M,71.73M,,,71.73M,71.81M,126.80M,26.09M,100.72M,,0.1225,0.00,0.1226,0.1225,,0.11,0.00,0.1101,0.11,,580.59M,683.23M,,,,
2002-09,325.23M,325.23M,61.16M,264.07M,,,142.15M,47.34M,0.665M,-1.211M,,,,,190.16M,73.91M,,,,-1.211M,,77.13M,25.14M,51.99M,,,51.99M,52.81M,97.87M,23.95M,73.91M,,0.09,0.00,0.0914,0.09,,0.0825,0.00,0.0837,0.0825,,578.15M,673.96M,,,,
2002-06,316.04M,316.04M,55.45M,260.59M,,,130.52M,45.49M,0.536M,-4.808M,,,,,176.55M,84.04M,,,,-4.808M,,83.59M,27.02M,56.57M,,,56.57M,59.82M,104.77M,20.72M,84.04M,,0.0975,0.00,0.1032,0.0975,,0.09,0.00,0.0948,0.09,,575.65M,676.11M,,,,
2002-03,310.78M,310.78M,52.01M,258.78M,,,129.99M,43.77M,49.53M,-9.404M,,,,,226.35M,32.43M,,,,-9.404M,,29.86M,25.08M,4.779M,,,4.779M,10.42M,105.11M,72.68M,32.43M,,0.0075,0.00,0.0174,0.0075,,0.0075,0.00,0.0174,0.0075,,569.11M,569.11M,,,,
2001-12,290.25M,290.25M,52.30M,237.95M,,,125.31M,40.71M,49.95M,-5.023M,,,,,215.98M,21.97M,,,,-5.023M,,20.76M,20.66M,0.10M,,,0.10M,3.114M,93.10M,71.13M,21.97M,,0.0002,,0.0056,0.0002,,0.0002,,0.0053,0.0002,,558.96M,588.56M,,,,
2001-09,242.37M,242.37M,45.48M,196.89M,,,113.67M,40.02M,49.95M,3.915M,,,,,203.64M,-6.751M,,,,3.915M,,4.53M,16.34M,-11.81M,,,-11.81M,-14.16M,56.30M,63.06M,-6.751M,,-0.02,0.00,-0.0240,-0.02,,-0.02,0.00,-0.0240,-0.02,,583.20M,583.20M,,,,
2001-06,228.04M,228.04M,42.12M,185.92M,,,116.11M,39.47M,49.52M,1.938M,,,,,205.10M,-19.18M,,,,1.938M,,-9.655M,11.56M,-21.22M,,,-21.22M,-22.38M,46.82M,66.00M,-19.18M,,-0.0362,0.00,-0.0382,-0.0362,,-0.0362,0.00,-0.0382,-0.0362,,586.40M,586.40M,,,,
2001-03,250.61M,250.61M,33.30M,217.31M,,,124.27M,40.67M,,-20.56M,,,,,187.67M,29.64M,,,,-20.56M,,-13.14M,14.30M,-27.45M,,,-27.45M,-15.11M,100.46M,70.82M,29.64M,,-0.0625,0.00,-0.0418,-0.0625,,-0.0625,0.00,-0.0428,-0.0625,,594.94M,625.89M,,,,
2000-12,219.29M,219.29M,23.76M,195.54M,,,98.39M,31.52M,,-18.71M,,,,,149.38M,46.16M,,,,-18.71M,,36.25M,22.37M,13.87M,,,13.87M,25.10M,65.62M,19.46M,46.16M,,0.0275,0.00,0.0497,0.0275,,0.0262,0.00,0.0477,0.0262,,504.57M,523.87M,,,,
2000-09,192.30M,192.30M,17.56M,174.74M,,,85.07M,28.71M,,4.992M,,,,,128.32M,46.42M,,,,4.992M,,59.37M,20.26M,39.11M,,,39.11M,35.82M,60.96M,14.53M,46.42M,,0.08,0.00,0.0733,0.08,,0.0762,0.00,0.0698,0.0762,,488.09M,511.58M,,,,
2000-06,191.36M,191.36M,17.27M,174.09M,,,86.98M,25.77M,,6.233M,,,,,128.77M,45.32M,,,,6.233M,,58.31M,19.91M,38.40M,,,38.40M,34.29M,61.34M,16.02M,45.32M,,0.0788,0.00,0.0703,0.0788,,0.075,0.00,0.0670,0.075,,483.98M,513.98M,,,,
2000-03,187.22M,187.22M,22.36M,164.86M,,,87.50M,24.82M,,0.784M,,,,,123.64M,41.22M,,,,0.784M,,47.49M,15.94M,31.55M,,,31.55M,31.03M,52.54M,11.31M,41.22M,,0.065,0.00,0.0639,0.065,,0.0575,0.00,0.0565,0.0575,,477.48M,525.46M,,,,
1999-12,200.80M,200.80M,24.30M,176.50M,,,93.30M,28.70M,,88.60M,,,,,133.10M,43.40M,,,,88.60M,,135.20M,46.20M,89.00M,,,89.00M,30.68M,54.50M,11.10M,43.40M,,0.19,0.00,0.0652,0.19,,0.1762,0.00,0.0606,0.1762,,467.20M,504.16M,,,,
1999-09,182.50M,182.50M,19.80M,162.70M,,,85.90M,28.50M,,4.60M,,,,,130.60M,32.10M,,,,4.60M,,39.10M,13.30M,25.80M,,,25.80M,22.76M,48.30M,16.20M,32.10M,,0.0562,0.00,0.0496,0.0562,,0.0538,0.00,0.0475,0.0538,,456.27M,483.16M,,,,
1999-06,175.10M,175.10M,22.70M,152.40M,,,82.30M,27.60M,,4.90M,,,,,121.90M,30.50M,,,,4.90M,,35.40M,11.70M,23.70M,,,23.70M,20.42M,42.50M,12.00M,30.50M,,0.0525,0.00,0.0452,0.0525,,0.0512,0.00,0.0442,0.0512,,451.43M,462.44M,,,,
1999-03,169.63M,169.63M,21.67M,147.96M,,,81.97M,26.46M,,5.124M,,,,,118.42M,29.54M,,,,5.124M,,36.47M,11.67M,24.80M,,,24.80M,21.32M,39.53M,9.994M,29.54M,,0.055,0.00,0.0474,0.055,,0.0525,0.00,0.0457,0.0525,,456.57M,511.79M,,,,
1998-12,155.20M,155.20M,17.90M,137.30M,,,80.20M,24.40M,,2.70M,,,,,115.30M,22.00M,,,,2.70M,,26.90M,11.00M,15.90M,,,15.90M,14.28M,32.70M,10.70M,22.00M,,0.0362,0.00,0.0326,0.0362,,0.035,0.00,0.0314,0.035,,438.62M,454.29M,,,,
1998-09,130.00M,130.00M,13.70M,116.30M,,,80.70M,30.80M,,4.40M,,,,,119.90M,-3.60M,,,,4.40M,,4.40M,2.50M,1.90M,,,1.90M,-0.74M,4.80M,8.10M,-3.60M,,0.0038,0.00,-0.0015,0.0038,,0.0038,0.00,-0.0015,0.0038,,506.67M,506.67M,,,,
1998-06,137.80M,137.80M,13.20M,124.60M,,,79.00M,25.00M,,2.40M,,,,,111.40M,13.20M,,,,2.40M,,15.40M,7.80M,7.60M,,,7.60M,6.16M,20.60M,7.40M,13.20M,,-0.0112,0.00,-0.0144,-0.0112,,-0.0112,0.00,-0.0144,-0.0112,,462.91M,462.91M,,,,
1998-03,110.64M,110.64M,15.03M,95.61M,,,80.55M,24.23M,,35.03M,,,,,111.28M,-15.68M,,,,35.03M,,32.10M,8.008M,24.09M,,,24.09M,-2.202M,-9.179M,6.497M,-15.68M,,0.0538,0.00,-0.0044,0.0538,,0.0475,0.00,-0.0029,0.0475,,451.98M,521.30M,,,,
1997-12,148.20M,148.20M,15.70M,132.50M,,,77.70M,21.90M,,3.40M,,,,,106.50M,26.00M,,,,3.40M,,29.10M,7.30M,21.80M,,,21.80M,19.25M,32.90M,6.90M,26.00M,,0.0488,0.00,0.0431,0.0488,,0.0462,0.00,0.0408,0.0462,,447.18M,471.35M,,,,
1997-09,139.00M,139.00M,15.50M,123.50M,,,70.30M,23.60M,,4.40M,,,,,100.80M,22.70M,,,,4.40M,,26.70M,6.10M,20.60M,,,20.60M,17.21M,29.60M,6.90M,22.70M,,0.0462,0.00,0.0386,0.0462,,0.0438,0.00,0.0365,0.0438,,445.41M,470.86M,,,,
1997-06,135.00M,135.00M,14.50M,120.50M,,,70.70M,21.60M,,2.50M,,,,,98.70M,21.80M,,,,2.50M,,24.00M,5.50M,18.50M,,,18.50M,16.57M,28.20M,6.40M,21.80M,,0.0412,0.00,0.0370,0.0412,,0.04,0.00,0.0358,0.04,,448.48M,462.50M,,,,
1997-03,129.70M,129.70M,17.70M,112.00M,,,58.00M,24.10M,,-8.10M,,,,,93.70M,18.30M,,,,-8.10M,,9.60M,1.40M,8.20M,,,8.20M,15.12M,29.90M,11.60M,18.30M,,0.0188,0.00,0.0345,0.0188,,0.0175,0.00,0.0320,0.0175,,438.79M,475.67M,,,,
1996-12,124.10M,124.10M,15.10M,109.00M,,,66.40M,21.00M,,1.90M,,,,,94.30M,14.70M,,,,1.90M,,16.30M,2.40M,13.90M,,,13.90M,12.28M,21.60M,6.90M,14.70M,,0.0312,0.00,0.0276,0.0312,,0.0312,0.00,0.0276,0.0312,,444.80M,444.80M,,,,
1996-09,109.20M,109.20M,12.60M,96.60M,,,68.10M,20.80M,,1.80M,,,,,97.00M,-0.40M,,,,1.80M,,1.00M,0.10M,0.90M,,,0.90M,-0.72M,7.70M,8.10M,-0.40M,,0.0025,0.00,-0.002,0.0025,,0.0025,0.00,-0.002,0.0025,,360.00M,360.00M,,,,
1996-06,109.20M,109.20M,14.90M,94.30M,,,62.30M,23.00M,,1.30M,,,,,91.90M,2.40M,,,,1.30M,,3.30M,0.30M,3.00M,,,3.00M,1.818M,9.00M,6.60M,2.40M,,0.0075,0.00,0.0045,0.0075,,0.0075,0.00,0.0045,0.0075,,400.00M,400.00M,,,,
1996-03,115.90M,115.90M,18.10M,97.80M,,,165.90M,,,27.50M,,,,,117.00M,-19.20M,,,,27.50M,,7.90M,0.00,7.90M,,,7.90M,-19.60M,-16.70M,2.50M,-19.20M,,0.0188,0.00,-0.0471,0.0188,,0.0188,0.00,-0.0471,0.0188,,417.77M,417.77M,,,,
1995-12,111.10M,111.10M,4.40M,106.70M,,,66.50M,26.30M,,-23.70M,,,,,119.50M,-12.80M,,,,-23.70M,,,,-36.90M,,,-36.90M,-22.68M,13.90M,26.70M,-12.80M,,-0.0862,0.00,-0.0530,-0.0862,,-0.0862,0.00,-0.0530,-0.0862,,427.83M,427.83M,,,,
1995-09,102.80M,102.80M,11.10M,91.70M,,,52.80M,19.40M,,1.80M,,,,,77.10M,14.60M,,,,1.80M,,16.10M,3.20M,12.90M,,,12.90M,11.46M,19.50M,4.90M,14.60M,,0.0388,0.00,0.0344,0.0388,,0.0375,0.00,0.0333,0.0375,,332.90M,344.00M,,,,
1995-06,90.10M,90.10M,10.10M,80.00M,,,43.20M,18.60M,,1.70M,,,,,66.60M,13.40M,,,,1.70M,,14.60M,2.90M,11.70M,,,11.70M,10.34M,18.20M,4.80M,13.40M,,0.0362,0.00,0.0320,0.0362,,0.035,0.00,0.0309,0.035,,322.76M,334.29M,,,,
1995-03,88.60M,88.60M,11.10M,77.50M,,,-1.70M,,,1.70M,,,,,64.70M,12.80M,,,,1.70M,,13.90M,3.50M,10.40M,,,10.40M,9.128M,16.40M,3.60M,12.80M,,0.0338,0.00,0.0299,0.0338,,0.0262,0.00,0.0235,0.0262,,327.46M,465.38M,,,,
1994-12,84.10M,84.10M,9.50M,74.60M,,,57.40M,,,1.00M,,,,,62.80M,11.80M,,,,1.00M,,12.10M,3.00M,9.10M,,,9.10M,8.348M,17.20M,4.10M,11.80M,,0.0312,0.00,0.0287,0.0312,,0.0312,0.00,0.0287,0.0312,,291.20M,291.20M,,,,
1994-09,79.10M,79.10M,8.60M,70.50M,,,39.00M,14.60M,,0.60M,,,,,59.60M,10.90M,,,,0.60M,,11.00M,3.00M,8.00M,,,8.00M,7.564M,18.50M,7.60M,10.90M,,0.0275,0.00,0.026,0.0275,,0.0275,0.00,0.026,0.0275,,290.91M,290.91M,,,,
1994-06,83.10M,83.10M,12.30M,70.80M,,,40.40M,14.90M,,-9.60M,,,,,59.80M,11.00M,,,,-9.60M,,1.40M,0.40M,1.00M,,,1.00M,7.857M,15.50M,4.50M,11.00M,,0.0038,0.00,0.0295,0.0038,,0.0038,0.00,0.0295,0.0038,,266.67M,266.67M,,,,
1994-03,69.90M,69.90M,0.70M,69.20M,,,45.30M,,,-0.40M,,,,,58.30M,10.90M,,,,-0.40M,,10.40M,3.20M,7.20M,,,7.20M,7.477M,23.90M,13.00M,10.90M,,-0.0425,0.00,-0.0413,-0.0425,,-0.0425,0.00,-0.0413,-0.0425,,236.13M,236.13M,,,,
1993-12,67.10M,67.10M,10.20M,56.90M,,,65.70M,,,-0.40M,,,,,69.80M,-12.90M,,,,-0.40M,,-13.30M,-4.10M,-9.20M,,,-9.20M,-8.923M,-8.10M,4.80M,-12.90M,,-0.0388,0.00,-0.0376,-0.0388,,-0.0388,0.00,-0.0376,-0.0388,,237.42M,237.42M,,,,
1993-09,58.00M,58.00M,8.90M,49.10M,,,42.90M,,,-0.30M,,,,,45.40M,3.70M,,,,-0.30M,,3.50M,1.10M,2.40M,,,2.40M,2.606M,7.50M,3.80M,3.70M,,0.0112,0.00,0.0122,0.0112,,0.0112,0.00,0.0122,0.0112,,213.33M,213.33M,,,,
1993-06,59.10M,59.10M,10.00M,49.10M,,,43.30M,,,-12.30M,,,,,47.00M,2.10M,,,,-12.30M,,-10.30M,-3.20M,-7.10M,,,-7.10M,1.379M,5.80M,3.70M,2.10M,,-0.0338,0.00,0.0066,-0.0338,,-0.0338,0.00,0.0066,-0.0338,,210.37M,210.37M,,,,
1993-03,51.30M,51.30M,5.50M,45.80M,,,29.00M,,,-12.30M,,,,,36.20M,9.60M,,,,-12.30M,,-2.10M,-0.70M,-1.40M,,,-1.40M,6.80M,16.80M,7.20M,9.60M,,-0.0075,0.00,0.0363,-0.0075,,-0.0075,0.00,0.0363,-0.0075,,187.30M,187.30M,,,,
1992-12,48.70M,48.70M,10.50M,38.20M,,,42.40M,,,0.30M,,,,,44.40M,-6.20M,,,,0.30M,,-6.20M,-2.10M,-4.10M,,,-4.10M,-4.298M,-4.20M,2.00M,-6.20M,,-0.0212,0.00,-0.0223,-0.0212,,-0.0212,0.00,-0.0223,-0.0212,,192.94M,192.94M,,,,
1992-09,43.70M,43.70M,10.70M,33.00M,,,47.00M,,,0.30M,,,,,49.90M,-16.90M,,,,0.30M,,-17.00M,-5.80M,-11.20M,,,-11.20M,-11.40M,-14.00M,2.90M,-16.90M,,-0.06,0.00,-0.0611,-0.06,,-0.06,0.00,-0.0611,-0.06,,186.67M,186.67M,,,,
1992-06,60.20M,60.20M,11.00M,49.20M,,,37.40M,,,0.30M,,,,,40.20M,9.00M,,,,0.30M,,9.30M,2.90M,6.40M,,,6.40M,6.194M,11.80M,2.80M,9.00M,,0.0325,0.00,0.0315,0.0325,,0.0325,0.00,0.0315,0.0325,,196.92M,196.92M,,,,
1992-03,67.40M,67.40M,15.00M,52.40M,,,42.60M,,,0.30M,,,,,42.30M,10.10M,,,,0.30M,,10.30M,3.90M,6.40M,,,6.40M,6.214M,9.80M,-0.30M,10.10M,,0.0312,0.00,0.0304,0.0312,,0.0312,0.00,0.0304,0.0312,,209.45M,209.45M,,,,
1991-12,54.50M,54.50M,12.50M,42.00M,,,31.30M,,,0.30M,,,,,33.10M,8.90M,,,,0.30M,,9.10M,3.00M,6.10M,,,6.10M,5.899M,10.70M,1.40M,8.90M,,0.0325,0.00,0.0314,0.0325,,0.0325,0.00,0.0314,0.0325,,187.69M,187.69M,,,,
1991-09,52.60M,52.60M,13.50M,39.10M,,,33.60M,,,0.30M,,,,,35.60M,3.50M,,,,0.30M,,3.70M,1.30M,2.40M,,,2.40M,2.205M,5.90M,2.40M,3.50M,,0.0125,0.00,0.0115,0.0125,,0.0125,0.00,0.0115,0.0125,,192.00M,192.00M,,,,
1991-06,38.30M,38.30M,7.40M,30.90M,,,24.20M,,,0.30M,,,,,25.90M,5.00M,,,,0.30M,,5.20M,1.80M,3.40M,,,3.40M,3.204M,6.70M,1.70M,5.00M,,0.02,0.00,0.0188,0.02,,0.02,0.00,0.0188,0.02,,170.00M,170.00M,,,,
1991-03,35.00M,35.00M,6.60M,28.40M,,,20.60M,,,0.30M,,,,,21.90M,6.50M,,,,0.30M,,7.00M,2.30M,4.70M,,,4.70M,4.499M,7.80M,1.30M,6.50M,,0.0288,0.00,0.0276,0.0288,,0.0288,0.00,0.0276,0.0288,,170.00M,170.00M,,,,
1990-12,30.90M,30.90M,5.20M,25.70M,,,19.10M,,,0.40M,,,,,20.00M,5.70M,,,,0.40M,,6.00M,2.10M,3.90M,,,3.90M,3.64M,6.80M,1.10M,5.70M,,0.025,0.00,0.0233,0.025,,0.025,0.00,0.0233,0.025,,156.00M,156.00M,,,,
1990-09,27.50M,27.50M,4.80M,22.70M,,,23.60M,,,0.40M,,,,,24.50M,-1.80M,,,,0.40M,,-1.40M,-0.50M,-0.90M,,,-0.90M,-1.157M,-0.70M,1.10M,-1.80M,,-0.0062,0.00,-0.0080,-0.0062,,-0.0062,0.00,-0.0080,-0.0062,,144.00M,144.00M,,,,
1990-06,17.10M,17.10M,2.60M,14.50M,,,11.00M,,,0.50M,,,,,11.70M,2.80M,,,,0.50M,,3.10M,1.00M,2.10M,,,2.10M,1.761M,3.50M,0.70M,2.80M,,0.02,0.00,0.0168,0.02,,0.02,0.00,0.0168,0.02,,105.00M,105.00M,,,,
1990-03,14.00M,14.00M,1.50M,12.50M,,,9.10M,,,0.40M,,,,,10.20M,2.30M,,,,0.40M,,2.50M,0.50M,2.00M,,,2.00M,1.68M,3.40M,1.10M,2.30M,,0.015,0.00,0.0126,0.015,,0.015,0.00,0.0126,0.015,,131.96M,131.96M,,,,
1989-12,12.90M,12.90M,2.00M,10.90M,,,8.30M,,,0.40M,,,,,8.80M,2.10M,,,,0.40M,,2.30M,0.50M,1.80M,,,1.80M,1.487M,2.60M,0.50M,2.10M,,0.0175,0.00,0.0145,0.0175,,0.0175,0.00,0.0145,0.0175,,102.86M,102.86M,,,,
1989-09,12.00M,12.00M,1.80M,10.20M,,,7.60M,,,0.40M,,,,,8.10M,2.10M,,,,0.40M,,2.10M,0.50M,1.60M,,,1.60M,1.295M,2.60M,0.50M,2.10M,,0.0162,0.00,0.0132,0.0162,,0.0162,0.00,0.0132,0.0162,,98.46M,98.46M,,,,
1989-06,11.20M,11.20M,1.80M,9.40M,,,7.20M,,,0.10M,,,,,7.60M,1.80M,,,,0.10M,,1.70M,0.50M,1.20M,,,1.20M,1.129M,2.20M,0.40M,1.80M,,0.015,0.00,0.0141,0.015,,0.015,0.00,0.0141,0.015,,80.00M,80.00M,,,,
1989-03,10.80M,10.80M,,,,,,,,,,,,,,-25.10M,,,,,,,,1.30M,,,1.30M,,-25.10M,,-25.10M,,,,,,,,,,,,93.86M,93.86M,,,,
1988-12,10.70M,10.70M,,,,,,,,,,,,,,10.70M,,,,,,,,1.30M,,,1.30M,,10.70M,,10.70M,,-0.0012,,-0.0012,-0.0012,,-0.0012,,-0.0012,-0.0012,,,,,,,
1988-09,9.60M,9.60M,,,,,,,,,,,,,,9.60M,,,,,,,,1.00M,,,1.00M,,9.60M,,9.60M,,0.0075,,0.0075,0.0075,,0.0075,,0.0075,0.0075,,,,,,,
1988-06,8.80M,8.80M,,,,,,,,,,,,,,8.80M,,,,,,,,-0.50M,,,-0.50M,,8.80M,,8.80M,,-0.01,,-0.01,-0.01,,-0.01,,-0.01,-0.01,,,,,,,
