,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-03,40.91B,,40.91B,,,,,12.71B,53.62B,6.202B,22.96B,,22.96B,,79.85B,141.26B,210.95B,,,,,,6.259B,,,,,6.259B,9.029B,9.029B,12.47B,12.47B,,32.88B,51.42B,7.742B,,831.00M,,113.54B,130.40B,,8.00M,33.43B,26.19B,,20.10B,79.72B,,AOR,Restated
2003-12,35.96B,,35.96B,12.76B,,,,12.31B,48.27B,6.26B,22.95B,,22.95B,4.951B,79.62B,126.28B,180.56B,,,,,,6.386B,1.704B,,1.704B,1.704B,8.09B,7.415B,7.415B,11.48B,11.48B,,7.931B,49.03B,6.308B,,,745.00M,82.91B,102.96B,,8.00M,31.88B,26.15B,,19.56B,77.60B,,AOR,Restated
2003-09,30.74B,,30.74B,6.862B,,5.755B,,12.62B,43.36B,6.04B,22.74B,,22.74B,,67.51B,128.88B,172.24B,,,,,,6.807B,,,,,6.807B,8.96B,8.96B,9.877B,9.877B,,7.117B,50.94B,6.941B,,715.00M,,83.84B,99.56B,,8.00M,29.50B,26.10B,,16.36B,71.97B,,AOR,Restated
2003-06,28.44B,,28.44B,10.12B,,3.22B,,13.34B,41.78B,5.993B,22.36B,,22.36B,,71.27B,131.15B,172.93B,,,,,,6.246B,,,,,6.246B,7.961B,7.961B,9.995B,9.995B,,8.481B,51.04B,7.143B,,1.502B,,84.62B,100.82B,,8.00M,27.69B,26.07B,,16.84B,70.60B,,AOR,Restated
2003-03,19.49B,,19.49B,10.20B,,3.206B,,13.40B,32.90B,5.466B,22.30B,,22.30B,,49.73B,136.72B,169.62B,,,,,,4.705B,,,,,4.705B,8.205B,8.205B,8.621B,8.621B,,11.57B,51.08B,7.651B,,1.426B,,87.13B,102.83B,,8.00M,25.46B,26.04B,,13.85B,65.36B,,AOR,Restated
2002-12,12.75B,,12.75B,13.53B,,,,13.15B,25.90B,5.368B,22.30B,,22.30B,3.863B,93.84B,136.51B,169.54B,,,,,,4.995B,2.409B,,2.409B,2.409B,7.404B,6.879B,6.879B,8.051B,8.051B,,13.79B,47.99B,6.694B,,,1.391B,84.79B,105.51B,,8.00M,23.73B,26.03B,,14.27B,64.04B,,AOR,Restated
2002-09,10.44B,,10.44B,10.21B,,4.18B,,14.39B,24.83B,5.157B,22.28B,,22.28B,,55.63B,142.92B,167.75B,,,,,,11.43B,,,,,11.43B,8.952B,8.952B,7.925B,7.925B,,15.14B,42.64B,6.777B,,1.358B,,81.44B,103.77B,,8.00M,22.55B,26.00B,,14.06B,62.62B,,AOR,
2002-06,7.26B,,7.26B,,,,,12.62B,19.88B,5.12B,22.14B,,22.14B,,69.97B,147.61B,167.50B,,,,,,11.22B,,,,,11.22B,4.091B,4.091B,8.434B,8.434B,,,42.01B,6.223B,,1.376B,,60.76B,103.75B,,8.00M,21.40B,25.98B,,14.97B,62.37B,,AOR,
2002-03,7.374B,,7.374B,,,,,11.37B,18.75B,4.88B,22.04B,,22.04B,,67.12B,145.88B,164.62B,,,,,,9.894B,,,,,9.894B,3.724B,3.724B,8.165B,8.165B,,,41.27B,5.642B,,1.277B,,58.80B,102.85B,,8.00M,20.36B,25.96B,,14.17B,60.50B,,AOR,
2001-12,6.498B,61.34B,67.84B,11.93B,6.262B,,,11.93B,79.77B,4.776B,21.51B,,21.51B,6.262B,97.41B,138.83B,162.75B,,4.249B,7.021B,,11.27B,11.27B,3.85B,,3.85B,3.85B,15.12B,8.654B,8.654B,,,,21.46B,44.04B,4.814B,,,1.349B,80.32B,104.80B,,8.00M,19.44B,25.61B,,12.89B,57.95B,,AOR,Restated
2001-09,4.981B,,4.981B,,,,,11.86B,16.84B,4.699B,21.61B,,21.61B,,62.32B,137.75B,154.59B,,,,,,9.209B,,,,,9.209B,3.586B,3.586B,6.524B,6.524B,,,39.46B,4.805B,,1.388B,,54.37B,96.09B,,8.00M,19.35B,25.57B,,12.18B,57.11B,,AOR,
2001-06,7.143B,,7.143B,,,,,11.79B,18.93B,4.597B,21.24B,,21.24B,,60.39B,129.84B,148.78B,,,,,,9.503B,,,,,9.503B,3.66B,3.66B,7.098B,7.098B,,,35.93B,4.753B,,1.34B,,51.44B,88.71B,,8.00M,20.03B,25.56B,,13.14B,58.73B,,AOR,
2001-03,5.845B,,5.845B,,,,,11.55B,17.40B,4.543B,21.39B,,21.39B,,60.59B,129.29B,146.69B,,,,,,9.417B,,,,,9.417B,4.056B,4.056B,7.278B,7.278B,,,33.40B,4.561B,,1.362B,,49.29B,86.94B,,8.00M,19.26B,25.54B,,13.58B,58.39B,,AOR,
2000-12,5.604B,33.45B,39.05B,,1.186B,,11.76B,11.76B,50.82B,2.699B,18.88B,,18.88B,1.186B,79.69B,110.68B,135.79B,,6.415B,10.12B,,16.54B,16.54B,991.00M,,991.00M,991.00M,17.53B,3.788B,3.788B,,,,4.101B,33.02B,3.885B,,,1.269B,46.06B,74.07B,,8.00M,18.65B,25.52B,,17.54B,61.72B,,AOR,Restated
2000-09,2.77B,,2.77B,,,,,9.238B,12.01B,2.406B,18.53B,,18.53B,,68.88B,118.47B,130.48B,,,,,,7.443B,,,,,7.443B,2.634B,2.634B,9.201B,9.201B,,,29.48B,4.273B,,1.321B,,45.59B,69.77B,,8.00M,17.56B,25.48B,,16.34B,59.39B,,AOR,
2000-06,1.907B,,1.907B,,,,,10.07B,11.98B,2.182B,18.28B,,18.28B,,67.18B,122.82B,134.80B,,,,,,8.556B,,,,,8.556B,2.446B,2.446B,8.811B,8.811B,,,27.13B,4.294B,,1.30B,,42.68B,75.91B,,8.00M,16.77B,25.24B,,15.57B,57.59B,,AOR,
2000-03,2.891B,,2.891B,,,,,8.427B,11.32B,2.034B,18.41B,,18.41B,,64.46B,122.88B,134.20B,,,,,,6.901B,,,,,6.901B,2.354B,2.354B,8.766B,8.766B,,,26.92B,3.865B,,1.324B,,41.91B,76.59B,,8.00M,16.13B,25.22B,,14.93B,56.29B,,AOR,
1999-12,3.835B,,3.835B,,,,,8.558B,12.39B,1.903B,18.28B,,18.28B,,67.99B,119.02B,131.42B,,,,,,7.458B,,,,,7.458B,2.465B,2.465B,9.566B,9.566B,,,26.80B,3.718B,,1.423B,,42.55B,72.23B,,8.00M,15.32B,25.21B,,17.22B,57.76B,,AOR,Restated
1999-09,4.715B,,4.715B,,,,,7.207B,11.92B,1.782B,18.27B,,18.27B,,66.04B,114.67B,126.59B,,,,,,7.605B,,2.448B,2.448B,2.448B,10.05B,,,8.288B,8.288B,,,25.48B,3.875B,,1.406B,,37.64B,69.88B,,8.00M,15.30B,25.19B,,14.81B,55.30B,,,
1999-06,4.229B,,4.229B,,,,,8.058B,12.29B,1.667B,18.37B,,18.37B,,69.35B,112.88B,125.17B,,,,,,7.439B,,2.594B,2.594B,2.594B,10.03B,,,10.25B,10.25B,,,23.08B,3.92B,,1.507B,,37.26B,65.62B,,8.00M,14.88B,25.18B,,17.98B,58.04B,,,
1999-03,14.21B,,14.21B,,,,,7.514B,21.72B,1.616B,18.33B,,18.33B,,60.77B,102.05B,123.77B,,,,,,8.008B,,2.462B,2.462B,2.462B,10.47B,,,11.09B,11.09B,,,22.87B,3.513B,,1.613B,,37.47B,64.28B,,8.00M,14.30B,25.14B,,18.43B,57.88B,,,
1998-12,13.58B,,13.58B,,,,,7.224B,20.81B,1.509B,18.57B,,18.57B,,61.01B,101.43B,122.24B,,,,,,7.182B,,297.00M,297.00M,297.00M,7.479B,2.088B,2.088B,11.76B,11.76B,,,23.01B,3.324B,,1.644B,,40.19B,63.19B,,8.00M,13.76B,25.12B,,18.51B,57.40B,,AOR,Restated
1998-09,6.892B,,6.892B,,,,,1.90B,8.792B,1.325B,4.042B,,4.042B,,36.26B,45.32B,54.11B,,,,,,2.226B,,1.792B,1.792B,1.792B,4.018B,,,8.345B,8.345B,,,7.513B,1.583B,,472.00M,,17.44B,22.68B,,7.00M,13.20B,3.024B,29.00M,14.76B,30.96B,,,
1998-06,7.118B,,7.118B,,,,,1.735B,8.853B,1.127B,3.41B,,3.41B,,47.11B,55.09B,63.95B,,,,,,2.014B,,2.192B,2.192B,2.192B,4.206B,,,12.41B,12.41B,,,7.241B,1.468B,,516.00M,,21.12B,26.51B,,7.00M,12.83B,2.671B,30.00M,21.44B,36.92B,,,
1998-03,1.032B,,1.032B,,,,,1.803B,2.835B,1.092B,3.433B,,3.433B,,50.47B,58.33B,61.17B,,,,,,1.85B,,2.262B,2.262B,2.262B,4.112B,,,11.97B,11.97B,,,7.259B,1.499B,,501.00M,,20.73B,25.89B,,7.00M,11.66B,2.67B,30.00M,20.48B,34.78B,,,
1997-12,,,,,,,,,,1.057B,,3.067B,3.067B,,,56.11B,56.11B,,,,,,,,200.00M,200.00M,200.00M,200.00M,2.067B,2.067B,,,,,,1.274B,,457.00M,,3.341B,24.20B,,,10.93B,,,,31.46B,,,
1997-09,520.90M,,520.90M,,,,,1.696B,2.217B,1.190B,3.087B,,3.087B,,41.50B,48.40B,50.61B,,,,,,1.848B,,1.832B,1.832B,1.832B,3.680B,,,8.852B,8.852B,,,6.992B,1.671B,,401.40M,,17.51B,22.20B,,7.00M,9.962B,2.347B,31.10M,15.72B,28.01B,,,
1997-06,1.051B,,1.051B,,,,,1.716B,2.767B,1.066B,3.072B,,3.072B,,41.11B,47.79B,50.55B,,,,,,1.881B,,1.884B,1.884B,1.884B,3.764B,,,9.063B,9.063B,,,6.841B,1.539B,,397.80M,,17.44B,22.14B,,7.00M,9.595B,2.274B,31.40M,16.17B,28.01B,,,
1997-03,1.113B,,1.113B,,,,,1.857B,2.971B,1.041B,3.093B,,3.093B,,34.74B,41.17B,44.14B,,,,,,1.714B,,1.848B,1.848B,1.848B,3.561B,,,7.194B,7.194B,,,6.368B,1.576B,,339.30M,,15.14B,19.61B,,7.00M,9.317B,2.274B,31.40M,12.62B,24.19B,,,
1996-12,,,,,,,,,,1.034B,,3.110B,3.110B,,,43.41B,43.41B,,,,,,,,130.80M,130.80M,130.80M,130.80M,1.814B,1.814B,,,,,,1.184B,,335.10M,,2.997B,19.65B,,,9.033B,,,,23.43B,,,
1996-09,810.70M,,810.70M,,,,,1.476B,2.287B,,2.276B,,2.276B,,32.11B,36.92B,39.21B,,,,,,1.639B,,1.435B,1.435B,1.435B,3.074B,,,6.155B,6.155B,,,6.237B,1.492B,,311.80M,,13.88B,17.71B,,7.00M,8.668B,1.567B,34.70M,10.98B,21.19B,,,
1996-06,866.40M,,866.40M,,,,,1.442B,2.308B,,2.260B,,2.260B,,30.26B,35.09B,37.39B,,,,,,1.463B,,1.500B,1.500B,1.500B,2.964B,,,5.772B,5.772B,,,6.094B,1.435B,,290.10M,,13.30B,17.09B,,7.00M,8.404B,1.567B,34.70M,10.07B,20.01B,,,
1996-03,1.439B,,1.439B,,,,,1.481B,2.920B,,2.275B,,2.275B,,27.37B,32.19B,35.11B,,,,,,1.440B,,1.437B,1.437B,1.437B,2.877B,,,5.566B,5.566B,,,6.031B,1.488B,,276.90M,,13.08B,16.71B,,6.90M,8.213B,1.002B,34.70M,8.931B,18.12B,,,
1995-12,2.744B,,2.744B,,,,,718.90M,3.463B,333.30M,,672.00M,672.00M,,,25.25B,28.71B,,1.039B,,,1.039B,1.039B,,,,,1.039B,1.062B,1.062B,,,,,,,,264.50M,,1.062B,11.71B,,,6.544B,,,,16.74B,,,
1995-09,1.90B,,1.90B,,,,,,1.90B,335.90M,,,,,,26.48B,28.38B,,520.10M,,,520.10M,520.10M,,,,,520.10M,806.60M,806.60M,,,,,,,,,,806.60M,12.20B,,,5.357B,,,,16.18B,,,
1995-06,1.003B,,1.003B,,,,,902.70M,1.906B,339.70M,,,,,,23.96B,25.87B,,418.50M,,,418.50M,418.50M,,,,,418.50M,898.40M,898.40M,,,,,,,,234.70M,,898.40M,10.93B,,,5.185B,,,,14.70B,,,
1995-03,168.50M,,168.50M,,,,,836.30M,1.005B,270.70M,,,,,,22.28B,23.29B,,327.40M,,,327.40M,327.40M,,,,,327.40M,768.10M,768.10M,,,,,,,,217.90M,,768.10M,10.10B,,,5.005B,,,,12.97B,,,
1994-12,289.90M,,289.90M,,,,,580.60M,870.50M,275.70M,,,,,,20.47B,21.34B,,397.40M,,,397.40M,397.40M,,,,,397.40M,810.70M,810.70M,,,,,,,,199.30M,,810.70M,9.264B,,,4.885B,,,,11.87B,,,
1994-09,185.80M,,185.80M,,,,,655.40M,841.20M,269.50M,,,,,,19.88B,20.73B,,832.20M,,,832.20M,832.20M,,,,,832.20M,804.30M,804.30M,3.093B,3.093B,,,,,,197.60M,,3.897B,9.120B,,,4.794B,,,,11.41B,,,
1994-06,296.50M,,296.50M,,,,,807.90M,1.104B,261.20M,,,,,,18.88B,19.99B,,798.80M,,,798.80M,798.80M,,,,,798.80M,900.80M,900.80M,,,,,,,,199.30M,,900.80M,9.001B,,,4.688B,,,,10.79B,,,
1994-03,1.318B,,1.318B,,,,,926.80M,2.245B,257.90M,,,,,,17.33B,19.58B,,683.50M,,,683.50M,683.50M,,,,,683.50M,904.10M,904.10M,,,,,,,,187.00M,,904.10M,8.947B,,,4.523B,,,,10.45B,,,
1993-12,1.838B,,1.838B,,,,,525.30M,2.363B,259.70M,,,,,,17.16B,19.52B,,738.90M,,,738.90M,738.90M,,,,,738.90M,972.40M,972.40M,,,,,,,,182.30M,,972.40M,8.910B,,,4.390B,,,,10.43B,,,
1993-09,1.384B,,1.384B,,,,,668.50M,2.052B,234.10M,,,,,,16.04B,18.09B,,592.30M,,,592.30M,592.30M,,,,,592.30M,854.50M,854.50M,2.741B,2.741B,,,,,,134.80M,,3.596B,8.600B,,,3.867B,,,,9.357B,,,
1993-06,1.050B,,1.050B,,,,,712.10M,1.762B,237.80M,,,,,,15.56B,17.32B,,557.30M,,,557.30M,557.30M,,,,,557.30M,814.40M,814.40M,2.568B,2.568B,,,,,,134.20M,,3.382B,8.094B,,,3.844B,,,,9.094B,,,
1992-12,1.192B,,1.192B,,,,,690.60M,1.883B,224.50M,,,,,,15.06B,16.94B,,895.60M,,,895.60M,895.60M,,,,,895.60M,1.300B,1.300B,,,,,,,,129.50M,,1.300B,7.919B,,,3.702B,,,,8.896B,,,
1992-09,831.40M,,831.40M,,,,,842.30M,1.674B,212.80M,,,,,,14.39B,16.06B,,597.30M,,,597.30M,597.30M,,,,,597.30M,1.273B,1.273B,2.156B,2.156B,,,,,,120.50M,,3.428B,7.798B,,,3.499B,,,,8.142B,,,
1992-06,542.70M,,542.70M,,,,,811.70M,1.354B,215.40M,,,,,,14.29B,15.65B,,673.80M,,,673.80M,673.80M,,,,,673.80M,1.289B,1.289B,2.112B,2.112B,,,,,,116.50M,,3.401B,7.522B,,,3.460B,,,,8.011B,,,
1992-03,612.00M,,612.00M,,,,,866.90M,1.479B,217.20M,,,,,,13.42B,14.90B,,577.40M,,,577.40M,577.40M,,,,,577.40M,1.118B,1.118B,2.014B,2.014B,,,,,,114.80M,,3.133B,7.183B,,,3.362B,,,,7.605B,,,
1991-12,762.00M,,762.00M,904.50M,,,,904.50M,1.666B,222.10M,,,,,,12.80B,14.46B,,779.10M,,,779.10M,779.10M,,,,,779.10M,1.255B,1.255B,,,286.90M,,2.849B,152.50M,,117.20M,,4.544B,6.965B,,,3.295B,,,,7.380B,,,
1990-12,247.00M,,247.00M,,,,,705.60M,952.60M,209.90M,,,,,,9.718B,10.67B,,475.90M,,,475.90M,475.90M,,,,,475.90M,1.239B,1.239B,1.112B,1.112B,,,,,,93.20M,,2.351B,5.290B,,,2.855B,,,,5.288B,,,
1990-09,178.60M,,178.60M,,,,,509.60M,688.20M,211.40M,,,,,,8.577B,9.266B,,417.70M,,,417.70M,417.70M,,1.214B,1.214B,1.214B,1.632B,,,,,,,,,,88.80M,,,4.370B,,,2.730B,,,,4.806B,,,
1990-06,240.40M,,240.40M,,,,,552.00M,792.40M,208.50M,,,,,,9.315B,10.11B,,376.80M,,,376.80M,376.80M,,,,,376.80M,1.116B,1.116B,,,,,,,,88.60M,,1.116B,4.609B,,,2.639B,,,,5.41B,,,
1990-03,118.60M,,118.60M,,,,,545.30M,663.90M,209.10M,,,,,,8.628B,9.292B,,376.60M,,,376.60M,376.60M,,,,,376.60M,1.107B,1.107B,,,,,,,,84.50M,,1.107B,4.407B,,,2.545B,,,,4.801B,,,
