,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2001-03,606.00M,,,,,,,127.00M,,,,,,,733.00M,,,,-3.736B,3.194B,-197.00M,-739.00M,,160.00M,696.00M,856.00M,,,-14.00M,842.00M,,5.604B,836.00M,,6.44B,,328.00M,-168.00M,,,,,AOR,
2000-12,1.084B,,,,,,,361.00M,,,,,,,1.064B,,,,-2.675B,22.35B,-19.69B,269.00M,,-261.00M,,563.00M,,,35.00M,598.00M,,3.673B,1.931B,,5.604B,,-1.661B,1.40B,,,,,AOR,Restated
2000-09,797.00M,,,,,,,143.00M,,,,,,,940.00M,,,,-742.00M,-5.654B,6.141B,-255.00M,,-182.00M,,-182.00M,,,-43.00M,-225.00M,,3.213B,460.00M,,3.673B,,1.436B,-1.618B,,,,,AOR,
2000-06,640.00M,,,,,,,27.00M,,,,,,,667.00M,,,,0.00,-7.977B,7.065B,-912.00M,,150.00M,,150.00M,,,-116.00M,34.00M,,3.424B,-211.00M,,3.213B,,549.00M,-399.00M,,,,,AOR,
2000-03,807.00M,,,,,,,-531.00M,,,,,,,276.00M,,,,-381.00M,-6.894B,5.902B,-1.373B,,14.00M,,14.00M,,,49.00M,63.00M,,4.458B,-1.034B,,3.424B,,477.00M,-463.00M,,,,,AOR,
1999-12,,,,,,,,,,,,,,,872.00M,,,,,-870.00M,20.00M,-1.997B,,86.00M,,115.00M,,,-96.00M,19.00M,,5.564B,-1.106B,,4.458B,,-227.00M,313.00M,,-2.175B,-462.00M,,AOR,Restated
1999-09,,,,,,,,,,,,,,,2.388B,,,,,-837.00M,-230.00M,-1.052B,,-125.00M,,-125.00M,,,-65.00M,-190.00M,,4.418B,1.146B,,5.564B,,607.00M,-732.00M,,418.00M,325.00M,,,
1999-06,,,,,,,,,,,,,,,-895.00M,,,,,-9.965B,-107.00M,-10.85B,,444.00M,,444.00M,,,216.00M,660.00M,,15.51B,-11.09B,,4.418B,,817.00M,-373.00M,,783.00M,62.00M,,,
1999-03,,,,,,,,,,,,,,,-165.00M,,,,,1.325B,-100.00M,1.304B,,70.00M,,70.00M,,,-192.00M,-122.00M,,14.49B,1.017B,,15.51B,,657.00M,-587.00M,,974.00M,75.00M,,,
1998-12,,,,,,,,,,,,,,,643.00M,,,,-4.422B,1.184B,9.842B,6.786B,,156.00M,,156.00M,,,0.00,156.00M,,6.904B,7.585B,,14.49B,,442.00M,-286.00M,,-1.437B,-102.00M,,AOR,Restated
1998-09,,,,,,,,,,,,,,,145.00M,,,,-339.00M,168.00M,-98.00M,-366.00M,,-18.00M,,-18.00M,,,3.00M,-15.00M,,7.14B,-236.00M,,6.904B,,360.00M,-378.00M,,605.00M,42.00M,,,
1998-06,,,,,,,,,,,,,,,-100.00M,,,,0.00,6.225B,-59.00M,6.113B,,62.00M,,62.00M,,,,62.00M,,1.065B,6.075B,,7.14B,,348.00M,-286.00M,,693.00M,30.00M,,,
1998-03,,,,,,,,,,,,,,,-31.00M,,,,-210.00M,467.00M,-45.00M,180.00M,,-142.00M,,-142.00M,,,,-142.00M,,1.058B,7.00M,,1.065B,,309.00M,-451.00M,,139.00M,30.00M,,,
1997-12,,,,,,,,,,,,,,,480.00M,,,,775.00M,41.00M,-250.00M,-71.00M,,112.00M,,112.00M,,,0.00,112.00M,,537.00M,521.00M,,1.058B,,377.00M,-265.00M,,-338.00M,-98.00M,,,
1997-09,,,,,,,,,,,,,,,688.00M,,,,0.00,-1.021B,-65.00M,-1.14B,,-77.00M,,-77.00M,,,-1.00M,-78.00M,,1.067B,-530.00M,,537.00M,,295.00M,-372.00M,,142.00M,38.00M,,,
1997-06,,,,,,,,,,,,,,,677.00M,,,,0.00,-645.00M,-46.00M,-724.00M,,-16.00M,,-16.00M,,,,-16.00M,,1.13B,-63.00M,,1.067B,,272.00M,-288.00M,,178.00M,26.00M,,,
1997-03,,,,,,,,,,,,,,,490.00M,,,,-775.00M,266.00M,-36.00M,-596.00M,,-114.00M,,-114.00M,,,,-114.00M,,1.35B,-220.00M,,1.13B,,287.00M,-401.00M,,18.00M,34.00M,,,
1996-12,,,,,,,,,,,,,,,417.60M,,,,2.025B,-316.00M,-219.80M,-347.50M,,461.60M,,461.60M,,0.00,-0.10M,461.50M,,818.90M,531.60M,,1.35B,,773.30M,-311.70M,,-745.60M,-103.00M,,,
1996-09,,,,,,,,,,,,,,,496.30M,,,,-78.70M,-300.50M,-6.60M,-381.60M,,-185.20M,,-185.20M,,0.00,-1.70M,-186.90M,,891.10M,-72.20M,,818.90M,,389.80M,-575.00M,,221.00M,40.20M,,,
1996-06,,,,,,,,,,,,,,,-1.60M,,,,0.00,-1.107B,-10.40M,-1.146B,,15.90M,,15.90M,,565.00M,-1.00M,579.90M,,1.459B,-568.00M,,891.10M,,327.30M,-311.40M,,469.90M,24.90M,,,
1996-03,,,,,,,,,,,,,,,347.70M,,,,-1.946B,435.20M,-8.20M,-1.633B,,-0.30M,,-0.30M,,,-0.20M,-0.50M,,2.744B,-1.285B,,1.459B,,398.60M,-398.90M,,54.70M,37.90M,,,
1995-12,,,,,,,,,,,,,,,298.00M,,,,,377.60M,-0.90M,382.00M,,165.20M,,165.20M,,,-0.70M,164.50M,,1.90B,844.50M,,2.744B,,441.20M,-276.00M,,-214.60M,-65.00M,,,
1995-09,,,,,,,,,,,,,,,317.60M,,,,0.00,500.00M,-2.30M,478.00M,,101.70M,,101.70M,,0.00,-0.50M,101.20M,,1.003B,896.80M,,1.90B,,468.80M,-367.10M,,69.10M,25.20M,,,
1995-06,,,,,,,,,,,,,,,197.50M,,,,0.00,694.10M,-7.50M,699.90M,,-62.90M,,-62.90M,,0.00,0.20M,-62.70M,,168.50M,834.70M,,1.003B,,302.00M,-364.90M,,110.10M,17.10M,,,
1995-03,,,,,,,,,,,,,,,314.80M,,,,0.00,-328.50M,-0.70M,-346.30M,,-89.40M,,-89.40M,,,-0.50M,-89.90M,,289.90M,-121.40M,,168.50M,,286.40M,-375.80M,,35.40M,22.70M,,,
1994-12,149.60M,,,,,,,,,,,-21.90M,,138.80M,465.30M,,,,,,,-262.20M,,-99.00M,,-99.00M,,,0.00,-99.00M,,,104.00M,,,,295.60M,-394.60M,,,,,,
1994-09,105.90M,,,,,,,,,,,158.30M,,158.30M,264.20M,,,,,,,-239.40M,,-135.30M,,-135.30M,,,-0.20M,-135.50M,,,-110.70M,,,,336.60M,-471.90M,,,,,,
1994-06,164.60M,,,,,,,,,,,30.00M,,30.00M,194.60M,,,,,,,-1.194B,,-22.00M,,-22.00M,,,-0.50M,-22.50M,,,-1.022B,,,,375.60M,-397.60M,,,,,,
1994-03,132.90M,,,,,,,,,,,-127.90M,,-127.90M,5.00M,,,,,,,-452.80M,,-88.00M,,-88.00M,,,-0.20M,-88.20M,,1.855B,-536.10M,,,,426.10M,-514.10M,,,,,,
1992-12,203.50M,,,,,,,-658.50M,,,,,,,197.90M,,,,,,,126.50M,,45.20M,,45.20M,,,-8.70M,36.50M,,,361.00M,,,,243.60M,-198.40M,,,,,,
1992-09,38.30M,,,,,,,314.60M,,,,,,,352.90M,,,,,,,-30.30M,,-22.30M,,-22.30M,,,-11.60M,-33.90M,,,288.70M,,,,259.60M,-281.90M,,,,,,
1992-06,98.10M,,,,,,,27.30M,,,,,,,125.40M,,,,,,,-350.10M,,164.50M,,164.50M,,,-9.20M,155.30M,,,-69.30M,,,,266.50M,-102.00M,,,,,,
1992-03,67.40M,,,,,,,253.60M,,,,,,,321.00M,,,,,,,-319.30M,,-142.50M,,-142.50M,,,-9.10M,-151.60M,,762.00M,-150.00M,,,,230.70M,-373.20M,,,,,,
