,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-06,1.194B,,1.194B,1.444B,1.444B,179.00M,137.00M,562.00M,,878.00M,410.00M,,870.00M,,4.796B,,,,,,,3.186B,-1.467B,1.719B,12.42B,6.981B,19.41B,,,,272.00M,21.40B,26.19B,213.00M,,213.00M,2.021B,2.234B,,,,330.00M,330.00M,,,186.00M,2.75B,,5.92B,,5.92B,2.165B,,2.165B,,,,1.944B,10.03B,12.78B,15.00M,-2.588B,16.01B,,,,,,,13.41B
2009-03,897.00M,,897.00M,1.369B,1.369B,172.00M,143.00M,537.00M,,852.00M,592.00M,,864.00M,,4.574B,,,,,,,3.113B,-1.405B,1.708B,12.42B,7.114B,19.54B,,,,284.00M,21.53B,26.10B,254.00M,,254.00M,2.014B,2.268B,,,,5.00M,5.00M,,,158.00M,2.431B,,6.242B,,6.242B,2.245B,,2.245B,,,,1.911B,10.40B,12.83B,15.00M,-2.745B,15.99B,,,,,,,13.28B
2008-12,1.641B,,1.641B,1.402B,1.402B,163.00M,104.00M,586.00M,,853.00M,645.00M,,911.00M,,5.452B,0.0,118.00M,936.00M,1.941B,,271.00M,3.266B,-1.538B,1.728B,12.42B,7.244B,19.66B,,,,294.00M,21.69B,27.14B,239.00M,,239.00M,2.612B,2.851B,,,,2.00M,2.00M,,,380.00M,3.233B,,6.743B,,6.743B,2.262B,,2.262B,,,,1.727B,10.73B,13.96B,15.00M,-2.732B,15.94B,,-40.00M,,-13.00M,,-53.00M,13.17B
2008-09,1.734B,,1.734B,1.355B,1.355B,150.00M,138.00M,566.00M,,854.00M,995.00M,,349.00M,,5.287B,,,,,,,3.09B,-1.374B,1.716B,15.12B,2.416B,17.54B,,,,5.282B,24.54B,29.83B,,,,2.941B,2.941B,,227.00M,7.00M,234.00M,234.00M,,,363.00M,3.538B,,6.767B,,6.767B,2.324B,,2.324B,,,,1.507B,10.60B,14.14B,15.00M,-337.00M,15.94B,,,,,,69.00M,15.69B
2008-06,1.616B,,1.616B,1.416B,1.416B,138.00M,144.00M,530.00M,,812.00M,,,931.00M,393.00M,5.168B,,,,,,,3.091B,-1.353B,1.738B,15.07B,7.693B,22.76B,,,,235.00M,24.73B,29.90B,222.00M,,222.00M,2.199B,2.421B,,,,271.00M,271.00M,,,343.00M,3.035B,,7.014B,,7.014B,2.252B,,2.252B,,,,1.965B,11.23B,14.27B,15.00M,-275.00M,15.89B,,,,,,3.00M,15.64B
2008-03,1.739B,,1.739B,1.496B,1.496B,135.00M,142.00M,504.00M,,781.00M,352.00M,,873.00M,,5.241B,,,,,,,3.026B,-1.29B,1.736B,15.09B,7.811B,22.90B,,,,464.00M,25.10B,30.35B,222.00M,,222.00M,2.20B,2.422B,,,,257.00M,257.00M,,,714.00M,3.393B,,7.311B,,7.311B,2.23B,,2.23B,,,,2.021B,11.56B,14.96B,15.00M,-373.00M,15.83B,,,,,,-81.00M,15.39B
2007-12,1.452B,,1.452B,1.502B,1.502B,139.00M,132.00M,454.00M,,725.00M,464.00M,,679.00M,1.119B,5.941B,0.0,116.00M,801.00M,1.671B,,304.00M,2.892B,-1.177B,1.715B,15.10B,7.964B,23.07B,317.00M,,,157.00M,25.26B,31.20B,139.00M,122.00M,261.00M,2.541B,2.802B,,,,256.00M,256.00M,,,192.00M,3.25B,,7.933B,,7.933B,2.284B,,2.284B,,,,2.633B,12.85B,16.10B,15.00M,-693.00M,15.79B,,-45.00M,,54.00M,,9.00M,15.10B
2007-09,1.237B,,1.237B,1.487B,1.487B,158.00M,161.00M,495.00M,,814.00M,316.00M,,637.00M,196.00M,4.687B,,,,,,,2.94B,-1.176B,1.764B,15.68B,8.592B,24.27B,,,,611.00M,26.65B,31.33B,2.62B,,2.62B,,2.62B,,,,254.00M,254.00M,,,502.00M,3.376B,,7.903B,,7.903B,2.424B,,2.424B,,,,2.114B,12.44B,15.82B,15.00M,-239.00M,15.73B,,,,,,11.00M,15.52B
2007-06,1.514B,,1.514B,1.508B,1.508B,171.00M,180.00M,486.00M,,837.00M,470.00M,,607.00M,,4.936B,,,,,,,2.91B,-1.131B,1.779B,,23.82B,23.82B,,,,734.00M,26.33B,31.26B,1.888B,,1.888B,,1.888B,,,,654.00M,654.00M,,,427.00M,2.969B,,8.25B,,8.25B,2.683B,,2.683B,,,,1.561B,12.49B,15.46B,15.00M,33.00M,15.67B,,,,,,87.00M,15.80B
2007-03,1.34B,,1.34B,1.435B,1.435B,164.00M,158.00M,471.00M,,793.00M,435.00M,,581.00M,,4.584B,,,,,,,2.739B,-991.00M,1.748B,,23.96B,23.96B,,,,777.00M,26.48B,31.07B,1.925B,,1.925B,,1.925B,,,,7.00M,7.00M,,,438.00M,2.37B,,8.898B,,8.898B,2.645B,,2.645B,,,,1.607B,13.15B,15.52B,15.00M,-80.00M,15.68B,115.00M,,,,,50.00M,15.55B
2006-12,1.668B,,1.668B,1.398B,1.398B,149.00M,141.00M,443.00M,,733.00M,475.00M,,583.00M,333.00M,5.19B,,,,,,,2.678B,-963.00M,1.715B,,23.36B,23.36B,,,,831.00M,25.91B,31.10B,2.056B,,2.056B,,2.056B,,,,7.00M,7.00M,,,608.00M,2.671B,,8.895B,,8.895B,2.743B,,2.743B,,,,1.489B,13.13B,15.80B,15.00M,-174.00M,15.73B,334.00M,,,,,57.00M,15.30B
2006-09,1.541B,,1.541B,1.46B,1.46B,144.00M,176.00M,439.00M,,759.00M,,,536.00M,453.00M,4.749B,,,,,,,2.622B,-950.00M,1.672B,,23.54B,23.54B,,,,788.00M,26.00B,30.75B,1.815B,,1.815B,,1.815B,,,,5.00M,5.00M,,,630.00M,2.45B,,8.893B,,8.893B,3.02B,,3.02B,,,,1.373B,13.29B,15.74B,15.00M,,,374.00M,,,,,15.38B,15.02B
2006-06,1.157B,,1.157B,1.519B,1.519B,143.00M,164.00M,490.00M,,797.00M,419.00M,,513.00M,,4.405B,,,,,,,2.588B,-932.00M,1.656B,,23.75B,23.75B,,,,802.00M,26.21B,30.61B,1.509B,,1.509B,,1.509B,,,,6.00M,6.00M,,,658.00M,2.173B,,8.892B,,8.892B,3.092B,,3.092B,,,,1.568B,13.55B,15.72B,15.00M,,,455.00M,,,,,15.33B,14.89B
2006-03,1.083B,,1.083B,978.00M,978.00M,70.00M,65.00M,272.00M,,407.00M,217.00M,,188.00M,,2.873B,,,,,,,1.907B,-883.00M,1.024B,,3.741B,3.741B,,,,1.471B,6.236B,9.109B,1.04B,,1.04B,,1.04B,,,,806.00M,806.00M,,,189.00M,2.035B,,1.836B,,1.836B,259.00M,,259.00M,,,,308.00M,2.403B,4.438B,8.00M,,,673.00M,,,,,5.336B,4.671B
2005-12,689.00M,159.00M,848.00M,932.00M,932.00M,68.00M,64.00M,286.00M,,418.00M,281.00M,,152.00M,,2.631B,0.0,76.00M,625.00M,1.152B,,,1.853B,-842.00M,1.011B,,3.735B,3.735B,,,,819.00M,5.565B,8.196B,105.00M,,105.00M,1.124B,1.229B,,,,156.00M,156.00M,,,94.00M,1.479B,,1.864B,,1.864B,262.00M,,262.00M,,,,309.00M,2.435B,3.914B,8.00M,3.41B,1.658B,717.00M,,,-71.00M,-6.00M,-77.00M,4.282B
2005-09,745.00M,172.00M,917.00M,951.00M,951.00M,75.00M,73.00M,281.00M,-1.00M,428.00M,,,330.00M,135.00M,2.761B,,,,,,,1.806B,-820.00M,986.00M,,3.532B,3.532B,,,,797.00M,5.315B,8.076B,981.00M,,981.00M,,981.00M,,,,84.00M,84.00M,,,77.00M,1.142B,,2.43B,,2.43B,354.00M,,354.00M,,,,249.00M,3.033B,4.175B,8.00M,,,744.00M,,,,,4.637B,3.901B
2005-06,698.00M,185.00M,883.00M,976.00M,976.00M,73.00M,84.00M,253.00M,,410.00M,,,334.00M,112.00M,2.715B,,,,,,,1.756B,-799.00M,957.00M,,3.568B,3.568B,,,,843.00M,5.368B,8.083B,958.00M,,958.00M,,958.00M,,,,538.00M,538.00M,,,260.00M,1.756B,,1.518B,,1.518B,363.00M,,363.00M,,,,229.00M,2.11B,3.866B,8.00M,,,726.00M,,,,,4.935B,4.217B
2005-03,827.00M,129.00M,956.00M,953.00M,953.00M,67.00M,71.00M,249.00M,,387.00M,,,,461.00M,2.757B,,,,,,,1.718B,-794.00M,924.00M,,3.373B,3.373B,,,,765.00M,5.062B,7.819B,,,,,,,,,430.00M,430.00M,,,1.354B,1.784B,,1.115B,,1.115B,,,,,,,530.00M,1.645B,3.429B,,,,,,,,,4.39B,4.39B
2004-12,1.296B,344.00M,1.64B,900.00M,900.00M,57.00M,65.00M,238.00M,,360.00M,148.00M,,241.00M,,3.289B,0.0,79.00M,588.00M,978.00M,,,1.645B,-775.00M,870.00M,,3.34B,3.34B,,,,671.00M,4.881B,8.17B,108.00M,,108.00M,902.00M,1.01B,,,,1.228B,1.228B,,,367.00M,2.605B,,1.139B,,1.139B,259.00M,,259.00M,,,,142.00M,1.54B,4.145B,8.00M,,,320.00M,,,,,4.337B,4.025B
2004-09,1.542B,,1.542B,846.00M,846.00M,65.00M,51.00M,198.00M,,314.00M,,,,321.00M,3.023B,,,,,,,1.551B,-712.00M,839.00M,,3.327B,3.327B,,,,794.00M,4.96B,7.983B,934.00M,,934.00M,,934.00M,,512.00M,244.00M,756.00M,756.00M,,,181.00M,1.871B,,1.74B,,1.74B,258.00M,,258.00M,,,,109.00M,2.107B,3.978B,8.00M,2.494B,1.558B,,,,,,-55.00M,4.005B
2004-06,1.263B,,1.263B,814.00M,814.00M,59.00M,45.00M,175.00M,,279.00M,,,,318.00M,2.674B,,,,,,,1.483B,-669.00M,814.00M,,3.333B,3.333B,,,,611.00M,4.758B,7.432B,696.00M,,696.00M,,696.00M,,513.00M,279.00M,792.00M,792.00M,,,98.00M,1.586B,,1.762B,,1.762B,268.00M,,268.00M,,,,112.00M,2.142B,3.728B,8.00M,2.235B,1.505B,,,,,,-44.00M,3.704B
2004-03,615.00M,,615.00M,675.00M,675.00M,43.00M,52.00M,207.00M,,302.00M,,,,397.00M,1.989B,,,,,,,1.403B,-616.00M,787.00M,,2.465B,2.465B,,,,603.00M,3.855B,5.844B,570.00M,,570.00M,,570.00M,,,,1.064B,1.064B,,,109.00M,1.743B,,611.00M,,611.00M,,,,,,,271.00M,882.00M,2.625B,8.00M,1.928B,1.355B,72.00M,,,,,,3.219B
2003-12,671.00M,,671.00M,542.00M,542.00M,43.00M,63.00M,175.00M,,281.00M,141.00M,,245.00M,,1.88B,0.0,69.00M,470.00M,798.00M,,,1.337B,-593.00M,744.00M,,2.461B,2.461B,,,,614.00M,3.819B,5.699B,78.00M,,78.00M,597.00M,675.00M,,,,553.00M,553.00M,,,165.00M,1.393B,,1.172B,,1.172B,151.00M,,151.00M,,,,121.00M,1.444B,2.837B,8.00M,1.789B,1.225B,111.00M,,,-50.00M,1.00M,-49.00M,2.862B
2003-09,537.00M,,537.00M,508.00M,508.00M,38.00M,43.00M,166.00M,,247.00M,,,,218.00M,1.51B,,,,,,,1.251B,-559.00M,692.00M,1.267B,1.204B,2.471B,,,,530.00M,3.693B,5.203B,73.00M,,73.00M,551.00M,624.00M,,,,663.00M,663.00M,,,153.00M,1.44B,,977.00M,,977.00M,,,,,,,211.00M,1.188B,2.628B,8.00M,1.725B,1.238B,332.00M,,,,,-64.00M,2.575B
2003-06,410.00M,,410.00M,478.00M,478.00M,39.00M,45.00M,155.00M,,239.00M,,,,248.00M,1.375B,,,,,,,1.212B,-534.00M,678.00M,1.222B,1.218B,2.44B,,,,428.00M,3.546B,4.921B,66.00M,,66.00M,498.00M,564.00M,,,,351.00M,351.00M,,,192.00M,1.107B,,974.00M,,974.00M,,,,,,,188.00M,1.162B,2.269B,4.00M,1.605B,1.271B,140.00M,,,,,-88.00M,2.652B
2003-03,294.00M,,294.00M,452.00M,452.00M,43.00M,46.00M,152.00M,,241.00M,,,,253.00M,1.24B,,,,,,,1.16B,-504.00M,656.00M,1.232B,1.205B,2.437B,,,,279.00M,3.372B,4.612B,71.00M,,71.00M,446.00M,517.00M,,,,425.00M,425.00M,,,150.00M,1.092B,,826.00M,,826.00M,,,,,,,219.00M,1.045B,2.137B,4.00M,1.491B,1.293B,195.00M,,,,,-118.00M,2.475B
2002-12,277.00M,,277.00M,435.00M,435.00M,50.00M,48.00M,145.00M,,243.00M,85.00M,,168.00M,,1.208B,0.0,60.00M,412.00M,645.00M,,,1.117B,-481.00M,636.00M,1.168B,1.199B,2.367B,,,,239.00M,3.242B,4.45B,66.00M,,66.00M,639.00M,705.00M,,,,88.00M,88.00M,,,130.00M,923.00M,,847.00M,,847.00M,100.00M,,100.00M,,,,113.00M,1.06B,1.983B,4.00M,1.394B,1.25B,54.00M,,,-119.00M,-8.00M,-127.00M,2.467B
2002-09,259.00M,,259.00M,399.00M,399.00M,52.00M,51.00M,154.00M,,257.00M,,,,259.00M,1.174B,,,,,,,1.112B,-485.00M,627.00M,971.00M,1.202B,2.173B,,,,293.00M,3.093B,4.267B,528.00M,,528.00M,,528.00M,,,,268.00M,268.00M,,,238.00M,1.034B,,840.00M,,840.00M,,,,,,,107.00M,947.00M,1.981B,4.00M,1.29B,1.222B,114.00M,,,,,-116.00M,2.286B
2002-06,144.00M,,144.00M,406.00M,406.00M,62.00M,55.00M,166.00M,,283.00M,,,,241.00M,1.074B,,,,,,,1.111B,-484.00M,627.00M,968.00M,1.219B,2.187B,,,,229.00M,3.043B,4.117B,463.00M,,463.00M,,463.00M,,,,336.00M,336.00M,,,260.00M,1.059B,,835.00M,,835.00M,,,,,,,126.00M,961.00M,2.02B,4.00M,1.133B,1.222B,137.00M,,,,,-125.00M,2.097B
2002-03,201.00M,,201.00M,379.00M,379.00M,72.00M,65.00M,155.00M,,292.00M,,,,251.00M,1.123B,,,,,,,1.079B,-471.00M,608.00M,905.00M,1.126B,2.031B,,,,253.00M,2.892B,4.015B,406.00M,,406.00M,,406.00M,,,,334.00M,334.00M,,,149.00M,889.00M,,909.00M,,909.00M,,,,,,,115.00M,1.024B,1.913B,4.00M,1.113B,1.223B,158.00M,,,,,-80.00M,2.102B
2001-12,180.00M,5.00M,185.00M,370.00M,370.00M,88.00M,69.00M,146.00M,,303.00M,74.00M,,174.00M,,1.106B,0.0,59.00M,392.00M,594.00M,,,1.045B,-453.00M,592.00M,916.00M,1.148B,2.064B,,,,212.00M,2.868B,3.974B,54.00M,,54.00M,421.00M,475.00M,,,,231.00M,231.00M,,,125.00M,831.00M,,973.00M,,973.00M,43.00M,,43.00M,,,,112.00M,1.128B,1.959B,4.00M,1.031B,1.225B,173.00M,,,-131.00M,59.00M,-72.00M,2.015B
2001-09,99.00M,,99.00M,391.00M,391.00M,98.00M,72.00M,154.00M,,324.00M,,,,213.00M,1.027B,,,,,,,1.059B,-451.00M,608.00M,860.00M,1.10B,1.96B,,,,169.00M,2.737B,3.764B,478.00M,,478.00M,,478.00M,,,,348.00M,348.00M,,,115.00M,941.00M,,859.00M,,859.00M,,,,,,,100.00M,959.00M,1.90B,4.00M,969.00M,1.216B,210.00M,,,,,-115.00M,1.864B
2001-06,55.00M,28.00M,83.00M,377.00M,377.00M,,,,,319.00M,,,,219.00M,998.00M,,,,,,,1.004B,-420.00M,584.00M,825.00M,1.058B,1.883B,,,,125.00M,2.592B,3.59B,469.00M,,469.00M,,469.00M,,,,556.00M,556.00M,,,104.00M,1.129B,,568.00M,,568.00M,,,,,,,96.00M,664.00M,1.793B,4.00M,920.00M,1.217B,231.00M,,,,,-113.00M,1.797B
2001-03,84.00M,,84.00M,370.00M,370.00M,98.00M,63.00M,200.00M,,361.00M,,,,246.00M,1.061B,,,,,,,958.00M,-393.00M,565.00M,816.00M,873.00M,1.689B,,,,210.00M,2.464B,3.525B,420.00M,,420.00M,,420.00M,,,,340.00M,340.00M,,,139.00M,899.00M,,568.00M,,568.00M,,,,,,,97.00M,665.00M,1.564B,4.00M,1.10B,1.215B,250.00M,,,,,-108.00M,1.961B
2000-12,54.00M,6.00M,60.00M,,361.00M,,,,,354.00M,,,,217.00M,992.00M,,,,,,,942.00M,-375.00M,567.00M,,1.671B,1.671B,,,,197.00M,2.435B,3.427B,67.00M,,67.00M,,67.00M,,,,260.00M,260.00M,,,492.00M,819.00M,,574.00M,,574.00M,,,,,,,99.00M,673.00M,1.492B,4.00M,1.116B,1.21B,282.00M,,,-142.00M,29.00M,-113.00M,1.935B
2000-09,45.00M,5.00M,50.00M,,395.00M,,,,,327.00M,,,,163.00M,935.00M,,,,,,,939.00M,-370.00M,569.00M,,1.694B,1.694B,,,,215.00M,2.478B,3.413B,65.00M,,65.00M,,65.00M,,,,294.00M,294.00M,,,444.00M,803.00M,,566.00M,,566.00M,,,,,,,110.00M,676.00M,1.479B,4.00M,1.058B,1.21B,197.00M,,,,,-141.00M,1.934B
2000-06,44.00M,,44.00M,,417.00M,,,,,334.00M,,,,164.00M,959.00M,,,,,,,938.00M,-352.00M,586.00M,,1.713B,1.713B,,,,225.00M,2.524B,3.483B,361.00M,,361.00M,,361.00M,,,,443.00M,443.00M,,,128.00M,932.00M,,567.00M,,567.00M,,,,,,,116.00M,683.00M,1.615B,4.00M,976.00M,1.212B,182.00M,,,,,-142.00M,1.868B
2000-03,56.00M,23.00M,79.00M,,423.00M,,,,,355.00M,,,,158.00M,1.015B,,,,,,,945.00M,-352.00M,593.00M,,1.709B,1.709B,,,,197.00M,2.499B,3.514B,343.00M,,343.00M,,343.00M,,,,612.00M,612.00M,,,89.00M,1.044B,,570.00M,,570.00M,,,,,,,120.00M,690.00M,1.734B,4.00M,858.00M,1.211B,149.00M,,,,,-144.00M,1.78B
1999-12,64.00M,14.00M,78.00M,,445.00M,,,,,376.00M,,,,156.00M,1.055B,,,,,,,940.00M,-336.00M,604.00M,,1.726B,1.726B,,,,187.00M,2.517B,3.572B,92.00M,,92.00M,,92.00M,,,,600.00M,600.00M,,,363.00M,1.055B,,688.00M,,688.00M,,,,,,,105.00M,793.00M,1.848B,4.00M,752.00M,1.21B,126.00M,,,-123.00M,7.00M,-116.00M,1.724B
1999-09,72.00M,,72.00M,,436.00M,,,,,414.00M,,,,173.00M,1.095B,,,,,,,976.00M,-344.00M,632.00M,,1.749B,1.749B,,,,163.00M,2.544B,3.639B,405.00M,,405.00M,,405.00M,,,,559.00M,559.00M,,,78.00M,1.042B,,761.00M,,761.00M,,,,,,,83.00M,844.00M,1.886B,4.00M,645.00M,1.207B,,,,-107.00M,4.00M,-103.00M,1.753B
1999-06,69.00M,5.00M,74.00M,,491.00M,,,,,456.00M,,,,171.00M,1.192B,,,,,,,892.00M,-265.00M,627.00M,,1.774B,1.774B,,,,153.00M,2.554B,3.746B,358.00M,,358.00M,,358.00M,,,,503.00M,503.00M,,,84.00M,945.00M,,1.06B,,1.06B,,,,,,,83.00M,1.143B,2.088B,4.00M,590.00M,1.181B,,,,-118.00M,1.00M,-117.00M,1.658B
1999-03,110.00M,4.00M,114.00M,,547.00M,,,,,463.00M,,,,179.00M,1.303B,,,,,,,931.00M,-283.00M,648.00M,,1.786B,1.786B,,,,139.00M,2.573B,3.876B,338.00M,,338.00M,,338.00M,,,,1.027B,1.027B,,,242.00M,1.607B,,1.26B,,1.26B,,,,,,,88.00M,1.348B,2.955B,,481.00M,,,,,,,,921.00M
1998-12,70.00M,5.00M,75.00M,,538.00M,,,,,462.00M,,,,192.00M,1.267B,,,,,,,945.00M,-265.00M,680.00M,,1.814B,1.814B,,,,132.00M,2.626B,3.893B,354.00M,,354.00M,,354.00M,,,,1.027B,1.027B,,,239.00M,1.62B,,1.364B,,1.364B,,,,,,,88.00M,1.452B,3.072B,,381.00M,,,,,,,,821.00M
1998-09,194.90M,,194.90M,,494.10M,,,,,491.80M,,,,191.40M,1.372B,,,,,,,924.50M,-253.80M,670.70M,,1.793B,1.793B,,,,158.30M,2.622B,3.994B,70.80M,,70.80M,,70.80M,,,,2.084B,2.084B,,,482.50M,2.637B,,553.90M,,553.90M,,,,,,,77.70M,631.60M,3.269B,,312.80M,,,,,,,,725.10M
1998-06,148.60M,,148.60M,,440.10M,,,,,459.90M,,,,213.10M,1.262B,,,,,,,796.60M,-234.10M,562.50M,,319.70M,319.70M,,,,85.30M,967.50M,2.229B,67.10M,,67.10M,,67.10M,,,,27.10M,27.10M,,,271.00M,365.20M,,551.20M,,551.20M,58.00M,,58.00M,,,,72.50M,681.70M,1.047B,,816.50M,,,,,,,,1.182B
1998-03,142.60M,,142.60M,,423.20M,,,,,432.40M,,,,200.90M,1.199B,,,,,,,750.10M,-223.50M,526.60M,,312.10M,312.10M,,,,87.30M,926.00M,2.125B,66.50M,,66.50M,,66.50M,,,,17.70M,17.70M,,,296.00M,380.20M,,554.90M,,554.90M,58.00M,,58.00M,,,,70.20M,683.10M,1.063B,,760.40M,,,,,,,,1.062B
