,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,45.37M,20.38M,65.75M,69.39M,,0.63M,,70.02M,,,,24.34M,6.236M,78.87M,9.033M,,254.25M,0.00,22.06M,,167.47M,,1.881M,83.36M,274.78M,-166.35M,108.43M,17.68M,3.672M,21.35M,1.258M,1.742M,67.51M,9.26M,209.54M,463.79M,,56.91M,,56.91M,61.88M,118.78M,,,,30.77M,,30.77M,,149.55M,,1.725B,,1.725B,,,14.05M,,1.739B,1.888B,,0.57M,-1.422B,1.853M,-5.341M,-1.425B,,AOR,Restated
2008-09,20.13M,,20.13M,69.44M,0.622M,,,70.06M,,,,25.24M,10.66M,71.29M,7.977M,19.78M,225.12M,0.00,22.06M,83.95M,170.00M,,1.852M,,277.87M,-165.63M,112.24M,18.21M,3.003M,21.21M,,,41.67M,40.61M,215.72M,440.85M,,53.59M,,53.59M,56.47M,110.06M,,,,0.331M,,0.331M,30.34M,140.74M,,1.705B,,1.705B,,,,32.94M,1.737B,1.878B,,0.569M,-1.433B,,-5.26M,-1.437B,,,Restated
2008-06,37.04M,,37.04M,72.11M,0.462M,,,72.57M,,,,22.24M,4.605M,72.66M,7.467M,27.02M,243.61M,0.00,22.06M,83.49M,168.84M,,1.289M,,275.69M,-162.22M,113.46M,18.40M,4.99M,23.40M,,,42.51M,42.78M,222.14M,465.76M,,58.88M,,58.88M,69.21M,128.09M,,,,0.324M,,0.324M,37.04M,165.45M,,1.705B,,1.705B,,,,33.92M,1.739B,1.904B,,0.578M,-1.433B,,-5.371M,-1.438B,,,
2008-03,3.325M,,3.325M,69.33M,0.795M,,,70.13M,,,,22.13M,10.88M,82.75M,8.183M,20.57M,217.97M,0.00,22.06M,85.36M,172.75M,,1.047M,,281.22M,-163.21M,118.01M,19.77M,7.967M,27.74M,,,44.65M,44.50M,234.90M,452.87M,,57.34M,,57.34M,71.60M,128.94M,,,,0.319M,,0.319M,30.70M,159.96M,,1.705B,,1.705B,,,,38.77M,1.743B,1.903B,,0.585M,-1.445B,,-5.683M,-1.451B,,,
2007-12,11.34M,,11.34M,68.45M,0.44M,,,68.89M,,,,24.93M,11.10M,80.95M,8.989M,20.68M,226.88M,0.00,21.90M,86.91M,176.67M,,2.361M,,287.84M,-164.95M,122.89M,20.77M,10.13M,30.90M,,,45.81M,46.68M,246.28M,473.16M,,60.41M,,60.41M,69.97M,130.38M,,,,15.31M,,15.31M,29.82M,175.51M,,1.705B,,1.705B,,,,43.02M,1.748B,1.923B,,0.597M,-1.445B,,-5.798M,-1.450B,,,
2007-09,114.92M,,114.92M,68.04M,0.873M,,,68.91M,,,,23.51M,21.08M,,7.235M,24.49M,260.15M,0.00,21.90M,85.50M,165.65M,,1.959M,,275.00M,-166.17M,108.83M,20.77M,12.26M,33.03M,,,51.16M,44.00M,237.02M,497.17M,,48.68M,,48.68M,95.01M,143.69M,,,,0.304M,,0.304M,33.94M,177.93M,,1.705B,,1.705B,,,,48.62M,1.753B,1.931B,,0.621M,-1.436B,7.394M,-6.347M,-1.434B,,,
2007-06,93.30M,,93.30M,69.33M,0.84M,,,70.17M,,,,21.60M,24.69M,,6.765M,17.10M,233.62M,0.00,21.87M,84.70M,165.34M,,1.852M,,273.77M,-161.97M,111.80M,20.94M,14.08M,35.01M,,,48.70M,44.93M,240.44M,474.06M,,54.57M,,54.57M,65.83M,120.40M,,,,0.299M,,0.299M,26.40M,147.10M,,1.710B,,1.710B,,,,51.05M,1.761B,1.908B,,0.628M,-1.447B,18.83M,-6.618M,-1.434B,,,
2007-03,67.11M,,67.11M,62.97M,0.808M,,,63.78M,,,,21.29M,8.337M,,5.962M,17.16M,183.63M,0.00,21.84M,84.18M,163.50M,,2.162M,,271.68M,-157.64M,114.04M,21.09M,15.07M,36.15M,,,48.89M,37.96M,237.05M,420.68M,,55.16M,,55.16M,62.28M,117.44M,,,,0.619M,,0.619M,26.30M,144.36M,,785.06M,,785.06M,,,,52.44M,837.50M,981.86M,,0.626M,-693.21M,139.24M,-7.841M,-561.18M,,,
2006-12,38.22M,,38.22M,65.70M,0.994M,,,66.69M,,,,22.80M,13.84M,,5.874M,18.88M,166.30M,0.00,21.83M,83.50M,162.14M,,2.132M,,269.61M,-152.46M,117.14M,21.32M,16.14M,37.46M,,,39.98M,19.31M,213.90M,380.20M,,55.04M,,55.04M,70.83M,125.86M,,,,1.477M,,1.477M,27.86M,155.20M,,740.12M,,740.12M,,,,49.78M,789.90M,945.10M,,0.625M,-701.52M,133.94M,2.066M,-564.89M,,,
2006-09,11.04M,,11.04M,66.55M,0.747M,,,67.30M,,,,19.11M,11.50M,,5.825M,23.06M,137.84M,0.00,19.81M,82.76M,162.18M,,4.406M,,269.15M,-148.29M,120.86M,21.34M,17.77M,39.11M,,,41.23M,20.60M,221.81M,359.65M,,55.30M,,55.30M,69.68M,124.98M,,,,0.279M,,0.279M,32.57M,157.83M,,740.66M,,740.66M,,,,53.60M,794.26M,952.08M,,0.623M,-725.06M,128.57M,3.438M,-592.44M,,,
2006-06,23.71M,,23.71M,69.24M,0.43M,,,69.67M,,,,20.21M,20.62M,,5.884M,23.95M,164.04M,0.00,21.94M,83.92M,165.16M,,3.331M,,274.36M,-147.98M,126.38M,21.91M,18.66M,40.57M,,,40.96M,23.08M,230.99M,395.03M,,52.28M,,52.28M,73.94M,126.22M,,,,0.316M,,0.316M,33.35M,159.89M,,788.45M,,788.45M,,,,55.80M,844.25M,1.004B,,0.621M,-742.12M,125.10M,7.294M,-609.11M,,,
2006-03,16.37M,,16.37M,70.70M,0.358M,,,71.06M,,,,19.73M,14.58M,,5.937M,26.39M,154.07M,0.00,21.99M,83.83M,165.77M,,2.03M,,273.62M,-145.03M,128.59M,,22.06M,22.06M,,,37.91M,44.26M,232.82M,386.90M,,50.97M,,50.97M,103.34M,154.32M,,,,0.31M,,0.31M,9.468M,164.09M,,800.89M,,800.89M,,,,53.77M,854.66M,1.019B,,0.619M,-759.17M,120.09M,6.601M,-631.86M,,,
2005-12,66.92M,,66.92M,74.44M,0.408M,,,74.84M,21.36M,,2.87M,24.23M,13.77M,,5.937M,35.64M,221.35M,0.00,22.11M,82.80M,163.84M,,2.892M,,271.64M,-140.19M,131.46M,,22.08M,22.08M,,,38.66M,47.53M,239.73M,461.07M,,60.33M,,60.33M,76.43M,136.76M,,,,35.30M,,35.30M,45.32M,217.38M,,702.36M,,702.36M,,,,52.32M,754.67M,972.06M,,0.672M,-777.91M,259.70M,6.554M,-510.98M,,,
2005-09,21.90M,,21.90M,68.10M,1.618M,,,69.71M,,,,23.19M,16.93M,,6.076M,30.68M,168.50M,0.00,23.83M,81.58M,164.61M,,4.131M,,274.15M,-138.93M,135.22M,,23.43M,23.43M,,,37.57M,49.41M,245.63M,414.13M,,53.56M,,53.56M,69.11M,122.67M,,,,2.693M,,2.693M,40.42M,165.78M,,752.51M,,752.51M,,,,48.41M,800.92M,966.70M,,0.667M,-810.25M,250.80M,6.223M,-552.57M,,,
2005-06,10.50M,,10.50M,67.77M,,,1.61M,69.38M,,,,20.19M,21.51M,,6.252M,37.64M,165.47M,0.00,23.74M,80.86M,163.75M,,4.029M,,272.38M,-135.18M,137.19M,,22.68M,22.68M,,,38.54M,55.77M,254.18M,419.66M,,51.93M,,51.93M,70.61M,122.54M,,,,16.49M,,16.49M,47.62M,186.65M,,754.18M,,754.18M,,,,52.95M,807.13M,993.78M,,0.661M,-824.44M,244.18M,5.478M,-574.12M,,,
2005-03,53.23M,,53.23M,73.06M,,,1.691M,74.75M,,,,21.23M,12.66M,,6.317M,29.46M,197.64M,0.00,23.99M,74.43M,161.00M,,8.018M,,267.44M,-132.08M,135.36M,,22.61M,22.61M,,,37.33M,57.07M,252.38M,450.02M,,58.36M,,58.36M,73.33M,131.69M,,,,0.291M,,0.291M,39.60M,171.59M,,751.58M,,751.58M,,,,52.42M,804.00M,975.59M,,0.691M,-841.23M,306.45M,8.529M,-525.56M,,,
2004-12,40.40M,,40.40M,73.14M,1.763M,,,74.90M,18.44M,,3.068M,21.50M,13.56M,,6.317M,32.82M,189.49M,0.00,23.24M,74.92M,159.46M,,6.114M,,263.74M,-126.86M,136.88M,,22.96M,22.96M,,,39.70M,58.32M,257.86M,447.35M,,55.35M,,55.35M,66.43M,121.78M,,,,25.30M,,25.30M,42.60M,189.67M,,755.40M,,755.40M,,,,52.16M,807.56M,997.23M,,0.687M,-859.29M,302.41M,6.309M,-549.88M,,,
2004-09,20.22M,,20.22M,64.09M,1.479M,,,65.57M,,,,23.36M,19.56M,,5.843M,28.04M,162.60M,0.00,22.16M,70.94M,167.55M,,6.466M,,267.11M,-131.33M,135.78M,,23.78M,23.78M,,,40.17M,58.71M,258.44M,421.04M,,50.00M,,50.00M,57.02M,107.02M,,,,0.317M,,0.317M,38.78M,146.12M,,804.00M,,804.00M,,,,45.85M,849.86M,995.98M,,0.687M,-881.84M,302.00M,4.216M,-574.94M,,,
2004-06,51.30M,,51.30M,67.14M,3.428M,,,70.56M,,,,20.54M,11.56M,,5.732M,22.93M,182.62M,0.00,22.03M,65.20M,163.37M,,8.575M,,259.18M,-127.54M,131.64M,,23.78M,23.78M,,,44.45M,66.97M,266.83M,449.46M,,49.48M,,49.48M,66.76M,116.25M,,0.306M,,0.306M,,0.306M,33.57M,150.13M,,928.90M,,928.90M,,,,47.11M,976.02M,1.126B,,0.363M,-865.94M,181.98M,6.914M,-676.69M,,,
2003-12,46.40M,,46.40M,,,,,,,,,,,0.00,,,46.40M,,,,,,,,,,,,,,,,,,,452.10M,,,,,,,,,,,,,,,,,,,,,,,,1.170B,,,,,,-718.00M,,AOR,Restated
