,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2002-05,771.20M,771.20M,603.00M,168.20M,77.20M,134.40M,,-1.90M,,,,3.30M,214.90M,-46.70M,,,,-1.90M,,-40.30M,-16.10M,-24.20M,,,-24.20M,293.40M,-46.70M,,2002-05,-0.04,-0.04,,2002-05,-0.04,0.00,,2002-05,602.30M,,2002-05,,
2002-02,645.90M,645.90M,502.90M,143.00M,79.30M,135.90M,,10.90M,,,,-13.20M,202.00M,-59.00M,,,,10.90M,,-50.70M,-20.30M,-30.40M,,,-30.40M,290.90M,-59.00M,,2002-02,-0.05,-0.05,,2002-02,-0.05,0.00,,2002-02,600.50M,,2002-02,,
2001-11,423.90M,423.90M,636.50M,-212.60M,84.90M,154.50M,,-5.90M,,,,,239.40M,-452.00M,,,,-5.90M,,-443.10M,-177.20M,-265.90M,,,-265.90M,297.60M,-452.00M,,2001-11,-0.44,-0.44,,2001-11,-0.44,0.00,,2001-11,599.20M,,2001-11,,
2001-08,480.30M,480.30M,1.099B,-619.10M,204.40M,105.10M,,-107.90M,,,,,383.10M,-1.002B,,,,-107.90M,,-1.020B,-445.20M,-575.50M,0.00,-0.60M,-575.50M,295.20M,-1.002B,,2001-08,-0.97,-0.97,,2001-08,-0.97,0.00,,2001-08,597.50M,,2001-08,,
2001-05,818.30M,818.30M,1.127B,-308.40M,104.30M,114.50M,,0.60M,,,,,218.80M,-527.20M,,,,0.60M,,-499.70M,-195.50M,-301.10M,-12.30M,3.10M,-313.40M,278.80M,-527.20M,,2001-05,-0.50,-0.53,,2001-05,-0.50,-0.03,,2001-05,596.30M,,2001-05,,
2001-02,1.066B,1.066B,866.80M,198.90M,109.00M,130.90M,,0.10M,,,,,239.90M,-41.00M,,,,0.10M,,-1.30M,-1.30M,-4.10M,-84.20M,-4.10M,-88.30M,272.20M,-41.00M,,2001-02,-0.01,-0.15,,2001-02,-0.01,-0.14,,2001-02,593.80M,,2001-02,,
2000-11,1.572B,1.572B,809.10M,762.50M,103.20M,139.00M,,5.10M,,,,,242.20M,520.30M,,,,5.10M,,561.60M,196.00M,359.50M,-7.30M,-6.10M,352.20M,268.20M,520.30M,,2000-11,0.62,0.61,,2000-11,0.59,-0.01,,2000-11,581.90M,,2000-11,,
2000-08,2.306B,2.306B,1.651B,655.20M,119.00M,131.70M,,0.40M,,,,,-462.50M,1.118B,,,,0.40M,,1.117B,381.20M,736.10M,-9.40M,-15.40M,726.70M,261.20M,1.118B,,2000-08,1.30,1.28,,2000-08,1.20,-0.02,,2000-08,590.50M,,2000-08,,
2000-05,1.554B,1.554B,725.00M,828.80M,112.40M,100.50M,,5.50M,,,,,385.70M,443.10M,,,,5.50M,,450.20M,160.30M,289.90M,-15.00M,-9.30M,274.90M,250.10M,443.10M,,2000-05,0.53,0.50,,2000-05,0.50,-0.03,,2000-05,551.00M,,2000-05,,
2000-02,1.159B,1.159B,448.30M,710.80M,93.40M,103.30M,,-0.20M,,,,,438.70M,272.10M,,,,-0.20M,,261.70M,92.90M,168.80M,-7.50M,-7.50M,161.30M,233.60M,272.10M,,2000-02,0.31,0.30,,2000-02,0.30,-0.01,,2000-02,540.80M,,2000-02,,
1999-11,1.584B,1.584B,793.10M,791.30M,167.60M,91.70M,,9.60M,,,,-1.10M,258.20M,533.10M,,,,9.60M,,533.10M,186.20M,341.30M,,-5.60M,341.30M,229.50M,533.10M,,1999-11,0.635,0.635,,1999-11,0.595,0.00,,1999-11,538.40M,,1999-11,,
1999-08,-108.10M,-108.10M,-187.90M,79.80M,-25.50M,85.80M,,0.50M,,,,,60.30M,19.50M,,,,0.50M,,-12.50M,3.40M,-7.60M,,-11.40M,-17.50M,216.80M,19.50M,,1999-08,-0.01,-0.03,,1999-08,-0.01,-0.02,,1999-08,533.20M,,1999-08,,
1999-05,863.80M,863.80M,685.90M,177.90M,124.10M,81.60M,,,,,,,205.70M,-27.80M,,,,,,-42.20M,-17.10M,-27.70M,,-2.60M,-27.70M,204.00M,-27.80M,,1999-05,-0.05,-0.05,,1999-05,-0.05,0.00,,1999-05,532.60M,,1999-05,,
1999-02,1.026B,1.026B,763.50M,262.30M,125.50M,85.50M,,0.40M,,,,,211.00M,51.30M,,,,0.40M,,-16.10M,16.10M,22.40M,,-1.50M,22.40M,219.40M,51.30M,,1999-02,0.04,0.04,,1999-02,0.04,0.00,,1999-02,528.60M,,1999-02,,
1998-11,793.60M,793.60M,685.50M,108.10M,103.00M,67.70M,,1.00M,,,,,170.70M,-62.60M,,,,1.00M,,-69.50M,-27.60M,-46.20M,,-4.30M,-46.20M,189.50M,-62.60M,,1998-11,-0.10,-0.10,,1998-11,-0.10,0.00,,1998-11,491.40M,,1998-11,,
1998-08,692.10M,692.10M,447.30M,244.80M,134.40M,76.50M,,-0.60M,,,,,382.80M,-138.00M,,,,-0.60M,,-145.30M,-52.00M,-93.30M,,-5.90M,-93.30M,171.90M,-138.00M,,1998-08,-0.22,-0.22,,1998-08,-0.22,0.00,,1998-08,422.47M,,1998-08,,
1998-05,612.70M,612.70M,458.20M,154.50M,111.40M,70.70M,,0.70M,,,,,333.30M,-178.80M,,,,0.70M,,-180.20M,-70.80M,-109.40M,,-2.10M,-109.40M,151.10M,-178.80M,,1998-05,-0.26,-0.26,,1998-05,-0.26,0.00,,1998-05,420.77M,,1998-05,,
