,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2006-12,370.71M,945.02M,1.316B,277.06M,,277.06M,22.29M,164.30M,60.27M,246.86M,,227.78M,24.23M,2.092B,,,,,1.304B,,1.304B,,,,,,87.77M,1.392B,3.483B,,,101.25M,278.65M,379.90M,,,,21.19M,21.19M,,85.43M,486.53M,,,,,,15.42M,501.95M,,2006-12,0.321M,,-5.366M,2.981B,,2006-12
2006-09,466.82M,926.65M,1.393B,296.46M,,296.46M,17.67M,152.46M,53.71M,223.84M,,181.20M,21.56M,2.117B,,,,,1.254B,,1.254B,,,,,,109.21M,1.364B,3.480B,,,138.78M,269.72M,408.50M,,,,22.25M,22.25M,,130.01M,560.77M,,,,,,16.08M,576.85M,,2006-09,0.321M,,-6.151M,2.903B,,2006-09
2006-06,422.33M,920.32M,1.343B,297.28M,,297.28M,15.96M,144.50M,50.43M,210.90M,,179.29M,21.99M,2.052B,0.00,76.60M,327.88M,1.672B,2.076B,-911.54M,1.164B,,,,,36.41M,33.53M,1.234B,3.287B,,,127.08M,261.80M,388.89M,,,,21.13M,21.13M,,84.35M,494.36M,,,,,,16.69M,511.05M,,2006-06,0.32M,,-8.119M,2.775B,,2006-06
2006-03,243.31M,1.093B,1.336B,259.92M,,259.92M,12.62M,142.20M,49.78M,204.60M,,128.82M,11.80M,1.941B,,,,,1.924B,-862.77M,1.061B,,,,,,39.46M,1.100B,3.042B,,,82.52M,174.52M,257.03M,,,,22.43M,22.43M,,43.82M,323.29M,,,110.26M,110.26M,,110.26M,433.55M,,2006-03,0.321M,,-8.907M,2.608B,,2006-03
2005-12,148.47M,1.193B,1.341B,221.03M,,221.03M,12.35M,134.52M,50.91M,197.77M,,133.52M,16.08M,1.910B,,,,,1.880B,-862.77M,1.018B,,,,,,29.63M,1.047B,2.957B,,,77.04M,173.57M,250.62M,,,,19.40M,19.40M,,52.78M,322.79M,,,,,,118.64M,441.43M,,2005-12,0.321M,,-9.593M,2.516B,,2005-12
2005-09,202.80M,1.382B,1.585B,212.95M,,212.95M,13.92M,115.10M,54.23M,183.24M,,133.04M,11.24M,2.126B,,,,,1.863B,-862.77M,999.79M,,,,,,28.85M,1.029B,3.154B,,,64.70M,191.63M,256.32M,,,,19.25M,19.25M,,52.70M,328.27M,,,128.20M,128.20M,,128.20M,456.47M,,2005-09,0.328M,,-8.58M,2.698B,,2005-09
2005-06,185.55M,1.289B,1.475B,199.59M,,199.59M,15.00M,111.22M,52.96M,179.17M,,139.23M,15.05M,2.008B,0.00,74.47M,320.21M,1.470B,1.864B,-855.77M,1.008B,,,,,16.70M,27.04M,1.052B,3.060B,,,56.27M,214.84M,271.11M,,,,20.22M,20.22M,,63.42M,354.75M,,,0.019M,0.019M,19.67M,19.68M,374.43M,,2005-06,0.327M,,-173.28M,2.686B,,2005-06
2005-03,142.48M,1.261B,1.403B,192.38M,1.40M,193.78M,16.41M,96.41M,46.64M,159.46M,,146.41M,9.799M,1.913B,,,,,1.793B,-793.56M,999.40M,,,,,,27.62M,1.027B,2.940B,,,50.16M,205.33M,255.49M,,,,20.10M,20.10M,,16.14M,291.73M,,,140.11M,140.11M,4.00M,144.11M,435.84M,,2005-03,0.328M,,-11.60M,2.504B,,2005-03
2004-12,164.41M,1.122B,1.287B,179.68M,1.40M,181.08M,16.67M,87.65M,42.25M,146.58M,,152.25M,10.59M,1.777B,,,,,1.798B,-793.56M,1.004B,,,,,,27.69M,1.032B,2.809B,,,61.74M,191.12M,252.86M,,,,21.35M,21.35M,,23.38M,297.60M,,,122.57M,122.57M,4.00M,126.57M,424.17M,,2004-12,0.326M,,-5.785M,2.385B,,2004-12
2004-09,246.40M,939.16M,1.186B,200.49M,2.451M,202.94M,17.02M,80.20M,38.59M,135.82M,,151.90M,10.12M,1.686B,,,,,1.784B,-793.56M,990.76M,,,,,,28.92M,1.020B,2.706B,,,90.00M,199.34M,289.35M,,,,22.99M,22.99M,,44.85M,357.19M,,,118.65M,118.65M,4.00M,122.65M,479.84M,,2004-09,0.325M,,-2.895M,2.226B,,2004-09
2004-06,147.73M,948.88M,1.097B,197.16M,2.212M,199.37M,14.71M,73.83M,29.24M,117.78M,,153.69M,10.65M,1.578B,0.00,71.71M,345.70M,1.318B,1.736B,-793.55M,942.19M,,,,,,29.16M,971.35M,2.549B,,,93.86M,182.69M,276.55M,,,,22.86M,22.86M,,19.34M,318.74M,,,114.40M,114.40M,4.00M,118.40M,437.14M,,2004-06,0.325M,,-6.964M,2.112B,,2004-06
2004-03,109.03M,979.98M,1.089B,162.42M,6.864M,169.29M,10.76M,68.15M,24.46M,103.37M,,147.78M,8.501M,1.518B,,,,,1.627B,-737.66M,889.06M,,,,,,32.75M,921.81M,2.440B,,,85.43M,161.69M,247.12M,,,,20.93M,20.93M,,19.10M,287.14M,,,102.80M,102.80M,4.00M,106.80M,393.95M,,2004-03,0.324M,,5.447M,2.046B,,2004-03
2003-12,159.79M,1.170B,1.330B,133.44M,6.864M,140.30M,10.03M,70.14M,28.11M,108.28M,,139.49M,10.48M,1.728B,,,,,1.571B,-737.66M,833.56M,,,,,,34.17M,867.73M,2.596B,,,57.21M,154.53M,211.74M,,,,21.66M,21.66M,,6.607M,240.01M,,,88.13M,88.13M,4.00M,92.13M,332.14M,,2003-12,0.329M,,-0.598M,2.264B,,2003-12
2003-09,163.84M,1.131B,1.295B,130.98M,6.933M,137.92M,11.00M,72.95M,31.50M,115.45M,,137.77M,8.785M,1.695B,,,,,1.516B,-737.66M,777.84M,,,,,,32.06M,809.90M,2.504B,,,49.62M,147.96M,197.58M,,,,22.67M,22.67M,,9.358M,229.61M,,,81.63M,81.63M,4.00M,85.63M,315.24M,,2003-09,0.328M,,0.463M,2.189B,,2003-09
2003-06,210.84M,953.17M,1.164B,126.76M,,126.76M,10.25M,79.69M,31.26M,121.19M,,136.18M,16.50M,1.565B,0.00,56.39M,322.80M,1.128B,1.508B,-737.66M,769.88M,,,,,,33.44M,803.32M,2.368B,,,42.04M,141.39M,183.44M,,,,21.58M,21.58M,,10.90M,215.92M,,,77.63M,77.63M,4.00M,81.63M,297.55M,,2003-06,0.325M,,1.424M,2.070B,,2003-06
2003-03,235.03M,821.69M,1.057B,123.86M,27.87M,151.74M,11.52M,87.29M,24.94M,123.75M,,155.12M,6.964M,1.494B,,,,,1.442B,-686.02M,756.05M,,,,,,33.60M,789.64M,2.284B,,,37.77M,137.47M,175.24M,,,,21.73M,21.73M,,18.35M,215.32M,,,73.72M,73.72M,4.00M,77.72M,293.04M,,2003-03,0.324M,,-0.227M,1.991B,,2003-03
2002-12,180.15M,765.53M,945.68M,122.58M,21.40M,143.98M,11.79M,83.96M,32.18M,127.93M,,164.57M,8.33M,1.390B,,,,,1.448B,-686.02M,762.36M,,,,,,33.57M,795.93M,2.186B,,,32.94M,147.92M,180.86M,,,,22.81M,22.81M,,8.638M,212.31M,,,70.66M,70.66M,4.00M,74.66M,286.97M,,2002-12,0.322M,,0.675M,1.899B,,2002-12
2002-09,160.43M,627.26M,787.69M,135.43M,54.34M,189.77M,12.43M,81.50M,42.38M,136.30M,,165.03M,7.053M,1.286B,,,,,1.455B,-686.02M,769.11M,,,,,,34.28M,803.40M,2.089B,,,48.26M,148.25M,196.50M,,,,26.35M,26.35M,,9.344M,232.20M,,,66.38M,66.38M,4.00M,70.38M,302.58M,,2002-09,0.319M,,0.094M,1.787B,,2002-09
2002-06,173.81M,591.69M,765.50M,129.81M,,129.81M,12.74M,95.46M,31.00M,139.21M,,144.72M,56.43M,1.236B,0.00,55.30M,354.43M,1.022B,1.432B,-686.02M,746.16M,,,,,,28.99M,775.15M,2.011B,,,45.28M,145.93M,191.21M,,,,27.18M,27.18M,,10.63M,229.03M,,,36.63M,36.63M,4.00M,40.63M,269.66M,,2002-06,0.32M,,-0.92M,1.741B,,2002-06
2002-03,71.19M,944.09M,1.015B,108.57M,51.70M,160.27M,,,,147.72M,,121.71M,6.447M,1.451B,,,,,737.69M,,737.69M,,,,,,27.54M,765.23M,2.217B,,,45.33M,141.83M,187.17M,,,,28.22M,28.22M,,8.68M,224.06M,,,3.298M,3.298M,4.00M,7.298M,231.36M,,2002-03,0.326M,,-0.895M,1.985B,,2002-03
2001-12,158.73M,938.48M,1.097B,94.75M,40.02M,134.77M,16.39M,103.68M,34.38M,154.45M,,126.31M,8.465M,1.521B,,,,,1.424B,-696.51M,727.80M,,,,,,19.58M,747.38M,2.269B,,,61.00M,163.33M,224.34M,,,,31.15M,31.15M,,10.46M,265.95M,,,,,,4.00M,269.95M,,2001-12,0.325M,,1.588M,1.999B,,2001-12
2001-09,139.46M,935.67M,1.075B,99.46M,37.65M,137.12M,19.93M,100.46M,38.92M,159.31M,,118.59M,6.548M,1.497B,,,,,1.420B,-696.51M,723.44M,,,,,,18.79M,742.23M,2.239B,,,82.53M,162.21M,244.75M,,,,39.07M,39.07M,,11.50M,295.32M,,,,,,4.00M,299.32M,,2001-09,0.324M,,3.264M,1.940B,,2001-09
2001-06,93.80M,1.127B,1.220B,152.49M,50.19M,202.68M,21.89M,91.73M,49.04M,162.66M,,103.20M,10.20M,1.699B,0.00,52.60M,307.77M,1.048B,1.409B,-696.51M,712.04M,,,,,,19.40M,731.44M,2.431B,,,100.92M,170.10M,271.02M,,,,45.40M,45.40M,,8.963M,325.38M,,,,,,4.00M,329.38M,,2001-06,0.33M,,3.534M,2.101B,,2001-06
2001-03,61.16M,785.11M,846.26M,143.98M,0.41M,144.39M,5.635M,34.88M,22.63M,63.15M,,47.04M,10.35M,1.111B,,,,,687.30M,-175.18M,512.12M,,,,,,7.44M,519.56M,1.631B,,,74.91M,117.16M,192.07M,,,,,25.09M,25.09M,6.785M,223.95M,,,19.50M,19.50M,4.00M,23.50M,247.45M,,2001-03,0.286M,1.331M,1.331M,1.383B,,2001-03
2000-12,59.70M,697.57M,757.27M,127.42M,6.50M,133.92M,7.429M,25.09M,30.93M,63.45M,,51.39M,5.231M,1.011B,,,,,661.72M,-175.18M,486.53M,,,,,,6.214M,492.75M,1.504B,,,81.20M,115.91M,197.11M,,,,,24.90M,24.90M,8.555M,230.57M,,,19.50M,19.50M,4.00M,23.50M,254.07M,,2000-12,0.286M,-1.47M,-1.47M,1.250B,,2000-12
2000-09,50.74M,661.97M,712.71M,144.48M,6.50M,150.98M,6.531M,27.95M,29.56M,64.04M,,54.39M,4.404M,986.53M,,,,,604.22M,-175.18M,429.03M,,,,,,5.666M,434.70M,1.421B,,,59.74M,116.39M,176.13M,,,,,22.22M,22.22M,10.11M,208.46M,,,19.50M,19.50M,4.00M,23.50M,231.96M,,2000-09,0.285M,-1.47M,-1.47M,1.189B,,2000-09
2000-06,82.22M,814.72M,896.94M,228.86M,6.893M,235.75M,21.33M,72.48M,45.86M,139.68M,,100.36M,15.63M,1.388B,0.00,51.34M,247.93M,848.78M,1.148B,-470.06M,677.99M,,,,,,21.10M,699.08M,2.087B,,,110.47M,178.84M,289.31M,,,,38.20M,38.20M,,15.29M,342.80M,,,20.69M,20.69M,4.00M,24.69M,367.50M,,2000-06,0.322M,,-0.093M,1.720B,,2000-06
2000-03,74.03M,596.74M,670.77M,125.08M,24.17M,149.24M,4.971M,25.87M,20.51M,51.35M,,47.85M,9.133M,928.34M,,,,,473.14M,-100.20M,372.94M,,,,,,8.20M,381.14M,1.309B,,,56.58M,49.21M,105.78M,,,,13.86M,13.86M,,44.34M,163.98M,,,18.20M,18.20M,4.00M,22.20M,186.18M,,2000-03,0.282M,,-1.47M,1.123B,,2000-03
1999-12,28.16M,544.91M,573.07M,103.41M,24.17M,127.57M,3.664M,19.94M,20.78M,44.39M,,47.85M,6.325M,799.21M,,,,,443.30M,-100.20M,343.10M,,,,,,8.137M,351.24M,1.150B,,,46.07M,41.22M,87.29M,,,,15.62M,15.62M,,35.28M,138.19M,,,18.20M,18.20M,4.00M,22.20M,160.39M,,1999-12,0.277M,,-1.47M,990.06M,,1999-12
1999-09,62.17M,517.11M,579.27M,93.07M,24.17M,117.24M,4.277M,21.23M,19.35M,44.86M,,47.85M,4.867M,794.08M,,,,,417.21M,-100.20M,317.01M,,,,,,4.082M,321.09M,1.115B,,,43.18M,51.75M,94.93M,,,,15.89M,15.89M,,36.49M,147.31M,,,18.20M,18.20M,4.00M,22.20M,169.51M,,1999-09,0.137M,,-1.47M,945.66M,,1999-09
1999-06,34.10M,480.60M,514.70M,116.00M,,116.00M,,,,45.30M,,,52.90M,728.90M,,,,,390.30M,-100.20M,290.10M,,,,,,3.30M,293.40M,1.022B,,,40.30M,,40.30M,,,,,,,80.60M,120.90M,,,18.20M,18.20M,4.00M,22.20M,143.10M,,1999-06,0.10M,,-1.50M,879.20M,,1999-06
1999-03,45.19M,419.62M,464.80M,84.74M,,84.74M,3.528M,22.05M,17.48M,43.06M,,48.32M,,640.92M,,,,,356.59M,-83.70M,272.89M,,,,,,6.622M,279.51M,920.43M,,,23.97M,33.93M,57.90M,,,,24.24M,24.24M,,27.21M,109.34M,,,4.20M,4.20M,4.00M,8.20M,117.54M,,1999-03,0.134M,-1.469M,-1.469M,802.89M,,1999-03
1998-12,53.67M,338.79M,392.45M,87.40M,,87.40M,3.688M,24.28M,15.34M,43.31M,,43.94M,,567.11M,,,,,353.68M,-83.70M,269.98M,,,,,,7.766M,277.75M,844.86M,,,28.19M,28.51M,56.70M,,,,23.95M,23.95M,,22.50M,103.14M,,,4.20M,4.20M,4.00M,8.20M,111.34M,,1998-12,0.131M,-1.469M,-1.469M,733.52M,,1998-12
1998-09,52.28M,289.78M,342.06M,99.48M,,99.48M,4.469M,29.75M,10.49M,44.71M,,37.52M,,523.76M,,,,,346.31M,-83.70M,262.61M,,,,,,5.991M,268.60M,792.37M,,,26.08M,26.54M,52.61M,,,,24.26M,24.26M,,50.70M,127.57M,,,4.20M,4.20M,4.00M,8.20M,135.77M,,1998-09,0.131M,-1.459M,-1.459M,656.60M,,1998-09
1998-06,16.80M,306.20M,323.00M,101.90M,,101.90M,,,,44.70M,,,38.40M,508.00M,,,,,339.10M,-83.70M,255.40M,,,,,,6.10M,261.50M,769.50M,,,35.20M,,35.20M,,,,,,,95.10M,130.30M,,,4.20M,4.20M,4.00M,8.20M,138.50M,,1998-06,0.10M,,-2.20M,631.00M,,1998-06
