,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-09,38.40M,,38.40M,,,31.80M,,,,19.20M,,,74.50M,163.90M,,,,,,,39.60M,-18.00M,21.60M,,6.10M,6.10M,,,-0.10M,27.60M,191.50M,,22.90M,,,22.90M,,22.90M,,1.50M,,1.50M,,,,18.00M,42.40M,2.90M,2.90M,,,,-0.10M,2.80M,45.20M,,,84.00M,,,,,,,146.30M,,,
1993-06,39.70M,,39.70M,,,30.10M,,,,16.20M,,,70.10M,156.10M,,,,,,,36.50M,-15.90M,20.60M,,6.00M,6.00M,,,,26.60M,182.70M,,27.00M,,,27.00M,,27.00M,,1.60M,,1.60M,,,,15.80M,44.40M,3.30M,3.30M,,,,-0.10M,3.20M,47.60M,,,74.40M,,,,,,,135.10M,,,
1993-03,30.00M,,30.00M,,,27.10M,,,,13.10M,,,66.60M,136.80M,,,,,,,36.90M,-16.40M,20.50M,,5.60M,5.60M,,,,26.10M,162.90M,,6.20M,,,6.20M,,6.20M,,1.80M,,1.80M,,,,27.70M,35.70M,,,,,,,3.90M,39.60M,,,65.50M,,,,,,,123.30M,,,
1992-12,28.70M,,28.70M,,,28.90M,,,,17.10M,,,49.50M,124.20M,,,,,,,34.10M,-14.50M,19.60M,,6.50M,6.50M,,,,26.10M,150.30M,,19.90M,,,19.90M,,19.90M,,1.90M,,1.90M,,,,12.10M,33.90M,4.30M,4.30M,,,,,4.30M,38.20M,,,57.50M,,,,,,,112.10M,,,
1992-09,35.20M,,35.20M,,,19.70M,,,,17.50M,,,59.20M,131.60M,,,,,,,31.20M,-12.80M,18.40M,,,,,,7.70M,26.10M,157.70M,,,,,,,,,2.00M,,2.00M,,,,37.50M,39.50M,4.70M,4.70M,,,,0.10M,4.80M,44.30M,,,50.50M,,,,,,,113.40M,,,
1992-06,39.30M,,39.30M,,,25.50M,,,,10.60M,,,58.10M,133.50M,,,,,,,29.20M,-11.20M,18.00M,,8.10M,8.10M,,,,26.10M,159.60M,,,,,,,,,2.00M,,2.00M,,,,38.90M,40.90M,5.20M,5.20M,,,,,5.20M,46.10M,,,44.20M,,,,,,,113.50M,,,
1992-03,23.30M,,23.30M,,,21.10M,,,,9.70M,,,67.30M,121.40M,,,,,,,27.60M,-10.80M,16.80M,,8.40M,8.40M,,,,25.20M,146.60M,,6.80M,,,6.80M,,6.80M,,2.10M,,2.10M,,,,24.10M,33.00M,5.00M,5.00M,,,,-0.10M,4.90M,37.90M,,,38.30M,,,,,,,108.70M,,,
1991-12,34.80M,,34.80M,,,22.00M,,,,8.00M,,,53.20M,118.00M,,,,,,,24.40M,-9.50M,14.90M,,5.00M,5.00M,,,,19.90M,137.90M,,18.30M,,,18.30M,,18.30M,,2.00M,,2.00M,,,,9.50M,29.80M,4.80M,4.80M,,,,,4.80M,34.60M,,,34.70M,,,,,,,103.30M,,,
1991-09,30.80M,,30.80M,,,16.10M,,,,6.20M,,,56.00M,109.10M,,,,,,,21.30M,-8.20M,13.10M,,5.20M,5.20M,,,-0.10M,18.20M,127.30M,,15.60M,,,15.60M,,15.60M,,1.90M,,1.90M,,,,8.80M,26.30M,3.80M,3.80M,,,,,3.80M,30.10M,,,29.00M,,,,,,,97.20M,,,
1991-06,30.70M,,30.70M,,,13.50M,,,,8.30M,,,56.70M,109.20M,,,,,,,19.10M,-7.00M,12.10M,,1.50M,1.50M,,,,13.60M,122.80M,,18.90M,,,18.90M,,18.90M,,1.90M,,1.90M,,,,8.60M,29.40M,4.00M,4.00M,,,,0.10M,4.10M,33.50M,,,22.80M,,,,,,,89.30M,,,
1991-03,25.30M,,25.30M,,,12.80M,,,,9.00M,,,52.40M,99.50M,,,,,,,16.80M,-6.20M,10.60M,,1.50M,1.50M,,,,12.10M,111.60M,,5.30M,,,5.30M,,5.30M,,1.70M,,1.70M,,,,17.50M,24.50M,3.80M,3.80M,,,,,3.80M,28.30M,,,17.00M,,,,,,,83.30M,,,
1990-12,65.60M,,65.60M,,,13.30M,,,,8.00M,,,3.40M,90.30M,,,,,,,14.90M,-5.30M,9.60M,,1.80M,1.80M,,,,11.40M,101.70M,,11.50M,,,11.50M,,11.50M,,1.70M,,1.70M,,,,7.50M,20.70M,3.90M,3.90M,,,,,3.90M,24.60M,,,11.90M,,,,,,,77.10M,,,
1990-09,60.70M,,60.70M,,,12.30M,,,,5.80M,,,1.90M,80.70M,,,,,,,13.10M,-4.50M,8.60M,,1.80M,1.80M,,,,10.40M,91.10M,,8.20M,,,8.20M,,8.20M,,1.70M,,1.70M,,,,4.40M,14.30M,4.10M,4.10M,,,,,4.10M,18.40M,,,7.60M,,,,,,,72.70M,,,
1990-06,61.90M,,61.90M,,,11.20M,,,,5.80M,,,1.10M,80.00M,,,,,,,11.00M,-3.90M,7.10M,,1.80M,1.80M,,,,8.90M,88.90M,,11.80M,,,11.80M,,11.80M,,1.40M,,1.40M,,,,4.00M,17.20M,2.70M,2.70M,,,,,2.70M,19.90M,,,3.90M,,,,,,,69.00M,,,
1990-03,13.10M,,13.10M,,,10.90M,,,,3.90M,,,1.20M,29.10M,,,,,,,8.70M,-3.50M,5.20M,,0.30M,0.30M,,,-0.10M,5.40M,34.50M,,4.30M,,,4.30M,,4.30M,,1.10M,,1.10M,,,,4.40M,9.80M,,,,,,,2.00M,11.80M,,0.10M,1.10M,,,0.10M,,,,22.70M,,,
1989-03,9.50M,,9.50M,,,4.40M,,,,5.30M,,,0.30M,19.50M,,,,,,,5.10M,-2.10M,3.00M,,,,,,0.40M,3.40M,22.90M,,,,,,,,,1.00M,,1.00M,,,,6.30M,7.30M,,,,,,,1.80M,9.10M,,,-7.40M,,,,,,,13.80M,,,
