,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-08,2.072B,2.072B,563.00M,1.509B,,,595.00M,298.00M,,48.00M,,,,,893.00M,616.00M,,,,48.00M,,664.00M,224.00M,440.00M,,,440.00M,408.19M,677.00M,61.00M,616.00M,0.08,0.0,,0.0739,0.08,0.08,0.0,,0.0741,0.08,5.23B,5.347B,
2003-05,2.832B,2.832B,580.00M,2.252B,,,683.00M,298.00M,,-218.00M,,,,,981.00M,1.271B,,,,-110.00M,,1.274B,416.00M,858.00M,,,858.00M,1.005B,1.34B,69.00M,1.271B,0.17,0.0,,0.198,0.17,0.16,0.0,,0.1874,0.16,5.242B,5.355B,
2003-02,2.307B,2.307B,574.00M,1.733B,,,636.00M,301.00M,,39.00M,,,,,937.00M,796.00M,,,,33.00M,,829.00M,258.00M,571.00M,,,571.00M,544.14M,888.00M,92.00M,796.00M,0.11,0.0,,0.1049,0.11,0.11,0.0,,0.105,0.11,5.259B,5.383B,
2002-11,2.309B,2.309B,599.00M,1.71B,,,621.00M,295.00M,,28.00M,,,,,916.00M,794.00M,,,,6.00M,,800.00M,265.00M,535.00M,,,535.00M,516.28M,876.00M,82.00M,794.00M,0.1,0.0,,0.0965,0.1,0.1,0.0,,0.0965,0.1,5.309B,5.42B,
2002-08,2.028B,2.028B,589.00M,1.439B,,,573.00M,286.00M,,-2.00M,,,,,859.00M,580.00M,,,,-83.00M,,522.00M,179.00M,343.00M,,-4.00M,343.00M,344.31M,664.00M,84.00M,580.00M,0.06,0.0,,0.0602,0.06,0.06,0.0,,0.0602,0.06,5.399B,5.515B,
2002-05,2.774B,2.774B,569.00M,2.205B,,,697.00M,282.00M,,-391.00M,,,,,979.00M,1.226B,,,,-377.00M,,995.00M,339.00M,656.00M,,,656.00M,913.78M,1.355B,129.00M,1.226B,0.12,0.0,,0.1671,0.12,0.12,0.0,,0.1659,0.12,5.472B,5.611B,
2002-02,2.254B,2.254B,572.00M,1.682B,,,620.00M,283.00M,,10.00M,,,,,903.00M,779.00M,,,,3.00M,,782.00M,274.00M,508.00M,,,508.00M,501.50M,852.11M,73.11M,779.00M,0.09,0.0,,0.0888,0.09,0.09,0.0,,0.0889,0.09,5.492B,5.669B,
2001-11,2.357B,2.357B,609.84M,1.747B,,,670.07M,257.48M,,25.38M,,,,,927.55M,819.94M,,,,25.38M,,845.33M,295.86M,549.46M,,,549.46M,532.96M,899.84M,79.89M,819.94M,0.1,0.0,,0.097,0.1,0.1,0.0,,0.0971,0.1,5.528B,5.696B,
2001-08,2.265B,2.265B,633.00M,1.632B,,,633.00M,253.00M,,-1.00M,,,,,886.00M,746.00M,,,,-4.00M,,786.00M,275.00M,511.00M,,-8.00M,511.00M,511.65M,827.00M,81.00M,746.00M,0.09,0.0,,0.0901,0.09,0.09,0.0,,0.0901,0.09,5.580B,5.780B,
2001-05,3.365B,3.365B,819.51M,2.546B,,,930.63M,320.24M,,-234.39M,,,,,1.251B,1.295B,,,,-234.39M,,1.325B,470.65M,854.80M,,,854.80M,1.006B,1.381B,86.51M,1.295B,0.16,0.0,,0.187,0.16,0.15,0.0,,0.1761,0.15,5.604B,5.801B,
2001-02,2.674B,2.674B,708.61M,1.966B,,,786.18M,301.46M,,25.31M,,,,,1.088B,878.12M,,,,25.31M,,903.43M,320.72M,582.71M,,,582.71M,566.39M,961.57M,83.45M,878.12M,0.1,0.0,,0.0971,0.1,0.1,0.0,,0.0972,0.1,5.596B,5.851B,
2000-11,2.660B,2.660B,695.00M,1.965B,,,752.27M,266.28M,,19.88M,,,,,1.019B,946.00M,,,,19.88M,,965.88M,343.07M,622.81M,,,622.81M,609.99M,1.030B,83.89M,946.00M,0.11,0.0,,0.1077,0.11,0.11,0.0,,0.1078,0.11,5.584B,5.875B,
2000-08,2.262B,2.262B,673.88M,1.588B,,,678.93M,251.03M,,118.20M,,,,,929.96M,658.04M,,,,118.20M,,776.24M,275.57M,500.68M,,,500.68M,424.44M,750.20M,92.16M,658.04M,0.09,0.0,,0.0764,0.09,0.08,0.0,,0.0672,0.08,5.604B,5.933B,
2000-05,3.475B,3.475B,826.82M,2.648B,,,989.66M,270.35M,,6.447B,,,,,1.260B,1.388B,,,,6.447B,,7.958B,3.045B,4.913B,,,4.913B,932.99M,1.486B,97.96M,1.388B,0.86,0.0,,0.1542,0.86,0.82,0.0,,0.1579,0.82,5.638B,6.010B,
2000-02,2.449B,2.449B,707.26M,1.742B,,,716.88M,255.55M,,439.61M,,,,,972.44M,769.72M,,,,439.61M,,1.209B,446.15M,763.18M,,,763.18M,485.75M,871.21M,101.49M,769.72M,0.14,0.0,,0.0908,0.14,0.13,0.0,,0.0837,0.13,5.638B,5.996B,
1999-11,2.322B,2.322B,753.17M,1.569B,,,744.49M,248.16M,,15.45M,,,,,992.65M,576.06M,,,,15.45M,,591.52M,207.03M,384.48M,,,384.48M,374.44M,672.49M,96.42M,576.06M,0.07,0.0,,0.0682,0.07,0.07,0.0,,0.0683,0.07,5.718B,6.013B,
1999-08,1.985B,1.985B,756.75M,1.228B,,,645.96M,235.94M,,18.35M,,,,,881.90M,345.86M,,,,18.35M,,364.21M,127.47M,236.74M,,,236.74M,224.81M,440.98M,95.12M,345.86M,0.05,0.0,,0.0479,0.05,0.04,0.0,,0.038,0.04,5.722B,5.965B,
1999-05,2.943B,2.943B,812.99M,2.130B,,,1.081B,243.31M,,-76.34M,,,,,1.324B,806.30M,,,,-76.34M,,827.02M,299.60M,527.42M,,,527.42M,576.10M,912.04M,105.75M,806.30M,0.085,0.0,,0.0935,0.085,0.085,0.0,,0.0932,0.085,5.748B,5.931B,
1999-02,2.079B,2.079B,792.02M,1.287B,,,670.42M,209.80M,,37.66M,,,,,880.22M,406.68M,,,,37.66M,,444.34M,151.07M,293.26M,,,293.26M,268.41M,506.05M,99.37M,406.68M,0.05,0.0,,0.0457,0.05,0.05,0.0,,0.0458,0.05,5.761B,5.982B,
1998-11,2.056B,2.056B,779.85M,1.276B,,,693.35M,200.68M,,28.65M,,,,,894.03M,382.07M,,,,28.65M,,410.72M,136.64M,274.08M,,,274.08M,254.96M,470.92M,88.86M,382.07M,0.05,0.0,,0.0467,0.05,0.05,0.0,,0.0468,0.05,5.783B,5.900B,
1998-08,1.749B,1.749B,679.29M,1.070B,,,604.36M,187.62M,,22.17M,,,,,791.98M,277.84M,,,,22.17M,,300.00M,105.00M,195.00M,,,195.00M,180.59M,359.24M,81.41M,277.84M,0.04,0.0,,0.0375,0.04,0.04,0.0,,0.0375,0.04,5.723B,5.819B,
