,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2002-12,1.189B,1.189B,477.00M,712.00M,,,256.00M,,,-4.681B,,,,4.676B,5.307B,-4.595B,,,,-4.681B,,-2.32B,-448.00M,-1.872B,,0.00,-1.872B,1.905B,-4.22B,375.00M,2002-12,-7.034,0.00,0.00,7.143,2002-12,-7.034,,-7.034,,2002-12,266.43M,266.44M,,2002-12,,
2002-09,1.166B,1.166B,457.00M,709.00M,,,244.00M,,,-79.00M,,,,-215.00M,403.00M,306.00M,,,,-79.00M,,-172.00M,-6.00M,-166.00M,,1.00M,-166.00M,-89.76M,680.00M,81.86M,2002-09,-0.6304,0.00,,-0.3440,2002-09,-0.6304,0.00,-0.6304,,2002-09,266.25M,266.25M,,2002-09,,
2002-06,1.158B,1.158B,345.79M,812.63M,21.44M,290.82M,312.25M,,,-66.24M,,,,,804.42M,8.208M,,,,-66.24M,,,,-202.00M,,0.727M,-202.00M,-162.25M,661.34M,653.14M,2002-06,-0.7631,0.00,,-0.6138,2002-06,-0.7631,0.00,-0.7631,,2002-06,266.24M,266.24M,,2002-06,,
2002-03,1.074B,1.074B,426.00M,648.00M,,,224.00M,,,-176.00M,,,,1.00M,551.00M,97.00M,,,,-176.00M,,-110.00M,,-317.00M,,1.00M,-317.00M,-141.00M,423.00M,326.00M,2002-03,-1.194,0.00,,-0.5332,2002-03,-1.194,0.00,-1.194,,2002-03,266.19M,266.19M,,2002-03,,
2001-12,960.88M,960.88M,-39.86M,1.001B,,,830.47M,,,34.82M,,,,,1.320B,-319.44M,,,,34.82M,,,,-285.01M,,0.757M,-295.01M,-305.90M,170.28M,489.72M,2001-12,-1.095,0.00,,-1.173,2001-12,-1.095,,-1.095,,2001-12,266.43M,270.81M,,2001-12,,
2001-09,1.044B,1.044B,561.29M,482.56M,,,-42.07M,,,-88.92M,,,,,733.37M,-250.81M,,,,-88.92M,,,,-317.43M,,0.243M,-317.43M,-264.08M,524.62M,775.44M,2001-09,-1.194,0.00,,-0.9939,2001-09,-1.194,0.00,-1.194,,2001-09,266.06M,266.06M,,2001-09,,
2001-06,928.48M,928.48M,486.43M,442.05M,,,18.84M,,,-23.99M,,,,,739.80M,-297.75M,,,,-23.99M,,,,-273.86M,,,-273.86M,-259.47M,423.20M,720.95M,2001-06,-1.183,0.00,,-1.121,2001-06,-1.183,0.00,-1.183,,2001-06,230.60M,230.60M,,2001-06,,
2001-03,873.80M,873.80M,472.15M,401.65M,,,19.76M,,,-59.92M,,,,,715.65M,-314.00M,,,,-59.92M,,-280.70M,,-280.70M,,,-280.70M,-220.78M,381.89M,695.90M,2001-03,-1.327,0.00,,-1.044,2001-03,-1.327,0.00,-1.327,,2001-03,211.38M,211.38M,,2001-03,,
2000-12,785.66M,785.66M,,,,-652.54M,-592.54M,,,27.52M,,,,,27.57M,-426.91M,,,,27.52M,,599.22M,,609.22M,,,-270.45M,-286.96M,233.98M,620.11M,2000-12,-1.294,0.00,,-1.372,2000-12,-1.294,0.00,-1.294,,2000-12,211.40M,211.40M,,2000-12,,
2000-09,838.96M,838.96M,,,,434.14M,434.14M,312.88M,315.22M,-17.51M,283.30M,0.624M,-282.68M,,1.062B,-223.28M,0.624M,283.30M,-282.68M,-17.51M,-282.68M,-523.46M,,-523.46M,,,-210.02M,-192.51M,387.94M,628.11M,2000-09,-1.029,0.00,,-0.9425,2000-09,-1.029,0.00,-1.029,,2000-09,203.41M,203.41M,,2000-09,AOR,
2000-06,794.78M,794.78M,,,,417.13M,417.13M,296.91M,306.78M,-17.64M,251.13M,0.675M,-250.45M,,1.021B,-226.04M,0.675M,251.13M,-250.45M,-17.64M,-250.45M,-494.14M,,-494.14M,,,-196.82M,-179.18M,360.68M,603.69M,2000-06,-0.9843,0.00,,-0.8964,2000-06,-0.9843,0.00,-0.9843,,2000-06,200.81M,200.81M,,2000-06,AOR,
2000-03,721.60M,721.60M,,,,387.27M,387.27M,252.88M,293.22M,-12.38M,230.91M,5.435M,-225.48M,,933.37M,-211.76M,5.435M,230.91M,-225.48M,-12.38M,-225.48M,-449.62M,,-449.62M,,,-180.71M,-168.34M,327.39M,546.10M,2000-03,-0.8958,0.00,,-0.8341,2000-03,-0.8958,0.00,-0.8958,,2000-03,200.66M,200.66M,,2000-03,AOR,
1999-12,583.02M,583.02M,,,,,27.76M,,,18.28M,,,,,331.66M,-94.95M,,,,18.28M,,323.06M,,322.06M,,,-66.10M,-77.07M,216.92M,303.91M,1999-12,-0.3297,,,-0.3844,1999-12,-0.3297,,-0.3297,,1999-12,200.51M,200.51M,,1999-12,AOR,
1999-09,376.19M,376.19M,,,,215.81M,215.81M,71.90M,119.54M,-10.25M,131.08M,8.241M,-122.84M,,407.25M,-31.06M,8.241M,131.08M,-122.84M,-10.25M,-122.84M,-164.15M,,-164.15M,,,-0.035M,10.22M,158.37M,191.44M,1999-09,,,,0.0510,1999-09,,,-0.0002,,1999-09,200.51M,200.51M,,1999-09,AOR,
1999-06,308.04M,308.04M,,,,179.79M,179.79M,55.19M,104.68M,-5.478M,112.24M,8.421M,-103.82M,,339.67M,-31.63M,8.421M,112.24M,-103.82M,-5.478M,-103.82M,-140.93M,,-140.93M,,,-0.057M,5.421M,131.19M,159.87M,1999-06,,,,0.0270,1999-06,,,-0.0003,,1999-06,200.51M,200.51M,,1999-06,AOR,
1999-03,160.96M,160.96M,,,,99.74M,99.74M,23.54M,66.54M,-10.55M,45.43M,1.664M,-43.76M,,189.82M,-28.86M,1.664M,45.43M,-43.76M,-10.55M,-43.76M,-83.18M,,-83.18M,,,-0.033M,10.52M,52.33M,90.08M,1999-03,,,,0.0524,1999-03,,,-0.0002,,1999-03,200.51M,200.51M,,1999-03,AOR,
